hub	网络中心
winterbound	受到寒冬限制的
private	秘密
ophiolatry	蛇崇拜
colacobiosis	寄生在异种昆虫社会之生活
tellable	可述说的
rowland	ring
textile	纺织
cucumber	黄瓜
bluster	怒号
pipa	负子蟾
vrml	Language
boxroom	储藏室
eremophilous	栖荒漠的
sensitize	变得敏感
ornithopod	鸟脚亚目恐龙
suppressible	可以压制的
abode	住处
device	装置
truer	确实的
abortionist	为人堕胎者
skutterudite	方钴矿
systemic	系统
elfish	如小精灵的
compurgator	为他人作证者
uric	尿的
epoxy	环氧
migrate	移动
idiomorphic	整形
bivinyl	联乙烯
rheological	流变学的
chomp	咬响牙齿
indusium	囊群盖
fluxion	消失
ambrosial	特别美味
chloritization	岩石中的矿物变为亚氯酸盐
sinitic	中国文化
hydrofracturing	液力加压开裂
parison	玻璃半成品
pacemaking	定步速
circumlunar	月球周围
walla	经办业务人
paster	粘贴的人
endowment	捐款
windless	喘不过气的
realizing	明确无误
hedger	骑墙派
rhizomatous	生地下茎的
inulin	菊粉
pythic	=Pythian
nebbich	=nebbish
acedia	绝望
alabama	阿拉巴马州
indirect	间接
strook	strike的过去式和过去分词
roadbook	路程指南
cowshed	牛舍
crankous	易怒的
felsitic	致密长石
unphysiologic	不符合生理规律
austronesian	Austronesia
blinkard	常眨眼或视力不佳的人
waec	西非经济共同体
likely	可靠
circularly	圆地
floriferous	多花的
habile	灵巧
delivery	交付
flourish	处于旺盛时期
seafaring	水手工作
epigene	表成
prefocus	使预先聚焦
protopodite	原节
foreclose	取消抵押品赎回权
feeling	感觉
offhanded	立即的
anabasis	进军
pram	童车停车场
closehanded	吝啬
aduncous	向内弯曲的
indirectly	间接地
cyma	波状花边
nsf	Science
last	使维持
sacculus	球囊
megalith	巨石
alpenglow	染山霞
barococo	过分纤巧的
metewand	评价基准
stelae	石柱
rectorial	教区长的
fray	被磨损
tackle	扭倒
eonian	永远
boulevardier	花花公子
aristotelean	亚里斯多德的
nonrated	非军士级的
articulacy	口齿清楚的说话能力
pbb	polybrominated
excavate	开凿
dainty	适口
educe	引出
branchial	鳃状的
untidy	凌乱的
flightless	不能飞
isoparametric	等参的
mohammedan	回教徒
sarcasm	挖苦
lightless	不发光
reist	=reest
absquatulate	逃走
rejon	木柄长矛
stipulation	约定
nascar	Car
humoristic	诙谐的
ectostosis	软骨膜下骨化
quittance	赔偿
dead	死
pharmaceutic	配药学的
miee	Member
experimentalize	做实验
wafer	用干胶片封
fay	接合
twirler	军乐队
plantlet	苗
quadrille	四对方舞曲
strobotron	频闪管
emergent	浮现
tropaeolum	金莲花
eib	欧洲投资银行
cca	dapter
triandrous	三雄蕊的
means	方法
sweaty	出汗的
swift	雨燕
jennings	詹宁斯
iconolater	圣像崇拜者
randomicity	随机性
lully	Raymond卢利
gloam	变朦胧
mcpo	Chief
acidy	有些酸味
guilty	犯罪的
shazam	快变
hogget	一岁以上的羊
crumple	变皱
lullaby	摇篮曲
deltoid	字形
encoignure	置于墙角的装饰性家具
unaffected	不矫揉造作的
query	询问
felspathic	像长石
cryptic	隐藏的
coloratura	花腔女高音
hesitant	吞吞吐吐的
baalize	改信巴尔神
tumesce	肿胀
halloa	喊叫
quakerish	谨严
paul	保罗
outworn	废弃的
anemochorous	由风散布种子的
sphincter	括约肌
humourless	缺乏幽默感
vacillation	不果断
sympatholytic	阻滞交感神经的
gulliver	格利佛
swanskin	天鹅绒般
hide	剥……的皮
congruity	调和
varicellate	具有小螺层隆起的
piliform	毛样
welchman	=Welshman
carvacrol	香芹酚
milchig	乳制
sneakingly	卑鄙
bitsy	极小的
heavy	笨重地
forecast	预见
harmonization	调和化
hives	假膜性喉头炎
decoration	装饰品
boned	骨骼
primacy	首位
fizzwater	汽水
commercioganic	有市场
grungy	邋遢的
elusively	巧妙逃避地
image	映像
ooze	渗出
blat	不加思索说出
sciential	知识
unsmirched	未受玷污的
massy	巨大的
sackless	无害的
rabid	狂暴
equerry	掌马官
subordination	部属
pe	体育课
epilimnion	变温层
wastebin	垃圾桶
ridable	可骑马通过的
sinistral	用左手
happenstantial	偶然发生
mostaccioli	意大利斜切短通心粉
venereal	性病
ilo	Labor
intranational	民族内
transact	处理
soloistic	独唱
aspuint	侧目地
nebulose	=nebulous
glans	龟头
undyed	天然色的
hypochondria	臆想病
warren	养兔场
freaky	畸形的
interprovincial	省与省之间
disconfirm	证明不成立
bronchial	支气管
thong	皮带
polycentrism	多中心主义
ustc	Commission
fainthearted	无精神的
teutophobe	恐惧条顿者
hal	Layer
mismanagement	管理不善
jeremias	=Jeremiah
gec	General
humorless	缺乏幽默感的
odor	名声
drollery	笑谈
flexibility	机动性
taoist	道教信徒
transeunt	超出己身之外
subalpine	亚高山带
revolting	令人厌恶的
astigmatism	散光
bullyrag	威吓
apogeotropic	背
hilar	门的
cryptological	密码术
biblioklept	偷书人
gibraltarian	直布罗陀人
abolitionize	使赞成废除黑奴制度
brs	英国道路服务处
creatin	肌氨酸
flute	凹槽
womanish	柔弱的
hydrosulfide	氢硫化物
essentialism	基本教育说
option	买卖的特权
ole	Linking
usbek	=Uzbek
unexcited	不兴奋
appropriator	占用者
fruticose	灌木
calculi	结石
nubilous	多云
vance	万斯
paralyze	使麻痹
melanocarcinoma	黑癌
primulaceous	报春花科的
brainpan	头盖
daytaller	散工
sql	Structured
hoodoo	招来不幸的人
polje	灰岩盆地
sympetalous	合瓣的
wba	世界拳击联合会
caseinogen	酪蛋白原
absent	缺少的
entocondyle	内侧髁
orthopterous	直翅类的
promote	晋升为
sphygmomanometer	血压测量计
slate	暗蓝灰色
underlying	根本
acronichal	薄暮
castigator	谴责者
accident	事故
equality	相等
daggerboard	中插板
trench	战壕
hobbledehoy	小伙子
distaste	讨厌
closest	最靠近
tab	标签
sympathizer	支持者
obsequial	葬礼的
bacchic	酒神
unwrought	未加工成成品的
chott	北非小盐湖盆
irritability	过敏性
perceivably	可知觉地
victor	维克托
disintegrator	粉碎机
iatric	医师的
lethargic	昏睡
crosscut	捷径
college	学会
linalool	里哪醇
parsnip	欧洲防风草
echogram	回声深度记录
vidette	小型哨艇
prostate	前列腺的
avarice	贪婪
unspent	没有用完的
xanthochroi	金发白种人
fingerlike	指状
insecticidal	杀虫剂的
hdl	high
interlope	闯入
coralbells	珊瑚钟
indetectable	不可察觉
eustace	尤斯塔斯
lingulate	舌状
derisively	嘲弄地
washcloth	洗碟布
plainness	明白
thames	泰晤士河
impairment	损害
exultantly	狂欢地
satinpod	缎花
urundi	乌隆迪(东非国家布隆迪
cpff	fixed
tetany	手足抽搐
computerate	非计算机盲的
slingshop	弹弓
spareness	贫乏
ppm	million
detonate	引爆
eradicative	根除
quilt	缝被子
lighthearted	快乐
magnitude	量级
hypoazoturia	低氮尿
discal	盘状的
hide	掩藏
aidedecamp	侍从武官
db	分贝
era	时期
cmb	Chase
epistolary	用书信的
thermoelement	温差电元件
punty	顶底杆
unmelodious	音调不悦耳的
sexagesimal	六十的
platiniferous	产铂的
strut	支柱
iaupe	International
safety	保险
king	首领
brutify	具兽性
hermetical	密封的
rough	粗略的
ridgepiece	栋木
cochlear	耳蜗
antidromic	逆向
preemptive	有先买权的
contumacious	反抗法院命令的
uncharted	海图上未标明的
female	柔和的
fostress	养母
oarweed	昆布
header	页眉
depreciatory	贬值的
cheder	=heder
humbuggery	欺骗
absorbable	容易被吸收的
tintinnabulary	铃声
tutor	监护人
beverley	贝弗利
superabundance	过多
unpretending	不装模作样的
halfpenny	半便士铜币
continental	大陆
chronically	习惯性地
spice	调味品
tribromide	三溴化合物
inegalitarian	不平等的
pupiparous	蛹生
appealingly	上诉
northwesterly	位于西北方
bargain	议价
euclidean	欧几里
scoopy	汤匙式的
hatchway	舱口
scran	残渣
subcortex	下皮层
flexional	屈折的
carrier	邮递员
homeomorphous	同胚
ins	插入键
brushy	灌木丛生的
conceptualism	概念论
goggle	护目镜
byronic	冷笑而浪漫
pie	弄乱
pittypat	噗噗跳
geocentric	由地球中心所见成测量的
hashing	散列法
divine	神的
commonplace	平凡的事
saltant	突变型
corpselike	似尸体
alliterative	头韵体
font	字形
pintano	岩豆娘鱼
proportionment	匀称
entoptoscope	眼内媒质镜
unavoidable	不能避免
buirdly	高大结实
nonpathogenic	非病原
arras	花毯
lackluster	无光泽
criticism	批评
ips	per
katzenjammer	头痛
jimp	苗条
amplectant	攀附的
vito	维托
fade	淡出
peak	最高
unimposing	不庄严
ssa	社会保障总署
outright	全部地
largo	庄严的
kooky	怪人的
nacreous	真珠质
emi	电磁干扰
indirection	间接
freeness	不拘泥
basidiomycete	担子菌类
decomposability	分解性
recordership	记录员的职位
hepatopexy	肝固定术
dislike	嫌恶
geographical	地理学的
ferial	平日的
lunitidal	太阴潮的
torrefaction	烘焙
petrographical	岩相学
rim	蓝框
timorous	胆小
variscite	磷铝石
wile	诡计
propagation	传播
oppression	镇压
reposit	使复位
midsemester	学期期中
backwoodsy	蛮荒
sometime	曾经
assuringly	保证地
coach	训练
hesitant	犹豫
paracusis	错听
feeling	衷心
indeedy	=indeed
tyumen	秋明
biserial	与双列有关
station	配置
demultiplexer	多路输出选择器
accord	给与
crimpy	卷缩了
imperialism	帝制
eel	美洲鳗
flimsy	浮夸
culm	灰煤
quad	方庭
fill	弥漫
revisor	修订者
disinflation	制止通货膨胀
considered	被尊重
unskillful	不熟练的
unduly	不正当地
beaverette	人造海狸皮
preparative	准备
overshoe	套鞋
screen	掩蔽物
mesocardium	心系膜
revaccinate	再接种疫苗
every	每个的
invidious	易招嫉妒的
vine	蔓生植物
justificative	用以辩解
corticate	有外皮
catlike	偷偷摸摸
spiry	尖塔状
immunorepressive	抑制免疫力的
cogon	白茅属植物
cageling	笼中鸟
obtuse	愚蠢
concede	承认
trapes	漫步
signatary	=signatory
sniffable	可闻
naughty	淘气的
crenelated	雉堞状的
dolorous	悲痛
society	上流社会
disyllable	双音节式
yha	Association
molest	调戏
ghostliness	朦胧
file	档案
obtund	使缓和
mol	克分子
evict	逐出
whet	使兴奋
appaloosa	阿帕卢萨马
peasantize	使成为农民
unprevailing	无影响的
rrb	Retirement
wrest	夺取
sting	刺
chou	心爱的人
qcb	Block
gulgul	防蛀涂料
chromatopsia	色视症
arboriculturist	树木培植家
statecraft	管理国家的本领
somnambulance	梦行
spicy	出产香料的
fortune	财富
cathartic	通便的
chelonian	龟类的
reimport	再引进
ibadan	伊巴丹
unordinary	少有
imperfection	非理想性
woodenly	笨拙地
incommunicative	不爱说话的
dnb	Dictionary
true	忠诚的
guidwillie	高兴
sinologue	研究中国文化者
secularize	使凡俗化
greenback	背部为绿色之动物
levigate	捻成细粉
hieron	神庙
diversionist	进行牵制活动者
spectrophosphorimeter	分光磷光构舛燃
jinan	济南
fatuous	昏庸的
staminodium	=staminode
catholic	天主教的
saguaro	仙人掌之一种
hyalomere	明区
rental	租金额
arrhythmically	节律不整
venomous	有毒
nourishment	营养品
futurama	未来世界展示
renunciative	放弃
allopatric	在不同地区发生
remedy	药物
ally	同盟
diminution	减少
jovial	高兴的
delphic	暧昧的
brotherly	兄弟
snubby	好轻视人的
triplicate	三重的
unregistered	未注册的
singing	歌唱
eclipse	使黯然失色
petroleur	用火油纵火的男子
xylocarp	硬木质果
curtail	简略
choosy	好挑剔
dirtily	龌龊地
wooly	毛织品
constructively	建设性
sickish	象是要吐
solutrean	梭鲁特文化的
furious	狂暴的
imminent	逼近的
hardcore	核心部分
hyperpyrexial	体温过高
undemanding	要求不高
picture	描绘
phonogram	语音图
magic	有魔力的
trematode	吸虫的
casually	临时
colonialist	奉行殖民主义的国家
tightfitting	紧身
dindle	震颤
microblade	薄刀片
ramp	蔓延
filth	不洁
upbeat	乐观的
locutorium	=locutory
tongking	=Tonkin
saigonese	西贡
sural	腓肠
tuner	调谐器
outworker	外出工作人员
equalize	使相等
stockily	矮而粗壮地
feasance	履行
ibs	情报库系统
nox	诺克斯氧化氮
tabetic	脊髓痨
semifinished	半制的
shorthorn	短角牛
accrete	共生的
fearfully	颇
supertransuranic	超铀后的
commotion	骚动
cruciferae	十字花科
complexity	复杂性
subdelirium	轻度谵妄
cyanohydrin	氰醇
brachycranic	圆颅型的
internuncio	使节
whisht	默然
applicator	为人敷药的人
robustly	粗鲁地
essential	本质
holocaine	霍洛卡因
reprehensibly	应受责难地
direct	直率的
libate	喝酒
addressor	说话者
galvanize	电镀
proceeding	学报
dihydroxyacetone	二羟基丙酮
incarcerate	把……关进监狱
sixpenny	便宜的
interceptive	妨碍的
skeleton	万能钥匙
imperceptive	无知觉能力的
overall	全面的
emanative	流出
erda	Research
rumor	谣言
filly	小雌马
plutus	普路托斯
emigre	流亡者
inherent	内在
bizonal	分为二地区的
withal	对此
vitalism	活机论
unheated	未加热的
influent	流入的
before	以前
acequia	灌溉水渠
lunilogical	与月球研究有关
linlithgowshire	林利思戈郡
pack	包装货物
philatelic	集邮癖的
tritish	有些落俗套
contaminator	致污物
jollification	热闹
barren	不孕
confessionary	忏悔室
featherbed	任闲职
electroballistics	电子弹道学
minbar	敏拜楼
dignified	有威严的
unprohibited	合法的
rvsvp	plait
florid	绚丽
bulky	大
negabinary	负二进制数
neurodepressive	抑制神经
optokinetic	视动
cow	大型母兽
eremophilous	栖荒漠
positive	确实
punjabi	语
senarmontite	方锑矿
aeruginous	铜绿色的
karl	卡尔
abridgment	删节
khz	千赫兹
psychologic	心理上的
juice	液
sawblade	锯片
volitive	意志
flickeringly	摇曳
weeknights	在每个周日夜晚
far	久远地
floriation	花饰
ballistic	弹道
ingratitude	不知恩
suffering	受苦
adjustive	调节
raspy	焦躁
unclarity	不明确
leprechaun	妖精
gleaning	拾遗
pocketbook	钱袋
inn	住旅馆
sdk	Kit
expeditiously	敏捷地
supravital	体外活体的
pleonasm	冗长
masterless	无主
choice	宠爱的
lawdy	=Lawd
playback	录音重放
discommode	使不方便
lavage	洗胃
asymmetric	不均匀的
acis	埃西斯
incinerate	把……烧成灰
questura	警察局
scranton	斯克兰顿
exalted	高位
smart	漂亮
emile	埃米尔
isolato	被逐出者
unsung	未唱的
cornbrash	石灰质砂层
comtesse	伯爵夫人
ethelind	埃塞琳德
downstage	在舞台前地
worthy	可敬
spicily	讽刺
pigwash	饲猪的厨房剩菜
convincing	令人心悦诚服的
mend	修理
montonero	庇隆主义左翼城市游击队员
hurtling	飞奔
imperatorial	大将军
subception	=subliminal
bamboozle	迷惑
eprom	电可编程只读存储器
theft	偷窃行为
methylbenzene	=toluene
languisher	衰弱、憔悴的人
immunodiagnosis	免疫诊断
lark	诗人
salon	沙龙
fluidram	=fluid
indeterminist	非定命论者
polymastigote	多鞭毛的
reallocate	再指派
tortious	侵权行为的
widen	加宽
hall	会堂
zoology	动物学
leptonic	产生轻子的
pied	杂色的
cursive	草书体的
echinated	有棘皮
sloppy	溅污的
robe	长袍
scombrid	鲭科鱼
ecru	本色的
biramose	二枝的
vaporisation	=vaporization
wwf	Federation
pretreat	预先处理
dozy	想睡的
semiautobiographical	半自传体
aleatory	侥幸的
phototypesetter	照相排字机
mundane	平凡的
anticlimactic	突减的
longbowman	使用大弓的人
virulent	致命
outlandish	外国气派的
flagman	旗手
osmotic	渗透性
leisurable	不慌不忙
finestra	隙缝
gi	美国步兵
fireroom	火室
narcoanalysis	麻醉分析
typhoidin	伤寒菌素
smell	臭味
interfere	妨碍
uigur	具有维吾尔人的特点的
seagirt	四面环海
firebrand	煽动叛乱者
vitriolize	用硫酸烧
repat	遣返回国
sax	API
unbacked	无人押注的
springboard	出发点
tower	城堡
purpoint	=pour
amble	溜蹄
naupliiform	甲壳动物无节幼体形
insectile	由昆虫组成
offprint	选刊
essential	基本
svga	Video
comportable	合适
polystome	多口孔体
rivalship	竞争
genially	和蔼
cotswold	=Cotswold
derogate	贬损
pdq	Damn
peroxidize	过氧化
syllabicate	读出各个音节
indecisive	非决定性的
anthropic	人类的
unimpressive	不令人信服的
ascribable	可归于……的
diluvium	洪积层
endemic	地方的
nocent	有害
acerbity	刻薄
eaux	的复数
radiate	流露
age	同时期的人
temerarious	不顾一切的
matthias	马提亚
uninjured	未受伤害
able	能……
unornamented	朴素的
nasofrontal	鼻额骨的
gazetteer	地名辞典
sunfall	日落时分
mesozoic	中生代
aloetic	芦荟的
inestimable	无法估计
asepsis	防腐处理
hemp	大麻
pompier	救火员用
maul	打伤
scaled	有鳞
wafd	埃及国民党
cakewalk	举行步态竞赛
cokernut	椰子
aerify	在……注入空气
methodist	卫理公会教派
shaky	不可靠
jollify	使快乐
shag	粗烟丝
forked	叉状的
asean	东南亚国家联盟
onrush	猛冲
wistful	想望的
glossematic	语符学
diathesis	素质
mossback	动作迟缓的大鱼
unswerving	不偏离
lithophilous	爱石
information	见闻
inker	电信用打字机
enantiotropy	对映现象
tritagonist	第三演员
larkishly	好嬉戏地
silly	无助
calotte	头盖帽
malmsey	白葡萄酒的一种
semiyearly	每年两次地
fcis	the
bogie	妖怪
vacate	离
devilry	恶行
monticulate	有火山丘的
tedious	沉闷的
misguided	被误导
underdeveloped	不发达的
subzone	分区
cupriferous	含铜
inadmissible	难承认
every	每个
diaphanous	透明的
slummock	狼吞虎咽
imperialization	帝制
distillatory	蒸馏用的
majorcan	马略卡人的
motorize	使摩托化
theocratic	神权政治的
epiphytotic	植物流行病的
pledge	举杯祝……健康
rj	junction交叉路口
peak	帽舌
dicotyledon	双子叶植物
gilly	侍从
druffen	酒醉的
indistinction	难辨认
klatch	谈话会
anisochronous	非等时同步
prestige	威望
displace	移置
transmigrant	移民
broadcast	播放
unfreeze	使解冻
unanswerable	无可辩驳的
unwillingness	不愿意
henotheism	单一主
applicably	适当
hazy	烟雾弥漫
determined	决定了
phosphofructokinase	磷酸果糖激酶
loom	迫近
grieved	伤心
conventionally	按照惯例
puritanical	清教徒
whensoever	无论何时
fussily	大惊小怪
miscible	易混合
riposte	还刺
peasantry	小农阶级
vastly	许多
begrudgingly	小气地
endwise	末端朝前或向上的
whp	水功率
digestibility	消化性
theomorphic	似神的
lexicographic	词典的
comminatory	威吓
ambuscade	埋伏处
mongolian	先头愚型症
gibbet	绞刑
nautical	航海的
semiparalysis	半瘫痪
archaeologist	考古学家
experiment	试验
recast	重新铸造
thrive	茁壮成长
hjs	jacet
iced	装冰
decubital	褥疮的
housefly	家蝇
caulomic	和茎结构形态相当之结构
superposition	重合
tall	夸大的
tandoori	泥炉炭火烹饪法
severalfold	有几部分分的
sebaceous	脂肪分泌
aerially	在空中
propertied	使用道具
epaulement	肩墙
kosciusko	科修斯科山(在新南威尔士州东南端
overnight	通宵
pyrex	派热克斯玻璃
inebriated	酒醉的
prosperous	繁荣
fusimotor	肌梭运动神经
nemoricolous	生长在树丛中
indispensable	不可缺少
reincite	再煽动
infidel	无信仰者
mashy	n
outwatch	长守
vxd	Driver
folklike	=folkish
unmerciful	残酷的
rafter	筏夫
semilogarithmic	半对数的
who	那……的
perbromate	过溴酸盐
citing	引证
marlite	泥灰岩
iatrochemically	化学疗法地
unkindness	不亲切
sculpt	造型
awol	without
hawk	兜售
overnight	晚上
iaru	Amateur
ordinance	条例
cretaceous	白垩的
rident	兴高采烈的
ani	动画光标文件扩展名
cagey	谨慎小心的
commensal	共餐的
canned	录音
poop	船尾楼
sensuous	感觉上的
ependymal	室管膜
remonstrative	抗议的
lancewood	其原木
rhemish	=Rhemish
kazan	喀山
ncsa	for
neurotrophic	神经营养
dissociable	不爱交际的
boatable	可行船的
malay	马来西亚的
religiose	笃信宗教的
involucrate	有蒴包
sevenfold	七重的
samely	单调的
earned	挣得的
screever	马路画家
mesotrophic	中滋育的
electrosensory	电感
sniffy	嗤之以鼻的
ruritanian	对王室持浪漫主义观念
autocorrelator	自相关器
inimitably	独特
burns	大鬓角
unaffected	不矫揉造作
floodplain	泛滥平原
tendril	蔓
fade	使褪色
restive	难控制的
finical	过分周到
unlovely	讨人嫌的
caries	骨溃疡
landlocked	为陆地所包围的
talky	多对话
sas	Scandinavian
rylean	赖尔方法
anaclitic	情感依附
cracker	胡桃夹
downtrend	下降趋势
uscgr	Coast
lipstick	口红
comparison	对照
piped	拷边的
congregational	公理教会的
catwalk	桥上人行道
person	身体
sigil	图章
import	意思
monstrosity	畸形
price	价格
tinfoil	锡纸
christingle	service
prefade	给作预退色
republication	再版
anticlockwise	逆时针的
caesalpiniaceous	豆科山扁豆属
sightsee	观光
catchall	包罗万象
eddo	芋根
clothesprop	晒衣绳支柱
setiparous	生刚毛
quadriform	有四种形态
nouvelle	中篇小说
fittest	适当的
incarnate	人体化的
preen	打扮漂亮
cutler	刀匠
psittaceous	鹦鹉般的
inelegantly	不优美
lick	打
biotical	生物
sonochemical	由声化学现象产生的
involve	包括
feod	采邑
macrocephalic	畸形
stunt	阻碍……发育
multiparous	一胎多子的
sensationalist	感觉论者
salpingitis	咽鼓管炎
bikini	比基尼泳装
absorbency	吸光度
typescript	以打字打的文件
rondelle	圆开物体
laughing	带笑的
azonic	不限于一地方的
hemishere	大脑半球
minicomputer	小型机
inflame	燃烧
radiotechnology	在工业上的运用
undissembled	真正的
respect	关系
oceanologist	海洋学家
parian	帕罗斯岛产白色大理石的
cryptogam	隐花植物
muckle	重要的事
anestrous	不动情期的
flagitious	罪大恶极
reasonless	不合理
sexploitation	色情利用
everybody	人人
od	过量毒品
probational	试用的
repatriate	遣返
bermudan	=Bermudian
overflew	overfly
labradorite	闪光拉长石
irreproachable	无可指责
prepensely	预先谋画地
insatiably	不知足
couth	文雅的
politely	优雅
topless	无顶
feckly	几乎
bathhouse	公共浴室
reinsertion	重新插入
pill	弹丸
ungimmicky	不耍花招的
satanophobia	魔王恐怖
hyperrealism	高度写实主义
paperbacked	纸面的
cry	叫
magdalen	从良的妓女
idolatry	偶像崇拜
yankeeize	使扬基化
undersign	签名于末尾
circularly	循环
zanu	Union
pleasurable	愉快
damning	毁灭的
talocalcanean	距
popish	教皇制度
quickie	速成的
diffusible	扩散性的
lodgeable	适合居住的
northwestward	西北方
colligation	综合
lax	松驰
feeling	同情
song	歌曲
examine	检查
zincoid	似锌
calescent	增温
docudrama	文献电视片
impar	奇数的
registration	登记
knightage	骑士
haemospasia	杯吸导血法
unpracticed	练习不足
prestissimo	最快
pree	尝试
dwelt	dwell的过去式和过去分词
resegregate	在……恢复种族隔离
annularly	环状地
contrive	设计
planoblast	浮游水母
procuratorial	代理人的
oblatory	奉献
breezily	微风地
japanization	日本化
unendued	未赋予
schedular	时间表
afar	遥远
voluntary	自动
correlative	相关的
wail	悲痛
mainsail	主帆
remontant	一季多个花期
conoscope	锥光偏振仪
poleaxe	以斧砍倒或攻打
trendline	趋势线
gyrograph	旋转次数测度器
duma	杜马
vop	p
dross	无用之物
the	那
deflationary	通货紧缩的
dankish	阴湿
multipurpose	多目标的
oozy	软泥的
entomostracan	切甲类的
trail	痕迹
revive	回想
grill	严加盘问
diarist	日记作者
composmentis	精神健全的
extroverted	外向性的
shaving	刨花
russki	=Russian
nazir	印度籍法官
deft	敏捷熟练
touchable	可食用的
dozen	一打
girth	围长为
grisliness	令人毛骨不悚然的可怕的
undemonstrative	含蓄
chamber	会所
scavenger	清道夫
shield	防护物
unsmart	不洒脱
billowy	巨浪似
inconvertibility	不能交换
electriferous	带电
huron	休伦湖
peculiar	特殊
eloge	悼演颂词
punningly	一语双关
trapezium	梯形
tailstock	顶针座
lav	盥洗室
morbidezza	细腻
netfs	National
montanic	山区
rapturous	兴高采烈
commercioganic	吸引力的
distichously	二分
reassign	再分配
alterability	可更改性
unbridgeable	不能逾越
alcoholometer	酒精比重计
adventist	基督再临论者
knottiness	纠纷
contredanse	对面舞
ajut	伸出
partan	蟹
catastrophism	n
dreadful	可怕的
histogenesis	组织发生
speedily	快快地
antiauthoritarian	反独裁主义者
unappealing	不能打动人的
genuinely	诚实地
rommany	=Romany
pristine	质朴的
incapacitation	使无资格
temporariness	暂时
discept	有分歧
microinstruction	微指令
red	亏空
rental	租贷
africander	南非牛
inestimable	无法估计的
joseph	约瑟夫
churchgoer	经常去做礼拜的人
dramaturgy	戏剧作法
blueprint	设计图
sociolinguistics	社会语言学
campy	同性恋
elitist	杰出者
intrench	使起皱纹
tab	TAB键
ufo	不明飞行物
waxy	蜡色
litterbin	废物箱
rostrate	有喙的
confection	糖果
percutaneous	经由皮肤
conglomeration	团块
granulocytopenia	粒细胞减少
ricebird	食米鸟
mabe	人工养殖的珍珠
employment	使用
sexduction	性导
penology	刑罚学
nortriptyline	去甲阿米替林
doglike	顽强的
knottily	纠纷地
centenary	一百年的
ungreeted	未致意的
steamroll	以不可抗拒之力前进
gax	oxygen气态氧
mucopurulent	黏液性及脓性
epicardial	心外膜
dread	恐怖
galactophorous	产乳的
drawstring	细绳
gradin	阶梯的一级
revoltingly	叛乱地
smokebox	烟室
droning	声音低沉单调
eradicator	去污剂
wash	洗涤
daric	达里克
xinca	辛卡人
uncle	叔父
explicatory	说明
plaintful	哀诉的
lienal	脾的
appealing	吸引人
bootlegger	酿私酒者
stroke	敲
ejaculation	射出
choice	挑三拣四
telemotor	液压传动操舵装置
idg	美国国际数据集团
show	外观
roundabout	道路交叉处的环形路
rutilant	发红色火光的
kvell	吹牛
