whorfian	沃夫假说
cataract	大瀑布
idolater	偶像崇拜者
intellectual	智力
reactor	反应堆
slungshot	飞石
equipotential	等位
pettifoggery	讼棍的手段
contiguity	接近
rehearse	练习
horsepond	饮马池
polychrome	彩饰
sketchily	大略地
unhorse	使摔下马来
anthill	蚁丘
doughy	苍白的
veiny	纹理状的
sudanese	苏丹
uninjurious	不招致损害的
microfarad	微法拉
resignation	放弃
pilipino	菲律宾语
ane	一个
traitorous	不忠
unphilosophical	非哲学
glare	怒目而视
thitherto	到那时为止
unpresentable	不登大雅之堂的
vaccinotherapy	接种疫苗疗法
nationalize	国有化
questionless	无疑
cab	司机室
unstrikable	不得罢工的
idyl	叙事诗
desultorily	散漫地
counterbalance	平衡力
skewback	起拱石
fillip	轻击
unsevered	未切断的
endure	耐久
bolus	小而圆的物块
retentiveness	好记性
dissenting	不同意
grutch	发牢骚
appropriative	充当
messuage	家宅
behove	应该
sempiternal	永恒
paterson	帕特森
complaisant	柔顺的
orthographic	拼字正确的
heroicomical	滑稽讽刺的
msee	Master
kalanchoe	高凉菜属
shoreward	朝向陆地的
rite	习俗
cuspidated	尖的
trueness	纯真
detailed	逐条的
shrewish	爱骂街的
ncv	无商业价值
dispersible	可分散
specific	明确
planish	压平
force	促使
magnon	磁振子
mishandle	粗鲁地对待
replete	充满的
montenegro	西南部的地方
racetrack	跑道
koksaphyz	橡胶草
surname	用姓称呼
antipathic	反对
strange	奇怪
excitement	搔动
lapsuslinguae	失言
mithril	虚构的贵金属
rotatory	轮流
intact	尚未被人碰过的
benignly	仁慈
multiplicable	可乘
striking	打击
dern	=darn
xeroma	干性眼炎
ground	着陆
jody	乔迪
cracky	易破的
glary	闪耀
gerrymander	改变选举区
lame	金属薄片
way	规模
financing	财务
disaggregate	聚集
expansionary	扩张性
baudelairean	波德莱尔式的
anhematopoiesis	无血生成
favorable	赞成的
catafalque	灵柩车
lipidic	油脂的
submersion	淹没
assimilatory	同化的
abrupt	突然的
unrestraint	放纵
horra	=hora
mix	使混和
softback	纸面书
pained	痛苦
standing	固定的
twain	二
preceptorial	教师的
deanna	迪安娜
emunctory	排泄的
ascendency	权势
symmetric	相称性
planter	种植者
gymnastic	体育
preconcerted	事先计划
acreage	面积
keelblock	龙骨墩
yttrium	稀有金属元素
lgm	little
confoundedly	非常
muckworm	街头流浪儿
kantar	坎塔尔
sanctum	圣地
cosmic	宇宙
grossularite	钙铝榴石
exegete	解释者
consent	允诺
smallholding	小农
superplastic	超塑性
corking	很好的
excavate	挖掘
fishermen	钓鱼者
tackle	装备
laying	瞄准
sentence	判决
wearability	耐磨损性
methadon	镇痛剂的一种
forgetfully	不注意
polyvalent	多价的
demisable	可遗赠的
protrudent	突出
feeling	衷心的
inextricability	解不开
smear	诽谤
yellowhammer	金翼啄木鸟
lenience	宽厚
partite	分裂
ionophone	阴极送话器
counterguard	壁障
unsavory	令人讨厌
seizing	夺
knowledge	知道
unicolor	单色的
jump	惊跳
acetylco	coenzyme
bloodletting	放血
rope	绳索
joint	连接
rosily	乐观
beefy	象牛肉
commander	指挥官
riba	of
moony	月形
dauntless	大胆
regalist	君主主义者
decartelization	解散卡特尔企业联合
mambo	跳曼博
tidily	整齐地
asthmatic	患哮喘症
garrulous	多嘴
iced	装冰的
nllst	Science
effect	影响
boxy	箱子般四四方方的
nonfissionable	不能产生核子分裂
interscapular	肩胛间的
flaccid	没气力
phonetist	语音学者
curability	有痊愈希望
recessive	退行
brand	烙印
smidgen	一点点
corrupt	混浊
postholder	官员
organizable	可组织的
maturityonset	diabetes成年糖尿病
ascosporous	囊孢子
flanerie	漫无目
divvy	分配
bacillin	杆菌抗生素
monospecific	单一
psychometrist	=psychometrician
transmontane	来自群山彼边
nagasaki	长崎
cochinos	Bay科奇诺斯湾(即猪湾
sunshade	天棚
effusively	变溢
jakes	厕所
indistinguishable	不能
daintily	爽口
moot	未决议的
rubicund	透红
ingrown	向内生长
hers	她的
impenetrability	不能贯穿
disruption	分裂
asid	Industrial
barred	被禁止的
magnetooptical	磁光的
plump	圆胖
affirmant	确认者
feodal	封建
diary	日记
hermes	and
quivive	口令
semioccasional	偶尔
kathy	凯西
hyperextension	伸展过度
numega	Bounds
subordination	部下
unreachable	取不到的
ablator	烧灼材料
northwestern	西北方
unprohibited	合法
parcel	包裹
uncorrectably	无望
iamap	Atmospheric
wrinkly	有皱纹
rocketry	火箭
gandhist	甘地信徒
hearth	炉边
alliance	联合
meniscocytosis	新月形红细胞症
unscripted	不用稿子
triplicate	三倍
systematically	有系统
diffidently	缺乏自信
zolaist	左拉主义者
brickwork	砌砖
samink	人工饲养貂毛皮
noncontact	没有接触
indulgent	纵容
gemmate	有芽的
dravidian	德拉威人的
humility	谦卑
scimitar	曲剑
illiterati	未受教育的人
stronghold	要塞
flexuose	弯曲
underdeveloped	不发达
technicolored	五光十色的
cramming	塞满
remission	免除
henhearted	懦弱的
argonautic	Argo
simulator	模拟器
archenteron	原肠之消化道
bowman	头桨手
benzonitrile	苯甲精
besotted	愚蠢
ncv	value
onliest	=only
semiparasitic	半寄生
appendiculate	横节状的
dukawallah	零售商店店主
bally	可厌地
guide	管理
quickthorn	英国山楂
legatine	使节的
incontrovertible	无疑地
telepathize	传心
brash	骤雨
caboodle	伙
tacitly	沉默地
laterad	向侧面地
nes	not
kaliningrad	加里宁格勒
squamaceous	多鳞的
heartburning	嫉妒
isoceraunic	等雷雨的
bases	base的复数
pimping	无足轻重的
liberte	fraternite
pool	汇合成塘
typefoundry	铸字工场
arpa	Research
lumbricoid	类似蚯蚓
eighteenmo	十八开
malimprinted	缺损印记
scaphoid	船状的
supermarketeer	经营超级市场的人
lister	造册者
ardor	炽热
nigrosine	苯胺黑
emulsive	会流出乳状液
mtu	maximum
microcrystal	微晶
prematurely	早熟地
ruthenia	鲁塞尼亚
grewsome	令人厌恶
malnutrition	营养失调
upgrade	升级
fasten	扣住
predestination	预言
sicative	收湿的
quadruplicity	四重性
senorita	女士
sweltering	中暑
merciless	无慈悲心的
circumstantial	/
colorless	无趣味
cloistered	住在修道院的
chary	谨慎
theologise	=theologize
iamap	and
propaganda	宣传
sunstruck	患中暑的
auriscopic	耳镜
carthaginian	迦太基的
beatification	列福式
grubber	挖掘者
drencher	灌药器
blackhead	黑头粉刺
patrimony	遗产
iatrical	医学的
enshrinement	奉祀庙中
bitch	婊子
camik	海狗皮靴
bugbane	升麻属植物
butcher	屠杀
ignitability	可燃性
domination	控制
meniscoid	凹凸
goatfish	绯鲵鲣
actinal	有触手
welt	装饰
arcifinious	天然疆界的
synoil	合成油
empurple	发紫
pulperia	客栈
tillable	可耕种
usb	Serial
pale	暗淡的
hyperspherical	超球面
voraciously	贪得无厌地
ipecac	吐根
viosterol	固醇生素
character	品质
savage	残忍的
henapple	鸡蛋
auditoria	听众席
stubbornly	顽固地
proprietary	所有权
gitgo	开始
orthographist	拼字学者
suq	=souk
confounded	困惑
intermedia	媒介物
nonflammable	不燃烧
liquid	清澈的
unaverage	出众
impassably	不能通行
hotly	热心地
glazed	像玻璃的
narcosis	昏迷状态
meistersinger	诗乐协会会员
cuchifrito	炸肉丁
idiorrhythmy	供僧侣居住的僧院
gnomish	似侏儒
amethystine	紫水晶质
unhallowed	不圣洁的
ferruginous	铁
catholicism	天主教
tap	使流出
purificant	洁净剂
cockerel	好斗的年轻人
clavate	棍棒状的
ruggedization	坚固
egad	哎呀
wander	迷失方向
recruit	使恢复
subedit	担任副编辑
unworthy	不足道
sistan	=Seistan
confection	精制工艺品
flare	使闪耀
regular	正常体
anilingus	吻肛
disassembly	分解
chord	和音
ferric	含铁的
fogfruit	防臭木属植物
plumbous	铅
nse	Exchange
hydrometric	液体比重计的
cockamamie	繁琐
internationalise	国紌e/IntE5nAFEnElaaIz/
cloche	钟形女帽
meself	pro
smartly	刺痛地
upswept	朝上梳的
brickdust	砖粉
malaysian	马来群岛
welter	浸湿
catchword	标字
lute	琵琶
shakily	颤抖着
algerine	阿尔及利亚人的
circumrotatory	旋转的
prescription	处方
humanity	博爱
unmanly	娇气
dentifrice	牙膏
unoffended	未被得罪
student	学者
snooty	自大的
endocrinotherapy	内分泌疗法
dniester	德涅斯特河
lever	控制杆
cerebritis	大脑炎
marshall	马绍尔群岛
crannied	裂缝多
pfd	device
expansionary	扩张性的
heathenize	做异教徒
fslic	Federal
opster	光效应艺术家
scary	引起惊慌的
disconsolate	郁郁不乐
misapply	误用
spaeman	术士
polymerization	聚合
bartend	在酒吧掌柜
eudaemonics	获得幸福的方法
chastise	严惩
foreland	低岬
underdress	穿得太单薄
infectious	有传染性的
preconquest	诺曼人征服英国前的
lavishness	浪费
favoringly	有帮助
apostatic	背信
crimped	有波纹的
neighboring	邻近
zincoid	似锌的
signory	主权
incrossbred	品种内异系杂种
espresso	浓咖啡
residuum	剩余
civilisation	=civilization
extrasystolic	额外收缩的
chlorotic	萎黄病的
dissolving	毁灭性
judaical	=Judaic
lcvp	landing
guidable	可指导的
headland	畦头未耕的一条地
georgina	乔治娜
employee	职工
babushka	巴布什卡
mcluhanize	以麦克卢恩的理论改造
formulate	阐明
spacious	广大的
buckbean	睡菜
illusory	幻影
plumy	羽毛似的
trichopteran	毛翅目的
thralldom	奴隶的身份
congregationalism	公理教会制度
tarnishproof	不变色的
gracioso	丑角
king	君主
printless	不留痕迹
tridecane	烷
pinnated	鳍之类的
underwrought	underwork
unerring	无过失的
endomysium	肌纤维衣
unsubmissive	不柔顺
fallacious	令人失望的
sirdar	司令官
calputer	计算器计算机
drive	动力
polyhedric	多面
regrow	继续生长
film	膜层
aluminium	铝
sothis	天狼星
thermosiphon	热虹吸
elicit	引出
storeroom	储藏室
radiate	放射
umpire	仲裁
vicegerency	代理人之地位
exopoditic	外肢的
cynologist	精通养狗的人
fulvous	茶色
catachrestic	用词不当
aliform	翼状
hizen	肥前陶器的
dews	early
homochromatic	单色的
congeries	堆积
swaddle	用襁褓包
ccst	System
voluntary	自动的
waec	Community
hornlessness	无号角
frequent	时常发生的
maniacal	狂乱
telferage	=telpherage
bastardly	假冒
flexuous	动摇不定
palmitin	甘油棕榈酸酯
baudelairean	波德莱尔的
radiology	X光线学
phycoerythrin	藻红蛋白
transferror	=transferor
featherbrained	轻浮的
symplectic	偶对
blond	金发
methodically	有方法
dovetail	楔形榫头
ussuri	=Wusuli
autocracy	独裁政治
unturned	未翻转的
azobenzol	偶氮苯
parodist	诙谐文作者
miscarriage	误送
comfit	酒馅的巧克力
ammoniacal	氨性
periwinkle	长春花属的植物
blast	一阵
ticklish	忌讳
fourfold	四重
provable	可证明
pleomorphous	=pleomorphic
raucousness	粗声
equal	同辈
albuminose	多胚乳的
preparation	预备
galatea	白底蓝直条的上等棉布
momentary	刹那间
sobriety	清醒
concertation	合作
duchy	公爵领
informative	情报的
impregnant	溶剂
salinogenic	能形成盐
laze	混日子
rifeness	充满
blastie	矮子
polychroism	多向色性
suited	匹配的
fauvist	野兽派风格的
palpably	可触知地
pendent	悬而未决的
potshot	射击
cutout	终止
domiciliate	定居
winterly	冷淡的
illegal	不合规定
unshaped	形状不美的
baae	Bachelor
dodgy	躲闪
lapsable	易犯错的
partible	可分
endosteal	骨内膜的
kinkle	卷发
scleroid	硬性的
backswept	向后倾斜的
animadversion	非难
hardfern	硬羊齿植物
something	某物
chiccory	菊苣
feastful	祝宴的
consult	商议
appulsion	撞击
algerish	提倡艰苦创业精神的
unearned	不应得的
unmold	毁环……的气质
lampooner	讽刺文作家
semisubterranean	半地下的
send	发送
analogously	近似地
vitrine	陈列用玻璃橱窗
henotic	使和谐
interrobang	=interbang
fuck	欺骗
sidewards	向旁边地
inciting	刺激
epical	叙事诗
face	向
hemostat	止血钳子
clarity	清楚
unshaken	不动摇
crispen	变脆
sylleptic	兼用法的
stumble	错误
bedin	示威游行
indescribably	不可名状地
nefandous	讨厌的
hominine	人亚科的
darkling	在暗中
econut	鼓吹生态保护的狂热分子
mistakenly	曲解
triamcinolone	氟羟泼尼松龙
present	介绍
polyhydric	多羟
sessional	法庭
spend	消耗
rille	沟纹
mint	造币厂
tycoonship	巨头身份
farci	有馅的
elegiacal	哀悼
rapeseed	油菜籽
bewitchingly	迷人
espana	西班牙
lumberly	迟缓的
fold	折痕
unwatered	未浇水
duneland	沙丘地带
wicket	边门
phyllome	叶原体
bummer	游荡者
recalcitration	不服从
stronghold	据点
bacchius	短长长格
unserviceable	不能胜任的
comose	多毛
enormous	巨大的
grave	低沉
paternalist	实行家长制统治的人
woodworking	木工行业
squareman	石匠
controvertible	有辩论余
outachieve	在成就上超过
sferics	天电探测
nisus	为达成目标的冲劲
troglodyte	隐居者
hospitalize	就医
bunkmate	同寝室伙伴
cowardly	胆怯
psychopathist	精神病研究者
witch	迷惑
project	凸出
accouter	装备
nonsignificant	不重要
aspi	Interface
appreciable	可评估的
sinaitic	西奈半岛的
mallard	野鸭肉
spinning	纺纱
peradventure	偶然
gallop	飞奔
impiety	无信仰
pectize	成果胶
infantility	不成熟
conchologist	贝壳学家
aggravating	使恶化
zone	环带
unnoticed	被忽视的
corrupt	使腐烂
stannic	锡的
merge	融合
overtask	使工作过度
anxiety	焦急
now	如今
annectent	连接两物的
cerebroid	如脑或大脑的
cadastre	地籍簿
late	已故
diseuse	朗诵艺术家
coeliac	下腹
prevailing	占优势的
metronome	节拍器
sloven	散漫的人
basely	卑鄙
sciential	知识的
enlistee	征募者
gdr	Democratic
disestablishmentarian	国/
inhibitory	禁止的
twinight	连续两场比赛的
lamellate	薄片形的
likely	很可能的
lameness	跛
traveled	旅客多的
raptatorial	食肉
shingle	小招牌
rambling	散漫的
impalement	刺刑
airiness	空虚
fallow	未孕
panivorous	以食面包为生
septicidal	室间开裂
wings	女童军戴的一种翼形章
civilized	文明
orzo	米粒状面食
chang	青稞酒
syncretic	调合
ohmic	以欧姆测定的
fattypuff	胖子
distinct	独特的
magnetobiology	磁生物学
lumberyard	木场
emotional	情感
rabbinate	犹太法学博士的身份
gyrocompass	回转罗盘
deliberate	深思熟虑的
tympanosclerosis	鼓膜硬化
memorialize	请愿
slate	板岩
sultriness	闷热
germanise	=Germanize
paner	削皮刀
svga	Super
komatik	爱斯基摩人用狗拉雪橇
inferrible	可推论的
teach	讲授
desiccative	使干燥的
pourable	可倾倒的
catonian	顽强
iceman	售冰者
peak	到达最高点
prattle	无聊话
flannel	给……穿上法兰绒衣服
anamnestic	回想
hypobaric	比重低于脑脊髓液
medullary	骨髓的
unintelligent	愚钝的
coproduce	合拍
spry	敏捷的
consternation	惊愕
sex	性别
tapping	出渣
aob	Other
squamulose	多小鳞片的
toyland	玩偶世界
furry	有舌苔
unneutral	不公正
azc	Zionist
gare	码头
navigator	Netscape公司出品的WEB浏览器
incontrovertible	无疑
utriculus	=utricle
noseglasses'	NULL)
insincere	虚假的
birdyback	飞机托运载货挂车
concerted	协定
hymen	处女膜
vase	瓶
relative	相对
arthroplastic	关节形成术
half	一半地
interception	侦听
austenian	奥斯丁作品的
acerate	一端尖
bennet	花梗
digital	手指
squeezability	压迫
fix	准备
luther	卢瑟
coagulant	凝血剂
augmentative	用来增强词义的语句
triceps	三头肌
semifinished	经轧制
trigger	引发
bumpiness	崎岖不平
jake	满意
sainted	成为圣人
drip	滴下
drop	下跌
rebel	叛逆的
gyppy	=gippy
lineshaft	总轴
yauld	敏捷的
noteworthy	显著的
manueline	曼奴埃尔式的
prelusive	序幕的
violence	强烈
unconsolidated	疏松的
psammon	沙栖生物
rebellion	谋反
always	总是
sighthole	观察孔
buddhistical	佛陀的
special	专刊
vuagnatite	羟硅铝钙石
petty	细微
stilt	脚柱
berth	使停泊
approximative	近似的
phenomenalise	=phenomenalize
fetch	拿
snappy	爽快
felicitous	幸福
pulicide	灭蚤剂
shard	碎片
extant	现存
easier	更容易的
cigarshaped	雪茄烟形状的
unstained	没有沾污
multilobate	多裂片的
put	安置
ordovician	奥陶纪的
japanese	日文
prejudicious	有侵害
inaccurate	错误的
xiphosuran	剑尾目动物
hitchy	急跳的
zilch	微不足道的事物
docile	驯良的
inconceivable	难以相信的
indiscernible	看不见的
epidotic	绿帘石
rainworm	蚯蚓
interfluve	河间
unsoldierly	不适于军人
gadolinium	钆
incident	易于发生的
saprolite	腐泥土
ecocide	生态灭绝
lengthwise	=lengthways
retiarius	持网和三叉戟的角斗士
villose	有绒毛
revisionist	修正主义者
boccia	室外地滚球戏
sneak	偷偷摸摸地做
exuviae	空壳
refight	再战
maluku	马鲁古群岛
idiolectal	个人习语的
obliterate	使湮没
calceolate	拖鞋状的
mcat	医学院入学考试
piperonal	胡椒醛
rectilineal	直线
coppernose	红鼻子
tungstic	五价钨
phototroph	光能利用菌
zoroastrianism	袄教
expressly	特别地
hippomaniac	有爱马癖者
girlish	少女似
cerebrovascular	脑血管
wallhanging	壁毯
dyadic	双值
brass	黄铜制品
mithras	蜜特拉神
xp	终极编程
interdependent	相互依赖的
fleshless	非物质形体
asce	of
masscult	大众文化
carey	凯里
eightpence	用例参看twopence
remote	细微的
henna	红褐色
semivibration	半振动
reviewable	应检查
brace	曲柄
pedagoguism	老师气质
lighter	打火机
scientific	科学的
apoplectic	易患中风
bespoke	预约
impressional	印象
loanable	可借出的
austere	严厉的
diaphysis	骨干
enzymic	=enzymatic
bund	东亚各国之堤岸
razee	削减
joyously	快活地
pokey	迟钝的
ascap	American
calumet	北美土人所用之一种烟斗
enhance	提高
canasta	用两组纸牌的桥牌游戏
gaskin	束帆索
troop	结队
spatiotemporal	空间与时间
panegyrist	撰述赞辞的人
refuge	庇护
gnomish	好戏弄
asme	American
coprozoic	生长在粪便中的
sanguine	以血沾污
photorecorder	摄影记录器
pilum	短矛
rabbanite	=rabbinist
avifauna	鸟类
euclidian	欧几里得几何学的
murexide	骨螺紫
grovy	在树丛中的
clear	清楚
imputable	可归罪
errantry	骑士精神
birthright	长子继承权
lamentoso	哀怨
kinglike	君王似的
color	风格
plebeianize	使平庸
edacious	贪婪的
definiendum	被下定义的词
kaonic	含有K介子的
trihybrid	三对基因杂种
dolphinarium	海豚池
polymerizing	聚合
stereotype	使一成不变
song	歌
qaranc	Queen
adduceable	=adducible
nhra	全国改装式高速汽车协会
kit	成套用具
harrisburg	哈里斯堡
null	零迅号
lymphous	淋巴样的
ptolemaic	埃及的托勒密五朝的
alecithal	无蛋黄的
ruler	管理者
accompanying	陪伴的
kendal	肯德尔绿
woefully	悲伤地
salmon	鲑鱼
nature	自然界
pericardiac	心包
impregnate	使充满
heterosexual	异性的
faradize	感应电流治疗
buttonbush	风箱树
bipod	两脚
minotaur	人身牛头怪物
regenesis	新生
revoltingly	背叛地
bmta	Trade
chewie	胶姆糖
purser	事务长
caramel	饴糖
antithetic	正相反的
hectometer	=hectometre
addicted	沉溺于某种嗜好中
inalterable	不变
unseen	未经预习
volcanicity	火山活动
exfiltration	溜出敌军阵
reassertion	再主张
imperfect	未完成体
spunbonded	纺的
decimate	大批杀害
satisfy	说服
claimant	提出要求者
angiosarcoma	血管肉瘤
fact	行为
humble	微贱的
aspirator	吸气器
embouchure	河口
peaked	尖的
ammonic	氨的
snugly	隐蔽
culch	贝壳屑
molluscoid	拟软体动物
telemetry	自动测量记录传导
lutetian	古名的
coronavirus	冠状病毒
purulence	脓
sore	剧烈的
throwback	掷回
ligularia	橐吾
unabroken	无破损的
bear	向
punic	反复无常的
venomousness	充满怨恨
rascal	不诚实的
macrocephalus	巨头
auric	三价金
codeine	镇咳
swbw	by
dirty	暴风雨
nuclein	核蛋白质
extenuative	使减轻
vagarious	奇特
priceless	无价
homosporous	具同形孢子的
unfilterable	非可过滤的
adultery	通奸行为
tgv	Grande
acesodyne	止痛的
ground	土地
sas	斯堪的纳维亚航空公司
dockwalloper	码头上的短工
identically	相等
spindle	细长的人
