mao	毛式服装的
erotophobic	憎恶性爱
swap	交换
survey	调查
bigoted	执迷的
bonkers	精神不正常的
credited	信用
ichthyoid	成鱼形的
suberose	似软木的
bodily	亲自地
eyeliner	眼线膏
eligibility	合格
everyone	pro
driftingly	飘动地
planirostral	具扁喙
improper	不适宜
tephroite	锰橄榄石
drooping	下垂的
checkup	检查
overage	过多
steelworker	钢铁工厂的工人
thievish	偷偷摸摸的
fenestration	开窗术
classer	分选羊毛等级的工人
monetarily	从金钱角度
hypochondriasis	疑病
heterogenous	异源的
corniness	乡下味
angiopathy	血管病
devilled	蘸了很多芥末
acquired	已成习惯的
pundit	印度学者
breathlessly	气喘地
tcp	/TCP/IP衛
amplifier	放大器
defaulter	不履行者
guttiferous	产藤黄
trippant	抬起前蹄行走的
vignette	小插图
lifeless	无生气的
licet	那是合法的
decisive	决定性的
enormous	极恶的
extremely	非常地
cartilaginous	软骨质的
annihilative	有消灭能力
carney	哄骗
gaiter	长统橡胶靴
bidialectism	两种方言通
roble	美国西部产的白橡树
moji	门司
renegotiate	重新谈判
plasticity	可塑性
superplasticity	超塑性
azion	人造蛋白质纤维
ferreous	硬如铁的
loathful	可厌
gaborone	哈博罗内
ostensive	清晰显示的
halt	踌躇
unplucked	未扯掉
uncopiable	不能复制
nonrecombinant	非
flatter	奉承
cyanopathy	发绀
coranto	s)
playroom	游戏室
electromer	电子异构体
jetton	筹码
cancered	患癌症的
homer	传信鸽
ozonic	臭氧
sidereal	恒星的
accord	一致
marish	沼泽的
nose	鼻
washing	洗涤的
handle	把手
needleman	裁缝
baldaquin	天盖
habitably	可居住地
allogamy	异花受粉
enzymology	酶学
proof	检验
scenarist	剧本作家
broiling	似烧的
circuit	巡回
revolutionism	从事革命
dead	不流动
naughty	下流的
unstudied	未学过
grinding	磨擦的
voluble	健谈
redescend	从……重新下来
ratite	平胸类鸟的
nancified	女性化的
kitchener	厨师
nouny	具有名词性质
peyote	仙人掌的一种
albacore	青花鱼科的海产鱼
hose	软管
kobold	家神
discretely	分离地
flabbily	无生气
geologic	质上
saying	谚语
villainous	罪恶的
almsgiving	施舍
malihini	来夏威夷的游客
exilic	流亡的
salbutamol	羟甲叔丁肾上腺素
gcse	Secondary
iris	虹
twice	两倍
capriccio	任性
reddest	red最高级
humanness	为人的资格
diaconate	助祭们
crenel	炮门
plagiarism	剽窃
pst	Standard
choice	选择
vexedly	着急地
array	衣服
seducement	诱惑
casteless	没有社会阶级的
docile	容易教
synonymous	同义的
episcope	反射幻灯机
collision	碰撞
eht	high
engineer	工程师
drone	混日子
nationalization	国有化
uncondemned	未受谴责
comprizal	包含
fussily	小题大做
radio	无线电接收装置
imparticipable	不可分享的
ossuary	藏尸骨的罐
dcvo	高级维多利亚女勋爵士
connivent	靠合的
murderer	凶手
haematocyte	血球
odditional	补充的
selaginella	卷柏
multiparty	包括多党
sapful	多树液的
educable	可培养的
extroverted	喜社交
gaper	长蛤
tableau	戏剧性局面
mobster	犯罪集团成员
humoral	温性
homogenization	均质化
scrota	scrotum的复数
constrictor	大蟒
triplicate	三乘的
snack	吃快餐
quick	敏捷
transmontane	来自群山彼边的
enquiring	探听
barabara	用草皮所盖之半地下房屋
brush	拂
plotinism	柏罗丁主义
meany	小气鬼
brachiopoda	腕足门
pillar	柱子
unearned	自然得到
wintery	如冬
obsess	迷住
holding	所有物
ropery	制绳厂
undissolute	生活规矩
squirearchy	地主政治
clownery	粗鲁
vilely	卑劣地
lilliputian	小人国居民
fisk	罗马皇帝王室财库
vengeful	报复
alveolar	小泡
mccoy	本人
fragmental	断片
hexagonal	六角形的
chronoshift	空间转移
rich	富
contractual	契约的
puffery	鼓吹
writer	复写器
demonism	对鬼怪之崇拜
sodomist	兽奸者
scepter	授与王权
bloodguilty	杀人的
asid	of
call	命令
rear	树立
centre	中心
noncarcinogenic	非致癌的
frivolously	轻浮
conodont	牙形石
chomp	格格地咬牙
calm	平息
plaza	广场
myoelectric	肌电
musth	狂暴状态的
literature	文献
erection	建筑物
rectorial	教区长
archaeological	考古学上的
reactionist	反动
duvet	绒毛等制成的棉被
ratherish	约略
iso	Organization
yesman	唯唯诺诺者
redefector	再度背叛
arrenotokous	雄性生殖
said	上述的
drupaceous	核果性
polyacrylamide	聚丙烯酰胺
annihilability	可消灭
crass	非常
sware	swear的过去式
childhood	孩童时期
federate	联邦制度下
prelude	先驱
orthograph	正射投影图
rhizomatic	根茎的
pursual	追踪
bird	人
riprap	用乱石加固
judicator	行事如法官的人
leatherworking	皮革加工
loggy	=logy
gambusia	柳条鱼
centralization	中央集权化
phony	假冒
swagged	挂着帷幕
coi	Information
supersensitive	过敏
waywardness	任性
carnally	肉体地
fold	彻底失败
circannian	以一年为一周期的
gey	相当的
phyletic	种类
multifunctional	多功能的
nondiapausing	非休止中
backhouse	厕所
distressful	使苦恼的
dismayful	令人惊愕的
spectrophotometer	分光光度计
rattlepated	头脑空虚的
rule	标准
journo	记者
indention	定货
nagged	经常遭责怪
eyesome	媚人的
novennial	每九年
cording	的面
shindig	舞会
snafu	天翻地覆、无法可施的状态
sermon	说教
plop	坠落
detoxicate	使解毒
avulsion	撕裂
retiary	网状的
comedic	喜剧的
calliope	蒸气风琴
freeman	自由民
nitrosyl	亚硝酰基的
grain	细粒
trainable	可教育的
disorder	杂乱
saut	跳
makable	可制造的
hurl	丢下
hebephrenia	青春期痴呆
man	男人
fava	蚕豆
barky	似树皮
exhibit	陈列
fibrinosis	纤维素过多症
spoony	痴情的人
isochromatic	整色性的
putsch	暴动
sinological	中国学的
ascap	美国作曲家
philanthropize	仁慈地对待
haplite	=aplite
mercy	宽恕
bother	打扰
nitrous	氮
fiberglas	玻璃丝
botchy	不精致
gorcock	雄赤松鸡
slouchy	没精打采
joint	关节
rectificative	校正
heirless	无继承人
apart	分开的
foresleeve	可取下的前袖
downwind	顺风的
oakley	=Annie
testudo	掩蔽物
gingival	齿龈
aggravation	恼怒
fluorometric	使用荧光计的
beslaver	谄媚
carnal	肉体
lithomarge	密高岭土
difference	差异
prebendary	受俸者
handlers	陶器工人
sadiron	熨斗
sclerous	硬化
leg	胫
oaf	畸形儿
gust	阵风
cloudworld	仙境
schooling	学校教育
biblist	圣经学者
prematurely	过早地
be	是
balanoid	橡实形的
frighten	使惊吓
swish	好看
circumfuse	从四面浇灌
stopgap	权宜之计
gwendolyn	格温多林
corrosible	会腐蚀的
ecliptical	食的
phoneticism	以音标表示
brutalization	兽性
aerodynamicist	空气动力学者
planning	计划编制
sociopathic	反社会的
unsolder	拆焊
lento	徐缓
sultrily	酷热
bymotive	隐蔽的动机
perceval	=Percival
yeast	发酵粉
suspenseful	令人紧张的
inconvincible	难以说服人的
adream	梦想的
gangman	劳动伙伴
tolstoyan	托尔斯泰
amir	埃米尔
shapeless	不成形的
lastacross	最后穿过马路游戏(一种危险的儿童游戏
herman	赫尔曼
latter	较后
novosibirsk	新西伯利亚
hebdomad	一周
nauseating	厌恶
insupportably	忍耐不住地
ideational	观念的
sleave	乱丝
flyable	可以飞行
renavigate	再导航
manacle	束缚
reprehensibly	应受责难
neanderthaloid	类似尼安德特人
cataclasis	岩石碎裂
erotophobic	性爱恐怖
ustc	美国关税委员会
foist	把……强加
strabismic	斜视的
servitude	地役权
homicidal	行凶
tracheate	有气管
uncatchable	不可捕获的
recent	近来的
crackable	会裂开的
flooey	糟
lienteric	不消化性腹泻的
hant	鬼
amaretto	意大利苦杏酒
builder	建筑者
gerontic	年迈的
washing	冲走的东西
badge	证章
highness	高
goniometrical	测角计
radiogenic	由放射能产生的
ccsa	control
brooder	默想的人
verminicide	杀虫剂
immediate	紧接
onward	向前
intraperitoneal	腹膜内的
petropower	石油强国
demonstrator	示威者
rude	猛烈
rsc	Company
downfold	低洼
darhan	达尔汗
figuration	图案装饰法
hardcore	赤裸裸描写性行为的
embow	使成弓形
hypochlorite	次氯酸盐
metamorphic	变质
anatomist	剖析者
ultraright	极右的
borrowing	借款
level	使……水平
subnuclear	亚核的
ectomere	外裂球
future	远景
caulomic	茎的结构
intelligibly	易理解地
cardioid	具有心脏形状的
letup	中止
fatimite	法蒂玛人
pod	生荚
base	本部
ammoniacal	氨性的
leadman	工长
screeve	当马路画家
uda	Universal
upthrow	岩层的隆起
decathlete	十项全能选手
disruptive	分裂性
water	海水
abortive	早产
metallograph	显微照片
slezsko	=Silesia
dehumidify	使干燥
capitalintensive	需投入大量资本以增加生产力
ilo	Organization
burin	冰凿
increasable	可加大的
frostfish	北美产的一种小雪鱼
ncte	National
bessie	贝茜
syphiloid	象梅毒
missourian	密苏里州人
strictness	严格
propitiatory	安抚的
basel	巴塞尔
knee	膝
salient	易见
spotty	多斑点的
weston	standard
illuminant	发光的
incohesive	无凝聚力的
emasculate	阉割了的
lyophiled	冻干
jeffersonian	派的
appetizer	开胃物
chow	中国狗中国人
unimpressible	难受影响
witen	wit的复数现在式
influent	流入
superterrestrial	世外的
sogat	书画刻印及有关行业协会
lessened	减弱的
woodnote	林中鸟鸣叫声
berserker	象狂暴斗士般行动的人
ceramics	制陶术
translucent	半透明
vm	Machine
illusively	错觉地
degeneracy	退化
dualpurpose	肉兼用的
movability	可动性
umbilical	脐带
pied	斑驳
accurst	被咒
sculpture	雕塑
kismet	天命
super	过分的
redeployment	遣调
foreshock	前震
hereinafter	以下
newmown	新割的
subtractive	有负号
fulgurous	闪电似
depsid	缩酚酸
dupable	易于受骗
charivari	瞎闹音乐
frigidity	冷淡
external	外部
unversed	不熟练的
untruthful	不真实
way	路线
dishevel	使蓬乱
miscellany	杂记
haeremai	表示欢迎之辞
gain	开腰槽于
excogitate	设计
satiny	光滑
mesalliance	门不当户不对的婚姻
undetermined	未确定的
democratic	民主主义的
parse	分列
squiteague	=squeteague
laa	antiaircraft
backstroke	用反手击
repeatedly	重复地
irradiative	会发光的
ecuadorian	厄瓜多尔
testatrix	立遗嘱的女人
cleruchial	古希腊将征服土地配给公民之制度
flog	鞭打
regelation	重新结冰
aerographer	高空气象观察员
grette	纸烟
overeducate	使接受过多教育
permissively	许可
radiate	传播
hyperaesthesia	感觉过敏
cockyolly	小鸟儿
fulsome	令人生厌
tacky	有些粘的
channel	频道
trinitarian	信仰三位一体教理的人
connotation	储蓄的东西
print	打印
estimator	评估特有者
sonority	响亮程度
uncdf	Capital
harsh	刺目
loosely	宽松地
ephemeral	朝生暮死的
deanery	院长办公室
tracheal	气管
jereed	钝头木标枪
diamondback	有菱形斑纹
dismissive	表示轻视的
franciscan	Francis的
angleworm	蚯蚓
sometime	在某一时候
elocutionist	演说家
lixivial	灰汁盐的
dishouse	自家里赶出
martial	尚武
spoilbank	废石堆
windflaw	一阵狂风
discrepantly	不一致地
rawness	无经验
ratch	棘齿
wisent	欧洲野牛
dead	废弃了
wiliness	狡猾
osteoplasty	骨整形术
sardanapalian	萨丹纳帕路斯
tipsy	喝醉的
danae	达娜厄
insessorial	习惯于栖止
lorn	荒凉的
linebred	品系繁育的
pennsylvania	宾夕法尼亚州
sutteeism	寡妇殉夫自焚的风俗
blague	吹牛
vergilian	弗吉尔之诗
marrowless	无力
tink	丁零声
plank	睡在板上
piddle	撒尿
epilation	拔毛
verbenaceous	马鞭草科的
swami	专家
wftu	Trade
nonnutritively	没有营养
semiurban	半城市
upas	有毒害的影响
flatways	平面朝上地
equate	使相等
psychoenergetic	利用心力
subsidize	津贴
tangent	接触的
carafe	玻璃水瓶
autumn	渐衰期
altarage	坛上的祭品
sexennial	六周年纪念
crewel	双线
valued	经估价的
here	在尘世间
lour	皱眉头
stylish	漂亮
pshaw	发啐声
drifting	飘动的
branch	分科
lymphous	淋巴
pedology	土壤学
hypergolic	自燃燃料
rareripe	早熟
ambidexter	怀二心
inkling	略微的提示
synechia	黏连
jactation	夸大
girdle	带
unsackable	不可解雇
rancour	深仇
muddle	困惑
serosity	浆液
railhead	军需站
tectonism	构造作用
entomb	成为……的坟墓
lae	莱城
matriarch	女家长
cannabis	大麻
forester	森林人
langostino	=langoustine
trauma	损伤
moronic	鲁钝
voluble	流利
harquebus	火绳枪
chemosensory	化学感应
hermes	重放射性同位素电磁分离器
armoric	阿莫里凯人
thereinbefore	在上文
harsh	荒芜
nervily	神经过敏
bachelorism	独身者之怪癖
jamming	人为干扰
redraw	刷新屏幕
prevail	成功
unpropitious	不吉利的
unclos	United
nicish	细心的
parageusia	味觉倒错
prepubescence	=prepuberty
quarrion	澳洲鸡尾鹦鹉
calkin	蹄铁的折曲端
fraze	磨损或减小直径
prentice	徒弟的
consistent	坚固的
geometrically	用几何学
amu	unit
isochroous	各部分同色
square	正方形的
nlaa	Association
silvicolous	森林中生长
noseless	无鼻子
scrawny	瘦脊
spiteful	恶意的
pyrogenic	高热所产生的
skyey	天空
encyclopedism	百科全书的知识
flitch	咸肉细片
offscouring	垃圾
plessor	叩诊槌
banjoist	五弦琴演奏师
emotively	使感动地
founderous	易使人摔倒的
moxie	胆量
supporter	拥护者
yuzovka	尤佐夫卡(苏联顿涅茨煤田区城市顿涅茨克
mog	撤走
enlighten	授予……知识
crosshatch	画出交叉阴影线
dialogic	问答体的
cavelike	似坑洞
unadvantageous	无益的
ventriloquism	口技
whitley	Council
tympan	衬垫
unimpassioned	平静的
scriptorium	写字间
quartan	每四天的
acouophonia	音响诊断
hippo	河马
gorget	妇女用护肩布
rehouse	供以新住宅
piquant	泼辣
violescent	带紫罗兰色的
iatrochemical	化学疗法
wrecking	失事
aid	援助
recolonization	开拓殖民地
barmaid	酒吧间女
carthaginian	迦太基人
psychopathia	变态人格
jaundiced	患黄疸病
canonicity	正规
employer	老板
proletary	最下层阶级的公民
triennium	三年
inconveniently	不方便
customable	可课税
coquette	卖弄风情之女子
wpm	minute
fasten	拴紧
laird	地主
chechako	=cheechako
odour	气味
inimitably	无法仿效
skillion	棚屋
pubic	阴毛
incestuous	血亲相奸
abreast	并肩地
boskage	灌木丛
mnemonics	记忆术
sequal	结构化查询语言
babblingly	喋喋不休
tutee	受指导者
sputter	气急败坏地说
misbound	装订错误的
told	tell的过去式和过去分词
pentlandite	镍黄铁矿
vehement	猛烈
pectoral	胸
lapidescent	石碑似的
thriftily	繁茂
inherent	固有的
anonychia	无爪症
ulcerously	溃疡性地
kilolitre	千升
feathered	有羽毛的
ejaculator	射出肌
decentralization	排除集中
coastal	海岸
rechabite	绝对禁酒者
quirky	诡诈的
ip	网际协议
visard	面颊
goodly	优美
ornithologic	鸟类学的
harassed	厌烦
tripping	轻快的舞
override	制服
leader	导杆
backbench	后座议员的
parlous	狡猾的
clearsighted	眼力好的
superheterodyne	/
huelga	罢工
weediness	瘦弱
discission	挑开术
magnetotactic	具趋磁性
ramification	衍生物
skill	技能
silvana	西尔瓦娜
sinful	有罪
biscuit	饼干
poxvirus	痘病毒
alfresco	在露天
jammy	粘上果酱的
flexibly	易曲地
muroran	室兰
exterior	外型
legendry	传奇文学
chaldaean	=Chaldean
choriamb	长短短长格
countershock	对抗休克
moonwatcher	月球观察者
prestigious	声望很高的
fast	紧紧
spear	枪
liveware	人件
bepaint	在……上涂漆
symmetrize	使对称
hall	礼堂
pentarchy	五头统治
wally	第一流
browse	浏览
amidogroup	胺基
heliskiing	由直升机送上山顶的高山滑雪
corny	乡下味
alguacil	=alguazil
paint	绘
carry	传送
middleware	中间件
xanthous	黄色人种
stolid	神经麻木
umpy	=umpire
lapm	Protocol
unbrace	解开……索带
serpiginous	匐行的
mansard	有双重斜坡屋顶的房屋
bosom	任何温暖、舒适而熟悉的地方
salientian	无尾目的
hindoo	印度教的
bern	伯尔尼
balliness	=ballsiness
faustina	福斯蒂娜
multiscreen	多银幕放映
dispassionately	冷静
chukchi	楚克其族
gladly	高兴
prejudicious	不利的
brevet	予以名誉晋升
demimondaine	花街柳巷
biome	生物群系
defiant	挑衅的
scum	浮渣
crownling	皇储
scrimpy	缩减
viking	海盗
reasonless	无推理能力
literatus	文学界
gape	打呵欠
teleprinter	电传打字机
ruddered	有方向舵
ard	disease
mukhtar	镇长
ordnance	军火
regionalism	地方主义
corkily	像软木
seamanlike	熟练水手似
ebullience	热情洋溢
abo	当地的
videography	录像片摄制
treponematosis	密螺旋体病
auriform	耳状的
hpgc	gyrocompass
spuggy	家麻雀
multidisciplinary	有关各种学问的
polymelia	多肢畸形
semiscientific	半科学
accepted	一般承认
harsh	苛刻
driftwood	流木
expound	解释
inveracious	虚假
septifragal	室轴开裂的
huttonite	硅钍石
quip	双关语
ginner	轧棉工人
shock	震惊
samsung	韩国三星公司
extorsively	敲诈
navaid	助航系统
replication	复制
exclamation	惊呼
fulminating	暴发性
sweetish	有点甜的
bratty	讨厌
timbered	森林
schizophreniform	精神分裂症样的
demulsification	反乳化作用
scleroiritis	巩膜虹膜炎
dreamer	做梦的人
gastroscope	胃窥镜
demimonde	风月场
hulking	笨重的
curator	馆长
participancy	分享
induce	促使
oceanography	海洋学
blueness	青
spinoff	续集
form	形状
substitution	取代作用
nccw	of
unveracious	不诚实的
assault	袭击
tacirton	躁声闸流管
sungari	Songhua
stellular	小星形
sutural	针脚
conveyable	可移动
climatically	气候上
nullification	使变的无用
conversus	庶务修士
parking	停车
peeper	眼睛
bifacial	有两面的
subtense	弦
noumenally	实在
scotophase	人工夜间
bulgy	凸出的
jocko	猴
anaphylactic	导致过敏的
exemplarily	可为鉴戒
moody	喜怒无常
essentiality	真髓
eradiculose	没有小根的
lacerative	割碎的
pulpit	讲道坛
summersault	=somersault
enigma	不可思议的东西
hungnam	兴南
divisionism	点彩画法
pool	集中
tasmanian	塔斯马尼亚
tcp	包括IP
brigandage	强盗
reg	汽车牌照
chaperon	伴护
talking	表情丰富的
muciferous	分泌黏液
unwinnable	不能赢得的
shunless	回避不了的
consumable	可消费
berserker	狂暴战士
sententious	富于格言的
undershirt	汗衫
accomplishable	可完成的
lighter	点火者
clouding	不清爽
sagaciousness	睿智
indication	指出
introspection	自省
halocline	跃层
nerts	胡说
import	输入
levo	左旋
hermatypic	造礁
sinew	精力
discriminative	ly//
euthermic	发热的
faltering	犹豫
slimming	使苗条
coquilla	nut
liquefy	液化
snoopy	爱窥探
nonreturnable	不能退还
curviform	弯曲
solidification	凝固
phyllome	叶性器官叶丛
marchpane	碎杏仁制成的饼
truckdriver	运货汽车司机
puffbird	喷鴷科鸟
chirp	喳喳声
necrogenic	腐尸的
honan	见Henan
deuce	两点
gadid	鳕科
whippoorwill	北美夜鹰
tumular	古坟
pontifical	大祭司
peridium	包被
vole	大满贯
negativity	消极性
twinight	连续两场比赛
doglike	象狗的
psychrometer	干湿计
uninterrupted	不间断的
trusting	信任
ultramarine	海外的
unsystematic	无系统的
goofus	谷弗斯管
eventual	结局
amimeche	Mech
vsat	Very
idiopathy	原发症
spile	塞
schottische	慢步的
cymbate	船形
freeform	任意的
alphabetically	按字母顺序地
babe	缺乏经验的人
hostess	女服务员
seismoscopic	需求示波仪
suppleness	易弯曲
chummage	同居
sillily	愚蠢
manzello	曼泽洛管
cenobian	寺院
marquise	女侯爵
concertmaster	首席小提琴手
aufwuch	附着生物
unexamined	未经权衡的
autocaption	自动插入题注
emancipative	有助于解放
eolith	原石器
desquamative	脱皮
farcy	家畜慢性致命性放线菌病
crossly	故意为难
pyemic	毒血症
vibraharp	=vibraphone
indeliberate	不是故意
liquefacient	液化的
leporine	野兔
hearty	衷心
incursionary	侵犯的
backroom	秘密完成的
lumbosacral	腰骶
colorado	美国科罗拉多州
glandular	腺
shrubby	灌木一般的
delphic	神谕
inky	漆黑的
trunnion	耳轴
somnial	梦的
aborted	流产的
chloral	三氯乙二醇
subocular	眼下
servo	伺服系统
comecon	Mutual
namable	可指名的
chipper	活泼
nocuousness	有害
heavy	巨大的
indirectly	拐弯抹角
randomly	随便
thuoughput	吞吐量
dissembler	伪君子
verbile	言语意象型
electrical	有关电
pour	灌注
bribe	向……行贿
drencher	大雨
visit	拜访
checkerboard	西洋跳棋盘
mufti	法学家
psychoneurotic	精神神经症
adverbial	状语的
dapple	斑纹
related	讲述
vfat	Allocation
largess	赠品
homosexual	同性恋
kbe	Order
pedestal	基础
tunisian	突尼斯
connivancy	纵容
rockless	无岩石
tylopod	有胼足
flexuous	之字形的
muddily	多泥地
virus	病毒
hedy	赫蒂
chic	别致的
unmentionable	不宜说出口
mirage	海市蜃楼
barbarianize	使变成野蛮人
saltish	略带咸味
jansenism	Jansen
terminal	每学期的
tassel	缨
incontinently	不能自制
feculent	臭的
wearisome	使疲倦
orgy	纵酒狂欢
recusancy	不服从
rcvs	Veterinary
hurtless	无害的
unyoke	解除束缚
virginity	处女性
neuropsychiatry	神经精神医学
guangdong	广东
recision	废弃
urological	泌尿道的
rarer	更珍贵
stiffly	呆板地
requiem	挽歌
screwy	螺旋形的
devouringly	贪食
zonked	吸毒而恍惚的
tad	少量
actinodermatitis	放射皮炎
carping	吹毛求疵的
martial	威武的
skikda	斯基克达
chefdoeuvre	名著
whipgraft	用舌接法接
lamiaceous	属于薄荷科
mastfed	饲养的
pickled	盐渍的
indumentum	毛状外被
kirghizia	吉尔吉斯
casper	为一可爱的小精灵
oecd	Organization
stomatic	气孔
dynel	合成纤维的一种
superexcellent	绝佳的
tribology	摩擦学
extent	临时所有权令
superior	出众
instillation	灌输
slack	马虎
herring	青鱼
wire	拍电报
wrb	War
suzerain	宗主国
hurst	海中砂丘
wrinkly	有皱纹的
insect	虫子一样的
tripalmitin	软脂酸甘油酯
salutary	有益的
fisted	握成拳头的
intravital	作用于活体的
microsegment	小音段
volitive	意志的
matlo	海员
mock	嘲笑
bonesetter	接骨师
exposed	无掩蔽的
mastoid	乳头状
tatary	=Tartary
appear	公开露面
vulcanologist	火山学家
mas	Standardization
depressor	抑制剂
profluent	涌流的
camerlingo	教宗侍从
smarmy	令人厌烦
videotex	可视图文
macrostylous	具长花柱的
runaround	遁词
hostility	恶意
dispraise	指责
propylaeum	入口
cosmonette	女宇航员
mallet	槌棒
tizzy	极度激动狂乱的心情
aggravating	恼人
neuralgic	神经痛
assheadedness	笨蛋
arbo	虫媒
limnetic	淡水的
haemophilic	嗜血的
programmable	可设计的
dic	=dictionary
wogland	外国
bequeath	遗赠
inductile	不能延伸的
georgic	农业的
remelting	再熔化
immusical	不和调
flicker	闪烁
enteron	肠
short	不足
adgb	Great
lipographic	漏写的
conceitedly	自满地
cad	下流人
bilabial	有两唇的
invigorator	强壮剂
briery	多荆棘的
encapsule	装入胶囊
pad	便笺簿
tab	认出
pitiable	卑劣
hubbub	叫嚷声
been	到过
scall	头皮屑
snooker	桌球
pinfall	按倒
wafery	薄
marginal	边际
carrick	=carrack
piperidine	氮杂环己烷
fantabulous	极妙的
voguish	一度流行的
greasy	油脂
sarcenet	有光里子布
nephridium	肾
hydrovane	着水板
consign	委托
shakiness	震动
rhizomatic	像根茎
drover	家畜商人
appendicitis	阑尾炎
ladrone	贼
prelatism	主教统辖制度
soapsuds	肥皂水上的泡沫
collaboration	通敌
divvy	部分
set	装置
elfin	小妖精的
inoxidizable	不能氧化的
stirring	激动人心
palp	触须
meniscocytosis	镰状红细胞性贫血
spoony	笨的
chemulpo	济物浦(南朝鲜港市仁川
circumgalactic	围绕星系
humberside	亨伯赛德郡
professorate	教授之职位或聘期
fenceless	没有围墙的
apprehension	忧惧
homeliness	寻常
hyperbolic	双曲线的
rasbora	波鱼属
dili	帝力
tensile	拉力的
secondly	第二
salangane	海燕
funeral	葬礼
crackly	容易破裂
reupholster	为重装椅面
overbrim	满出
iranian	伊朗的
aniline	苯胺
alluring	迷人
intimity	亲近
nomadize	流浪
alcoholysis	醇解
fifa	Internationale
polynosic	高湿模量粘胶纤维的
inqilab	革命
hircine	山羊
regularise	=regularize
tricarboxylic	羧基的
enclosure	四周有篱笆或围墙的场
rule	管辖
methotrexate	甲氨蝶呤
plantigrade	脚掌着地行走
asymmetric	不对称
obbligato	伴奏
vaccinization	连续接种法
centuplicate	百倍的
graunchy	考验的
fully	足足
godward	向神的
norwalk	agent诺沃克因子
baghdad	巴格达
proximate	最近的
cloistered	住在修道院
