dover	多佛
aaronic	亚伦的
plumate	似羽毛
hologynic	全雌遗传的
hairtail	带鱼
phonetically	按照发音
screed	样板
yird	陆
regis	里吉斯
dynast	王朝的君主
performance	成绩
deovolente	如蒙上帝恩允
ocean	许多
aestival	夏季
approbatory	承认
amplitude	广阔
unwillingness	不情愿
goto	转到
underslung	装于车轴之弹簧上
evidential	提供证据的
exuviae	脱落的皮
attainture	耻辱
thunderhead	雷雨云砧
coleopteron	鞘翅目昆虫
whisk	毛掸子
metagalactic	总星系的
blanch	漂白
malodorant	难闻的东西
amidol	阿米酚
ungrateful	不领情
bergamot	梨的一种
actionable	可控告
adventuresome	冒险性的
uc	upper
os	西洋旧历
ironhanded	铁腕
cockchafer	金龟子
aasvogel	南非秃鹫
ingoing	就任
graunchy	艰难的
exorbitant	过度
unbred	粗鲁的
industrialized	工业化的
dct	离散余弦变换
tiptop	最高点
course	路线
eradicative	消灭的
furry	有舌苔的
unplaced	无处居住的
insurgently	汹涌地
convect	借对流传热
drosky	无顶四轮马车
negrophobia	黑人恐惧症
waxiness	蜡质
alba	Toledo
untransferable	不可转移
feulgen	福尔根反应
unexpectedly	出乎意料
uto	Organization
sallenders	马膝湿疹
unimolecular	单分子的
horselaugh	纵声大笑
phytocide	除草剂
ciliate	有纤毛的
vegetation	生长、呆板单调的生活
sinfonia	交响乐
trochelminth	担轮动物
ripsnorting	了不起
hypopiesis	低血压
raughty	愉快的
cowish	胆怯
hurl	用力投掷
brae	山坡
satisfy	确保
mitred	斜拼接的
costumier	服饰供应商
panzer	装甲车
heathy	石南丛生的
deemster	法官
connect	联合
transigent	妥协
grimly	冷酷地
temporal	当时
octillion	千的九次方
fictile	可塑造性
paly	发青
backing	衬背
revolutionize	宣传革命
bir	国内税收局
dawning	黎明
towaway	拖走扣押
foamback	泡沫塑料衬里
florid	红润的
desulphurize	去硫
villain	坏人
egotistical	任性
fractionary	微少的
generalization	概括
ornamental	装饰物
imaginable	可能的
usia	United
pinocytotic	胞饮作用形成的
exorcise	驱邪
ribby	贫穷的
debug	除错
transeunt	超出己身之外的
fimbriate	使有毛缘
threaten	威胁
ruleless	无规则的
archimage	大魔法师
budding	萌芽
aaup	Association
lustful	渴望的
bordetela	博德特氏菌
chromatically	上色
dread	惧怕
subacid	略带酸味
ocotillo	墨西哥刺木
haidarabad	=Hyderabad
utopian	理想化的
muzzle	枪口
obstructive	妨碍物
devilment	恶作剧
bloated	发胀
disconformity	矛盾
castrative	产生阉割效果
elena	埃琳娜
cannikin	小杯
incidence	影响范围
quickening	胎动初觉
bloodless	不流血
russian	俄语
subaltern	下的
scummy	浮渣般
vacillatingly	犹豫
rasc	Corps
trihedron	三面体
einsteinian	爱因斯坦
illuminating	照明的
usha	United
seaward	向海
cyrenaicism	昔兰尼学派的快乐论
flowering	开花
sisyphean	永远做不完的
screen	包庇
diplont	二倍性生物
delivery	引渡
suffer	忍受
preparation	准备
callous	起老茧
clergy	神职人员
dendrite	模树石
ascesis	苦行
turnsick	蹒跚病
electrodialysis	电渗析
opium	鸦片
expansionary	膨胀
contention	争辩
braless	不戴胸罩
regard	尊敬
maguey	其纤维
noiseless	无声的
laryngectomy	喉头切除术
wafery	象薄脆饼似的
tsade	=sadhe
unreflecting	不反省的
brassage	铸造货币费
etna	酒精灯煮水器
aristocracy	贵族政府
cerebric	脑
admonish	警告
somatosensory	体觉的
curlicue	花体
nc	Numerical
rebel	叛乱
smear	中伤
ecliptical	黄道
haut	豪华的
neorican	新波多黎各人
leasehold	借贷
exocarp	外果皮
hibernation	过冬
coot	笨蛋
bifilar	双丝
fingerful	少量
lullaby	唱催眠曲使入睡
gravitate	吸引
formulaic	用俗套话堆砌成的
turnix	quail
zollverein	商业同盟
dpg	acid
ligule	舌状
direct	指挥
circumplanetary	围绕行星的
antidiuretic	尿分泌抑制剂
mainly	主要地
combustibility	可燃性
millionocracy	财阀政治
micromeritics	粉末工艺学
mattery	流脓
remorsefully	极为懊悔地
planetary	行星
shoreless	没有岸的
bovarism	包法利式的浪漫人生观
nephrostome	肾口
expectative	预期
piety	虔诚
phi	21
rhomboidal	长菱形
northernmost	最北的
grasp	抓紧
rear	后面
confusedly	慌乱
mugho	矮生山松
plant	设备
dogwood	山茱萸
telford	泰尔福特路面
bootlick	拍马屁
whorish	妓女般
immovability	不变
frgs	Fellow
extramural	单位以外的
autogamic	自花受粉的
cynwulf	=Cynewulf
mortgage	抵押
coverage	复盖
power	使……有力量
supersonic	超音波的
sootiness	烟熏
disseizee	不动产被强占者
telerecording	电视影片播放的节目
drone	雄蜂
asterisk	星号
scansorial	适合于攀登的
title	用作书名的
jointer	刨接缝的长刨
compensation	补偿
dissectional	仔细分析
rutilant	发亮
flashback	闪回
endemic	方
tam	一种便帽
fruitwood	果树材
optical	眼
endeavor	尽力
xylocaine	利多卡因
variorum	集注本
ricksha	人力车
melphalan	左旋溶肉瘤素
hairy	多毛
sheugh	犁沟
volant	迅速的
motley	五颜六色
shockingly	怕人
secondhand	间接
faulted	有毛病的
theropod	兽脚亚目
briny	海水
sick	追击
hodographic	矢端曲线的
tensile	张力
theosophy	接神论
sins	ship''s
pussyfoot	谨慎行事
vellicative	能拔的
comic	喜剧
constringency	收敛
homozygote	同型接合子
cautious	小心
unwary	粗心的
univalve	单壳的
tanniferous	含丹宁酸的
ingenuously	正直
onion	因洋葱掉泪
apopemptic	临别的
egoistical	利已主义的
illyrian	伊利里亚人的
wistfulness	渴望
avirulent	无毒力
gulf	使深深卷入
knightly	骑士般
subhead	副标题
papula	丘疹
sermon	布道
iodometry	滴定碘法
noviciate	见习
livre	里弗
infantine	小孩似
munificent	慷慨
pyelitis	肾盂炎
declarative	公布的
dubiety	可疑性
exigence	苛求
clipped	发音清楚的
vicky	维姬
veiny	纹理状
phylogeny	发展史
extramundane	物质界以外
concourse	集合
dissemble	假装不知道
laudator	称赞者
flanneled	穿法兰绒衣服
laconical	=laconic
uraemia	尿毒症
mispronounce	发错音
godlike	与神相称
hypostasis	原质
conchoid	蚌线
kharakteristika	=karakteristika
conamore	热心地
unduly	过度
tabes	消瘦
adrenocorticotro	hormone//rophin/E`dri:nEJropic/E`dri:nEJ9ropin/E`dri:
connectedly	有关联地
hamam	公共澡堂
manioc	树薯粉
grieved	伤心的
laminose	薄板
cumbersome	笨重
instant	方便的
disclaim	放弃
cess	税
hence	从此
elusive	难捉摸
deprecatory	反对
recent	新近的
influential	有势力
irradiancy	发光
arouse	唤起
controvertible	可争论的
insensibly	徐徐地
rhinopharynx	咽之鼻部
differentiability	可微性
sunny	快乐
afterwards	然后
explicit	清楚的
short	简短
armenian	亚美尼亚的
astronomic	天文学的
balcony	阳台
glomeration	成球状
conflagration	大火灾
bodoni	博多尼活字字体
bloomy	有粉衣的
fencing	辩论
lamaster	逃犯
towable	可牵引的
sexual	性
overripe	过熟
jasper	碧玉
predicatively	断然地
wonder	奇妙的
bibliographic	著书目录
unbrotherly	非兄弟般的
update	校正
transportation	运)n/
arithmetization	算术化
geegee	劣等赛马
suggest	建议
korean	韩国人
kootenay	库特奈语
grisette	女店员
dummkopf	笨蛋
mbfr	相互均衡裁军
cabalism	犹太神秘哲学
epigenous	生长于叶面的
trisomic	二倍加一的
replay	重新表演
radiomimetic	拟辐射
clintonia	七筋菇属植物
potass	碳酸钾
anandrous	无雄蕊
accessible	可到达
canaliculus	细管
blondine	把色
baton	指挥棒
piggyback	骑在背肩上的
deambulatory	散步
lixivium	灰汁
atonicity	张力缺乏
artificer	发明者
erect	直立的
compulsive	强制
dissociate	分离
criminal	犯罪
sheller	脱壳机
mna	of
cargo	船货
outburst	爆发、喷出
imploringly	哀求
oleic	自由采取
longhair	知识分子的
eminent	显赫的
bha	hydroxyanisole
usrc	States
specific	明确的
waterflooding	注水
disquietude	忧虑
moslemic	伊斯兰教义的
whencesoever	无论从什么地方
moonship	探月太空船
molelike	似鼹鼠
negev	内盖夫
time	定时的
urc	Resource
disharmonize	使不和谐
crasher	不速之客
ric	of
sullen	沉沉不乐
soporific	催眠
fateful	预言性的
sightseer	观光客
autobike	摩托车
epagoge	归纳论证
rhetorical	带修辞色彩的
vengeful	报复的
diastatic	脱离
borazon	一氮化硼
plenteous	丰饶的
grindingly	苛刻地
melchiades	Saint
phytotron	人工气候室
aim	目标
unaverage	不寻常的
astuteness	机敏
denominational	派EnElIzEm/
centralia	澳大利亚的中部偏僻地区
eft	小蜥蜴
declensional	词形变化的
nasty	令人厌恶的
papyraceous	纸草的
iv	静脉内
unappealable	不可上诉的
wheelbase	轴距
inscriptive	题写
howsoever	无论如何
offhand	即时
downlink	向下链路
nasty	淫秽的
pelias	珀利阿斯
ungreeted	未致意
pectinated	栉齿形
perfidiously	不忠实
befallen	发生
crim	=criminal
untapped	未使用
electroetching	电蚀刻
usurpatory	夺取
acerbity	酸
dead	熄灭
tourniquet	止血带
conically	成圆锥形地
triangulable	可三角剖分
apocynaceous	夹竹桃科的
qualm	疑虑
imaginably	可想象
leadenhearted	铁石心肠
wisperer	窃窃私语者
coagulatory	凝结
ultimateness	结论
ubi	在那里
heathfowl	grouse
slatternly	不自检点的
permanent	永久
rio	Information
trunk	箱形
northwesterly	从西北来
tartar	牙垢
dutiful	守本分的
allopatric	单独地发生
queerness	奇妙
lathyritic	山黧豆中毒
bifunctional	具有两种不同功能
sexagenarian	六十岁的
indent	凹痕
parodos	合唱队登场的通道
scilly	of
hypoxia	组织缺氧
skeletony	梗概
guts	飞碟游戏
machiavellism	马基雅弗利主义
puff	骄傲
endopolyploid	内多倍体
tannage	鞣熟的皮革
thermoduric	耐热的
querulously	抱怨
bequest	遗赠
trituration	研碎
monody	挽诗
slimming	减食疗法
dissected	切开
proctorize	以训导长身份谴责学生
contract	感染
creel	鱼篮
make	产生
unstrained	不勉强的
vistula	=Wisla
eely	似鳗的
melitopol	美利托波尔
adversarial	对抗的
cheering	喝彩
tired	累的
graphitoidal	似石墨的
amido	氨基的
smarmy	虚情假意的
dapple	有斑纹
periclase	方镁石
supercool	过度冷却
dustbinman	垃圾工
legatine	使节
dijon	第戎
mendacious	说谎
cartridge	弹药筒
emi	Magnetic
mere	纯粹的
fallage	砍下的树枝
freckling	斑点
climate	风土
alimentative	提供营养
hoverheight	垫升高度
sensorimotor	感觉运动的
canner	罐头制造商
eurycephalic	阔头
dioptric	视力矫正用的
ostentation	卖弄
deucalion	丢卡利翁
cmh	Congressional
crepuscular	拂晓的
instant	方便
giggly	吃吃笑
senarius	六音步的诗
dishonorable	不名誉
comic	滑稽演员
snide	暗讽的
incalculably	无数
maybe	大概
geophone	地震检波器
nugget	天然金块
polyphonic	对位法的
remorseless	冷酷
guff	胡说
sobeit	设或
erasmian	伊拉斯谟
negligent	粗心大意的
gaulish	高卢语
gibblegabble	=gibberish
disciform	盘状的
australopithecine	更新纪灵长动物的
frisbee	n
imperviable	不能渗透
moa	恐鸟
idly	懒惰
superciliary	眼睛上方的
requiem	悲歌
hermes	heavy
table	表格
interceder	调解者
ornate	绚丽的
preludial	序幕的
gouge	圆凿
geometer	几何学者
diabolic	魔鬼似的
monumental	不朽的
umbilic	脐带的
unshirted	不穿衬衫的
blastocele	囊胚腔
figurable	能定形
foreglimpse	启示
crosscurrent	横流
bleak	寒冷
cinephile	n电影爱好者
labyrinthine	曲折
arthroplastic	关节形成术的
tankbuster	反坦克飞机
inoxidized	未经氧化的
kinaesthetic	动觉
hyperpiesia	原发性高血压病
riband	丝带
setenant	连在一起面值不同的
disarm	解除武装
swith	迅速
millionth	百万分之一
rampage	狂暴
jipijapa	巴拿马草
strategus	将军
evacuant	泻剂
lease	租赁物
immensely	非常
sachet	香袋
powder	粉
pack	一群
benthamism	边沁学说
torsibility	抗扭力
tritiate	给……涂氚
dulotic	奴役现象的
roselite	玫瑰砷酸钙石
nuts	热衷
locomotory	移动的
generalship	将才
birchen	桦木制的
rescript	官方命令
asymmetric	不对称的
precipitator	催促的人
diffrangible	可绕射的
communicative	畅谈的
virginity	未婚女子的独身生活
grasp	抓住
umbra	蚀时的地球
bipolar	有两极
perennial	永久的
blotchy	有泡
hyposmia	嗅觉减退
hornpipe	从前流行的一种木笛
canonship	牧师或僧侣之职位
serried	密集的
pedantry	炫学
fairness	美好
holistic	整体
drawbench	拉丝机
tussar	=tussa
anisaldehyde	对甲氧基苯甲醛
legume	豆类
spile	插上插管
excursion	游览
corporatist	组合主义者
toxophily	射箭
ittf	Federation
illusion	幻想
weird	超自然
overspill	溢落的东西
campanological	铸钟学的
impetrate	祈求
testacean	有壳类
trowel	用泥铲涂
dissected	多裂的
pipeless	无管的
tritural	适合于粉化的
hatchway	天花板出入口
conception	概念
psychiater	研究精神病之学者
breastplate	胸革带
washy	脆弱的
jubbulpore	=Jabalpur
infertility	不肥沃
bender	弯曲物
mangalore	芒格洛尔
strait	地峡
mammiform	乳房形的
substitutional	取代
rattled	慌乱的
msa	农业科学硕士
worshiper	参加礼拜者
favorite	宠爱的
pleistocene	洪积世
supportable	可援助
dovish	稳健的
conj	连接词
bantingism	班亭氏疗法
berate	申斥
compassable	可完成
animally	肉体上
locknut	防松螺母
jacksy	屁股
araneidan	真蜘蛛类的
frailish	不太坚固
aic	of
benty	多硬草
unnumbered	没有数的
trichotomous	=trichotomic
drownproofing	浮水法
gumming	树胶分泌
dunce	劣学生
mortice	榫接
infiltrate	渗透
incompatibly	不相容
didactical	教训
osmolality	同渗重摩
fatuous	愚笨
unpeaceful	不和平
unit	个体
fasciated	带化
indetermination	不确定
professional	职业的
reformational	改革的
aspca	American
casting	铸造
substratal	基础的
speculative	投机的
replant	使复位
odeum	音乐厅
lactalbumin	乳白蛋白
calculated	计算出的
miscreated	残废
pretence	伪装
oofy	富有
addie	艾迪
trump	出王牌
depauperize	消灭贫穷
convocation	召集
midlittoral	中沿岸带的
trustfully	深信不疑
uncalculating	没有心计
nonelectrolyte	非电解质
mitch	逃学
vitellogenic	=vitellogenous
arsenopyrite	含砷黄铁矿
bacterial	细菌
unreported	未报告
mirage	幻想
nonsensical	无意义
somatotrophic	生长激素
marginal	记在页边的
voyeuristic	喜好窥阴
cassia	肉桂
purser	主计官
neurogenesis	神经形成
flexible	易曲
emendation	修订
implacental	无胎盘
decolonize	使非殖民化
pst	Pacific
veracious	说实话的
lats	背阔肌
undoubtedly	无庸置疑地
philanthropize	行善
thyroiditis	甲状腺炎
feeze	激动
unpunishable	不能受惩罚的
unlearned	无教育的
narrow	严密的
braggart	吹牛
decharge	浅滩
deck	一副
yield	屈服
surnominal	姓
pouch	小袋
blocky	短而结实的
isooctane	异辛烷
quinquepartite	分成五部的
menfolk	男人们
wga	Writers
tardily	缓慢
indefatigably	不厌倦地
postulate	要求
timaru	提马鲁
whoremonger	拉皮条者
sensitive	敏感
ccpit	for
clonesome	模仿别人的
wooly	羊毛内衣
bagman	中间人
emotively	动情地
coulisse	侧面布景
dissuade	劝阻
unhesitatingly	坚定地
unprescribed	非规定的
creodont	古肉食哺乳动物类
bec	经济学士
jonah	约拿书
offput	使气恼
waveform	波形
dismantle	拆除
siderophilin	=transferrin
ring	按铃
manageable	易管理
abidingly	不变地
resigned	顺从的
jat	贾特人
snubby	短而往上翘
grave	雕刻
yucatecan	尤卡坦人的
manual	实际占有的
toothsome	美味的
peregrin	外侨
transfect	使转染
unconditioned	无条件
pandybat	惩戒皮带
rantipole	粗野的
aclinic	水平的
gracia	格雷西亚
weird	超乎事理之外的
shred	撕碎
reflorescent	再开花
murderous	杀人
dlp	数码光输处理器
geologize	调查地质
foraminiferal	有孔虫目的
multihull	多船体的
unaffected	未被感动
forepassed	过去的
story	小说
annuity	养老金
pulmonary	肺部
vector	带菌者
closet	壁橱
apsis	拱点
skeleton	纲要
harmlessly	无害地
blanky	=blankety
trawl	拖网
rebellious	反抗
rah	好哇的欢呼声
owl	枭
stray	漂泊游荡
dandriff	头皮屑
cecile	塞西尔
indebted	负债的
cloud	污点
circumlunar	月球周围的
sandblast	喷沙器
scrap	残余物
mellowy	=mellow
wham	重打
filemot	褐色
malacology	软体动物学
sdcd	Disc
defogger	除雾器:
lot	划分
underhand	欺瞒
polyconic	多圆锥的
lavishly	浪费地
ionicity	离子性
usga	Association
westralian	西澳大利亚
snowball	打雪仗
omicron	希腊字母第
pollster	整理民意测验结果的人
stormy	暴怒
statuesque	轮廓清晰的
validly	正当
paced	步伐的
reelingly	旋转地
piezometry	压力计使用
noontime	中午
brim	使满溢
spanless	不可测量的
contracted	收缩了的
dewiness	潮湿
sneery	讥讽的
promiscuously	混杂
oleoresin	油性树脂
dneprodzerzhinsk	第聂伯罗捷尔任斯克
sinuate	弯弯曲曲的
disclaimation	弃权
delivery	分娩
epsom	州的市镇
toby	托比
eacm	Common
flakey	疯疯癫癫
italicize	用斜体字排字
crabbily	固执
rowdydowdy	吵闹的
adulterate	掺假的
outweary	使筋疲力尽
whacking	巨大
asphodel	常春花
ashiver	发抖
tetrachotomous	四叉
tributary	进贡国
unostentatious	朴素
filter	走漏
sod	草
double	双重
verruca	赘肉
suety	板油一样
pose	矫揉造作
willing	反应迅速的
posttranslational	遗传翻译后
ahemeral	不足一天的
lawlike	似法律的
uncommon	不凡的
obtected	有角质外壳的
vile	简陋
meditative	冥想的
swerve	突然转向
oneness	单一
skinful	满满一皮囊
irak	伊拉克的
foil	贴箔于
tuck	缝摺
provencal	普罗旺斯的
cozily	舒服
poof	吹熄蜡烛的声音
decrypt	解释明白
furry	毛皮的
excrete	排泄
nongreen	非绿色
transferrer	转让给人
moldy	腐臭
punctum	凹陷
coverley	de
brede	编带
descendiblity	遗传
grandisonian	葛兰狄生式
effectively	有力地
boniface	小餐馆老板
circumambience	四周
stripper	清除的人
album	签名纪念册
whiff	轻轻地吹
sacrament	圣礼
heater	发热器
insurgence	暴动
broil	酷热
vsam	Sequential
renumber	重编号
flickery	闪烁的
newfangled	新奇的
printless	无印痕的
consider	照顾
digital	数位
cartelization	组成卡特尔
pndb	decibel噪声分贝
ensoul	赋予灵魂
landscaping	景观美化
tuck	挤进
cliquy	私党
publication	发行
cuckold	使戴绿帽子
carlin	老妇人
whitetail	白尾鹿
agrimony	大麻叶泽兰
multivalent	多化合价
zilch	小人物
superempirical	超经验的
desertion	逃亡
lettish	列托语
lippy	出言不逊的
izzat	威望
trm	trademark
douai	Douai
floodwood	浮木
emptiness	无知
webbed	作成蜘蛛网状的
wri	war
skeletony	骨瘦如柴
premeditated	预想
chimney	烟囱
wild	野性
predeterminate	注定的
safekeep	保护
antlion	蚁蛉
ventrad	向前侧
tachiol	氟化银
saceur	欧洲盟军最高司令
transferable	可传递的
gossypose	密三糖
shoshonean	肖肖尼语
intergeneric	属间的
incompatibility	不相容
repat	被遣返回国者
escargot	食用蜗牛
sixpenny	不值钱
chromophilia	易染性
acquirement	习得
slime	粘液
deictic	直证的
abasia	步行不能
pert	活跃
cernet	China
padrone	旅馆老板
vivific	使活跃的
floridness	鲜丽
diandrous	有两个雄蕊的
impermissible	不允许的
joint	合办的
smice	冰雾
bivvy	临时营帐
parody	模仿滑稽作品
corporate	法人
spat	蚝卵
covert	在丈夫保护下
impecuniosity	身无分文
quit	解除
proportional	均衡的
monopolistic	独占
inadvertently	不注意地
untamable	不能制服的
path	小径
capitol	州议会大厦
inerrability	无误
hydrostat	水压调节器
ventrodorsal	腹背的
varoom	呜呜声
wot	wit的第1、3人称单数现在式
waster	次品
increscence	渐增加
eucalyptol	桉树脑
superradiant	超发光的
charming	迷人的
rail	围栏
methodologist	方法学家
lubber	笨拙
uncorrupt	无讹误
scrap	零碎
nih	全国卫生研究所
stearic	似硬脂的
reciprocitarian	支持通商互惠者
chapfallen	沮丧
vasopressin	抗利尿激素
kinsey	金赛教授
dispersal	驱散
lie	展开
aaup	of
appersonation	对一个知名人物下意识做的假想
deviously	弯曲
xenia	齐妮亚
apa	addressable
nonlethal	不致命
canicule	七八月期的酷暑
pertinence	有关性
prankster	顽皮的人
incarnadine	粉红色
subtropics	亚热带地方
bioplast	原生质细胞
fiz	有泡沫的饮料
heartstrings	心弦
harmaline	二氢骆驼蓬碱
baltic	波罗的海诸国的
heeler	制做鞋跟的工人
slue	极多
toon	红椿木
superstitious	迷信
discursiveness	漫谈离题
quercitol	栎醇
volatility	挥发性
preparative	准备的事物
braid	编织
inspan	套轭于
nog	支架
jollification	欢乐
nitid	明亮
blackguardly	粗鄙
shelly	由壳而成
arghan	波罗叶纤维
sark	内衣
nominate	任命
crystal	结晶状的
banaras	巴纳拉斯(印度东北部城市瓦腊纳西
precautionary	预防
piping	吹笛的
enthalpimetry	测焓
veritas	真相
optional	可选择
coalescence	接合
undersurface	底面
grammaticalize	将……作为语法要求
biwa	Lake
abrasive	研磨的
enthronization	授予主教职
hepatocele	肝脏脱出
testaceous	有贝壳
ase	Exchange
outcast	流浪者
lachrymal	啜泣
sylvan	有森林
outspread	伸展
radioprotective	辐射防护的
defrost	除霜
eclamptic	惊厥的
concomitant	伴随
idol	谬论
coarseness	劣等
tristful	悲哀的
phytocidal	除草的
narcose	昏睡
irremediable	不能治疗的
scrummage	排成争球队形
grallatores	涉水禽类
scraggy	凸凹不平的
hyperconscious	a知觉太过敏锐
finery	服饰
incondite	结构拙劣
fatuous	愚笨的
mia	in
rearwards	在后面
crusher	镇服人的事实
schlep	搬运
teutonism	条顿风尚
peart	有精神的
castigatory	修订的
ripely	圆通
airstop	降落场
bookworm	书呆子
infamy	丑行
carvacrol	香荆芥酚
puncher	穿孔者
treadwheel	踏车
grade	评级
geocide	地球的毁灭
abm	反弹道导弹
maltreatment	虐待
novelty	新奇的事物
lucidity	透明
winterkill	冻死
cushy	轻松而容易赚钱的
style	字体
dairy	奶制品
iou	you
immotile	不能游动
oa	Operational
osteography	骨论
endocytic	内吞作用
ferrule	套圈
kiddywink	小孩
uar	United
unsteadily	不稳定地
rumpless	无尾
balanced	和谐的
market	行情
replacer	复原者
chokebore	口径逐渐收小之枪
seromucous	浆液粘液性
follicular	卵泡的
narrow	勉强
dulcite	卫矛醇
pyromancy	火占卜
dynamic	动力学
voila	瞧
onrush	突击
expressly	清楚地
crimp	诱骗别人去当兵
nuance	细微差别
conjugated	成对
amphigamous	无性器官
sawtooth	锐齿
outrageous	蛮横
hemiola	三比二
cytochalasin	细胞松弛素
platinoid	假铂
quarrier	凿石匠
conversant	亲近的
galbraithian	加尔布雷思的信徒
flimsy	薄纸稿纸
gravitation	地心吸力
illuminable	可启发的
saccharase	蔗糖酶
emulatory	好胜的
prolificacy	生产力
vast	大量的
kairouan	Kairwan
crewmate	同机工作的机员
aneurismal	动脉瘤
sequence	次序
opern	歌剧院
poignant	令人痛苦
sinarquist	辛那其主义分子
desist	终止
spiritualism	灵性
handraulic	手动
coz	堂兄弟姊妹
haemospasia	血液诱导法
autumn	成熟期
rattlebrained	头脑空虚的
avocet	反嘴鹊
fingerful	一撮
purportedly	据称
pyromancy	火卜
catchwork	截水渠
minor	辅修
impolitely	没规矩地
supravital	体外活体
staphylorrhaphy	软腭缝术
secondhand	旧的
sparkproof	=sparkless
ferry	渡船
alimony	生活费
baptist	施洗者
extramental	精神以外
swaybacked	弄伤了背的
orderless	无条理
gain	得到
rally	恢复健康
egoistical	自私自利的
kitwe	基特韦
son	儿子
warrant	保证
hyperconscious	过于敏感的
moorcock	雄苏格兰雷鸟
slash	砍伤
reconstructive	重建
ccpit	International
squam	渔夫戴的油布帽
kinkled	有小纽结
grandmotherly	慈祥
flocculent	丛毛状的
economy	经济制度的状况
infirmarian	疗养所主管人
table	石板
landaulet	小型之
ring	铃声
sillily	愚蠢地
kindly	温和
unsophisticate	不懂世故的人
juridic	司法上的
snowdrift	随风飘飞的雪
leary	猜疑的
horrific	恐怖
literarily	文学上
coward	懦弱的人
paramountcy	最高权威
gastarbeiter	客籍工人
ferocity	残忍
lustreless	无光彩的
saponifiable	可皂化的
jaffna	贾夫纳
inordinate	紊乱的
