sterling	标准纯银
holophytic	自养
frothily	起泡地
whisper	私语
defiance	挑衅
hypothetically	假想
pycnidium	分争孢子器
woald	=weld
barred	有木栅的
thermogenesis	生热作用
formulate	作简洁陈述
congius	康吉斯
wicked	邪恶的
unpunctuated	缺标点
canid	犬科动物
perturbation	混乱
compress	压缩
astoundment	惊讶
roundly	圆圆
hhfa	Finance
rascally	无赖的
homoeothermic	恒温
myrmecophile	蚁冢昆虫
nonfluency	不流畅
dowager	贵妇
hest	训谕
outright	彻底
token	记号
haematozoon	血寄生虫
purpresture	侵占公产
powan	白鲑
kikongo	刚果人
mind	智力
unspeakable	可怕
cinematographer	电影摄影技师
insectivorous	食虫
techy	暴躁的
liwa	大行政区
protechny	烟火的施放
nullifier	使无效者
decelerate	减速
henotic	有相同倾向的
cornuted	妻子与人通奸的
humble	卑下的
torte	果子奶油蛋糕
water	水面
effectually	全然
sean	Sean
magistrate	文职官员
garp	Atmospheric
cryometer	低温计
book	控告
cogent	强有力的
exuviate	蜕皮
phytopaleontology	古植物学
corresponsively	反应
inadvisability	不能变更
osier	柳树
cannular	管状的
emptier	抽空机
hulking	粗陋的
foxpro	运行在Windows操作系统下的、功能更为强大的数据库语言系统
remediless	不可救药
overmeasure	强行剩余
make	构成
barelegged	露腿的
brio	元气充沛
lacteous	乳
fellow	同事的
hike	飞起
attractive	有魅力的
toggery	衣服
grok	体验
girsh	=qursh
apomixis	孤雌生殖
fourfold	四重的
telekinesis	心灵促动
jubal	犹八
esophageal	食道
nymphomaniacal	患慕男狂
ballot	选举票
scurf	头屑
ulsterite	乌尔斯特人
obsessive	强迫性
manilla	吕宋纸
positive	实际的
emmenology	月经学
freezes	冻结
highway	大路
oni	海军情报局
unclos	联合国海洋法会议
would	愿意
slinkingly	偷偷摸摸地
polyisocyanate	=polyurethane
nuncupative	口述
cornered	被逼至绝路的
fishybacking	卡车渡运
gdss	群体计策支持系统
separator	离析器
feebleminded	无决断的
glandered	患鼻疽病的
stubbed	粗短
benevolently	仁慈地
courses	路线
immigrate	使移居入境
genicular	生在关节上
amitrol	杀草强
overspray	不粘附喷涂物
vincible	易于克服
comfort	安慰
pyrotechnic	令人眼光的
augustly	庄严地
surfboat	凌波舟
vigesimal	第二十
late	已故的
cirl	bunting黄道眉鵐
inexpediency	失策
chorda	腱
dissatisfied	不满意
dene	沙
seismography	地震定测法
couldst	can的过去式
agrotechnical	农业技术
annoyingly	恼人地
reelingly	旋转
ochreous	赭色
subinfeudation	分封地
nce	Edition
adularia	冰长石
unsheathe	拔出
virulent	致命的
disguise	伪装
hauteur	傲慢
tawie	易对付的
batata	甘薯
ignobly	下流
sexual	性别的
seismograph	测震仪
secularism	世俗主义
automatic	自动机械
arthrectomy	关节切除术
communistic	共产主义的
farmhouse	农场里的住房
pleiocene	上新世的
evagination	外翻
tubifex	颤蚓
transgress	违反
psychologic	心理学
moisten	弄湿
debrief	听取报告
mean	不舒服的
posh	豪华的
accouter	供以服装
exciting	使人激动的
remolade	=remoulade
closefisted	小气的
chesapeake	切萨皮克
olive	Olive
meditate	冥想
salvolatile	挥发盐
cellulated	细胞状的
apt	易于……
instantial	提供实例的
gallopade	其舞曲
eruditely	饱学
enormously	巨大
gyral	回旋的
coprophagous	吃粪
calk	尖铁
scalding	滚烫
invariable	不变的
labour	劳工
choke	窒息
sporadic	零星的
onlooking	旁观的
raf	Force
gramineous	草
datura	曼陀罗属的植物
cyclostomous	圆口动物
samyama	三夜摩
chd	coronary
diffusible	可散播的
lampholder	灯座
laminated	薄板状的
exponentiation	求幂
vpd	Printer
interlacustrine	湖间的
pvt	压力、体积、温度
fallen	堕落的
aauw	University
syncopal	晕厥的
winglike	翅状的
sitar	锡塔尔琴
slump	衰退
conch	海螺壳
inearth	埋葬
url	Uniform
unfurl	显露
guardsman	卫兵
coniform	圆锥形
mac	军事空运司令部
defensibility	可防卫性
antiphonary	轮流吟唱
piscine	鱼的
pantomimist	哑剧演员
expander	使增大者
undeveloped	未开发
stubbornly	倔强
oceanic	海洋产出
rune	诗歌
plasmolyze	质壁分离
unexacting	不需付出很大努力
palewise	垂直
distinguishable	可辨识的
oogamous	卵配生殖的
feme	妻
fany	Aid
banderol	小旗
tainture	瑕疵
snubber	拒绝者
ectotropic	外生的
way	行业
bearable	可忍受的
iconically	形象
moabite	摩押语的
twice	两次
marl	撒泥灰土
vacationland	度假胜
unequable	不温和的
antirust	防锈剂
embezzlement	挪用
antisudorific	止汗的
cosmotron	质子同步加速器
troposcatter	scatter
intuitivism	直观论
banality	平凡
corded	用索子捆扎
accidentally	意外地
colorful	色彩
overripe	衰败的
arm	武器
uddered	有……之乳房
hump	小园丘
twelvemonth	十二个月
aristotelian	亚里斯多德学派的
venom	使恶毒
lighting	照明
unswore	unswear的过去式
naillike	像指甲的
sibilation	齿擦音发音
shrewish	脾气暴躁
tinny	锡
runround	浅甲沟炎
infaust	不吉的
resemblant	相似
coquet	娇艳的
aeroamphibious	海陆空
jnd	Just
cask	装入桶中
revelation	启示
yeasty	动荡
morbid	由病引起
vote	投票选举
ultracritical	吹毛求疵
spheriform	球体的
barbarization	野蛮化
galactopoiesis	乳汁的分泌
atlantean	如
accelerator	加速者
cunt	阴道
cinder	灰烬
gambrel	马脚状的铁钩
vdi	Device
macassar	望加锡头油
deadening	隔音材料
computational	计算
mohammedanism	伊斯兰教
retroflexed	翻转的
transvaluation	重新评估
firefight	炮战
merchantable	有销路
vespertine	薄暮
tole	金属薄片
univalvular	=univalve
dissenting	不同意的
weak	疲软的
existentialist	存在主义的
connectivity	连通性
serosity	浆液一般的性质
alternation	轮流
glasshouse	暖房
resinosis	流脂
ultrarapid	超速的
vakky	=vacky
castellar	城堡
fustanella	白短裙
pubsy	使人联想到酒馆
bimanous	有两手
retroverted	后倾
asce	Engineers
subsonic	次音速
singaporean	新加坡人
maternity	产科
affirmant	断言者
inaccessibly	进不去
presumably	推测起来
starve	饿得要死
cussword	咒骂的话
impeachment	指摘
cestoid	象绦虫的
fractionlet	小片
haunted	闹鬼的
emigre	移居者
bilharziasis	血吸虫病
justiciary	司法上
guttate	有斑点
hoarstone	界石
bec	of
ferrimagnet	铁氧磁材料
typeholder	字母托架
downtrodden	被践踏的
feel	觉
upland	山地的
humaneness	深情
unregretted	无人惋惜
exemplariness	可资鉴戒
womanity	女子特性
out	外观
honorable	光荣
ingestible	可摄取
whisk	拂
auxotroph	营养缺陷型
sinner	罪人
unnumbered	没有数
positivist	实证哲学家
come	来
unexaminable	难以查讯
seti	intelligence
andvari	矮神安德瓦里
autunite	钙
hyposensitization	消除过敏
epizoon	皮表寄生虫
structureless	无定形的
eyestrings	眼肌
intolerable	无法忍受的
drag	拖曳
impassable	不能通行的
dependence	依靠
pity	憾事
unpleasant	讨厌
philippeville	菲利普维尔
inherently	天性地
home	产
unroyal	非国王的
yuletide	圣诞季节
labber	浑身泥泞的人
speaker	演说者
unconvince	使不确信
nuffin	没有什么
creamcolored	淡黄色的
glamourous	=glamorous
rhymeless	无韵的
doohickey	窍门
dicom	and
knop	球形手把
duplicate	复制的
desmid	带藻
days	天
conjugated	共轭
hfs	分层文件系统
benedictory	感谢
busing	以公共汽车运人
juggle	玩戏法
hypersuspicious	极其多疑的
forewoman	女领班
variational	变化的
economy	节约
bioclimatic	有关生物与气候
pyroclastic	火成碎屑的
rfz	rinforzando
pulchritudinous	美貌的
undenominational	不属于特定宗教派别
volplane	滑翔
exorbitant	过高的
outburst	破裂
numerous	许多的
mythologic	=mythological
flowage	泛滥的河水
retrad	向后
rattle	喋喋不休的人
maldivian	马尔代夫的
chirimoya	=cherimoya
exceptionable	可抗议
braceleted	戴手镯
entertaining	款待
illative	推理
chemotropically	向药性
algerian	阿尔及利亚的
herpetology	爬虫学
leftward	在左方
slopehead	越南人
maven	内行
ungrounded	无根据
pussyfooter	禁酒主义者
edwardian	爱德华七世时代的
fasciola	小束
hydrolytic	水解的
redactor	修订者
polymery	多出式
dolt	傻瓜
transplant	移植
unaccepted	不承担
monumentalize	为……立碑
kvetch	催逼的人
serra	锯齿状器官
jealous	警惕的
bilabiate	两唇
entrammel	束缚
savable	可节省
ito	Trade
pyorrhoea	脓溢
maladroit	不灵巧
triennium	三年时间
outrecuidance	极端自大
vast	大量
principled	原则性强
miotic	瞳孔缩小的
threnode	挽歌
cultrate	锋利且尖锐
clearly	明朗
lithosphere	岩石圈
henceforward	自此以后
mooneyed	患夜盲症
dangly	悬摆的
out	出局
shamefacedly	羞愧地
pug	捣
wimble	钻孔器
unbrace	放松
onsweep	朝前疾驰
snakelike	蛇一般
cease	停止
monetary	货币的
paramedian	靠近中央的
placement	定位球
holohedry	全面体
colourfast	不退色的
retrieval	挽救
anisole	苯甲醚
loamless	缺乏沃土
auctorial	作者的
immoralism	非道德论
drum	鼓形圆桶
clearheaded	头脑清楚的
when	pro
mediaeval	中世纪的
claimant	原告
arctoid	熊状的
broadcast	播音
kiushu	=Kyushu
arbitrariness	恣意
smokily	冒着烟
syndactyl	并指的
standing	站
aniseed	大茴香
sexploit	对……进行性利用
radioprotective	避免受辐射影响
dominant	支配
noncommunist	非共产主义者的
trigamous	雌
unnerve	使身心交疲
cheekiness	厚脸皮
maiden	无经验的
overdub	把配到原带上
arietis	Aries的所有格
adeptness	熟练
stopper	塞住
unstressed	无重音
triacetate	三醋酸基
pontifical	主教
mnas	Member
canaliculus	小沟
misfortune	不幸
safelight	安全灯
commend	委托
parturifacient	催生
exotic	异国情调
questionable	可疑的
anglican	英国国教
informidable	不可怕的
autoregulative	自动调整
spaewife	算命女人
countersign	口令
preceding	前述的
aspca	Society
fattener	养肥后供宰杀的禽畜
trichroic	三色现象
fisticuff	一击
antagonize	对抗
dm	Mathematics
termwise	逐项
irrepressibility	镇压不住
encephaloid	脑样的
catchy	诡诈的
quadrinomial	四项式
automatous	自动
supracrustal	覆盖基底岩石
fantasist	幻想曲作曲家
raptor	猛禽
suction	吸引
edging	边缘
repentance	后悔
drift	观望
knut	纨裤子弟
improper	不正确
defame	诽谤
agog	渴望
structure	构造
immobilism	保守主义
sweatband	防汗带
nutsy	痴狂
agrotechnical	农业技术的
glaciation	冻结成冰
dexiotropous	右旋的
omnisex	全性的
stridulation	尖锐的声音
desoxyribose	脱羟核糖
unsoldierly	不像军人
veterinary	医牲畜
molilalia	=mogilalia
eldorado	富庶之乡
corrective	纠正
carcinoid	良性肿瘤
privity	默契
silvern	银的
flocculate	絮凝
unlinguistic	与语言学无关
hemoptysis	咳血
pulmonic	有肺的
peel	剥落
slatted	装有板条
rarefy	稀薄
pinitol	右旋机醇甲醚
mitrebox	铺锯箱
sean	矿脉
abroad	海外
balletic	象芭蕾舞的
stole	女用披肩
axillae	叶腋
sierra	马鲛
dune	沙丘
cigs	Staff帝国总参谋长
granulometric	颗粒测定的
superrational	超理智的
scree	卵石
resourceless	无资力
rapturous	兴高采烈的
galactophorous	产乳
award	奖品
spurwort	田野方茎茜
orthoepic	正音法
hailstorm	下得很大的冰雹
unef	Force
arrhythmically	节律不整地
pardi	肯定
hyperaphic	触觉过敏
shirty	心情坏的
embroidery	刺绣
scoliosis	脊柱侧凸
ingerence	干涉
sural	腓肠的
disuse	停止使用
divest	剥夺
abuzz	活泼
college	学院
functionary	负责人员
ballistics	弹道学
flush	挥霍
praecipe	原令状
rsv	修订标准版
putrescible	易腐烂
effervescency	沸腾
hereunto	到此为止
study	求学
monkeyshine	胡闹
inscient	不知道的
strongpoint	优点
oaec	Economic
abatage	为防止传染而屠杀有病的牲畜
hemochromatosis	血色沉着病
ethylate	使引入乙基类
contention	论点
arouse	唤醒
magnetic	有吸引力
synaeresis	缩约
autochthonal	土生的
dapple	花马
mores	风俗
itt	美国国际电话电信公司
bulk	散装
evolution	进化
blitz	闪电战
deplorable	可叹的
wright	制造者
magnisonant	夸大的
ncsa	Center
fictitious	假想
bachelorship	学士资格
gandhian	甘地主义的
swabber	拖把
unreversed	非倒转
baseborn	出身微贱的
dragrope	拖绳
accusable	有可非难之处
gluteus	臀肌
cyanocobalamin	氰钴维生素
zone	地带
levorotatory	左旋的
restful	宁静的
susceptive	有接受力
jealous	警惕
taphole	出铁口
aspca	of
unisonal	=unisonous
tarred	涂了焦油
bia	互联网络业务分析
impartiality	公正
misdiagnosis	误诊
looped	酩酊大醉
leptoprosopic	面孔狭窄
penstemon	=pentstemon
debark	使登陆
scrubland	灌木丛林地
vote	使投票
bellow	咆哮
bergamasca	柏加马斯卡舞曲
rodent	啮齿动物
dracontologist	研究湖中巨型生物是否存在的人
fixation	固定
feod	封地
confluent	汇合
causable	可致使发生的
undefiled	无污的
haemodialysis	血液透析
supracrustal	覆盖基底岩石的
semireligious	半宗教性的
showfolk	艺人
rear	饲养
spile	插管
nodulous	有小结节的
arrogantly	自大
xql	XML
howe	孔
neuropathy	神经病
bulletproof	防弹的
hypercythemia	红细胞过多症
urceolate	缸状的
solemnly	庄严
amphitryon	主人
imagery	肖像
economical	节约的
acinaceous	多子
playwear	轻便服
untaught	没有受教育的
feldspathose	像长石
vinculum	联结
fable	煞有其事地讲述
gutturalize	颚音
kindlessly	冷酷
hip	熟悉内情
illiquid	无流动资金
flavescent	稍带黄色
baalize	改崇拜偶像
gildsman	=guildsman
telecentric	远心的
belgravia	伦敦的上流住宅区
sclerodermous	=sclerodermatous
curricular	课程
dicrotisc	二波的
undershot	下颚突出
undenominational	不属于特定宗教派别的
permissible	可容许程度的
doyen	老资格
supposititious	想象
trembly	战栗的
saltworks	盐厂
cutcha	贫弱的
biquinary	二五混合进制
postwoman	女邮递员
starveling	贫穷
manual	手
moonish	如月
ambulatory	非固定
firestone	耐火石
ashler	琢石
hep	High
synoptist	以相同观点叙述福音书的作者
rich	充足的
crabbed	难懂的
stanch	止血
bgp	Border
succumb	屈服
slack	松驰
smudgy	满是污垢的
dysthymia	心境恶劣
polyclonal	多克隆的
reexplore	再探索
capriccio	把戏
kusch	库施
proneness	俯伏
wftu	World
whereto	为什么
pegbox	栓斗
lacker	瓷漆
mengovirus	门戈病毒
quarter	一刻钟
gulf	隔阂
piped	滚边的
recremental	渣滓
foregoing	前述
xining	西宁
barricado	=barricade
modernminded	有新思想的
querimony	怨言
clement	仁慈的
foothill	山麓小丘
tuberculin	结核菌素
eds	English
frondescence	发叶状态
gloriously	光荣
vtc	Texture
soweto	索韦托
liturgical	礼拜式的
kiva	大地穴
endemic	地方病
reverberate	反响
gratuity	赏钱
venturesomely	冒险
hemicrania	偏头痛
appendicectomy	阑尾切除
carbecue	熔车装置
nattierblue	淡青色
unclassical	非古典的
monodomous	同巢的
bott	马胃蝇蛆
deorbit	l
slumberous	昏昏欲睡
whydah	维达鸟
perfective	完成式
culpability	可责
ergatoid	拟工蚁
humiliate	耻辱
qbp	后翼象前兵
maximal	最高的
uruguayan	乌拉圭的
knob	小块
angaraland	安加拉古陆
coasting	沿岸航行
gravelly	多碎石的
sao	区段刻录
prussianise	=Prussianize
scythe	镰
monostomous	具单口的
oba	奥巴
pschent	双重王冠
unevoked	非强制执行的
columbian	美洲的
eupneic	呼吸正常
rope	索
gesture	作手势
infallibility	绝无错误
dictature	独裁
serendipper	有意外发现珍宝的人
simile	明喻的说法
akademi	学会
microporous	多微孔的
airwoman	女飞行家
innards	内脏
tychism	偶成论
dedicated	专注
downfold	低洼地
ebn	by
offal	残渣
nutty	坚果般
zaptiah	土耳其警察
tankbuster	反坦克炮
penal	刑事
champertor	助讼者
sinless	无罪的
hesiodic	赫西奥德风格的
shiplap	木板槽口的接合处
unweakened	未削弱
ruthlessly	残忍地
linendraper	亚麻布商
carrion	腐肉的
metalwork	金属制品
pdsa	People''s
futuristic	未来派
mulch	覆盖物
unstatutable	与法令相反的
lowish	有点儿低的
assumption	承当
inexcusably	无法原谅
sustentacular	支持
flush	直接地
hyperplastic	数量性肥大的
wrecky	衰弱的
locoweed	疯草
millet	黍的子实
contumacious	顽固
vitaphone	维他风
lacunal	空隙的
testamentary	据遗嘱
apophatic	用否定方法所
callable	可随时支取的
horst	地垒
domesticable	可移植的
cyclopic	独眼巨人般
galactosidase	牛乳糖
japanophobia	恐日症
solarization	日晒
holometabolous	完全变态
dominion	统治权
orgy	放荡
hrvatska	赫尔瓦次卡
rishi	圣人
anile	衰老
perchloric	高氯的
houselessness	无房屋
twentieth	第二十
concernful	重要的
rake	向船尾的倾斜
euphemize	用婉转的话说
ductless	无管的
bohemianism	玩世不恭之作风或思想
westphalia	威斯特伐利亚
dusky	微暗的
licensure	发给许可证
afoot	准备中
cinephile	影迷
world	世界的
hyperbatic	倒装法
calabash	炮弹果
wealthy	充分
resemblant	相似的
subapical	接近顶点
hazel	黑兹尔
thionine	硫堇
zigzag	作Z字形行进
nozzle	管口
garrote	上述绞刑
glossary	术语表
rainproof	防水
antigravity	无重量
unequal	不平等的
knurly	多节
smaze	烟霾
domelike	穹顶状
motivator	激发因素
gestosis	妊娠中毒
fastigiate	平安的
appurtenance	附件
sickish	多病的
autolyze	自溶
functionalize	使职能化
trick	诡计
prodrome	前驱症状
restraining	抑制的
typeofounding	铸字业
spry	充满生气
kynewulf	即Cynewulf
fortune	好运
mangily	污秽地
harmotome	重十字石
indological	印度学
pent	被关闭的
martian	火星的
broad	主要的
polymastigote	多鞭毛
russian	俄语的
perch	栖息
restyle	改变……的式样
ballpoint	圆珠笔
brainless	愚笨
educable	可教育
dendron	树模石
reproachingly	责备似
measled	患麻疹的
hyperlipidemia	血脂过多
pediococcus	小球菌
prohibition	禁酒令
leisured	有闲
atomy	矮人
petaliferous	长有花瓣的
ocdm	Office
pelicanry	鹈鹕饲养场
buckjumper	跃腾使骑者跌落的马匹
carrier	运送者
clypeate	圆盾形的
cytopharynx	细胞咽
cozen	欺骗
methodically	有方法地
psycology	心理学
place	处境
dermatography	皮肤解剖纪录
indiscriminating	不区别地
curr	发咕咕声
flack	广告
fordo	毁灭
crinoid	百合样的
arteriolar	小动脉的
changeably	易变
damar	硬树胶
fuscescent	略带暗褐色的
green	精力旺盛的
countermove	反向运动
chamomile	甘菊
ea	Arts
moralistic	教训的
prosthodontia	镶牙学
prelatic	高级教士职位的
foreboding	不祥之兆
carbolated	浸以石碳酸的
dac	道格拉斯飞机公司
insinuating	曲意巴结
vizirate	=vizierate
staple	钉
unworking	闲着
pseudonym	笔名
slummer	住在贫民区的人
tubate	形成管的
uncord	解开
galoot	呆子
stoat	白鼬
basecoat	最下面的一层
underdress	裙子
faltering	蹒跚的
claver	闲话
sigmate	在字尾加上S字形
callable	请求即付
hairnet	发网
surnominal	别名的
instantaneous	瞬间
dexterous	惯用右手的
leukemic	白血病的
winter	衰退期
swingeing	极大
littermate	同窝出生仔畜
flashily	灿烂地
fainty	无力
steamy	蒸汽的
quadripartite	由四部组成的
season	季
inswept	前端狭窄
vehemently	暴烈
cyclonic	飓风的
succursal	附属
doxastic	信念的
chronosphere	空间转移发生器
incisive	尖锐
enumerably	可点数
skepticize	=scepticize
qea	Qantas
uncatchable	不可捕获
pyroxene	辉石
subdivisible	可以再分
druggist	药商
ashine	发亮的
upcoming	即将来临的
ganefo	New
retroflex	向后弯曲的
kilometer	公里
pulque	龙舌兰酒
squally	天气愈变愈坏
incumbent	职责所在
gweduc	=geoduck
attainment	达到
nethermost	最下面的
thumbnail	极小
pertinent	相干
margaric	珍珠般的
rotator	旋转者
domestically	家庭式地
ratepayer	地方税纳税人
bastardry	暴行
knavishly	恶棍
homicidal	行凶的
saditty	摆出优越神气的
detergence	去垢力
photoscanner	光扫描器
host	当主人招待
fete	招待
units	单位/图片
aciniform	多小核的
serenity	平静
antiallergenic	抗变应性的
receptor	受体
reader	读卡机
balikpapan	巴厘巴板
confoundedly	十分地
warp	变歪
itineration	巡回
pettifogging	诡辩的
paleobotany	古植物学
species	种类
ocso	西多会
sluttery	懒惰
invariablenes	不变
sacrifice	牺牲
monozygotic	单卵的
sweepforward	前掠角
expense	损失
dashy	时髦的
fruticose	灌木状的
pix	检查重量和纯度
staple	原材料
methodologist	教学法学者
lobscouser	水兵
voteable	=votable
reverent	虔诚
tough	凶恶
alembic	蒸馏器
blazon	纹章
theravada	=Hinayana
ketolytic	解酮作用
hagiography	圣徒言行录
triangulate	有三角花样
hyperlipidemia	高脂血
cpff	fee
genome	染色体组
logion	箴言
usher	招待员
columbine	耧斗菜
snipping	碎片
satyrid	眼蝶
lustful	贪欲的
mortal	凡人
bargirl	常到酒吧间的妓女
philologize	研究语言学
recopy	再复制
precatory	恳求
malvoisie	=malmsey
avirulent	无毒性
spuddy	矮胖的
delusive	虚妄的
iaaf	International
