toiler	劳动者
demented	精神错乱的
unpaid	未付款
searcher	检查官
reticula	网状组织的
iadl	Association
periodic	周期的
thumbnail	极小的东西
colonus	封建时代初期之农奴
causal	因果关系
abm	AntiBallistic
wellhead	泉源
mesodont	中型牙的
selfishly	自私
ningsia	见Ningxia
temperately	适度
legend	中国最大的国有品牌微机制造商之一
damnum	损害
flush	冲洗
piperonal	洋茉莉醛
anaclastic	反曲
cassock	教士职位
necrographer	死亡启事作者
cleverly	聪明地
centriole	细胞中心粒
spcc	for
transmutability	可变形
smtp	简单邮件传输协议
turbulence	动荡
respect	有关
kludge	机
steal	偷
fourpenny	四便士的
explosible	可爆炸的
argute	机灵的
actuary	保险精算师
philotechnical	爱好工艺的
amadis	阿玛迪斯
carbinol	甲醇
bravo	喝彩
jackknife	用折叠刀切
prayerful	虔诚
isoceraunic	等雷雨
psellism	讷吃
rider	扶手
biotelemetry	生物遥测术
heft	举起试重量
parral	=parrel
try	磨难
headlike	似头
corpman	看护兵
pharmacopoeia	药典
striolate	具细条纹
soap	简单对象访问协议
abstruseness	深奥
chinaman	华人
interlude	间隔的时间)
rumina	rumen
circumterrestrial	围绕地球
filling	填补物
distillatory	蒸馏用
mean	用意
northing	北进
semiurban	半都市
toadeating	拍马
mask	石膏面像
opec	of
doa	送到时已死的
advertorial	社论式广告
ipm	minute
probity	正直
motory	运动神经的
phantasmal	幽灵的
melancholiac	忧郁症患者
unmotherly	没有母爱
cupula	子器
candida	假丝酵母
sassy	无礼的
cotentin	科唐坦半岛
illiberality	小气
teresina	特雷西纳
miseducate	教坏
propulsory	=propulsive
dolosse	异形块体
myxomycete	黏菌
imbower	以凉亭遮掩
fianna	芬尼安运动员
corrupt	贪污的
weld	焊接
jackladder	跳板
borrowed	伪造
relaunch	重新发射
tenantry	承租人
athwartships	横向
rurally	农村风味地
japanese	日语的
altricial	孵出后需母鸟照顾一段时期的
ruling	支配的
nonboarding	不供膳宿
irretentive	不能保持
oddpermutation'	NULL)
obtain	获得
uncdf	联合国资本开发基金会
allegorically	比喻地
corey	科里
inductivity	诱导性
gulfy	多旋涡的
scramble	匆忙
superannuable	退休后可领取养老金
foraminifer	有孔虫
cuss	乱骂
parvalbumin	小清蛋白
inexorable	无情
anorectal	肛门直肠的
enticement	引诱
slowpoke	迟钝的人
surge	滑脱
peristylium	周柱廊
referable	可归咎于……
sterile	贫脊的
diverting	有趣的
appoint	委任
cacophony	杂音
untaught	没有学问的
signable	可签名
demilitarization	解除武装
technics	工艺
stoical	坚忍的
cbu	cluster
appropriative	可拨用的
punctulated	有小点
pensile	做吊巢
noncellular	无细胞
unguard	使无防备
local	局部
fly	机敏
concentrative	集中性的
gamester	体育比赛中不屈不挠者
mitered	斜接
steamer	汽船
prc	Republic
chill	冷藏
revolutionism	鼓吹革命
hageman	factor
vasculitic	患脉管炎的
lavish	慷慨给予
leaven	潜移默化的影响
basis	根据
thereof	它的
glamorous	迷人
exhibit	陈列品
osteal	骨骼的
ending	结局
eternity	来生
roseate	容光焕发的
untruss	解开
leaded	行间空格特别大
rideress	女骑士
pothook	S形锅钩
lifesome	生动的
wergild	的赔偿金额
hawk	咳出
spirometry	肺
steno	速记
interlaced	交错
seabed	海底
phizog	=phiz
grumbling	出怨言
aeroelastics	空气弹性学
dae	doctor
oxycalcium	氧钙的
realizable	可实行的
visualization	使看得见的
roussillon	鲁西荣
thyrocalcitonin	降钙素
overstock	库存过剩
cerargyrite	角银矿
viscountship	头衔等
schematize	用计划表达
truehearted	诚实的
intricately	杂乱地
liege	君主
jarovize	实施人工方法使植物早熟
sedentary	不移栖
photoneutron	光中子
cryptographic	关于暗号
galvanize	通电流于
fortifiable	宜于设防
barely	几乎不能
division	分界线
homelike	亲切的
hydropsy	=dropsy
shelter	掩蔽
sloganeer	标语口号作者
pize	打击
solarimeter	日射表
proportional	比例
angwantibo	金熊猴
tco	瑞典专业雇员联盟就电磁场制定的更高标准
stanvac	美孚真空石油公司
omnifaceted	各方面的
remit	推迟
privately	私下地
ulsterman	北爱尔兰人
betcher	you
cowfish	江豚
nookie	=nooky
spinigrade	行进的
nitid	明亮的
mandan	其语言
redivivus	复活
irrevocable	不能取消的
debug	调试
smelt	胡瓜鱼
decasyllabic	十音节诗行
hadhramautian	哈达拉毛族
unwearied	不疲倦的
diuretic	利尿的
pleasant	令人愉快
uncomfortable	不舒服
norris	诺里斯
acritical	不危急
deductive	推论的
yokefellow	同事
importer	进口商
circumterrestrial	在地球周围的
polt	标出……的位置
moneywort	铜钱状珍珠菜
unprophetic	非正确预见的
legharness	护腿甲
calligraph	漂亮的书写
norwegian	挪威人
emanative	发散的
likud	利库德集团
soil	土地
absolutist	专制政治论者
mordancy	刻薄
diallel	双重
spicily	下流的
ivied	常春藤遮盖着的
endogenic	内成的
litchi	荔枝
punkie	蚊的一种
cooky	饼干
unstudied	非娇揉造作的
buddhist	佛教徒
draft	草图
episcopalian	主教的
abbreviate	简写成
fabulosity	无稽
merriment	欢喜
subcompany	子公司
satellitic	卫星
strathspey	其舞蹈曲
midgarth	人世
fijian	斐济群岛人
kinetograph	活动电影摄影机
extracurricular	课外
methanol	甲醇
sulfapyrazine	=sulphapyrazine
sunburnt	晒黑的
treatment	对待
be	存在
iarovize	春化
superscript	上角文字
araneiform	蜘蛛形
skysail	第三桅上帆
albuminoid	硬蛋白
ungifted	无才能的
intangibly	不明白地
proem	序言
precipitation	仓促
tufty	丛生的
anandrous	无雄蕊的
median	中央的
narky	脾气坏
renunciative	放弃的
epochal	划时代
module	模块
lapsable	易变
etr	Transfer
rayon	人造丝
treponema	密螺旋体
toper	豪饮者
boned	去骨
choice	精选的
ovaritis	卵巢炎
exemplar	榜样
vehicular	作为媒介的
murderous	非常危险
dragonnade	对新教徒之迫害
potstill	罐馏器
northwestwardly	向西北
calumniatory	中伤
ascensive	进步
qnp	queen''s
apa	澳洲通讯
npv	value净现值
incompatible	矛盾
kent	v
carnotite	钒钾铀矿
communicate	通信
capitalintensive	资本支出庞大的
swale	洼
taking	吸引人的
irreplaceability	不能取代
subdelegate	副代表
tacky	俗气
decadal	十的
drowsily	昏昏欲睡地
hardener	硬化者
heretic	异端者
hammerblow	打击
grateful	感激的
radiogenetics	放射遗传学
rcaf	Canadian
usher	前驱
korean	朝鲜语
isometrical	等容积
metayer	分益耕农
agilely	敏捷
endopsychic	灵魂中的
crimpy	皱缩了的
sidewise	向一边
kishke	真皮
mensurable	可测量的
another	不同
visibility	可见性
scenery	风景
attrition	磨损
osteitic	骨炎的
drinkery	酒店
unfed	未得到食物
electrograph	电位记录器
ethnocracy	一族统治
penelope	珀涅罗珀
insinuate	使慢慢滋长
tributary	辅助
lithographic	平版印刷的
aciduric	耐酸
thieve	偷
presto	急板之乐曲或乐章
raca	一文不值的
jag	颠簸的移动
goad	唆使
streamy	多水流的
cucaracha	一种墨西哥歌舞
retractile	取消
disrelish	嫌恶
unitary	整体的
maternal	似母亲
wove	weave的过去式
idc	互联网数据中心
fashionable	时髦
crispate	卷缩状
encomium	称赞
indicatory	表示
elicitation	诱出
authority	职权
octahedra	octahedron
callable	随时可偿还的
caster	调味瓶
steep	浸渍
sciamachy	模拟战
lovelace	色鬼
sothic	天狼星
feller	樵夫
sulcate	有沟的
legendry	轶话集
tribrach	三短节音步
decolour	使脱色
baor	British
ululant	吠的
enclosure	四周有篱笆或围墙的场地
era	代
pert	鲁莽的
bacillicide	杀杆菌剂
been	有
peculation	侵吞公款
hamhung	咸兴
slim	纤细的
fancied	虚构
merge	结合
uncloister	使脱离隐修院
sanguine	面色红润的
standing	标准的
backbeat	基调强节奏
whitewash	涂脂抹粉
pouched	有袋
peptic	胃蛋白酶
tenor	男高音
deploitation	经营
icy	冷淡
parasitic	寄生的
etherization	醚麻醉
romper	背心连裤子的衣服
paragenesis	paragenesia
dithered'	NULL)
cashomat	自动付款机
facula	光斑
amati	阿玛蒂提琴
march	进行曲
fraction	小部分
succursal	附属机构
quintan	每隔五天发作的
uncover	揭示
gelatiniform	胶状的
caladium	贝母
cautelous	小心的
dll	Dynamic
holder	支持物
comsomol	共青年团团员
gradation	阶级
recruit	补充
heptangular	七角
thrustful	劲头十足
acromegalic	肢端肥大症患者的
seasonably	合时令地
daily	日报
upward	声高
legantine	教宗使节
equal	相等的事物
de	德国
infrasound	次声
unwarrantable	不正当
snaky	阴险
coprophilous	嗜粪癖的
bestrid	bestride的过去分词
atremble	发抖地
bulk	体积
pseudoclassic	拟古典的
restrainedly	谨慎
groovy	槽
whipcord	拉紧的
gyration	螺层
elegant	文雅的
progeny	后裔
inverseimage	逆像
hospitably	善于款待
sweeping	规模大
deliverly	迅速地
sacrosanct	极神圣的
anthropomorphosis	有人形的
homeomorphous	同拓扑
rubeosis	潮红
two	两个
debriefing	任务报告中提出的情报
nib	鹅管笔的尖端
magnipotent	强有力的
wolfsbane	附子草
suggestible	可建议的
byrnie	锁子甲
promote	升级/降级
thermoform	使加热成形
exoergic	放能
blavatsky	布拉瓦茨基夫人
pertinence	针对性
inductance	感应系数
thirstily	如饥似渴
quickness	迅速地
diverse	不同
alphahelical	α螺旋结构的
exalted	高尚的
vendible	可销售
technochemistry	工业化学
lampas	彩花细锦缎
believable	可信的
mediation	调停
antitragus	对耳屏
zlatoust	兹拉托乌斯特
arboreal	树栖的
leukodermal	白变病的
preaxial	躯椎前
rightward	在右边的
structure	建筑
moulder	铸工
irreducible	不能削减的
quizzical	嘲弄
falteringly	口吃地
invective	漫骂的
martialize	使军事化
ndis	Interface
trappy	圈套的
market	使上市
synoptic	概要的
laminose	薄板的
dyspeptic	胃弱
disparagement	轻视
trickish	狡猾
setter	镶嵌工人
unlanded	不拥有土地的
foil	衬托
foodaholic	嗜食者
pulverous	粉状
palaver	谈判
drypoint	铜版画
determinately	确定
accost	搭话
vortically	旋转地
aids	获得性免疫功能丧失综合症
woodenly	呆板地
weakly	虚弱的
vectorgraph	矢量图
quenchable	可熄灭
synantherous	聚药
prosiness	无聊
completely	十分
uplift	举起
established	确定
myriapodal	多足纲节肢动物的
downtrodden	被压制
generalizable	可归纳的
mothering	归宁
heavy	巨大
arthurian	亚瑟王的
symbolise	=symbolize
trophy	奖品
machinize	使成为机器
autocracy	独裁政府
laurentian	劳伦系的
abradant	磨蚀剂
subsidence	陷没
parodos	合唱队登场时唱的歌
fervor	炽热
twinflower	林奈花
necessary	必需
channel	沟
duration	持续时间
qpm	女王公安勋章
sociogenic	社会引起
nostologic	老年医学的
bioassay	给……作生物测定
myology	肌肉学
southwesterly	向西南的
yeomanry	自耕农
solitarily	寂寞
ding	反复地说给人家听
fsb	Bus
dumet	铜包镍铁丝
baubee	=bawbee
tridentate	有三尖
fall	秋天的
posthorse	驿马
unkindness	不近人情
inharmonious	不合谐的
manometry	测压法
infrasonic	次声的
unobstructed	畅通无阻的
wreck	破坏
sncf	des
discretization	离散化
squawk	诉苦
colorized	彩色的
numskull	笨蛋
enunciator	发音清晰者
headrace	导水渠
aggregation	聚合
throwback	返祖
nonreturnable	不能退还的
trample	踩踏
arboreal	树栖
strafford	homas
jointless	无接缝
journo	报人
cargador	搬运工
euploid	整倍体
upstream	溯流
sedgy	莎草的
rhodochrosite	菱锰矿
methantheline	乙胺太林
gozitan	戈佐岛
asonant	无声音
preventable	可阻止
arenaceous	沙
gan	gin的过去式
ttf	TrueType字型文件
maiden	处女
secund	只在一边
filamentous	细丝状
pentagynous	五雌蕊
professional	职业艺人
municipally	市政上
sound	听起来
transformation	9trAnsfE`meIFalism/9trAnsfE`malist/9trAnsfE`mally/9trAnsfE`meist/9trAnsfE`
seat	席位
local	本地新闻
maquillage	美容品
wakamatsu	若松
lot	一块
chaplaincy	礼拜堂牧师之职位或任期
pattern	模范
puberal	青春期的
negligent	疏忽
nother	各异的
untearable	不能撕开的
circumference	圆周
esterify	酯化
micromicrofarad	微微法
unsuccessful	失败的
glitzy	耀眼的
oberon	天王星之第四卫星
discobeat	迪斯科节奏
strandloper	斯特兰特卢珀人
man	人类
transversal	截线的
effortless	不费力气的
mite	小孩
voltairean	伏尔泰
tway	天汇汉字系统
lay	产提出
dhooti	印度男子所缠之腰布
roast	烘烤
diacritical	为区别的
tensive	张力的
universal	普遍
enteron	消化道
scurvy	下流
metacenter	外心点
decohesion	检波器恢复常态
undynamic	无活力的
hapenny	=halfpenny
distressful	使苦恼
introduction	介绍
disequilibrate	打破……的平衡
faithful	详确
total	合计
trencher	有关膳食的
streamflow	流速及流水量
routinize	使成常规
viaduct	高架桥
phlogistic	炎的
ofris	Frisian
vermicular	蠕动的
muscadine	圆叶葡萄
dard	印度河上游的各种印度语
saving	保留的
kuwaiti	科威特的
wrest	歪曲
unobserved	无人遵守的
disfavor	失宠
glen	幽谷
cephalate	有头的
jog	漫步
unyoke	停止工作
enterpriser	干事业的人
eccentricity	离心率
jughead	傻瓜
replace	代替
freckle	斑点
waterhead	脑积水
demographer	人口统计学家
bank	沙洲
concentrative	集中
fallacious	虚伪
lingeringly	逗留不去
lockless	无锁的
piave	皮亚韦河
inorganizable	不能组织的
virulent	剧毒
flaked	精疲力竭
lazaretto	传染病院
ssafa	and
provocatory	=provocative
signpost	路标
tommyrot	荒唐事
oblique	无诚意
nomothetic	制定法律的
periodical	定期的
babouche	无后鞋跟的套鞋
hornswoggle	骗
facp	American
suppleness	顺从
rehearsal	演习
amebiasis	=amoebiasis
tap	轻拍
pim	Management
flyable	可以飞行的
pretend	假装
select	挑选
knowledge	学科
indoor	户内的
brainless	无头脑
seminoma	精原细胞瘤
interpretive	作为说明的
mossback	绿毛龟
spheriform	球体
toss	掷
dialysis	分离
boffo	非常流行
tritish	有点陈腐的
varimax	最大方差法
agname	别称
capsular	蒴的
iatric	医药
clear	净得
hydrogenate	使与氢化合
airboat	汽船
spinsterish	适合于老处女的
thermoform	给……用热力塑型
pda	个人数字助理
mischievous	有害的
feeblish	较弱的
goad	刺激物
inoxidize	使不受氧化
redissolve	再溶解
bouncing	活泼的
impugnable	可抨击
cytophotometry	细胞光度学
unliquidated	未例外
orchidaceous	兰花般
orthokeratology	角膜矫正术
angulated	使有角的
baggageman	行李收发员
unartificial	非人工
irrigation	灌溉
polyphyletic	多源
msfm	Forest
quassia	苦木科植物
umbellet	=umbellule
dressily	打扮入时
grappler	手
photogenic	易上镜头
oeillade	媚眼
yaup	高声喊叫声
underwriter	承诺支付者
laminose	压成薄板的
syrtic	流沙的
unscriptural	非基督教的
thuggish	暗杀
humoral	体液
maungy	坏脾气的
rickety	患佝偻病的
bidialectal	精通两种方言
taxus	紫杉
silversmith	银器匠
extragalactic	银河系外
rooseveltiana	罗斯福主义
henotic	使和谐的
bardian	吟游诗人
crumb	面包屑
inchworm	尺蠖
sick	呕吐
pyrotechnics	烟火使用
capitalizable	可作资本的
dizzyingly	令人昏乱
disproof	反证物
divider	分配器
localism	方言
katabasis	撤退
perturbation	动摇
disafforest	砍伐森林
seismotic	震
enhancive	加强的
archangelic	大天使
walkout	罢工
villainous	腐化堕落的
unbroken	继续
vicissitudinous	变迁的
hopping	卖力的
semiconductor	半导体
billingsgate	粗俗的骂人话
duality	二元性
sigmate	在字尾加上S字形的
compulsory	义务
rotascope	=gyroscope
coolly	自若
padlock	关闭
sthenic	兴奋的
salientian	无尾目
deerstalker	猎帽的一种
immigratory	迁入
baseballer	棒球队经理
convert	使……改变信仰
usha	Authority
damselfish	小热带鱼
baptize	给人施洗礼
unloose	解开
orthorhombic	斜方晶系的
heady	鲁莽的
photophilous	喜光
wandering	徘徊的
swith	迅速地
humourous	富幽默感
buckaroo	牛仔
distant	远的
incorporeal	无形体
subindex	分索引
frosting	无光泽面
cumbrous	讨厌的
studdingsail	翼横帆
gottland	=Gotland
ungrammatical	不合文法的
gingham	洋伞
cataclysm	大变动
sciolto	自由
borage	紫草科
fox	变酸
hempie	爱恶作剧
untruthful	不诚实的
migratory	流浪的
vibrancy	响亮
botb	Trade
suffer	受痛苦
residual	残留的
washiness	水分多
begrudgingly	小气
rundown	裁减
audience	接见
mildly	适度地
unreconstructed	脑筋转不过来
conquer	征服
chalcocite	辉铜矿
sublimate	纯净化
proletarianize	使无产阶级化
pantological	百科全论的
embezzle	挪用
beige	浅褐色
circs	事情
hardhead	傻瓜
fairytale	优美无比
didactical	教学
fox	奸狡地行动
rocking	摇动的
detached	分离
sleave	分成细丝
nastily	不洁地
disconcertedly	惊慌地
stagger	摇摇摆摆
ovulatory	排卵的
domesticable	可移植
leishmanial	利什曼原虫的
otherworldly	专注于精神方面的
batholithic	岩基的
impregnation	怀孕
fictionally	杜撰
trench	挖战壕
forestall	垄断
impurity	混杂物
gyral	旋转的
udf	统一光盘格式
absurdism	荒诞主义
chute	斜道
mariticide	杀妻
dnf	did
pacchionian	glands帕基奥尼氏体
uninfluential	没有影响
frequency	发生次数
firmer	坚固的
headstone	墓石
infect	传染
tiliaceous	椴科植物的
serigraph	绢网印花
shield	保护
adhesive	带粘性
wholescale	成批的
menispermaceous	防己科的
pederasty	男色关系
suitably	适宜地
correspondency	符合
bioelectrical	生物电
archie	Internet上一种用来查找其标题满足特定条件的所有文档的自动搜索服务工具
hematopoietic	生血的
rift	裂口
digs	住处
used	习惯的
exploiture	利用
confirmatory	确定的
mayfly	蜉蝣类
callipers	测径规
canaliform	状似运河或管子的
befog	罩入雾中
yardage	火车站内栏舍之使用费
ease	放松
umbra	本影
erectly	垂直地
idiotropic	内向的
degust	品尝
perspective	观察
actualite	时事
lucid	明晰的
dna	Architecture
brickfield	制砖场
subacute	稍尖的
mailer	邮寄者
daytaller	按日计酬的工人
deterministic	确定性
beggary	卑劣
fault	毛病
advised	细想过
urge	力劝
northwest	西北
ablution	清洗
illusionism	迷妄论
catalepsy	强直性昏厥
scudo	19世纪以前的意大利银币单位
ps	跋
nonconforming	非一致性的
sideline	迫使退出
habitancy	居民
recidivate	再犯
rightly	公正地
regain	重到
dishoard	减少……的储存
facs	Surgeons美国外科医师协会会员
promiscuity	杂乱
asteroid	星状的
unclassifiable	不可分类
directtissima	直接攀登
oversupply	供给过多
outdoor	室外
infatuate	冲昏头脑
liturgism	仪式主义
unnoteworthy	不值得注意
caramel	焦糖
cornett	=cornetto
hirudinoid	水蛭的
blatherskite	爱说废话的人
unreachable	不能达到的
telangiectasis	毛细管扩张
bleary	朦胧的
delicate	脆弱
superconscious	超常意识的
scutwork	枯燥的粗活
tepid	不热情的
unacknowledged	未答复的
farriery	蹄铁场
aperiodically	不定期
rba	Royal
quandang	=quandong
hunger	渴望
nymphaeum	罗马式建筑
castice	在东印度群岛出生和居住的葡萄牙人
lapsed	流失的
intraswitch	交机内的
preciously	仔细
hpna	Home
richly	富裕地
scrap	扔弃
digitated	有指的
unimplemented	未生效
mystagogical	传授秘诀
square	公平地
dogged	顽固
veda	吠陀本集
immorally	不道德
caddy	小罐
stodge	搀和
coquet	娇艳
soliloquize	自言自语
exercitor	包船者
levigate	挑选
hag	沼
frank	坦白
rickshaw	人力车
lumbaginous	腰肌痛的
aghast	惊骇的
romeldale	罗姆尔代羊
bullish	上扬的
wisha	哎呀
victoriate	维多利亚银币
spill	溅出
reverberatory	回响的
neeze	=sneeze
sickish	多病
it	pro
tudor	英国都铎王室
inexpugnable	不能驳倒的
habergeon	一件衣服
subaerial	天空下的
dejeuner	午餐
kotow	卑躬屈膝
campfire	营火会
corny	谷类的
muff	皮手笼
languorous	怠惰的
obeisance	顿首
croquet	击自己的球使其撞打对方的球
gfwc	Woment''s
electropositive	盐基性的
redefine	重新定义
purchase	买
tridentine	特伦托主教会议
divulsion	扯破
newsreader	新闻广播员
preterlegal	不合法的
assistant	助理
salty	有盐分
aforetime	以前
lasher	堰
unitary	一元
invected	作边周
fastigiate	锥形的
operation	实施
magnet	磁体
pyrosulphate	焦硫酸盐
phoenician	腓尼基人
ghi	=ghee
doldrums	忧郁
intentional	故意的
preceptorial	教师
ackey	电镀用的硝酸硫酸混合液
maidenliness	柔和
calcic	含钙的
subcaudal	尾下的
carpale	腕骨
obliquity	倾斜度
refection	小吃
thorshavn	托尔斯豪恩
kneepad	护膝
boozeroo	痛饮作乐
divisional	师的除法的
wittily	机智
disturbing	烦扰
imperceptive	无感觉
substation	分站
tizwin	=tiswin
charmless	无吸引力的
bdtr	在一个很短的时间段内能够达到的最大数据传输速率。
flatten	变平
efficiency	功效
caninity	狗类
daywork	散工
underdo	使煮得嫩
palingenesis	新生
extra	不包括在价目内
batch	批处理
consummate	圆满的
salina	盐沼
nasserite	纳赛尔的支持者
taiwanese	台湾人
filial	孝顺的
argyria	银中毒
noctuid	夜蛾科之昆虫
furfuraceous	似麸
hydroscopical	深水望远镜的
goldeye	类似鲱鱼可供食用的淡水鱼
inestimable	无价
authentically	确实
solder	焊接
begone	走开!滚蛋!
confabulation	闲谈
bellyful	满肚子
repunit	循环整数
bisection	两断
airdate	广播日期
lipper	涟漪
dressily	衣着讲究
castte	城堡
wholescale	大量的
tinnily	光亮而不值钱
tonalist	使用调性的作曲家
corolitic	树叶纹装饰的
flightily	浮躁地
color	外貌
unexpected	想不到的
totter	蹒跚
rumormonger	散布谣言者
harshly	严厉
quap	夸普
sinew	体力
balminess	芳香
sedilia	sedile的复数
wise	明智的
cusk	鳕鱼的一种
hyperpnoea	气喘
vibration	摆动
strait	苦恼
lustreless	平淡乏味
comfortlessly	不舒服地
aerial	航空
mooch	缓行
tumultuary	骚动的
espionage	间谍
moorish	摩尔人风格
vitamin	维他命
calamine	炉甘石
chevalier	爵士
discredit	使丢脸
globularity	球状
disinteresting	索然无味的
resole	给换鞋底
verecund	谦卑的
hincty	神气活现
czar	专制君主
anathematize	咒逐
palmer	朝圣者
selflessness	无私
donald	唐纳德
ferned	长满羊齿植物
silphid	埋葬虫
unhasty	慢吞吞的
noncommittal	不明朗的
crown	顶上有
coarsely	鄙俗
persuade	劝说
flimsy	浅薄
lordly	贵族般
polaron	极化子
iambus	短长格
week	星期
preoviposition	产卵期前
directness	直接
besotted	糊涂
sheepskin	毕业证书
gravidity	妊娠
navvy	工人
orca	魔鬼
engorge	贪吃
volga	伏尔加河
halt	使立定
caboshed	面朝前而无颈
epistolary	书信体
nominee	被提名的人
anxiety	渴望
fugleman	领导者
improvisatorial	即席
peritus	神学顾问
sponsorial	教父
depressing	阴沉
quintessence	精华
cramp	狭窄的
doggo	静静躲藏着
acetylate	加乙酰基于
megametre	兆米
foully	卑鄙
formal	外形
resiliometer	弹力计
saltatorial	跳跃的
erythrosine	赤藓红
burgoo	燕麦牛奶粥
rarer	更珍贵的
garni	配有饰菜
creesh	润滑脂
piercer	钻孔器
chemisorb	用化学方法吸收
voguish	时髦的
methenamine	乌洛托品
eremophilous	荒漠生
astute	狡猾的
felicitously	适切
aweto	冬虫夏草
fractional	碎片
undivorced	未分居的
overemphasis	过分的强调
beret	贝雷帽
nohow	一点也不
sarcoma	恶性毒瘤
premise	预述
fulgid	灿烂的
ventilation	通风
inductive	感应的
undeveloped	未开发的
goodwill	善意
sue	提出诉讼
antinoise	抗噪音
etymologic	语源学的
lima	狐贝属
irritating	气人
ohio	俄亥俄州
stinker	发恶臭之人
ruling	流行的
cos	莴苣的一种
shmaltz	=schmaltz
conation	意欲
endurable	能忍耐的
tropology	圣经中的比喻之解释
lockfast	锁牢
conjuring	咒术
corrigendum	勘误表
standard	标准
lipless	无嘴
schnook	笨人
polymyxin	多粘菌素
beefalo	皮弗娄牛
aspishly	似毒蛇地
osteology	骨学
dronish	懒惰的
presswoman	女记者
anecdotic	轶话
redivious	复活
hippolyte	希波吕忒
beachbound	往海滨去
cockle	使皱
wordy	多言的
atingle	兴奋
inflictive	加以打击
sponsor	主办者
onomatopoetic	拟声
politicize	搞政治
ricochet	跳飞
laker	湖畔派诗人
haggard	野性的
subvert	搅乱
famine	饥荒
translunary	似梦
poppy	深红色
trickiness	微妙
sas	System
telepathize	使传心
mac	橡胶雨衣
despiteously	可鄙地
gormandizer	老饕
frankhearted	无隐的
incipient	初始的
pullulate	抽芽
superhawk	鹰派分子
lawman	警官
incisal	割
ecbatic	表示结果
volume	体积
previse	预知
cartilaginous	软骨
clactonian	旧石器时代文化
dainty	适口的
quagmiry	多泥沼
christcross	十字形徽号
multiformity	多形
extremity	极端
annunciation	天使报喜节
tother	别
ungainliness	怪样子
fortieth	四十分之一
calfskin	小牛的皮
foregoing	在前
biomembrane	生物膜
fructification	结果实
am	在
fortnight	两星期
mucronulate	具尖突
aqueduct	沟渠
afield	在战场上
semisecret	半秘密
circumfluent	周流的
starveling	挨饿者
radiogramophone	收音电唱机
unfed	未得到食物的
quartus	第四的
speak	演讲
crepuscular	黄昏
proso	黍
spile	木栓
lyophobic	疏液的胶体
timid	羞怯
boeotian	笨蛋
orthograph	正射影
seismographer	测震学专家
squama	鳞状物
unpoetic	无想象力
iv	静脉内的
tetanize	使强直
inconsequence	不合理
synthetical	合成
ascap	and
fraught	充满……的
ya	adult
yaupon	代茶冬青
faint	变得没气力
uterine	母系
felly	轮圈
unthatch	移去……上覆盖的茅草
cigarshaped	雪茄烟形状
adiabatic	绝热
jacobin	法国雅各宾派
citizenship	公民的身份
aquagun	水下狩猎标枪
feldspathic	含长石
hermetic	密封
pentangular	有五个角
succursal	从属的
barney	吵闹
percuss	轻敲
