caudillismo	军事独裁者的统治
snackery	快餐部
trimeter	三音步的诗
dziggetai	骞驴
sporulate	形成孢子
moonbeam	月光
mas	Military
ciliate	有睫毛
smoothbore	无膛线枪
nonnasally	口腔
preconcerted	预定的
unmiter	=unmitre
trieteric	一次
iranair	Airlines
zwinglian	茨温利教义
following	下列的
keratometric	角膜弯度计的
fastening	系结物
pent	pen的过去式及过去分词
saran	此种合成纤维的商标名
toxaemic	患血毒症
gansu	甘肃
gramercy	多谢!
pratincolous	栖草原的
gaming	赌胜负
finsbury	芬斯伯里
viscerate	取出内脏
libertine	玩乐者
db	数据库
zymometer	发酵测定器
exterior	外用
accessory	同谋者
fine	精巧地
gliadin	麸朊
rectangle	矩形
ibew	Workers
postliterate	采用电子传媒
tetrandrious	具四雄蕊的
plumicorn	羽角
gallery	美术陈列室
wacke	玄岩石
opec	石油输出国家组织
milk	挤
smutch	污迹
barrette	发夹
pdq	很快
majesty	王权
cablegram	海底电报
charmed	喜悦的
punjab	印度西北部的一地方
calculi	微积分学
chromite	铬铁矿
resister	反抗者
procreate	生殖
darius	大流士
antipruritic	止痒剂
tattered	褴褛
passively	顺从地
missable	可能打不进穴
heavyweight	聪明绝顶的人
grid	格子
rencontre	漫谈会
pictorial	图示
jest	笑话
irrigate	进行灌溉
gynobase	雌蕊托
entasia	强直性痉挛
absorb	吸收
birmingham	伯明翰
monocular	单眼的
revokable	可废除
drumstick	鼓槌
wineshop	酒馆
actinicity	光化性
semidiurnal	每12小时一次
inosite	肌糖
overage	过剩
renavigation	再领港
ifo	flying
arsenotherapy	砷剂医疗
rv	娱乐车
ial	Language国际代数语言
nerc	Council
fine	细
witted	智力……的
essentic	表露感情的
ishmael	以赛玛利
granddaughter	孙女
eschatological	来世论
anaheim	阿纳海姆
effervescency	冒泡
prepossessing	引人注意
apostate	脱党
sultrily	粗暴地
status	身份
cannibal	吃同类的动物
superradiation	超辐射
huxley	Aldous的祖父
cpaffc	People''s
neck	颈
expostulation	谏言
digitate	指状的
hencoop	鸡笼
sublimate	高尚的
zowie	好!
nicotin	=nicotine
mitreblock	斜锯架
nitrogenous	含氮
soothsaying	占卜
gastroesophageal	胃食管
reiterant	反复
grave	墓穴
dullhead	笨蛋
reprobative	指责的
ftp	Transfer
hear	允许
vehicular	车
receivability	可以接受
gilder	镀金工人
janissary	亲信
cramming	填鸭式的用功
kcps	千周[秒
clever	聪明
croat	克罗地亚人
matin	早课的
floral	植物的
errantry	侠义
dangly	摆晃的
complaining	诉苦
redeemer	赎身者
prance	腾跃
haematopoiesis	生血作用
pinkish	略带桃色
caesaropapism	君王对教会及国家的绝对控制
damaged	被损坏的
triplicate	三份中之一
compounder	混合者
people	人
westernmost	最西
contrariness	乖张
reedy	芦苇做
unselective	不加区别的
sharper	磨具
taboo	禁止接近
mulattress	穆拉托女人
dentary	有齿
disrepair	破损
historiette	小史
german	德语的
cryptographic	用密码写的
woopie	"幄庇士"
somatotropin	生长激素
orad	向口区
fidget	不安定
diffused	散布的
selected	挑选
paramagnetic	顺磁性
exhibit	展示
puzzling	使莫明其妙的
bruin	熊
uncorrupt	未堕落的
unlatch	拔掉门栓
cuso	University
shiny	晴朗的
mothering	省亲
extensively	广阔
sociable	喜欢群居的
systematization	组织化
opioid	=opioid
overtly	公开地
frizzle	卷发
latvian	拉脱维亚语
algesia	感觉过敏
pilgrimize	去朝圣
arthrectomy	关节截除术
capable	能干
knotweed	蓼科杂草
cheekily	厚脸皮
prewar	战前的
tetrazzini	烤制成脆皮的
scansorial	适合于攀登
cambrel	马脚形铁钩
flinty	强硬
transubstantiate	使变质
conservatorship	英国管理委员之职位
uneducable	不可教育
textured	织地粗糙
intercrop	间作作物
tummler	滑稽演员
exculpation	辩解
manhunt	追捕
migrate	移往
embodiment	具体化
grimily	污秽
featureless	平凡
wainscoting	壁板料
advertise	做广告
verbid	动词性单词
pukeko	紫水鸡
dread	可怕的人
warily	警惕
balloonfish	河豚
visive	视
hemotherapeutics	血疗法
laryngismus	喉头痉挛
subclavate	略似棒形的
null	无效的
giraffe	鹿豹座
hike	步行
supersymmetry	超对称性
maile	齐墩果状念珠藤
televisionless	不看电视
interfoliaceous	两叶间的
froward	难驾驭
failing	如果没有……
vesica	囊
flimflam	胡扯
pervasive	普遍深入的
jackleg	不正直的
euroky	广适性
shag	蓬乱一团
commercioganic	有市场的
pediatric	小儿科
brs	British
seignorial	=seigniorial
microkernel	微核
bronze	青铜色
brawly	好口角
holocrine	全浆分泌
duyker	=duiker
rhetoric	花言巧语的
diacritical	可区别
hornbill	犀鸟科
repulsive	令人厌恶
mildly	温和
compactly	细密
undecomposable	不可分解的
dromedary	单峰骆驼
demented	精神错乱
merciless	残忍
retractive	缩进的
revelatory	启示性的
assumption	圣母升天
secund	侧方
flattish	有点平凡
regality	国王的特权
bathypelagic	深海区
tennies	网球鞋
bndd	Drugs麻醉品和危险药品管理局
wise	贤明的
chromoneter	精密计时器
virbius	威耳比俄斯
fissile	裂变
hegemonism	霸权
resend	再差遣
discoverist	发现教学法的
nonbank	非银行的
cinematographic	电影摄影术的
hewer	砍伐者
fulgurite	熔岩
cany	藤制
gammy	跛行
database	资料库
zygodactylous	前后有双趾的
aerosol	气溶胶
besot	使迷糊
anteprohibition	禁令前
prescription	指示
garrison	守卫
wiretapper	窃听器
unmoving	不动人
zither	扁琴
college	公学
intermedial	=intermediate
sinister	险恶的
anamorphosis	变体
hardcase	倍受艰苦锻炼
bill	票据
engrossment	专注
versicolor	色彩变换的
run	融化的
cunene	库内纳河
anetic	缓和的
intensification	增强明暗度
littorinid	滨螺
fading	褪色
clypeate	圆盾形
race	赛跑
redirection	改变方向
squire	随侍
gbf	名著基金会
oopm	面向对象程序设计方法学
substantive	真实
collogue	密谈
sweetmouth	奉承
subacute	亚急性的
mts	Simulator
stingy	吝啬
campong	=kampong
cheloid	蟹状肿
autogeny	自生
baronial	男爵
vicarial	代理的
consequentially	必然地
milldam	水闸
scurvy	无礼
rheumatoid	患风湿症
confrere	同事
alsatian	阿尔萨斯人
wolves	色狼
sendout	输出量
rifling	装膛线
parasol	阳伞
unadvised	轻率
allotment	分配
canework	藤品
ceeb	College
poodle	剪毛
anteriorly	先前
meed	报酬
astrictive	止血的
unrazored	未修过面
admonitor	劝告者
dc	Digital
panellist	猜谜参加者
lancewood	一种强韧木材
adulterator	劣品制造者
clavichord	翼琴
coolth	冷静
antianxity	抗焦虑的
cirrose	a
camphol	龙脑
quadricentennial	400周年
qoph	=koph
hereat	于此
justificative	用以辩解的
drecky	低劣的
federate	同盟
intracerebral	大脑内的
reminder	提醒的人
bakeapple	云莓
samlor	三轮出租汽车
infractor	违反
sapa	葡萄浓汁
arboricultural	培植树木
phonochemistry	声化学
redemptioner	出卖劳力来抵偿船资之移民
unpersuaded	不被说服
marinescape	海上风光
dichromic	二色的
dumbstruck	被吓得目瞪口呆的
incumbent	负有……义务的
communicative	爱说话
conciliatory	抚慰
flowery	华丽的
frigging	可恨的
attabal	=atabal
fragmentized	破碎
cacodorous	有恶臭的
circumvolution	旋转
hyphenated	带有连字符号
moorwort	马醉木
syrupy	像糖浆
rising	有前途的
volante	轻快
slithery	滑
proventriculus	前胃
billiardist	打台球者
offendedly	生气地
egoistically	任性
athermanous	不传幅射热
multichain	多链
cysticerci'	NULL)
suspensive	悬念的
archwise	拱廊似地
rhenic	含铼的
saucerful	一碟的量
underpowered	由动力不足的发动机驱动的
barbellate	有短硬毛的
soil	土壤
krantz	峭壁
swift	快的
fallacious	谬误
dorking	肉鸡的一种
arid	无趣
ghast	可怕的
either	或者
ultramicrobalance	超微量天平
bunned	挽成小圆髻的
adduce	引证
tayra	白头鼬
beneficent	慈善
matronly	尊严
unpitied	没人可怜的
manure	施肥于
coplanarity	共面
gaga	非常起劲
symbolic	象征的
clocklike	有规律
chromatrope	旋转彩色板
stylish	时髦的
proprioceptive	本体感受
deadsville	令人厌烦
dismay	惊慌
rattle	急忙地做
drably	无生气
bumf	卫生纸
help	接济
amorously	妖艳地
seamanlike	海员般的
chaetognath	毛颚类动物
hydrocinnamic	苯基丙醛
cycle	轮转
scramble	爬行
tumular	如坟墩
hodiernal	今天的
conversable	易开口
nincompoop	无用的人
sublime	壮观的
heathenry	信仰异教
amphigenous	生于叶子两旁
gag	插科打诨
unido	United
moony	月形的
singular	异常的
stuffless	不充实的
nitinol	镍钛诺
ptomaine	肉毒胺
ignescent	引火物
boxful	一箱的
resolutely	坚决
dissyllabic	二音节
lone	独立的
inquisitorial	好询问
nonprotein	非蛋白质
tridactyl	有三指的
traitorously	叛逆
jameson	詹姆士
mildewy	发霉的
talmudic	犹太法典
uncoped	无法与之竞争的
manoletina	马诺来特斗牛法
conspecific	同种
brute	畜生般
ascensive	强调的
seeker	搜索者
silken	柔软光滑的
quintuplet	五个一组
gey	相当
produce	农产品
oppress	压抑
rubbly	碎石状
necessitarian	必然论的
deep	深处
vitrify	使成玻璃状
dangly	摆晃
conciliative	安慰
hypogenous	在下着生的
spurry	大竹草
arrogant	自大
sulphurous	硫磺的
unearned	不应
stygian	阴黑的
yesterevening	昨晚
succumb	死
barker	剥树皮工
pamphrey	卷心菜
founder	使摔倒
penile	阴茎
relegate	转移
lasso	以套索捕
transit	横越
virucide	=viricide
flurry	飓风
moctezuma	即Montezuma
aiguille	尖峰
sarre	萨尔河
yearningly	怀念
semidiurnal	半天
unwearied	孜孜不倦的
armet	头盔
drily	干巴巴
decadal	十
sweatbox	发汗装置
dextrous	机巧的
socle	台石
seam	线缝
qkt	queen''s
forewoman	女工头
lax	不严格
thermoplastic	热塑性
insipidity	枯燥无味
magpie	鹊
tinder	火绒
ominous	恶兆的
vision	显示
undissembled	不加掩盖
aquatic	水生的
cankerous	溃疡
proximity	接近
zymoplastic	凝血的
consequence	结果
ninny	傻子
repletion	饱满
actaeon	亚克托安
ethereality	如醚的性质
enchant	施魔法
basebred	下贱
boulangism	布朗热主义
senatorial	参议院
vermifuge	驱虫
clarice	克拉丽斯
corporative	社团的
epigenous	上面生
counterintelligence	反间谍活动
ece	Commission
astrogate	驾驶
tail	嵌入
snide	赝品
metalist	=metallist
swim	覆盖
titograd	铁托格勒
inerrably	无误
beaux	喜修饰者
computerizable	可以电脑处理
cigar	雪茄
corel	出品的软件有CorelDraw等
multiprogramming	多道程序设计
ravenous	贪婪
desiccative	去湿的
npr	National
showplace	名胜地
somniferous	催眠的
irrefutable	不能驳倒
quackish	庸医的
feverish	热病
instantiation	例示
parashot	反伞兵射手
leave	遗忘
instantaneous	即时的
cosmoid	具有齿鳞质的
stonecast	短距离
dank	透水
crass	愚钝
adperson	从事广告业的人
accurst	可憎恨的
ovarian	卵巢的
baroque	结构复杂的
candidiasis	念珠菌病
born	出生
epitoxoid	弱亲和类毒素
geomagnetic	地磁的
thallogen	=thallophyte
celebrity	名人
rosebud	妙龄少女
semicircular	半圆
abyssalpelagic	深海水域的
strikeout	三击未中出局
incorruptibly	不被收买
pure	无垢的
userkit	用户套件
burtonize	作硬化处理
necessity	必要性
higgler	叫卖商人
charm	魔力
atypic	不定形的
workerist	强调工人利益的社会观的
system	秩序
grammatical	文法的
swash	摇晃
hashimite	哈桑王族的成员
pyralid	螟蛾
congruity	适合
tan	晒黑
rusticate	去乡下
vihara	寺院
mousseline	真丝薄稠
altiplano	高原
eophyte	始生代植物化石
asexuality	无性别
snaky	阴险的
microcrack	显微裂纹产生微裂纹
wonna	=will
enamel	指甲油
photoptometer	光觉计
rigmo	=rigor
cimbalom	钦巴龙
ferocious	凶恶的
countertrend	逆倾向
lumirhodopsin	光视紫红
rpc	Royal
hundredweight	担
eximious	卓越的
hushpuppy	南部
humoristic	诙谐
francophile	亲法
subtilize	使稀薄
monoacidic	一价
tolstoian	托尔斯泰的
discrepantly	不一致
avocado	鳄梨
muzhik	农人
undiluted	纯粹
unclarity	不清澈
roughly	粗糙
pipul	=pipal
whew	吆
antibiotic	抗生
compelling	强制
nightwalker	夜间为非作歹者
exclosure	围地
synergism	神人协力合作说
unwitnessed	未察觉到
fortieth	第四十
gumminess	树胶质
fluffhead	没头脑的女人
wardenship	warden之职权
vagotropic	向迷走神经
rabble	拨火棍
hydroponist	水耕式经营者
monophyletic	单元的
uncopiable	不能抄写
scribe	用划线器划
slanchwise	斜向
solstitial	至的
valse	轻轻地走
catamnestic	病后经过
severalfold	几倍的
tuffaceous	凝灰质的
antisocialist	反社会主义者
fabian	费边式的
fit	符合
passional	热情
opera	歌剧
reducible	可减少
singular	单一
ane	一个的
unimpeached	无可指摘的
spectrograph	光谱摄制仪
mycoplasma	支原菌
sedgy	莎草密茂
equijoin'	NULL)
gory	血淋淋
commercially	商业上
space	空
unction	油膏
smoke	吸烟
untilled	未耕种
hitchhiking	搭乘
hols	休假
galyak	羔羊皮
nuts	呸
encomiast	宣读或写颂辞之人
mongolian	属于蒙古人种的人
changeless	稳定
hyperplastic	增生
frenzy	狂怒
slantindicular	有点斜
myeloblast	原
explosibility	可爆炸
dependence	依赖
twoscore	四十
aleph	希伯来文的第一个字母
sociopolitical	同时涉及社会和政治的
potman	酒馆的侍者
scraggly	凸凹不平
prevail	获胜
photometric	光度测定
ambidexter	两面讨好者
idolatress	女性的偶像崇拜者
ratisbon	=Regensburg
beachhead	滩头阵地
fontanelle	囟门
inherent	固有
tristylous	三花柱的
infundibuliform	漏斗状的
bia	Business
hilly	多小山的
youthy	少壮
toothless	无齿的
throstle	纺织机的一种
airhouse	充气屋
flank	侧面
hilac	accelerator
indistinguishable	无差别礔Ebl/
rollei	=Rolleiflex
hydronic	液体循环加热
amicably	友善
samlet	鲑科的幼鱼
phylloerythrin	叶赤素
delude	蛊惑
present	举枪瞄准
unemotionality	冷漠
serbian	塞尔维亚人的
seraphic	六翼天使
psychoactivity	作用于精神
hemichordate	半索动物纲
maestro	名作曲家
anchoret	隐士
transformative	变化的
filamentous	细丝状的
herodian	希律一世
dispossessed	无依无靠
flagellate	鞭打
onstage	舞台表演区
irgb	Blue
sba	Small
citywide	全市
deoxidize	还原
badge	徽章
unfearing	不畏惧的
buster	非凡的人
unmerited	无功受禄的
rate	责骂
provable	可查明的
peacockery	虚饰
quarterly	每季地
eben	埃本
xerophthalmia	眼球干燥症
buckled	有扣的
cotyledon	子叶
unhired	未租入
dichroitic	二色性的
cataract	白内障
sneakingly	卑鄙地
vertebratus	脊状的
nodose	结节多的
halvah	土耳其的碎芝麻蜂蜜糖
anomalous	不规则的
supermundane	世外的
enantiotropy	互变形
fool	欺骗
paraphrastic	改写成容易明白的
phocine	海豹
rim	形成边状
true	正确
noaa	and
lithemia	尿酸血症
miesian	密斯建筑式样
shopworn	陈旧
pollyanna	盲目乐观的人
phonotype	音标铅字
ethanethiol	乙硫醇
agreeable	适合
specilize	详述
omnisexual	全性
explant	移植
terribly	十分
easternmost	极东的
magic	不可思议
yarrow	西洋蓍草
book	预订
help	佣工
polychrest	有多种功效的贵重药品
aarnet	澳大利亚科研网
dolman	土耳其式长袍
tergeminate	三次双生
malign	诽谤
limy	石灰似
hamulate	顶端弯折
faciend	被乘数
tup	冲面
photopia	眼对光调节
flightily	轻浮地
slack	使缓慢
opalesque	似蛋白石
failingly	似将消失地
moksa	解脱
juso	青年左派分子
vindicative	辩护
thyiad	梯伊阿
oary	桨状的
napier	象草
coleopteran	甲虫类之昆虫
regality	王国
bachian	巴赫音乐
kidnapper	拐子
verdant	生疏的
generous	有雅量
unaccountably	不可解释地
grey	灰色的
fin	露鳍于水面的
trigeminal	三叉神经
frad	Relay
albigensian	阿比尔派教徒的
unstirred	未受激动
thermogeography	温度地理学
neddy	驴
dermatological	皮肤病学的
system	制度
doughhead	笨蛋
concent	同意
mezzo	适中
slype	走廊
flexowriter	电传打字机
castigate	严惩
mallein	鼻疽菌素
alway	永远
petroleum	石油
baku	巴库
unrelenting	不宽恕
smoke	冒烟
transcriptase	转录酶
noetics	纯理性论
mib	管理信息库
homoscedastic	同方差
bear	带给
arises	发生
bat	用球棒击球
help	帮忙
degrading	可耻
sneaker	鬼鬼祟祟的人
systemic	身体组织的
homogamy	雌雄同熟
bellicism	好战倾向
homebred	没有教养的
bokhara	=Bukhara
tribal	种族的
kor	侯尔
circumoral	绕着嘴
greenfinch	绿黄色科鸣鸟
reupholster	给……装新椅面
pluralistic	兼职的
spray	喷射
quadrangle	四角形
sweaty	吃力的
copernican	哥白尼学说的
paralegal	辅助律师业务
strikeless	无罢工的
illegality	犯规
inauthoritative	非权威的
autography	石版印刷术
kappa	希腊文字母第
synopsis	大纲
discard	放弃
emancipatory	有助于解放
crumple	弄皱
correct	恰当的
styliform	尖笔状的
sateless	无厌的
bald	枯燥
hideous	丑恶的
sophistry	诡辩
key	基调
orbit	势力范围
themis	西弥斯
resubject	使再服从
homebred	土产的
amylose	直链淀粉
silence	压制
infamatory	中伤
mythoheroic	歌颂神话英雄事迹的
educationist	教育理论家
yankeefied	美国式的
bifurcated	分为两部分
uncovery	揭露
ippf	国际计划生育联合会
naziism	纳粹主义
rp	Republic
predominance	优势
idealistic	唯心主义者的
scout	侦察机
price	给……定价
anosmia	嗅觉缺失症
leto	勒托
ripely	圆通地
djokjakarta	=Jogjakarta
unhcr	Nations
mitral	僧帽状的
fucking	用以增强表示愤怒
unpleated	不打褶
briquette	煤饼
quilled	有硬毛
rounce	手动印刷机把手
buccaneerish	海盗似的
out	从头至尾地
apogeotropic	负向地的
inauspicious	不吉利的
alterative	改变的
subservient	有用
very	真正
procurement	取
suprapersonal	超个人
octosyllabic	八音节的
lobbyist	活动议案通过者
hanepoot	非洲白葡萄酒
hyperrealism	照相写实主义
leave	休假
foreseen	foresee的过去分词
ellipse	椭圆
chelifer	螯蝎
tolstoyan	托尔斯泰的信徒
immigrant	移民
venerable	古老
sagacity	聪敏
incarcerate	幽闭
rideable	=ridable
deputy	代表
protease	蛋白酶
screen	银幕
linty	有棉絮
exophasia	有声的语言
rampart	用壁垒围绕
orinoco	奥里诺科河
jejune	贫瘠的
quick	活泼的
burrawang	螺旋大泽米
centralisation	=centralization
amphibiotic	长大生活在陆地的
steal	偷窃
trifling	不重要
relabel	重新用标签标明
portly	一表人材的
polaroid	人造偏光板
bioelectronics	生物电子学
cryptogamous	隐花的
grope	摸索
typhoon	台风
hemp	纤维
exposure	暴露
parorexia	食欲倒错
unbalanced	错乱
fedayee	阿拉伯游击队队员
gradual	渐进的
tightwad	吝啬鬼
unenlightened	落后
autocephalous	独立的
impavidity	无畏
vacuolate	有液泡
deltawing	有三角翼
abradant	摩擦着的
wananchi	劳动群众
disablement	无力化
warrant	担保
gripe	紧握
flush	使激动
pincette	小镊子
plan	设计
pacesetting	定速度的
rejuvenescent	回春的
grayback	灰色动物
terminable	有期限的
grandiose	宏伟的
octastylos	八柱式建筑物
recover	重新获得
bedlam	疯人院
undeflected	不偏斜
fondly	怜爱地
weariful	厌烦的
scrubland	灌木丛林
negotiatory	协商
failure	缺乏
quantification	量
cymoid	状似聚伞花序
shade	使渐变
difform	不同形状
gasifiable	可转化成气体的
copyright	著作权
ogygia	奥杰吉厄岛
paediatrist	儿科医师
trackway	踏出来的路
quizzery	考查
sacral	圣礼的
chattanooga	查塔努加
luteous	略带绿色之黄金色的
livelily	活泼地
toucan	巨嘴鸟
shipwright	造船木匠
campus	校园
doss	睡眠
karman	Karman
coloratura	花腔音
nisi	非最后的
urology	泌尿学
qbp	queen''s
twelvefold	十二倍
ruly	有条不紊
incurvation	内曲
sgml	General
boundlessly	无限地
seminary	神学院
crassly	愚钝
peach	告密
urbanologist	都市学家
limoges	法国中部Limoges地方产的瓷器
chastening	精练
diphenylhydantoin	苯妥英
flock	众多
barring	不包括
verily	真正地
conceit	自负
forcible	暴力
summon	召唤
anathematically	憎恶
lucubration	学术作品
ungraceful	不优美
menisci	meniscus
outlook	前景
determined	坚决的
primiparous	初次分娩的
discipular	崇奉者的
livable	适于居住的
deactivate	解除动员
southing	南进
viennese	维也纳人的
lion	社交场合的名流
incendive	易燃烧
ticktock	滴答声
lewdster	好色之徒
pithiness	有力
leeway	风压差
gpi	paralysis
proofless	无证据
pillared	成柱状的
hyperpiesia	血压过高
separatory	用于分离的
indwell	存在
corotate	同步旋转
hydromancer	用水占卜的术士
cesarian	凯撒
circumterrestrial	在地球周围
module	登月舱
haunch	腰部
parleyvoo	讲法国语
fluxion	飞跑
sudamina	粟疹
portico	门廊
selflessness	忘我
amazonian	亚马逊河的
supernormal	非凡
hyperpyretic	高烧的
tattersall	塔特萨尔花格
dreamily	梦似地
comity	团结
hazily	朦胧
russell	英国工程师
muttonchop	羊排
dolichomorphic	部分肢体特别长的
still	剧照
syllabification	划分音节
knowledgeable	有见识
hedge	避免作正面答复
unpatriotic	不爱国
heliotropic	向日性的
graphomotor	运动
haberdash	做
gneissic	片麻岩
vpd	Device
panmictic	随机交配群体
tidily	整齐
bicorporal	有两个主要部分的
explicit	直接付款
warsaw	华沙
photosensitivity	光敏性
psychosexuality	意淫
safekeeping	保管
caesural	主要停顿
khud	峡谷
fibre	纤维
flechette	由飞机投下的一种小钢矛
consensus	多数人的意见
hominization	人化
gst	sidereal
inchoate	不完全的
pensile	悬挂
jubilant	欢呼的
bowed	弯如弓
jurat	宣誓证明
chi	22字
ragefully	盛怒
millesimal	千分之一
pyrotechnics	烟火制造术
pallette	调色板
preappoint	预先约定
quibblingly	吹毛求疵
carsick	晕车的
poofy	脂粉气
one	一
constantly	坚持不懈
domain	领域
emulsive	会流出乳状液的
clocker	赛马预赛时计速员
gunmetal	炮铜色
dislikable	可厌的
carfare	电车费
grewsome	令人厌恶的
circumambient	围绕的
gastronomy	美食法
husk	皮
poe	Of
msp	信息安全协议
delomorphic	显形的
zestful	有滋味
sudsy	起着泡沫
jelly	果子冻
tubbing	制盆材料
pluckily	有勇气地
painfully	痛苦地
cacique	领袖
nethermore	较深的
scathing	严厉的
uhf	UltraHigh
innovationist	主张革新者
edifying	有教训意味的
undissembling	公开的
accelerando	渐速音
dep	and
owl	Library
screen	拍电影
everbearing	连续不断结果的
beneficial	受益的
hieroglyphist	象形文字研究者
thermoperiodicity	温周期现象
extraofficial	职权外
autobiographic	自传作家的
tung	桐树
cfs	立方英尺[秒
disentitle	剥夺……的称号
moleskin	鼹鼠毛皮
tarok	塔罗克纸牌戏
ambagious	迂曲的
inexactly	不精密
quenchable	可熄灭的
bulk	大多数
lustily	精力充沛
geocentrism	地心说
inartistic	无味的
bim	British
disorient	使迷惑
divagation	流浪
scramble	杂乱蔓延
dissipator	放荡者
factualistic	尊重事实的
cribriform	筛状的
spermatic	精液
supremely	崇高
col	峡路
thaumaturgy	奇术
ballot	投票
gypsy	流浪
scathe	痛斥
ersatz	假的
johnsonian	约翰逊流派
subdeacon	副执事
gertrude	婴儿内衣
epicurean	享乐主义的
recoat	重新涂
congregational	会众
interactional	相互作用
worm	小人物
incompletive	=imperfective
degustate	尝
zing	子弹声
calloused	变硬
piccadilly	伦敦繁华的大街之一
wise	明白的
phasemeter	相位计
congenial	性格相似
devalue	贬值
serve	适合
spiky	长而尖的
society	社会
exclosure	围
zonal	带状的
front	对付
tdn	nutrients
fawning	奉承
hibernacula	离体冬芽
calcimine	墙粉
regosol	粗骨土
assess	评定
outlive	渡过……而存在
togae	制服
aerodynamically	空气动力学
invigorant	补药
phot	辐透
churchillian	邱吉尔作风的
crinoid	海百合类
elaphine	红鹿
kep	扣留
hydroextractor	脱水器
approachability	易接近
predacity	食肉性
rear	背后
flimflam	荒唐
rx	治疗方案
lankester	兰基斯特
tun	发酵桶
rend	撕碎
sei	大须鲸
imperence	无礼
scoriaceous	烧石的
mica	云母
nomadise	=nomadize
newsvendor	报纸经销人
maccaroni	s)
dohc	overhead
jejuneness	幼稚
oophoritis	卵巢炎
soaprock	=soapstone
unwooded	无树木的
gynecoid	=gynaecoid
demoded	过时
or	Research
forepaw	前脚
reenact	再扮演
catamount	美洲豹
posthypnotic	催眠后的
asshead	傻瓜
embroil	使纠缠
problematic	有疑问
unawares	不知不觉地
ichthyophagy	以鱼为食
lawcourt	法庭
pim	Information
sedate	给……服镇静剂
caitiff	胆小鬼
sap	逐渐侵蚀
misuse	误用
execratively	诅咒地
tenancy	租赁
flaring	花哨
becquerel	贝可
moocher	闲逛者
alcheringa	黄金时代
leaning	清洗
buttle	做男管家
fallfish	小眼须雅罗鱼
nolle	=nolpros
slack	呆滞的
titrator	滴定仪
pyroligneous	焦木的
veil	幕
unpick	拆散
lotiform	莲花状
unplucked	未拔毛
sins	navigation
cooperancy	一起工作
rob	抢夺
recognizably	可辨别
costly	贵重
fixup	修正
weak	淡
quibbling	诡辩
iab	Internet
yarage	可操纵性
proseminar	研讨会
titanic	四价钛
boastful	自夸
schlep	携带
floodmark	高水标
double	加倍
chemigraphically	化学镌版术地
gripe	肠痛
swag	摇晃
hagiographer	圣徒传作者
seaquake	海啸
clannish	氏族
peccancy	罪行
skillful	熟练的
batch	一炉
inviolate	无污点
biotic	生物的
svelte	体态娇美
dignified	有品格的
acryl	压克力
seducer	玩弄女性的色情骗子
quirkish	讥讽的
decilitre	1/10公升
habituate	使习惯于
furioso	演奏得很有力
antisudorific	防汗剂
pule	抽咽地哭
auditorial	查帐官
nasute	头部有鼻形突出
cannon	加农炮
merely	只
cornered	被逼至绝路
gerontomorphosis	成体变形
sclerotoid	=sclerotioid
sentence	文句
natural	天赋
customs	海关
agelong	持续很久
benty	硬草
aaronic	亚伦
devotional	虔诚的
cyclostomous	有圆口的
slot	细长的孔
