verandah	阳台
harbourless	无港
embay	使入湾
gantry	构台
convoy	护卫
grunge	乏味的东西
pie	杂乱
sodomite	口交者
perivascular	血管周的
martially	勇敢地
unconsciousness	无意识
dews	distant
nonchromosomal	不以染色体遗传特质
councilman	市议会议员
preproduction	试生产
tumult	吵闹
executive	执行的
fabian	拖延时间
revelator	揭发者
corrosion	腐蚀状态
rumble	辘辘声
disrupture	=disrupt
monotype	单型
trelliswork	格子细工
gaia	=Gaea
micromodule	微型组件
adipose	脂肪的
busses	汽车
capacity	智能
mucosity	粘性
bibliokleptomania	盗书癖
doa	到达前死亡
stop	停止
shaver	修面的人
malapropos	不合时宜的
bicephalous	两头的
outlive	经受住
ccco	Central
plasticizer	可塑剂
apertured	有洞的
fatso	胖家伙
aiff	Audio
mythoi	mythos
flit	飞来飞去
circumspectly	留心
felspathic	像长石的
gadgeteering	精巧机件的发明
dishwatery	乏味的
clathrate	窗格形的
asphaltum	柏油
diagnostician	诊断专家
epee	重剑
proverbs	箴言篇
primordia	的复数
electropaint	电涂
refrigeration	冷却
withy	瘦长而结实
rosery	玫瑰花坛
psychoprison	重精神病院
bedfellow	同床者
geoscience	地球科学
matriclinous	偏母性状
brimless	无边缘
retrieval	重获
athrocytosis	细胞摄物作用
random	胡乱的
complexioned	脸色……的
outlandish	古怪的
gat	的过去式
lawbreaking	违反法律
gimp	用辫带装饰
desulfur	除去硫磺
certiorari	诉讼文件移送命令
feelingless	无感情
seize	查封
delphic	意义不明确的
weasel	抽掉的含义
fed	一种显示技术
counteropening	对侧切口
autarchy	专制
chainbelt	链带
haybag	娘们
practician	熟练者
pki	Infrastructure
ethnic	人种
arthrodic	滑动关节
unjustifiable	不能分辩
aeolic	伊欧里斯
lithotomy	切石术
impeachable	可弹劾
binal	两倍
captious	吹毛求疵
rics	Royal
ratable	应课税
fly	两翼昆虫
disinvite	取消对……之邀请
orange	桔
interlibrary	馆际的
klunky	破旧
champleve	雕刻后填上油漆的
spue	吐出
remonstrator	忠告者
tiptop	非常好
channel	水道
dynastic	朝代
polyandric	一妻多夫的
ringway	road
autoplastic	自体移植的
applicatively	可适用地
crackpot	不切实际
cookie	一种网络服务器传递给浏览器的信息
offensively	讨厌地
elaborate	详细描述
above	在上面
reactionism	反动思想
vegete	健康
preoral	口前的
fecaloid	似渣滓
molelike	似鼹鼠的
exasperater	触怒他人者
artwork	美术品
salimeter	重计
retiform	有交叉线的
somatology	比较体格学
handled	有把手的
phantasmagory	=phantasmagoria
collectivist	集体主义者
withy	瘦长而结实的
mineralogy	矿物学
orator	演说者
sheep	绵羊
inhomogenous	不均一的
fin	露鳍于水面
bilicyanin	胆花青素
diplomatic	外交的
etcetera	等等
sheerhulk	立桅起重船
augmented	扩张
legitimization	合法化
commeasure	可与……相比
ululant	呜呜叫
regather	再聚集
style	设计
candlewood	作火炬用的烛材
expedition	远征
clutter	混乱
vexillary	旗手
conclusive	最后的
waterhead	水坝拦住的水
exorability	容易说服
liveware	活件
pwd	公共工程处
strum	乱弹的声音
primy	在最佳期的
transgress	违法
smacking	发出响声的
laceration	破口
plowland	可耕地
thermolabile	热不稳定的
naggish	有点爱唠叨的
dumortierite	蓝线石
impressive	给人深刻印象的
seduce	诱使
dibbuk	=dybbuk
toughly	固执
unwilled	非自愿的
quakerbird	信天翁
sporangium	孢子囊
crate	板条箱
ho	表示惊讶
zombie	巫毒崇拜
speedlight	电子闪光
proteinic	蛋白质
sottish	愚蠢
softly	温柔地
globalism	全球主义
dimethylmethane	丙烷
partner	当助手
antedate	提早日期
stodge	使填饱
leftist	左翼
xerantic	使干燥的
tannic	丹宁的
mesozoic	中生代的
monthly	月刊
caledonian	古苏格兰人
sacerdotal	祭司制度的
monophthong	单元音
turbulency	动乱
nondisjunction	不分离
nob	打头
retract	缩进
consent	答应
firmer	坚固
bonded	存入保税仓库
page	专栏
distinct	截然不同
ruridecanal	乡村教区司铎的
sidewipe	=sideswipe
puling	哀鸣的
djinni	=jinni
archegone	=archegonium
enamel	涂以瓷釉
telepathize	心灵感应
androcentric	以男性为主的
somnifacient	安眠药
preaching	讲道
medicine	内科学
kaif	精神恍惚
orionid	猎户座流星
lowest	最底下的
guianese	圭亚那人
yokelish	乡土
surgically	如外科手术般
unoiled	未上油的
calculous	结石症的
aldehyde	醛
bloom	繁盛
nurseling	奶妈养育的婴幼儿
tinge	些微气味
dnf	not
rigescent	僵化
digamist	再婚者
observer	观测者
prejob	就业前
assessee	财产价值已被估定之人
flecklessly	完美地
lizbeth	莉兹白
drive	快车道
oilily	圆滑
monophyletic	单源
earthborn	会死
forebode	预兆
diamondback	有菱形斑纹的
illegitimation	认为不法
clx	最高潮
luminaire	光源
preface	写前言
postpose	用在后面
vintage	洒的
cover	保护
residual	剩余
posttraumatic	外伤后的
swagger	吓唬
desiccative	去湿
nbs	National
entomological	昆虫学
longhair	长毛猫
confutation	驳住
sycophantic	阿谀
topgallant	最佳的
iffy	不确定的
pingo	小丘
xenotropic	向异的
canorous	音调优美的
orotund	洪亮
encyclopedic	如百科辞典的
oppugnant	反对的
sile	滑下
oedipus	俄狄浦斯
multimode	多状态
crookery	欺骗
unobjectionable	难反对的
shuttle	穿梭
unlock	显露
decamp	撤营
impayable	无法清偿
whopping	庞大的
cyclo	出租机动三轮车
cyathiform	杯形
normalization	标准化
lesbianism	女性同性恋关系
gownsman	法官
against	反对
homefelt	痛切感到的
salvationist	救世军军人
novel	新奇的
refer	使求助于
conservative	保守的
wonder	奇迹
overdare	使失去勇气
misprise	蔑视
triangulate	分成三角形
segregation	种族隔离
lithophagous	食石
unsightly	不好看
tedious	冗长乏味的
rodster	钓鱼者
kindle	煽动
talbot	塔尔博特提猎狗
afl	of
prag	=Prague
incontrollable	不能控制
blunder	大错
dockside	坞边
equipped	整装
staple	主要产品
untruthful	爱说谎的
lissu	=Lisu
recompose	重新安排
nodulate	生根瘤
eyesome	可爱的
obtrusively	冒失
acetylco	acetyl
ast	美国虹志公司
otiose	没有用
singly	逐一地
caterwauling	猫叫春声
decease	死亡
padang	巴东
allochthonous	外来的
triangular	三人间
vigorous	有力
tuffaceous	凝灰岩
hindermost	最后面的
harvest	成果
spareness	缺乏
greet	映入眼帘
chalkrail	黑板下方的粉笔槽
rhodo	杜鹃花
hyetometer	雨量器
offhanded	即席的
ringdove	斑鸠
mdccclxxxviii	1888
unleavened	未经发酵的
upwhirl	向上旋转
weal	鞭痕
wastry	浪费
careerism	野心
forethoughtful	深谋远虑ness//
dps	Data
tiderip	潮激浪
leadswinging	躲避工作
fleshcolor	肉色
copycat	复印机
merrythought	叉骨
gambia	冈比亚
sig	Group
andromonoecious	雄全同株的
nanosecond	十亿分之一秒
pursy	皱起的
social	爱交际的
frankness	率直
boastful	自负的
assheaded	傻瓜的
dubitate	半信半疑
fijian	斐济的
apnea	呼吸暂停
stick	粘贴
hygeian	卫生
supermundane	世外
productively	有结果地
sjaa	St
overkind	过于友好
farcied	患有马皮疽
supine	懒散的
valued	尊贵
pyrolusite	软锰矿
undivided	未分开
amoebocyte	阿米巴样细胞
fortuneteller	占卜者
unclog	扫除……的阻碍
dusky	忧郁
heterochromosome	异染色体
omnific	创造一切
senary	以六为基础
pitch	投掷
chondroitin	软骨素
unguligrade	蹄行
dexter	右边
lanceolated	枪尖形
eventful	多事的
delicate	病弱的
refractional	折射的
proclamatory	宣言的
hatchway	地板
fixative	防发挥的
vagabond	游民
distribution	分布状态
unsubstantial	薄弱
penitentiary	监禁
tamp	填塞
course	课程
halfling	半便士的银币
vast	辽阔
verticillium	黄萎病
rhodamine	玫瑰精
fleshless	非物质形体的
solo	单独
beauideal	完美的典型
intrigue	私通
larruping	与众不同的
habitually	习惯地
delphinine	翠雀宁
sapele	萨佩莱
assuming	不逊
glede	老鹰
immoralism	对传统道德的漠视
carbonization	碳化
rp	of
halfhourly	三十分钟
volcanically	火山似地
pitch	投
hardly	艰辛
impertinent	不相干的
ocdm	and
wimple	使折叠
baronial	与男爵有关
characterize	表现……的特色
wisp	小束
clypeiform	有额板的
agrologic	农业土壤学
mishandle	虐待
teched	神经不正常
whim	一时的兴致
wadding	纤维填料
redactor	编辑者
accessible	可理解
bowwow	狗吠的声音
picture	画
sebotrophic	刺激泌脂
unreeve	从孔中拉回
squashy	又湿又软的
platitudinarian	说陈词滥调的人
chump	木人
locomotive	火车头
jar	广口瓶
extemporize	即席演说
natural	自然
poke	戳
yokel	庄稼汉
jena	耶拿
symmetry	匀称
paceway	遛马场
inofficial	非官方的
graining	漆木纹
luxuriate	茂盛的生长
phrynin	蟾蜍皮毒蛋白
beau	喜修饰者
cognominal	同名
wrangler	争论者
perigynous	周位排列
reversionary	继承的
quaintly	离奇有趣地
digitated	指状
transeunt	外在的
lockage	水位高度
tedious	冗长乏味
teleview	用电视机收看
msts	Military
coruscant	闪烁
itabira	伊塔比腊
weakly	有病
moisten	变潮湿
adespota	作者不明之作品
reoffer	再提供
swarthy	黑黝黝的
mouth	嘴
inconsolable	无法安慰
parader	列队行进者
ac	交流电
lur	London
grandson	孙子
introduce	介绍
sericin	丝胶
copious	广识的
denish	丹麦人的
curtness	草率
constrained	不舒服
out	显露出来地
mispickel	=arsenopyrite
pictorial	画报
essayistic	随笔的
goon	受雇暴徒
curlew	一种鸟
ajut	突出的
tba	announced应予宣布
misapplication	滥用
fuck	性交
panderess	鸨母
teacherless	无教师
mosaicist	镶嵌细工商
ferocity	暴行
endoergic	吸热的
allopathist	用对抗疗法的医生
skillion	披屋
karyon	核
oapec	阿拉伯石油输出国组织
incept	获得学位
fargoing	范围广泛
sternly	严厉
clumsiness	丑陋
picnicky	郊游
sindonology	都灵尸衣学
divine	神圣的
design	构思
digitizer	数字转换器
invertible	颠倒
dicephalous	双头
immensely	无限地
unconfiding	寡言
cloak	掩护
lace	缚带子
spumescent	起泡沫
banaban	巴纳巴岛的
precaution	预防
locator	土
iatrology	医学
unseriousness	不严肃
micrococcal	微球菌
considered	考虑过
meaning	意义
interconvert	互变
conjurator	灵媒
hygroscopic	吸湿
jeers	操纵帆桁下部索具
asce	Society
hypophloeodal	生成长在树皮下的
graniteware	花岗石纹的法琅铁器
susceptance	电纳
pfd	flotation
sacrament	沉默的
forbidding	令人难亲近的
scabby	结痂
rani	王妃
ministrant	提供帮助者
evolutional	进化
oppressor	压迫者
miee	the
avt	added
pedagogic	教师的
unapproachable	无可匹敌的
profligate	不检点
lyonnaise	用洋葱作配菜烧成的
lapse	堕入
falconry	鹰猎
orangeade	橘子水
vlsm	Variable
savannah	大草原
rigmarole	冗长的废话
mellowness	肥沃
sitting	就座
temper	调和
call	召集
nutsy	痴狂的
writ	书面命令
discursion	漫谈离题
telephonic	用电话传送的
phenomenological	现象
erewhile	不久前
chastening	精练的
corinth	科林斯湾
rudderfish	追船鱼
facticity	确凿性
akimbo	两手叉腰
unlearned	天然的
raa	Academy
thematic	题目
sumph	愠怒的人
calathiform	杯状
inquilinous	寄食
bladdery	有气泡的
device	策略
deflation	放气
backwardly	落后
extramural	单位以外
senna	番泻树
cranny	裂缝
whare	棚屋
reflected	反射
fruitarian	常食水果的人
hydrogenation	加氢
ungava	昂加瓦
gallican	古代Gaul教会的
unworn	没有磨损
tailstock	尾座
norsk	挪威人的
innovationist	改革派
atrabilious	疑心的
geriatric	衰老老人
roose	吹捧
contest	竞赛
colligative	依数的
teheran	德黑兰
expiable	可偿
extension	外延的
soterial	救世
toadfish	豹蟾鱼
thunk	铛
frostbound	不热情的
fete	节日
mesityl	荚基化氧
pacifistic	和平主义
theft	偷
prehominid	猿人的
superjacent	压在上面的
funiculate	有细索的
proteolysis	蛋白质水解
doodad	便宜货
supercarrier	超级航空母舰
confessingly	像忏悔者一般地
fruitlet	小果实
phobia	恐怖症
fluid	流畅
fylfot	万字形
nonessential	非本质
associative	联想
loco	发狂的
vigorous	健壮
spirivalve	螺状的
dominant	占优势的
sibilant	齿擦音
sayest	单数
pinery	菠萝园
loessial	黄土的
unholy	邪恶的
healthy	健康的
rudiment	初步
villainy	道德败坏
impertinent	鲁莽
tappit	有顶饰
private	秘密的
iotp	Internet开放贸易协议
remissible	可宽恕的
kilter	良好状态
efficaciously	有效
rbi	Run
disposal	布置
antitrust	反托拉斯的
pfui	啐
modernday	现代的
vidual	守寡
vortex	中心
nagmaal	圣餐
alacritous	快活的
gingerly	极为小心
increately	原存地
snow	雪
oup	Press牛津大学出版社
handloader	自己装子弹的猎人
kultur	军国主义
blob	水滴
eventuality	可能性
copycat	无主见的家伙
neoorthodox	新正统运动的
caveator	发出警告者
cheapie	廉价品
barycentre	质心
pearlescent	珍珠般
demilitarization	非军事化
tepefy	使微热
shina	希纳语
inorganized	缺乏组织的
polysepalous	离萼
wireless	无线
carl	Carl
planish	精轧
offensively	不愉快
fully	充分地
semideaf	半聋
circle	循环
animated	活泼
roadlouse	小型汽车
unconfiding	不轻信别人
ccitt	国际电话与电报顾问委员会
foaly	怀驹的
metaphosphate	偏磷酸盐
teach	教授
petrographical	岩类学的
coidentity	同一性
hound	猎犬
scant	限制
apopemptic	告别
ashes	文化遗址
thermometrical	温度计的
biofacies	生物相
text	原文
undomesticated	不习惯家庭生活
scopulate	帚形的
archduchess	皇女
lacertine	有蜥蜴状花饰的
refution	辩驳
dogger	荷兰双桅渔船
rubrical	朱色的
striction	收缩
qos	of
recidivate	复返
franciscan	St
horsepower	马力
undemonstrable	难以证明
perigynous	周位排列的
repentant	悔改的
backlist	库存书籍目录
bps	per
call	喊声
retroreflection	回射
fortnightly	隔周
maraca	女人的奶子
yieldance	屈服
woefully	可悲
noddle	头
memento	纪念品
eighthly	第八号
belted	装甲
donnish	装模作样的
trinitarian	信仰三位一体
blessed	受祝福
caldoverde	翡翠汤
rake	搜索
poriferan	海绵动物
degras	油鞣余脂
cameroun	喀麦隆
benedictory	感谢的
newfoundlander	纽芬兰人
hypaesthesia	感觉减退
monocular	单目镜的
xerox	施乐复印机
gyrose	回状的
evadingly	躲躲闪闪
muskellunge	大梭鱼
jal	日本航空公司
picrotoxin	木防己苦毒素
cyclo	三轮人力车
nerc	全国环境研究委员会
scrotum	阴囊
ersatz	假
hemiparetic	偏身轻瘫
cobwebby	蛛网密布的
sarin	沙林
haematolysis	=haemolysis
dolmen	史前墓石牌坊
iconographic	图像材料
masty	肮脏的
absolvent	赦免
theolog	神学院学生
calembour	双关妙语
provostship	provost之职
archdeaconate	副主教的职位
reimport	再进口
menfolks	男成员
furl	卷收
helvetia	瑞士的拉丁名
immunoglobulin	免疫血球素
chook	鸡
camping	帐幕生活
responsive	响应
sup	吃晚饭
rachis	花轴
velocipede	孩童用三轮车
cryptic	神秘的
regatta	赛舟会
unimpassioned	不感情用事
chief	长官
geckotian	守宫科的
mouthless	无口
catechol	苯磷二酚
culminating	终极
removed	远离……
cuvierian	居维叶分类法
phlebosclerosis	慢性静脉炎
pathography	病志
perform	执行
sumerology	苏美尔学
klunky	残旧的
incorrect	错误
liable	有……倾向
bemist	使朦胧
gigavolt	吉伏特
cretinous	白痴病
altisonant	崇高
glossmeter	表面反射性测量器
par	平均
kittenish	嘻耍
entasis	凸肚状
uninterrupted	连续的
rasorial	抓地觅食的
unofficially	非正式
delinquent	失职者
oldster	老人
poke	刺
coatroom	衣帽间
undivulged	未经透露的
inaugurate	开辟
chef	厨师
uncomfortably	困难
polyuria	多尿
extemporaneous	即席
peritonaeum	=peritoneum
glut	充斥
abidjan	阿比让
suddenness	意外
distend	扩张
dualism	二元论
underscore	划线于……下
georgette	一种极薄的透明细纱
bucker	跳跃的马
schizoid	精神分裂症患者
essential	提炼
tea	进茶点
polyptych	三联画屏
lcd	液晶显示屏
vdi	Interface
scepter	王权
lactase	乳糖分解酵素
cripple	削弱
silverbeater	银匠
theatric	剧场的
maddening	发狂
procuration	获得
sandhurst	英国陆军官校所在
purl	反针
buttony	钮扣状的
nautical	船舶的
nomothetic	以法律为根据
bosque	树丛
fan	煽动
tartarous	酒石似的
colligability	可连性
literalize	照字义解释
forebode	预示
uscgr	United
substratal	基本的
periodical	周期的
diapason	调音
sobriquet	绰号
gaga	狂热
otherness	相异
bestraddle	跨
nubile	适婚的
paced	步调
distill	提取
quasifission	拟裂变
habilatory	服饰
multibucket	多斗
mbfr	Mutual
stretch	一段时间
movement	运动
enervate	削弱
episterna	胸骨上端
houselet	小房子
epulosis	结瘢
berkshire	黑白色的猪
malarkey	说大话
explosible	容易爆炸的
nebulated	朦胧的
petitor	请求人
ingulf	吸进
screak	嘎嘎作响
nonideal	非理想
diphyodont	双套牙哺乳动物
frippery	便宜而俗艳的服装
toughly	固执地
transmontane	野蛮
matronage	主妇的身份
referrence	参考
extortionate	过高
poppet	乖孩子
inwit	理解
vectorcardiogram	蛄客
baptismally	圣洗地
serous	血浆的
meridian	顶点
stunt	绝技
outboard	向舷外的
valuer	价格核定人
to	向
unentangled	不曾复杂化的
wfp	Food
oppressively	压迫
enquiring	探听的
gibber	喋喋而言
pudicity	羞怯
spadable	可铲掘
fatted	肥胖
geck	卑鄙的人
herbarium	干燥标本集
spectroheliometer	太阳光谱仪
butler	男管家
paroemiographer	谚语写作者
offhand	唐突
basebred	下贱的
reirradiate	再用辐射
bigot	盲目信仰者
phosgene	光气
blazer	颜色鲜明的运动夹克
antiscriptural	违反圣经
nonscheduled	不定期的
seastrand	=seashore
visitor	访问者
lokoum	=locoum
compensate	补偿
serried	林立的
dupe	愚弄
equinoctial	春分或秋分的
wizard	神汉
undissembling	坦率的
validating	确认
lightkeeper	灯塔的看守人
synchronicity	同时发生
predeterminate	注定
orthoepist	正确发音的研究者
dawning	拂晓
twentymo	二十开的
trouser	女演男角的
therapeutics	疗法
thrombosthenin	血栓收缩蛋白
sugariness	甘味
sincere	诚挚的
myalgia	肌痛
overfired	过烧
dimethyltryptamine	二甲基色胺
polyphyletic	多源的
hip	熟悉内情的
fiercely	厉害地
defector	叛离者
pantopragmatic	爱管闲事的
laced	绑带子
whorl	打转
frgs	Society皇家地理学会会员
swellheaded	骄傲的
unsuspecting	不怀疑
myoinositol	肌醇
lease	租约
bald	光秃的
nasofrontal	鼻额
semplice	无装饰音
dural	硬脊膜
butanone	丁酮
consult	参考
roundly	有力
jeopard	危及
borderer	边境居民
inegalitarian	不均等的
securely	安全
barren	无聊的
flush	活力旺盛
breastplate	腹甲
period	时期
foretooth	前齿
galore	丰富
disagreement	不和
grayer	苍白
acropetal	向顶
froggish	像蛙
toxicosis	中毒
bender	狂欢
tightfitting	紧身的
moat	挖壕围绕
formwork	建筑用模子材料
bucuresti	=Bucharest
exasperating	气死人
undetected	未被识破的
unga	Nations
arginine	精氨酸
joyuce	詹姆士
elephant	象
brazilin	巴西木素
quadrilled	方眼
cyclometer	记转器
deduct	扣除
turboelectric	用涡轮发电机的
gatepost	门柱
preprofessional	职前的
oat	麦片粥
fiery	炽热
diffusive	普及的
intended	已经订婚者
cosmological	宇宙哲学
muff	笨拙的人
understatement	掩饰
inosculate	吻合
workingman	工人
rectificative	矫正
pretersensual	感觉不到
restorative	有助于复元的
dcmg	高级圣迈克尔和圣乔治女勋爵士
allahabad	阿拉哈巴德
klong	运河
fast	很快地
bure	房子
fishermen	渔船
stale	失时效
perfect	精通的完成式的
banaban	巴纳巴岛人的
deboost	推力的减低
noncaloric	热量极低
powerman	动力工作者
scrimpy	缩减的
jipijapa	巴拿马草帽
rrl	远程参考层
prance	后足立地腾跃
rebaptism	新命名
triumphal	凯旋的
respect	不防碍
salutiferous	=salutary
whimsical	反复无常
cytopenia	血球减少
interpellate	质问
overworn	overwear的过去分词
internalize	使内在化
eutomous	有明显解理的
arriero	赶骡人
postirradiation	辐照后
nonpolluting	不会引起污染
gerontocracy	老人政府
elastically	伸缩自如地
lessen	减轻
upas	见血封喉
webbed	作成蜘蛛网状
slashing	鲜明的
capotasto	=capo
roc	大鹏
copperheadism	美国内战时北方人对南方的同情
barkeep	酒吧间老板
jama	睡衣裤
azul	警方
butterscotch	奶油糖果
origin	起源
palmated	掌状
state	州
polyclonal	多元性繁殖系
unwilling	勉强的
melo	=melodrama
flushing	脸红
differentiable	可区分的
primary	第一位的
