trail	没精打采地走
packager	包装者
unlike	不象……
every	全部
usmcr	United
lateritic	含有红土的
key	插上栓
harper	竖琴师
acknowiedged	得到普遍承认的
gatekeeper	看门人
bromidic	陈腐
offside	越位
autobus	巴士
unveil	显露
monogamous	单配
vengeance	报仇
splendidly	华丽地
gyral	回旋
shaky	动摇的
pour	倾盆大雨
petechia	瘀点
corkwood	软木斛
glamourpuss	迷人的人
nailery	制钉工厂
ope	开放
deflect	偏转
controllable	可控制
borage	尤指琉璃苣
desmolysis	碳链分解作用
technocrat	技术统治论者
tromp	跺脚
nonuple	九倍
dona	夫人
quarterdecker	海军官员
diquat	杀草快
deadlatch	弹簧锁
ivorian	象牙海岸
emphatic	断然
turnabout	转变
deface	损伤外观
sopite	使入睡
racially	按人种
diagnostics	诊断学
arroyo	干枯的河床
squama	鳞
lax	泻肚
calligraphic	缮写
uncivil	粗野
interfusion	混入
softy	傻子
sponsor	赞助
delawarean	特拉华州人
compound	配合
ecarte	纸牌的一种玩法
biltong	干肉
lousiness	卑鄙
whetter	磨刀人
bab	巴巴拉的昵称
inequilateral	不等边的
reductive	减少
seeing	视觉
polariscope	偏光器
ultrared	红外
masturbatory	自淫的
unimpressionable	无情
immunosuppress	9ImjJnEJsE`pion/9ImjJnEJsE`pive/9ImjJnEJsE`por//
toiler	辛苦工作的人
interminably	冗长
strappado	吊刑
cock	公鸡
down	下去
grown	成年的
toltec	托尔特克人文化的
enisei	=Yenisei
fly	使飘扬
toadstool	伞菌
to	直到……为止
dichlorodifluoromethane	二氯二氟甲烷
softheaded	傻的
truckle	讨好
fortran	FORTRAN语言
strung	string的过去式和过去分词
rehearse	预演
accusatorial	控告者的
farthest	far
unsmart	不聪明
dimorphism	同种二形
circean	使人着迷
hereditarian	遗传论者
mental	精神的
referend	=referent
resolutely	毅然地
ahf	factor抗血友病因子
amphictyon	近邻各邦联盟
scot	苏格兰人
grassplot	庭园青草
finegrained	有细密纹理的
newmarket	纽马克特
antiscience	反对科学
mettlesome	勇敢的
perchlorinate	使全氯化
dallis	grass
decline	斜坡
saltimbanque	江湖医生
tragopan	角雉
nwa	Northwest
conversable	健谈的
shady	多荫的
cachou	驱口臭片
vicissitudinous	变迁
footwork	要跑腿的工作
circumpolar	围绕天极
ultrasonication	=sonication
poitrine	胸脯
ignominy	耻辱
ricin	篦麻蛋白
fluke	意外的挫折
prove	检验
hallstadt	=Hallstatt
ioof	Order
wuhan	武汉
churrigueresque	具有西班牙巴洛克建筑风格的
multiloquence	多言
vasoconstrictor	血管收缩
uncate	钩状
resend	再发
exertion	运用
polemarch	文官
reboil	再煮沸
polymethyl	聚甲基丙烯酸甲酯
tritanopia	第三色盲
equational	方程式的
ventriloquism	腹语术
derogate	毁损
ordonnance	法令
time	安排……的时间
referenced	参考
unapprehensive	理解力差的
cisc	complex
form	形成
demoded	不合时宜的
posttranslational	转译后
propagable	可传播的
unhip	非赶时髦派
underprivilege	生活d/
angora	安哥拉山羊
sternutative	喷嚏
areaway	下室前的空
disrespectable	不值得尊重的
impecuniosity	贫穷
prehistorian	史前学家
autopia	汽车专用区
hertha	赫莎
reinflame	再次激起
mirror	真实反映情况的东西
cutworm	毛虫
teletranscription	电视屏幕录像片
jadishly	下贱
varied	杂色
spindle	锭子似
autoindex	自动索引
primigenial	原始型的
hematogenesis	生血
neurotransmitter	神经传递素
biferous	一年开花或结实两次的
lazyish	懒洋洋
aquaria	aquarium的复数
acetaldehyde	乙醛
sunburnt	sunburn过去式及过去分词
homosex	=homosexuality
sulfuretted	含硫磺
pumice	浮石
salmagundi	大杂烩
lingerie	妇女贴身内衣
glandulose	有腺
biotical	生物的
vapidly	没有生气地
hurl	推翻
wold	荒野
lapdog	供玩赏用的小狗
unco	陌生的
stownlins	秘密
fashioner	裁缝
snoopy	爱窥探的
bygone	过去
avianize	使禽化
aob	其他事
subcompact	微型小客车
superb	庄重
restriction	约束
apochromat	高度消色透镜
quad	空铅
shimmer	微光
toplofty	瞧不起人
multinomial	多项式
bavarian	巴伐利亚人的
fan	爱好者
jade	翡翠
considering	顾及
adagietto	更缓慢
tasian	塔萨文化的
boo	作嘘声
abaya	=aba
physical	体格检查
protohippus	原马
inaudibility	不可闻
apsidiole	小半圆壁龛
retransfer	重新传送
nephrolith	肾结石
reflexology	反射论
functional	功能
excitedly	兴奋地
pmla	the
booze	豪饮
rheda	四轮旅行马车
retractation	收回
epilator	脱毛者
propel	驱使
gaggle	嘎嘎叫
crosscut	横切
christianism	耶稣教
vigilant	警惕着的
timetable	时间表
flagging	逐渐衰退的
card	纸牌
umbrous	荫处的
ground	搁浅
thermoregulate	调节
grave	坟墓
rogatory	调查的
ilo	International
fortran	公式翻译程序语言
grill	烤架
contour	周线
effortful	显示努力的
withy	柳树
bootlegger	走私贩
slicken	擦亮的
dolly	洋娃娃
aethereally	非人间的
fiche	卡片
backlash	反斜线
fraulein	未婚女人
polysyndeton	连词叠用
filar	丝状
pereopod	=pereiopod
realism	现实主义
disgust	使作呕
coppery	铜制
postmortem	验尸
darling	心爱的人
kickup	社交集会
diadelphous	两体雄蕊
disvalue	反面价值
epileptogenic	由癫痫引起
carlot	达法定最低载重量之货物
prongy	有尖齿的
abound	富于
reckoner	计算手册
suprarenal	肾脏上
apologise	=apologize
toplofty	骄傲
cterm	Terminal
delaney	Delaney
vitaglass	维他玻璃
purificant	净化剂
deduction	减除额
indigence	贫乏
simplehearted	心地纯洁的
weel	=well
walker	参加竞走者
vernal	青春的
facp	Fellow
congregant	召集人
divert	使高兴
hopeful	有希望的
screwdriver	螺丝起子
meum	我
towardly	适宜
punctilio	细节
anlage	原基
lunette	半圆壁
wharf	靠在码头
outachieve	胜过
unhealthy	对健康有害
tipstaves	警察
praedial	土
picomole	皮摩尔
bilboa	=bilbo
plattdeutsch	低地德语
stargazer	占星师
punch	冲孔
mnemonist	研究记忆术者
winterbeaten	被冰寒所伤的
squarish	有点方
discriminatory	有辨识力的
clave	cleave的过去式
presiding	指挥的
elegiac	哀歌
outsourcing	外部采办
hotel	客栈
plss	support
tachometry	转速测定
pathomorphology	病理形态学
misalliance	不适当的结合
sweltering	中暑的
isolable	可隔离的
actinomycin	放射菌素
suave	温和的
configurate	形成
precordial	心前的
wayahead	北京前导软件有限公司
pert	无礼
tankage	桶槽的容量
froufrou	大量的装饰
unformed	未成形的
newmown	刚割的
unsight	未见过
trunk	主干
summing	求和的
horunspatio	spatio
soapsuds	有泡沫的肥皂水
homologous	类似的
cling	附着
ucla	Angeles
unconcernedly	漠不关心地
dictatorially	自大地
spermatogenous	产生精子的
duds	服饰
anglophile	亲英派的人
artillery	炮兵的总称
road	道路
stale	撒尿
floricultural	种花
overperform	超乐谱演奏
companionably	适合做朋友地
heretic	异教徒
pneumatic	气胎
acidhead	瘾君子
theatregoer	经常看戏的人
batracotoxin	蛙毒素
kavadi	赎罪架
meanie	反派
spermatic	生殖
graphomaniac	书写迷者
christology	基督论
calotte	半球状的东西
inclinometer	倾斜计
strikebound	因罢工而歇业
barren	没有结果的
impetus	促进
janfu	大失调
polyanthus	多花
random	任意的
pillaret	小柱
slank	slink的过去式
mossback	野牛
endocranium	颅内骨膜
indwelling	存于内心中的
asymptotic	渐近的
quasimolecule	准分子
archly	狡猾
physiognomonic	=physiognomicnomic
waveoff	禁止着陆
grimness	严格
unbodied	无形
obstinate	倔强
manak	海豹打捞器
frightfully	非常
edict	法令
modify	修改
hydropower	水力发出的电力
harmonically	调和地
mealy	粉状
shortage	缺乏
flexura	折曲
roomette	小房间
reunification	重新团结
crmp	Corps
slime	粘土
electrostriction	电致伸缩的kFLn/
mummy	木乃伊
luxuriancy	多产
cupule	杯状凹
founder	弄跛
horatio	霍雷肖
soupcon	些微
strass	铅质玻璃
wysiwyg	所见即所
unfreedom	无自由
rube	土里土气
lyase	裂合酶
ignitron	引燃管
carefully	谨慎地
trustee	理事
you	你们
cladogram	进化分枝图
baptisia	=wild
essentialist	实在说
rampart	垒
dextrous	巧妙的
antacid	抗酸性
tropicalize	使热带化
tenebrous	黑暗
rainless	少雨
excommunicate	被逐出教会的人
cariostatic	止龋
punition	=punishment
instreaming	内流
hypnotherapy	催眠术疗法
remanent	残余的
frond	叶
thin	薄
sedentary	沉积
launcher	运载火箭
diphtheritic	患白喉
isthmectomy	甲状腺切除术
microquake	微震
corollaceous	花冠
inspirational	有灵感
factorize	第三债务人
pacifistic	和平主义的
paramenstruum	经前及行经初期
charnel	恐怖的
iliac	回肠的
flivver	欺骗
sweetstuff	甜点
syncretic	类并
saudi	沙特阿拉伯人
stagey	=stagy
superficies	面积
captive	俘虏
valued	宝贵的
quintic	方次方程
phagosome	吞噬体
gymkhana	运动会
bla	Liberal
tricentenary	三百周年纪念的
pipy	笛声
cyclical	循环的
spry	敏捷
lowland	苏格兰低
hussy	轻佻或粗野的女子
titaniferous	产钛
dipsey	深海
spore	孢子
mightiness	强大
fly	逃脱
cutinization	角化
kistna	基斯特纳河
outercoat	大衣
deuteronomic	预言性
unlove	不再爱
lhd	Humaniorum
performance	履行
baluchi	俾路支人
zoogony	胎生
germanization	德国化
exuberant	非凡
temblor	地震
nondurable	非耐久品
teabowl	茶碗
jewelly	光彩夺目的
favourite	中意的
ordzhonikidze	奥尔忠尼启则(苏联高加索城市弗拉基高加索
monamine	一元胺
mamillate	有乳头状突出物的
passionless	没热情的
sabbatize	过安息日
human	人性
smacker	发声的接吻
drouth	久旱
interfix	中间定位
bogus	伪造的
singly	直截了当地
destruct	破坏的
nicety	纤细
simplehearted	纯朴真诚的
pony	小型
drumbeater	对某种政策、主张大事宣传者
eel	鳗鲡
cataphyll	叶芽
terraneous	陆生的
flitty	同性恋
syrupy	糖浆似的
commemorable	值得纪念的
sunghua	Songhua
soberminded	自我节制
smacking	精力充沛
hyperpyrexial	高烧
prior	在前
iadl	Democratic
mercurian	水星
conj	连词
dour	不爱讲话
mankind	人类
afterheat	核子反应炉所产生的残热
verecund	害羞
homothallic	同宗配合的
helaine	赫莱茵
erasmian	伊拉斯谟的
sympatric	分布区重叠
finitist	有极限论
norwegian	挪威语
housewifery	家政
eloquently	善辩地
primary	主要的
copperknob	=coppernob
shoreline	海岸线
generic	属
lacunal	有孔
vagabondage	流浪
matrah	马特拉
pit	使竞争
hominoid	人
mailer	信封
saphenous	隐
bouffe	喜剧性
absorb	吸引
ancient	旧的
iatrology	治疗学
absorbingly	非常有趣
incubative	潜伏
kindle	引起
disclaim	弃权
statuesque	均衡
paye	开车入内付费
handicap	障碍
extremity	极度
spoony	痴情
runtish	发育不良
devonshire	英格兰西南部的州
special	专车
equal	不相上下
rail	横杆
