vacuome	液泡系
misguided	被误导的
nonconform	不遵照准则
talking	表情丰富
screenland	电影界
salmonid	=salmonoid
mesh	陷阱
neuter	无性的
coalbreaker	碎煤夫
odorless	无嗅的
washer	垫圈
trainsick	晕火车的
meridian	子午线
ya	young
query	质问
aphrodisiac	引起性欲的
polycondensation	缩聚
rumble	隆隆声
intercollege	=intercollegiate
superconduct	显示超导
fiery	炯炯有神的
chirpily	活泼地
doited	老糊涂的
flickering	闪烁
holophrase	整句字
gustav	即
bms	Matrix
circularly	圆
gastronomic	烹任学
tremendously	非常
allusion	暗示
unbuttered	没有黄油的
conciliate	赢
hydrokinetics	液体动力学
stotinka	保加利亚的货币名
adolescent	青少年
goosey	愚蠢的
ndis	网络驱动器接口标准
wizzled	皱缩的
overflow	超值
nanocurie	毫微居里
toynbeean	汤因比风格的
camping	野营
lord	使成贵族
gag	使呕吐
iranair	National
pseudotuberculosis	假结核病
flange	给……装凸缘
enthrallment	沉迷
usac	Club
c	kEJ/care
pitsaw	大锯
flakey	疯疯癫癫的
siesta	午休
cruel	使痛苦的
wineglass	玻璃酒杯
courtling	小朝臣
compotator	会饮者
inlook	内心省察
excuse	免去
commination	威吓
flycatcher	捕蝇器
burghley	伯利
northabout	向北
farinose	粉末状
upborne	被支撑着的
urethroscope	尿道镜
xylocaine	赛罗卡因
hemimetabolic	半变态
deaerate	使除去空气
bruiser	职业拳击家
staphylococcus	葡萄状球菌
fashionmonger	创流行的人
insufflator	指纹印显示器
either	pro
afc	自动频率控制
tosspot	醉汉
excitron	汞气整流管
honied	多蜜
remythologize	以新神话解释
windblown	被风吹
majoritarian	多数主义者
jackpot	累积赌注
overturn	翻转
consentient	同意
friability	脆弱
chingkang	Mountains
enargite	硫砷钢矿
faulty	有过失的
emmarble	刻成大理石像
rente	年金
accrual	获利
copula	系动词连系
seedsman	卖种子的店铺
connecter	连结物
dart	镖
fantod	惊恐
insatiable	不知足的
daintily	讲究
postmitotic	有丝分裂期后的
wanta	to
gigmanity	市侩阶层
autism	孤独症
jadish	毫无价值
fervently	热心
slam	砰地关上
wastebin	废物桶
undercharge	未给……装足够的火药
pure	纯洁
neoprene	氯丁橡胶
linen	亚麻制品
ungual	有爪的
phylloid	叶状的
ungalled	未擦痛
urolith	calculus
diaspora	离散的犹太人
gayety	愉快
breathlessly	气喘
lavation	洗涤
quintic	五次量
involvement	连累
stiffly	僵硬
dissonate	刺耳
caac	中国民航
bough	主枝
pe	体能训练
troposcatter	=tropospheric
maxilla	上颔骨
rough	粗暴的
soporose	催眠的
whiff	一点点
vrml	Virtual
genitals	生殖器
jurisprudence	法学
maneating	凶悍
swang	swing的过去式
masterless	无主人控制的
refold	再摺起
flange	边缘
slashing	乱砍的
dislikeful	讨厌
gneissic	像片麻岩的
stepney	备用轮胎
junkyard	分类、出售处
relate	使联系
acadian	阿卡迪亚人
clientage	委托关系
muckworm	粪蛆
bitterly	悲痛的
kaddish	祈祷
idiochromatic	自色的
aeromancy	气候占卜学
cormel	新生小球茎
manufactory	制造厂
colligable	可连结成类连结
rylean	赖尔理论
yokemate	伙伴
transom	横梁
formulize	公式化
aposematic	警戒色
antecedence	先行
cyclone	气旋
gentleness	柔和
metopon	麦托朋
choriambi'	NULL)
boracic	含硼
baiza	派沙
antiimperialism	反对帝国主义
dominion	支配
jagged	锯齿状
unsoldierly	非军人的
unflawed	无缺点
unbelief	疑惑
hopscotch	"跳房子"游戏
sided	有面的
vibrissa	鼻毛
basicity	碱性度
hyperirritable	应激性过度的
fadge	成功
strange	奇怪的
rafferty	无组织
new	初见的
icaaaa	Amateur
epithalamium	颂歌
qnp	knight''s
acetaldehydase	乙醛酶
amaranthine	紫红的
benthamic	功利主义
tetrachloroethane	:rEJ`eWIli:
maximus	敲奏编钟的一种技巧
disorder	使紊乱
through	从开始到结束
supernormal	异于寻常的
madcap	轻率的
trifle	开玩笑
ceramal	合金陶瓷
fantastically	捕风捉影地
bms	Screen
visibility	显著
possessed	着魔
apa	Agency
bale	包装
ametabolic	不变形
plane	平
sedately	镇静地
intercalary	被夹于中间的
wilding	野生的
quandong	檀香科树木
gutter	水槽
repulsion	推斥
misconduct	处理不当
emend	修订
spacefarer	航天员
touch	感动
veritably	真正
steep	峭壁
sabotage	破坏
respect	注意
ispy	一种捉迷藏游戏
lubricious	淫荡的
mutability	性情不定
scenography	配景图法
cooperativity	协同
knitwear	编结的衣物
gemini	双子宫
escarpment	断崖
turbulence	骚乱
confect	调制
roue	放荡者
nurser	培育者
nestlike	巢状的
pamphrey	洋白菜
commensal	共食伙伴
craterlet	小坑洞
froth	使生泡沫
cres	防锈钢
codeine	可待因
assafetida	=asafoetida
dumpling	团子
slough	使陷入泥沼
etymologic	语源
recallable	可回忆
penial	阴茎
exhalable	可吐出的
lysergide	acid
recalcitrance	顽抗
ppt	thousand
cordial	兴奋的
pattern	以图案装饰
pastorium	牧师宅邸
incapacious	狭小的
moppy	拖把似
soap	Object
cerebrotonic	孤僻气质的
exemplify	作为……例子
quinquereme	五段帆船
prominently	显著地
cabana	小屋
theanthropic	把神性表现于人身
dm	Medicine
preimplantation	胚胎植入前的
bait	把饵装上
scar	使留下伤痕
righten	使恢复正常
bigamist	重婚者
unexpiated	未抵偿的
isp	Internet
superradiant	超辐射的
outrode	outride的过去式
gyroidal	螺旋形
cathartic	导泻的
turgor	细胞的膨胀
unspotted	清白
spruce	云杉
antiradical	反激进主义的
pyrolyze	使热解
associate	同事
edgily	尖利
sarcastic	讽刺
biased	有偏
garbageology	垃圾社会学
traitorously	不忠
queendom	女王国
stipple	画点画
cordial	诚恳
photoelectric	光电的
tousle	糟乱
tessera	镶嵌物
portress	女门房
geminal	偕的
quemoy	金门
specific	细节
algerian	阿尔及利亚
mccarthyite	麦卡锡的追随者
niffy	散发恶臭的
sched	时间
staminiferous	具雄蕊的
fugue	记忆丧失症
stadia	stadium的复数
noisy	吵杂的
divine	非常可爱的
curvilinear	由曲线而成的
unplucked	未扯掉的
scv	Confederate
fuller	漂洗工
trustfully	信任
microvessel	微脉管
calcareousness	石灰
scrumptious	极好
bucko	欺凌弱小者
handworked	手工的
endwise	向前的
fast	彻底
computative	推算的
polygonal	多边形
voodooist	魔术师
reason	理由
farmerly	像农人般
starchy	拘泥的
liberation	释放
objectivity	客观性
burnish	磨光
pohai	Sea
anil	木蓝属植物
oligochrome	只用少数颜色的
typhomania	热病谵妄
fairly	清楚地
mannerly	有礼貌
unaware	不知道的
indic	印度
umpire	作裁判
anemic	患贫血症
duodenary	十二的
eudaemonic	幸福学的
irreplaceable	不能代替
unselfish	慷慨的
tankie	=tanky
animality	动物性
cover	包含
biparietal	二顶的
horological	钟表的
messroom	食堂
slade	Workers平版及套色印刷工人工会
volcaniclastic	火山碎屑
radwaste	放射性废物
disconcertedly	不安地
curse	咒骂
quartziferous	石英质
kinsey	Alfred
oddity	奇异
procacious	勇敢的
clannishly	团结
purgation	洗罪
rowlock	桨架
lomentaceous	具节荚
gammy	跛行的
grana	granum的复数
wrcb	War
conchology	贝壳学
unci	的复数形式
pogonia	朱兰花
rightly	正当地
exalted	兴奋的
munition	供给军需品
ossiferous	含骨化石
hopper	单足跳者
queenly	女王
arrhythmically	没有节奏
southdown	无角短毛羊
inexcusably	无法原谅地
economic	产供销
muttonhead	傻瓜
hrip	在此安息
attention	注意力
inobtrusive	不冒失
valetudinary	=valetudinarian
syren	妖女
draughty	有隙缝风吹入的
theologian	空头理论家
rumble	低沉地说
plonko	饮酒过度的人
dhofar	佐法尔
heliochromy	天然色照相术
wintertide	冬
savvy	头脑
abstention	节制
undress	使脱衣服
gyrose	波状
defer	听从
unicef	联合国儿童基金会
mrbm	中程弹道导弹
balzacian	巴尔扎克学者
executorship	遗嘱执行人的职责
breakwater	挡浪板
stumble	绊倒
aeronaval	海空联合
lode	矿脉
pattern	样品
uba	缅甸联邦航空公司
fiducial	根据信仰的
medially	中间地
hippomanic	有爱马癖
charming	娇媚
reversal	颠倒
invaluable	价值无法衡量
villeinage	隶农身份
epiphanic	使人顿悟
bent	爱好
somatotonic	体力旺盛性格的
flee	逃跑
wild	狂热
faultfinding	喜欢挑剔的
mowburnt	因堆积发热而霉烂的
hempie	似麻
warring	交战
politic	策略性的
hornless	无角
chlorinate	用氯消毒
bogus	假的
agriculturist	农场经营者
reform	重新组成
ineffectually	无效
hindrance	障碍
staff	五线谱
pleasurable	愉快的
shortfall	不足
chansonette	小调
mean	吝啬
comer	新来者
vestryman	教区委员
lard	猪油
palliard	无赖流浪汉
danewort	矮接骨木
posy	花束
pyrolatry	拜火教
pop	突然行动
plane	刨
chill	寒冷的
tenancy	租佃
mould	用土覆盖
luster	使有光泽
polymeric	聚合体
strictly	确实
flop	笨重地摔
streptokinase	链激酶
hazing	被欺侮
abuilding	在建造中
probate	检验遗嘱
putschist	暴动者
finale	终了
peccary	野猪类
buret	滴定管
infinitesimal	极小的
cobblestone	圆石
marshy	沼泽般的
induration	硬化
neutral	中立的
calendry	轧光车间
nonfreezing	不会结冻
victorious	获胜
phosphorescent	磷光性
sigmatropic	σ移位
odontalgic	患牙痛
ethnics	人种学
tension	张力
simious	猴
decade	十年
leiden	莱顿
bulkily	庞大
bouquetin	羱羊
delay	耽搁
aver	断言
meltability	可熔性
optically	眼睛
depressing	沉闷的
stealthy	掩人耳目
heterocyclic	杂环的
cellule	小细胞
geminiflorous	二花合生的
desire	希望
reinstall	重新设置
hoagie	=hero
sandy	含沙的
embedded	植入
farming	畜牧
halophilous	喜欢盐的
deuteranomalous	绿色弱
rehabilitative	复职的
ectoparasite	外寄生虫
incompetent	无能力者
senhora	夫人
quacksalver	庸医
aerolite	陨石
feldspathic	象长石
ecliptic	蚀
lappet	垂片
swat	Armored
zee	Z字母
alit	aligh
monotrichic	单鞭毛的
becloud	蒙蔽
dekameter	=decameter
quatorzain	十四行诗
oat	燕麦
chirk	有精神
northing	北距
multicoloured	五彩缤纷的
reschedule	重新计划
paragenesia	共生
hydrologist	水文学者
bareboat	空船
oviparity	卵生
exclusivist	排外主义者
sealift	海上补给
linsang	麝香猫
policier	侦察影片
ideogram	表意文字
blueness	蓝色
continuous	连续
primrose	樱草的
zolaesque	左拉的
discreditable	丢脸
hexabasic	六盐基
jazzily	愉快
semioval	半椭圆形的
metallurgic	冶金学
disassembly	拆卸
meaningful	意味深长
scarce	稀有
raptorial	捕食生物
lipophilic	亲脂性
rld	dealer零售酒商
purulence	化脓
barbule	鸟的小羽枝
mordacious	刻薄的
misinput	输入遗漏
gunslinging	带枪
seditionary	骚乱煽动的
agonistic	动机争胜性的
advocacy	辩护术
pyrola	鹿蹄草
musingly	冥想地
adagietto	更缓慢的
congruous	一致的
explicatory	解说的
interscholastic	学校间的
sempstress	女裁缝
suberect	几乎直立的
ptolemaic	托勒密
foresaddle	前脊肉
photolithoprint	=photolithograph
grafter	贪污者
subtropical	亚热带的
akin	同族的
lovesick	害相思病的
ranchero	大农场经营者
escap	Economic
bluntness	率直
grandmotherly	祖母的
dependance	=dependence
home	产地
kmt	Kuo
difference	差别
xanthin	茜草黄质
navigate	航行
kandy	康提
eerie	不安的
hades	地狱
fairway	水上飞机升降用的水面跑道
colligation	结束
distant	远
wagonlit	欧洲大陆的铁路卧车
imagine	想象
thermophil	适温的
fortifiable	宜于设防的
striptease	脱衣舞
courtyard	庭院
ryot	印度农夫
farfamed	驰名的
unreaped	未收割的
kevlar	凯夫拉尔
suzerain	封建主
labyrinthine	迷宫
sjd	Juridicae
mechanistic	机械论的
christian	信基督教
afterlight	晚霞
rehearsal	排演
traducianist	灵魂遗传论者
hamburger	牛肉饼
landworker	农业工人
laggardly	缓慢
corrody	=corody
semipalmated	具半蹼的
question	疑问
hydration	水合作用
acceptable	合意
foolish	笨的
faery	仙子
flustration	激动
plangorous	悲哀
coastward	朝着海岸
overpraise	过度称赞
mould	霉
dishevel	使衣服弄皱
pivot	在枢轴上转动
hydratable	能水合
coincidental	符合的
rallymaster	公路汽车赛主持人
mayotte	马约特岛
scalariform	阶纹的
cytotropic	亲细胞的
killing	致死的
elysium	极乐世界
hyacinthine	紫青色
childproof	不会被孩童弄坏
townlet	小镇
diffusedness	普及
npa	Newspaper
rescue	援救
melon	瓜
meridian	顶点的
barbital	巴比妥
abettor	教唆犯
airiness	通风
pdsa	Animals
trimeter	三音步
pupa	蛹
kodak	美国柯达公司
ioof	Odd
antipathetic	讨厌的
anaphrodisiac	制欲
rancour	敌意
putty	油灰
nephanalysis	云层分析
thunder	雷鸣
drownproofing	防溺法
barococo	过分纤巧
ominous	不吉利的
impish	似顽童
strut	支撑
underline	在……下面划线
unstrained	不勉强
deambulatory	走动
mitten	拳击手套
hohum	令人生厌的
chilblain	冻疮
firmly	坚定地
affinal	姻亲
uncontainable	难以克制
vapor	无实质之物
sneezy	打喷嚏
si	硅
broadside	侧面
affidavit	宣誓书
encomiastic	阿谀的
earwitness	以耳闻情况作证的人
inoxidizable	不能氧化
par	票面价值
mean	中间
finnicking	吹毛求疵的
baffleboard	任何灭音装置
phono	留声机
legatee	遗产受赠人
recreant	怯懦的
flakey	古怪
diamagnetic	反磁性
uncoffin	把……从棺材中移出
uml	Unified
kicker	抱怨者
lipless	无嘴的
trisomic	一套半染色体
amniography	羊水造影术
chinar	悬铃木
helvetian	赫尔维蒂
carmelite	派的托钵僧
caveator	申请中止诉讼手续者
inquiring	打听的
curragh	小型手推货车的一种
lactoscope	乳酪计
aggressive	敢作敢为的
innocuously	无害
betcher	=bet
one	某一
guesstimate	依推测的估计
stupefy	麻木
bim	of
winglike	翼状
green	无经验
ldc	不发达国家
thornbush	多刺疏林
impeller	叶轮
ascus	子囊
prolixly	冗长地
aciculate	粗面的
gaffer	乡下老头
granulocytopoiesis	粒细胞生成
bumptious	盲目自大
dyschronous	时间不一致的
mounted	裱好
touch	触摸
hydric	氢气
confidently	信赖
dimensional	空间的
medullated	有髓的
letterspacing	字间隔空
grette	烟卷
yokohama	横滨
debris	碎片
colorful	有趣的
strict	精确
unforced	不勉强的
latex	乳胶
indian	印度
hermitage	偏僻的寺院
competency	作证能力
pelt	疾行
filibuster	暴兵
endogenic	内生
macle	斑点
sufficient	充分的
bush	衬套
tearing	撕开
sad	忧愁的
moreton	fig大叶榕
fiddler	小提琴家
quarterfinalist	四分之一决赛选手
semiclosure	部分关闭
conjugal	结婚的
sunbath	太阳灯浴
galla	盖拉族人
baaskaap	白人优越
arjuna	阿朱那(印度古代梵文史诗
infallibilism	教皇绝无谬误主义
uranography	天体学
backless	无背
spinachy	具菠菜特点的
standard	标准的
paediatric	儿科
pseudocode'	NULL)
sound	有效彻底的
rvsvp	vous
epicondylian	上髁的
anthelmintic	驱虫的
heterokaryotic	异核体的
ripsnorting	大不了
score	得分
spongious	海绵般多孔
unambiguous	明确的
vulgarize	使通俗化
painful	使痛苦的
pallet	棘爪
cannon	大炮
scurril	恶语毁谤
sri	Romanum
omnivorously	随手地
gst	Greenwich
carbonari	烧炭党人
guile	诡计
reindoctrination	向……再灌输
kookaburra	笑翠鸟
bonsai	盆景
tetradynamous	四强雄蕊的
iconograph	插图
lingy	遍生石南
status	情形
kindjal	高加索双刃刀
understandable	可以理解
physicist	物理学者
rebuttable	可反驳
fayum	=Faiyum
prorogate	=prorogue
anamorphosis	畸形
vein	心绪
sibilant	咝咝作声的
dreamland	梦乡
lithesome	轻快的
planter	殖民者
ticket	入场券
lindesnes	林德斯内斯角
whisk	搅拌器
folklorish	带民间传说的
keratoid	角质
smart	剧烈
indefinably	无法下定义
accumulation	堆积物
affrontedness	被侮辱
indivisibility	不可分割
offset	抵销
liquor	酒精饮料
retranslate	重译
wolflike	狼一般
amain	全力
apropos	恰好的
inaugural	就职
ps	/
kinaesthetic	运动感觉
impassably	无法通行地
pack	一副
propagandistic	宣传
macrocephali	macrocephalus的复数
nicety	美好
clothes	衣服
abalienate	让渡
urbanization	文雅化
browningesque	勃朗宁风格的
extemporise	=extemporize
slipsheet	插页
coloration	染色
espieglerie	戏谑
effrontery	厚颜无耻
billionth	第十亿
peaceably	温和
phillip	即Philip
nous	常识
basis	主要成分基本原则或原理
modernity	现代性
pedestrian	徒步的
epicanthic	内眦皮
skookum	强壮的
defilement	污辱
bottine	女靴
certificate	以证书形式授权给……
galpon	给农业工人使用的房子
cannibal	食人者
hyperphagic	食欲过盛的
collaborative	协力完成的
igmp	Management
misestimate	错估
polyonymous	多名
fancy	奇特的
sabian	塞比教徒
stabbing	刺穿
roxburgh	罗克斯巴勒郡
monestrous	=monoestrous
reinsman	骑师
aborative	仔细的
scrapground	=scrapyard
sprinter	赛跑选手
untaa	Administration
thriftily	繁荣的
prefatorial	=prefatory
bands	牧师或博士服之领饰
wonder	非凡的
scent	闻出
ultrastable	超稳定的
japanophobia	憎恶日本
nymph	美丽的少女
nonrecurrent	不反复出现
skillful	灵巧的
semicolony	半殖民
spurn	弃绝
monobloc	整体
illfare	困苦
crossly	相反
ligamentous	韧带的
imparticipable	不可分享
scrophulariaceous	玄参科的
richly	丰富
subtotal	几乎全部的
syren	诱惑者
working	劳动的
untense	放松
corpulent	肥胖的
dunce	傻瓜
latticed	装有格子
homeric	荷马的
bathypelagic	居于深海区的
phenology	生物气候学
guesstimate	瞎猜
cogent	恰到好处
amylogen	淀粉溶质
foxed	变色的
fill	饱
arteriolar	小动脉
repulsive	严拒的
ostrich	鸵鸟般的人
axial	轴向的
weave	组合
symbiotic	共生
tintinnabular	铃声
syzygy	朔望
satiety	过饱
marl	泥灰土
carnally	世俗
diploma	证明权力、特权、荣誉等的证书
livid	铅色的
sententious	很多说教式
ridiculously	可笑地
flinty	冷酷的
puree	面包的一种
blamelessly	无可责难地
patina	铜绿
eutrophication	超营养作用
bondslave	农奴
mouldwarp	欧洲鼹鼠
decubitus	褥疮
gardner	加德纳
scanty	稀疏
gearshift	变速排档
factor	因数
refluent	退潮的
tansy	艾菊
whorish	妓女
insurrectionist	起义者
mould	发霉
do	解答
underplay	使没有充分发挥作用
pageantry	华丽
stuffy	乏味的
troat	叫春
bornite	斑铜矿
inhomogenous	异成分
panglossian	认为一切都趋于至善的
sheshbesh	子游戏
seigniorial	领主的
dysmenorrhea	月经困难
dominical	主日的
wurley	土著棚屋
garnierite	硅镁镍矿
appurtenance	附属物
campcraft	露营术
tilbury	二轮轻便马车
macromolecule	巨大分子
semimoist	微潮
nighted	入夜的
downward	向下
hyoid	舌骨的
irradicable	根深蒂固的
cometary	彗星的
wide	广阔的
perform	履行
punctulate	有细孔
diminution	减低
immerge	埋头
bilge	舱底
grizzly	呈灰色
uncreated	尚未产生
austenite	体
dexiotropic	右旋
tetrandrious	具四雄蕊
sango	桑戈语
form	形式
gynoecium	雌蕊群
pintoresque	似画的
culpably	可恶地
atremble	颤抖
mulligan	蔬菜烩肉
embody	包含
unclassified	无类别的
qp	queen''s
clementine	克莱门氏小柑橘
reseat	使复位
adultly	少年老成者
unforced	自然
uvulotomy	悬雍垂切除术
tapsalteerie	=topsyturvy
drumbeating	宣传
mean	普通的
quadricentennial	400周年纪念
proportional	均衡
fimbria	伞
rollpast	重兵器行进
provisionally	暂时
defrayal	支付
retake	取回
bodacious	胆大包天
down	在下面
engage	使从事于
johnsonian	约翰逊的
opalesque	发乳白光
ptolemaism	托勒密体系原理
aftermath	结果
overclaim	过分的要求
frye	boot弗赖伊皮靴
alalia	言语不清
interception	拦截
trashy	没有用
poker	烙制
dictatorially	自大
restoration	修复物
frcp	Fellow
fluster	激动
akyab	阿恰布
decennium	十年
bedim	模糊
proscription	禁止
skegger	幼鲑
cogwheel	木齿铁轮
paleocene	古新统
reapparition	再出现
inbreaking	侵入的
spherosome	圆球体
breakaway	脱逃
gelong	西藏僧人
meliorative	改良性
frittata	菜肉馅煎蛋饼
regress	归复权
puglia	普利亚区(即阿普利亚区
vagile	漫游
moral	精神的
bully	欺凌弱小者
spiccato	断续
tenebrosity	暗
jingly	叮玲响
ursuline	乌尔苏拉会的修女
indigested	未消化
intercoastal	两岸间
hydropathic	水疗法
tribrach	三臂动物
turfite	赛马迷
asterism	三星符号
instrumentalism	工具謘t/
survey	勘定
unerring	正确
limbers	通水孔
rabid	激烈的
pruning	修枝
angelophany	天使显现
muntz	蒙知黄铜
boathook	一端有铁钩的撑篙
joss	神像
caulomic	茎的结构的
sharif	=sherif
stringboard	楼梯斜梁侧板
shunless	不可避免的
body	身体
necrotic	坏死的
sombre	昏暗
scabbed	生疥癣
josh	说笑
undistorted	不偏激
resipiscence	认错
heterospory	孢子异型
ialc	and
isodiaphere	同差素
gelding	去势
heretofore	迄今
barrow	手推车
beetleheaded	笨
labyrinth	迷路
apple	似苹果的果实
casein	酪蛋白
niflheimr	=Niflheim
pride	使自豪
daylong	终日
athenai	=Athens
refrangibility	折射度
mention	论及
benet	诱入陷阱
notion	观念
posteen	阿富汗羊皮大衣
hazard	冒险的事
viridescent	淡绿色
fasciculi	纤维束
austerity	朴素
monarchic	君主政体
incomprehensibility	费解
eristic	争论家
turnverein	体育协会
homebred	土产
tassie	=Tasmania
discretional	任意
financial	财政
intersymbol	符号间
membership	成员资格
apulia	阿普利亚区(即普利亚区
wilhelm	威廉
atherogenesis	动脉粥样化形成
frse	of
organic	建制
unpresentable	拿不出去
nighted	黑暗像夜
baccate	浆果状
abranchial	无鳃的
trephine	用环锯行手术
zuidholland	Holland
windup	装有发条
spirituel	愉快
boeotian	愚笨
arenaceous	沙的
poppied	多罂粟的
ratfink	卑鄙的人
tudor	都铎王朝的
medium	中等
probate	遗嘱
acupuncture	施行针刺疗法
tubful	一桶
hippic	马的
unprinted	未经印刷的
allpowerful	全能
proceeding	行动
prayerless	不祈祷的
harmlessly	无恶意地
protogenic	原生
nasty	凶相
originative	有发明之才能的
triform	以三种形式存在的
spacing	间距
literalist	拘泥字义者
bally	非常
clypeiform	有唇基的
nailless	不用钉的
purply	略成紫色
polymastia	多乳房畸形
subrogation	更替
buddybuddy	非常友好的
intruder	入侵者
gioconda	迷一般的
testaceous	贝壳质的
loris	尤指懒猴
southing	南行航程
dichogamous	雌雄异熟
uscg	Guard
dampness	湿气
irruption	急速增加
biannulate	具两个色环的
bimillennial	两千年的
unsympathizing	不表示同情
trichomonal	毛滴虫的
adios	再见
encapsulate	形成胶囊
pugnacious	好斗的
unexploded	装着炸药
helicopter	直升机
beggary	赤贫
subcylindrical	近圆柱形
looie	中尉
biotic	关于生命
inceptive	起初
cell	蜂房
whisker	胡须
subprior	修道院副院长
concentrative	集中性
overhaste	过于急速
deceased	已故的
emprise	行动
victualing	装贮粮食
amate	使挫折
nork	奶子
jambe	侧柱
leiomyoma	平滑肌瘤
hairclip	发夹
untaa	Nations
monoblastic	单核细胞性的
mixture	混合
coagulative	凝固物的
dinothere	恐兽
anodontia	先天性无齿症
sabbatarian	守安息日
provisionally	暂时地
thankless	不讨好
creeping	爬行的
sprue	熔渣
nrotc	Corps
frenzied	狂热
swimming	会游泳的
retinued	在随员簇拥下的
preggers	怀胎的
contumely	傲慢
characterful	有特殊风格的
subliterate	略具阅读写作能力
healable	可治好
inchling	小生物
volution	涡旋
townee	本市人
ventriloquy	腹语术
electrothermics	电热学
oppidan	城里的
nonbank	不由银行办理的
matripotestal	母权的
grill	铁格子
stagflation	不景气状况下之物价上涨
rectificative	纠正
skunk	讨厌鬼
bender	弯腰者
disclimax	人为顶级群落
saransk	萨兰斯克
europocentric	欧洲中心论
livable	适于居住
propoxyphene	丙氧芬
undignified	有损尊严的
pragmatize	合理地解释
croatan	克洛坦族
conquer	战胜
velaria	遮阳帐篷
unprevailing	徒劳
granophyre	花斑岩
zayin	希伯来文第七个字母
strutbeam	支梁
ne	氖
tackle	解决
fervently	热诚
anytime	任何时候
node	节点
unspent	未耗尽的
whereof	以什么的
scanty	不足的
unmixed	未混杂他物
tammy	一种便帽
environs	郊外
perennial	多年生
corrupt	贪污
aps	Physical
redivious	再现的
hbms	Majesty''s
unnoteworthy	普通的
shakily	不坚定地
mid	中央
geographic	理学
dray	用马车运载
metrificate	=metricate
extortionate	昂贵的
