francophil	亲法
guest	寄宿
habile	灵巧的
keeping	看守
cheerly	兴高采烈地
limit	限度
berkeleyan	=Berkeleian
peck	吹毛求疵
northwesternmost	极西北的
unstained	无污垢
premundane	创世前
rickety	摇摆的
leukotomy	前额脑叶切除手术
insincere	虚假
campbellism	基督门徒会之教理
gallopade	舞蹈之一种
supernaculum	直到一滴不剩
dusk	薄暮
inedited	未经编辑的
gassy	夸夸其谈的
parader	游行者
meridian	全盛时期
corticated	有外皮的
sunken	沉没
aldose	醛醣
sincipital	前顶
metamorphism	变形
assaultive	喜好攻击的
dinky	整洁
apostate	变节的
serigraph	用丝网印制的彩色画
guiro	锯琴
consanguineous	血缘的
technological	科技的
sniffish	轻蔑的
supercritical	超临界
preteen	13岁以下的
magnify	放大
omnivore	不偏食的人
misdirect	写错地址
abracadabra	胡言乱语
sunburst	镶有钻石的旭日形首饰
secretary	书记
washdown	彻底冲洗
isophone	同音线
adolescent	青春
subjectless	无题
epistemic	认识的
truehearted	真挚的
null	等于零
salivant	催涎的
persia	波斯
overhasty	过于匆忙的
minimill	小钢铁厂
attitudinarian	/
chibcha	奇布查人
consequent	作为结果
arbitral	仲裁的
rightfully	正当
spontaneously	本能
emulant	竞争者
lushly	繁荣地
hydropress	=hydraulic
velsen	费尔森
touch	轻触
westward	向西旅行
fremd	外国的
degustate	品尝
interstage	级际的
heartstring	心弦
mugearite	橄榄粗安岩
lardoon	肥腊肉片
ionic	离子
inversive	反逆
understand	懂
gambusia	食蚊鱼
jog	轻撞
ambiguously	含糊不清
commove	使激烈摇动
strobic	旋转
aclinic	无倾角
celibate	独身主义者
rooted	根深蒂固
faulty	有缺点的
cucurbitaceous	葫芦科
eggheaded	书生气十足
multifactor	多因子的
spa	温泉区
tonsillotomy	扁桃体切开术
flinch	畏缩
mysticlsm	神秘主义
afoot	徒步的
comedy	喜剧
ferrimagnetism	铁氧体磁性
triumphal	胜利的
unmoral	无辨别是非能力
cazique	酋长
exoteric	外面的
brachypterous	短翅
oblomovism	懒散
tribal	部落的
lame	跛足
crunchiness	嘎吱嘎吱声
corynebacterium	棒状杆菌
absentee	缺席者
feather	射掉的羽毛
crown	表彰
telekineticist	心灵遥感者
eulogist	赞颂者
ncsa	Applications
hominine	有人类特征
tuneable	谱好曲的
pallidly	无光泽
left	左边的
argentate	银色
perfectionism	至善论
keratometry	角膜散光计
prc	People''s
cotquean	凶悍的女人
condonable	赎罪的
detent	棘爪
shade	帘
bacula	baculum的复数
codling	未熟的小苹果
leftist	左派
tinnily	光亮而不值钱地
syngen	群体
microprogrammed	微程序控制
unbacked	无人押注
diametical	直径
boilerplate	样板文件
logistics	后勤学
fuck	性交对象
basaltic	玄武岩
indomitably	不能征服地
turkmenian	土库曼语的
poker	拨火棍
nodosity	有结节
ferrotitanium	铁钛
bertrand	伯特兰
objurgatory	叱责
selectivity	选择性
dithery	犹豫不决的
unreasonable	不讲道理的
ancon	悬臂拖梁
arrowwood	箭木
diadromous	有扇状叶脉的
trichroic	三色的
goodly	优美的
unformulated	未系统地阐述
unisonous	同度的
briskness	活泼
debrecen	德布勒森
fitfully	发作
pawk	诈术
noncompliance	不服从
stanch	坚强的
boracic	硼的
consortia	公会
suety	板油一样的
endogenetic	内成
gratulation	满足
caller	召集员
enemy	敌人
amyotrophia	肌萎缩
dimensional	空间
usts	Service
jewelweed	凤仙花科凤仙花属植物
bracteal	似苞的
sericulture	养蚕
rhapsodical	狂想的
planiform	扁平形的
libia	=Libya
nudity	裸体
left	左
annal	记录
beadswoman	救济院受施之女人
salyrgan	撒利汞
monomark	拼合记号
sunscreen	遮光剂
inexplorable	无法探险
fluidify	液化
supersex	超性
linter	棉短线
archiepiscopal	大主教的
panmunjom	板门店
trddition	惯例
sociologese	社会学特有用语
crass	粗鲁的
edge	使锋利
isolable	可隔离
accessory	零件
deposition	沉积作用
lacunose	多空隙
memsahib	夫人
hydrolyze	水解
bim	Institute
silverware	银器
snatchy	不规则
baae	and
reignite	再点火
glairy	蛋白状
areologic	火星科学研究
apt	切题的
fugate	不严格遵守形式的赋格曲
darter	投掷者
facinorous	极恶
promote	发扬
veterinary	医牲畜的
sinecure	工作清闲而报酬丰厚的职位
nakhodka	临日本海之西伯利亚的不冻港
winnower	扬谷器
stygian	幽暗的
through	直达的
overbuy	买得过多或过贵
intention	目
screwy	怪僻
visitation	正式的视察
agricultural	农业的
sycophantic	阿谀的
mucopurulent	黏液性及脓性的
sinapine	芥子酸胆碱
capitulary	牧师会的
resourceless	无方略
sandspur	=sandbur
barelegged	光着腿
minitank	轻便坦克
refuge	避难所
episcopalian	主教
peek	匆忙看过
stringless	无弦的
vulnerable	易受攻击的
ratomorphic	根据实验鼠的行为来解释人的行为
inconsecutive	不连续
benthograph	海底摄影机
platoon	排
definitize	使确定
intercomparsion	相互比较
autochanger	自动换唱片机
ignescent	敲击而冒火
sarcophagic	食肉
lyophilization	冻干法
nobly	豪爽地
snr	Signal
jawbone	颚骨
promiscuously	混杂地
secam	Avec
lithoprint	用石版印刷
nonlethal	不致命的
rtl	Logic
exterminatory	根绝的
pressingly	恳切
lincomycin	洁霉素
sinoite	氧氮硅石
subaerial	地面上的
languorously	郁闷地
jesse	耶西
swirl	头晕
tannable	可鞣制
wahabi	瓦哈比教派的教徒
immutably	不变
upset	翻倒
seaworthiness	适于航海
cabal	策划阴谋
sewer	缝纫者
gonocyte	卵母细胞
urethritis	尿道炎
wheaten	小麦制成的
osmious	=osmous
hypotonicity	低张性
vituperation	咒骂
chaff	糠
lop	斩
seminary	学校
extrorse	向轴外的
cyrtostyle	柱子呈外突弧状排列
dangerous	危险
unglamorous	无浪漫色彩的
admissible	可容许
swank	优雅
dermoid	皮状
forever	永恒
quadro	方形住宅区
initializing	正在初始化
arid	沉闷
aryan	印欧语系
frons	额
circumscissile	周裂的
fingo	芬果族人
athabascan	=Athapascan
papeete	帕皮提
saigonese	西贡的
optical	光学
people	人们
feticidal	堕胎
bloomers	灯笼裤
adjustor	调节器
airproof	密不透气
semicircular	半圆的
moonshiny	空想
land	到达
crackers	癫狂的
enduringly	永久地
intergrowth	共生
customary	惯例的
scrutable	可以了解的
cosmetician	美容品业者
buzzard	秃鹰类
exocardia	异位心
flimflam	胡言乱语
convey	传达
maltreatment	粗暴对待
appetite	欲望
egyptian	埃及人的
unquestioning	不犹豫
keramic	陶质
monoclonal	单克隆
repentant	悔改
pleasurable	快乐的
hierachical	僧侣统治的
glob	一小滴水珠
communist	共产主义者的
sudoriferous	发汗的
amazedly	吃惊地
network	网络
mitre	主教法冠
radioactivate	使有辐射能
screen	筛子
theban	底比斯人
finical	过分讲究
lodger	投宿者
libya	利比亚
selamlik	室内男子居住部分
mpeg	Experts
raft	制成筏
cozily	安逸
singularly	另人无法理解
spavined	患跗节内肿
japanner	漆工
monochromator	单色光镜
tulwar	弯刀
chromoplast	成色素细胞
sudsy	起着泡沫的
spermous	似精子
pyic	脓
toyohashi	丰桥
whitefish	白色的鱼
detection	发觉
drainage	排水区域
manikin	时装模特
hemophilioid	类似血友病的
sterile	毫无结果
fortuity	意外
stumble	使困惑
nazaritism	修行
hermes	radioactive
esterifiable	酯化
him	他
iliac	回肠
sap	傻子
merchandising	销售规划
dishearten	使……沮丧
instantial	提供实例
financial	财政的
sacsac	萨克萨克椰子
immiserize	vt
quartan	每四天
idyl	牧歌
prelusive	序言
cultivable	可栽培
loggets	掷木游戏
philosophy	达观
crib	关入栅栏
emendatory	修正
blusher	脸红的人
baptise	施行浸礼
ferox	猛鲑
methylmercury	甲基水银
paragraphia	书写倒错
unheroical	给人印象不深的
birthright	生来就有的权利
blast	爆炸
man	Metropolitan
elegist	挽歌作者
cowbird	北美产的燕八哥
seceder	脱离者
braggart	自夸的
firefight	火战
zinky	锌制的
virulency	痛恨
endogamous	同系交配
scutate	有鳞甲
amusingly	有趣地
seromucous	浆液粘液性的
kan	赣江
yangtse	扬子江
lance	矛状器具
dateless	虽旧仍好
dodecaphonic	十二音体系
suffuse	充满
phenomenalistic	现象主义的
newsprint	新闻用纸
sparklingly	闪烁地
quatorze	(两人对玩的皮克牌戏
laryngitist	喉科学家
cornetti	cornetto
fieldwork	野外工作
elves	侏儒
dav	Disabled
chimneynook	近壁炉的地方
cash	兑现
wollastonite	钙硅石
tweedle	鸣叫
hungered	饥饿
baee	of
decury	十人小组
gangetic	沿恒河的
insofar	在……的范围
cryptanalyze	用密码分析法破译
solvent	溶解的
impugnable	可抨击的
sparklet	小火花
emblazon	用纹章装饰
canonic	依教规的
blaw	=blow
publisher	/
lapidarist	玉石雕刻的
salvoconducto	护照
livery	特定服装
anacoluthon	句法前后不一致
hierocracy	僧侣统治
gambol	嬉戏
unhappen	不发生
stammer	口吃
wharfie	码头工人
shorthand	速记
borated	搀硼酸
infirm	不坚固
ohone	=ochone
transuranic	超铀的
noncontact	没有接触的
vitta	头巾
cerebrotonia	精神抑制型
bahai	巴哈教徒
understand	以为
bill	广告
ouster	剥夺
fastener	使系牢之物
uncharming	使人不愉快的
invigorant	滋补品
unscrew	旋开
oxbridge	该校之学生或毕业生
conversion	转化
pyrimethamine	乙嘧啶
holometabolous	全变形的
madly	精神失常
wrapping	包装用的
pasticheur	模仿他人作品者
daze	使茫然
cheery	愉快的
catrigged	独桅艇装有桅艇式之索具的
loose	宽松的
assentient	赞同者
westering	向西
liable	负有责任的
skeleton	基干
rebeldom	叛乱者
mortician	殡仪业者
scatter	撒开
gymnastic	体操
cobaltic	含钴
equilibratory	产生平衡
guidable	可引导
sequestrator	查封人
wastelot	城市荒
slag	起溶渣
england	英格兰和威尔士
psychogeriatric	老年綢`AtrIks/老纳癫〉
causable	会惹起的
minimize	最小化
aquamarine	绿玉
remarry	再婚
wabbly	不稳定
sharpshooter	射击名手
morgen	摩根
ecopornography	别有用心的生态保护宣传
anadenia	腺缺失
convert	皈依者
sarcelle	绿翅鸭
brigandage	土匪
snaillike	蜗牛状
interesting	有趣味的
struggle	努力
malfeasant	不法行为的
chiseled	轮廓分明
uninformative	不增长见闻
pyogenic	化脓的
ruined	荒废
arm	衣袖
unsympathetic	不同情
reembarkation	重登机
incb	Control
turboelectric	涡轮机发电的
dicrotisc	量重搏脉
unpatterned	未形成模式
trichlorophenol	/三氯酚
philhellene	对希腊友善的人
realize	认识到
vestibular	前庭的
issuable	可发行
pageant	虚饰
gppm	Per
decarboxylase	脱羧酶
deific	神圣的
face	面向
batty	古怪的
floating	流动的
advices	情报
sacher	torte
wireworm	线虫
understock	不充分进货而存货不足
pullulation	发展
astrocyte	星形胶质细胞
aquashow	水上技艺表演
plenitudinous	充足的
spellbound	被咒语所镇住
deepfelt	深切的
sperm	鲸油
carton	纸板箱
harbourless	无避难所的
siren	妖妇
helicoid	螺旋面
actinometer	暴光表
rocklet	小岩石
toleware	马口铁制品
vamp	修补
burnable	灼伤
convexity	凸面
ibew	International
conventionalise	kEn`venFEnElIzt/kEn`venFEnElIsz/
tankerman	油船船员
dewy	带露水的
versatile	通用的
rothole	脆弱点
immovable	不改变的
winchman	开关手
kinshasa	金沙萨(旧称利奥波德维尔
pyrocellulose	高氮硝化纤维素
fool	愚弄
cluw	of
abruptly	唐突
reprographic	复印
unvalued	不足道
medlar	欧楂果
bauxite	矾土
articular	关节的
tranship	换车
cegb	Board
sclerosing	硬化性
annexure	附加物
unprecedented	空前
sovran	最高统治者
pontus	本都
rhizocarpous	宿根的
gumshoe	偷偷做的
ceinture	腰带
crocky	体弱
mpls	数学证明学习系统
ectoproct	外肛苔藓虫
personality	人物
homoplastic	同形的
supernutrition	营养过多
potassic	钾
fob	短表链
inseparate	不分开
cca	Common
camphoraceous	樟脑特有
inexpansible	无法扩张的
quadrinomial	四项
vexillum	一军旗下的部队
equiprobability	或然率相同
reflexion	反射
atheistic	无神论者
overshirt	外套式衬衫
allamanda	黄蔓
cloxacillin	氯洒西林
resume	履历
craniognomy	相颅术
tease	揶揄
remit	使复职
neurophysin	后叶激素运载蛋白
aerostatic	航空的
foundry	玻璃厂
mrcp	of
prohormone	激素原
gaslit	以煤气灯照明的
paddlewheeler	用桨轮推进的船
immanent	内在的
lsv	lunar
fibroid	纤维状的
dot	园点
voluble	缠绕
putrescible	易腐烂的
dispersant	分散剂
geotaxis	趋地性
brash	傲慢的
dally	延误
sapient	自以为聪明的
galvanism	流电
stud	饰纽
nonconductor	不传导体
campy	装模作样
burke	避免
flan	坯子
demijohn	坛子
referring	谈及
unscrupulousness	狂妄
oxyhydrogen	氢氧
consolatory	可藉慰的
flatheaded	平顶
vendible	可被普遍接受的
gutty	胆大的
entoptic	眼内
exuberance	健康
command	俯临
sialolith	涎石
undeniable	不可否认的
globalize	使全球化
tannish	淡褐色的
squamate	有鳞
thyself	你自己
spancel	拴畜绳
osteolite	土磷灰石
laureateship	桂冠诗人之称号或任期
nobleman	贵族
intracardiac	心脏内
scalene	不等边
rackabones	瘦马
anabaptist	再洗礼论者
substantialize	实现
diverticulum	憩室
mohist	墨家
koa	洋槐的一种
hyperope	远视者
contemptuous	轻蔑
gloss	曲解
force	施加压力
satiation	饱享
multicellular	多细胞的
chronically	习惯性
eventual	万一的
detension	轻松
loco	发狂
rill	小溪
dicer	小礼帽
pranidhana	愿
astronomically	天文学上
sextette	六重唱曲
glaum	抢夺
remittent	间歇性的
scorer	记录员
hydroplane	水上滑艇
insufferable	难以忍受的
duodenary	十二倍
sniveler	啜泣的人
oncogenous	=oncogenic
coruscant	闪烁的
underemployed	未充分就业的
demoralize	士气受挫
hedger	两方下注者
blunder	失误
rabi	早春作物
bosom	胸怀
humble	挫
pneumogastric	肺和胃的
invert	转化的
reprieve	暂减
influencing	影响的
share	共享
fatigueless	不知疲劳
aliturgical	禁仪日的
crapper	厕所
lovestruck	热恋中
back	在后面
leftlaid	左搓的
conclude	作出结论
unalienated	未让渡的
spoony	笨瓜
lepidopteran	鳞翅类
nodular	小结
outlander	外国人
nancified	搞同性恋
habilitate	予以穿着
refasten	再次固定
krakau	=Krakow
fondly	亲爱地
xenophora	衣笠螺属的动物
metallographic	金相学的/学
roily	搅乱
coralliferous	产珊瑚的
bristled	有刚毛的
retrenchment	节省
geriatric	老人的
seam	伤疤
literate	有文化
encomium	赞美
ballflower	圆球饰
bethel	非国教徒的教堂
plant	车间
fringlish	法式英语
tomato	西红柿
desperately	拼命
poddy	人工喂养的幼畜
worshipful	崇拜
fco	Office
snaky	弯弯曲曲
ratal	纳税额
owl	Borland
ragamuffinly	流浪
noisemaker	发出大声音的人
synangium	聚合囊
saving	考虑到
procaine	普鲁卡因
desacralize	使非神圣化
exhume	发掘
avertible	可避开的
fractional	分数的
paragraphic	章节的
trddition	传统
withal	此外
adeptness	老练
tactic	按顺序的
kibitka	鞑靼人的圆顶帐篷
recognition	承认
reactionist	反动的
surfacely	肤浅地
serbonian	大沼泽
unsure	不确定的
reproducer	再现设备
slavonic	斯拉夫人
rephrase	改撰
anthropomorphic	神、人同Izm/
extrusion	突出
centrality	中央
percutaneous	经皮
chloroplatinic	氢氯铂酸的
anisole	茴香醚
blaze	燃烧
conglutinant	促创口愈合
splosh	金钱
inflatable	膨胀
condensator	电容器
overstrength	超额
unexamined	未经核对
hexameter	六步格的
warpwise	经向
biophil	elements亲生物元素
springlock	弹簧锁
composure	镇静
dutiful	守本分
inky	墨水的
adiaphoretic	止汗剂
outshoot	突出物
inorganized	缺乏组织
prescriptive	说明性的
diverticular	支囊的
penniferous	有羽
sneaksby	鬼鬼祟祟的人
desuetude	不用
apocatastasis	魔鬼及罪人终将回归上帝的学说
clearing	空旷地
topectomy	额叶皮质局部切除术
destitute	缺乏的
chic	别致
emargination	边缘有凹痕
scalpel	解剖刀
break	削弱
melancholiac	患忧郁症的
rhemish	Bible
sequin	古威尼斯金币
disimprove	恶化
thumbscrew	拇指夹
dement	疯狂的
camorra	克莫拉秘密组织
undressed	穿着便服的
migratory	迁移
triumvirate	三人执政的政治
underpaid	underpay过去式及过去分词
savageness	天然
acrr	on
fense	防护
leukodermal	白斑病的
laval	熔岩的
acopic	消除疲乏
idc	智能磁盘控制器
trauma	外伤
tranquilly	平静地
cylices	cylix
rutilant	闪光的
hypopyon	眼前房积脓
ue	Radio
rouncy	骑用马
voluble	有口才的
assertorily	断言
knotless	没有节
tryma	核果
buttony	钮扣状
wattle	枝条
erectormuscle	勃起肌
bludger	游手好闲的人
prosper	昌盛
useless	无价值
rile	使恼怒
inswept	尖端狭窄
shire	郡
federal	同盟
repulsive	推斥的
unordinary	特别
muffle	消声器
lugubrious	悲惨
scared	恐惧
nonarithmetic	=nonarithmetical
folksy	无拘束
shillaber	赌摊等诱`人入壳的假顾客
automate	使自动化
faggot	束
mild	轻微
fasciated	用带子束住的
bhl	of
melanin	黑色素
unvouched	未被证明
scriber	划线器
diglyceride	甘油二酯
merely	不过
arty	艺术家气派的
aldis	lamp
mhg	High
pithead	其附近建筑物
canting	貌似虔诚的
hypercatalexis	超音节
hypercryalgesia	冷觉过敏
winterly	冬天
podzol	灰壤
montgolfier	气球
monophyllous	单叶
unconstraint	自愿
kilogrammetre	千克米
dentilingual	齿舌音
excusingly	辩解地
pataca	澳元
denunciate	公然抨击
titration	滴定
monocrat	独裁主义者
depasture	使吃草
vesa	Standard
clubroot	根瘤病
precooler	预冷器
maroc	摩洛哥
embarcadero	内河码头
hydromantic	水占术
ent	耳鼻喉科
medibank	国民健康保险制度
emphasize	着重
postrorse	向后的
vivific	赋予生气
acquiescently	默认地
blatant	吵闹
empathy	移情作用
unflaggingly	不屈不挠地
selma	塞尔玛
scant	减少
lightstruck	曝光而不能用的
unrenewable	无法回收利用的
lemma	主旨
upbraidingly	叱责
hindustani	印度斯坦人的
sfa	Football
people	民族
unfadingly	不凋萎地
tricksy	顽皮的
victrix	=victress
foreground	前景
outright	痛快地
randomly	未加计划地
axially	向轴的方向
oxysalt	含氧酸盐
yavis	年轻英俊、能说会道、
unbearably	忍不住
decorate	装饰
make	使成为
ps	附言
reefer	冰箱
hopelessly	无望
cozy	惬意
underlaid	下有衬物
husky	沙哑的
shampoo	洗头
rdc	乡村区议会
crm	Customer
amusement	娱乐
fix	确定
ne	旧姓
folivore	食叶动物
camion	运货车
unbesought	未乞求的
dialytic	透膜性
caesura	休止
bx	base
sweetish	有点美丽
cosmopolitan	全球
autotoxin	自体毒素
obconical	倒圆锥形
table	桌子
osculatory	接吻的
ivr	Interactive
wither	使凋谢
thundering	雷鸣
diphyletic	二源
hypothenuse	弦
fundamentalist	信奉正统派基督教的人
restiform	索状的
speedlight	频闪放电管
aeriality	空虚
rejoice	高兴
rigorism	严格主义
legalization	得到法律认可
supposedly	想像上
revenge	报仇
destructuralize	拆散
multibarrel	多管
tuesday	星期二
piosity	表面虔诚
wassail	痛饮
ambiguous	不明确
tail	尾部的
jointure	寡妇所得遗产
greensick	患萎黄病贫血
drumbeater	作宣传的人
pomeranchuk	theorem坡密朗丘克定理
last	临终
lalang	白茅
periodize	把
mcp	male
irritably	暴躁地
teeny	极小
token	向征
studiously	故意
magistral	威严傲慢的
feldspathic	长石质的
crop	修剪
mistletoe	槲寄生
neronian	尼禄的
regret	后悔
besotted	糊涂的
sullage	残渣
transcutaneous	经皮
increasing	渐增的
tabnab	美味小吃
proudhonism	蒲鲁东主义
mesotrophic	中营养的
ulterior	在那边
unwanted	空闲
embryotroph	胎体营养物
adultoid	未成熟体
headily	任性
cowpuncher	牛仔
tab	制表
refix	再设立
reasoningly	理性
bliss	福佑
eastwards	向东方
tv	电视
paraformaldehyde	多聚甲醛
stylostatistics	风格统计法分析
whistleable	可用口哨吹的
barbate	有须的
apart	分离
bto	Operator
northwest	西北的
steady	稳定的
cer	规范编码规则
wholescale	大量
dingily	暗黑
upriver	向水源
empress	皇后
dunderpate	蠢材
nibelungenlied	尼白龙根之歌
collectively	共同地
abiological	非生物
chirpy	快活
fumigate	熏制
anticly	古怪地
conformably	顺从地
punk	废物
augural	前兆的
offstage	舞台内部
reasonless	不理智的
knockabout	闹剧
specialize	使适应特殊目
ringster	党徒之一份子
imperturbability	缺乏热情
tortile	弯曲
megaloblast	幼巨红细胞
honewort	北柴胡
osteotomy	骨切开术
revolve	考虑
cervicovaginal	子宫颈阴道的
sulfaquinoxaline	=sulphaquinoxaline
indeterminate	不确定的
crystalloid	结晶
nabeshima	锅岛窑瓷器
fix	决定
terminable	可终止
slaveholding	拥有奴隶
division	师
prithee	请
crossbedding	交错层
invert	转化
gagger	善于插科打浑的喜剧演员
reembark	重新上船
sun	主要生产SUN系列工作站和网络产品
homebred	国产
roam	漫游
flattish	稍平
dogmatics	教义学
quotative	引证
remould	改造
eduction	推断
udp	Protocol
peritoneal	腹膜
mowing	牧草
grandniece	侄孙女
impletion	充满
earliness	早熟
ito	Organization
fat	丰满
rascally	无赖
secrecy	保密
injure	伤害
parched	炎热的
scotodinia	暗点性眩晕
stub	踩熄
biometricist	生物统计学家
apart	分别
tropophyte	湿旱生植物
monoicous	=monoecious
extasy	=ecstasy
pseudograph	伪作
emendable	可修订
trivial	价值不高
masty	危险的东西
scuttle	煤桶
