onfound	使混淆
regretful	抱歉
administrative	行政法
arbitrative	有权仲裁的
beautifully	美好地
iridous	亚铱
polyhedral	多面的
guano	海鸟粪
grantor	让渡人
jeth	印度历的3月
mondial	全世界范围
trendy	新潮人物
homonuclear	同核
ammonification	加氨
radiotherapy	放射线疗法
shampoo	洗发精
oke	好
motley	杂色
bream	鲤科鱼
ichnographically	平面图法地
mearns	The
acrimonious	严厉
coetaneous	同时代的
groovelike	老一套的
unbefitting	不合适
demonology	魔鬼研究
aeropause	适航大气界层
orbicular	完整
soulful	充满热情的
discoloration	变色
nigrostriatal	黑质纹状体的
luster	光泽
primary	初步的
hand	手
sogat	Trades
autohypnosis	自我催眠
umbriel	天卫二
flank	腰窝
croquis	素描
contubernal	亲密的
painstaking	辛勤
peperino	白榴拟灰岩
stylistic	体裁上的
experimentative	=experimental
sack	大袋之量
rigor	严酷
permanently	永存
hokey	虚情假意
steep	不合理的
hematosis	生血作用
sublimely	高尚
petite	细
abidingly	永久地
subchloride	氯化低价物
petty	小规模
holoparasitic	全寄生物的
produce	生产
prance	使腾跃
collodion	火棉胶
man	使振奋
weariful	疲乏的
famous	出名
donga	峡谷
incomparably	无敌地
snow	下雪
jokey	好开玩笑的
subsensible	难以感觉到的
dpn	diphosphopyridine
ogasawara	小笠原群岛
talmudist	犹太法典编著者
unlock	解出锁定
loch	湖
budding	少壮
steady	稳固
subdistrict	分区
photopia	昼视
outflung	扔出
absorptivity	吸收性
trismegistus	=Hermes
facer	平面铣刀
nix	皆无
jingoism	侵略主义
bald	单调
phytogeography	植物地理学
radiovision	无线电视
salami	意大利腊肠
equatorial	赤道仪
fatidic	预言的
planform	平面图
revengefully	燃起报复念头地
continental	大陆性
shikari	猎人
syncretic	汇合
cast	脱落物
unclimbable	爬不上去
astrodome	天体观测窗
winterbeaten	被冰寒所伤
bellpull	钟绳
advertize	做广告
emi	Electro
preconquest	被征服以前的
analphabetic	文盲的
tumble	摔跤
aglow	发红的
parthenon	帕台农神庙
weak	软弱
valued	宝贵
soloistic	独奏
photofabrication	金属表面光刻法
loo	一种纸牌游戏
hangfire	延时发火
zinc	涂锌于
fabian	费边主义
enchorial	属于某地区
pugilistic	拳击的
key	钥匙
chorister	唱诗班歌手
sensed	了解
indigen	土著
malemute	malamute
record	记录
prowler	小偷
pledge	抵押品
dike	筑堤提防
trangam	小玩意儿
asianic	小亚细亚
vliw	very
trashy	无价值的
fiz	作嘶嘶声
misogynous	厌恶女人的
aeroamphibious	海陆空的
puff	肿块
disarm	消除
osb	St
grantee	受颁赠者
knottily	有结地
scopulate	有花粉刷
affinal	同源
believer	信徒
trithing	三行政区之一
flatly	平平
nephrolithotomy	肾石切开术
heterogenous	异种
recursive	回归的
artificial	人造
catchall	装零杂物品的容器
ligurian	利古里亚人
with	由于
delicate	微妙的
swink	做苦工
groovelike	缺乏独创性的
butterfish	溜滑的鱼
schvartzer	黑人姑娘
anticholinesterase	抗胆碱酯酶
garment	外表
utter	发射
hemimorphite	异极矿
beckoning	令人心动
nasality	鼻音性
unscientific	非学术的
aposteriori	归纳的
furry	毛皮
strip	剥去
deportment	行为
mezz	大麻
novel	新奇
arthrotomy	关节切开
quoth	说
archibald	高射炮
tablemate	餐桌同座
kibbutznik	集体农场农民
oily	油滑的
lewd	下流
ravenous	狼吞虎咽的
hebraise	=Hebraize
flagellate	鞭状
arboreal	树的
putridity	腐败
staff	支柱
palliatory	减轻
aglisten	闪烁
questionnaire	调查表
staid	沉静
brash	性急
imagination	想象的事物
tubulure	短颈口
microminiature	超小型
bifilar	双股
cover	包括
traveled	旅客使用的
illative	推理的
farinose	生淀粉的
demonography	有关魔鬼的论述
somersault	翻筋斗
sensitize	使变得敏感
permeate	透过
misgivings	疑虑
authority	权威人士
without	在外
noviceship	=novitiate
slimly	苗条地
implicit	不怀疑的
exhortatory	劝诫
astringe	使收敛
supersound	超音
roughtailed	尾巴粗糙
atomix	本软件的开发组织
cottier	居小屋者
stabling	马舍设备
miscreated	残废的
erma	厄玛
excavation	发掘
diastatic	脱离的
gasless	不产生气体
vaunting	吹嘘
attemper	调度
preexilian	犹太人被放逐至巴比伦以前
composition	成分
baptistery	洗礼用桶
esl	English
hydrate	与水化合
slade	Society
radiology	放射医学
shockingly	非常
footle	浪费时间
fzs	the
aeronaval	海空的
tumultuously	喧闹
bovine	迟钝的
pale	范围
dimuon	双μ子
slide	滑动
expressly	明白地
kk	System
biconvex	两面凸
pagination	标记页数
hypertonic	张力亢进
wraac	Corps
terror	恐怖
fetch	魂
gray	灰色
pappoose	幼儿
calisthenic	美容体操的
nucleochronometer	核子年代学标准
bacteriostasis	阻止细菌繁殖法
dockside	坞边的
collocable	可组合
baptistery	洗礼池
exclamatory	感叹
unreactive	化学上惰性
palmful	满把
patellar	膝盖骨的
proceeding	进行
kist	箱形石坟
pelt	剥……的皮
join	用子目录名取代驱动器符
refer	咨询
lemme	=let
amendatory	改善的
cankerous	使溃疡
roscoe	手枪
put	提出
blackleggery	破坏罢工
undereducated	受教育不足
histophysiological	组织生理组织生理学
refluent	回流的
noumenal	本体
weatherology	=meteorology
pseudoclassic	拟古典
fag	苦工
shoring	利用支柱的支撑
metalliding	金属间化合法
daee	aeronautical
distressing	使烦恼的
catching	有魅力的
haematophyte	血寄生真菌
totemistic	崇拜图腾之种族
tetchy	脾气怪
gaggle	鹅群
complot	阴谋
wreathen	wreathe
uniatism	东仪天主教
caporal	一种法国产的烟丝
parterre	花坛
decillionth	第一千之11乘方
bimbo	尤指浪荡好淫的女人
mastoidean	=mastoid
breastplate	胸甲
cochromatograph	沧分析法的
tricoloured	有三色
segregator	分离者
spittle	吐出的泡沫
referable	可交付
uniparous	每次只产一卵
doum	埃及姜果棕
agnosticism	不可知论
corvet	轻型护卫舰
courtling	小官员
dexedrine	商标名
chrestomathy	诸家名文选集
untrodden	未受践踏
cristated	冠状
slim	无价值
theatricalize	使能演出
pyretic	发烧
exonerative	免除
cirrous	有触毛的
proletarian	无产阶级
subapostolic	十二门徒之后的
hundredweight	重量单位
elgin	marbles埃尔金大理石雕
withe	细枝
publisher	出版者/订阅者
overceiling	超过最高限度的
upswing	高涨
kamaishi	釜石
dysteleology	生活或自然之漫无目标
fatuity	昏庸
silicle	短角果
globelet	小球体
callous	硬结的
anteprandial	饭前
rampant	蔓生的
wend	往
remonstration	规劝
superlatively	无上地
divisible	可分的
postlady	女邮递员
rajasthan	拉贾斯坦邦
mizoram	米佐拉姆
poky	狭小
heliport	直升飞机场
ciseleur	镂刻者
maccaroni	=macaroni
cortex	皮质
dolefully	寂寞地
winded	通风的
crackers	癫狂
convulse	震动
johannisberger	出产的上等葡萄酒
explanate	平坦的
trifle	闭混
loveboats	"爱舟"
transatlantic	大西洋彼岸
unifier	联合者
technicalization	专门化
euchre	以该玩法趁对方疏忽时打嬴
multipack	合装包
dross	渣滓
underwrite	签名
decentralise	=decentralize
dewy	带露水
apiece	每人
garibaldi	夹酸栗果酱的饼干
stereovision	立体视觉
xenodiagnosis	病煤接种诊断法
petasos	赫耳墨斯的有翼帽
nsa	Agency
altarpiece	组塑
faintness	模糊
incommunicability	不能传达
shapable	可成形的
lusty	精力充沛
latent	潜在
dyspepsy	消化不良
pool	石油层
brilliantly	光亮地
brood	孵
photoelasticity	光测弹性学
driblet	少许
lowercase	小写字母
puncture	小孔
unacted	未演出的
reconstituted	再造
inauthentic	假的
muscly	=muscular
bailor	寄托人
guano	在……上施鸟粪或肥料
reseat	使再坐
cynologist	犬类学家
negentropy	负平均信息量
binary	二进位
charge	装满
demophobic	群众恐惧症的
delphian	意义不明确的
cant	隐语
tell	说
faconne	细花纹饰品
encash	付现
rdc	Council
infuscated	被弄糊涂的
scottie	苏格兰人
bitterly	厉害的
frg	Germany
placard	张贴
ganoid	硬鳞
cryptographical	暗lly//
catchpenny	薄利多销的
uncivil	失礼
aerotherapy	=aerotherapeutics
acousma	幻听
campy	不自然
ft	Times
nasa	Administration
sequence	序列
partialness	不公平
replacement	归还
suffer	受损害
spill	使流出
muzzle	上口罩
vibraphone	电颤琴
needless	不需要的
uncomplex	易懂
undefendable	无法防御
sarcoidosis	肉状瘤病
prosocial	亲社会
disharmonize	打破调和
retiree	歇业者
dittybop	笨蛋
undiscussed	未辩论过的
outercoat	轻薄大衣
loun	无用之人
quaky	战栗
cterm	Communications
unerringly	无过失地
numerate	计算
greenwood	绿林
interrupter	阻碍者
inaudibly	听不见似
gilt	镀金
try	试图
timer	定时器
perennial	终年的
star	明星
friended	有朋友陪伴
hallstattian	铁器时代初期文化
vouch	推荐
unaverage	突出的
supercurrent	超电流
craniectomy	部分颅骨切除术
vaunting	自吹自擂
relievo	浮雕
sleepless	失眠
euthyroid	甲状腺机能正常的
coupon	商家的优待券
tenebrous	晦涩的
livingness	活力
feuilleton	小品
star	名角
random	随便
collectedly	冷静地
scabbed	有疙瘩的
uninterrupted	不停
enostosis	内生骨疣
setting	框架
alkalescence	弱碱性
amphioxus	文昌鱼
debt	罪过
elysian	乐土
bloomy	盛开的
recreationist	作消遣的人
frostbitten	受霜害的
thimbu	廷布
prename	名
shelly	有壳
zenocentric	木星中心
cordiality	诚实
belcher	尤指兰色上有白点的围巾
explain	解释
substantive	巨额的
runrig	=rundale
fibrinuria	纤维蛋白尿
rubblework	毛石建筑
craniocerebral	颅与脑
speakerphone	喇叭扩音器
systemless	无秩序的
subtle	精细的
sgi	美国图形工作站生产厂商
pastime	娱乐
formulaic	公式的
holophotal	全光反射
pigheaded	固执的
staggart	4岁的雄性赤鹿
cycas	铁树
myeloblast	成髓细胞
windcheater	一种户外穿的防风夹克
unequaled	无敌的
visa	签准
culicine	库蚊的
hydrology	水文地理学
betwixt	不走极端
extrovertive	偏向于外向的
mincemeat	苹果等切碎混拌碎肉的东西
unforested	未造林
peaceably	和平
secretiveness	隐匿
hexadecane	=cetane
gmt	格林尼治标准时间
hight	被称为
highstick	举杆过肩阻截
vindication	辩明
loophole	射弹孔
ariose	旋律
handwriting	书写体
affidavit	书面陈述
agressire	攻击的
whiz	嗽嗽声
clonal	无性系般
punk	小阿飞
billionth	第十亿的
amatively	好色
confirmedly	坚定地
overhasty	过于草率
stilly	平静
overnight	晚上的
helpful	有益的
tartarous	含酒石
northwards	朝北
hohokam	霍霍坎文化
involute	消失
saddlery	马具
reestimate	再估值
reversed	颠倒的
unneighbourly	不友善
rdac	radioactinium
flop	砰然落下
idiotype	个体遗传型
coexistence	共存
squeegee	用橡胶滚轴压
europeanist	欧洲经济共同体第一主义的
transire	结关许可证
humbly	谦恭
salwar	=shalwar
underpopulation	人口稀少
solidi	solidus
alchemist	炼金术士
thunk	锵
whole	未损伤
complaining	抱怨的
scatterometer	散射仪
gigametre	十亿米
saprobial	衡量水生环境有机污染度
coed	男女兼收
zincotype	锌版
nonadmission	不准进入
evidence	迹象
miniate	涂红色于
slough	蜕皮
pressbutton	电钮
butylate	使丁化
itn	Television
deadborn	死产的
speciosity	徒有其表
splendor	光彩
snout	猪嘴
favour	亲切
decoloration	漂白
vinegrower	葡萄栽植者
thyroidean	=thyroid
bahaism	大同教
forever	永久
anticoherer	散屑器
aminobenzene	氨基苯
ack	接收确认信号
tatting	梭结花边
alienate	疏远
chattily	饶舌
telluric	上
lucidly	清透
atapi	Attachment
corollary	推论
jv	Varsity
authority	典据
gerfalcon	一种鹰
misknow	认不出
sticky	粘性
hydrophanous	水蛋白石的
strata	的复数
curling	苏格兰的冰上掷石游戏
goosy	似鹅的
simony	买卖圣职罪
metacode	元代码
irresistible	不可抵抗
sapient	装聪明样的
fall	倒下
perspicuity	明白
mu	希腊字母第
perfect	完美的
detonation	爆炸
genealogical	宗谱
censorial	检查官的
sapful	多液汁的
fire	着火
shoreward	朝向陆地
bewigged	戴假发
zipless	短暂而猛烈的
garboil	骚动
dragoness	母龙
catty	阴险的
scuff	使磨损
ministerial	部的
tamber	音色
malthusianism	马尔萨斯人口论
phonogram	表音符号
ribgrass	长叶车前草
tsaritsyn	(苏联伏尔加河下游城市伏尔加格勒
rabbet	榫接
galactopoietic	催乳
gastronomer	考究饮食的人
wakefully	睡不着地
inexactly	不正确
supplicatingly	恳求似地
thermometrical	温度计
rite	典礼
add	增添
female	女子
degerm	消灭……的病菌
asosan	阿苏山
expatiate	详述
freeborn	适于自由民
elegise	=elegize
pinpoint	极微小
exclusion	除外
autocephalous	独立
refractile	有折射力的
evolutive	演变的
scrivener	代笔人
severely	激烈地
satiny	光滑的
sawn	saw的过去分词
inleakage	渗入
bingle	安打
alible	有营养的
noviciate	修道期间
bop	波普
nautical	海军的
waive	放弃
vinegary	有酸味
bioplasma	生物原生质
enthral	迷醉
multivibrator	多频振荡器
seventeeth	十七分之一
smothery	令人透不过气的
gyneolatry	=gynaeolatry
puncturable	可穿刺的
altorilievo	隆雕
muskhogean	马斯科吉语组
ftp	File
usac	United
coordination	调和
trirectangular	三重正交的
pentatonic	五音
telamon	男像柱
refill	补充
adjacent	邻近的
transversal	横断
batten	板条
leptosomatic	瘦弱型的
faucial	喉头音
wakan	灵力
canalage	开掘运河
more	更多
garrulous	啁啾的
dotted	有点
concretion	结石
bricole	投石器
antiutopian	具有反面乌托邦特征的
procambium	前形成层
tawdry	非常华丽
poser	难题
streaked	有条斑纹
conclude	推断
inartificial	非人工的
object	物体
alamode	流行的
spongy	柔软
ethinyl	=ethynyl
sutra	佛经
diluent	稀释药
lizzie	早期的福特汽车
softish	有点软
numismatics	钱币学
chimney	灯罩
unnational	非国有的
hurl	用力或猛烈的投掷
insistently	强求地
idioplasm	种质
furious	狂怒
hapless	倒霉
hoarsely	刺耳地
thanks	谢谢
commensuration	通约
injunct	下令制止
mavis	Mavis
demonism	信仰魔鬼
him	pro
unswear	食言
diocesan	教区主教
olent	有香味
pisciculture	养鱼学
neutralist	中立主义者
luciferous	光辉
bishopric	主教职位
vocoder	声音合成机
acoustical	听觉的
gardez	加德兹
say	假定
medical	药
minimus	微小的
bender	屈服者
funniosity	滑稽
knelt	kneel的过去式和过去分词
bellarmine	贝拉明酒瓶
veronese	维罗纳人的
blindage	掩体
perichondrium	软骨膜
recrystallize	再结晶
stereotype	铅版
fluvioglacial	河冰生成的
veni	saw
evader	逃避者
folksy	有民间风味的
geoprobe	地球探测火箭
ovariole	卵巢管
gunner	炮长
affectionate	亲爱
overroast	把……焙炒过度
musing	沉思的
grindstone	旋转磨石
elegiacal	哀悼的
forget	忘乎所以
shop	店铺
stupid	愚蠢
cladistic	进化枝的
shivery	令人悚然的
ecophysiology	生态生理学
unforgettable	忘不了的
dimetric	四边形
devildom	魔界
apprehension	拘捕
unoffended	不生气的
conger	康吉鳗科康吉鳗
venine	蛇毒素
rapturous	欢天喜地的
breezy	有微风的
asphodel	水仙
bivouac	野营
episcopize	使改信圣公会
netlike	形成网壮的
premonstratensian	普雷蒙特雷修会
transeunt	外在
hame	颈轭
homework	家庭作业
compulsory	必修的
welladay	呜呼!哀哉!
specula	反射镜
ned	Edmund
unhinge	使分开
maghrib	马格里布
hippic	马
elusively	巧妙逃避
stableman	马夫
unhidden	不掩盖的
superincumbent	横在上面
clatter	嘈杂的谈笑声
silence	寂静
thracian	色雷斯人
unroyal	不是王室
overflew	的过去式
penutian	佩纽蒂语群的
cutup	爱炫耀的人
lugubrious	悲哀的
skyey	高耸云霄
burgh	享有特权的区
homicidal	杀气腾腾的
exclusive	高级的
fleshy	肉体的
excitant	刺激物
chronology	年代学
gorge	障碍物
undersleeve	内袖
butty	伙伴
expostulation	劝告
trailerite	乘拖车式活动房屋旅行者
mrna	messenger
foin	刺穿
discernable	可辨别的
halafian	哈拉夫文化
revalorization	重新估算价值
severally	各别地
quinacrine	奎纳克林
pullulation	发芽
nog	支撑
chill	寒冷
aquatic	水
moss	藓
walker	徒步者
knocker	门环
pdp	等离子体显示器
provencal	普罗旺斯人
unvoiced	未出声
extendible	可伸长
torridity	炎热
clutcher	经常参加咖啡聚会的人
confirmand	请求受按手礼
hydrodesulfurization	=hydrodesulphurization
weave	编织
corsican	科西嘉方言
interfere	打扰
copenhagen	哥本哈根
shadowgraph	放射线透视照相
monoxide	一氧化物
cuspy	设计得很有效率的
galleta	牧草
tantivy	狩猎时指示快追的喊声
encyst	把……包在囊内
inclose	附上
northeasternmost	极东北的
antilabor	危害工人利益
square	坚定地
snowball	雪球
hackbut	火绳枪
photostat	复印照片
preconference	预备会议
ripsnorter	喧闹的人
wane	退潮
tuberculate	结核性的
misuse	滥用
sapric	含极腐烂生物的
nyet	没有
parturifacient	催产
uncultured	没有文化
craftily	狡猾地
expend	花费
fsf	Foundation
iraser	红外激射
njorth	分配财富之神
examinatorial	考试
malignant	恶性的
muley	无角
duodenal	十二指肠的
unsullied	清白
forswear	幸运
sanely	稳健地
combustible	易燃
wain	运货马车
isolable	可孤立
serfage	农奴境遇
anoxemia	血缺氧
thoroughpaced	彻底的
heliced	以螺旋装饰的
tack	行动方针
puddinghead	愚人
answer	回答说
sophisticate	老油条
ectochondral	在软骨表面上的
natiform	臀形
nagged	被激怒
chapiter	柱头
event	活动
customization	用户化
aok	一切正常而顺当
nonnuclear	非核的
polyandrist	赞成一妻多夫制的妇女
krantz	悬崖
antique	古物
holocrine	全泌的
zoological	动物学
nae	决不
maidenly	柔和
laughing	可笑
brotherliness	友爱
undefined	未下定义的
exactitude	正确
semidouble	半重瓣的
photodiode	光敏二极管
unshifted	未更换
nonexportation	不可出口
australia	澳大利亚
prang	使……坠毁
spice	香料
gloss	注释
lomentaceous	节荚状的
illuminating	照明
gangsa	甘瑟琴
refreeze	再冰冻
exultant	非常高兴
joisted	为……装托梁
forworn	极疲倦的
solicitudinous	焦虑
advance	预付款
inconvincible	无法使人信服
race	姜根
misprize	轻视
emulsin	苦杏仁酵素
kemalist	基马尔主义
lark	嬉耍
stumble	结结巴巴地说话
expense	费用
salvage	营救
misadventure	运气不佳的遭遇
betted	的过去式和过去分词
adjectivally	作形容词用地
languorously	疲倦
grue	一点
intellectual	知识分子
passe	已过盛年的
