chrysograph	中世纪时代用金色或金银色墨水所写的文件
abroad	心里没有谱
corps	技术兵种
hayfork	自动堆积干草的机器
summarization	摘要
bracer	保护带
emotivity	激起感情
submental	颏下
biennially	二年一次
shmutz	=schmutz
gooney	=gooney
excerpt	摘录
immigrant	侨民
hardy	艰苦
eulogise	=eulogize
sessional	开庭的
challie	有印花之轻质毛料
commissariat	军需部门
superannuation	退休金
tributary	支流的
unseriousness	不认真
obligatory	义不容辞的
rapc	Corps皇家陆军财务队
projectionist	电视播放员
commutate	整流
annulment	判决无效
volitive	表示意志的
decidedly	断然
carman	电车的车长
unfilial	不孝
amharic	阿姆哈拉语
fddi	Distributed
unplaced	无处居住
readopt	重新采取
clamorously	吵闹地
seismic	震
cloistral	隐居
unquestioning	不加疑问的
chorizon	C层
enallage	语法形式替代
hurdle	活动篱笆
discarnate	无形的
paigle	黄花九轮草
calf	小牛皮
bristled	多刺毛
rouge	口红
slipform	用滑动模板铺筑
tamer	驯服手
charlene	沙琳
paisleyite	支持北爱尔兰天主教徒和新教徒实行分离的人
rallyingly	挖苦地
universal	通用
blacksnake	黑蛇
plus	正的
nanny	保姆
harmonistic	调和的
mohammedan	回教的
dwc	载重吨位
vfd	志愿消防队
podded	富裕
posttension	对……后加拉力
mabe	Agricultural
minacious	威吓的
inexpiable	不能抵偿的
introspectionism	内省者
malignity	狠毒
unwitnessed	未察觉到的
jap	日本人的
half	不完全的
subornative	买通的
zarzuela	说唱剧
uptodate	直到现代
condolatory	慰问的
drillmaster	教练
bloodily	残忍
base	出发点
gelly	=gelignite
presbyope	老视者
banteringly	嘲弄地
boned	去骨的
sociocentric	群体中心论
hendecahedral	十一面体
topcap	顶盖
broiling	似烧
squally	可怕
choker	宽领带
artifact	人造物品
lassitude	疲乏
userkit	连机辅助设备
excelsior	细刨花
safing	能立即恢复安全状态
quenchable	可抑制
alum	明矾
incretionary	激素
fallow	休耕
lathi	包铁粗杖
predacity	掠夺性
inscient	无知的
alary	翼状
humourless	缺乏幽默感的
pipelike	管状
leaven	影响
mover	原动力
monophonematic	单音素的
pothecary	药商
paybox	出纳室
patient	耐心的
quash	取消
voltolization	无声放电处理
bloomer	挫折
napalm	凝固汽油弹
hickey	器械
erda	能源研究开发署
precensor	事先审查
viscounty	地位
aviary	鸟类饲养场
materiality	物质性
erratic	奇怪的
landworker	农夫
hardcase	强悍的
merge	吞没
assonance	类音
disrupt	破坏
herbiferous	生草的
defeat	击败
iaz	高射炮防空禁区
whip	鞭子
cockateel	鸡尾鹦鹉
epochmaking	极重要
mulct	处以罚金
unspeakable	不能以言语表达的
iyft	Informtion
nutso	发疯的
stere	立方公尺
astroarchaeology	=archaeoastronomy
pesky	讨厌
wonder	怀疑
serific	制丝的
leonis	Leo的所有格
fearless	不怕
latifundio	大庄园
aerology	高空气象学
smoothie	举止优雅的人
endophilic	生态上与人及其所处环境有关联
willing	反应迅速
synoptic	概要
strobic	似旋转的
plaga	斑点
vesicular	由小泡组成
proenzyme	酶原
joggle	摇曳
magh	印度历的11月
quaveringly	颤音
cod	COD
significance	意义
kilolitre	公升
weatherproof	使防风雨
aptness	适合性
nymphomania	慕雄
ungainly	笨拙地
shelfful	一个架所装之量
pubes	柔毛
venturous	好冒险
etherealize	灵化
nomenclaturist	术语定名者
demonstrator	论证者
ukrainian	乌克兰人
sirupy	象糖浆的
beluchistan	=Baluchistan
hexahydrated	六水合物的
preventable	可阻止的
wisp	小捆
teleplasm	灵的外质
skint	穷光蛋的
recitative	叙述
meagrely	瘦
shakuhachi	尺八
geckotian	守宫科
urgent	紧急
transilient	突变的
stepwise	逐步
po	钋
unorderly	混乱
banxring	=tree
groin	交叉拱
unapparent	不清楚的
synthesise	=synthesize
inurement	习惯
psychrophilic	好寒性的
driftlessness	无目标
pursiness	喘气
namaqua	=Nama
asprawl	伸开手足躺卧
epanisognathous	上齿比下齿窄
sean	肖恩
mount	装配
misanthropy	厌恶人类
seam	衔接口
rummy	危险的
smooth	流畅的
assiduity	刻苦
yumpie	=Yuppie
heavy	沉重地
metencephalon	后脑
ah	伊斯兰教纪元
definition	解说
forbidding	可怕的
endogeny	内生
funneled	漏斗状
lemuralia	驱亡魂节
sassy	无礼
intropunitive	自责型
insole	鞋垫
retrospection	追溯
jook	躲藏
catachresis	词形更改
phylogenic	动植物种类史
routine	程序
felicitously	适切地
mac	Millitary
countercharge	反告
terrestrial	陆地
bella	伊莎贝拉的昵称
colorized	彩色
thoroughpin	肿胀
astute	机敏的
excrescence	瘤
proud	骄傲
hoodlum	强盗
diatropic	横向性的
penates	家财
cheapo	=cheap
coxa	髋
rival	对手
inflectional	抑扬
ccsa	switching
diverge	分歧
gravesian	格雷夫斯风格的
essay	评论
bedell	捧持校长权标的属员
obscenity	淫秽
everlasting	永恒的
felonry	犯人们
factice	油胶
biaxial	二轴
glomerule	丝球体
owly	像鸮的
christocentric	以基督教义为中心的
overdoor	装在门上方的
imputable	可归罪的
carnalize	好色
osteological	骨学上
chirology	手之研究
launching	下水
smug	自鸣得意
dextranase	葡聚糖酶
endurant	能耐劳的
burdensome	难以承担的
pail	提桶
cyclopentane	环戊烷
delegable	可授给
whorish	妓女的
uncreased	未弄皱的
penuchle	=pinochle
interminably	无限
virulent	恶毒
sulfurate	如硫磺的
caterwaul	叫春
careenage	倾船修理厂
aquatic	水上的
hpgc	heading
chemotropic	向药性的
fountainous	泉源
balanced	和谐
castellated	造成城形
trawlnet	拖捞网
leaf	页
fruity	果味
microcosmic	微观的
clubbable	适合俱乐部会员资格
ebullient	冒泡
tentacula	tentaculum的复数
assumably	多半
pennyworth	价值一便士的东西
attemper	令缓和
incorruption	不腐败
sequestrate	没收
hear	听取
ogee	S形
shahaptian	=Sahaptin
inexpressive	缺乏表情的
anarchic	无政府主义
ulu	乌卢刀
unquestionably	无疑地
garroter	绞杀者
matrilineage	母系家族
shinto	日本之神道教
rancorous	深恨的
filially	孝顺
fetter	羁绊
khalifat	哈里发的职位
baseball	棒球
foucquet	即
plop	扑通一声
thingamy	某人
tchotchke	=tsatske
retroactivity	追溯既往
chemosterilize	绝育
pillow	枕垫
rented	租金的
orthoptist	视轴矫正医师
antisabbatarian	反对守安息日的
fuguist	赋格曲之作曲家
stuka	斯图卡式俯冲轰炸机
rozzer	警察
primidone	去氧苯巴比妥
custodial	保管
unplantable	不可种植
fineness	出色
youthy	年轻
continual	持续不断
insula	脑岛
albigenses	阿比尔教派
aggie	农科大学生
tuck	打摺
twine	编饰
sailorman	船员
unenlightened	不文明的
arioso	好听
aquarian	宝瓶座时段生的人
resist	忍得住
heterotrophy	不是自养
impeditive	阻碍的
fable	讲故事
guido	太空飞行工程师
sessioneer	musician
contrariant	敌对
indispensable	绝对必要
roselike	像玫瑰的
regional	地方地
substantive	独立存在的实体
peduncle	花梗
charge	收费
dts	Digital
talca	塔尔卡
clastic	碎屑状
schlep	笨蛋
base	卑鄙
wobble	变度
episode	一段情节
synaxis	感恩祭
key	要害
ichthyotoxism	鱼中毒
apodictic	绝然的
reaphook	镰刀
corymbous	伞房花序的
woody	木本
restrainedly	谨慎地
cellulated	细胞状
monopodial	单轴的
antipathetic	嫌恶的
acardiac	无心畸形的
secundum	按照
angolan	安哥拉人
jacqueminot	一种红透的蔷薇
numbing	使失去感觉
motorbus	公共汽车
golly	呀!
blankness	空白
crocky	破旧的
euphonize	使声音悦耳
stereometry	求积法
downmost	最下面
deuteranomaly	绿色弱
boldface	黑体字
underground	地铁
oogonium	藏卵器
arbalist	劲弩
obscurantic	蒙昧主义的
shelter	掩体
aspherical	非球面
neoterism	新语
puny	微不足道的
rilievo	浮雕
chemigraphic	化学镌版术的
nameable	可命名
treasure	珍惜
blacktop	柏油路
boycott	联合抵制
dippy	脑筋不正常
puddingheaded	愚钝的
hypoacusis	听觉迟钝、减退
projectual	投射教材
irrelevantly	不合适地
duressor	强迫者
shoddy	赝品
pancuronium	巴夫龙
hexamethylenetetramine	四氮六甲圜
aesthete	审美家
erotogenic	性感应区
smart	敏捷的
radiochromatogram	`reIdIEJ9kJmEtE^rAm/
keystone	要旨
moulder	腐朽
iso	for
potiphar	波提乏
soberminded	持重
unrenewable	无法回收利用
putrid	非常讨厌的
indeliberate	未经考虑的
deportee	被判充军之人
chickenlivered	胆小的
dint	击出凹痕
pronominal	代名词性质
summarily	草率
seedbed	发源
vacuation	排空
malee	=mali
second	另一个
pompier	救火员用的
turkophil	偏爱土耳其风尚的人
masochism	受虐色情狂
browsability	索得率
foreman	领班
astronomer	天文学家
fille	少女
juvenal	雏鸟的
pedestrian	呆板的
inp	Prices
adventuress	女投机家
sensitive	感光的
unventilated	不通风的
novation	更新
settler	移民者
dextral	用右手的
coelome	体腔
benthamite	边沁学说者
intragroup	社会团体成员之间的
reciter	朗诵者
adoptive	采用的
ecliptic	黄道
preshrunk	加以防缩加工的的
autarchic	独裁
cosmopolitan	全球的
powerlifting	力量举重
winnow	精选
skittle	九柱游戏用的小柱
epyllion	短叙事诗
eclipse	蒙蔽
nonnutritive	与营养无关
gentlest	优雅的
chitlin	circuit
parmigiano	用帕尔马干酪调制的
bijugate	有二对小叶的
zoopathology	动物病理学
divisibility	可除尽
ittf	Tennis
sceptical	怀疑
uncorrupt	不腐败
pop	瞪大
unwarily	不注意
acusector	电针
limp	柔软的
palindrome	回文
nethermore	较低
eosinophil	嗜曙红
hesitantly	踌躇地
pipestem	烟筒杆
aliped	有翼肢的
seismogram	震动图
tributary	附庸国
sibling	同属
obdurately	顽固地
oktastylos	=octastylos
zonerefine	区域精炼
suffragist	主张扩大参政权
supposititious	私生
acknowiedged	被普遍认可
firer	发火器
unmirthful	严肃的
geomorphology	地形学
