disunionist	分离主义者
dlp	Digital
pericycle	中柱鞘
ductility	柔软性
unweeded	未除草
spotter	着弹点观察员
tromp	践踏
base	低级
hunkey	=hunky
toot	痛饮
manzanita	石兰科常绿灌木
iconology	肖像
bracket	支架
absolvent	赦免的
leaping	跳跃的
qwerty	与英文打字机键盘一样
scarabaeus	金龟子科
wctu	Christian
shudder	发抖
aeneid	埃涅伊德
successful	成功
ptolemaic	埃及的托勒密五朝
delicate	精密
simulfix	同存词缀
commensuration	同量
instant	立即
aiglet	带端的金属尖头
condition	社会地位
yarmouth	Yarmouth
nohow	绝不
fleeceable	易受欺诈的
wellingtonian	威灵顿的
bridewell	监牢
augmented	扩张的
fixing	调料
ornamental	装饰用的
musingly	冥想
noncandidate	非实际候选人
feudalistic	封建性的
gonimoblast	产孢丝
wicked	坏
staig	小马
wrinkly	中年人
minor	未成年
clean	清洁的
geoisotherm	=isogeotherm
uncalled	未经邀请
hyetal	雨的
vibration	颤动
electoral	选举
larine	鸥亚目
detail	细说
bewray	暴露
chalkstone	痛风石
linum	亚麻属植物
salvor	打捞人员
carryall	单马马车
cometary	彗星似
pretreatment	预处理
octavo	八开本
visa	签证
confidentiality	机密性
outspread	延伸的
mass	大规模的
achaean	亚该亚人
explanation	说明
rhizocarpous	多年生草本植物
uptown	在住宅区
truer	真
ingenerate	天生的
unwanted	有害的
unbelonging	不属于……的
murmur	咕哝
rampart	壁垒
redistrict	重新区分
secretarial	书记的
aphtha	口疮
acoustic	声学的
chemotherapeutant	`kemEJ9WerE`pics/`kemEJ9WerE`pjU:tEnt/
ametropia	屈光异常
contingently	偶发地
accelerated	加速的
aliquant	不能整除的
aauw	Women
megrim	沮丧
gun	加大油门快速前进
pectase	果胶酶
powwow	医师
cary	卡里
prankish	戏弄
nonfarm	与农场无关
exhaustible	被竭尽
barker	发出似狗吠的人
labialized	唇音化
gleety	后淋
proprietress	女所有人
autobahn	高速公路
fitfully	断断续续地
morat	桑椹酒
daily	日常
homicidal	杀人的
macbeth	麦克白
iamap	Association
effeminacy	娇气
knobbly	棘手
blindfold	盲目
gadgetize	以机械处理
strapper	彪形大汉
afire	燃烧着
gravity	地心引力
iodometry	碘定量法
disseisee	=disseizee
butcher	屠夫
herbescent	似草
bystander	旁观者
work	渐渐移动
fairyland	乐园
respectfully	尊敬
checkerwork	彩格花样
psychoactive	影响心理状态
lamblike	小羊似
isotactic	全规
supervisory	管理的
nondefense	非国防军用
supermassive	特大质量的
mana	威望
benzaldehyde	苯甲醛
goaltender	守门员
diazoamino	重氮氨基
underscrub	下木
solderable	可软焊
tutti	全体齐奏地
distillage	蒸馏而得之物
bicornuous	=bicorn
crownwork	人造齿冠
blusterous	狂吹的
forelady	女工头
looseleaf	活叶式
familiarity	亲密
kashmirian	克什米尔
innumeracy	科学盲
levogyrate	左旋的
unstrained	未过滤
antehall	前厅
short	不够的
electric	导电的
bearably	忍得住
intercurrent	中间发生的
rate	认为
multocular	多眼
fifteen	十五
illustrative	说明性的
cacodemon	恶魔
oceanarium	海洋水族馆
illusively	幻影
appulsively	趋向地
replenishment	补充
tilak	小红点
symantec	Cafe
dogfight	混战
goddaughter	名义上的女儿
automatous	自动的
canniness	机警
eupneic	呼吸正常的
pacifical	=pacific
facing	饰面
impuissance	无力
equivocally	可疑地
equal	合适
haloperidol	氟哌丁苯
illiquid	非现金的
overstrength	超额的
blivit	不必要的东西
amicron	次微粒
simuland	模拟对象
lumbricoid	蚯蚓状
make	被制造
hurley	爱尔兰棒球的球棒
physical	物理
flavobacterium	黄质菌属
escort	陪同
bream	打扫
restyle	改变……的风格
domical	圆屋顶的
dialectic	辩证的
nation	民族
pointy	非常尖的
vamp	拼凑
bestial	野兽的
eleaticism	埃里亚派
rigolette	羊毛头巾
ivr	Voice
swami	学者
aob	Business
throughly	彻底地
disemploy	解雇
apical	顶点的
universally	全体
overwhelm	淹没
approximatively	接近地
occasionalism	偶因论
acutance	锐度
aapss	and
hydrobromide	氢溴酸盐
voluminous	长篇
measuring	测量
ethnomusicological	/
inconscient	无意识
pinspotter	保龄球自动服务机
histrionic	戏剧
evanishment	消散
aacs	Air
bullate	起水泡的
miscount	计算错误
pietism	虔信派
laptop	膝上型电脑
spy	发现
currie	=curry
mdram	DRAM
alchemically	炼金术地
lingeringly	延迟
camenae	克米尼
fogy	守旧者
immitigable	不能缓和的
licensed	得到许可的
maquillage	化妆品
diplomatese	外交辞令
habituate	使熟习于
galago	丛猴
metaplasia	化生
ubangi	乌班吉
topline	背线
brokedealer	股票经纪人
exospheric	外大气层
pastorly	牧师的
tyke	小淘气
quadridentate	四齿
maidenish	处女的
quartziferous	石英质的
conjecturable	可推测
twitch	阵痛
meagerly	瘦地
disject	使裂开
fluid	流度
gen	情报
serotype	把……按血清型分类
originate	创办
revolutionology	革命研究
scamp	草率地做
contumacious	不听令
tho	可是
fated	命中注定的
himyaritic	希米亚里特人
portcrayon	蜡笔夹
nonbook	无真实价值的书
childproof	不会被孩童弄坏的
dosimeter	放射量测定器
homogamous	同子生殖
dominoes	多米诺
dishearten	使……气馁
yank	拽
suprathreshold	阈上的
remissible	可赦免
seine	拖拉大围网
bulk	大小
labouring	劳动
haematocyte	血细胞
week	周
papule	长疮
zpg	Growth
steelworks	钢厂
multicylinder	多汽缸
inductee	就任者
print	用印刷体写
somnambulant	梦游
sinological	汉学的
unorganized	无组织
mushily	糊状地
nagged	被激怒的
valuer	评价者
phentolamine	芬妥胺
legibility	易读性
scalder	汤洗工
epizootic	流行于家畜
bocce	=boccie
gamopetalous	花瓣相连的
alcyonarian	珊瑚类
apropos	恰好
crossbearer	十字杖捧持者
intrados	穹隆之内面
subalpine	亚高山带的
zinciferous	含锌的
corruptly	腐败地
knavishly	不正地
remote	遥远的
gassy	气体
secretively	隐匿地
atomy	尘埃
paper	象纸
recross	再越过
impressively	令人难忘
nodular	小结的
dragon	凶暴的人
sennight	七昼夜
eclecticism	折衷主义的运动
witch	迷人的女子
hapteron	附著器
hairweaving	假发编入
deck	打扮
piratic	剽窃的
ethnic	异教徒
lattermost	最后的
plaintful	哀诉
uniovular	单卵
nautical	海上的
leachable	可滤取的
moustachio	髭
rubdown	磨光
whistleable	可用口哨吹
muntz	蒙知合金
flesh	使肥
calyciform	萼状
inflectional	抑扬的
basilary	=basilar
funeral	出殡
egg	卵
excitonics	激子学
unworldly	对钱财不感兴趣的
aftertaste	回味
catechol	儿茶酚
martialize	使变得勇敢
ourn	pro
accretion	增长
subcrustal	路面底层
relative	比较而言
amyotonia	肌弛缓
toilet	盥洗室
tractive	牵引的
associability	可联想性
sulfurous	含有硫磺的
phenethicillin	苯氧乙基青霉素
antonym	反义词
rongalite	保险粉
songbird	鸣鸟
arrogantly	傲慢地
vertical	头顶的
domelike	穹顶状的
trowelman	使用镘刀的工人
scenic	舞台
incontinence	不能自制
secession	脱离
unformed	无定型
crushmark	汽车车窗玻璃上的裂痕
annihilationism	灵魂毁灭说
centreless	无中心的
unskillful	不灵巧
yarke	狐尾猴
effect	效果
coaming	边材
araeosystyle	对柱式
fade	乏味
indiscutable	=indiscussible
dottle	残烟丝
nara	奈良
tinnery	锡矿山
anecdote	奇闻
congenial	适意的
mongoose	猫鼬
handlebar	八字胡
vsam	Access
adapt	改编
sprightly	轻快的
pert	Technic
linen	亚麻
en	半方
field	暴晒于场上
unable	不能
minimap	小地图
pseudopod	伪足
saturated	渗透的
run	竞选
axletree	轴承
ellsworth	Land
anorthite	钙长石
antithetic	正相反
aero	航空
multiplex	多元
wardress	女典狱官
circumcolumnar	绕着圆柱
suitability	适当
subhepatic	肝下的
pietistic	虔诚
featured	有……的面貌特征
fleshy	肉体
rebaptism	再洗礼
concoction	混合
pawk	诡计
advantage	优势
jocosely	说玩笑
interknit	互相联系
urgent	急迫的
dominus	上帝
transtage	变轨级
cuprous	一价铜的
cry	流泪
hitherto	至今
seajack	海轮的劫持
illicitly	不正地
weighty	重
deoxidize	除氧
att	美国电话电报公司
mischoose	误择
duchy	公国
quintic	五次的
kilimanjaro	乞力马扎罗山
solemnness	认真
enlightenment	启迪
rebate	回扣
resolvent	使分解
phillips	=Phillips
intercut	作镜头交切
slovenry	邋遢
richly	富饶地
zairese	=Zairean
fulgurous	闪光
argumental	好争辩
youngling	年轻的
yellowthroat	黄喉地莺
isotropic	等方性
easygoing	逍遥自在
longtime	为时甚久
expurgate	删除
diffractometer	衍射计
bovine	似牛
tubercula	tuberculum
raven	大乌鸦
slump	跌落
wally	好的
screwhead	螺钉头
anthropomorphosis	人形化
puny	小
triliteral	三字母的
spicy	辛辣
unaccounted	未说明
louisiana	路易斯安那
chivalrous	侠义的
unforensic	非法庭
phthisic	肺结核
subclavian	锁骨下神经
cotyle	髋臼
semen	精子
noxious	有害的
spy	秘密侦察他人行动者
nonassessable	除缴投资额外免除任何费用或责任
symbolistic	象征主义的
flyby	飞机或太空飞船的越过定点
excite	使兴奋
adopt	采用
veblenian	信奉维布伦学说的人
penal	刑事的
triphibian	空三军指挥作战官
zoologic	关于动物
balzacian	巴尔扎克风格的
manna	天赐
brickie	砖瓦匠
areole	=areola
thirstily	如饥似渴地
usmcr	Marine
tidily	整洁
intersex	兼具两性特征者
prefab	活动房屋
luxuriate	沉溺
bulbiform	球状
draft	起草
kaffeeklatsch	咖啡会
embayment	港湾形成的
isogeneic	同系的
enisle	置于岛上
environal	=environmental
glume	颖苞
mmx	Extensions
cacodylic	四甲二砷
enisle	使孤立
mortify	克服
topcoat	夹大衣
calypso	特立尼达岛上土人所演唱之歌曲
zoochore	由动物做传粉媒介的植物
mount	爬上
ulterior	较远
tabnab	小圆面包
doomwatcher	末日论者
defend	辩护
casteless	没有社会阶级
criminal	犯法
ukaea	Atomic
princox	纨袴子弟
surprised	感到惊讶
external	外部的
tunisian	突尼斯人
taphole	塞孔
snapshot	快照
snuggle	偎依
bloomy	多花
crank	易怒的
inventroy	存货清单
for	对于
esthete	美学家
meretricious	娼妓的
vfat	File
tzaritza	=czaritza
helpmate	配偶
average	使平衡
merchandize	=merchandise
canulate	中空
installation	安装
dentulous	齿状
rupee	一卢比银币
clactonian	旧石器时代文化的
astrictive	使收缩
crenulate	细圆齿状
planetarium	天文馆
moxibustion	灸术
brisk	使活泼
zener	breakdown齐纳击穿
astutely	伶俐
stationer	文具商
cosmological	宇宙哲学的
lamprophony	声音的响亮和清晰
ptah	卜塔
skyrocket	流星焰火
difference	差动的
bioautography	生物自显影法
alt	高音
upside	上部
widest	宽的
tache	色彩
waggish	滑稽
pelagic	浮游
scratch	擦伤
trilemma	三难选择的窘境
somatotype	按体型分类
thenar	手掌的
generic	非特殊的
tractably	驯良地
facp	of
romanaccio	罗马话
lally	拉莱柱
downstage	向舞台前方
biquadratic	四乘幂
gruesomely	可怖
liveried	穿规定服装的
stearic	似硬脂
loessial	黄土
consequence	重要的地位
yttrium	钇
endogamy	同系配合
divider	园规
extrasystolic	期外收缩
scoundrel	卑鄙
sunflower	向日葵
communique	官报
workmanlike	技巧精湛
gyrostabilizer	回转稳定器
affected	受侵袭的
neutercane	中性热带气旋
crookneck	一种颈长而弯曲的南瓜
tightwire	钢索
digestion	领悟
gozitan	戈佐岛的
rougeetnoir	纸牌赌博之一种
transplanter	移植机
glomeration	球状化
penicillium	青霉菌
americanize	使美国化
tacitean	似塔西佗文风
unshapely	丑怪的
cymar	女便袍
anchoress	女隐士
assuredness	自信
hypersexual	纵欲的
jollily	愉快地
compellent	令人信服
mage	博学者
diphthongia	=diplophonia
stateside	美国本土的
gamesman	以诈术取胜的人
psychotoxic	能引起精神病的
solvent	溶剂
pulverous	粉状的
broadside	较宽的一面
flexitime	弹性上班制
constabulary	警察的
bullbat	夜鹰
komiteh	伊朗革命委员会
tertial	第三列
blackdamp	窒息瓦斯
messianism	救主即将降临之信仰
quirkish	含糊其辞
barbarity	残暴的行为
unguarded	没有防备的
etherialize	=etherealize
subovate	近似卵圆形的
unpresented	未呈递
demount	卸下
accepter	承诺人
arabia	阿拉伯半岛
coincidental	一致
unlawfully	非法地
spheric	球状的
pulut	糯米
oxygenate	以氧处理
taking	吸引人
webwheel	板轮
suppose	料想
aerobiologic	大气生物学的
hairsbreadth	极狭
roam	漫步
chartula	包药粉的纸
call	称呼
quantometer	红外光电栅摄谱仪
woosh	=whoosh
transcutaneous	由皮
demipique	低鞍头战鞍
lobulate	分成小裂片
ordinant	指示
raucously	粗声
culminating	到绝顶
chapfallen	沮丧的
cauterant	灼烧的
ambilingnal	精通两国语言的
subaltern	副的
contrastimulant	亢奋剂
algophobia	疼痛恐怖
hearty	精神饱满的
orthodox	习惯
undress	脱衣服
noctambulism	梦游病
blatantly	喧闹地
inbred	天生的
viviparous	母体发芽的
floral	植物群的
temerarious	不顾一切
inconsolably	无法安慰
irreciprocal	非交互
minitype	小型
coowner	共同所有者
jonah	带来不幸
stp	屏蔽双绞线
extrovertish	如外向者的
submarine	海底的
achromatic	消色差
nomenclaturist	学名命名人
ferdinand	男子名
parricide	杀长辈
ever	不断地
liner	衬垫
painstaking	辛勤的
ex	不包括
adenocarcinoma	腺癌
sprout	萌芽
extracanonical	经典以外
univalent	单价染色体
activise	使活动
epical	叙事诗的
birdfarm	航空母舰
priss	娇气的人
keister	手提皮箱
photochronograph	照相录秒器
fog	使困惑
freshness	精神饱满地
undersexed	性能力弱的
steno	速记法
ethyl	乙荃
dsn	Souce
rage	愤怒
explicans	术语或陈述的意义
diabolo	响铃
shampoo	洗发
plane	平的
uncalled	未经请求
quencher	骤冷
frequenter	常常来访者
goldberg	犹太老板
dynamoelectric	发电
redescribe	重新描述
tapestried	饰挂绣帷
mucedinous	霉
letup	松懈
inconsiderable	不足取
profoundly	衷心
intercity	城市间
layoff	活动停止期间
spizzerinctum	劲头
virulent	剧毒的
millicurie	毫居里
psalm	圣歌
orthotropism	直生性
frank	老实
furtively	偷偷地
pyrolyse	=pyrolyze
psilocybin	采自墨西哥蘑菇的一种迷幻药
gumwood	产胶树之木材
cloze	填充测验法
set	放
ultrashort	极短的
willing	心甘情愿的
vigesimal	第二十的
unitive	统一
reexplore	重新勘查
complexometry	配位滴定法
oscinine	鸣禽类
bengali	孟加拉人的
disembargo	解除禁运
disrepair	荒废
lavish	滥用
overbrilliant	过于华丽
synchronise	=synchronize
justly	应得
entertaining	招待
sialic	富硅铝的
harvest	收获
napalm	用凝固汽油炸
lankly	瘦
embalm	施以防腐剂
ulf	Frequency
timidly	羞怯
fold	调入
moiety	二分之一
unfixed	不固定
astrometry	天体测定
ancestry	血统
moro	摩洛语
usom	Operations
pinbone	髋骨
machicoulis	堞眼
javari	查瓦利河
endosteal	骨内膜
pigboat	潜水艇
dayfly	蜉蝣
enormity	极恶
hallucinosis	幻觉性精神病
dynamic	动力的
cleansing	清洁
depressor	压板
autoist	开汽车的人
introvert	格性内向的人
landslip	崩塌
thumbkins	拇指夹
adapter	改编者
ravc	Army
duodecimal	十二进制
deprecatory	反对的
walker	常散步的人
carbonylic	碳酰基的
erogenous	唤起情欲
tiptop	极好
swagger	漂亮
metempsychosis	灵魂转世
lebanese	黎巴嫩的
previous	在前的
still	寂静
roc	巨鸟
carefree	不负责的
torso	残缺不全的东西
pediment	三角墙
necrotic	骨疽
sikkim	锡金
intramarginal	页边内
libration	振动
iterate	重申
outdare	较……更大胆
babyhouse	儿童游戏室
feverish	热病的
salivant	催涎
cryosorption	冷凝吸附
favose	形似蜂巢的
fibrous	纤维性的
correct	纠正
substitution	代替
jolliness	愉快
apparition	幻影
diagonal	斜纹织物
prosecute	从事
orchidaceous	兰科的
heedless	不注意的
skylit	skylight的过去式和过去分词
select	精选
sextette	六重奏曲
prix	奖金
carsey	=carzey
wacke	玄武土
stellated	星形
offhandedly	立即
amphimictic	杂交繁育的
engagement	婚约
bugbear	怪物
belgic	荷兰或比利时的
pod	扁豆层
suppliance	哀求
redactor	校订者
kuznetsk	库兹涅茨煤田
elastivity	倒介电常数
ultrabasic	超碱的
latter	近来
recommission	重新委任
surrender	自首
skoal	祝您健康!
flatette	小公寓
word	消息
hushpuppy	南部乡下的
peepul	=pipal
yate	各种桉树
unexaggerated	不言过其实的
worthily	正当地
hypophloeodal	生成长在树皮下
wardship	保护
listenability	值得一听
past	pass的过去分词
iroquois	易洛魁族人
distinct	明显的
develop	发扬
philippi	腓力比
hunks	性情乖僻之人
crassamentum	半凝之血
tenseless	没有时
wort	植物
cameralism	重商主义的经济或财政
runt	发育不全的矮小动物
inflexible	不屈
highflying	高飞
amatory	恋爱的
loner	不合群的动物
nitriding	渗氮
colleague	同僚
extortive	勒索
alsoran	落选者
piratic	盗版
enormity	巨大
splice	接合
antechamber	接待室
strain	紧张
booby	傻瓜
reassociate	再聚集
solecistic	失礼
gimpy	跛
gerent	统治者
nice	拘泥的
olingo	尖吻浣熊
vbscript	Basic
hateable	可憎
triboelectric	摩擦电
flatways	平面朝上
mount	上演
cover	铺
unwatered	已排水的
kansan	堪萨斯州的
rollicksome	嬉戏耍闹作乐的
friskful	活泼
thermophil	适温
interferometric	干涉测量
refractory	难熔的
surgical	外科
reconstituted	再生
araliaceous	五加科的
elfin	小妖精
kingship	君主的身份和尊严
aru	美国铁路工会
manual	指南
underabundant	不够富裕
deprecatory	恳求的
telemetry	遥感勘测
clabber	凝结的酸牛奶
banteringly	戏谑地
falcial	镍
typhogenic	引起伤寒
cytotaxonomy	细胞分类学
methodic	有组织的
umbilic	中心
sultrily	闷热
dihybrid	双因子杂种
verbatim	逐字的
coelom	体腔
bla	文学士
vibratiuncle	小抖动
insphere	=ensphere
eldo	Organization
preventive	预防性
whop	打
philobiblic	爱书
papillose	有小乳头突起
unlikeness	不相等
bedabble	泼脏
colander	滤器
slogger	乱打者
boatable	小船可通行
norse	挪威人
understand	推定
vaccinal	疫苗的
univac	Computer
cubicle	小卧室
porky	猪肉的
macronucleus	大核
artefact	人工品
shrunken	shrink的过去分词
economic	经济学
salmo	斑鳟属
secund	偏向一方
swabber	卑鄙的人
kindle	发亮
arrect	倾耳注意
unversed	无经验的
alveoloplasty	牙槽成形术
monocracy	独裁政治
peg	栓
someways	以某种方法
proof	防……的
phonemicize	用音位符号表示
depressed	沮丧的
smacker	一块钱
hiddenite	希登石
cereal	谷类
touchable	可食用
stimulus	刺激物
countershock	对抗电震
sondage	试掘深沟
personalism	人格主义
clearer	更清楚的
dirigible	可驾驶的
radiophysics	放射物理学
woodhouse	木料间
divider	分割者
fatuous	愚昧
increscence	盈
oversea	外国
lecherous	淫荡的
gerrymander	欺骗
aggression	侵略
ivb	benefit
shrubbery	灌木林
waterline	吃水线
carnarvon	=Caernarvon
summable	可和
convincingly	信服地
vehement	激烈
haematopoietic	生血的
digenetic	复殖的
alluvion	冲积地
frizzle	卷曲
cymbalom	=cimbalom
cunt	女性之阴部
palish	稍微苍白
decastyle	十柱式的
restorative	滋补剂
anxiety	热望
framboesia	印度痘
rid	使摆脱
point	指
domesticity	对家庭的挚爱
byronic	拜伦
stayer	滞留者
jeepload	吉普车所能装的数量
clear	清晰的
yenangyaung	仁安羌
exudate	分泌液
slobbery	过于伤感的
arrestive	引人注意的
equilibratory	产生平衡的
pyrostat	自动报警装置
workmanlike	技巧熟练
foundation	根本
rehabilitative	使复原的
hopbind	忽布的缠绕茎
infinite	无穷的
unacquirable	不可取得的
broad	宽的
reboot	重新启动
softly	柔软地
animosity	仇恨
usurp	侵占
skybridge	=skywalk
inextricable	解不开的
saturated	深颜色
fluidonics	射流学
mythoi	的复数
nychthemeral	随昼夜差异而变化的
houseroom	放东西的地方
caustic	刻薄的
eon	永世
thundering	非常的极大
documentarily	在文书上
incurability	不能医治
seminomata	seminoma的复数
gynaecologist	妇科学家
nupe	Employees全国公务员联合会
kineticism	动态艺术
coquina	软质石灰石的一种
momentous	重要
sapful	多液汁
carpaccio	白汁红肉
forgery	伪造
garcon	男雇员
accentual	有抑扬
kolinsky	西伯利亚貂
levanter	躲债人
wholesale	大规模的
mideast	East
plinth	柱基
corny	乡下味的
heliogram	反光信号
afdc	with
orchectomy	=orchiectomy
pa	Paname
unwarned	未被告诫的
tar	一种压缩文件的扩展名
eyeshot	视界
jurassic	侏罗系
supranational	超国家
crossly	故意为难地
whine	发呜呜声
jdisplay	型显示
starchy	含淀粉的
decalogue	摩西的十诫
lory	一种羽毛美丽的鹦鹉
conversant	熟悉的
unifilar	单线组成的
buckingham	=Buckinghamshire
eldest	最年长
bms	超黑矩阵屏幕
suprapersonal	超个人的
demist	为……除雾
borscht	=borsch
early	早的
foolproof	十分安全的
elocutionist	朗诵者
pyrheliometer	太阳热量计
naturopathic	自然疗法
narcoma	麻醉性昏睡
alt	高音的
cactaceous	仙人掌科的
permissible	可容许程度
outguard	警戒哨
carneous	似肉的
codex	药典
jay	傻瓜
doughty	刚强
unright	不公
landtrost	=landdrost
marriageable	达到结婚年龄
effervesce	泡腾
heeled	带手枪
druther	宁愿
hindustani	印度斯坦人
unexploded	未发射
factorial	因子
firethorn	火棘
volant	迅速
leachable	可滤去
nephron	肾单位
mhc	complex
facta	呈文
oesophageal	食管
unpaying	不付款
microhabitat	=microenvironment
tweedy	爱穿粗花呢服装的
arbitrage	仲裁
irreformable	难以纠正
planter	种植园主
dulcin	甘素
truncheon	权杖
moil	作苦工
knobstick	在罢工期间上工的工人
refreshant	提神物
repellent	排斥
morigeration	卑从
microweld	微型焊接
venoconstriction	静脉缩窄
prelude	前奏
unshed	未流出的
bbb	附早餐与浴室之旅馆
shirttail	衬衣下摆
largo	宽广
armrest	靠手
acrylic	丙烯酸
firefang	受热变质
mediaperson	记者
macular	有污点
hotspur	卑鄙的人
sanguine	乐天的
biohazard	生物危害
rooster	雄禽
nga	Graphical
tempt	吸引
catalytic	接触反应的
exeat	缺席许可
scurfy	皮屑的
channels	通路
oneiric	梦
sandron	桑德伦
drinking	喝酒
facemaking	扮鬼脸
cutdown	删减的
northwesternmost	极西北
fortunehunting	靠婚姻发财的人
novennial	每九年的
neuropteran	脉翅目的
hoarfrost	白霜
scape	花茎
naissance	诞生
jo	情人
provoking	激怒的
smoothness	平滑
undistributed	未分配的
vraisemblance	似真实
sneak	帆布胶底运动鞋
outcaste	被剥夺种姓者
bardling	青年吟游诗人
syllogistically	三段论法式
settecento	18世纪
predomination	卓越
nurture	教养
magma	稀糊
tapestry	挂毯
hartree	哈特里
enterprise	事业心
ochreous	含赭石的
goofy	傻瓜
debilitated	疲惫不堪的
tiddled	微醉的
schoolgirl	女生
hyposulphurous	连二亚硫酸的
apterygial	无翼的
eikon	圣像
pulsant	脉动
glaswegian	Glasgow
companionably	适合做朋友
methodic	有条理的
synjet	合成喷气燃料
sameness	千篇一律
machiavellian	权谋术
challenger	挑战者
psychodynamic	心理动力
wftu	世界劳工组织
famous	令人满意
velveret	印花棉绒
minicom	小型计算机
disenroll	开除
gardenly	如花园
squirrely	疯狂
peak	缩小
delphian	意义不明确
tavr	Army
altigraph	有自动记录仪的高度测量器
cantala	肯太拉麻
downy	绒毛的
cyborg	电子人
dicty	富裕的
archicerebrum	原脑
burp	打饱嗝
imbed	埋入
cockily	自高自大地
rack	放在架上
infuscate	略带褐色的
snitch	告密者
unnecessarily	不必要地
dobsonfly	蛇蜻蜓
invite	引起
ghastfulness	可怕
division	分配
loverboy	美男子
lathering	怒骂
unventilated	空气不流畅
cloyless	不会使人感到腻烦的
stuff	素材资料
loadstar	指示方向之星
cadetcy	军校学员的地位
matrilateral	母亲一方
centroplast	中心质体
subjacent	在底下
aberration	失常
papyraceous	纸状
chard	可供食用之甜菜
iridous	三价铱
rough	粗糙的
short	松脆
design	企图
phalanx	指骨
cycle	使循环
marginalize	忽视
sas	Air
icj	of
bucketeer	欺骗主顾的股票经纪人
chibcha	奇布查族
galliard	活泼愉快
razon	拉松式制导炸弹
steward	干事
spiroplasma	螺原体
practically	在实践上
livid	青紫色的
dare	敢冒
uncatchable	无法捉住的
ratify	认可
curtness	简略
reaction	反作用
furcation	分叉
feod	封
amerce	罚款
trinket	密谋
bluing	靛青漂白粉
subsidize	资助
ponderance	重量
worcestershire	伍斯特郡
antics	古怪的姿态
scua	Users''
poise	使悬着
atelic	未完成
audiometric	测听术
holohedral	全面的
ascertain	确定
ungodly	不虔诚的
cogently	中肯地
available	有空的
carnify	变成肉质
hyperkeratosis	角化过度
mask	面具
confectionery	糖果
ichthyologist	鱼类研究者
syringa	山梅花属的植物
omnitude	无所不包
oxtail	牛尾
udometric	雨量计的
barbellate	表皮有钩形短刺的
filer	文件编档员
inkblot	墨水斑点
distinguish	辨别
delint	将纤维从棉花籽除去
gotham	纽约市的别名
joyful	令人欢欣的
liquidly	清脆地
join	连接
ticket	票
articulator	接骨的人
bayrut	=Beirut
isaias	=Isaiah
overroof	给……装顶盖
reglet	木嵌条
physiognomonic	/
involuntarily	不知不觉
leadenhearted	铁石心肠的
pasture	牧等
extern	外
unparallel	不平行
shaman	僧人或巫师
flashily	灿烂
oxytocic	阵痛促进
legendary	传说中的
overdare	使灰心
piquant	兴奋
savvy	机智
vitality	生动性
unguardedly	不留神
hansom	一马二轮之有盖双座小马车
xhosa	科萨人
coenocytic	多核体的
geoeconomics	地理经济学
powder	使成粉末
grano	人造石铺面
chamomile	黄春菊
panavision	宽银幕电影
outgeneral	用优越的战术打仗
transpire	得知
kept	受人资助控制
lenticulated	小扁豆状
