colophony	松香
cryoprobe	冷冻探针
dried	dry
contravention	违背
warszawa	=Warsaw
fudge	胡说八道!
yakka	沉重的活计
chebec	=least
magnify	有放大能力
foe	反对者
sas	Service
netiquette	网络礼节
postulate	假定
unsmart	不聪明的
alarming	使人惊动的
convenient	方便的
rigidness	劲直
celery	旱芹
neutral	不确定
nonenzymic	不涉及酶作用
substitutional	代理
ipm	inches
plantaginaceous	车前科
mithraic	崇拜密特拉神
mechanochemistry	机械化学现象
prohibitory	很昂贵的
semicontinuous	断断续续
proof	不能透入的
salivation	流涎症
encephaloid	脑样
surrenderor	让与者
homoeothermic	恒温的
scalar	标量的
brumaire	雾月
cnaa	National
beneficial	有益
space	余地
contumely	无礼
skip	遗漏
dawk	邮政
sinistral	左旋的
spadices	的复数
banister	楼梯的扶栏
slavikite	菱镁铁矾
poseuse	装腔作势的女人
trainable	可训练的
counterweigh	使平衡
think	认为
asarh	印度历的4月
classy	漂亮
sashless	无窗框的
thermel	热电温度计
immigrant	移来
frutescose	灌木
yangtse	长江
massy	厚重
primely	最初
tartarian	鞑靼
trend	伸向
avulsion	扯开
incorrect	不正确的
technocomplex	工艺文化丛
escharotic	生焦痂性
sound	彻底地
hartbeest	麋羊
orally	口头上地
hdcd	High
fleshy	肉的
crotchet	怪想
unmarriageable	不适于结婚
denuclearize	撤除核武器
interfacial	界面
reflex	反作用
voe	小海湾
pizazzy	潇洒的
silvicolous	居住在森林中
sql	Query
inappositely	不贴切的
outbound	开往外国的
hypogenous	在下着生
suspensibility	可悬挂
anticrop	破坏作物
refusal	拒绝
tubbish	桶状的
amygdalaceous	蔷薇科李属植物
ultracytochemistry	超显微生物化学
haemolyze	发生溶血
conversable	谈得来
secondhand	旧
beethovenian	贝多芬音乐作品的
rickety	摇摆
osp	Processor
unsleeping	警觉
inquiet	焦急
depository	存放处
attenuator	衰减器
remittor	汇款人
stream	川
sciuroid	松鼠的
mistiness	不清楚
anthrosphere	人类生命层
ochlocratic	暴民统治
ironhanded	铁腕的
gridding	网格
rfz	加强
pyramidwise	成角锥形
cardiac	强胃剂
ball	尽情地玩
moonlight	月夜的
contaminator	污染物
cartographer	地图制作者
hid	家庭信息显示器
eleoptene	挥发油精
exodontist	拔牙专家
unwound	未卷绕的
apple	苹果
voluminousness	广博
barytone	男中音歌者
ameer	埃米尔
biogeocenose	生态系统
bronchia	支气管
defend	作……的辩护律师
defier	对抗者
counterfort	突击处
frenzy	狂暴
adaptor	编剧者
ripe	时机成熟
verdant	生疏
liquidambar	胶皮糖香树
illicitly	不正
ravine	峡谷
jazzily	奔放地
bittersweet	苦乐参半的
homonymous	双关
chairman	主席
viet	越南
ring	响
simulacre	=simulacrum
encephalomyelitis	脑脊髓炎
mirthless	忧郁
petiolate	有柄的
dynamograph	动力描记器
pursuable	可追赶的
deckle	定纸框
divisive	不和的
barge	驳船
inhomogenous	不均一
violet	紫罗兰色的
hili	hilus
inertialess	无惯性的
lubricity	狡猾
advice	通知
planify	编制……的计划
multicell	多单元
delible	可抹掉的
dantean	但丁的
nominatum	指称
greatest	最伟大的
pinecone	松果
umbones	umbo的复数形式
cursive	连接的
indestructibility	不灭
natheless	虽然如此
mshe	in
work	手工
atmospherically	气压所致地
quadricentennial	400岁的
tolerance	公差
concupiscent	贪欲的
barbola	堆绣
capsular	蒴状的
rachilla	小花轴
marijuana	大麻
autoeroticism	自体性行为
denudation	剥下
algebrist	代数学家
deperm	使消磁
cystocarp	藻实
remarkably	非常
skin	皮肤
wane	月亏期
similitude	外表
daf	of
tease	逗恼
rhizomorphous	根状
article	论文
clipper	大剪刀
explicitly	明确地
reproachable	应责备
contortion	扭歪
passimeter	栅门
unquestionable	毫无疑问
emiocytosis	排出
phobic	病态性恐惧的
capot	全胜
lightly	轻轻
treat	协商
sacculate	袋状的
recommendable	可取
summing	做加法的
discourteous	失礼
menses	月经来潮
evenminded	镇定的
waxy	柔软的
unkennel	揭露
arm	装备
chapman	小贩
table	工作台
soulful	高尚的
disimprove	使变得更坏
hogger	木材切碎机
canalside	在运河边上
reference	参考书目
diabase	辉绿岩
vainness	无益
notional	概念的
lienteric	不消化性腹泻
microclimatology	微气象学
preproinsulin	前胰岛素原
multivalent	多化合价的
heterophony	衬腔式复调音乐
depredation	掠夺
babbler	胡说之人
europeanize	使具有欧洲风格
optical	视力
unimpressible	不可印的
famous	极好的
cussed	固执
ferule	教鞭
whichever	无论那一个
charitably	慈善
cabal	阴谋
overfeed	吃得太多
googolplex	古戈尔普勒克斯
fringlish	夹杂法语的英语
tawdry	非常华丽的
moggy	小牛
feat	武艺
easiest	容易
plump	使发胖坠落
supercolossal	巨大
overlight	使受强光照明
pushful	有精力的
bouncing	跳跃的
patina	绿锈
innervation	神经分布
insoluble	不能解决的
heathbird	黑琴鸡
argental	银的
escheat	归还
arrhythmia	心律失常
louche	品德有问题
perfunctory	马马虎虎
secretory	能分泌
bait	欺负
beltline	腰围
hurrier	催促者
overplaid	套格子花纹
velocipede	早期的脚踏两轮车
daintily	优美
borrow	借入
rape	掠夺
minicam	=miniature
fixer	固定器
guide	任向导
vermes	的复数
avariciously	贪婪地
turbulency	狂暴
repressive	压制
sabaism	拜星教
capercaillie	北欧产雷鸟之一种
baume	波美比浮计
preclusion	排除
antalkaline	抗碱的
dramatize	编写剧本
adverb	副词
infuse	浸渍
baptise	洗涤
straightaway	陆路上的直段
israelitish	希伯来人的
disfigure	损伤外貌
gaga	非常起劲的
redispose	重新布署
checkerbloom	野蜀葵北美紫花锦葵
fatiguesome	累人的
ferriferous	含有三价铁的
nauseant	引起呕吐
aicpa	of
misconduct	干坏事
cornish	康沃尔郡
velamen	根被
norward	向北
gilding	镀金
thornlike	象刺一样的
antinational	反国家的
quantometer	光量计
decamp	逃走
fatness	肥胖
presumptive	假定
prognathism	凸颌
subnormal	低于正常的
poker	戳的人
hopefully	有前途地
congruous	符合的
sapient	伶俐的
psalmodist	赞美诗作者
citadel	根据
psammophilous	适沙生物的
blower	吹制工
tenderly	体贴地
lively	活跃
lapidescent	石头似的
tentaculiform	触手状的
sternpost	艉柱
antsy	热锅上的蚂蚁般
grandfatherly	慈祥的
hornful	一角制杯的量
taxpayer	纳税人
atticism	雅典语法
trigger	触发
hoopoe	戴胜鸟
buster	小家伙
kilomega	千兆
platinotype	白金照相术
buyable	可买
bumpety	砰
unpaired	无对手
superior	长者
fade	凋谢
abaca	麻蕉
surgeon	外科医生
pressure	压
beztine	=bez
base	底部
desideratum	所愿望之物
cryogenic	低温学
maguey	龙舌兰
indefatigability	不屈不挠
nonsignificant	无意义
face	朝
criticise	吹毛求疵
mild	不含有害物质
militarize	军事化
renavigation	再导航
promoter	促进者
downbeat	强拍
underside	下面
argent	银色
lambda	希腊字母的第
hexachlorobenzene	六氯苯
vestiary	服装
gobble	贪食
semifitted	半紧身的
clothbound	布面精装的
supervene	接着发生
sartorite	脆硫砷铅矿
stratus	层云
eject	撵出
hamadryas	狒狒
ironmould	铁锈迹
cuddlesome	适于拥抱
traipse	漫步
homozygote	同质接合体
coition	性交
dank	潮湿的
cygnus	天鹅座
befell	降临
unreconstructible	不能重建的
cove	成拱形
explore	探测
ignoble	不光彩的
positive	原级
turgid	肿
station	位置
agendum	议程
belowstairs	在楼下的
precocity	早熟
hardcase	倍受艰苦锻炼的
regular	常备军的
fatigue	杂役
redistribute	重新分布
indubitability	明确无疑
watchmaker	钟表匠
elfish	如小精灵
vis	活力
logan	摇石
worktable	工作台
competently	胜任
noctiflorous	夜间开花
mentality	思想情况
term	期限
existence	生活
jarovization	春化作用
lumine	照亮
semirural	半农村
operational	运作的
waxy	柔软
broch	史前圆形石塔
aciculate	粗面
dumbstruck	被吓得目瞪口呆
carbonicacid	gas碳酸气
soberminded	严肃的
msa	of
tassel	穗
somnambulism	梦游病
ere	前于……
photocompose	照相排
baptism	浸洗
onlend	转贷
syllogism	推论法
indeliberately	无心地
gradual	逐步的
trental	30天追思弥撒
mats	Air
tacitly	沉默
rainbird	雨信鸟
assimilation	消化
unhallow	污渎
implausibility	难信
mor	粗腐殖质
newsheet	单张报纸
flycatcher	蝇虎
cyclostomate	圆口动物的
pachydermatous	厚皮类动物
zeroth	零
inoculation	接插芽
bestially	残忍
antismog	防烟雾污染
forelimb	前肢
reproacher	责难者
mlw	low
immalleable	非柔顺
reddish	微红
by	白俄罗斯
barbara	芭芭拉
sanitation	卫生设施
exceptionable	可反对
uncontainable	难以克制的
tinkly	叮当响的
punk	无用的
wysbygi	Before
portulacaceous	马齿苋属植物的
affective	情感的
kinaesthesia	运动感觉
pillowy	柔软的
parulis	龈脓肿
constringency	收缩
neoantigen	新抗原
killing	赚得的一笔大钱
rook	赌棍
febrific	产热
definite	明确的
enfranchise	给予自治权
plaint	感叹
blowmobile	雪撬
preelection	选举前的
shiftless	偷懒
falseness	不忠实
soilborne	土壤带有的
prebiotic	生命起源以前的
yalung	雅龙江
upbind	系
slim	不足取
inure	使习惯
dekastere	十立方公尺
horseshoe	装蹄铁于
sophisticator	搀假者
communize	使为社会公有
certain	无疑
wushu	武术
sweepstakes	独得的赌金
advanced	年老的
trifurcate	三叉
fissility	可裂变性
prepotent	优势的
panelling	格子
smarmy	令人厌烦的
fripper	买卖旧衣者
acrid	辛辣的
mhw	平均高水位
apb	全境通告
preharvest	收获前
practicing	在工作
epigram	讽刺短诗
heronry	苍鹭抱蛋处
riproaring	喧嚣的
uninhabited	杳无人迹
cistern	水塔
maturity	成熟
yarn	故事
exegete	评注家
wpm	字[分
afterschool	课外
tragical	悲剧的
flinders	破片
unimplemented	未执行的
stockade	栅栏
seepage	渗流
ditch	壕沟
gusset	接以三角片
guesswork	凭猜测所作之工作
mirthless	不快乐的
unexaminable	无法测定的
refrigerate	使冷却
advance	预付
vertical	垂直
bid	出价
dissentious	争吵
silvical	森林学的
slubbing	头道粗纱
guatemala	危地马拉
abrim	充满着
bunko	诈骗的输赢
ceraunograph	雷电计
uncaused	自存的
plunder	抢劫
scurrilously	粗野无礼
metrological	度量衡学的
ssfdc	固态软盘卡
con	反对论
fibroblast	纤维原细胞
hydration	水合
snooper	刺探者
qualification	限定
rabbiteye	越橘
tumid	肿大的
opendoc	开放式文档接口
granita	格兰尼它冰糕
ley	草
promiscuously	杂乱
epact	岁首月龄
funster	喜剧演员
prefixion	前缀
appetizing	美味可口
deficiently	不充分
flaked	失去知觉
coquille	用贝壳或贝壳状容器盛的菜
ato	Organization
concordia	肯考迪娅
admit	接纳
groenendael	比利时牧羊狗
scuttle	凿沉
unpitying	无同情心的
paedomorphism	幼稚形态
cicisbeo	情夫
polyglot	数种语言的
yawing	偏航
fsf	Software
venom	毒液
rankle	发炎
obscene	淫秽的
matins	天主教之子夜或黎明之祈祷
chord	弦
drowsily	懒洋洋
proviso	附带条件
verkrampte	保守分子
nitrification	氮化合
succussatory	猛摇的
enveil	掩盖
wins	Name
nannie	奶妈
niobic	铌的
inspectoral	检查员
unfix	使不稳定
flush	惊鸟
flagellated	生有鞭毛
rancho	大牧场工人住的棚屋
radicular	根的
duodena	的复数
abecedarium	初级读物
favonian	温和
smorzando	渐次消失
graviton	引力子
fit	一阵
delinquent	有过失
casteless	不属于任何阶级的
mulct	罚金
lop	垂下的
fool	受骗者
profitable	有利可图的
dishy	有魅力的
article	项目
orientalia	东方文物
mamillated	有乳头
lunilogical	与月球研究有关的
fixedness	不变
peacemonger	和平贩子
haematogenous	造血的
plater	铁甲工
rhinestone	人造钻石
waldensian	韦尔多教派的人
numberless	无数
spawny	似鱼卵的
transworld	世界范围
metonymic	转喻
microminiature	微小型
obtuse	迟钝
lumping	重大
versemonger	拙劣诗人
homonymous	同音异义
detached	分开的
atonalistic	不成调
abstinency	自制
subvariety	亚变种
mole	防波堤
submarine	潜艇
mum	别说话!
stannous	含二价锡的
slam	猛力抨击
burning	极严重
freak	反常的
multienzyme	多酶
entire	全部
heartrending	伤心
leonore	利奥诺
apostatic	背教
deconcentration	排除集中
ebullition	冒泡
poudrette	混合肥料
haeju	海州
nonaddict	无瘾吸毒者
imprecatory	诅咒的
colourfast	不掉色
terebinth	松节油
marrowsky	斯本内现象
quintain	枪靶
disconsolate	孤独的
seasonal	周期性的
spanking	显著
sken	斜眼看
pierian	皮埃里亚
pecksniff	伪善人
liquor	溶液
convincing	令人信服的
proselytism	劝诱
disimprove	变得更坏
fuzz	细毛
plebiscite	平民制定法
international	国际的
vertiginous	旋转
arisen	出现的
aphrodisiac	壮阳剂
hindmost	最后部的
undistributed	未分配
kylix	基里克斯陶杯
fadge	适合
minuscule	草写小字
awake	警觉
putrefactive	易腐败
tessie	泰茜
sulfarsphenamine	硫阿斯凡纳明
wobbly	摆动
gyri	gyrus
whine	哀诉
respirable	可呼吸
emasculate	使柔弱
monastery	僧侣
workable	可使用
outwinter	放牧放在舍外越冬
quadrille	四对方舞
countermortar	反迫
diphtheritic	白喉
cannabis	大麻雌花顶部
auric	含金
manyat	村塞
australian	澳大利亚
polystyle	多柱式建筑物
atmology	水蒸气学
teleoperator	远距离操纵器
momently	片刻地
acidic	酸
commit	把……交托给
edc	Community欧洲防务集团
crossbar	球门的横木
unbusinesslike	无组织
diastema	间隙裂
ring	鸣
gumptious	精明
gaoleress	监狱女看守
blivit	恼人的事物
spheroidal	类似球体
bta	Authority
above	过于
pleiotropy	基因多效性
state	典礼用
reliever	救济者
acidic	酸性的
hodge	典型的英国农业工人
lubra	土著女人
nomenclative	命名的
road	公路
sumptuosity	昂贵
specific	详细而精确
cernet	中国教育与科研计算机网
gutta	水滴
contradictory	反驳的
nice	美好的
prediction	预言
bonny	漂亮
anticoagulant	抗凝血剂
numismatician	奖章收藏家
inductively	归纳地
triassic	三叠纪岩石的
varietal	品种的
makeshift	凑合
fingertip	指尖
abruptly	突然
stereograph	立体画
gest	故事诗
quilled	羽毛状的
uncomfortable	不合意的
windburn	吹风引起的皮肤炎
sopor	昏睡
sarmentum	纤匐茎
autoindex	自动变址
adscititious	外加
symbiotic	共生的
inmesh	使……绊住
flurry	激动
expansion	开展
phonofilm	有声电影
gamely	不屈
trisodium	三钠的
joypopper	偶一为之的吸毒者
hypersomnia	嗜睡
temperature	温度
trouser	裤子的
backwood	=backwoods
quiveringly	震动地
wit	才智
superaddition	追加
declinable	格变化
stodge	贪婪地吃
tactician	战术家
whaleback	如鲸背状的东西
rectifiable	可矫正
gray	灰白的
bitterbrush	蔷薇科淡灰色灌木
neurogenesis	神经发生
cut	切切削
department	部
interiorly	在内
catholic	天主教徒
complacence	沾沾自喜的
patronizing	俨然以恩人态度的
alternation	间隔
inquisitorial	好询问的
ruritania	浪漫国
lindy	林迪舞
anaplastic	整形术的
telergy	心灵感应力
lecithoid	蛋黄素的
reduplicate	重复
delightedly	快乐地
iatric	医师
inscriptionless	无题字的
ah	Attack
vainglorious	虚荣的
exotic	外来
roundlet	小圆形体
hundredweight	英
untoward	麻烦
separate	个别的
nomenclative	术语的
lepidote	覆有鳞片的
highbinder	美国华人区黑社会中的党羽
egret	白鹭
unfathomable	无底的
oneiromancy	圆梦
barbarianize	使野蛮化
bophuthatswana	博普塔茨瓦纳
damocles	达摩克利斯
domineering	作威作福
caloyer	东正教之僧侣
aquaculture	水产业
geographic	地理学的
grille	格子窗
injured	受伤的
latter	后面
serriform	锯齿形的
underbuild	加强……的基础
heady	性急的
electrophysiological	I`lektrEJ9fI9fIzIE`lCdVIkLl/zI`ClEdVI/
sturdiness	强健
airscape	鸟瞰图
jointly	共同
allround	多方面的
oogamete	雌配子
prestige	声望
fin	切除鳍
arcover	闪络
microdot	微粒
nematodiriasis	细颈线虫病
exsanguine	失血
pompon	大丽花
vietnamize	使越南化
gdi	Graphical
lord	上帝
farrier	骑兵中管理马匹的下士
electrovalent	电价的
valuta	币值
rustily	锈蚀
acrr	美国种族关系理事会
recognizant	意识
amused	愉快的
photogeology	摄影地质学
overmountain	位于山上
sedentary	久坐
elation	兴高采烈
strictness	严密
beamish	春风得意
unadulterated	没有搀杂
stouthearted	刚毅
lowest	最低的
flaunt	挥动
delphian	神谕
oracle	圣贤
santalin	紫檀色素
byronic	拜伦风格
bent	倾向
rivalry	敌对状态
pore	沉思
lapis	石
improperly	不适当
unprinted	未付印
absolutory	给予赦免
anime	芳香树脂
fugue	谱赋格曲
luculent	透明
embayment	湾状之物
underwrite	经营保险业
neuroanatomical	神经解剖学
inveracity	不诚实
lallation	l
tatou	犰狳
scintillate	闪耀光芒
rediscount	重新贴现
blackguard	流氓
amphitheatric	圆剧场
denehole	白垩洞穴
immie	彩色玻璃弹子
function	典礼
waterishlogged	进水的
wandering	蜿蜒的
fauvist	野兽派的
principled	原则性强的
rotational	轮流的
filter	渗入
calculus	结石
rheidity	流变现象
caseation	干酪样变
root	确立
virginal	无瑕
essential	基本的
matriclinous	偏母性状的
calque	直译语
frisian	Friesland人的
glottal	声门的
urbanologist	都市问题专家
zi	美国本土
statedly	壮观
sackcloth	麻袋布
clubbed	棒状
vespertilionine	蝙蝠科
desalination	脱盐作用
nyctalgia	夜痛
owlish	象猫头鹰
analysable	可被分解
pentastich	五行诗诗节
gomeral	愚人
mixologist	善调制鸡尾酒的酒吧调酒生
clean	打扫
mucic	黏酸的
limbless	无肢的
coasting	海岸线
decastyle	十柱式
xanthous	黄色的
mammula	乳头突
msph	公共卫生学硕士
diastatic	淀粉酵素的
vagabondize	漂泊
frictionize	使受摩擦
heighten	提高
pixie	小仙子
allogamy	异体受精
carrion	死肉
leaden	沉闷
quatercentenary	400周年纪念
heavyweight	特别重的人
telecobalt	远距离钴疗
acyclic	无环的
bobsledding	乘大雪橇
dragsaw	下料电锯
radiotelephone	无线电话
kirghiz	吉尔吉斯人
jeopardousness	危险
calculational	计算的
infatuatedly	着迷
skillful	灵巧
microseism	微弱的震动
hyperboloidal	双曲面的
suojure	凭自身的权利
meshuga	发疯似
raughty	痛快的
histogenetic	组织发生的
dilettantish	一知半解的
associate	使发生联系
cod	delivery
draggy	拖拉
eximious	卓越
autofocus	自动对光的
kaapland	=Cape
calkin	蹄铁上的防滑尖铁
scholastic	学究的
spherics	球面几何学
crofting	小农场租期
delirifacient	引起精神错乱
windward	向风
treasurership	会计员的职位
squamaceous	有鳞
incest	血亲相奸
imparadise	使登天堂
trigamous	雌雄三种花
larger	大的
incarnate	人体化
tough	艰苦的
anthropophobia	人类恐怖症
pvc	Virtual
mete	给予
eclipse	超越
cyclopic	独眼巨人
gefuffle	=kerfuffle
scalding	烫伤
malleolar	踝的
micrograph	显微照片
doited	老朽的
micropackage	微组装
bespoke	显示
anatomical	解剖学
encompass	包围
gestaltist	完形心理学拥护者
backbench	后座议员
pentomic	五群制原子师
ghostdom	鬼魂世界
ministrant	辅佐者
trimeter	三音步的
whole	完整的
tetrastichous	四列的
sotted	醉得稀里胡涂
film	拍电影
downhearted	无精打采的
semantics	语义学
passably	尚可地
