insectivorous	食虫动植物的
submerge	浸没
batrachian	无尾两栖类的
poriferan	多孔动物
megatron	盘封管
slag	成溶渣
reglet	扁条
ambiquity	多义性
scribbler	潦草写字的人
rotund	洪亮
tcp	suite//TCP/IP协议栈
wino	喜爱葡萄酒者
pulsation	有节奏地跳动
arminian	阿米尼鸟斯派教徒
parnassian	诗的
gilt	gild的过去式和过去分词
baisakh	印度历的2月
flaring	俗丽
fire	激动
spatchcock	杀后马上烹调的鸡肉
dirty	肮脏的
tribunism	主义
snippety	=snippy
despoil	掠夺
gossypose	棉子糖
quarrelsome	喜欢吵架的
busiest	最忙的
skylark	发疯般的胡闹
calcifuge	嫌钙植物
caelum	雕具星座
viridian	浓绿色颜料
disembarrass	使摆脱困境、烦恼、困惑等
bannerette	方旗武士
pool	联营
cahoots	与……共谋
unsophisticate	QnsE5fIstIkeItdness//
illite	伊利石
amusedly	愉快
mashlam	=maslin
hateful	可恨
tripey	垃圾般
torrid	热带
shodden	shoe
nomenclatorial	名称的
cuneatic	楔形
stackyard	干草堆场
vacuolate	有空泡的
primal	最初
noctambulant	夜间步行的
oscular	接吻的
bargain	便宜货
stableboy	马夫
sternforemost	倒退地
pettipants	女式半长内裤
secondhand	做旧货生意
transgenosis	基因转移
wee	很少
saltationist	突变论的
dispassionately	不动感情
ductile	易延展的
spittlebug	吹沫虫
microprint	缩影相片
mechanomorphism	机械形成论
cubitus	肘脉
comint	通信情报
downhold	限制
loquitur	开始说话
unsheltered	未遮盖
indigest	不被消化
extract	汁
flako	喝醉
blastocoele	囊胚腔
nutlet	小坚果
stagnancy	迟钝
zinciferous	含锌
carbohydrate	碳水化合物
barcelona	巴塞罗纳
cramp	使抽筋
overweight	超重
resplendency	光辉
yamen	中国古代之衙门
skeletony	梗概的
aerosol	浮质
invar	不胀钢
subcool	使低温冷却
plotty	情节错综复杂的
uplift	提高
lunette	弦月窗
international	国际比赛
inedited	未出版的
spheroid	回转椭圆体
rosy	玫瑰红色的
somber	阴天的
amiss	错误的
enslavement	强制
ostrichlike	鸵鸟般回避现实
appealable	可上诉
fractious	脾气不好的
topsail	上桅帆
consultation	请教
slantwise	倾斜的
contestant	竞争者
steeplechase	障碍赛
unreserved	无限制的
smoothness	柔滑
feature	放映
delinquent	违法
renew	复兴
underpopulated	人口稀少
schizogenous	裂殖生殖的
base	基地
virtuosi	名家
interstitial	形成空隙
pumice	轻石
nonperiodic	非周期
tearless	不流泪
habitably	可居住
nitrogenous	含氮的
gaily	华丽地
premise	假定
polyol	多羟基化合物
tributary	辅助的
fairytale	童话中才有
vsam	Method
hoofed	蹄形状
caucasian	高加索人
limpidness	透明
southeasternmost	最东南的
clericalization	教权主义化
unep	联合国环境规划署
ocd	Civil
gemot	英国的立法或司法机关
advanced	先进
acetin	乙酸甘油酯
girlish	适于女子的
scatoscopy	粪便检视法
shippon	=shippen
neoclassic	新古典主义的
alular	翅瓣的
reciprocate	报答
exposure	陈列
lethargic	瞌睡的
gnosis	真知
deafening	震耳欲聋的
cairn	石堆纪念碑
foil	箔
gearless	无齿轮的
cormorant	鸬鹚
procuratorial	代诉的
reserves	储量
frijole	菜豆
proparoxytone	在语尾算起第三音节读重音的
kittenish	小猫似的
saltchuck	海
cospar	空间研究委员会
hypopnea	呼吸浅慢
immediate	知觉的
late	晚的
serrefine	小弹簧镊
dutchman	荷兰人
observational	观测
flambe	燃烧着的
silicify	硅酸化
epimere	上段
convincing	令人心悦诚服
unifoliate	有单叶
garlicky	有大蒜气的
smart	刺痛的
incinerate	烧弃
comprehensible	可理解的
stuccowork	灰泥工
castellated	造成城形的
corporeally	物质上
credibility	可信性
foreground	最显著的位置
driveway	车道
coxcombical	花花公子
upclimb	爬升
pledgor	抵押人
dualpurpose	作两种用途的
undispersed	未被驱散的
thermonuke	核子武器
printless	不留痕迹的
languishing	日趋衰弱
oxygenation	以氧气处理
precinct	围地
hydroforming	加氢重整
undistracted	注意力集中的
globalization	全球化
pelasgian	皮发斯基族
tmo	电汇票
my	Malaysia
deuteronomic	申命记的
experienced	富有经验的
am	午前
ethylic	乙基属的
carrion	腐肉
laddertron	梯形管
imprudently	不小心
dutifully	忠贞地
mathematically	算术
nucleonics	核子学
contradictious	吹毛求疵
retrolental	眼晶状体后面的
nicotinize	使中尼古丁毒
flatbed	有平台可装货的卡车
santalaceous	檀香科
antefix	装饰屋瓦
doorknob	门把手
resilient	有回弹力的
coroner	验尸官
weight	砝码
wrinkly	易生皱纹
consummately	至上地
ithuriel	一书中的天使名
downmost	最下面地
marcato	加强的
sild	小鲱鱼
gleety	后淋的
tike	粗野村夫
cernet	Network
clatter	哗啦声
omnisex	全性
avouch	确保
sericate	如丝
scirrhus	硬癌
tylopod	趾底有肉垫的
graphology	笔迹相法
annularity	环状
titular	有资格
kaanga	=kanga
spatuliform	=spatulate
brotherly	兄弟的
voyageur	旅客
lysozyme	溶解酵素
highroad	大道
slack	缓慢地
kraakporselein	青花瓷器
puggaree	印度人用的轻薄头巾
expense	代价
infernal	阴间
dubbin	皮革用防水油
horizontal	水平
yodel	岳得尔歌
udf	Format
gnosis	直觉
sessional	会议的
aeroengine	航空发动机
weakly	软弱的
hypodorian	副多里亚调
recognition	重视
photodramatist	故事片编剧
fairness	公平
mediator	仲裁人
succedanea	代用药
weimar	魏玛
yank	美国佬
mspe	in
irrelevancy	不相干的事物
catachresis	用词不当
noninstallment	一次付清
hindoo	印度人的
heartfelt	真心真意的
bose	用撞杆叩
schizotype	精神分裂症型
indigene	当地人
europlug	欧式插头
saponated	与皂化合的
abortive	流产的
unmerciful	不仁慈的
camorrist	秘密结社党员
fcic	Crop
hoppingly	忙碌地
sesquicentennial	一百五十周年纪念
os	Os
basicity	碱度
palatinate	领地
rectorial	院长
saxicolous	生于岩石间的
difference	争论
sole	单独的
pneumogastric	迷走神经
divinity	上帝
still	静寂的
completive	完成的
equal	胜任的
coincident	巧合的
metaethics	元伦理学
undistinguishable	难区分的
chifforobe	衣橱柜
odontologic	牙科学
procurance	取得
restock	重新进货
casualism	偶然说
rift	断裂
nyctalopia	夜盲症
yapok	蹼足负鼠
mts	活动目标模拟器
erythrophobia	害怕红色
sudorific	发汗
mandril	顶杆
cowfish	海牛
sexagenarian	六十岁
goggle	睁眼的
unheated	不热
claudia	克劳迪娅
underlead	低出小牌
ontic	本体的
sputteringly	语无伦次地
putti	putto的复数
party	当事人
ast	平均寻道时间
monachal	出家
sluttish	淫荡的
crimp	使有褶
mistune	使音调不准
bordeaux	波尔多葡萄酒
tankage	桶槽的租费
overemployment	雇佣过多
meek	驯服
mount	山
still	静止的
distad	在末梢
micrococcal	微球菌引起
rider	附文
willet	鹞类
judenrat	犹太居民委员会
delusive	令人错解
eutrapelia	敏捷
bayou	小海湾
uncorrectable	不能修复的
kaki	柿子
antrum	窦
fishbolt	轨条螺栓
nitrosobenzene	亚硝基苯
sidelight	拾零
auditorial	通过听觉的
pilgarlic	秃头
vivify	给与生气
plp	Parliamentary
glaucous	绿灰色
presentment	描写
paraformaldehyde	仲甲醛
ensnare	诱捕
qualified	有资格的
shewbread	未发酵的面包
quickening	复生
intransit	在旅途中的
martiniquan	马提尼克岛
tripper	绊跌者
towards	接近
levorotation	反时钟旋转
careworn	疲倦
fenderbeam	碰垫
topless	高得好像望不到顶的
aghan	印度历的9月
nonstandard	不规范的
sidefoot	用脚侧踢
slip	滑动
saseno	=Sazan
sublimely	卓越
tramontane	野蛮的
garbo	垃圾工人
story	传说
torture	拷打
vitellogenous	卵黄
solvolysis	溶剂分解
fame	传说
wins	Internet
pat	适时
verbally	口头地
obtect	具被
unknowable	不可知的
endocytose	胞饮
cosmologic	宇宙论的
equality	同等
nonmember	非会员
specially	特别地
cheerioh	=cheerio
invalidism	病弱
cremation	烧
being	是
tractate	短文
cream	面霜
angiocardioraphy	心血管造影术
photoflood	照相泛光灯的
ruggedly	粗暴
deduct	演绎
eonian	永久的
spindle	锭子
sureness	踏实
contaminative	污染
punctuate	不时打断
fytte	歌
eloign	带走
flimsy	易坏
undeceive	使不受欺骗
homozygotic	纯质性
by	通过
brutal	兽性
passionfruit	西番莲之果实
unspecific	不具体的
pasturable	适于作牧场
tzitzis	=zizith
premillennialism	千禧年前论(基督教神学千禧年主义
procural	获
middleweight	体重中等
visionally	虚幻
mammifer	=mammal
civil	民事
cooling	冷却的
chummage	同宿
fissiparous	分裂生殖的
escapism	逃避现实
sciurine	松鼠科
osage	奥色治人
viking	斯堪的纳维亚人
coordinative	同位的
lasable	可受激光照射的
glomeration	球状体
msphe	Health
huntaway	牧羊犬
sequent	接续而来的
lodgeable	可寄宿
stylish	流行的
costive	行动迟缓的
haemorrhage	溢血
sweetsop	番荔枝
gin	陷阱
inorganizable	不能组织
burry	有粗喉音
engineman	机械师
insectarium	饲养之昆虫
swordplay	击剑
leg	旅程的一段
afrikaans	南非白人
fumatory	烟薰
ecuador	厄瓜多尔
achromat	色盲患者
sty	关入猪栏
jarp	敲碎
rifling	膛线
acqierement	学识
ozonize	使含臭氧
abiotic	非生物的
gmt	Time
furred	长着软毛
basely	下贱地
dwarfish	象侏儒
reject	落选者
transfinalization	目的性转变
nowhence	什么地方都不到
unwarily	不留心
prepayment	先付
amazedly	吃惊
obediently	服从地
vole	野鼠类
dendroclimatic	年轮气候学
gitana	吉卜赛女人
deck	舰板
scuzzy	邋遢的
trailside	在小路边的
erythrosine	四碘荧光素
radux	计数制的基数
suctorial	有吸盘的
canned	罐装
choice	可选
devolution	依次
tyke	野狗
coinsure	共同担保
molecular	由分子组成
wildness	野蛮
hornpout	鲶鱼类
lease	租
anecdotic	轶话的
nuptiality	结婚率
afflux	涌入
rambling	流浪性的
nopalry	胭脂仙人掌种植场
rattlepate	头脑空虚的人
wizzled	干枯的
kilometrage	以公里计算的行程
carping	挑毛病的
nailhead	钉头
agorae	市场
xylylene	亚二甲苯基
mistime	使不合时宜
nomocracy	法治
envelop	封
evenings	每晚
knobbiness	多瘤
skookum	强壮
idiophone	非膜质打击乐器
dunghill	粪堆
nullifidian	无宗教信仰的人
vocationally	职业性
demonstrator	证明者
pyronine	派若宁
jumper	工作服
stuff	原料
naval	海军
muppet	提线木偶
pratincole	林鹬
unloveliness	不可爱
spermicidal	杀精子
orchardman	=orchardist
ocso	Cistercians
neologize	采用新教义
spherical	球
adipoma	脂肪瘤
macronucleus	滋养核
trochosphere	=trochophore
vamp	荡妇
raaf	Australian
pejorate	变坏
notable	著名
throat	用喉音说
hypobaric	比重低于脑脊髓液的
sulfureous	硫磺一般的
stownlins	秘密地
vibropack	振动变流器
fraternize	结有深交
badman	偷牛贼
niggerize	打扮成黑人
treenail	木栓
pill	药丸
brad	曲头钉
xiphisternum	剑胸骨
pathogenic	致病
muton	突变子
joke	笑话
zambezi	赞比西河
amusingly	好笑地
flimsy	浮夸的
thermomechanical	热机
atlantean	力大无双
fizz	嘶嘶响
sulfapyridine	磺胺嘧啶
slub	粗纺
adopted	被采用的
absonant	不和谐的
pleasant	令人愉快的
informing	鼓舞
winterless	无冬天征象的
pronograde	俯行
adiaphorous	无作用
trophoneurosis	营养神经病
unadvisable	不得当
maidenly	柔和的
corrugate	弄皱
templelike	似神殿的
dingus	小装置
interfile	把……合并为一宗档案
vagabond	流浪者的
corelate	=correlate
torrential	奔流的
japanology	日本研究
intergovernmental	政府间的
recess	休息
guest	招待
semicentenary	50年的
undirected	无收件人姓名
saronic	Gulf
derisively	嘲弄
steatite	滑石
ledge	壁架
speedily	赶紧
jyland	为Jutland之丹麦文名称
punic	没有信义的
fusional	熔合
desalivate	切去唾液腺
thimbleful	极少量
unstriped	无条纹的
mirthless	忧郁的
uncrate	从板条箱中取出
mri	核磁共振成像
caulicle	草本植物之幼茎
preconcert	预定
pack	挤
wordpad	写字板
observable	引人注目
blanche	布兰奇
paraplegic	截瘫的
semiconducting	有半导体特性
vulgate	拉丁文圣经的
decently	正派地
alkalinization	碱化
lixivial	灰汁盐
midwinter	冬至
francesca	弗朗西斯卡
nail	将……钉牢
insufferable	难以忍受
fold	折叠
marv	机动重返大气层分弹头导弹
squeegee	橡胶扫帚
explode	爆发
superplastic	超塑性材料
triplicate	三重
drooly	流口水
ecpc	扩大计划调整委员会
jotter	笔记本
idiosyncratic	特殊物质
pericardial	围心的
braciole	酒烩肉卷
gelatinize	成胶状
alteration	变更
campanologist	铸钟专家
lantern	灯笼
quadrangular	四边形
restoration	复位
ferocious	凶猛
chainstitch	链形缝
to	往
seascape	海景
compelling	强迫
androphobia	男性恐怖症
fermentation	发酵
cooperate	协作
yuk	大笑
ligament	系带
disutility	无效
disincorporate	解散法人组织
pseudonymity	使用假名
labionasal	唇鼻音
cerebrospinal	脑脊髓的
chant	圣歌
octosyllable	八音节的诗句
nonfigurative	抽象
demanding	苛求
bmw	Motor
unboot	脱长统靴
inspectress	女检查员
inhumanize	使残酷
azygos	不成对的部分
blastoff	升空
wallpaper	贴墙纸
playshoe	游乐鞋
tumidly	肿胀
theonomy	神治
afloat	在海上
gigawatt	十亿瓦特
chare	打杂
logomachy	文字游戏
andorran	安道尔的
intersymbol	符号间的
mythopoeic	神话时代的
whiles	其间
bill	把……列成表
evanish	消失
rightable	可补救的
sbm	buoy
wootz	武氏坩埚钢
amplifier	扩音器
juana	胡安娜
genoese	热那亚
decennial	十年一度的
choke	哽住
guff	废话
exclamation	惊叹词
integumentary	包皮的
stand	抵抗的状态
wizardly	男巫
castellated	构造如城
bulrush	纸草
untenanted	未被租赁者占用
alight	发亮
phanerocrystalline	显晶质的:a～variety
left	左翼
artifactitious	加工的
reservedly	隔阂
rejudge	重新判断
suppliance	恳求
antibiosis	抗生
experiential	经验上的
convincingly	有说服力
import	进口货
punctum	尖
smoggy	烟雾弥漫
gnawing	使苦恼的
voluminous	丰满
actinomorphous	放射状
debauch	放荡
paleogenetics	古遗传学
dressily	打扮入时的
felsitic	霏细岩
parterre	花圃
custodial	保管的
photochromic	对光反应变色的
photometric	光度测定的
diplopy	=diplopia
cassandra	不为人所信的预言家
atonalism	无调性
sportswear	运动装
fortuity	偶然
absolutory	给予宽恕
flabbily	无活力
punchboard	击彩盘
antipodal	对跖
minuteness	微细
naughty	不听话的
ornithoid	鸟状的
flimsy	浅薄的
iocu	International
editorially	以编辑身份地
thecae	鞘
mia	战斗中失踪
syncretic	融合的
ultima	最终的
etic	素的
existent	存在
pivot	枢轴的
phorate	甲拌磷
aerotactic	趋气性的
freeness	自由
vision	想象力
dickeybird	小鸟
shakiness	动摇
fosterage	养育
plebby	粗俗的
sideline	副业
procurement	获
faradization	感应电流疗法
flattop	航空母舰
fatuous	自满
shuttle	穿梭往返
point	表明
interpolate	窜改
yeggman	盗贼
lepra	麻风
israeli	以色列共和国的
peart	有精神
unclubbable	不爱交际的
amazonian	亚马逊河区的印第安人
continental	大陆的
lancet	柳叶刀
kenyanization	肯尼亚化
indexed	与生活指数挂钩的
timeworn	老朽
pug	脚印
sisterhood	妇女团体
architectonics	建筑学
forward	迅速的
fruitless	不结果实的
floppy	懒散的
mas	军事防护勤务
quoit	掷
undissembling	真诚
inconsequent	不一致的
notoriety	远扬的名声
spark	瞬间放电
lowest	最小
home	在家
parabolical	比喻的
cockscomb	鸡冠
pronounced	断然的
beardtongue	=penstemon
pectinate	梳状
legioned	组成军团的
bagwash	初洗洗衣店
protrusile	可伸出的
polyrhythm	多旋律
peatland	泥炭地
zircaloy	锆合金
extenuative	情有可原的
whittle	屠刀
cashmere	开士米绒线
sufficient	足够
urbane	彬彬有礼的
acajou	腰果
evillooking	相貌凶恶
tourniquet	压脉器
chaperonage	伴随
litigate	提出诉讼
idyll	牧歌
fearful	严重的
beadledom	小官吏习性
tartar	凶悍的人
aif	Force澳大利亚武装部队
gnathonic	阿谀的
simulacrum	假的东西
land	使处于
nephridial	肾管
rectangle	长方形
middling	中等的
fatten	使肥沃
stewpot	双把炖锅
osmoregulatory	渗透调节的
banefully	致害地
carnalism	纵欲主义
scent	香水
appeasable	劝解得了
coalesce	接合
valetta	=Valletta
gi	GI''s
felicitous	可喜
herbaceous	草本
litteratim	=literatim
hyperalgesia	痛觉过敏
nasology	鼻学
purr	发出喉音
tervalent	三价
pachydermatous	迟钝
footwork	步法
neuralgic	神经痛的
exvoto	为了还愿
explicitly	明白
petticoat	衬裙
conductibility	传导性
godless	不信神的
juicehead	嗜饮烈酒的人
obscene	淫秽
equalization	同等化
univallate	围有单层防护土墙的
expugnable	可攻克的
bank	岸
instantiate	例示
