traveling	滑动
wealthy	丰裕的
coldhearted	冷淡无情
circean	喀尔刻的
ladderlike	梯式前进
gravific	产生重量的
nymphish	少女
miniature	微型
undigested	未经消化的
inbreaking	闯入
iaupe	University
approver	自首并告发同伙的人
coppery	含铜
bozzetto	制雏形
flummery	麦片制的粥
aftereffect	余波
startle	震惊
operation	运转
mortice	榫眼
laciniate	有穗边的
redistribute	再区分
drivel	淌口水
ymha	Young
don	穿上
nagged	被压制的
spoken	口头的
ceuca	中非关税经济同盟
magnific	崇高的
kaydet	西点军官学校学生
cephaloid	像头
gamogenesis	雌雄生殖
curvilinear	曲线的
retroflexed	向后弯曲的
introspectionism	腻
carucage	犁头税
seeing	观看
krater	双耳喷口杯
sciagraph	X射线照片
seize	夺取
indisposed	不合适的
aptness	倾向
unproposed	未提出的
drosophila	果蝇
asthenopia	弱视的
vacuous	空虚的
fagot	捆
manchette	靠手垫
collagenous	成胶的
palpably	易觉察
tontine	唐提式养老金法
dihydrochloride	二氢氯化物
chloralose	氯醛糖
sumpter	驮兽
tax	税
scree	碎石
scuzz	脏东西
compounder	中止起诉者
mesmerise	施以催眠术
intraocular	眼内
extensible	可展开
hmcs	Canadian
awshucks	谦卑的
baudelairean	波德莱尔
encephalograph	光照片/I/
foretype	前例
lamppost	街灯柱
emphysema	气肿
isoplastic	graft同基因移植物
performing	表演
unwound	未卷绕
reductivism	最简单派艺术
resplendent	辉煌的
nonlicet	不准许
fraternity	互助会
lapsible	易变的
depasturage	放牧权
nephridium	肾管
mpls	多协议标记交换
electret	驻极体
entreprenant	有上进心
trichotomize	三分
zoetic	有生气的
sf	science
teak	柚木
deathly	象死一样地
pedantry	卖弄学问
fox	使生黄斑
love	情人
nefandous	邪恶的
triassic	三叠系
uncontroverted	无争论
openhearted	不客气的
sniff	用力吸
swingeing	巨大的
quirk	急转
osb	Order
dravidian	德拉威语
fontal	原始的
pinwale	一种有凸纹的灯心绒
multilateral	多边
idc	Center
epicyclic	本轮
nofretete	娜弗雷提蒂
fusible	可熔
cater	满足
exclusively	专有
coat	涂层
bootes	牧夫座
prolonge	钩索
loaiasis	罗阿丝虫病
sifter	负责筛选的人
anaesthetization	麻醉
cordotomy	脊髓前侧柱切断术
sleazy	质量差
urochrome	尿色素
craniometrical	头盖测量
tangleweed	=tangle
hysterics	发疯
antisickling	抗镰形细胞形成的
godless	无神论者的
fallup	放射性尘埃对海洋地区的污染
new	新近
atremble	发抖的
rifacimento	改编
tortoiseshell	龟甲色的
tif	File
cephalochordate	头索动物的
nonscience	非科学
unsuspicious	不怀疑
plus	加
csce	Security
slithery	滑溜
subcrustal	路面底层的
ache	觉得疼痛
semicentenary	半世纪
dead	死的
bluff	vi诈骗
disestablishmentarian	主张政教分离
iontophoresis	电离子透入疗法
undecane	十一烷
wealthy	富有
dislike	不喜欢
nondirective	非指示性的
thin	空洞的
osculatory	接触的
handtailor	手工缝制
allostery	变构效应
micellization	胶束形成
hinder	阻碍
upcoming	即将来临
oxycarpous	有尖刺果
antibiotics	抗生学
recultivate	再培养
eyeable	赏心悦目
unmediated	无中介
memoirist	追思录
water	喷淋
scientist	科学家
lateral	支线
straggling	落后的
damoiselle	少女
indianist	印度通
autogravure	照相版雕刻法
ironclad	装甲
eruciform	毛虫状的
telocentric	具端着丝粒的
uncomplex	非组合
uropygial	尾臀的
document	证明
herbartianism	赫尔巴特的学说
porkling	小猪
sundown	阔缘的女帽
utp	非屏蔽双绞线
hallah	白面包
parietal	学院生活
neoplasticism	新造型主义
ranchette	小农场
inquiring	咨询的
tea	茶点
silkscreen	用丝网印刷术印制的
norsteroid	去甲甾类
pusillanimous	懦弱的
manner	方式
avventurina	avventura
forel	作书皮用的羊皮纸
gold	黄金
rudderless	无舵
antiquate	废弃
reoffer	再供应
generate	产生
qarnns	Queen
msj	Science
squeezable	可逼迫的
monticulate	有小丘
carbanion	负碳离子
lean	使倾斜
forewarn	预先警告
buttock	屁股的一半
dendrology	树木学
magniloquent	夸张
microcrack	微裂纹
preemptive	有强制收购权
morphogeny	=morphogenesis
alkalosis	碱毒症
circumplanetary	环行星旋转的
capsizal	倾覆
motor	电动机
rudesheimer	吕德斯海姆酒
genbakusho	sickness
tasty	好吃的东西
gossamer	薄纱
transferable	可转换的
cysteine	半胱氨酸
pronounced	明确
episcopize	担任为主教
multicoloured	多色彩
vigintennial	每20年一次的
chaliced	有杯状花
orbit	沿轨道飞行
prevalency	=prevalence
beauteously	美丽
punch	冲压机
transfixion	贯通
bacchius	抑扬扬格
formalistic	形式主义
unheroic	不英勇
painless	无痛
teosinte	墨西哥类蜀黍
secondary	第二
albeit	虽然
convincible	可说服的
mastoiditis	乳般突起炎
maximal	最高
udag	Action
redware	掌状昆布
veronese	维罗纳人
pitier	怜悯者
visitatorial	巡视
unbacked	无助的
circularize	通知
wizzled	干枯
magyar	马扎尔人的
handmaid	侍女
kinkled	有小纽结的
agreement	协议
staphylotomy	葡萄肿切除术
semasiology	语义学
preemptive	抢先
lipographic	字母或词之脱漏的
pie	爱说话的人
wert	be第2人称的过去式
servomechanism	伺服机构
linkup	联系
mandamus	命令书
hottest	热烈
tranquilly	安静
gladly	乐意
reactively	反动
ruridecanal	乡村教区司铎
whither	什么目的
housemasterly	像男舍监
wordy	唠叨
excogitative	想出
legitimation	认为嫡出
frumpy	不见世面的
woof	织物
carlish	卑下
filter	过滤器
graphitoid	石墨状的
winnow	扬谷器
gamophyllous	叶子相连的
dinosauric	庞大的
sweepstake	赌金的独
pyrimethamine	息疟定
interspinal	椎间
inept	不适当
redislocation	复脱骱
diamantiferous	产钻石的
dasher	搅拌装置
cnaa	for
defiant	目中无人
streptomyces	链霉菌
resplendent	光辉的
sketch	素描
rudie	=rude
unornamented	朴素
cafard	厌烦
puncher	打印机
disk	圆板
documentarily	在记录上
grandee	显贵者
lacunose	凹陷的
somnambulant	患梦游症
scene	布景
cisrhenane	莱茵河西岸
cloak	用外衣遮蔽
custody	保官
sunfish	淡水产小鱼
lumisterol	光甾醇
redwood	红木树的木材
symphonette	小型交响曲
limburger	林堡干酪
fiddle	拉小提琴
god	神
sychnocarpous	结多次果
diapsid	双窝型的
telegraph	电报
cubeb	荜澄茄
transonic	接近音速的
ribband	用肋骨牵条固定
lacerative	有伤害或撕裂力的
greedily	贪婪
uniplanar	同平面
macrophotography	超近摄影
woman	女人
leftish	左倾
whistle	口哨声
sardegna	=Sardinia
collect	由收件人付款地
salle	室
very	绝对
palestra	体育学校
champion	拥护者
opaque	不传热的
sparing	保守
medaled	接受奖章
touch	格调
adularescent	乳白色
abstinent	饮食有度的
easygoing	放荡
unfurl	打开
prosy	单调
quip	妙语
orrice	=orris
unheroical	不英勇的
parallel	相同
integrable	可积
ribotide	核糖酸
screwball	曲线球
rubydazzler	顶刮刮的东西
ichthyography	鱼类学
retold	retell的过去式及过去分词
inconsonant	不协和的
bimonthly	两月一次
manucode	辉风鸟
changeable	可改变
exocrine	外分泌
parsley	欧芹
cmos	Oxide
plebeianize	使普通化
like	喜欢
hydridic	带一个负电荷
female	柔弱
disposal	处理
cbu	unit
mucic	黏液
stegosaurus	剑龙
spicula	骨针
about	附近
somniloquist	呓语者
metalworking	金属加工术
tryout	尝试
waxy	光滑
irreciprocal	非交互的
barebones	皮包骨的人
thetford	塞特福特陶器
executant	实行者
fetich	物神
unequalable	无双
featureless	平凡的
germless	无菌的
overestimate	评价的过高
kibosh	胡说
thrust	力推
geoeconomics	地缘经济学
unfirm	不稳固
transpositive	变换的
ostentatious	装饰表面
saltatory	跳跃的
scattershot	漫无目标
ironist	讽刺家
sunniness	阳光照射
unstuffed	未填塞的
imo	Opinions
discriminative	有判别力
showground	展览场
unpolluted	未受污染的
avaricious	贪财
miogeosyncline	冒地槽
royalties	版税
piercing	刺骨的
scutate	盾状
cool	淡漠
rodriguan	罗得里格斯岛人
chromosphere	色球
intercharacter	字符间
crust	盖以硬皮
defy	挑战
rhamnaceous	鼠李科的
rhizocarpous	宿根
fortune	大量财产
interword	字间的
juneau	朱诺
forward	向前
antiaircraft	防空
spruce	整洁
toxigenesis	毒素产生
sanious	排出脓液的
coinstitutional	的中学的
peelite	皮尔派保守党员
grenadier	手榴弹兵
papaya	番木瓜树
surfboard	冲浪板
cathar	清洁派教徒
drainpipe	排水管
lavendery	有熏衣草香味
cyanopathy	绀色
thankful	感谢的
traffic	交通
gallop	迅速运输
unprevailing	不流行
annonaceous	番荔枝科
nte	Examination
reposal	信用
compulsorily	强迫地
frizette	=frisette
jukebox	自动唱片点唱机
rookery	破旧而拥挤的住房群
crassly	粗鲁地
hypothalamus	视丘下部
journeywork	散工
ranchero	牧场工人
maulstick	腕木
pleasurably	快乐地
iced	冰冻
catalina	=Santa
rct	Corps
sablefish	裸盖鱼
rightful	公正
forethoughtful	深谋远虑
staple	大宗生产的
deface	丑化
sargasso	马尾藻类海草
iconographic	图像材料的
jackass	公驴
snowmobile	雪上汽车
worthwhile	值得做的
hatty	Harriet
crimpy	卷缩了的
cablet	细缆
quarrier	采石工人
hopeless	没有希望
benzedrine	苯丙胺的商标
radioprotective	避免受辐射影响的
shredder	切菜器
aerobiology	高空生物学
quirky	离奇的
millionnairess	=millionairess
pageantry	壮观
rrb	Board
log	把……记入航行日志
carbonous	含碳的
zymosis	发酵作用
log	航行日志
trigonal	断面呈三角的
receptor	感受器
ante	赌注
digraph	连字
cavalier	有礼貌的绅士
bosun	商船甲板长
gyniatrics	妇科治疗
zincous	含锌的
upstair	楼上的
exorbitancy	过度
chipper	喋喋而言
deuteranopia	绿色盲
subtle	狡猾
jobbernowl	蠢蛋
pottery	陶器
nonenforceable	不可实施
array	部署
hymenoptera	膜翅目昆虫
tallness	高
micah	希伯来的先知
bandoeng	=Bandung
kettering	凯特灵
strac	Strategic
relucent	光辉
lowermost	最底下的
tortoiseshell	龟甲色
ulotrichan	有鬈发的
coalsack	装煤麻袋
disrupt	使中断
chiaroscuro	明暗法
diabolic	残忍的
reversible	可逆的
ardeid	属于鹭科
locomote	行动
icu	重点护理组
parched	炎热
green	新鲜
peachful	宁静
trouper	演员
rebarbative	令人讨厌
hypocorism	爱称
complaining	抱怨
endangered	有灭绝危险
brangus	布兰格斯菜牛
faithlessly	靠不住地
racquet	拍球戏
dalliance	调情
peckish	饥饿
daven	作祈祷
kituba	吉士巴语
lifelong	终身
unctuously	油腻
filicoid	如羊齿植物的
philter	春药
ammunition	军火
polydirectional	多向性
sidetrack	侧线
unessential	非本质
upmost	最高的
printout	打印输出
siliceous	硅土
smudgily	污点
perfect	正确的
signorina	小姐
saturnalia	农神节
centurion	百人队长
thrust	猛推
cacoepy	发音不准
stony	多石的
coagulen	凝血剂
albumen	蛋白
windfall	被风吹落的果子
wolfbane	=wolfsbane
remonstrance	抗议
lettercard	封缄明信片
ban	禁令
shippen	牛舍
mythopoeic	创作神话的
current	流通
backwoodsy	蛮荒的
dictatorially	独裁地
ber	Basic
scatter	分散
rss	Regiae
tardigrade	缓慢
justification	认为正当
fatherfucker	畜生
whop	重击
recollectedness	冷静
workhorse	做粗工者
splenial	夹肌
cleanness	清洁
intermarriage	近亲结婚
lexeme	词位
sparmate	=sparring
headland	岬
polyp	珊瑚虫
diemaker	开模工
ambitiousness	不凡的抱负
millirem	毫雷姆
palaeanthropic	古人的
virginia	维吉尼亚
papillate	乳突
vitrifiable	可玻璃化的
flagship	旗舰
magnification	扩大
desperately	失望地
overprescribe	处方过量
efficacious	有效的
sketch	概略
taboret	小凳子
denominator	命名者
druggie	吸毒者
imu	浅炊坑
phagolysis	吞噬溶解
centrifugate	使离心
enzootic	方性动物病
street	街
styli	日晷指针
telerecord	给……作电视屏幕录像
classical	正统派
lichenize	使……长满青苔
units	/
tricorne	三角
symbolisation	=symbolization
spiniform	似脊柱
sketchily	写生风格
distance	远方
explanative	=explanatory
recitativo	=recitative
millimeter	毫米
reproduce	复制
unerring	无过失
podite	肢节
negotiating	谈判
eely	似鳗
mean	平均
playbus	游戏公共汽车
homolysis	均裂
inspirit	激励
extra	特别
whence	pro
db	dB
fifteenth	第十五的
escuage	免役税
nonchromosomal	不以染色体遗传特质的
rural	乡下的
guidepost	路牌
barbe	白麻巾
cotoneaster	枸子属植物
complemental	补足
horniness	硬质
shimmery	微微发亮
launder	清洗
term	条件
ampliation	扩张
psychotropic	作用于精神
pleonastic	重复的
equanimously	安静
draff	废物
fosterage	养子身份
totemistic	图腾的
ideographic	表意字构成
merge	并入
expire	届满
billhead	付款通知单
redemand	再要求
hyalography	玻璃书写术
easier	更舒松的
callus	胼胝
iodinate	=iodate
subliterate	粗通文墨
baronetage	从男爵爵位
reactionism	极端保守主义
trying	难受
vortumnus	=Vertumnus
cockle	折皱
beefeater	英王的卫士
fico	无价值的东西
carpometacarpus	腕掌骨
forestry	森林地
symmetric	均衡
intestinal	肠内
disuse	不被使用
verge	边缘
beflag	以旗子装饰
dogginess	爱狗
ruffianize	使变得残暴
visigoth	西哥特人
histopathologic	`hIstEJ9pAWEst//
fslic	联邦储蓄与贷款保险公司
lugubrious	可怜
nonoccurrence	不发生
editorially	以编辑身份
unbaptized	未受洗礼的
operand	操作数
probenecid	丙磺舒
shammer	伪君子
symmetrical	均匀
under	在……领导下
evangelical	新教会的
concertino	大协奏曲中的独奏群或独唱群
clothesline	晒衣绳
dickie	=dickey
sicklebill	弯嘴鸟
jefe	军事首脑
norward	北方
preservationist	保护主义者
illusory	不牢靠的
majorcan	马略卡岛的
doubly	双重
pyramidal	锥体
carpospore	果孢子
freely	直率
sene	分
matey	伙伴
takamatsu	高松
abridge	删节
silly	失去知觉的
systemless	无系统的
grown	长满某物
felice	菲利斯
maiden	处女的
grovy	树丛的
cinnamonic	肉桂的
classical	古典文学
butylate	把丁基引进
deliria	极度的兴奋
trustily	诚实地
thriftily	繁茂地
savage	凶猛
substantia	塞梅林氏神经节
socket	给……配插座
afterschool	供课外活动用的
regensburg	雷根斯堡
thoro	完全
accustomed	按照风俗习惯的
exploitative	开发资源的
cerecloth	裹尸布
inconsonant	不协和
russety	红褐色的
irc	Internet
dogface	小兵
imagic	形象
parietal	腔壁的
crypt	地下室
coatroom	寄物处
exemplum	例证
horatius	贺雷修斯
msgm	Master
road	路
refragable	可证明为妄想的
demographic	人口统计学
image	典型
unequalable	无比的
unbridgeable	不能架桥
electrogalvanize	用锌电镀
superabundance	剩余
wostteth	=wost
unconventional	非常规
interpretable	能说明
castellated	有城
wheelman	骑脚踏车的人
doubled	快步走
indebt	使负债
planer	刨机
collusion	共谋
rejigger	更改
antirheumatic	治疗风湿病的
phenomenal	现象
helotry	奴隶
funky	胆战心惊的
cilium	cilia的单数
instant	立即的
losing	输
earwitness	亲听证人
harmonical	音乐般的
quid	一镑
gardenesque	花园般的
alchemistically	炼金术士
tympana	中耳
cumbersome	笨重的
johannes	九世纪的金币
ariot	骚乱
healthwise	由健康的观点来说
uneducable	不可教育的
extinctive	使消灭
squawk	故障
vitrify	变成玻璃物体
calefaction	发暖作用
bombazine	用丝绸、棉纱、毛等织成的斜纹布
towel	毛巾
honest	正直的
proportionment	调和
fusionist	联合主义论者
uselessly	无益地
raspy	刺耳的
state	陈述
souteneur	靠妓女养活的人
twain	一对
sociogroup	社会群体
humiliatory	蒙羞的
wash	漂浮
scalar	数量的
wheeziness	气喘状
sized	有……大小的
tristimulus	三刺激
hyperthermal	极高热的
cobelligerency	战时盟国
zincous	锌
cytophotometry	细胞分光光度法
unsightly	难看
unmerciful	残酷
counterpoise	秤锤
carriageway	车道
exoteric	开放
exactness	正确
ruffian	无赖
reliance	信任
aruspex	古罗马肠卜祭司
amontillado	白葡萄酒
them	pro
create	创造
bombardon	低音铜管乐器的一种
dicrotism	重搏脉
vile	恶劣的
midriff	中腹部
ruthless	无情
hyperbolize	夸张
edge	刀口
cameral	有关立法或司法机构之一院的
hominine	人
anaclastic	屈折的
cementum	水门汀
rooty	根似
suzerain	宗主
reinforcement	加固
preface	作序
wittgensteinian	维特根斯坦思想的信徒
informative	情报
epulary	宴会
tellurium	碲
reticent	沉默寡言的
semele	塞默勒
blent	blend的过去式及过去分词
dop	酸二辛酯
sixfold	六倍
lemnian	利姆诺斯岛上的土人
blurry	模糊
exultantly	狂欢
unartificial	自然的
elementary	基本的
toast	烤暖
whirl	旋转
tenderometer	成熟测度计
standing	停滞
flop	扑拍
squalidness	穷困
unsolicitous	不关怀的
shutter	装以遮门
flattering	谄媚的
knapper	打碎的物体
fugacity	易逃逸
qarnns	Nursing
defrag	整理磁盘文件碎片的工具
famous	著名
scarbroite	羟碳酸铝矿
discerption	分开
notable	显著
equator	圆
spellbound	着迷
prolapsus	脱垂
innutrient	缺乏营养的
sapient	有见识
rasp	粗锉
book	书籍
disabuse	解惑
gym	体育
doubler	加倍装置
selvage	镶边
microbial	微生物的
blast	使枯萎
pule	低声哭泣
charge	掌管
trigynous	具三花柱的
lathing	板条
blarney	谄媚
towing	bracket牵引支架
watering	流泪的
monogamist	一夫一妻论者
redisplay	重新显示
pepperbox	胡椒粉盒
dabchick	鸟的一种
unwalkable	不适宜散步的
housebody	=homebody
feijoa	费约果属植物
creepage	蠕动
migration	移往
spheroidal	类似球体的
motorcycle	机车
thine	你的东西
solitaire	单人纸牌戏
bait	中途休息
separately	个别
collutory	漱口剂
astrictive	收敛剂
carriageway	马路
sclerotitis	巩膜炎
divine	超人的
abnormal	反常
corrade	侵蚀
resistante	从事地下组织之女性
madding	发狂的
overcareful	过分用心
burrhead	黑人
photorealism	超级现实主义
turbidimeter	浊度计
hallucinatory	幻觉的
flunk	使不及格
setdown	辱骂
scud	风吹起的浪或水花
gyrate	旋转
interspinal	椎间的
fauvist	野兽派
premature	未成熟的
dirigibility	操纵可能
decarboxylation	去碳酸基
extraartistic	艺术范围以外的
like	同样的
enisle	使成岛
cartoonist	漫画家
chicane	诈骗
goggle	眼珠转动
toothed	有……齿
playa	海边休养地
unexaminable	无法测定
unemployed	失业的
retiform	网状
fancydan	爱卖弄的人
exequies	葬礼
square	正方形
regreet	再问候
jenghiz	Jenghis
anthropic	有关人类
licensed	到许可
valuta	可使用的外汇总值
untuneful	不和谐的
human	人性的
choir	唱诗班的席位
boiling	沸腾
dismayful	令人丧胆的
graniferous	结粒状之实的
masked	戴面具的
toddler	初学走路的孩子
fenestral	小孔
ladleful	满杓
peace	安静下来
multiplexer	多路器
mitigatory	减轻
sab	科学咨询委员会
cryptical	秘密的
unpliant	不易弯折的
drive	飞跑
uncoil	展开
disembark	登陆
pronouncement	声明
spill	涌流
done	做好了的
gravitational	重力
thorough	彻底
show	引导
samos	antimissile
salep	一种食用淀粉
undevout	不真诚的
peach	告发
fail	使失望
reduce	缩小
psychodynamic	精神动力
tympanoplasty	中耳整复术
bespectacled	带眼镜
scurril	恶语毁谤的
scientificity	科学性
bronze	铜像
blandiloquence	甜言蜜语
adsorptive	吸附
oxo	含氧的
anticarious	抗龋
snugly	舒适温暖
disoperative	阻碍
ambroid	=amberoid
prosector	解剖员
thickening	增厚过程
exaggerated	夸大的
onomatopoetic	拟声的
shelly	由壳而成的
lachrymal	泪的
hoik	急剧上升
immixture	混合
coordinate	同等的
qaranc	Nursing
bioelectronics	生理功能电子控制学
serein	晴空雨
streakily	容易生气
seedy	褴褛
yourself	你自己
stalwart	坚定的
astrophysics	天体物理学
cipolin	有白绿纹
claudicant	跛脚
microfiche	单片缩影胶片
informidable	不足畏惧
abuliding	兴建中的
guru	头头
proteoglycan	蛋白多糖
crabbily	暴躁地
anselm	安塞姆
apra	秘鲁革新政党名
muck	施肥
predominate	掌握
bloomer	失败
corroboree	狂欢会
nonresidential	非居住的
scowl	板着脸表示
watchword	格言
mdcccxcix	1899
commiserate	怜悯
quiveringly	震动
lapwing	田凫
secondary	二级
cataphonics	回音学
lavaliere	垂饰的一种
cainozoic	新生界
antiskid	防滑装置
uncharitably	无慈悲心
aphemic	失语症的
malm	白垩土
snooty	自大
calcific	钙化的
chink	裂缝
defer	服从
choreographic	舞蹈术的
restraining	抑制
usha	States
defervescence	退热
gruesome	可怕
feeling	有同情心
sternly	坚决
pullulate	发展
pshaw	啐声
stridulatory	尖声鸣叫
ajut	突出
motherfucking	讨厌的
legislatorship	立法者
polemical	挑起争端
wherefore	因此
epistome	口上突
manageable	易处理
dripstone	滤石
marriage	合并
infinitesimal	极小量
contrastimulant	有镇静作用的
reinless	放纵
nas	Storage
hypsography	测高学
medially	中间
clement	宽大的
dodgy	善于骗人
thermoremanent	热剩磁
virtuosity	艺术鉴别力
obey	服从
roset	=resin
grammatical	合乎文法的
easygoing	放荡的
ucky	黏乎乎
inseparate	相连
proteinoid	类蛋白
escapist	逃避现实
optokinetic	视动的
varley	loop华莱回路
help	救命
reasonless	无推理能力的
fulmar	管鼻藿
bluestone	胆矾
conciliationism	kEn9sIlI`eIFEnIzEm/
graupel	软雹
servient	从属的
qemm	一种计算机内存管理软件
discouraging	令人气馁的
quercine	栎树
joinery	细木匠业
palladize	涂钯于
epigene	外成
regenerator	收革者
adriatic	亚得里亚海的
headland	向水中突出的陆地
fluxionary	微分的
strix	柱身凹槽
cocaine	可卡因
asean	Asian
morasthite	摩利沙人
assiduously	恳切
ipsu	IP地址配置工具
subtense	对边
venter	母
octan	每隔八日发一次
voyeurism	窥阴癖者
unhidden	不隐瞒
burning	极严重的
greatly	很
northlander	北方人
tailcoat	燕尾服
aok	源出美国宇航员向发射指挥中心的报告语
helpfully	有益
chansonette	小歌
regather	再收集
haemorrhage	出血
faker	骗子
cucumiform	黄瓜状
pentoxid	五氧化物
firry	杉树
oui	是
gomeral	傻瓜
invocatory	祈愿的
dispread	向各方展开
wold	无树木的山地
xanthian	赞西亚
fill	充满
husky	嘶哑的
fine	精美的
accusatival	宾格
infected	被感染
navigator	航海家
irrefutable	不能驳倒的
conservatize	成为保守
peddling	忙于琐事
weather	露天
peritonealize	用腹膜覆盖
klompen	荷兰人穿的木鞋
ondometer	波长计
entremets	附加菜
marshy	沼泽般
luster	发亮
japonic	日本特有的
humongous	其大无比
month	月
monsoon	季候风
wheeze	很困难地呼吸
amblygonite	锂磷铝石
scanty	不充足的
tactic	排列的
pinup	受欢迎的
ruth	悲哀
overboard	在船外
vasodilation	血管舒张
hydroski	水橇
errhine	催嚏的
chromatophil	嗜染性的
leatherhead	傻瓜
target	靶子
flowerless	无花的
contorniate	边缘内有槽
level	变平
ahead	提前
seismographic	震仪
condensability	可压缩性
successor	继承者
untaa	联合国技术援助管理处
if	条件
reprehension	非难
pithecanthropus	猿人属
sacramento	萨克拉曼多
associative	联合的
hatshepset	哈特谢普塞特
borne	bear的过去分词
lucullan	富裕
contabescence	憔悴
interpose	提出
entropy	平均信息量
spruce	整洁的
dermoid	皮样的
scalogram	量图
ground	把……放在地上
pendent	悬而未决
jagatai	杰格塔语
neutralisation	平衡
gospodin	先生
damagingly	非常地
yosemite	Valley
who	谁
jutty	防波堤
yeggman	抢劫金库者
spectroscopy	光谱学
auspice	赞助
voyage	航空
unexhausted	未尽的
cinder	煤渣
univac	通用自动计算机
pukkah	纯良的
flyaway	不合身的
lobulate	由小叶片组成的
baseborn	庶生的
leukocytotic	白血球增多
concertante	适于发挥高度技巧
staple	主要的
passivation	钝化
viscountess	女子爵
dogberry	山茱萸
julienne	切成丝的
luxurious	奢侈的
fixedness	固定
atheromatous	粉瘤的
elevator	电梯
astute	狡猾
battleship	战舰
foeman	敌人
corrugate	起皱
vibropack	振动子整流器
iranair	Iran
instreaming	涌进
efficient	生效
counterpose	使对立
rendition	演唱
develop	显影
claribel	克拉丽贝尔
increasingly	愈加
pansexual	泛性的
lickerish	贪婪的
fete	给予……巨大的荣誉
efficacious	灵验
expense	开支
carmen	卡门
tokugawa	德川
catalepsis	强直性昏厥
pinworm	蛲虫
endolithic	石内
framing	取景
transmission	发射
exasperater	惹人生气者
towmond	12个月
green	青春
dumbstruck	吓得发懵的
armoric	阿莫里凯人的
makefast	浮标等物
erotological	色情文学
lcvp	and
impalement	刺穿
facer	铣刀盘
punk	年轻无知得人
attribute	特征
fuck	毫不在乎
uninclosed	=unenclosed
matted	缠结
series	连续
rimous	有裂缝
ganoblast	成釉细胞
firedamp	沼气
agitato	激动
unapproachable	不能接近
approvingly	赞许
oppugn	反驳
sloppy	肥大
floorer	难题
vesical	椭圆形
unprevailing	不起作用的
jayhawking	掠夺
cookroom	厨房
disentitle	剥夺……的权利
sunglow	晚霞
haemochrome	血色素
follow	理解
wroth	愤怒的
rosace	蔷薇花饰
rebaptize	为……再命名
excisable	可抽税
raftsman	撑筏者
postclitic	重读词后词
absolutory	给予赦免的
jurassic	侏罗纪
lgm	man
coonskin	浣熊皮
buret	玻璃量管
infrequent	稀少
syriacism	古代叙利亚语风格
scanner	扫描仪
corrective	矫正的
unthinking	未加思虑的
smaragdite	绿闪石
dogfight	空战
uncorrupted	未腐败的
skitter	沿水面拉动鱼钩钓鱼
edgeways	从旁边
nonobjectivism	艺术的抽象主义
spearman	枪兵
eacm	东非共同市场
beagle	打听某事始末
mechanical	机械似
lynx	山猫
defatted	脱脂的
ease	安逸
unaverage	出众的
prolifically	丰富
supersensible	超知觉
thereinto	其中
ceremonialism	恪守礼节
warranty	授权
purpuric	紫癜的
usmcr	Reserve
uneventful	无重大事件的
rondino	简单的轮旋曲
delphian	神谕的
piercingly	感动地
featherpate	=featherbrain
hygeian	健康的
statehood	州的状态或地位
soldiery	军人
copulation	交尾
righteousness	正直
linograph	莱诺整行铸排机
iridous	亚铱的
phthisic	肺痨
hemogenia	假性血友症
jumper	海员的上衣
bluejeans	蓝布牛仔裤
snowball	迅速增长
diamante	镶人造钻石装饰的
freyr	=Frey
service	服现役的
retrospective	回顾
overrespond	反应过火
airproof	密封
