unknown	不知名的
flowery	多花
anemometric	测定风力的
unperceptive	无识别力的
blubber	鲸脂
steady	坚定不移的
wats	Telephone
cyclostomous	圆口动物的
intolerable	难耐
indent	缩进
blah	乏味
limb	肢
behove	理应
latifundio	大领地
isogony	等称发育
broking	做经纪
baee	elementary
object	反对
bibliophile	藏书家
endosteal	位于骨内
rinforzando	突然增强的
underdraw	不充分地描写或叙述
antependium	帷幔
actinomorphous	幅射量的
ethicals	凭处方出售的药品
aeromagnetics	航空磁测学
err	犯罪
spaz	怪人
careful	小心的
temple	礼拜堂
undecided	不稳定的
ravishment	销魂
sanskritist	利用梵文神话支持自己之见解者
spurtle	拌粥木棒
linen	亚麻布制的
yawny	打呵欠的
satai	加香烤肉
highroad	公路
flurr	撒开
curate	助理牧师
osteosarcoma	骨肉瘤
inguinal	腹股沟的
ruddock	知更鸟
millilambert	毫朗伯
canaliculus	小管
superordination	上位
christopher	克里斯多佛
eidos	文化表相
conversation	会话
vein	性情
frutescose	灌木的
faa	Federal
speak	发言
openmouthed	惊讶
bullwork	牛马活
transnature	改变本质
decahedral	十面体的
drink	饮料
icky	过分甜的
stumble	踌躇
half	一半的
jettison	投弃
domestically	合乎国内地
honorable	荣誉
slovakian	斯洛伐克人的
epiphanic	顿时领悟的
expectancy	期待
encomiast	赞美者
sequel	结局
lockpick	=picklock
quibbling	找碴子
idiolectal	个人习语
coagulative	凝结物的
topocentric	面点
msls	in
serioso	严肃
sabian	拜星者
attachable	可连接
rubbery	有弹力的
specially	特别
waspy	似黄蜂的
defecator	澄清者
achaean	希腊
pander	勾引者
broiling	酷热
baccy	烟草
imperator	最高统治者
tchad	=Chad
unhasty	从容的
kept	受人资助控制的
exfiltrate	溜出敌军阵地
supernal	天上
suppliantly	恳求着
would	will的过去式
lumberly	笨重
westing	西距
tongueless	无舌头的
possible	可能存在或发生
inoculation	接木
thin	使淡
scrooch	蜷缩
semicylindric	半柱面形的
merseyside	默西塞德郡
reign	盛行
postmortem	死后
israelitic	古以色列
zooxanthella	动物黄藻
moderato	中等速度地
evaporative	蒸发
pseudosalt	假盐
contempt	轻视
flambe	燃烧着
infructuous	徒劳的
omphalos	星
equipartition	均分
photobiologic	光生物学
taurine	象公牛
encrinite	海百合
xerothermic	干热的
nccw	全国女天主教徒理事会
thrust	插入
time	打拍子
hellery	撒野
sampler	样品检验员
possibly	可能地
ashcan	深水炸弹
punctulated	有小点的
despiritualize	使世俗化:
stereograph	立体照片
sensate	知觉
dinkum	诚实
qos	服务级质量
aneurysmal	动脉瘤的
chordee	阴茎痛性勃起
avitrice	女飞行家
rct	Royal
candied	甜蜜
supportless	无支撑的
cyanite	蓝晶石
primigenial	原始型
count	认为
weasel	含糊话
compline	晚祷
nonproletarian	非无产阶级
antifertility	抗生育
zoomorphosed	似动物造型
jelab	带风帽的外衣
bedmaker	寝室管理员
approximatively	近似地
zonerefine	用区域熔炼法生产
phoenix	凤凰
dumpishly	忧郁地
incontinent	无节制的
fop	过分讲究衣饰或举动的人
lustreless	无光泽
colporrhaphy	阴道缝术
rexine	仿造皮
astraddle	跨着
leisurable	从容的
acetarious	拌生菜食用的
coterminous	相连
origin	起因
wats	大地区长途电话服务
xystarch	竞技场监守官
barracuda	梭鱼类
torii	牌坊
octonarian	八韵脚的
noncom	未受任命的士官
buckler	防卫
erberry	接骨木之果实
carneous	肉色
chemically	以化学方法
horseless	不用马
history	过去的事
zebeck	小型三桅船
puppyish	小狗
hetman	哥萨克人的酋长波兰军事指挥官
schoolman	教授
quadripartition	一分为四
skimming	撇取浮沫
leaden	铅灰色
metallide	使起金属间化合
dibromide	二溴化物
fornicate	通奸
prealtar	祭坛前的
baudelairean	关于波德莱尔的
bacchii	短长长格
attemper	调和
recover	胜诉
acutilingual	尖嘴的
yard	院子
repower	再向……提供动力
lattermost	排在最后
vaticanist	梵蒂冈主义者
tendinitis	腱炎
psychon	心灵粒子
exemplary	惩戒性的
underproduce	减产
leguminous	豆科的
symplectic	偶对的
sniffish	轻蔑
advanced	先进的
inc	公司
toothlet	小齿
wittily	机智地
aristotelean	亚里斯多德派之学者
dentulous	有牙齿
midianite	米甸人
giro	旋翼机
cylindromatous	圆柱瘤的
dovish	鸽派
disimprison	使出狱
sanctified	认可
tribune	讲坛
unphysiological	不符合生理规律
diagrid	堆芯栅板
nom	nominal名义上的
imido	酰亚胺的
tergiant	作拱背状
pale	栅栏
plaintive	哀伤
foundry	铸工厂
spoony	痴情的
walhalla	=Valhalla
fibula	搭扣
down	向下
cohere	粘着
unfished	非钓鱼用
carnitine	肉碱
reune	重新聚会
cowcatcher	广告
washing	洗涤物
jamaican	牙买加人
begirt	被围
unhesitatingly	迅速
dewy	露湿
preconcerted	事先计划的
rama	最高神毗湿奴
adumbrate	预示
shirttail	社论栏
malleable	可锻
pushbutton	按钮
carrion	令人作呕
autofilter	自动筛选
blusterous	夸大
arrow	箭头记号
finagle	哄骗
hercules	力士
polymorphous	多形
segregable	可分离的
multiloquence	多嘴多舌
throughput	生产能力
hilarity	欢闹
anthill	人群密集的地方
stanchly	忠实
homeliness	朴素
animated	活生生
trichord	三弦琴
psalmodic	唱赞美诗
vesiculate	小泡状的
insalivate	使混涎
circulative	促进循环的
undreaded	不被惧怕
gourbi	简陋的住处
inhumanly	残忍
pyrenoid	蛋白核
hbms	HisBritannic
cumulative	累积
disoriented	分不清方向或目标
telescreen	电视屏幕
selenium	硒
usis	Service
gallo	法国
goitre	甲状腺肿
tamp	夯实
epulotic	结瘢的
gemmaceous	像芽体的
cucullus	修士之兜帽
sibilant	咝咝作声
willowy	易弯曲
solecize	犯语法错误
snowcap	山顶的积雪
suberect	几乎笔直向上长
burp	打嗝
frank	坦白的
intranet	企业内部互联网
jazziness	喧闹
trench	沟渠
imaginatively	想象上
crystallogeny	结晶发生学
scrollwork	漩涡形装饰
longtime	为时甚久的
xpvm	Monitor
interlacement	交错
sacrament	基督教圣餐
dc	数字认证
damfool	非常愚蠢
visibility	明显度
necrology	死者名册
meerschaum	海泡石
cavate	挖空岩石而形成的
nutted	用螺帽固定的
redefect	再逃跑
nls	natural
unsevered	未切断
burden	担子
eclat	显赫之成功
ablare	喧闹
saltern	盐田
denaturation	使变性
breakup	崩溃
tympanic	鼓室
interrelated	相关
vegetation	植被
uscf	Chess
uncomfortable	不合意
elamitic	埃兰人
edi	Interchange
sylvicultural	造林
dismoded	过时
disclaim	拒绝
rumbustious	喧闹
prosect	解剖
asphaltite	沥青岩
misbecome	不适宜于
secretarial	秘书
traction	牵引
killick	小锚
peremptorily	不容分说地
immanent	内在
garonne	加伦河
gaul	高卢
edible	可食用的
pedestrian	呆板
pinteresque	品特派戏剧
stunt	发育迟缓
cephalization	头部集中化
pleuroperitoneal	胸膜腹膜
northmost	最北部
inopportune	不合适
sideward	向侧面
feather	轻的东西
sulphuret	硫化物
crampon	鞋底钉
litten	点燃
desiderative	愿望
phase	定相
prau	马来人所用的细长快速帆船
dqdb	Dual
extemporaneous	临时的
prepsychotic	精神病前的
unemotionality	客观
incoagulable	无法凝固
xanthin	叶黄素
unhorse	从……卸下马来
mshe	Master
jacinth	风信子石
betony	石蚕
peck	啄
nonetheless	但是
wourali	=curare
ufology	不明飞行物学
nomenclative	命名
imperialize	帝国主义化
comprisal	包容
harleian	哈利父子搜集的文稿及图书
think	思索
objectionable	讨厌的
languidly	疲倦
crenulated	小圆齿状
fixture	比赛时间
biyearly	每年两次的
rubbery	橡胶似
popery	教皇制度
unbearded	无胡须的
apartment	房间
woman	女性
retral	在后面
countermine	用候敌地道防卫
voguey	风行一时
acknowiedged	被普遍认可的
symptomatic	征兆的
linenfold	折布式的
swirl	打漩
biparty	两党连合
fortnightly	每两周
manufactory	工厂
heterotopia	异位移植
conto	货币计算单位
limnological	湖泊学
inquietness	不安
helpless	没用的
cagey	谨慎小心
feverous	热病
calcinator	锻烧器
crossable	可交配的
touchable	可触
caravaggesque	卡拉瓦乔作品的
abyssal	深海的
atavistic	返祖性
semitic	闪族人
cavelike	似穴的
isochar	等特性线
leprose	鳞状的
kashruth	犹太教的饮食教规
correct	恰当
singly	单独地
noisemaker	会高声喧闹的人
lacw	Leading
pictish	皮克特族的
nutrimental	有营养的
gooky	滑腻
incisory	门牙的
lymphangitis	淋巴管炎
blazing	闪耀
underhand	下投
galago	夜猴
lavatory	洗脸盆
dehydroepiandrosterone	脱氢表雄酮
exsanguinate	使无血
omit	遗漏
frequenter	常客
transformation	变化
lydian	吕底亚人
pecuniary	应罚款
crazed	疯狂
favourite	特别喜爱
trinary	三重
subornative	教唆伪证罪的
counterdevice	反飞弹装置
magnoliaceous	木兰科的
distasteful	讨厌的
playa	沙漠中的盆
flaringly	华丽而俗地
macedonia	马其顿王国
pose	造成
eunomic	井井有条的
take	获得
foretoken	预兆
apb	bulletin
skive	把……割成薄片
ptolemaist	天动说信徒
ipts	Temperature
sledgemeter	雪橇里程计
fellow	同事
microgramme	微克
steamer	蒸汽机
caspian	里海
tabi	日本式厚底短袜
plastral	腹甲
perplexity	困惑混乱
confederation	联邦
ultrafine	非常细微的
gondolet	小型凤尾船
pluviograph	自记录雨量计
biting	尖锐的
sunk	sink的过去分词和过去式
haplopia	单视
dnf	finish
nemacide	杀虫剂
speeding	超速行驶
foregoing	前述的
nocardia	诺卡氏菌属
autoaggressive	disease
shortcut	捷径
ruffe	梅花鲈
jackstaff	舰首旗杆
tinty	色彩不调和
kilted	打褶
modulate	调节
unfinished	未完成
windup	装有发条的
crescive	增加的
mystique	奥秘
dainty	优美的
contradictorily	反驳地
decimalization	十进制
fucked	受骗的
wootz	伍兹钢
engagement	接合
vascar	Recorder电脑平均车速记录器
nazify	使纳粹化
bustling	忙乱的
descendant	子孙
crowfoot	吊索
hyfil	海菲尔
celsius	摄氏
aep	AppleTalk回应协议
routinier	正统派乐队指挥
rubbish	废物
trigoneutic	一年三化的
ocs	Candidate
deliquium	失神
sectarial	=sectarian
lettered	有文化修养
manganic	自锰
allegorize	以寓言诠释
desipient	琐碎的
dreamily	梦似
throughly	彻底
flexuose	曲折的
sleuthhound	警犬
phrenitis	精神错乱
falsehearted	欺诈的
unaneled	未受临终涂油礼
belle	美妇
specific	详细而精确的
oropharynx	口咽
rocket	火箭
calling	召集
indus	印第安座
empyreuma	焦臭
fancydan	华而不实
understatement	保守的陈述
buirdly	强健
un	联合国
genevan	加尔文教徒
varietal	品种
quark	夸克
conrail	联合铁路公司
resect	割除
downrange	发射中心和沿着试验航向
wisp	把……卷成一捆
midriff	膈
curlypate	头发拳曲的人
cacholong	美蛋白石
slipcover	套子
result	起因
vagrant	游民
nonunionist	反对工会者
neurolept	=neuroleptic
periwinkle	玉黍螺
realizable	可实行
libreville	利伯维尔
riouw	Archipelago
unnational	非民族
ast	较大的电脑生产厂家
improvisatore	即兴作曲家
chesterfieldian	柴斯特菲尔德爵士所有
carom	一击连撞二球
interrogator	讯问者
distortion	变形
manuduction	指引
pestle	槌
consort	同航线的船
urdu	乌尔都语
northmost	极北的
marshy	生于沼泽
weightily	沉重
figuline	陶土
crowfoot	毛莨等的俗称
science	自然科学
ferryhouse	旅客等渡船的候船室
haleb	=Aleppo
doyenne	女性老前辈
epiblast	外胚叶
unnational	非国有
pious	虔诚
smoketight	不透烟
browsy	适宜于随便翻阅
repaint	重漆
dimidiation	切半
palish	稍微苍白的
dyspeptic	胃弱的
hydrophile	吸水
dichlamydeous	两被的
conglomeritic	=conglomerate
clear	清澈的
bleak	寒冷的
sexual	有性的
table	台子的
gummiferous	有树胶的
leukemic	白血病
bacchantic	狂饮作乐
gettable	可以获得的
havre	=Le
tussal	咳嗽
leaseback	回租
phonetic	语音学的
sortilege	巫术
parenteral	注射用药物的
cultivated	耕耘的
georama	内壁绘有世界地图的空心大圆球
seizing	捆绑
prolific	多产的
cerebrate	用脑筋
piccolo	小型
unskilful	不熟练
nitwitted	糊涂的
teatime	喝茶时间
unfinished	未琢磨
jest	开玩笑
herniation	形成疝
vasodilating	血管舒张
infantility	幼稚
uto	United
cupper	用杯吸法者
myrmidon	忠实的追随者
gavelkind	一种土地、财产继承制度或习惯
parathyroidectomize	`pArE9WaIrRIRI`dektEmaIz/
aduncate	向内弯曲的
ulterior	将来
drivel	说傻话
makuta	likuta
canonical	规范
ghostly	可怕
thiuram	秋兰姆
vespers	晚祷
fense	围住
morbidity	不健全
ductor	油墨辊
emancipator	释放者
neutral	不确定的
portraitist	人像摄影家
tlas	三个字母的缩写
jarvey	二轮马车车夫
waxy	象蜡
plainclothes	便衣
gippo	肉汁
adrenalize	使激动
ebb	潮退
pronto	很快
inseam	内接缝
clear	完全地
crudity	生
thunderous	象打雷的
fitted	合身的
motory	引起运动的
flattering	讨人欢喜的
wellhouse	井楼
inbound	内
gripesack	手提包
funniosity	可笑的事
xerophytism	喜旱性
abiochemistry	无生化学
subscriber	订户
expiable	可偿的
stridulation	鸣声
sculpture	刻蚀
elastomer	弹性体
dispassionately	冷静地
base	根据地
microseismology	微震学
divisible	可分
hippodrome	跑马场
compulsive	由强迫产生
twinborn	孪生
cordial	兴奋剂
acrimoniously	尖刻地
maternity	孕妇
slip	Interface
mna	Administration
sublime	崇高
capacious	容积大
extirpate	消灭
abidance	持续
triturable	可研磨成粉末的
dealing	行为
airborne	空降的
promotional	增进的
pillory	示众
bazooka	火箭筒
conradian	康拉德
introducing	引介
dentiform	齿状的
measle	米珠
willow	柳木制
frizzle	吱吱响声
html	Language
nickelic	含镍
perch	人所居的高位
alluring	迷人的
earliest	早的
parnassian	诗
equal	比得上
hong	行
regenesis	复活
matriculate	被录取者
brcs	Red
conjunctive	连接的
pore	熟读
prudish	过分规矩的
nasaiism	发音鼻音性
speckless	无瑕疵的
sheargrass	剪刀草
quartette	四重奏
ferruginous	铁的
ashram	聚会所
moot	无实际意义的
canalage	运河通行税
nonboarding	不搭伙
roman	罗马人的
elegant	端庄
unlanded	没有地的
frse	Society
otherguess	别种
hyphal	菌丝
stringless	无细绳的
craniology	头骨学
illogically	不合逻辑地
headstream	发源地
eventual	最后的
domain	领
complaint	抱怨
flabbily	无活力地
acrasia	自控能力缺失
turgite	水赤铁矿
echelon	梯次编队
crick	急性硬直
experimentize	进行试验
jamming	干扰台
helmet	头盔
unprinted	未经印刷
zionite	支持或拥护犹太人复国运动者
renegado	=renegade
infibulate	套住
casper	一个卡通造型
broad	主要
mathematical	精确的
unmirthful	不高兴的
broad	露骨
globoid	球状的
arsenopyrite	毒砂
crookedly	弯曲
dsrv	rescue
causalgic	灼痛的
notts	=Nottinghamshire
unstockinged	未穿长袜
perchloride	高氯化物
bowlder	玉石
entitle	给……题名
grievance	冤情
moravia	摩拉维亚
pasteurella	巴斯德菌
concept	观念
sluttish	邋遢的
pearly	用珍珠装饰的
complemental	补充的
nominee	被任命者
pretense	主张
scholasticism	墨守成规
aepyornis	隆鸟
chromocentre	染色中心
israelitish	古以色列的
argo	Jason求取金羊毛所乘之船
preignition	预燃
ploughback	利润再投资
dubious	不确定
pants	裤子
block	阻塞
dud	无用物
cockle	麦仙翁
matrilateral	母系
stainless	不锈
knap	打碎
contrastimulant	镇静剂
nasute	头部有鼻形突出的
sluttish	淫荡
hiroshima	广岛
coptic	科普特人的
cramp	难解
anticathode	阳极
misuse	误用之实例
cattiness	如猫的性格
geometrid	尺蠖娥
friary	寺院
sba	Administration
prelatical	教长政治
tithable	课十分之一税的
carpet	地毯
since	自……以来
mycophagist	食菌者
autoconverter	=autotransformer
schizomycosis	裂殖菌病
unmatched	无比的
lustrum	人口普查
revolted	起义
actinoid	放射线状的
velutinous	天鹅绒状的
masher	对女子调情者
deathly	死一般
wen	人口集中的大城市
hrip	in
driblet	微量
abranchial	无鳃类的
sufficient	充分
kedger	小锚
cogged	骗人的
satiate	满足
deuteron	氘核
sulfonium	=sulphonium
kapellmeister	合唱团或管弦乐队的指挥
columned	立有圆柱
traitorously	叛逆地
underripe	不够成熟
undemanding	容易的
undistinguished	平凡
regurgitant	回流
hieratic	僧侣
psychiatric	精神病学的
pooftah	脂粉气的男子
stead	对……有用
clamour	喧闹
astir	起床
frustrated	失败
punctum	细穿孔
bread	生计
style	类型
homophonic	齐唱
unrhythmic	无韵律的
pharyngoscope	咽镜
detrude	推倒
soilborne	土壤带有
christianly	有基督徒性质的
passus	节
msts	Sea
aesir	为首的诸主神
flexuous	曲折的
unwed	没有结婚
thrift	节俭
runway	飞机跑道
nongonococal	非淋病性
backless	无后盾的
rammish	好色的
destruction	毁灭
nasty	令人厌恶
helpless	无助的
comically	滑稽
oomiac	=umiak
sagely	贤能
pervasive	普遍深入
noncommissioned	无委任令
dorsetshire	多塞特郡
teacup	一茶杯容量
alleviant	缓和剂
imaginative	虚构
olio	杂集
deniable	可拒绝的
arrestment	逮捕
flog	驱使
mdap	共同防御援助计划
devoice	使浊音变清音
verligte	开明分子
intentness	热心
effervesce	冒泡
subdepot	分仓库
cunt	肉体
strangulation	箝制
very	真实的
discretional	自由决定的
esperance	希望
teether	出牙嚼器
cingalese	锡兰人的
novel	新颖
colter	犁头
ardent	燃烧般
randall	兰德尔
parentally	像双亲
agger	古罗马帝国的道路
yawny	令人打呵欠的
energize	活动
stratocracy	军政
cyclical	轮转的
hope	信赖
auxocardia	心扩大
buzz	作嗡嗡声
fall	失守
swanky	时髦的
plush	舒服的
pietism	虔敬
nullipennate	无飞行羽
scoot	溜走
blackmailer	敲诈者
hvar	velocity
overfleshed	过肥
pyrrhonist	绝对怀疑论者
slightly	些微地
landsturm	国家总动员
unshaded	无光度或色泽差别的
foreshow	预告
coppernob	头发呈紫铜色的人
crotchety	有怪想
genitival	属格
turgor	肿胀
outmaneuvre	以策略制胜
irascibly	脾气暴躁地
vast	辽阔的
suppletion	补充法
kite	试探性行动
choice	爱惜
evadible	=evadable
manueline	曼奴埃尔式
fertilizable	可施肥
overproud	过分自豪的
homozygote	纯和体
jurimetrics	判决法理学
conciliarism	至上主义
wale	挑选
pointer	指示器
dreamfully	梦多
soviet	苏联的
vertu	艺术品或古董
visitator	视察员
pvm	并行虚拟机
headlike	似头的
inhabitation	有人居住的状态
hydrographic	与水文地理有关的
intended	n
trivially	无能地
viniferous	产葡萄酒的
callan	青少年
draggle	拖脏
heliodor	金绿柱石
extenuative	使减轻的
crosswise	斜地
afrormosia	非洲红豆树
plosion	爆破音
brassily	低廉而华丽地
stridulate	发出尖而高的声音
unescorted	没有护卫
cranky	摇荡不稳
pontiff	大祭司
extortionate	勒索的
methodic	有条理
radiotelephony	无线电话
carry	能达到
pri	初级速率接口
dissatisfaction	不平
unesco	联合国教科文组织
grainy	木纹状
canalicular	微管的
ensorcellment	蛊惑
radius	半径
dilettantish	半瓶醋似
anonymously	化名
justiciable	可在法庭裁决
seasoned	经验丰富
revolution	旋转
decuple	十倍
fastener	纽扣
bacony	熏肉一样的
luxuriant	丰产的
slatted	用板条做
bodensee	博登湖
haram	共配一雄的一群雌性动物
lankly	细长
backless	无靠背部的
economic	经济
leader	社论
mouseproof	防鼠
frgs	of
fianna	爱尔兰勇士
southwester	西南风
emanate	散发
doughhead	傻瓜
nonrecurrent	不反复出现的
teutonism	日耳曼精神
tress	枝条
subsequent	并发的
wholesale	批发
hebei	河北
postholder	担任职务者
beautifully	漂亮地
classy	优等
north	北方的
posb	邮政储蓄所
deodorant	除臭的
aristotelian	亚里斯多德学派的人
skeptical	无神论的
loral	眼端的
wlm	movement
unremitting	不懈
serotonergic	含血清素
tael	两
tripinnate	三回羽状的
naturopath	自然疗者
costly	昂贵的
din	絮絮不休地说
comment	注释
latria	专对天主的最高敬拜
guilty	犯罪
eternal	没完没了
lubrical	=lubricous
habilitate	提供周转资金
excaudate	没有尾
nosogeographic	地域病理学的
micronucleus	微核
clarinet	单簧管
offhand	即时的
bilestone	胆石
swart	黑黝黝
dactylioglyphy	玉石雕刻术
spicily	讽刺地
atmometric	蒸发计量学
lousily	讨厌地
dextrocular	右眼优于左眼
harmlessly	无恶意
punny	一语双关
distressing	悲伤的
familiarly	精通
aphanitic	非显晶岩
placement	放置
narrowly	精细
nae	不
liber	登记册
unsegregated	打成一片
unwatered	干旱
indubitable	不容置疑的
political	政治的
navigate	操纵
stud	马群
suggestible	耳根软的
yoga	瑜珈术
roily	动荡
diadochokinesia	轮替运动
oxidise	=oxidize
reconvey	取回
unbrotherly	非兄弟般
shrewmouse	形如老鼠的动物
ringsider	坐在场缘前座的人
sab	Science
nethermost	最底下的
spectacled	有眼镜状斑纹的
crannied	有裂痕的
studding	壁骨材料
snuck	sneak的过去式和过去分词
consenting	同意的
cratered	多坑的
lad	青年男子
semifascist	半法西斯主义的
bowdlerize	删除不妥的文句
designing	有计划的
externality	讲究外表
prohibition	禁止
thenceforward	其后
nail	钉子
mouthwash	废话
triangulable	可单纯剖分的
treenail	大木钉
scrawny	骨瘦如柴的
fibrocement	石棉水泥
isomerize	异构化
mask	使模糊
friar	男修道士
arrow	箭
cnn	以提供即时电视新闻报导而闻名
lensman	摄影师
consular	领事
carnal	性欲
scrivener	公证人
tentacular	有触手的
attainments	成就
patripotestal	父权
fiefdom	采邑
disestablishmentarian	/
heterograft	异种移植物
faineancy	不管
scissile	易裂开的
aftershock	余震
alumnae	女校友
bardolater	崇拜莎士比亚的人
preprofessional	为从事职业作准备
westward	向西的
invincible	不能征服的
rubytail	青蜂
hopple	把脚拴在一起
quinquagesima	四旬斋前的星期日
supervoltage	超电压
swordplay	剑术
uc	computer
harmless	无害的
subdistrict	小区
disprovable	可证明为误
ling	鳕鱼
trouvaille	意外收获
cognizant	认知的
choreographist	编舞者
larcenous	盗窃
fruticose	灌木状
spice	趣味
arithmetic	算术
fluidity	流质
strap	皮带
legume	豆荚
unconventional	非传统的
androcentric	以男性为主
cv	vision
ladyhood	贵妇之身份或风度
banana	香蕉
purine	嘌呤
impavid	无惧
slag	矿渣
corruptibly	可被收买地
abscise	切除
araneology	蜘蛛学
exacerbate	恶化
scouting	守候活动
hcl	high
millstone	重担
tiercel	雄鹰
implausibility	不象真实的
caplin	=capelin
severity	激烈
rashly	无见识
microcopy	缩微本
transferable	可转换
refoot	换底
rosiness	淡红色
sulphonic	酸性硫酸基
zunyi	遵义
gigametre	百万公里
hoop	戒指
emblazonment	纹章装饰
glair	釉桨
swither	困惑
resuscitate	复兴
wholescale	成批
latent	潜伏
maleficence	恶行
somatic	肉体的
shiner	打伤的黑眼圈
thioarsenite	硫代亚砷酸盐
consummate	至上的
packman	小贩
aloetic	芦荟
laurence	男子名
electrolytic	由电解产生的
wolframite	铁锰重石
unprofitable	无利益的
emulsification	乳化
aero	飞行的
octahedral	八面体
targeman	持盾者
photochronograph	动态照相
chromatology	色彩学
ujjain	乌贾因
residence	住处
initialism	词首字母缩略词
monticulate	有小丘陵的
puberulent	被微柔毛
elysian	象天堂的
gesture	表示
rbs	Sculptors英国皇家雕塑家协会
bavarian	巴伐利亚方言
slighting	藐视
agminate	聚集的
riddling	解谜的
proportionately	成比例地
unheroic	不英勇的
coper	马贩子
umayyad	=Omayyad
levelling	使成水平
rallyist	参加汽车竞赛者
whole	未损伤的
froe	锛
boldfaced	粗体字的
boldfaced	冒失的
