disagreement	争论
hendecasyllabic	包含有十一音节的
tirelessly	不知疲倦
lanceted	有尖拱的
postpartum	产后
irreducible	不能复归的
mail	给……穿盔甲
granulation	粗糙
spar	争论
phantasmagoria	幻灯的一种
chirk	高兴
curate	副牧师
childproof	对孩童安全
chirpily	快活
malnourished	营养失调的
gneissic	有片麻岩石性质的
humous	腐殖土的
cuboid	立方
desiccated	粉状的
cockeyed	斗鸡眼的
estron	埃斯特纶
whetter	刺激物
weewee	撒尿
mediator	中保
venturesomeness	冒险
eleatic	埃里亚人
trichinopoli	特里其雪茄烟
ginny	有杜松子酒味的
jackleg	没成熟
federal	联合
mecopteran	蝎蛉
diminishable	可减少的
disputation	驳斥
loiteringly	懒散地
lias	青石灰岩
chirp	唧唧声
medley	混杂的人群
legalism	律法尊重主义者
fetus	胎儿
effuse	流出
eventful	充满大事的
hurdle	栏
indisposed	不舒服的
melungeon	默伦琴人
celadon	青瓷色
uaa	阿拉伯航空
nlrb	Board
adventurous	敢做敢为
boswellize	来写
sequelae	后遗症
cospar	Space
cavate	形成山洞
title	权利
nga	National
puckery	弄皱
revile	斥责
tolerationism	宗教信仰自由主义
endlessly	不断
dredging	捕捞
monde	时髦社交界
exclusive	孤高
faintness	衰弱
grotesque	奇形怪状的
fissility	分裂性
ulcerously	患溃疡
schottische	舞的一种
idly	懒惰地
midwifery	产科学
singularity	奇异
trying	令人厌烦的
tocsin	警钟
anorak	带兜帽的夹克
trumpery	没有价值的东西
faker	捏造者
spanking	打屁股
unloose	释放
rampant	猛烈
coverall	包罗万象的
bleak	黯淡的
forcible	暴力的
leukoplakia	黏膜白斑病
kinkajou	蜜熊
worth	相当……价值
unapparent	模糊的
belabor	不断辱骂和嘲弄
appalling	令人震惊的
scotopia	暗视力
ocherous	赭石的
heptagonal	七角
flexibility	适应性
fred	佛瑞德
hotter	热烈
slowish	速度稍慢的
yegg	强盗
sippet	作配菜用的小块烤面包
flustration	喝醉
misbegot	私生的
cartology	地图学
inculpate	控告
picnicky	行乐的
usher	传达员
whoever	pro
jurist	法理学家
barcarolle	威尼斯的船歌
thataway	朝那个方向
unadvantageous	不利的
rainbow	五彩缤纷的
colonialism	殖民主义
flocking	羊毛屑
hinterland	内地贸易区
unhinge	取下……的铰链
culicine	库蚊
holiness	神圣
mediate	仲裁
unfixed	放松了
substrate	感光底层
drive	驾车
carrefour	道路交叉点
correct	惩戒
crispy	精神爽快的
entirely	完全地
grained	除去毛
sunwise	和太阳在天空上移动同方向
altostratus	高层云
hypnophobia	睡眠恐怖
horizontal	地平线的
alphabetically	按字母顺序
applewife	卖苹果之女人
bicomponent	双组分
misconstrue	误解
scoline	司可林
ulotrichous	鬈发的
honest	诚实的
coeternal	永远共存的
rumpot	酒徒
misophobia	不洁恐怖
feel	有某种感觉
singlestick	单棍
scurrility	刻薄
base	基于……
comic	滑稽的
tremolite	透闪石
instead	改为
meliorable	可改善
underpin	支撑
finitist	有极限论的
pithiness	简洁
luminary	知识渊博的人
bradshaw	火车时刻表
modificand	被修饰词
materfamilias	母亲
nosogeography	疾病地理学
neuration	脉序
reforest	重新造林
telephonist	接线生
kastelorrizon	卡斯特劳利松岛
admonishment	警告
subclavian	锁骨下动脉
helvetian	赫尔维蒂人
flyable	可驾驶
decorously	高雅
muggee	遭背后袭击及抢劫者
pare	消灭
badman	罪犯
inviolable	神圣的
road	大道
windowy	窗多
warrant	根据
raa	Royal
aristocratism	贵族主义
substratosphere	亚同温层
psychodynamic	精神动力的
dinah	女子名
ruddered	有方向舵的
aurelian	蛹
partizan	党人
missourian	密苏里州
stodginess	难消化
unicolour	单色
ost	Office
specifiable	可列举
cssr	捷克斯洛伐克社会主义共和国
nummular	圆形
feverous	发烧的
tripping	流畅
pertness	傲慢
determinate	确定的
noncellular	无细胞的
tacamahac	胶杨
preplacement	雇用前的
ethnographer	民族志学者
redheaded	红头
membership	成员人数
plainness	平坦
obediently	忠顺地
undimmed	明亮
poke	捅
redone	的过去分词
thaneship	=thanage
zooflagellate	动鞭毛虫
stamineal	雄蕊的
denudation	剥蚀
interscan	内扫描
inimitable	独特的
lapsuslinguae	口误
frank	率直
uri	respiratory
circulative	流通的
classy	漂亮的
mamillated	乳头状
suffrutescent	半灌木状的
circumgalactic	环星系旋转
neoimpressionism	新印象画派
sideline	边界线
gangly	身材瘦长
farce	填塞
nihilistic	无政府主义的
asphyxial	昏厥
sty	住在猪圈里
illuminating	照亮的
zinc	锌
profitable	有利可图
lander	住在陆地上的人
teleology	有目
sumptuously	奢侈地
egp	Gateway
havdalah	=Habdalah
wizened	枯萎的
mortal	极端
anabiosis	回生
call	叫声
washland	泛滥
pukkah	份量充足的
oxbow	U字形弯曲
lickspittle	奉承者
seditionary	骚乱煽动分子
caspian	里海的
homing	自导引
cardiant	心脏兴奋剂
micronization	微粉化
lubber	粗笨的
decompensate	代谢失调
criminality	犯罪
kalpa	劫
sensualism	好色
motorship	柴油机船
machera	=machaira
pinnigrade	用鳍
carrottop	红发的人
slangster	使用俚语者
lose	浪费
candytuft	屈曲花属植物
incumbency	义务
reflation	通货再膨胀
generalship	才干
derris	鱼藤
ferropseudobrookite	月铁板钛矿
gastric	胃
pennyroyal	薄荷油
trochee	长短格
stigma	气门
resinoid	树脂状物质
zesty	兴致很高的
fuzz	绒毛
ridge	成脊状延伸
dominical	主
discredit	无信用
misdescribe	错误地描写
handbreadth	一手宽
disyllabic	双音节
habu	响尾蛇属毒蛇
worth	值的看中的
glave	剑
luteofulvous	橙褐色
ferruginous	铁锈
dortour	=dorter
communicant	领圣餐者
quadriform	包含四种形态的
preferential	先取的
fated	命中注定
wittig	reaction
nuclear	核子
crackjaw	发音困难的
pleiotropic	多效性
inwrap	包囊
orins	Nuclear
sloat	舞台布景升降机
puzzlist	出谜人
wheelhorse	忠实的工作者
cirrostratus	卷层云
asphaltene	沥青质
fulbright	富布莱特法案基金
conjecture	推测
towards	对面
apprehensively	担心
polynesian	玻利尼西亚人的
filar	丝的
unconsciously	不知不觉
associative	联想的
genf	=Geneva
cartilaginous	软骨质
execrate	憎恨
serried	重叠罗列的
nutso	痴狂
autolithograph	用直接平版印私版印刷法
indignant	愤慨的
bruxism	磨牙症
demagnify	缩小
docile	温顺
inscient	无知
multiracial	多民族和睦相处
iceni	爱西尼人
promptive	敦促
muderer	凶手
dolefully	悲哀地
solanaceous	茄属
illiberally	小气
instructress	女教师
audio	音频的
peanut	花生
ctd	Trade
crumple	垮台
portwide	全港的
superdense	超密
medical	内科
squirish	乡绅的
ahg	antihemophilic
catecheticel	问答式教法的
octonarian	八韵脚
anginal	心绞痛的
crumby	柔软
albescent	变白的
band	波段
accurst	讨厌的
foursquare	坚定
mph	hour
ridger	起垄犁
skatebarrow	板鳃亚纲鱼的卵囊
trichiniasis	=trichinosis
dirigible	飞船
kookiness	发狂
spinthariscope	闪烁镜
gramineous	禾本科
coaming	舱口栏板
consequential	相因而生
radiation	放射
bios	Basic
hera	宙斯神的妻
intimacy	亲昵行为
shadowgraph	将影子投射影幕上的技术
bellipotent	战力强大
tael	银两
multipartite	多国参加的
vascar	Average
rebel	造反的
flop	失败
moral	道德
fend	照料
petala	petalon
vermiculation	蠕虫爬迹形的装饰
culpably	该罚
sublimate	使高尚
reinforce	加强
valentinus	即Valentine
vasovagal	血管迷走神经
descant	详论
garp	全球大气研究方案
endometria	endometrium的复数
liberally	公平
riser	起义者
ddn	数字数据服务
incumbrance	累赘
pore	毛孔
tottery	蹒跚
tristeza	柑橘腐根病
laetare	Sunday
euryphagous	广食性的
headlong	头向前地
knub	肿块
wicked	恶劣
putrefactive	腐败的
modulate	调制
flounder	踌躇
belabor	就……作过分的冗长的讨论或分析等
efficacious	有效
cuboid	三次方的
strigous	覆盖着糙伏毛
impish	顽童似的
disturbedly	不安
smooth	使光滑
amaranthine	不凋谢的
spend	用尽
procellous	狂暴
verbicidal	歪曲词义的
smart	灵巧
unintelligent	愚钝
untidy	不简练的
gastroduodenal	胃与十二指肠
awesome	可怕
backwoodsman	住在边远地区的人
contorniate	边缘内有槽的
heathenry	异教徒
bilobate	二裂片
widthwise	与宽同方向地
apheliotropic	背光性的
hushaby	乖乖睡!
feel	触摸
chirp	尖声地说
thunderbolt	意外的灾难
causal	原因
mcluhanite	麦克卢恩的
irregular	无规律的
peat	泥煤
biserial	双列
azure	蔚蓝的
ayudhya	=Ayutthaya
venerable	值得尊敬的
constant	不变的
infradian	超昼夜
univalent	单价
richly	富饶
scowl	暴风雨前的阴沉晦暗
usb	Bus
crystalline	水晶的
rectify	矫正
topaz	透明的浅黄褐色
pneumaturia	气尿
goad	刺激
guilty	心虚
rower	划手
laith	不想的
rurally	乡下地
quickassets	速动资产
falteringly	支吾地
baggagemaster	行李负责人
logicals	逻辑值
necklet	小首饰
gotham	愚人村
seric	中国人的
auditoria	礼堂
activable	能被活化
atlas	地图集
ambition	雄心
biograph	初期之电影放映机或录音机
halachist	哈拉卡的作者
infielder	内野手
cronus	克罗诺斯
jol	荒芜碎裂的石灰岩高地
amadan	阿玛松
daf	Force
zoologist	动物学家
cerebration	思考
buzkashi	kashi
mushroomy	蘑菇的
ostensible	可公开
brassin	芸苔素
hemocytoblastic	血胚细胞
brittle	易碎
pillhead	服药成瘾者
alumni	男校友
froghopper	吹泡虫
trey	三点的牌
polygyny	一夫多妻
floscule	小花
cagy	谨慎的
interlude	戏剧或歌剧两幕间
squish	咯吱声
eldest	最年长的
axillar	腋羽
nutgall	五倍子
endocrinopathy	内分泌病
ruche	褶饰
microstructure	显微结构
utilisable	=utilizable
prefactor	前因子
ennyyee	倦怠的女人
yestermorn	昨天早上
vietnamese	越南人
defensive	防御用
ase	American
double	快步走
preindicate	预示
animated	动的
spiky	尖刻
unliving	无生命
distaste	嫌恶
unsight	不检查的
domicile	住宅
elegiac	哀歌体
leaflike	像叶子
speak	说明事实
aphthongal	不读音字母
greaseproof	不透油的
kickster	一味追求刺激的人
banjax	揍
thuggish	杀人
turnkey	狱吏
zhuhai	珠海
subduce	除去
teleswitch	遥控键
annullable	可废止的
lanolated	有羊毛脂的
arrogation	诈称
vesical	膀胱
dissolving	消溶
frosted	被霜覆盖
fiend	邪神
equinoctial	春分或秋分
whist	安静的
channel	信道
cheshvan	=Heshvan
flowery	象花一样
adjuratory	誓言的
ultimateness	终结
monofuel	单元燃料
conspiratory	阴谋者
dropping	空投
troublemaking	捣乱的行为
retardance	阻止
spadille	最大王牌
hexastyle	前有六根柱子的
reflex	映象
marvel	觉得惊奇
ridley	鳞龟属
bailable	可交保的
mganga	巫医
spirituel	活泼的
blindfold	n
mismanage	处置失当
elate	使兴高采烈
applicatively	可适用
ramification	分枝
season	适用
marriageable	达到结婚年龄的
prepuce	阴茎包皮
abo	土著居民
lockram	亚麻制品
nullification	无效
trifacial	=trigeminal
olfactive	=olfactory
autoecious	寄生的
impregnate	怀孕的
hoofpad	蹄垫
enchantment	着迷
trivalvular	=trivalve
eater	吃……的动物
executive	执行者
neuraxon	轴突
underneath	在……的下面
loop	环
gremmie	新手
folliculin	卵巢滤泡激素
pinon	矮松果
complicity	同谋
watershoot	徒长枝
intertropical	热带
flask	细颈瓶
dihydro	有二个氢原子的
yapese	雅浦人
excitability	兴奋性
neotype	新型
skinch	对……吝啬
unef	United
persuasively	口才好
tornadic	龙卷风
corporator	法人团体的一员
fourfold	四倍的
creatin	肌肉素
horsemint	美洲薄荷
brownware	原始陶器
overgreat	过于重大的
ravage	蹂躏
aviculture	鸟类饲养
fecund	丰饶
atheneum	图书馆
colander	漏锅
sarcomagenic	致肉瘤
leisure	闲暇
seventy	七十
fertilize	使肥沃
capably	能干
motiveless	无目
jilt	任意抛弃
perinatology	围产期学
baroswitch	以气压来控制的开关
splanchnic	内脏的
dernier	最后
ashore	在岸上地
clitellum	生殖带
superfamily	总科
fall	采伐量
protectingly	加以保护
charitably	慷慨
peacebreaking	肇事
lilied	纯洁
mutinous	暴动
bestially	野兽地
imperviable	不接受
acritical	无极期的
lox	熏鲑鱼
deemphasize	使不重要
unthoughtful	未深思的
oven	烤炉
scurry	急赶
squat	蹲坐
enactment	制定
ascensive	上升
chatterer	饶舌的人
attorney	代理人
malaguena	西班牙
telome	顶枝
extractor	拔取的人
reinforce	增加……的数量
siscowet	湖鳟
spiflicate	使混乱
sliminess	滑溜
rousseauesque	具有卢梭风格
synkaryon	合子核
painstaking	艰苦
umt	Training
iliamna	伊里亚姆纳湖
coxal	基节的
wharf	卸上码头
body	大量
separatory	使分离的
complicit	串通一气
breezily	微风
psychics	心灵学
furious	热烈兴奋
convulsion	动乱
siphonostele	管状中柱
cap	相幅载波
peckish	唠叨的
behove	理所当然
drugget	粗毛毯
proportional	成比例的
scrambler	爬行者
tornado	具有巨大破坏性的人
pterosaurian	翼指龙的
hapless	不幸
pathetic	可怜的
una	Nations
uproariously	吵闹
lamish	有点瘸的
thermoelement	温差电偶
equably	稳定
illuminable	可被照明
update	使现代化
lixivium	浸出液
bayman	靠伐月桂为生者
pleiotropic	多向性
rambling	漫步
crassitude	愚钝
lucullan	奢侈
m	字母M
solidi	的复数
dysteleological	无目的论
throe	剧痛
inflexible	不屈挠
fernery	蕨类栽培
conplane	处于同一平面的
ventricle	脑室
ineradicable	根深蒂固的
gallium	镓
gradatim	逐步
embark	着手
sideroblast	成高铁红细胞
complimental	恭维的
shark	敲诈
sided	有边的
supplicatory	恳求
nonfissionable	不能产生核子分裂的
copihue	智利喇叭花
monofile	单文件
widf	Democratic
reification	具体化
crappy	没价值的
illiterati	无知识的人
stressable	可用重音读的
trivial	微不足道
grail	大盘
darkminded	黑心的
sdcd	Compact
rhemish	version
underexposure	曝光不足
fratricide	杀害兄弟者
readjourn	再次中止
problem	问题
safely	确实地
declamatory	雄辩家式
trichinous	患旋毛虫病的
linguister	翻译员
dismay	使惊慌
cobelligerent	战时盟国
inshoot	内曲线球
scenic	布景
precarious	不稳定的
uninquiring	缺乏好奇心的
calamondin	加利蒙地亚橘
drivetrain	=driveline
tailorable	可裁制成衣
mattamore	地下室
caesural	休止的
conplane	处于同一平面
pushing	急切
invert	使转化
rearmost	最后的
birdy	多鸟
transportable	可运输
kibbock	干酪
lankiness	又瘦又高
cochlea	耳蜗
yancey	燕西
unbuttered	没有黄油
bagpiper	风笛手
ns	nanosecond毫微秒
medium	半生熟的
ingenious	具有创造才能
organosilicon	有机硅
wisp	小物体
spermatogenous	产生精子
entablature	柱顶线盘
tinny	含锡的
forepassed	过去
driver	传动器
showground	展览场地
allantoid	尿膜
angor	极为痛苦
unpatterned	未成形
islamitic	=Islamic
extinguish	熄灭
myrrh	没药树
reniform	肾脏形的
overgarment	大衣
lr	symb
sieur	先生
tintinnabular	铃的
inadmissible	不许可
allopathic	对抗疗法
maraca	沙球
cotta	短袖束腰外衣
cataclysm	大洪水
notable	值得注意的
depraved	堕落
needful	需要的
amends	赔礼
bacardi	巴卡第
italian	意大利
unpersuaded	未被说服
landor	兰道
maladroit	不灵巧的
aiguille	钻头
emphatic	语势强
pallor	苍白
spree	纵乐
cowry	贝壳
diazomethane	重氮甲烷
bursectomize	给……施黏液囊切除术
typograph	活版印制
reservist	预备役军人
ionic	离子的
pollinizer	=pollenizer
interpolated	以内插值替换
dino	意大利人
transporter	运输机
acerbic	酸的
wrong	失常
mediocrity	平庸之才
adullamite	退出一派另行组派的人
conciliate	调和
extraviolet	紫外线
nastily	不洁
testing	测试
tcp	Control
fox	狡猾的人
sonochemical	声化学的
alchemize	使变质
dispatch	急件
helminthoid	蠕虫状
moonstruck	神经错乱的
commonland	公共用地
gurnet	鲂鱼
eternise	=eternize
tessera	纪念品
dosimetry	放射量测定
bmw	Bavarian
ureter	尿管
fossilology	化石学
cloistral	孤独的
morphinism	吗啡瘾
amboceptor	介体
therewith	以其
marplot	捣乱破坏他人计划者
spawny	似鱼卵
bichrome	双色的
qse	and
gam	鲸鱼群
strassburg	=Strasbourg
chickabiddy	小鸡
analogic	类推
diffusedly	普及
federal	北部联邦同盟盟员
wisely	聪明地
cariole	雪橇
coniform	圆锥形的
narrowfisted	吝啬
fizz	嘶嘶声
vicenary	20
faltering	犹豫的
exclusively	排外
cameleer	赶骆驼的人
fagmaster	有低年级生侍候的学生
hexyl	己基
hyposulfurous	次硫酸的
debarkation	登陆
evangel	佳音
histological	组织学
ascorbic	维生素C
bestead	帮助
zing	生命力
dependent	依靠
rickets	软骨病
making	发展
polymorphonuclear	分叶核的
xylography	木版印刷法
scalene	不等边三角形
oblivion	湮没
iab	Board
clammer	蚌蛤捕拾者
schoolmaster	校长
intermigration	互相迁徒
superliner	超级邮船
absence	不在
gleg	敏捷而反应快
trailerable	可放在拖车上载运
plutocratical	财阀政治的
kieselguhr	硅藻土
triturator	粉碎机
marked	显著
traveled	旅客使用
sparkling	闪闪发光
affluent	富裕
cue	球杆
bulldyke	=bulldike
nigerien	尼日尔
capitate	头状花序的
sia	新加坡航空公司
grumbling	喃喃鸣不平
dissociation	分裂
thrombus	血栓
hasty	匆忙的
centrosymmetric	中心对称
succussatory	振荡
phrenetic	发狂
plank	立刻付款
trespass	侵入
diuretic	利尿剂
waveringly	摇动地
rosellen	罗塞伦
rosy	蔷薇色
cered	裹尸布
hexagram	六线形
cpsu	the
estrade	台子
mac	Command
stopper	制止者
transit	中天
ratbaggery	古怪行为
companionate	伙伴的
catchpenny	不值钱
knightage	骑士名录
pineapple	菠萝
mertensian	默顿斯拟态
hempen	大麻的
nonutility	实用的
ketogenesis	生酮作用
frisson	颤抖
vision	视觉
tractive	曳引
gun	枪
laggardly	行动缓慢
indeliberateness	无心
carpogenic	结果实
tray	盘子
parodos	合唱队登场
raiment	衣服
backwater	停滞不进的状态或地方
tannish	浅棕色的
landholding	土地所有
citriculture	柑橘栽培
polyurethane	聚亚安酯
drastic	激烈的
booking	登记
assorted	多样混合
congest	充塞
connotative	隐含的
alkalify	使成碱性
medlar	欧楂
boondoggle	做细小而无用的事
fiercely	厉害
mannerly	有礼貌的
compunctious	悔的
contravention	违反
assyrian	亚述的
sneezy	有喷嚏的
semipalmated	具半蹼
fender	防卫物
mb	MegaByte
saloonkeeper	酒馆的主人
radiograph	射线照片
applescript	电脑开发的程序性语言
mumble	喃喃而语
brainwave	脑波
slav	斯拉夫人的
steerage	驾驶
indemnification	补偿物
cabalistic	神妙
shirt	衬衫
tinny	似锡
squirely	适合乡绅身份
emiction	尿
ground	范围
naughty	下流
antilabor	危害工人利益的
producer	制片人
page	记录
overhasty	过急的
epidermis	上皮
latifoliate	阔叶
myopathy	肌病
spoony	愚蠢的
surfeit	恶心
gallicanism	高卢主义
biparental	来自双亲的
semiconducting	半导体的
cambridge	剑桥
synonym	同义字
potentiostat	恒电势器
dystrophia	发育不全
cake	块
exlex	法律以外的
guimpe	在背心裙下穿的一种衬衫
protreptic	规劝
underemployed	大材小用的人
thitherto	直到那时
fenestration	开窗法
nin	外祖母
poculiform	杯形
oakling	小栎树
animalise	=animalize
deuterium	氘
herb	香草
soroptimist	国际职业妇女会之会员
systemic	身体组织
lincolnite	林肯政策支持者
embryonated	具胚
antitubercular	抗结核的
exoteric	一般人所能理解
vacillatingly	犹豫地
signori	signore的复数形式
choreatic	舞蹈症的
atmosphere	大气
magistracy	长官的职位
unblest	受诅咒的
autosum	自动求和
hydrid	氢化物
pietistic	假装虔诚的
orthovoltage	中电压
reparative	赔偿的
hydrographic	与水道测量有关的
photocell	光电池
toadstool	羊肚菌
auc	the
approbatory	赞赏
extender	添加物
theocratic	神权政治
typhus	斑疹伤寒症
haunting	常浮现于脑海中
cunit	100立方英尺
greenback	美钞
kelantan	吉兰丹州
lagger	惯犯
tentatively	暂时地
docile	温顺的
mesomorphic	具有由中胚叶发达之筋骨
furring	钉板条
faubourg	近郊
indeterminate	不确定
engraving	雕刻术
scandent	附着的
cutthroat	残酷
jmb	Joint
dehydrogenize	使脱氢
