fondly	情柔地
acidhead	吸麦角酸二乙酰胺成瘾者
whole	完整
makeshift	将就
trotty	快步
baht	铢的硬币
boldfaced	厚颜
regretful	后悔的
urological	泌尿道
rhythmicity	韵律性
lithophagous	食石的
leafy	阔叶
scaler	攀登者
digametic	异配子的
scotophilic	适暗的
rush	奔
presentive	表意的
topmost	最高的
perdition	毁灭
drove	畜群
shoelace	鞋带
enunciative	发音清晰的
shoulda	have
erythrocytosis	红血球增多
emaciation	衰弱
asu	Union美国学生联合会
homozygous	纯合子的
supraoptic	视束上方的
benlate	=benomyl
rutabaga	芜菁甘蓝
cellularized	分裂为许多小室
sycophant	奉承的
telltale	警告的
message	广告词
metathorax	后胸
dumping	倾销
savoia	=Savoy
noisy	聒噪
msn	微软提供的网络在线服务
decretory	法定
interspinal	棘突间
heller	捷克的货币单位
parallactic	视差的
otitis	耳炎
inmesh	使……陷入
polypidom	=polypary
shearlegs	起重三角架
fireplug	消防栓
anticommute	负对易
aglow	发红
article	文章
farness	远
digestibility	消化的好坏
mamillate	有乳头
trump	好人
cheesecake	酪饼
seashore	海滨
rickey	杜松子酒和柠檬汁、汽水的混合饮料
crankily	暴躁地
chancellory	=chancellery
blackness	黑色
pvc	Permanent
clarinet	黑管
workbook	练习簿
soar	高丛
necromantic	妖术
oestradiol	雌二醇
pinchfist	守财奴
dowable	有权得亡夫遗产
arrearage	欠款
unhurried	从容不迫
whorled	有螺纹的
aliform	有翼壮物
troublous	暴乱的
explorative	探险的
accoutrement	穿着
uncommonly	罕见
solemnity	严肃
turn	时机
nonluminous	无光
piquant	泼辣的
drillion	天文数字
atomic	原子能
centrality	向心性
inflictive	使人难过
impureness	不纯
barghest	犬状妖怪
siphonal	虹吸
northwesterly	向西北的
scoreboard	记分板
trigonous	三棱的
studded	打上装饰钉
ludic	顽皮
camerist	照相者
epitaxial	外延
bangladeshi	孟加拉国人
cppcc	Political
panda	熊猫
literalist	直译者
glitter	闪闪发光
reticula	网状
unreceptive	不会接受的
infinitude	无限
kuybyshev	=Kuibyshev
maximum	最大限度
reynold	雷诺
devour	贪看
mount	增长
bountifully	慷慨地
unstrained	未拉紧
misleading	易误解
sate	使心满意足
segmentalize	把……切分
loanshift	词变义
loudmouthed	高声讲话
glycyl	甘氨酰
foundress	女创立者
contoid	像辅音
fellowman	同胞
formant	构形成分
lancinating	象枪刺般
dentition	齿系
bonny	健美
tractably	温顺
uncate	有钩的
sureness	安全
megalomania	妄自尊大
falsehearted	虚情假意
inarch	接枝
therm	克卡
subeconomic	经济上不合算
unretarded	未延迟
coniology	=koniology
housebroken	有礼貌
promiser	立约人
bullethead	圆头者
mooch	偷偷拿走
zymoplastic	成酶
pantechnicon	家具仓库
brachydactyl	短趾的
atechnic	无技术知识的
bipinnate	二回羽状的
hardy	努力
convertibly	可改变地
piratical	盗版的
levy	征收
mcluhanesque	麦克卢恩的
unthinking	不留心
erythrophilous	爱好红色
wreckful	导致破灭
dentulous	有牙齿的
pubsy	使人联想到酒馆的
corticoid	肾上腺皮质类脂醇
immitigable	不能缓和
dominant	有统治权的
disgustful	厌腻
atrocity	残暴
elusively	易忘记
nowaday	当前的
misarrange	作不适当的安排
inaccurate	错误
widespread	普遍的
roulette	刻骑缝孔的齿轮
pantaloon	傻老头
recoupment	赔偿
roadman	修路工人
innocent	无知
indemnitee	接受保障者
emery	金刚砂
offense	进攻
sidelight	侧面射进来的光线
folacin	叶酸
roofless	无屋顶的
vernicle	印有耶稣圣容的布
purpuric	产生紫色的
junkie	有毒瘾者
beloved	心爱
ganoid	表面光滑
violone	低音提琴
prolifically	多产地
tributary	支流
faithful	信徒
hexapartite	由六部分构成
applicable	可应用
lettrism	字母派
asteroid	海盘车
aiff	APPLE
jumna	亚穆纳河
new	更新
pigstick	狩猎野猪
songbird	鸣禽
doxy	娼妇
scheme	摘要
brinkman	实行边缘政策者
piscicultural	养鱼的
subassembly	部件
stornello	斯托内洛
whisper	飒飒的声音
paranasal	鼻侧
indic	印度语的
jug	放入壶中
severity	严格
atrabilious	沉闷
hardcover	精装书的
verbally	用言辞
borderland	边界地方
popularity	声望
languishment	衰弱
dingbat	主意
fanion	小旗
clofibrate	安妥明
ephemeron	生命极短暂之物
new	初见
performing	履行
keratalgia	角膜疼痛
urus	野牛
airmail	航空邮件
letterpress	凸版印刷机
culm	竹茎
fuzz	警员
universal	全体的
manual	手动
herbartianism	赫尔巴特主义
preproduction	试制
arrester	防止装置
caucasian	高加索
relaxative	有缓和作用
owlish	面孔严肃的
esurient	贪婪的
henchman	忠实的追随者
flicker	昏倒
offbeat	不规则
taiwanese	台湾
coldstart	冷起动
oldwomanish	大惊小怪的
flagitious	残忍的
takeoff	起飞
spcc	of
bac	用绳子拖的平底渡船
aru	Union
execratory	诅咒
assuming	僭越
gorgonian	可怕的
eutomous	裂隙清楚
phallical	生殖器崇拜
afterdinner	宴会后
coquetry	献媚
erythropsia	红视症
modificand	被限定词
kaapstad	Town
plastral	腹甲的
clottish	愚蠢
deliriant	引起精神错乱
oceanicity	海洋性
northerly	北方
spiteful	怀恨的
windgall	关节软瘤
neptunist	岩石水成论者
slot	跟踪
profitably	有益地
distant	关系远的
horniness	角质
tentative	试探
volante	轻快的
joviologist	专门研究木星的天文工作者
insensibly	没有知觉地
temper	调节
conformably	顺从
magic	戏法
facilely	轻快
limbal	缘的
ushership	引座员
berserk	狂暴
goanese	果阿人
pels	象素
rusty	迟钝
bullhead	顽固的人
quashy	似沼泽
poortith	贫困
vmd	Doctor
semistarved	半饥饿的
wba	Boxing
gangetic	恒河
hemoflagellate	血鞭毛虫
ustc	United
bleaching	漂白
drunk	喝醉了的
cloistress	修女
monotonous	无变化的
illumine	照明
aristate	有刺的
astrionics	宇航电子学
verity	真理
plutocratic	富豪的
lupin	羽扇豆
sybaritic	柔弱
chasm	深坑
disburden	解除负担
spinate	有脊
lightstruck	意外曝光的
unpruned	任其自然生长
swanky	时髦
staggeringly	蹒跚地
graininess	木纹状的
lapm	调制解调器链路存取协议
sit	坐
now	此刻
chalky	白垩的
reviviscent	复生
anamorphosis	歪像
charge	加罪于
it	Technology
scotophilic	喜暗的
coliseum	大体育馆
fruitive	能享受的
lexeme	词的单位
escadrille	小舰队
mesopause	中间层顶
breaking	阻断
lhc	Lord
anapurna	阿那普那山
isoetes	水韭属植物
chalky	白垩
photoradiogram	无线电传像
meek	温顺的
subcutaneous	皮下用
lewd	下流的
preferential	特惠
malice	预谋
defensibly	可辩护
fairness	明亮
foil	叶形片
scummy	满是浮渣
eia	电子工业联合会
bionic	仿生学的
refractable	折射性的
merchant	商人
hit	偶然碰上
pliably	易曲折地
diagram	图表
shortbread	奶油和糖掺合做成的脆饼
ireful	忿怒
socius	同事
tavern	酒馆
phosphorolytic	磷酸解的
caliduct	暖气管
uncomely	不正派
equivalent	同意义的
refreshing	使人喜欢的
westering	西下的
multifunctional	多功能
place	地点
sdk	Development
detainer	继续监禁令
anechoic	消声的
openhanded	大方
sole	换鞋底
quietive	趋于寂静的
indoor	室内
thriftlessly	不节俭
inessive	在内格
assure	保证
survey	测量土
overcapitalize	对……之资本估价过高
hardcase	强健的
topless	穿袒胸衣的
septuagenarian	七十岁老者
idioplasmatic	细胞原质的
inquiet	不安
pubescent	有软毛
ablepharous	没有眼睑的
incommutable	不能交换的
synonymity	同义性
depute	委托
dyadic	二价的
pouched	有袋的
cravenly	胆小地
cookshack	灶棚
rebel	叛逆
resident	常驻
globulous	球形的
score	把……记下
feigned	捏造
viscountcy	子爵的身份
bayadere	舞妓
estriol	雌激素三醇
talcahuano	塔尔卡瓦诺
nessus	内萨斯
root	根部
quintessence	精萃
spunk	胆量
deckie	=deckhand
bitterish	稍苦
adapted	适合
sword	剑
helvetian	赫尔维蒂的
trihydroxy	三羟的
burnsides	伯恩赛德式连鬓胡子
semasiology	符号学
caressive	亲柔的
frailly	脆弱地
unobstructed	不被阻塞
necromantic	降神术的
gap	差距
lallation	r
humorous	想入非非
sensationalize	使引起轰动
metalloprotein	金属蛋白
ataxic	共济失调的
idle	懒惰的
reflex	反作用的
unedified	未受教化的
hateless	无憎恨之感
unbiased	没有偏见的
scale	比例
snugly	舒适温暖地
puncture	刺破
lanner	猎鹰的一种
pastime	消遣
paratrooper	伞兵
oppugn	质疑
tycooness	女巨头
hymn	圣歌
ascensive	上升的
inadaptability	无适应性
cozy	惬意的
galenism	盖林的医术
puckery	易皱
hypermnestra	许珀耳涅斯特拉
sunday	星期日
night	夜晚
heterotaxy	地层变位
pygmaean	极小
seek	寻找
ratguard	鼠挡
chirpily	快活地
mic	microphone
lively	活泼的
asway	摆动地
galla	盖拉语
procrastinate	延迟
hotfoot	急忙地
repugnant	不一致的
ashen	苍白
involucra	皮膜
overkind	过于友好的
wearable	可穿用
kenotron	高压整流二极管
tudory	都铎式建筑
makable	可标记的
bespoken	预约
reference	参考
attribute	属性
nolo	contendere
menstruous	月经
mailman	邮差
rhizomatous	生地下茎
hydrostat	防止锅炉因水少而爆炸的装置
decumbent	匍匐
hadhramautian	哈达拉毛
hirable	能租用
roseate	愉快
lashing	痛斥
iconology	象征主义
calenture	热带地方的热病
dat	数字录音带
diluvian	=diluvial
yh	青年招待所
propellent	推动者
poikilitic	嵌晶状的
volley	截击
kbe	第二等的高级英帝国勋爵士
numbly	失去知觉
film	在……上覆以薄膜
indeterminate	模糊
jug	模仿夜莺的叫声
druther	宁可
izzat	自尊心
premalignant	恶化前的
triaxial	三轴
cmb	美国大通曼哈顿银行
swinger	摆动的人
inapplication	疏忽
olden	古昔的
uninformative	不提供信息
parliamentarian	议事法规专家
primula	樱草属的植物
icily	冷冰冰地
kennebec	肯纳贝克河
ignorant	无知
semiautonomous	半自治
enfeeblement	弄弱
adzuki	bean
photocomposer	照相排版机
sinuiju	新义州
factotum	家务总管
filibuster	掠夺兵
cornaceous	山茱萸科的
fleshless	无肉体
tournure	姿态
inapparent	不显著
nuchal	颈背
redball	铁路特快货车
beauty	美
sisterly	象姐妹的
rejoice	喜悦
modernminded	有新思想
stuggy	矮胖
riff	即兴重复段
cardiotonic	强心的
brickie	泥瓦匠
unexamined	未经检查
unreconstructible	不能改建
sideslip	侧滑
touchwood	朽木
visitation	天降的祸福
lexiconize	将……编入辞典
naseberry	人心果
rebreathe	再呼吸
encouragement	奖励
maryland	马里兰
flotilla	小型船队
demanding	过分要求
grand	重大的
earliest	初期的
essential	精华的
kiangsi	见Jiangxi
silly	无聊的
extraterritorial	在疆界以外的
staphylococcal	由葡萄球菌引起的
augmentative	增大意义的
carbide	碳化物
cotswold	sheep
unglamorous	单调
rheinland	=Rhineland
anathematic	憎恶
fantastically	空想
yokemate	配偶
omphalos	浮饰
lobster	龙虾
entameba	内阿米巴属
mcpo	一级军士长
vaporimeter	蒸气压力计
weighty	重的
totty	喝醉的
aquarian	太空时代
togoland	其西部已成为加纳
demonstrate	示范
fenestrate	有窗状小孔
resubject	使再臣服
unlinguistic	与语言学无关的
inkpad	印泥
pitpat	快步而行
ascap	Composers
cooktop	炉灶面
antiemetic	止呕吐
under	在……之下
stop	塞住
mithraicism	=Mithraism
resumptively	概括
verner	弗纳
ultranationalism	9QltrE`nAFEnElIzEm/
euthermic	发热
balt	波罗的海东南岸地区的居民
rabid	患有狂犬病
irreality	缺乏真实性
rigid	刚性
alertness	警戒
glumpy	脾气坏
jakarta	雅加达
shadowgraph	皮影戏
kalmuck	住于美国西部的蒙古人种之一种族
promptive	激励的
mephitic	有毒的
appetent	热望的
transmissible	可遗传
gonocyte	精母细胞
scorpaenoid	=scorpaenid
kennetic	认知
succussatory	猛摇
uncomely	不标致
unroof	除去屋顶
imperscriptible	非官方的
vane	风向标
sequestered	隐退
looseleaf	各页可任意装拆的
geld	阉割
toilet	梳洗
vacuometer	真空计
larky	爱闹玩的
roadable	适于在路面行驶
smitch	一点点
neilsbed	针床
enchylema	胞基质
hazardous	冒险的
voguish	一度流行
kippen	为kep之过去分词
gluside	糖精
metainfective	传染后
hurt	伤感情
bloodhound	一种大侦探犬
gliding	滑行
irish	爱尔兰的
photoset	照相排
pistillate	只有雌蕊的
chresard	有效水分
ambagious	迂远的
entryway	入口通道
noncellular	非细胞
transcontinental	大陆那边的
inaccessibly	进不去地
ineptly	无能
rarely	罕有
highflying	抱负高
slavonic	斯拉夫民族
georgiana	乔治亚娜
evacuee	撤离者
tooltips	工具提示
orderless	不整齐的
trichome	毛状体
tatty	不值钱
shrimp	捕虾
heliochromy	彩色照相术
beefeater	吃牛肉者
steepled	有尖塔的
flange	凸缘
coverley	Roger
havre	Havre
dodgem	碰碰车
droob	可怜虫
unlearned	无学问
vasostimulant	促血管舒缩的
iroquoian	易洛魁族人的
bile	胆汁
bengalee	孟加拉国人
moro	摩洛族
honier	honey的比较级
jonson	琼森
caressing	亲切
contrary	逆
punk	崩客
resediment	使再次沉积
doronicum	多榔菊属植物
haptotropism	=thigmotropism
defeasance	废止
relight	重新燃点
pauperism	贫困
seasonal	季节的
dissepiment	隔膜
feudatorial	封建的
berth	停泊处
heroicomical	戏谑性
idiosyncratic	异质的
lushly	多青草地
hygienics	卫生学
hypergalactia	泌乳过多
tonga	轻便双轮马车
musculature	肌肉组织
unregimented	未严加管制的
chaste	贞洁
pinchfist	吝啬鬼
netting	网
childbearing	分娩
highflying	抱负高的
lank	平直
measureless	不可量的
opencast	露天挖掘的
scolding	叱责
desultorily	杂乱无章地
skelter	往前冲
schistous	片岩
surveille	=surveil
immediate	立即
zymase	酿酶
chalutz	=halutz
lwl	length
seriation	连续
increscent	增大
tumidness	肿胀
lasso	套索
puckery	起褶的
nonperson	受到排挤的人
propane	丙烷
soliloquy	独白
uncultured	落后
multicast	多点传送
latvia	拉脱维亚
governable	可统治
congruous	一致
presentive	直示
troglobite	洞生动物
tinhorn	假装有钱
glassy	象玻璃的
postrorse	向后
base	根据
katabatic	下降
freeborn	生而自由的
glomma	格罗马河
mime	Multipurpose
canonise	=canonize
outdoorsy	爱好野外活动
unimproved	未耕种的
allonymous	笔名
mycophile	采蘑菇的业余爱好者
faltering	支吾的
declensional	变格
out	从头至尾
spectroheliometer	太阳分光计
ephemeral	短暂
seawards	向海地
yatter	瞎聊
filipino	菲律宾人
amassment	聚积
sloppy	溅湿的
sinfully	不道德
hangup	挂断
moneyless	贫穷的
unwrought	未做成的
allmains	适应各种电压的
frondescent	多叶的
cohabitation	同居生活
somascope	超声波检查仪
mainsail	主桅的帆
gyration	旋回
isomorphic	同形的
willinghearted	心甘情愿
burglary	入室行窃
uninterpretable	无法翻译的
uncomely	不恰当的
clack	噼啪响
hershey	黑人
lashing	许多
accompanyist	随伴者
sanatory	有益健康的
unhasty	不慌不忙的
viameter	路程计
hirudin	水蛭素
slavophile	亲斯拉夫人
telegrapher	报务员
denominal	来自名词
timer	计时员
bangle	手镯
formal	外形的
whiten	使白
inferno	阴间
encephaloid	类脑的
structuralist	结构主义的
preventible	可阻止
bastardry	恶行
layamon	莱亚门
commissure	接合处
tough	坚强的
gath	迦特
symptomatic	症状
sallowish	带灰黄色
lintwhite	红雀
britt	=brit
paracharmonium	仲粲子
unhinge	搅乱
reinless	放纵的
kruger	即Kruger
aspca	the
mb	兆字节
blessing	祝福
unattached	独立
denatant	顺流洄游
etr	Rate
aurae	预感
grouse	松鸡
unpersuasive	无说服力
carrion	腐朽
sugarberry	密西西比朴
godfrey	男人名
patronym	=patronymic
morbidity	发病率
obstacle	妨害物
dainty	秀丽的
beibu	Gulf北部湾
methanation	甲烷化
stratovision	同温层电视广播
homocercal	正型的
gallabiya	宽大的白色长袍
itching	痒
ripidolite	铁绿泥石
nourishing	滋养多的
pigeonhole	分类
servomechanism	自动驾驶装置
cancel	取消
uncate	钩状的
arson	纵火
graduation	刻度
heterotrophically	不是自养地
dividend	红利
memory	存储
outpoint	比……更向逆风航行
overlay	覆盖图
conclude	结束
qaranc	Alexandra''s
interfile	把……归入档案
unimpeached	不容怀疑的
extraocular	眼睛外面的
scrumptious	绝妙
ungual	爪似的
shadowy	阴凉
ektexine	外表层
thixotropic	具有触变作用
kaliph	=caliph
lavishly	丰富地
nrotc	Officers''
outline	大纲
morion	无面甲的头盔
musingly	沉思地
arm	武装
tarnal	非常的
hotspur	暴躁的人
viselike	=vicelike
jake	上等
trisyllable	三音节的字
when	那时
cottonseed	棉籽
vigesimal	二十分之一
tonsillitic	扁桃腺炎
lysippus	利西波斯
withering	摧毁
microprogrammable	可编微程序
acred	拥有许多地产的
somnambulary	梦游
desterilize	恢复使用
argali	盘羊
auxesis	细胞增大性生长
dawdler	懒人
those	pro
glossopharyngeal	舌咽肌
wring	榨取
inthronization	=enthronization
herbivore	草食动物
tupian	图皮人的
theirs	pro
exaction	苛求
ashram	修行的处所
chloroplatinic	氢氯铂酸
ece	欧洲经济委员会
chowry	蝇拂
amazingly	令人惊讶
cinerator	焚尸炉
photocatalyst	光催化剂
facilitate	促进
epistolary	书信体的
expensive	昂贵
mdap	Mutual
petalled	有花瓣
hopeless	绝望的
rainbow	虚无缥缈的东西
separably	可区分地
inauthenticity	不真实
pug	足迹
admissible	可容许的
gracious	高尚
spavin	跗节内肿
tail	后部的
futz	闲混
calyptrogen	根冠细胞层
maidenish	处女
interminably	冗长地
numeration	编号
bessy	贝茜
transportable	便携式电视机
paludal	沼泽的
unscientific	无科学知识
theater	手术室
transmutative	变形
expiration	呼气
colonial	殖民地居民
solidary	团结一致
fictile	塑造的
conveyable	可传达的
purgatorial	炼狱的
nooky	交配
sourly	性情乖僻地
jehovic	耶和华
pushover	容易做的事情
sheol	冥府
ila	International
castelet	小城堡
afloat	传播的
cinerous	灰色的
salicaceous	杨柳科
iridous	三价铱的
tradesfolk	商人
podgy	矮胖的
berliner	柏林市民
mariana	马里亚纳群岛
escharotic	生焦痂性的
polytheism	多神教
pavin	=pavan
tibial	胫骨
sublunar	月下的
inducement	刺激物
ichthyomorphic	鱼状
addend	加数
concentrative	专心的
backseat	次要位置
couchant	俯伏
thickset	稠密的
escarp	使成斜面
rocker	摇杆
eternally	永恒
positivism	实证主义
delay	延期
exclamatory	叫喊的
compounding	组合
dw	Data
icequake	冰震
percipience	洞察
visit	逗留
fddi	Interface
registered	已注册的
chapman	叫卖者
enterprise	事业
preciously	仔细地
broncobuster	驯养野马的牛仔
alap	阿拉普
inspirator	注射器
benzoate	安息香酸盐
vision	想象
message	音讯
audiogenic	声音所引起的
kamela	=kamala
dysphagy	吞咽困难
lpn	Practical
unstriated	无横纹的
execrative	憎恶
publish	刊印
sameness	同一性
lateritic	含有红土之特性的
nannyish	象保姆的
ixodid	硬蜱
hagdon	鸥鸟
private	私人的
everard	埃弗拉德
banger	破旧车
dotted	星罗棋布
abcoulomb	C
factorial	阶乘的
redeye	番茄酱
explode	激发
nervily	神经过敏地
transportation	运输
contravene	违反
psychogony	心理的起源与发育
afc	F
abortive	失败
epeiric	伸入内地的
rotund	洪亮的
unsanctioned	未认可
envenomate	给……注入毒汁
uncaused	自存
lamellibranchiate	瓣鳃类的
pichiciago	铠鼹
vixen	唠叨的女人
monostylous	单花柱
wb	Bank
linguist	语言学家
shadberry	唐棣果实
gumweed	=gum
ratling	横索的梯绳
racemiform	总状花序形
electronarcosis	电气麻醉
orpharion	奥法里昂琴
blastosphere	囊胚泡
unstuck	紊乱
crossbeam	大梁
despairingly	绝望
ventriloquous	似腹语
abbe	神父
upland	丘阜
schnook	易上当受骗的人
pharmaceutist	药师
bnoc	National
aau	Athletic
vastly	广大
scotchman	苏格兰人
poddock	蛙
ceeb	Entrance
briquette	煤球
hydrometeor	水汽凝结体
underclothes	贴身衣
samfu	中国女式紧腰身套装
conducively	有益地
force	势力
rascally	卑鄙的
par	同等
infertile	不肥沃的
monthly	每月
honeydew	蜜汁
nonfigurative	抽象的
striate	有条纹的
dracaena	龙血树属植物
bandsaw	用带锯锯
conformable	一致
discrown	使退位
gaussage	以高斯为单位的磁场强度
residually	残余地
referring	提交
unfinished	未染色
pushing	有进取心的
left	左翼的
shweli	瑞丽江
snobbishness	势利
dicotyledonous	双子叶的
amperehour	安培时
account	计算
semicivilized	半文明
emendatory	修订的
soberly	严肃地
sib	家族成员
mediterranean	地中海
existing	现有的
endlessly	无穷尽地
gray	暗淡
inconceivable	不能想像的
orthomorphic	正形
vindicatory	报复的
semilog	=semilogarithmic
perfluorochemical	全氟化合物
electrolyse	电解
molechism	传染性病毒
airstop	着陆场
mormondom	摩门教教徒居住区
empathy	神入
fenderless	无挡板
unmalicious	非恶意的
ribbed	有肋骨的
roadman	通路保养工人
camelback	骆驼背
raccoon	浣熊
acrodrome	脉向尖聚集
inaugurate	创新
fulling	缩密法
lasthome	坟墓
nymphae	蛹
kibitzer	开玩笑的人
ndis	Network
procacious	大胆的
victor	Victor
nicotinism	尼古丁中毒
warily	小心地
xenophobia	惧外者
outrageous	可恶
peculiar	奇特
aquavit	白兰地烈性酒
lot	抽签
belemnite	箭石
bewitching	使人着迷的
wrong	不正当的
fcic	Federal
enhydrous	水的
deponent	宣誓作证者
hitter	打者
assure	确告
malihini	新到夏威夷的人
dormouse	睡鼠
cribbage	纸牌玩法之一
benchman	修鞋匠
transcriptor	录音重放装置
holocaust	大屠杀
value	价值
eremophilous	荒漠生的
vivarium	动物园
tripodic	用三脚
assheaded	傻瓜
intonate	发音调
precondemn	预定……有罪
hoot	汽车喇叭声
zonked	醉酒的
cad	Aided
unwanted	讨厌的
beaconing	信标
rasp	粗声粗气地说
ingerence	侵犯
mandola	大型曼陀琳
outgush	涌出
schmutz	污物
maccabees	马加比家族
custom	关税
ecology	均衡系统
grassland	牧草
metalclad	铁壳
verdigris	碱性醋酸铜
oppression	苦恼
malconformation	不完善形态
seize	没收
crus	小腿
savagely	野蛮地
sporidium	担孢子
calque	仿造词语
undress	暴露
hamburger	汉堡包
edificatory	开导的
tanbark	鞣制革
tipwizard	操作向导
raec	Corps
routh	丰盛
rustler	活跃的人
remediation	纠正
keratectomy	角膜切除术
unverbalized	非言语化的
massoretical	=Masoretic
noddle	点头
oftentimes	时常
html	超文本链接标示语言
civies	便服
panivorous	食面包
feeling	富于感情
confide	信赖
nonfood	非食物的
strongpoint	长处
agrobiology	农业生物学
grateful	感激
sins	inertial
postcava	后腔静脉
escap	Asia
plank	铺板
pittypat	卜卜作声
bribability	有贿赂的可能
ovulation	排卵
unnational	非民族的
pomiferous	结梨果状果实
antistrophe	对照乐节
emigratory	迁居
flounder	发慌
botb	Overseas
hydrothorax	胸膜积水
inp	News
tap	活栓
cypriote	塞浦路斯
potsherd	陶瓷碎片
suspend	悬挂
prelatic	高级教士的
googly	曲球之一种
publishing	出版业
nevi	nevus的复数
caaba	=Kaaba
swingle	用打麻器打
billiard	弹子戏的
xxxv	罗马数字
ganggang	甘甘凤头鹦鹉
mount	设置
makimono	书画卷轴
covenant	缔结
trouser	女演男角
jazz	爵士乐
cosmological	宇宙论
cognitive	认识
begem	使如同镶宝石一般
embroider	镶边
rodriguan	罗得里格斯岛人的
bicomponent	双组分的
ration	实行定量配给
gallica	法国蔷薇
aram	Academy
dript	滴
snuffling	抽着鼻子
fiberglass	玻璃纤维
echograph	回声深度记录器
ryot	佃农
unduplicated	无复制品的
dysplasia	发育异常
upright	合乎正道的
chromo	多彩石印版
zip	拉链
escallonia	鼠刺
trichinellosis	=trichinosis
idiophonic	非膜质打击乐器
wheaten	小麦
testaceous	介壳
bwr	boiling
gyrocopter	=gyroplane
fudge	粗制滥造
syntechnic	异种趋同
consultant	顾问
muderer	谋杀犯
hotfoot	急忙
margaric	珍珠
azine	二氮陆圜
depurate	净化
scarves	丝巾
tensile	可拉长
ebullience	沸腾
semeiology	符号学
javaite	玻陨石
quarrelsome	好争论
instrumentalism	InstrE5mentElIIzEm/
acosmist	无宇宙论者
wb	世界银行
fibrillate	有原纤维
adjustable	可调整的
stockjobbing	投机
salvable	可救的
etymological	根据语源学
decade	十
houseman	男勤杂工
lovable	可爱的
lokal	夜总会
calibration	校准
hydrostatic	静水力学的
toothcomb	细齿梳子
potomac	波拖马可河
transitive	及物
revelator	启示者
notarial	公证人的
arianise	信奉阿里乌教义
particularize	大书特书
homer	本垒打
unpunished	未受惩罚的
duplicated	复写书的
nosogeographic	域病理学
thine	你
zootechnics	动物饲养学
cybernetical	控制论的
hypomotility	动力减退
iea	Education
unrepulsive	不令人厌恶
narrowly	勉强
procreate	生
haematoid	血样
schoolbook	教科书
otis	奥蒂斯
zincify	中加锌
reverberation	反射
quench	熄灭
axilla	咯肢窝
effectuate	实行
austere	严厉
