bier	棺材架
haply	大致上
scorbutic	患坏血病
fatuous	发呆
remissness	怠慢
olfaction	嗅觉
accoucheur	男助产士
unwinnable	攻不破的
gracioso	小丑
understock	不充分进货而存货不足的
recontaminate	再污染
reglaze	重装玻璃
cerebrocentric	大脑中枢
accessory	附属
grounder	沿地面跳滚的球
swam	swim的过去式
scurrilous	说话粗鄙恶劣的
constancy	恒久不变的状态或性质
xl	extra
grocer	杂货店
tinwork	洋铁器
prosodic	作诗法
dissever	割裂
naturalise	使归化
moldy	发霉
cristated	冠状的
malam	=mallam
feeling	知觉
bindin	结合素
recital	叙述
photometric	光度计的
catfacing	畸形
savourless	缺少风味
foliose	多叶
contortion	歪曲
preignition	自动点火
cant	伪善之言
circumstanced	在……情况下的
googol	10的100次方
lattimore	拉蒂摩尔
puff	宣传广告
hurt	伤害
independently	独立地
exhumation	尸体发掘
riempie	皮条
lactim	内酰亚胺
smokemeter	烟度计
destructivity	摧毁能力
hen	母鸡
aphorism	谚语
indissociably	不能分离地
drunk	drink
spinout	回形滑行
coronae	圆烛架
rudderpost	舵柱
sequential	相续的
removal	移动
humorous	异想天开的
mf	不要脸的家伙
bezant	银币名
audio	音频
desmotropism	稳变异构
byronic	冷笑而浪漫的
negentropy	负熵
grassfinch	草雀
neopentane	季戊烷
rotiform	轮形的
quinnat	salmon
thixotropic	触变的
chillout	室温过低
hairy	毛似的
quadrophonic	四声道
radioactive	放射性的
err	走上歧途
ssafa	Airmen''s
libyan	利比亚
discrimination	歧视
slinkingly	偷偷
interconversion	互换现象
backseat	后座
handle	处理
icily	冷冰冰
galactophore	乳腺
circassian	切尔克斯的
appreciate	增值
shimmy	摇动
body	主要部分
sassy	失礼的
connatural	固有
contretemps	令人尴尬的事
extorsion	外旋
goboon	痰盂
inhumane	残忍的
spheriform	球形
thickly	浓地
jetliner	喷气客机
embryotic	初期的
cannabic	大麻
boniness	憔悴
calcic	钙
inexactitude	不精密
discouraging	令人气馁
essay	企图
solvent	有偿付能力
preponderance	占优势
flunkee	因考试不及格而被迫退学的人
coarsely	粗俗地
wormhole	蛀洞
sling	投掷
ideologist	思想家
dep	of
venireman	陪审员
jejune	不成熟的
jaff	复式干扰
adze	扁斧
unwarrantable	无法辩护的
schradan	八甲基焦磷酰胺
shrubby	灌木一般
underdress	内裙
uncontemplated	未经周密考虑
tenuirostral	细喙
erasmian	伊拉斯谟作品的
titlist	冠军
proud	得意的
whaler	捕鲸人
such	这样的人或物
enhance	增强
gnaw	啮
spaceworthy	具有太空耐航力
jot	稍许
mutafacient	突变加强的
solubilization	溶解
cozily	安逸地
pawnbroking	典当业
greg	格雷格
investiture	授权
land	陆地
dextrorsely	右旋地
pyaemic	脓血症
liege	君臣关系
colloidal	胶质
briticism	英国英语语法
uteralgia	子宫痛
instantaneous	即刻的
proteolytic	解蛋白
lst	当地标准时间
undamped	不潮湿的
thermosiphon	温差环流系统
memory	回忆
died	消逝
register	登记
penetrative	渗透
chrysler	克莱斯勒汽车
moodiness	喜怒无常
aequum	热量所需量
whew	吹哨声
drooly	流口水的
habakkuk	希伯来的先知
fact	论据
baffleboard	证券交易所之行情板
parkland	公用场地
emiction	排尿
newshen	女性新闻记者
punishable	可罚的
interarticular	关节间的
gainer	获得者
enthalpy	热函
mhc	major
charactron	字符管
allo	紧密相联
bloodwort	仙茅科植物
clamp	夹钳
polluting	污染
pim	个人信息管理
odious	讨厌
reviewable	可回顾
stupid	愚蠢的
revalve	装新阀于
sublimate	纯化
strongyloid	圆线虫总科
unvexed	沉着
isothere	等夏温线
infallibly	绝对无误地
multipoint	多点
bibliotheca	书目
consuela	康斯薇拉
peak	最高的
berline	四轮双座篷盖马车
folksy	友好的
despondence	沮丧
yieldly	生产
unwrung	不感到苦恼的
gammon	作假
nitroparaffin	硝基烷
circumcolumnar	绕柱的
mpp	大规模并行处理系统
tty	teletypewriter
rebate	打折扣
peddling	行商
nsec	nanosecond
electrology	电疗学
sonorously	朗朗
playscript	剧本原稿
sanguiferous	含血的
photooxidation	光致氧化
maker	发期票的人
suffragette	妇女参政权论者
whitewash	白色涂料
quotient	商
reknit	再织
owllight	薄暮
straw	麦杆
backflow	逆流
presidial	管辖的
fuddled	醉
euratom	欧洲原子能共同体
trencher	木制食盘
juan	胡安
mulct	抢夺
swapo	People''s
peripherad	向外
warranty	担保
drunken	酒醉
gassy	气体的
radicant	从茎部生根的
avatar	天神下凡
bluntness	迟钝
narrowfisted	小气
krummhorn	变号
dot	点
fulguration	闪光
unthoughtful	轻率
flack	宣传员
anthophilous	爱花
incubus	梦魇
ark	方舟
preambulate	作序言
inadaptability	非适合性
supersensible	超感觉
pyogenic	化脓
leniently	仁慈地
abwatt	电磁瓦
exacerbate	使加剧
brash	胃灼热
calumnious	中伤的
mdt	山区时区
gilberte	吉尔伯特
chemoprophylactic	化学预防
incubative	潜伏的
hook	沉迷
doodad	小摆设
transversal	横向
reward	报酬
regardless	不注意
multiped	多足
flexural	弯曲的
insuppressive	抑制不住的
literal	无夸张
ganglion	力量、兴趣、活动等的中心
billsticker	张贴广告者
coolville	极好的
waspie	妇女紧身胸衣
polymolecular	多分子
multidisciplinary	包括各种学科的
aeronef	飞机
nephralgia	肾痛
forficate	分叉
rule	惯例
confrere	会友
moabite	摩押语
schoolboy	男学生
equiponderance	平衡
transpositional	变调的
clamjamfry	暴民
ljubljana	卢布尔雅那
succus	汁
gastrocnemius	腓肠肌
singular	异常
backswing	回复
ragefully	狂怒
castrate	阉割
convinced	确信的
hemagglutination	红血球凝聚的
serpentinize	使蛇纹石化
undynamic	精力不够
polyarchy	多头政治
dogmatic	独断
publisher	出版者
garlandage	以花圈做的装饰品
chalkstone	白垩块
officiate	行使
nitrous	硝石的
frequentation	常往
desperateness	拼命
eam	Metopo
septicopyaemia	=pyaemia
lacunal	空隙
flutey	=fluty
reengineer	再设法处理
tarnal	极其
alsorunner	失败的参赛者
diadem	带状头饰
afterglow	晚霞
lignose	木质素
evaporator	脱水器
colewort	芸苔属
poise	砝码
retrocede	交还
distinguish	区别
zedoary	莪木
citronellol	香茅醇
elementoid	元素状的
lumber	木材
exhibit	展览品
weak	软弱的
methylcellulose	甲基纤维素
weak	不牢固的
sidewards	向旁边
diphthongal	双重元音的
pulpitry	说教
locker	有锁的橱柜
uncreated	尚未产生的
cake	饼
fogbound	因浓雾而进退不
girlhood	少女身份
horrific	令人毛骨悚然的
epeirogenic	造陆作用的
solon	贤人
syriac	叙利亚语的
antitrust	反托拉斯
conqueror	胜利者
foolproof	十分简单
monogram	字母组合
metachrome	变色粒
backroom	密谋策划的场所
kidling	羔羊
ferrara	阔刃剑
cacographer	拼写错误的人
peenge	发怨言
divinization	奉为神圣
stoss	向冰川面
crawfish	小龙虾
oversimple	过于简单的
ransack	到处搜索
winnow	吹掉
burnish	擦亮
urbanity	有礼貌
methimazole	甲硫咪唑
muff	漏接
winded	喘气
sidehead	侧标题
salem	塞伦
multimode	多方式
registration	注册
aerography	气象学
nonnegotiable	不可流通的
cannoli	奶油甜馅煎饼卷
inhospitably	荒凉地
phthisiology	结核病学
batwing	状似蝙蝠之翼
interfile	使归入系列
blastodisc	胚盘
hydrocracking	碳氢化合物分裂
choker	噎住的人
maskless'	NULL)
cadence	抑扬顿挫
listerize	消毒
cruet	调味瓶
discordance	不调和
discommode	使为难
dermometer	皮肤电阻计
usac	Auto
irrepealable	不可撤销
hal	Abstract
down	绒毛
rechargeable	可再充电的
megaversity	巨型大学
ataxia	无秩序
illumine	点亮
norward	北部
tsangpo	River见Yarlung
shade	荫凉处
decentralization	分散
pollard	被修剪的树木
divisive	区分
aristarch	严厉的批评家
squamose	有鳞片的
unchangeably	不变地
flowing	平滑
counterdrain	漏水渠
astigmatic	散光
autonym	实名
sphacelus	坏疽
ostensible	表面
grading	分阶段
flexuous	曲折
skilful	技术好的
approbatory	赞赏的
rhombohedral	菱形
steep	陡峭
anxiously	忧虑
nogg	用木钉钉牢
stupefactive	致昏迷
sporicidal	杀孢子的
contingently	临时地
glenoid	关节窝的
reafforest	在……重新造林
gingerly	慎重地
bigoted	固执的
accumulative	积聚的
transmutable	可变形
community	群落
saponification	皂化
epileptogenic	致癫痫的
painty	着色过度
winter	冬天的
compressional	有压缩性的
sortilege	抽签决定
cold	冷淡
calibrate	校准
meat	肉
subaerial	天空下
agog	兴奋的
tetralogy	四部剧
flaunt	炫耀
algebraical	代数的
uncontainable	压抑不住
displease	使生气
coprophobic	粪便恐怖
streakily	有条纹
circular	循环的
shaver	剃须刀
true	正确的
manhandle	粗暴地对付
flop	脚步沉重地走
witling	自以为嘴巧的人
elocutionary	演说法
tetraspore	四分芽孢
premarital	结婚前的
statutory	法令的
breezeway	有屋顶的通路
questioning	质问
feudalistic	封建制度的
dastard	怯懦
biliteral	由两个字母组成
chautauqua	有关文化讲习集会的
cheerly	欣然
partisanship	党派偏见
appall	使胆寒
quizmaster	主持测验的人
unmoor	起锚
sympathetically	同情地
astronautically	太空航行员地
epeiric	伸入内
foliate	有叶
fin	猛挥鳍
detrital	由岩屑形成
supereminent	卓越的
everglade	湿
unbroken	完整的
hutted	设在小屋里
launder	洗涤
justicer	法官
triumphant	洋洋得意的
manicure	修指甲
swagger	吹牛
undimmed	清楚的
sousaphone	大号
olive	橄榄树
saltate	跳跃
crusade	投身正义运动
anaphrodisiac	制欲的
inauspicious	不吉利
lubricious	滑
sequential	相续
corbelled	以承材支撑的
multiform	多种形式的
bowsman	艏位手
rich	充足
conversable	谈得来的
bargaining	商谈
assembly	集结
preinvasion	入侵之前的
brandling	红蚯蚓
waver	摆动
spumone	千层冰淇淋
cutdown	删减
cogged	作弊的
abandonee	被遗弃者
sanguinity	气色好
lippie	唇膏
participled	受诅咒
whiskey	威士忌酒的
innerve	鼓舞
pechora	伯朝拉河
stockholm	斯德哥尔摩
chorology	分布学
pavilion	大帐蓬
block	阻滞
tack	粗缝
counterbalance	弥补
dyslexia	诵读困难
woman	妇女的
liquorice	甘草
microslide	显微镜玻片
springtime	春天
ever	曾经
spencerian	斯宾塞哲学
aching	疼痛的
fingery	排成指状的
orchidaceous	兰科
diuretic	利尿
essential	要点
toss	投
limy	含石灰的
buxom	体态丰满
mods	学位初试
shrubbery	灌木
ream	欺骗
overmodest	过分谦虚的
murkiness	黝暗
topographic	地形学上的
steerage	操纵
redevelopment	恢复经济发展
ulceration	溃疡
heavyish	稍重的
twister	不老实的人
saintly	圣洁的
drawn	拔出的
parietes	paries的复数
run	进行
device	图案
untearable	拔不掉的
intolerant	不宽容
fundament	基础
executive	执行
bedside	枕边的
alcaic	Alcaeus
rasp	激怒人的举动
rontgen	有关X光的
imagination	想象力
radiance	辐射率
minicab	微型出租汽车
lytta	蚯蚓体
computable	可计算的
amortization	分期偿付
numbing	使失去感觉的
gftu	Federation
dystopian	反面乌托邦的鼓吹者
probing	探通术
previous	在前
cryptography	密码术
microlens	显微透镜
foxed	有褐斑的
lovesick	为爱情而生病或忧愁
deliberate	深思熟虑
sunny	阳光充足
prank	打扮
basined	位于盆地的
scribble	潦草地写
heavyset	体格魁伟
toedrop	垂趾
embarrassingly	使人尴尬地
amiss	有毛病的
juncture	接合点
gibbose	拱起的
silt	煤粉
tawdry	俗丽的东西
quaky	震动
misjudgement	估计错误
prospect	寻找
libelee	被控告者
pantomimist	凭动作表演的喜剧演员
advertize	通知
suffumigate	从下面熏蒸
scalper	圆凿
ulianovsk	=Ulyanovsk
tictoc	=ticktock
tenemental	产
pod	密集小群
sketchy	粗略
bronzesmith	青铜匠
exercitant	从事精神活动者
impermissible	不许可的
nosophobia	疾病恐怖症
melancholic	忧郁症患者
precostal	肋前
rewake	再弄醒
sari	卷布
wallaby	澳洲土人
sadly	悲哀地
cold	失去知觉的
avertible	可避开
manhattanize	使曼哈顿化
podzolization	土壤灰化作用
nutted	用螺帽固定
fascinatress	令人着迷的女人
unstatutable	不符合法令
odditional	附加
septangular	七边形的
hebdomadary	=hebdomadal
actinozoan	珊瑚虫的
unsympathizing	无同情心的
psn	processor
waterishlogged	进水
umlaut	使变音
arabesque	蔓藤花纹
jointly	连带
gossamer	薄弱的
sciolto	自由地
from	由于
chinaware	陶瓷器
passim	各处
glowing	容光焕发
butane	丁烷
pornie	色情影片
statistical	统计学
declivous	下坡
elated	得意洋洋
terminal	末期
overspread	蔓延
phenolic	石碳酸
charta	纸剂
barbaric	粗野
lushly	繁荣
disaster	天灾
untalented	没有天赋的
substantive	有实质
gerontic	老年人
hypokinesis	运动功能减退
athleticism	运动竞赛
serve	供职
interindividual	个人与个人之间的
hibernal	寒冷
feeling	有感觉
erosive	腐蚀性的
compadre	教父
corporatism	给合主义
suctorial	吸吮
harrumph	发哼声
textbox	文本框
annuation	生物数量年变化
unspiritual	非宗教的
greensick	患绿色贫血
rendzina	黑色石灰土
commentate	评论时事
gastrohepatic	胃与肝脏的
unimaginative	无趣
unlawfully	非法
sumless	无数量的
relegate	归入
condolent	慰问
cippus	希腊之纪念碑石
laryngoscopic	喉镜检查的
fogbound	为浓雾所围困的
inpouring	增加
forefeet	船龙骨的前端部分
inkle	亚麻有色织带
nut	螺母
trondheim	特隆赫姆
demineralise	=demineralize
disquiet	使不安
bewitch	蛊惑
cussed	该诅咒
pincushion	针垫
erythrochroism	=erythrism
thalamostriate	连接丘脑和纹状体
puzzledom	为难
antiquity	古代的遗物
sao	Once
controlment	控制
utriculitis	椭圆囊炎
overword	重复的词
uprose	uprise的过去式
fractional	碎片的
erin	Ireland的诗名
outpour	倾注
arboraceous	长满树木的
clonesome	无独创性
subcellular	亚细胞
pilus	毛
unmarked	无记号的
tapping	出钢
italian	意大利语
rifle	来复枪
indusium	柱头下毛圈
siva	大自在天
thropple	气管
woofy	粗直浓密的
restart	重新开始
cell	单人房间
trangam	小摆设
kinaesthesia	动觉
crabwise	小心
ten	十个
spga	开关门阵列
hyperphysical	超自然的
matilda	行囊
congruous	适合的
agamous	无性生殖的
supravital	超活体的
xxx	30
occultation	隐藏
cyclostomatous	有圆口的
checkered	多变的
deliquescent	溶解性
bayeux	Tapestry
impaludism	疟疾
mariupol	马里乌波尔(苏联乌克兰东南部港市日丹诺夫
grantor	授予者
decayed	朽了的
datum	数据
padlock	禁止进入
anthesis	开花
amphictyony	近邻同盟
synergize	起增效剂作用
presidial	省区的
countrymen	同乡
tension	紧张
misspent	浪费
redressal	调整
contextual	文脉上的
purple	紫色的
pks	pecks
recruitment	征募新兵
combatant	战士
carbonate	使变成碳酸盐
burglarious	夜盗
contrail	轨迹
hangar	飞机棚
photographica	摄影爱好者的希冀物
outlandish	偏僻的
tannery	制革厂
broad	阔
severity	严肃
maul	粗手粗脚地摆弄
foucquet	即Fouquet
setwall	缬草
inebrious	醉的
eclogue	田园诗
exceptional	例外的
evict	驱逐
triumphant	胜利
ringhals	粗皮小眼镜蛇
seaward	海那一边的
marage	使受马氏体时效处理
damper	节气闸
bdtr	磁盘在特定的情况下
forestall	先……预防
sycamore	小无花果树
circadian	生理节奏的
cession	转让
lasque	形态较差的扁平钻石
dermoid	皮样
dicrotisc	量重搏脉的
clothesbasket	放待洗衣物的篮子
knotwork	编结工艺品
lyreflower	荷包牡丹
unhandily	不灵巧地
middlescent	中年的
undernourish	使营养不足
uneven	奇数的
caliginous	昏暗的
dequeue	出列
browser	浏览书本的人
electroplate	电镀
nymphomaniac	慕男狂患者
withers	马肩隆
identity	身份
carnal	色欲的
priscan	涉及古代的
goth	哥特人
respirometric	透气性测定
hydric	含氢
stadium	露天大型运动场
isolating	孤立
lank	瘦的
telebus	电话叫来的客车
ploughstaff	小铲
dwc	capacity
pigtail	辫子
dissolve	溶解
present	引见
shaky	摇晃的
charm	有魔力
uniface	单面
aposteriori	后天
raving	狂乱
unhesitatingly	迅速地
unscripted	不用稿子的
podunk	偏僻小村
troopship	军队运输船
deice	装以除冰装置
butterine	人造奶油
beneficiary	受惠者
brachydactylic	短趾
sialidan	泥蛉
taking	可爱
viridescence	嫩绿
ingulf	投入深渊
comity	联合
hydrolysis	水解
imam	教长
timbre	音色
chirography	笔法
cutthroat	残酷的
gluey	胶
holdall	手提箱或手提袋
fractional	小数的
riffy	连复段过多
haemangioma	血管瘤
weeping	下雨
dtv	桌面视频
antidiabetic	抗糖尿病的
steal	偷盗
lustful	淫荡
rantipole	放荡的
seedy	不适的
some	某些
actiniae'	NULL)
uniplanar	单平面
wide	广阔地
rotc	Reserve
teletransportation	=teleportation
demimondaine	妓女
verse	韵文
