rail	责骂
rarified	=rarefied
alleyway	通道
stereography	立体画法
starfish	海星
defat	使脱脂
supervisal	监督
gastroderm	=endoderm
steady	坚定的
mib	Base
adularia	月长石
commensuration	通约
wally	第一流的
brazen	厚颜无耻的
thud	重击
puppetry	傀儡
overroast	把……烤得过度
discursive	散漫
rethink	重想
os	System
audacity	大胆
fallow	休耕地
subdolous	有点狡猾的
molecule	些微
armipotence	军备充实
draftable	可征召入伍
bernicle	goose欧洲黑雁
novel	异常的
deuteronomic	申命记
ovariotomy	卵巢切除
semiabstract	半抽象
tsouris	麻烦事
pharos	航标灯
endangered	有灭绝危险的
preincubation	预诱导
stealth	秘密行动
feminacy	女子的性格
scenography	透视法
muckworm	守财奴
winterbeaten	被冰寒所伤
swash	虚张声势
deaerate	从中除去气泡
outright	直率
patter	念顺口溜
reindoctrination	向……再灌输
bleak	阴冷的
trinary	三重的
catchpenny	薄利多销的
unprescribed	非指定的
pigeonhearted	胆小
chromotype	彩色照片
porphyrise	=porphyrize
streptokinase	链激酶
instate	任命
orderliness	秩序井然
quick	急剧的
compathy	共有的情感
malanga	暗绿叶黄体芋
chiphead	计算机迷
effable	能被说出
gdmo	Objects
unregretted	无人惋惜的
busyness	繁忙
amuck	疯狂
inextinguishable	不能消灭
ragefully	盛怒地
allegorical	寓言
farmisht	糊涂
charge	装满
stalemate	僵局
frenglish	搀杂法语词语的英语
enervated	无力
enigmatical	不可思议
pelagian	洋面
isdn	Integrated
commons	平民
scanning	扫描
seecatch	阿拉斯加成年雄海狗
pulsant	搏动
unfeeling	无情的
inconvincible	难以说服人
inferior	下级
depletive	减少血液
cog	上齿轮
interiorly	在室内
sedately	安详地
bodkin	大眼粗针
egypt	埃及
delivery	传输
noser	迎面强风
subliminal	下意识的
postbellum	战后
iridaceous	鸢尾属
humpy	多隆肉的一般
azimuthal	方位角的
vomit	吐出
fender	挡泥板
cowhouse	牛房
obstructive	阻碍
billabong	死水
remove	升级
irrespirable	不适于呼吸
custodial	保管人
inalterable	不能变更
upsweep	拢上去的头发
inherency	天赋
endogeny	内源
phanerogamic	显花植物的
unmitre	摘除……的主教冠
scaglia	亚平宁页岩
aduncate	向内弯曲
amylose	多糖
conjugated	成对的
communalistic	方自治主义
oratorize	演讲
bond	合同
matrass	蒸馏瓶
catilinarian	谋叛者
unprinted	未经印刷的
politic	策略性的
civil	国民的
lane	巷
jiggers	小心
assertorily	确定
cession	让与债权
wineshop	酒店
unholy	不神圣的
overtop	高耸……之上
sprout	苗芽
ducky	可喜的
rabid	激烈的
unconfirmed	未经证实的
noun	名词
subnuclear	亚核
aclu	Liberties
cripplehood	无能
magnetite	磁铁矿
spectrally	幽灵似地
world	世界
trashery	废物
unspoiled	未宠坏的
synod	会议
brutalization	残酷
pulverable	能研成粉末的
rally	决心
offensively	讨厌
prepayment	预缴
constantly	经常
decantation	移注
chowmatistic	理财的
unbenefited	未得到好处的
rosiness	愉快
inartificial	非人工的
latke	土豆烙饼
barkeeper	酒吧老板或酒吧招待员
walty	易倾侧的
daledh	=daleth
halafian	哈拉夫文化
tilth	耕过的土
pragmatistic	实用主义
claspt	clap的过去式及过去分词
claymore	双刃大砍刀
interjection	感叹词
rasc	Army
aminobenzene	氨基苯
nerc	National
bellyhold	腹舱
degradand	被降职者
hyperaphic	触觉过敏的
musaceous	香蕉科
guianese	圭亚那地区
octangular	八角形
eunuchoid	惧内的
smorzando	渐次消失的
acerbating	使发怒
ingravescent	病越来越重
knower	理解者
submerge	淹没
site	场所
posterior	较晚的
retiral	退却
bewray	泄露
antiphlogistin	消炎膏
airmanship	导航技术
besieger	围攻者
poise	镇静
downfall	垮台
mechanomorphic	机械形成论
buenaventura	布韦那文图拉
tisiphone	底西福涅
semicircle	半圆形
kaiser	皇帝
maddish	有点疯狂的
plant	庄稼
nowaday	现在
comer	来者
juncaceous	灯心草科
kapo	囚犯头
invaluable	价值无法衡量
osmidrosis	臭汗症
ungual	有爪的
autoplastic	自体成形术
imperviously	透不过地
historiated	=storiated
obliterate	删除
besiege	围攻
uncivil	失礼
hesitatingly	支吾其词
herodian	效忠希律一世
minever	白鼬
penial	阴茎
aetiology	病原
rhotacize	使r音化
ammoniate	以氨处理
gentilesse	温柔
galvanocautery	电烙器
marriage	婚姻
pledge	抵押品
botryoidal	一束葡萄状
leavy	叶茂盛
gunbattle	枪战
cracking	裂化
mlf	multilateral
proboscidate	有长鼻的
archiepiscopate	大主教的职位
disbelieving	不相信
lymphangiogram	淋巴管X射线照片
caodaist	高台教教徒
deceiver	欺人者
converse	相反的事物
accusatorial	控告者
straggling	落后
genome	染色体组
tuck	船尾突出部下方
stereotype	铅版
flouncey	=flouncy
tacmar	战术多功能相控阵雷达
pullulate	充满
tantalization	逗弄
odalisque	婢妾
fiery	炯炯有神
evenfall	黄昏
unreligious	非宗教
rehabilitation	复原
palazzos	pants
homoeothermic	同温的
heliotaxis	背日性
ferrite	铁素体
scotophil	适暗
boardroom	交换场所
sulphisoxazole	磺胺二甲基异噁唑
analyser	分析者
slow	慢的
penna	廓羽
iridology	虹膜学
mycenaean	迈锡尼文明的
pentagynous	五雌蕊的
uncomely	不正派的
terrorist	恐怖分子
colligation	缚束
jow	钟声
battels	学生膳宿杂费帐目
fleetingly	疾驰
polymerase	聚合酶
girth	包围
regale	享受
abortively	失败地
articulatory	分节的
gabion	金属筐
walloping	十足
circumspectly	留心地
simious	猴
stupefactive	使人麻木
hellespont	=Dardanelles
paridigitate	每只脚上趾数相等的
cegb	Electricity
summarily	概略
hesiodian	赫西奥德风格的
craniectomize	进行颅骨切除术
cougar	美洲狮
acgb	Britain
sustain	撑住
stagnantly	淤积
leftlaid	左搓
cuttable	可缩减的
conflagration	突发
wpc	女警官
coachful	马车满载之量
tergeminate	三次双生的
volcanoclastic	=volcaniclastic
udf	Universal
feculent	浑浊的
festive	喜庆
owlish	象猫头鹰的
nourishment	食物
vicenary	以20为基数
cytogenics	细胞遗传学
excursion	远足
germanophobia	恐德症
skylab	太空实验室
stopover	中途停留
luteofulvous	橙褐色的
unbusinesslike	无组织的
reproachful	责备
adrenergic	肾上腺素
ouagadougou	瓦加杜古
stereotype	陈腔滥调
cavity	空穴
pocket	小型的
dipteral	四周双列柱廊式
imputation	污名
reason	推论
film	胶卷
revokable	可取消
ergocalciferol	=calciferol
carnivore	食肉动物
peer	同等的人
obtrusively	冒失地
wizened	消瘦
measle	囊尾蚴
countercheck	妨碍
interpellate	质询
msls	Science
cannoneer	炮手
wobbly	不稳定的
bellarmine	贝拉明酒瓶
smart	聪明
micrometeoroid	微流星体
hagiography	圣徒言行录
skytroops	伞兵部队
proprioceptor	固有感受器
unsuspectingly	信任地
timing	时间选择
fisher	渔船
cast	脱落物
dockside	坞边的
foretype	前面的典型
blandly	殷勤
fulcrum	叶附属物
pleuston	水漂生物
neuridine	纽利定
walk	步行
aquarium	养鱼池
interlingua	中间语言
hag	丑婆
insistently	强求地
rsj	Steel
cynicism	冷嘲热讽
scratch	打草稿用的
glowing	生气勃勃
inertial	惯性的
butterfish	溜滑的鱼
vantage	优势
collodion	火棉胶
acousma	幻听
scar	使留下伤痕
fondly	天真
kroo	克鲁人
radiation	放射物
offset	偏移
birdy	如鸟的
deoxidant	还原剂
impercipient	无知觉
gayal	大额牛
tawse	皮鞭的一种
algous	藻类的
ort	剩菜
canned	录音的
paretic	局部麻痹的
urbanization	文雅化
olympiad	四年周期
fillis	粗麻绳
photolithoprint	=photolithograph
pulseless	无生气的
wadding	软填料
bailiff	地主管家的
sargassum	马尾藻类海草
quicksandy	多流沙
cutoff	关车
xylophagous	蚀木
ndea	National
fenny	沼泽的
undescribable	难以笔墨形容
lavation	洗涤
dense	密集的
choroid	脉络膜的
keynesian	凯恩斯理论
plu	like
cooking	烹饪
atheoretical	非理论的
gemman	=gentleman
americanist	亲美派
ninepence	九便士硬币
unploughed	未犁过的
below	在下
prevent	防止
disorder	扰乱
discontinuance	中止
kaon	K
hawk	清嗓
trot	骑马小跑
handwrought	手工的
acquisitive	想获
levyist	主张没收资本者
cerebratmon	思考
gleamingly	若隐若现
brood	沉思
hematopoiesis	造血作用
loun	笨人
overaggressive	过于放肆
felicitous	极为适当
veranda	走廊
tidings	消息
calumniator	诽谤者
corporation	法人
wail	嚎啕
saxonism	撒克逊气质
servitude	惩役
tussal	与咳嗽有关的
argentine	银的
pesticidal	杀虫
toynbeean	汤因比历史观的
cockshot	掷棒打靶
corespondent	共同被告
comusmacv	Vietnam
projective	投影
eda	Electronic
neutral	中立的
pig	贪婪的人
rswc	正面朝上轻放
whisker	扫拂者
photoinduced	光致的
equator	赤道
parian	帕罗斯岛产白色大理石
delightedly	欣喜地
cisalpine	阿尔卑斯山这一边
foregoing	在前的
gutterman	卖便宜货的小贩
tumpline	前额
entertaining	有趣
malone	即
buzz	嗡嗡作响
precinct	围
ovibos	ox
idioglottic	自语症
valued	尊贵的
intended	已经订婚
stockbreeding	畜牧业
pathognomonic	能确定诊断的
expressional	表现
aborted	失败
one	某一
facilitate	使便利
gentile	非摩门教徒的
wysiwyg	You
inviable	不可能生存的
gimbals	平衡环
irreducible	不能削减
veinstone	脉石
sobering	使冷静的
judo	柔道
eternal	永恒的
harper	弹竖琴者
uncivilized	未开化的
padang	运动场
rustical	=rustic
quietive	镇静剂
superexcellent	极好的
joking	开玩笑
spectrofluorimeter	分光荧光计
philhellenic	爱好希腊的
sandpile	沙堆
ulster	一种长而宽松的外套
sexton	教堂司事
popular	受欢迎
sundowner	暮后小酌
crumble	粉碎
impress	盖印
extraovate	卵外
oracle	预言
done	做好了
transfixion	刺穿
unthinking	无思想的
analysissitus	拓朴学
jar	刺耳声
noviciate	修道期间
mackerel	鲭
fast	忠实的
endocrinopathic	内分泌病的
key	使用钥匙
carioca	卡里奥克舞
insouciant	漠不关心
tracheal	呼吸管的
goldbrick	懒汉
inaugurate	举行就职典礼
ingather	收集
spyhole	窥视孔
larksome	好嬉戏
kite	风筝
ectochondral	在软骨表面上的
dextrad	向右侧
bx	exchange
dolldom	娃娃世界
vegetal	植物的
jellied	凝成胶状的
nasara	Nasrani
foppishly	浮华
underemployed	学非所用
zoogloea	菌胶团
decolorant	漂白
fencing	围墙
bargaining	交易
filamentous	纤维所成的
extemporaneous	无准备的
resemble	类似
recruit	新兵
zaniness	疯狂
raza	种族意识
etymon	词源
surplice	白色法衣
stereotype	使用铅版
positronium	正电子素
villeinage	隶农制
radioluminescence	辐射发光
pasteurellosis	巴斯德菌病
dynamics	动力学
zoom	嗡嗡声
impedance	阻抗
score	乐谱
waste	使荒芜
nlp	neighborhood
quai	=quay
forswear	幸运
headband	头巾
untense	使不紧张
revest	再赋予
oversexed	性欲过剩的
houseman	男仆
mountain	山
raid	Disks
distillate	精华
clause	条款
pettifog	做讼棍
fashionmonger	创流行的人
stingy	有刺的
fibrinosis	血内纤维蛋白过多症
lexiconize	编辑的辞典
hydrophanous	水蛋白石的
xerantic	除湿的
bacteriform	细菌状的
lists	竞技场
venturesomely	冒险地
insobriety	饮酒过度
amenity	宜人
ratable	可估价
embryon	表示"胚
parsee	帕西人
warily	留心地
dependance	=dependence
nibble	啃
lanchow	兰州
lawk	糟了!
rapturousness	着迷
noisome	有毒
surrenderor	让与人
hsaa	Advancement
home	住宅
ambrosia	特别美味的食物
fast	紧紧地
misascription	归因不当
agglutinative	会胶合
pregnable	可受孕
pugilistic	拳击家的
topgallant	最高
wtp	Wireless
plebby	粗俗
devisee	接受遗赠者
nonfeeding	不进食的
tale	坏话
appalling	骇人听闻
gabble	喋喋不休地说
divisional	分区的
alight	落下
arboraceous	树木状
underdog	失败者
cytotechnologist	细胞学技士
permeate	充满
wheatland	适宜种小麦的地
pantheon	伟人祠
dissertation	专题
extrovertish	如外向者
misestimate	错估
chauffer	小炉的一种
unbirthday	非生日当天送的
acosmism	无宇宙论
isoelastic	等弹性
juma	伊斯兰教的安息日
addressable	可设定地址的
quadrifid	四分裂的
luteous	略带绿色之黄金色
lime	酸橙
pliably	圆滑
bewitching	迷人的
pitchometer	节距规
direct	顺行的
emblazonry	纹章描画法
subsynchronous	亚同步
closely	接近地
barnstormer	江湖艺人
spacefarer	航天员
fibrous	含纤维
inventer	发明者
tamanoir	大食蚁兽
adverbially	当副词地
exultingly	兴高采烈
foolish	笨的
intussuscept	吸收
jittery	战战兢兢
reposting	新任命
wintry	冷淡的
sequestrum	死骨片
toplofty	自负
shoreless	无限的
salient	突出的
overhasty	过于草率
doctorate	博士头衔
antinational	反国家主义的
laches	疏忽
dubitatively	怀疑地
spread	散布
hazardous	冒险
admiral	海军上将
begrime	弄脏
acerate	一端尖的
sweepstake	赌金的独得
butyl	丁基合成橡胶
mappable	可用图上标示的
ventriloquial	口技的
expectorant	化痰
masterdom	支配
thatchy	像茅草
matronly	安祥
fluvioglacial	河冰的
haunting	不易忘怀
tipsy	倾斜的
demonic	有魔力的
petrographical	岩类学
essay	小品文
corrodibility	可腐蚀性的
scapolite	方柱石
adsuki	=adzuki
stateliness	庄严
acclivous	向上斜的
stook	整理成堆
spiracle	喷水孔
lactary	奶似的
hieratic	僧侣用的
cerebrotonia	大脑紧张型
dna	分布式网络应用程序体系结构
trivially	琐细
lapp	拉普兰语
rgs	Society
feelinglessly	无感情
antechapel	教堂的门厅
eupneic	平静呼吸的
shuddering	震动的
contumacy	倔强
dysphoric	烦躁不安
necessitude	=necessity
waywardly	刚愎地
seminary	发源地
weathermost	最上风的
manual	体力
sexual	性别
recollection	记忆
sess	捐
knelt	kneel的过去式和过去分词
coenogenetic	=cenogenetic
relieve	解除
moreover	此外
recover	使改过
diverticular	支囊
cao	首席行政官
hydrotropically	向水性
contrastimulant	有镇静作用
monomerous	一基数的
barbule	鸟的小羽枝
confirm	批准
vesuvian	突然爆发
yawper	抱怨的人
rummy	酒鬼
convenable	可召唤
polarisability	=polarizability
contumacious	不听令的
days	每天
literati	文人
boshbok	=bushbuck
persulphate	过硫酸盐
silicon	硅元素
commotion	暴乱
indonesian	印度尼西亚人
culicine	库蚊的
precise	准确
madbrain	性急的人
incarnate	体现
assyrian	亚述人的
copiously	充裕
lightfastness	耐光
clinical	临床
deep	远离中心
condensative	可凝结
miscommunication	错误传达
inveigher	抨击者
needlessly	无用地
igneous	火的
electroacoustic	电声学礳ally//
posttraumatic	外伤后
cdgps	Positioning
runelike	像北欧古文字
completive	完全
cession	割让
rushing	急流的
hooch	私运入的劣酒
personal	针对个人
half	一半
demos	古希腊城邦平民
ophidiarium	蛇馆
flange	轮缘
tetrastichous	四列
arithmetical	算术的
fluid	流动的
veadar	Sheni
reserved	保留的
traditionist	传统主义者
misdiagnosis	错误的判断
meek	温顺
recursive	回归
helianthine	B半日花素B
tetrandrious	具四雄蕊
vinca	长春花
callow	未生羽毛
clothespress	衣橱
footway	人行道
pyeloscopy	肾盂X线透视检查
hypophloeodal	皮层下的
roydon	克里登
biedermeier	稳健的
flatter	使满意
velveret	粗天鹅绒
film	轻烟
piscator	捕鱼人
ophthalmological	眼科的
samlo	三轮出租汽车
superficially	浅薄地
tempi	发展速度
pri	优先级
traveled	旅客多
remythologize	以新神话解释
undermost	最下
wearability	穿着性能
whitepox	乳白痘
enlighten	教导
endosmosis	细胞内浸透
prayerless	不做祷告
path	通道
hysterically	歇斯底里地
shakiness	不坚定
red	红颜料
sick	厌恶
neatness	整洁
lateralize	使向侧面
mediaperson	报人
saltern	盐厂
immortalize	使名垂千古
perfunctory	马马虎虎的
artistically	有艺术地
posh	时髦地
baroque	形式怪样的
caricature	讽刺画
visional	梦幻般的
athwartships	横向地
gimcracky	华而不实的
amylogen	淀粉溶质
scot	Scot
thinker	心智
zionism	犹太复国运动
hyperosmolality	高渗透压性
detectible	可发觉
umbilici	种脐
vernally	春天地
trivalency	三价
wipo	世界知识产权组织
ilk	同类
fishpound	鱼梁
fogdog	雾堤中的明亮部份
shinto	1945年前为日本国教
careful	小心
jolthead	笨人
commanding	居高临下的
extended	广大
apia	阿皮亚
uranic	天
interlocutor	对谈者
interzonal	区间
garment	外衣
debt	罪过
internality	内在
allose	阿洛糖
inconvertibility	不能兑换
electropositive	阳性的
dungeness	邓杰内斯蟹
unattended	未被注意的
gmt	格林尼治标准时间
telecommunication	/
scavenge	打扫
unfed	未得到支持的
inaccessibly	达不到
capable	有可能
baobab	猴面包树
swiple	连枷头
adiaphoretic	止汗药
enclosure	围住
broadax	大斧
mozzarella	色白味淡的
consolidation	巩固
sup	体验
abherent	信徒
uranography	天体学
sclerous	硬化的
kiang	西藏野驴
tormentor	使苦痛之人
thematic	词干
catarrh	粘膜炎
orthodonture	=orthodontics[讹音变体
shorthorn	刚到边远地区的人
sneezy	打喷嚏
investment	投资
ligule	舌叶
nepman	苏联新经济政策时期短期经营私人企业者
abundant	充裕的
tepid	不热情
proofless	无证据的
contumely	侮辱
campanological	鸣钟术的
buddybuddy	亲热
extendable	=extensible
hypsometrically	测高术
germinant	发芽
retroperitoneal	腹膜后的
midge	侏儒
unparalleled	空前
will	意向
panhandle	行乞
poise	准备好
unprison	把……从监狱释放出来
girlo	女孩子
macroscopic	巨观
faulty	有缺点
capacity	容量
epigeal	浅水生长
consubstantial	圣体合质耰ty//
gold	金币
cacao	可可树
inhospitality	不和气
permeate	透过
score	刻划
quadricentennial	400周年纪念
inseparate	相连的
hegemonism	霸权主义
batta	战时津贴
jurassic	侏罗纪的
wither	使畏缩
hideously	可怕地
daphnis	达佛涅斯
secondhand	间接获得的
local	慢车
expositive	评注
tailfirst	尾在前
sunderance	分离
ejectamenta	喷出物
hypocoristic	昵称
unsure	没有自信
vilely	讨厌地
noiseless	寂静
infructuous	不结果
anticatalyst	反催化剂
ichthyolitic	鱼化石的
crackpot	疯子
pinaster	松树
bezazz	活力
corsetry	紧身衣裁制业
arsenical	砷
polynomial	字以上组成的学名
buckler	防御物
infamatory	诽谤的
raca	无价值的
perambulatory	巡行
unobjectionable	不会招致反对的
catalog	目录
tokomak	=tokamak
simulate	冒充
disposure	处理
salve	涂油膏
retroflex	翻转
octahedra	的复数
outrageous	令人不可容忍
naris	鼻孔
diestrum	=dioestrum
weird	神秘
pokey	狭小的
irinite	铈钍钠钛矿
metier	工作
dissemblance	伪装
tootle	唠叨
ineffectively	无效地
swingeing	激烈
simple	朴素的
faery	仙女
hope	盼望
indian	印度人
fictitious	习惯上假定
repressive	压抑的
fastness	要塞
bastardly	假冒的
polypod	多足
aboriginal	土著的
nonconformist	非国教徒
differentiate	区别
scapular	肩衣
foresaw	foresee的过去式
tetradynamous	四强雄蕊的
foredo	杀
untearable	扯不破
sucrase	蔗糖酶
speculum	金属镜
potbellied	大腹便便的
duplicity	不诚实
popedom	辖区
earlierize	提前做
else	别的
inappreciably	微不足道
chromophil	易染
shiny	有光泽
estuary	江口
accountably	可辩解地
auriscopic	耳镜的
picayunish	=picayune
distinguishing	有区别
petalody	花瓣化
cyprian	放纵
spastic	痉挛
ciscaucasian	内高加索
arioso	咏叹调的
imaginable	可能
xeromorphous	旱性结构的
sore	痛的地方
downswing	下降趋势
phytogenesis	植物发生论
rhotic	发r音
elated	兴高采烈
extracanonical	未入圣典
extrusion	喷出
hemagglutinate	使红血球凝聚
definitive	权威性
seigneur	封建君主
astable	非稳态的
sericite	绢云母
charming	迷人
heteroploid	非整倍体的
heeler	手下
doukhobors	杜科波尔派
disjunct	分离的
unaspiring	无抱负
bazookaman	火箭筒操作员
southdown	无角短毛羊肉
bat	装甲兵基础训练
basilar	头盖骨底部
reconciliatory	一致
maharanee	王公之妻
overfraught	超载
sayst	=sayest
issuable	可提出抗辩的
alborg	奥尔堡
ditchdigger	开沟机
unfailingly	可靠
viewpoint	观点
plowshare	犁头
lemma	论点
pardoner	宽恕的人
reeded	有凹槽的
athwarthawse	横在
emr	educable
outwardly	外观上地
minto	明妥薄荷糖
alfreda	阿弗丽达
uninformative	不增进知识
revolving	旋转的
unmethodical	无顺序
ppcc	People''s
meganewton	兆牛顿
rabbiter	猎兔者
outfit	用具
gulfweed	马尾藻
muley	无角
wanderyear	=Wanderjahr
examination	考试
microstrip	微波传输带
koala	树袋熊
injudicial	不聪明的
egghead	受过高等教育的人
