meagrely	贫弱地
gaberones	加贝罗内斯
bedfordshire	英格兰南部的州名
nickelous	亚镍
retinene	维生素A醛
ceremonialism	讲究仪式
begird	缚
abm	Asynchronous
spurious	假造的
remediably	可救济地
abstemious	有节制的
prescientific	科学以前
omnitude	全体
abye	偿
shonk	犹太佬
archimandrite	大僧院长
plumbing	铅工业
currently	通常地
spoilbank	矸石堆
erasion	消除
matara	棕色海豹皮
mill	搅拌
epipastic	撒布用的
ineluctable	无法逃避
front	面对
counteroffensive	反攻
umc	台湾联华电子公司
gearless	无传动装置
undoubled	展开的
chauvinistic	盲目的爱国心
virginity	处女
verily	肯定地
seven	七
witchetty	grub
imitate	模仿
oilseed	含油种子
tress	发辫
entreprenant	大胆的
antitone	反序
publishable	可出版的
halfpence	半便士之值
recalcitrant	顽抗
corrody	=corody
wavelike	波浪般的
flashlight	闪光灯
fzs	the
shoal	沙洲
toadfish	蟾鱼
undivested	未被剥夺的
bareback	不用马鞍地
vamper	即席伴奏者
contracted	契约的
lifesome	生动
hunchbacked	驼背
lofi	低保真度
pe	PE
firemaster	消防队长
decillionth	第一千之11乘方
cosey	舒适
whoopee	欢闹
restatement	重述
supranatural	=supernatural
exquisitely	敏锐
bounteously	丰富
disclaimer	不承诺
equalise	=equalize
strutbeam	支梁
yuletime	圣诞季节
pathogenic	病原
contemplate	企图
tutoyer	亲密地向……说话
accredited	公认
micromesh	微型小网眼料子
unbarbered	未修面的
bumbledom	妄自尊大
gripe	抱住
foliose	多叶的
are	在
curricular	课程的
hydropsychotherapy	水浴心理疗法
alit	aligh
ritualistic	仪式的
pleuroperitoneal	胸膜腹膜的
faience	彩釉陶器
bonaci	鲈科食用鱼
ghosty	幽灵的
siquis	圣职人选公告
defer	听从
enshrinement	秘藏
muley	无角动物
crumb	少许
wrb	战时难民事务委员会
caitiff	卑劣
nanna	奶奶
optate	选择
coq	羽毛
indigitation	肠套叠
fringlish	法式英语的
raving	语无伦次
undigested	未经整理
infinitesimal	无限小
unnoteworthy	普通的
unfelt	不感动
mastering	控制
levantine	早朝
bondslave	农奴
bowed	有弓的
eikon	画像
question	疑问
polynia	冰穴
ai	artificial
over	结束
sinuous	不老实的
eht	extra
sprawl	四肢伸开的躺卧姿势
granular	由小粒而成
joyously	快活
merton	默顿
patrilocal	居住在男方的
frilling	皱边
airy	空中
grassland	牧草地
felted	黏结起来的
interlocution	对话
unconquered	未被征服的
surgent	澎湃的
bitterly	厉害的
elegantly	优美地
wad	填料
whimsey	奇想
slip	纸片
devotedly	忠实
sputteringly	结结巴巴
kickshaw	华而不实的小玩意
shimmery	微微发亮的
paleogeophysics	古地球物理学
cavalla	竹荚鱼科之鱼
subtilise	=subtilize
crotch	胯部
intuitive	直觉
benin	贝宁湾
beretta	法冠
promethean	独创性的
japonic	日本
vulgarity	粗俗语
gaekwar	牧牛王(印度西部原巴罗达
epexegesis	补说
spectrograph	声谱仪
myope	近视的人
polyglottal	=polyglot
prohibit	阻止
sillimanite	硅线石
succinct	压缩在小范围内
deterrent	威慑
contest	争辩
faithful	详确的
inbuilt	内藏的
hammer	锤子
exodontia	拔牙术
resorptive	再吸收
exequies	殡仪
magnetograph	磁力记录计
pebbly	有卵石花纹的
humbleness	粗鄙
settler	托管财产者
pondok	芦棚
dependency	从属
nccw	Catholic
brownstone	富有阶级
far	遥远地
pallid	暗淡
ariose	如歌的
spheroidic	类似球体的
unreclaimable	=irreclaimable
undermeaning	隐藏的意义
gyrovague	游方僧人
triangulate	a由三角形而成的
husky	谷
scale	天平
grisly	令人毛骨悚然
semiurban	半都市的
resign	辞职
dicotyl	=dicotyledon
pentastyle	五柱式
shut	关闭
eunuchoid	似阉人
disunite	使分离
exhilarative	使高兴
forget	忘乎所以
defrayal	支出
muntz	蒙知黄铜
scamper	奔跑
vasculature	脉管系统
darkroom	暗房
enthronize	=enthrone
uncomfortable	不安
nidificant	筑巢
surprise	使惊奇
grasping	抓的
yellowwood	香槐
walkway	走道
peewit	田凫的鸣声
predomination	优势
virgilian	维吉尔
fieriness	火性子
disfavour	不赞成
bilge	舱底
yaff	以锐声叫
depletive	使干涸
radioactive	有辐射能
foreverness	永远
chalklike	似白垩
whatnot	不可名状的东西
genteelism	假装绅士的谈吐
tyrannically	残暴地
arachis	落花生
standardbearer	领袖
superhigh	超高的
pentagonese	美国国防部行话
gussy	装饰
thornbush	山楂林
alacrity	爽快
worshipful	尊贵的
judicatory	审判的
limpet	帽贝
censorial	检查官的
tonguelet	小舌
pare	削减
colorimetric	比色的
romance	浪漫史
multiparty	包含多党党员的
prosopopoeia	拟声法
hemocytoblastic	原始血细胞的
greatness	巨大
unsanctioned	未认可的
locrian	洛克里斯人
hemiolia	三比二
whip	鞭打
jackpot	累积奖金
artel	合作社
benzaldehyde	安息香醛
mismatch	使配错
giddy	头晕的
homebuilt	自制
suspension	延迟
cno	of
marzacotto	透明釉料
episode	插曲
inexhaustibility	用不完
swift	迅速
blameful	应受责备的
rbs	of
downplay	不予重视
keratin	角蛋白
undebatable	无可争辩的
archduke	大公
structuralist	构造主义的
rocketry	火箭学
sweetish	有点美丽的
aeroginous	产气的的
fledging	刚会飞的幼鸟
animatingly	鼓励地
amphichroic	双变色
unqualified	无资格
antiquarianize	沉迷于收集古物
decennium	十年
gallanilide	棓酰苯胺
spacer	逆电流器
holily	神圣地
indicatory	指示
vein	叶脉
sportswear	休闲活动穿着的衣服
encash	付现
zany	笨人
cutdown	缩小
praetorian	禁卫队的
cuirassier	胸甲骑兵
schmoll	笨蛋
autogenic	=autogenous
hisself	=himself
monoglot	使用单一语言
lineament	面部轮廓
bureau	办公桌
contumely	傲慢
phonation	发声
cartoon	动画片
lilliputian	侏儒
jadishness	邪恶
attemper	调度
cloud	乌云密布
irrevocability	不能挽回的事
yield	出产
asocial	自私的
azof	=Azov
package	包
boomslang	非洲树蛇
laywoman	layman
reassess	再估价
nuque	项
cheek	厚颜
lifo	in
estate	财产
mythological	神话学
nomarch	州长
counterpulsation	反搏
auspicate	卜得吉兆而开始做某事
unbefitting	不合适
unevenness	不平坦
subsistent	存在的
gioconda	迷一般的
unavoidably	无可奈何地
cryoplankton	冰雪浮游植物
impressure	印象
composmentis	精神健全
termwise	逐项地
ataman	哥萨克
whisper	谣传
polysulphide	多硫化物
recessional	议会休会
aapss	American
hygrometric	测湿
fan	风扇
face	脸
whiff	香烟的一口
steam	蒸
lessee	租户
hasty	草率的
gawky	笨拙的
antisexist	反对性别歧视
exalt	晋升
aldis	奥尔迪斯手提信号灯
epistoler	书信作家
quadrivial	四路交叉的
neuropteran	脉翅目昆虫
cole	油菜
washer	垫圈
libber	拥护解放者
unvitiated	未腐败的
caravaggiesque	卡拉瓦乔作品的
gangman	劳动班组成员
effendi	先生
bluesy	布鲁斯乐
plesser	敲诊槌
leer	斜视
francophone	人
telecommute	远距离工作
vocational	职业的
tenant	出租
zemindar	收田赋者
danseur	男芭蕾舞蹈家
early	早期的
uniface	单面的
transhydrogenase	转氢酶
holding	持有
demagog	煽动家
smacking	活泼
average	达到平均水平
pyrethroid	拟除虫菊酯
drumstick	鼓槌形物体
assuage	镇定
anchylose	变僵硬
preman	猿人
deck	装甲板
analects	论集
bluecoat	穿蓝色衣服或制服的人、警察、士兵
sensibly	敏感
macumba	马库姆巴
comptometer	其商标名
blet	疲倦
biyearly	两年一次
mycotoxin	毒枝菌素
bojardo	Matteo
styptical	收敛
liker	喜欢的人
fidget	坐立不安
altaic	阿尔泰山
busybody	好事的人
bialy	比亚利碎洋葱面包卷
adultly	少年老成者
witling	玩弄小聪明的人
crust	结硬皮
vignette	印放为虚光照
compliably	依从
solion	沙立昂
messenger	报信者
innervation	心]运动感觉
umbra	暗影
gobang	联珠棋
sauger	加拿大鰤鲈
lousewort	马先蒿属
sickee	道德败坏者
unimplemented	未实现的
floriferous	有花的
mib	Information
english	英文的
unimpeachably	无可指责
modom	=madam
bootjack	脱靴器
fool	傻的
cubital	前膊
ldc	Country
structure	组织
chinar	法国梧桐
escritoire	有抽屉的写字桌
pyrex	耐热玻璃
baccate	结浆果的
viviparism	胎生生殖
deadeye	三孔滑轮
henchman	跟随者
escapeproof	十分牢靠的
marriage	密切结合
conchologist	贝壳学者
stumble	结结巴巴地说话
simulacrum	像
sempstress	女裁缝
unseen	未见过的
precinct	选区
administrative	law//
bill	法案
spr	Psychical
chott	北非小盐湖盆地
possession	领土
placate	安抚
budget	做预算
mythologer	=mythologist
halobacteria	盐杆菌
courtlike	彬彬有礼的
shoeless	无鞋的
equivocal	意义不明确的
broadside	侧面
clamjamfry	群众
tripod	三脚架
hoariness	老年
wagonload	货车装载量
goniometrical	测角
tripterous	三翅
subtotal	几乎全部
midmorning	早晨
bacciform	浆果状
retrainee	接受再训练者
discrete	不连续的
mithraic	密特拉神的
undershot	下射
rpq	quotation
exterminatory	有根绝作用的
gunman	制造枪械者
profound	深刻
ventrotomy	剖腹术
nudie	裸体照片
miaow	猫的叫声
goober	落花生
slovene	斯洛文尼亚人的
rasping	令人焦躁
keratometric	角膜散光计的
unbent	不屈服
stand	维持不变
neurovascular	神经与血管的
unbuttoned	无拘束
thenar	足底
thermostatic	温度调节装置的
myth	神话
conflicting	相矛盾
doa	arrival
concern	关注
abnegate	放弃
mwa	美国现代林业人员协会
delaney	amendment
beauteously	美
inconsiderable	琐屑
connivent	逐渐集中
cockleshell	小船
legality	墨守陈规
petit	次要
cdsl	用户DSL
sound	合理的
forget	忘形
joyuce	James
begem	用宝石装饰
tuppence	两便士铜币
rate	鉴定等级
dead	无感觉
knitwork	编织业
euramerican	欧美的
goggle	风镜
specific	特殊的
kite	轻快地移动
inductosyn	感应式传感器
fumy	多蒸汽的
fluvioglacial	河冰生成的
slumberous	催眠的
sulphurator	硫化器
withdrawal	撤退
unvoiced	未出声
puddling	捣成泥浆
wheeze	喘息
man	使振奋
apple	似苹果的果实
heptachlor	n
nauseating	厌恶的
recognizably	可被认识地
chicklet	姑娘
taeniasis	绦虫病
hypergolic	自燃燃料的
depressing	沉闷的
cornfed	看来营养健康而带土气的
pupa	蛹
pert	计划评价与审查技术
conceivable	可能
eventless	平静
interlocutory	中间的
verify	核实
jobbernowl	愚蠢的
zionism	犹太复国主义
sourly	酸酸
bechic	治咳嗽
reparations	赔款
recreance	怯懦
course	过程
portly	健壮
unsicker	不可信赖
speechless	酩酊大醉
stamping	冲压
billiardist	打弹子者
hydric	氢气
comfit	糖果
biogeochemical	生物地球化学
ostracize	排斥
hyperosteogeny	骨质增生
jsp	Page
sophisticate	久经世故的人
piping	尖声
idle	使空转
perform	履行
lacune	洼地
crackable	会粉碎的
super	十分的
bridle	昂首
doyen	老前辈
geniality	亲切
cognovit	认债书
anourous	无尾
intercessory	仲裁的
applicably	可适用
lard	猪油
timer	记时员
floral	花似
recapitulation	摘要重述
fiat	命令
semplice	单纯的
daughterhood	女儿时期
natural	正常
spill	溢出
undulance	波状
fib	打
rimrock	悬崖
arsphenamine	六零六
fluke	意外受挫
popie	罂粟花饰
mammary	乳腺
lowest	最低
paillasse	草褥
reedy	芦苇状的
actual	实际的
berkshire	波克夏
bimestrial	持续两个月
whence	从何处
jauntily	高兴地
internetwork'	NULL)
professional	职业
premium	贴水
suppose	猜想
shop	购货
cfs	second
sinfully	罪孽深重地
i2o	智能输入/输出技术
peppy	活泼的
oppressive	压迫
gray	灰色
ultraviolet	紫外线辐射
polytene	多线染色体
aggressive	敢作敢为
insipience	愚蠢
delphic	神谕的
cacography	书法不佳
muscovy	俄国
plebs	平民
antiparkinsonian	抗帕金森病的
maidenlike	像处女的
secondhand	二手
uncongeal	融化
irq	interrupt
copious	丰富的
unqualified	不合格的
stage	舞台
foremost	最初的
absquatulate	溜脱
shorthanded	人手不足的
fancy	迷恋
troubleshooter	纷争解决者
compound	混合物
temporal	现世
tanning	制革法
jingoist	沙文主义者
mesmerize	施催眠术
hemocytoblastic	原始血细胞
hydroid	水螅虫的
latter	后者的
maillot	紧身衣
delation	告发
kumbaloi	=worry
coon	浣熊
spiritedly	有精神
flocky	毛丛多
unbelieving	不相信
elegiac	挽歌的
predigest	简化
hindrance	障碍
victorious	胜利
triaxial	三轴的
languorously	疲倦地
jacobian	函数行列式
boa	围巾
semiarboreal	半树栖
frequentative	表示反复动作的
tidytips	宽舌莱氏菊
zigzag	锯齿形
vraisemblance	可能性
disturbedly	不安地
treacle	糖蜜
pyxides	宝石盒
steady	稳固
chymotrypsinogen	糜蛋白酶原
basipetal	由上往下
nooning	午休
disinclination	厌恶
concourse	群众
biovular	二卵生
otiose	闲着
redistribute	重新分配
ketogenic	生酮的
navigation	航行
conger	康吉鳗科康吉鳗
nanocurie	毫微居里
controversial	争议
multigerm	多胚芽
cottier	农夫
histophysiological	组织生理组织生理学
liege	臣民
flounderingly	挣扎
polarizer	起偏镜
un	United
expatiate	详述
tubulure	短颈口
kenyan	肯尼亚人
ark	箱子
unphysiologic	生理上不健全
pastis	法国茴香酒
triphyllous	具三叶的
hydrologist	水文学者
rakish	轻快的
fulminatory	怒号
institute	制定
basilar	头盖骨底部的
correlativity	相互关系
imitator	模仿者
slough	使陷入泥沼
sken	凝视
dirtily	淫邪地
maduro	色深味浓的烟草做
smart	剧烈
recrementitious	垃圾造成
maundy	濯足仪式时分发的救济金
sextupole	六极的
inventory	总量
substation	分所
hesitantly	踌躇
clearer	更清楚
snoopy	爱管闲事
acetaminophen	退热净
uncorrectably	不能补救
closemouthed	沉默寡言的
target	对象
amr	Audio
cycle	一段时间
verrucose	疣状隆起的
uniface	仅一面有图案
beatrice	比阿特丽斯
accrual	利息
misunderstanding	误解
atactic	不合语法的
pipy	笛声的
ludicrously	滑稽地
insulating	绝缘
nomad	游牧的
napiform	芜菁状
scrapnel	炸弹破片
equitably	公正
landaulet	landau
impossible	难以忍受
ditchwater	沟中的死水
saurian	蜥蜴类的
cineangiogram	脉搏电影描记图
saccate	囊状的
shush	嘘!
flakey	古怪
crisis	决定性时刻
hypolydian	副利第亚调
despiteously	可鄙
grimly	严格
xenon	氙
unwanted	多余的
thessaly	塞萨利
suctorial	吸的
cracky	易破
hawfinch	蜡嘴鸟
anamnestic	回想的
undeflected	不偏离
grundy	过分重规矩的人
couturier	女裁缝师
shirtband	衬衫的襟子
convulse	震撼
square	与……一致
vindicatory	报复
fleming	佛兰芒人
coalbreaker	碎煤夫
annunciation	报喜
discretional	任意
niggle	小气地给……
parthia	帕提亚
competency	能力
isolato	与世隔绝者
radiate	辐射状的
tungstic	五价钨的
plug	插上
undersign	在……的下面签名
adolescent	青少年
revolver	连发左轮手枪
unentertained	未被逗乐的
redid	重做
proso	稷
unclos	Sea
observable	引人注目的
methacrylic	甲基丙酸烯
keeve	洗矿桶
hepatica	獐耳细辛
salify	使与盐结合
molasses	糖蜜
vinaceous	像葡萄的
exultant	欢跃的
incapacitation	无能力
pfda	Administration
underabundant	不够丰富的
spritsail	斜杠帆
infinite	无穷大
urinose	尿的
yeoman	自耕农
copyright	版权
peckish	唠叨
leiden	莱顿
channel	海峡
floreat	祝它繁荣昌盛
sweeting	情人
incomparably	无敌地
corrective	纠正的
cormel	新生小球茎
flush	萌芽
orotund	洪亮的
sanga	=sangar
pratfall	屁股着地的摔倒
rld	dealer零售酒商
unrelenting	不屈不挠
deprecatingly	不赞成
chute	瀑布
subclavian	锁骨下
definition	定义
nigrostriatal	黑质纹状体的
pathologic	病理的
help	有用
beniseed	=benniseed
erosive	侵蚀性
spiritedly	活泼
un	家伙
uncomplex	不复杂的
intensify	加强
unmix	无法混合
extrabold	用特黑体字排印
compressional	与压缩有关的
investigative	研究
hokey	虚情假意
interlineate	=interline
justificative	起辩护作用
dustpan	畚箕
unsolvable	不能解决
hmv	His
clausal	条款
atomy	侏儒
aphrodisiac	引起性欲的
hawash	哈瓦希河
decapitator	免去他人职务者
cockeye	扭曲的
longevity	长命
masterless	无主的
windblown	被风吹
lg	German
burying	埋葬
denatant	顺流洄游的
phellogen	软木形成层
pike	用矛刺穿
keltic	凯尔特族的
coleopterous	鞘翅类
chargeable	可记在某项帐目上的
inadequacy	不充分
multimer	多聚体
monosexual	单性别
countersign	副署
ingeniously	有才能地
marshall	马歇尔
armistice	停战
paye	发薪时扣除制
sitting	就座的
warhead	弹头
slowly	迟缓地
technically	学术上
pristane	姥鲛烷
refractile	能折射
comity	礼仪
pantagruelist	庞大固埃式人物
espanol	西班牙人
bubo	腹股沟腺炎
wysbygi	在获取之前所见
cretan	克利特岛
nitrifier	硝化细菌
uproar	骚动
stably	有恒心
biferous	一年开花或结实两次
bulk	大批
countershaft	间轴
soar	滑翔
pack	塞满
strongpoint	战略要点
completely	完全
vlbi	baseline
mpm	minute
hebetic	青春期发生的
redbridge	雷德布里奇
withering	进行干燥处理的
domnus	达姆纳斯
mesogloea	=mesoglea
hidropoiesis	流汗
antalgic	止痛
mortar	迫击炮
turista	旅游者腹泻
acalycine	无花萼
benthoal	湖底的
porte	土耳其宫廷
failing	过失
mowing	割草
swansdown	天鹅的绒毛
murrhine	默勒石
unseaworthy	经不住海上风浪
yourself	pro
broad	广泛
guidwillie	热诚的
muscleless	无力
attitudinal	态度
dividend	被除数
unanimously	无异议地
fricative	摩擦音的
inoxidizable	不能氧化
niphablepsia	雪盲
nescient	无学的
cankered	不怀好意
epithet	称号
rescue	援救
rhinopharyngocele	鼻咽肿
breathalyser	酒精测定计
isotactic	全同立构的
plainsman	平原居民
camping	露营
tapeta	tapetum
ocellus	眼孔班
fine	杰出
phosphoglyceraldehyde	9fCsfEJ`^lIsE^lIsE`rAldEhaId/reIt/
meliorative	改良性
man	丈夫
indigotin	靛蓝
metaxenia	后生异粉性
sinuous	动作复杂的
doltish	呆笨
schistocyte	裂细胞
umpire	裁判员
crib	拘禁
gourmet	能精选品评美食、美洒的人
ossification	骨化
fetter	加脚镣
assonance	类韵
haft	装上柄
corollar	花冠
artificial	人造
dde	Exchange
retranslate	译回原文
antimonic	含锑的
muchly	长久
selenate	硒酸盐
sough	飒飒声
pruth	=Prut
vitellophage	消黄细胞
sakeen	西藏羱羊
epidermal	表皮的
filially	子女似地
setiferous	具刚毛的
fusiform	纺锭状的
medicable	可治疗
truckle	脚轮
such	这样
misgivings	疑虑
arbo	由节肢动物传播
ambisonics	高保真度立体声响复制
fifteenfold	十五倍
washy	无活力
swingboat	船形秋千
knockwurst	大香肠
sabbath	安息日
acclivity	向上的斜坡
helpful	有用的
arthroplasty	关节形成术
exsanguinate	放血
anecdotic	爱谈轶事的
ream	令
betacam	由SONY公司制定并生产
decillion	decillion的
spirituel	愉快
cassie	卡西
antilithic	抗结石剂
concerted	协调的
accused	被告
serotonergic	含血清素的
bofors	博福斯式高射炮
phyllome	叶
futility	无益
parenthetic	附加说明的
seriatim	逐一地
underappreciated	未受到充分赏识的
lactoscope	乳酪计
debate	争论
enamine	烯胺
holly	冬青树
specific	特效
pedestal	搁在台上
excite	刺激
material	材料
multiscreen	多银幕放映的
aculeate	一针见血
drafty	有缝隙风吹入的
title	加标题于
pasteboard	纸板做的
cryoscopy	冰点测定学
polydomous	多巢
grenadilla	=granadilla
melancholia	精神忧郁症
halophile	喜盐生物
martin	燕子
ivan	伊凡
angry	愤怒的
seizing	抓
questionable	可疑
will	意志
streptolysin	链球菌溶血素
humanize	赋予人性
norbert	诺伯特
frank	老实的
zaragoza	=Saragossa
birdbath	供小鸟戏水或饮水的盆形装饰物
formicate	群集
brutish	粗野的
inturned	内弯
cab	出租马车
symptom	症状
vacancy	空白
uncannily	危险地
abortion	失败
sketchbook	写生簿
absorbance	吸光率
porphyrization	粉碎
cankered	不怀好意的
reasoningly	理性地
cordillera	山系
scaled	有鳞的
physical	身体
schoolmate	同学
vein	心绪
band	带子
solicitude	热心
karakalpak	卡拉卡尔帕克人
shut	关上
polycistronic	多顺反子性的
tarry	逗留
doited	昏头的
quaintness	古怪之事物
funnelled	漏斗状
ute	轻型货车
character	写
un	pro
pododynia	=podalgia
procurer	做淫媒者
lisping	咬舌的
undiscussed	未辩论过的
bba	administration
photography	摄影
strawboard	硬纸板
yell	叫着说
saltish	略带咸味的
combatant	战斗员
dissimulation	虚伪
curse	咒骂
unmixed	未混杂他物
undoubled	不再对折
boathook	一端有铁钩的撑篙
underhung	有突出下颚的
cellulosic	有纤维质的
wack	怪人
skin	外壳
cordelier	法资产阶级革命时的激进派党员在科尔得利教堂成立之政治组织
auntie	舅妈
vinegrower	葡萄栽植者
buildup	集结
psia	pounds
plutolatry	财富崇拜
downy	柔和的
roblitz	无人飞机的轰炸
suppletive	异干互补的
polyamine	聚胺
kolkhoz	苏联的集体农庄
whittle	削
bowler	玩滚球的人
subscript	写在下方
investitive	授予
carburet	增碳
fertilize	使多产
hyperphysical	超自然
information	起诉
yuk	引起大笑的趣事
immoderation	过度
leatheroid	人造革
scurviness	粗俗
purgation	洗罪
inexact	不精确
briony	=bryony
hhfa	Agency
awane	衰落中
padrone	船主
gastroduodenal	胃与十二指肠的
intragenic	基因内
causalgic	灼状神经痛
baor	英国驻莱茵军
atrocious	凶恶的
psychometrics	心理测验学
flsa	Act公平劳动标准法
carlish	卑下的
unlock	解出锁定
invalid	有病
overconfident	过于自信的
styli	唱针
paisana	女伙伴
tabby	起波纹的
unshakeable	坚定不移
nondairy	不含奶
forested	草木丛生的
blepharoplasty	眼睑整容术
podgy	短粗
electrograph	传真机
overaggressive	过于放肆的
pieria	皮埃里亚
milligrame	千分之一公分
epigenous	生长于叶面
metropolitan	主要都市
animatingly	鼓励
anaesthesia	感觉缺乏
adytum	内殿
provable	可查明
netfs	Film
firstling	初生物
unhired	未租用的
orb	圆形物
material	原料
blossomy	花盛开
albuminose	含白朊
cardiophobia	心脏病恐怖症
inadmissible	不许可的
meditative	冥想
victual	吃
palaver	阿谀
running	流动
