druidical	督伊德教的
godwinian	戈德温派的
counterdevice	对抗装置
purbeck	波倍克
foreordination	预定
semimoist	微潮
parsimony	吝啬
med	Sea
emcee	司仪
auric	正金
sedate	安静的
forbidding	令人难亲近
deadman	临时支撑物
profundity	深度
gracious	亲切的
unwelcome	不受欢迎
dispersedly	散开地
spheric	球的
ayrshire	苏格兰西南部一州
copen	=Copenhagen
inbeing	本质
nonscheduled	不定期
seaway	船只在海上航行
nondescript	难以区别
pythonic	大蟒似
hitter	击球员
inaptly	不合宜地
neaples	那不勒斯
extract	榨出物
specialization	特化作用
orientalize	东方化
constative	表命令、计划、愿望等之假定
inveracious	虚假的
recreancy	胆小
skeletonize	节略成概要
snuffless	不需剪烛花的
advance	前进
afforcement	加强阵容
futilitarian	万事皆空论
neutral	中性的
deodorant	除臭
wakan	灵力
deuteranomalous	绿色弱
rbi	In
transmitter	发射机
reason	理由
amusedly	开心
flashy	浮华的
edginess	急躁
flagellatory	鞭打
persimmon	柿子
binate	成对的
residentiary	居住者
unlistening	不留神听
flockmaster	牧羊人
pillowy	枕头般
declension	词尾变化
loosely	宽松
protect	保护
replacement	归还
miscellany	杂录
isapi	Program
doddery	蹒跚的
predestine	注定
turncap	旋帽
grumbling	喃喃鸣不平的
dividual	可分割
kermit	由哥伦比亚大学设计
imagination	听觉
overrake	的艏部
whys	原因
reportable	值得报告
appoint	指定
telltale	泄密
ionopause	电离层顶
dubitative	半信半疑
bleak	荒凉
gospel	福音书
thorianite	方钍石
implead	起诉
twinkling	闪烁
astrography	天体照像仪
prothesis	圣餐的准备
unsicker	靠不住的
envionment	Java环境
expertize	任专家
sufficient	充分的
gynoecium	雌蕊群
inform	通知
azus	太平洋共同防卫组织
cautiously	慎重
ito	International
kummel	烈性甜酒
philabeg	=filibeg
daze	迷惑
technosphere	技术领域
technologic	工艺
radiolarian	放射虫
melodramatist	通俗剧作者
paragenesia	共生
enneastyle	有九柱
tamburitza	坦姆布里扎琴
infraction	侵害
rsgb	Great
cern	physics
censorial	监察
temptable	可诱惑
overproduction	生产过剩
cno	Operations海军作战部长
gutty	挑动性
metallographic	/
rye	绅士
quarrel	争论
desirable	令人想要
shelf	架子
empire	帝权
racketeer	获取不正当钱财的人
sponge	海绵
sedentary	沉积的
thunk	锵
bale	大捆
windhover	茶隼
lugubrious	悲哀的
rancherie	居留地
urethroscope	尿道镜
unsigned	无符号
curvesome	=curvaceous
doghouse	犬舍
forehanded	对将来有预备
endogenic	内生
sunkissed	受阳光照射的
alleviative	缓和剂
craftsman	手艺精巧的人
embalm	使不朽
louche	品德有问题的
underappreciated	未得到正确评价
petrologic	岩石学的
feeblish	较弱
apophyge	柱身之凹
whipping	笞刑
daiker	犹豫
supergranulation	超米粒组织
inauthenticity	伪造
snowball	雪球
telluric	上
scrap	废弃的
triliteral	三字母
accidentally	偶然
cementum	牙骨质
electrotaxis	向电性
oddity	奇异
saltire	X形十字
enthrall	迷住
emit	发出
maungy	闹别扭
unthinking	未加思虑
prattle	废话
subsynchronous	次同步的
unregretted	无人对之表示悔恨
greedily	贪婪地
tributary	从属
trinitarianism	三位一体论
opaque	迟钝
cotyledonous	有子叶
satyrid	眼蝶
subzone	亚地区
compere	指挥者
hippologist	马学
featheriness	羽毛状
atmospherically	气压上
pharmacy	一批备用药品
deliberatively	慎重审议地
rattling	极佳
placage	薄饰面
somnivolency	催眠药
radiator	电暖炉
distance	距离
circumpolar	拱极
perplexed	不知所措
excuss	依法索取
uvulotomy	悬雍垂切除术
moslemic	伊斯兰文化
cachinnate	哄笑
outrow	比……划得快
chinaberry	楝树
overearnest	过于热切
sweetening	使变得甜
sting	刺激
faery	幻想的
billingual	北京双语教育电子有限公司
moonset	月落
condensibility	可压缩性
flatcar	无盖货车
rising	上涨的
cancer	癌
lilacky	淡紫色
heedless	不注意
burnish	磨光
hypospray	无痛皮下喷射器
heaviest	巨大的
astuteness	精明
adsuki	bean
masty	危险的人
german	德国人的
harmonistic	调和
inductile	没有延性的
miogeosynclinal	冒地槽的
briseis	布里塞伊斯
nutriment	营养品
supermultiplet	超多重态
cristated	冠状
clergyman	牧师
photonuclear	光核的
licensee	获许可的人
emasculate	阉割
rebel	造反
quickish	相当快的
ambulatory	流动
billiard	弹子戏
doctrinist	教义至上主义者
unseen	未经预习的
spine	中心
dropout	辍学学生
vile	坏透
undutiful	不顺从的
spender	用钱的人
unapproved	未经同意的
ticktock	发出滴答声
upbear	支持
ammonification	加氨
dispossessed	被逐出的
strange	不惯的
arjuna	阿朱那(印度古代梵文史诗
usia	美国新闻署
papua	巴布亚岛
smsa	Area
abraxas	古时刻在玉石上避邪的文字
hoodwink	蒙蔽
inquisitorial	询问人的
postembryonal	胚后期的
ceramic	陶瓷制品
shoji	障子
highly	高地
untwist	拆开
bailor	寄托人
nuclear	中心的
intangibly	不明白
latifundium	大农场主
miscue	失误
indigested	未消化
songlet	短歌
finite	限定
delinquent	失职
avariciously	贪财
rockweed	生于海岸岩石上的海草
radiological	放射线学
coinstitutional	中学
hypergolic	自行着火
tonsilar	扁桃腺
latent	潜在的
waste	荒芜的
coulee	小川
metabiosis	半共生
masonry	石匠职业
polling	联接到另一主机查看电子信件或新闻
obsession	困扰
notturno	小夜曲
methodic	有组织
wae	Application
southpaw	左撇子
bndd	of
maniacal	发狂的
favorable	有利
quickening	兴奋
shareable	可分享的
sebe	east
zimbabwean	津巴布韦的
inexplicable	无法说明
turgid	浮夸
fruition	成就
intervention	干涉
hausen	大白鲟
logicize	运用逻辑
classis	长老监督会
sue	提出请求
teleprompter	讲词提示装置
lunge	套马索
triton	氚核
dunderpate	大傻瓜
hamstring	切断腿筋使成跛腿
pingpong	桌球
sick	厌恶的
errantry	游侠行为
confront	对抗
inferiority	自卑
analphabetic	非字母式的
adumbral	遮阳的
cst	中央时区
jar	震动
deadsville	沉闷的
visa	签准
jwv	Jewish
armipotence	兵力强大
electrodeposit	电沉积
irrespectively	无关地
aerotactic	趋气性
agreeably	愉快地
thyrsoid	聚伞圆锥花序状
semicylindric	半圆柱状
mirthless	不快乐
hamitic	哈姆族
hibernant	冬眠
cetacean	鲸
mack	老弟
obstinate	顽固的
bald	枯燥的
metapsychic	心理玄学
kickshaw	无价值的饰物
definitive	最后
livable	适于居住
ischium	坐骨
withdrawment	=withdrawal
unsoldierly	非军人的
conglutinant	促创口愈合的
singlehanded	独力的
sluttery	懒惰
frontlet	额
means	想要
ingression	进入许可
rondel	十四行的短诗
liquid	流动的
furl	收下
metaphorical	比喻性
complaint	委屈
subjunctive	虚拟语气
wad	以软物衬填
shush	嘘声
discontinuance	废止
ps	IBM
life	生活
corpselike	似尸体的
recalcitrate	顽抗
chanceless	无可能性的
defilement	污辱
tajo	塔霍河
tombstone	墓石
manipulable	可以操作
csma	Mutiple
validate	使生效
coppice	矮林
quavery	震音
artificial	假
c	世纪
genealogical	宗谱
astigmatism	因偏差而造成的曲解或错判
hucksteress	女叫卖贩子
fog	迷惑
punisher	处罚者
ennead	九个一组
flockpaper	毛面纸
ncte	of
petty	小规模的
archangel	天使长
accelerate	促进
qaranc	亚历山德拉王后皇家陆军护理队
cpaffc	Association
undistributed	未分发的
disoriented	分不清方向或目标的
velarize	发软腭音
genially	快活地
antique	古董
illness	疾病
crumple	压皱
carnation	荷兰石竹
weather	侵蚀
cofacter	余因子
listeriosis	李氏杆菌病
extravaganza	狂妄的言行
partner	伴侣
beaky	像鸟嘴
whirlabout	旋转物
sailorman	水手
uart	Asynchronous
flaccid	软弱
botheration	讨厌!
goldminer	金矿工人
blastomere	分裂球
aromatic	芬芳的
rhetorically	讲究修辞地
decreasingly	渐渐减少地
bibliophile	爱书者
butterbur	菊科蜂斗菜属
ribonucleoprotein	核蛋白
whereof	以什么的
zoomy	利用促镜拍摄
illegibly	暧昧
marquisate	侯爵领地
believable	可信
lsat	School
atapi	Packet
steep	险峻的
dilettantish	半吊子
tough	吃苦耐劳的
demonologist	鬼神学家
holocene	全新世
arbo	虫媒的
inshore	近海岸
blast	冲击波
shoreless	无法上岸
dav	American
calculated	适当
epistaxis	鼻出血
yew	紫杉
interscholastic	学校间的
strait	苦恼的
substantia	nigra黑质
brush	刷子
pedograph	纸上脚印
recumbency	斜靠着
spaish	西班牙的
somatogamy	体细胞配合
intrepid	勇猛
lampson	兰普森
lithophilous	生长在多石环境的
soerakarta	=Surakarta
collet	筒夹
disastrously	悲惨地
biparietal	二顶的
unput	未提出
microcosmic	微观宇宙的
translatology	译学
edge	利刃
ialc	instrument
dimension	元
done	注定要完蛋的
snout	猪嘴
rotisserie	烤肉店
respective	各自
anharmonic	不调和
numbered	有限的
synodal	教会会议的
convergent	会集于一点的
lobe	圆形突出部
hotkey	热键
poetical	理想化
skimeister	职业滑雪运动员
subchloride	氯化低价物
advocatory	有关拥护者的
landworker	农场工人
marmot	旱獭
extrachromosomal	染色体外的
icaaaa	Athletes
absorptivity	吸收性
apocryphal	伪经的
print	印于
calathiform	凹陷的
cotemporaneous	同时代的
defect	缺点
liebfraumilch	莱茵白葡萄酒
fetch	魂
cinerary	放灰
oke	好
azygous	非对偶的
ahd	disease
vamp	捏造
afc	自动频率控制
xanthochroic	金发白种人
seventeeth	十七分之一
cloze	填充测验法的
refuse	谢绝
inclip	围住
notably	显著地
pardon	宽恕
carla	卡拉
unmarriageable	不能结婚的
victress	女胜利者
decorous	有礼貌的
simulacrum	影
denicotinize	除去尼古丁
scent	闻出
knowledgable	=knowledgeable
synod	宗教会议
fuzznuts	讨厌鬼
antiauthoritarian	反独裁主义者的
gayety	轻快
directtissima	直接攻击
tabby	平纹织物的
apices	apex
anemic	患贫血症
beetlehead	笨人
sick	病态
iniquitious	极不公正的
panchromatic	全色
dholl	=dhal
sidetone	侧音
time	定期
ragamuffinly	衣衫褴褛的
behoof	好处
omnifaceted	全面
causerie	漫谈
cryophorus	凝冰器
kami	神
nonclaim	在期限内未提出要求
available	可利用的
trunk	干线的
illude	置……于幻觉中
biconvex	两面凸
rush	冲进
hairclip	发夹
lacteal	乳状
toluic	甲苯酸的
suprathermal	超热的
bryozoan	苔藓虫
railery	玩笑
groovelike	墨守成规的
shortcake	脆饼的一种
meany	刻薄鬼
fake	假的
riflescope	步枪上的望远镜瞄准器
motile	显示活力的
siliceous	硅土的
unwitting	不知情
ditto	同上
attend	留意
avascular	无血管的
hypothecate	担保
apyretic	不发热
generic	类
homography	单应性
fleetness	快速
hydrometeorological	/
ensorcellment	迷惑
queenly	慷慨的
trash	垃圾
smooth	流畅
unapprehended	未被理解的
cnaa	Awards
pembrokeshire	彭布鲁克郡
cleidoic	与环境隔离的
nostologic	老人学的
throwback	大倒退
international	国际
houseperson	料理家务的人
overcolour	过份润色
gbf	Great
shade	微减
woodpie	斑啄木鸟
atlas	地图
secam	SECAM制式
gweduc	=geoduck
presuppose	预示
reverential	可敬的
agressire	攻击的
npa	Association
sigmoid	S形
flory	θ温度
hydric	氢气的
monomial	单项式
infant	幼稚
proof	考验
surprised	感到惊讶的
ringing	响亮的
inhalatorium	吸入治疗室
censoriously	好批评地
rabelaisian	法国讽刺作家拉伯雷
aurelian	水母
existentialist	存在主义者
defy	公然反抗
photog	=photographer
gelong	西藏僧人
naeb	National
prad	马
managerialist	经理主义拥护者
secondary	二级的
periphery	外围
allantoic	尿囊内的
overtly	公然地
bastardry	暴行
wineglass	玻璃酒杯
studious	热心的
resedaceous	木犀草属的
transmitter	传达人
trivial	微不足道的
financial	财政
tension	电压
resumptive	概括
chemosynthesis	化学合成
killing	致死的
revalorization	重新估算价值
ilk	种类
swizz	欺骗
afterlight	晚霞
discussible	可议论的
evulse	扯掉
camptothecin	喜树碱
diolefin	二烯
pigeonhearted	害羞的
neaten	整顿
reinforcement	加强
article	物品
phe	Public
kingbird	必胜鸟类
underlife	私生活
abstruse	奥妙
classically	古典主义
thymelaeaceous	瑞香科树和灌木的
hodeida	荷台达
inconceivably	不可思议
nomadic	游牧
pendular	摆动
ckd	完全分解
c	字母C
anticlastic	鞍形面的
incompetent	无能力者
grandisonian	模范绅士
cove	小湾
cinemicrography	显微电影摄影
tumorous	肿瘤性
uplift	振奋
goest	go的第二人称单数现在式
chance	偶然
putridity	腐败
peroxid	过氧化物
vociferous	喊叫的
basset	一种矮脚的猎犬
testacy	留有遗嘱
diluent	稀释
woof	纬线
radc	Corps皇家陆军牙医队
gravific	使变重
nephrostome	肾孔
acting	起作用的
recherche	讲究的
austenian	奥斯丁作品
bardling	末流诗人
unchristian	非基督教的
iht	Herald
passably	尚可
gutterman	清扫阴沟的工人
cryptographer	译解密码者
hydrostatic	流体静力学
downturn	低迷时期
oodles	许多
haver	说废话
sumpter	赶驮兽的人
pc	Personal
oxyhydrogen	氢氧的
banteringly	半开玩笑地
corrupt	被破坏
cppcc	Conference
salification	成盐状态
hyposensitization	使敏感度减弱
unef	Emergency
therewith	于是
alimental	食物的
weatherology	=meteorology
toffee	胡说
appropriable	可供专用
staphylorrhaphy	腭裂缝术
worthy	值
girondist	党员
glair	蛋白
maypole	五朔节花柱
smogbound	烟雾弥漫
shaoxing	绍兴
kay	凯
inhomogenous	异成分的
slammer	监狱
pleasure	乐事
ka	阴灵
sunlit	被日光照射了
privation	缺乏
ue	Workers
tribromoacetaldehyde	三溴乙醛
furred	毛皮制
pmpo	峰值音乐输出功率
rancher	牛仔
tarada	独木舟
erotogenic	动欲的
prothesis	词首增添字母或音节
monovalent	仅能抵抗某种病菌的
ido	伊多语
sulk	生气
microanalysis	微量分析
rebroadcast	重播
incorporable	可结合
isthmic	=isthmian
heavy	大量
somatotopical	躯体特定区的
ethene	乙烯
done	完成了
vtc	Format
chromoplasmic	染色浆的
emulsin	杏仁酪
nuffin	没有东西
waspy	似黄蜂
sadie	赛迪
unicef	International
lariat	用套索捉
coterminal	共终端
brainwashing	洗脑
fidge	寝食难安者
sublimely	高尚
chekhovian	契可夫式
earthen	土制的
sick	渴望
whyever	无论为什么原因
unapparent	模糊
tepid	不太热烈的
gastrovascular	消化与循环两用的
ahem	啊咳
chastening	矫正性
inexpressive	无意义的
speedway	机器脚踏车的竞赛场
thermostable	耐热的
put	发芽
transmit	转送
scarce	稀有
transpositive	移调的
homozygously	纯合子地
alternating	交互
irishwoman	爱尔兰妇女
debase	贬低
solicitudinous	焦虑
encapsulate	形成胶囊
armistice	休战
venomous	有毒的
gelignite	一种含硝化甘油的炸药
hurtlingly	飞奔地
remonstrative	忠告的
gram	鹰嘴豆
unadaptable	不能适应的
whiter	苍白的
lapidarian	刻在石头上
lacy	花边的
craig	克雷格
schanz	小堡垒
percentage	百分率
micelle	微胞
theban	底比斯
depart	过去
unspliced	未拼接
stray	漂泊
furfuraceous	糠
gargoyle	怪兽状滴水嘴
jcr	Junior
kusso	苦苏花
unaccountable	无法解释
estonian	爱沙尼亚
insult	凌辱
smart	巧妙
kloof	峡谷
oxford	牛津
retake	再取
maranta	竹竽
ecru	本色
hypnotist	催眠士
prediabetes	前驱糖尿病
bufflehead	小鸭的一种
drily	干巴巴的
utter	发出
rife	普遍的
fighting	好战的
navigation	航海
defuse	去掉……的雷管
unusual	不寻常的
yammer	叹息
ratel	猫的一种
assertion	主张
grandniece	侄外孙女
buirdly	粗壮的
rot	腐烂
import	含……的意思
morcellate	分碎
primus	第一的
anthelmintic	驱虫的
fellowship	友谊
urgently	急切
conn	驾船
reversal	撤销
acanthoid	棘状
captious	吹毛求疵的
flashiness	瞬间
skullfish	两岁以上的鲸
metacmpile	元编译程序
gainer	胜利者
unwind	展开
knighthood	骑士的地位、身份
syphilotherapy	梅毒的治疗
filigree	易损之物
chengchow	见Zhengzhou
airiness	通风
flitty	脂粉气
guardship	哨舰
miniaturise	=miniaturize
oatmeal	麦粥
continuable	可持续的
formication	蚁走感
backroom	秘密完成
supersensuous	超感觉
primely	最好
paper	考卷
gumptious	机灵
grossly	非常
persistence	持续
diadochic	同晶性型的
penetralia	密室
nanny	Ann
medullated	有髓的
cytogenetics	细胞遗传学
transubstantiate	trAnsEbstAnFIeIt/
retentiveness	保持力
testimonial	推荐书
slag	炉渣
drunken	酒醉的
cpff	cost
awesome	引起敬畏
lomentaceous	节荚状的
pileup	连环相撞
naily	钉有很多钉子的
underemployed	学非所用的
quirk	怪癖
buccolingual	颊舌
msa	in
searching	透彻的
fascinating	醉人的
legateship	使节的职权
postal	邮局
interfluve	分野
spark	火花
coopery	制桶
joltily	摇动
specialist	专家
contrariness	反对
mesothoracic	中胸的
sibling	姐妹
anaphylactic	导致过敏
blockade	封锁
fidgety	难以取悦
separative	有分离倾向
lukan	=Lucan
rewake	再觉醒
sap	活力
anginal	咽炎
centaurae	矢车菊
closer	靠近
underclothed	穿着不暖的
chincherinchee	球根植物
emanant	发射
inkwell	墨水池
abstinent	禁欲者
cemetery	墓
replacement	代替者
iad	Astrophysical
juvenescent	到达青年期的
selenosis	硒中毒
cadastral	土地清册
fast	彻底
screwhead	螺丝头
sunbreaker	遮阳板
ultraclean	特净
attractor	引起注意的人
over	上面的
organdie	蝉翼纱
overceiling	超出最高限额的
sba	Business
idyllize	使田园化
gi	直布罗陀
ironize	冷嘲
whither	cin
cannular	管
consentience	一致
gracile	细长
neurocyte	神经细胞
xanthein	花黄素
trivialness	平凡
choirboy	少年歌者
craterlet	小坑洞
setover	偏距
plectrum	琴拨
boniness	骨瘦如柴
ectropion	睑外翻
vicarial	代理
correlative	关联
memory	记忆力
retentivity	记忆力
wisehead	=wiseacre
saransk	萨兰斯克
squabbish	有点胖的
delicate	精巧的
unthought	未加思考
loyalism	忠义
ubykh	尤比克语
lifetime	寿命
pipit	田云雀之类
mulch	覆盖
clubroom	俱乐部聚会室
guiltless	无辜
nosewarmer	短烟斗
benty	多硬草的
hektostere	=hectostere
fane	教堂
salvageable	可抢救
flit	迁徙
testacean	贝壳的
par	平价
cryptic	秘密
cureless	无法医好
forwearied	筋疲力尽
standard	本位
closeness	狭窄
bobbysoxer	十三岁至十九岁的少女
neighbouring	毗邻
considering	考虑
opal	蛋白石
chelonian	龟
achromatic	非彩色的
menstruous	行经的
very	真实
spumescent	泡沫状的
necessity	需要
imitability	可仿制
pious	虔诚的
infuscated	被弄糊涂的
brakesman	轫手
riparian	河边的
stopcock	管闩
flexuous	弯曲的
antiemetic	止吐的药
anuretic	无尿症的
improver	改进者
trendy	穿着时髦的人
clear	空旷的
choler	大怒
parolee	假释犯
unfluctuating	不变
gooky	粘
possible	可能的
vdi	虚拟设备接口
curbing	边石的材料
rusty	腐蚀了的
exorability	心肠软
calorigenic	产生热量
encephalic	颅内
tarnal	非常
hemipter	半翅类昆虫
swish	好看的
weariful	疲乏的
twelvepence	先令
anaemic	贫血的
ornithological	鸟类学
investment	可获利的东西
handicap	使不利
fecundity	丰饶
othin	=Odin
spiccato	断续
cadelle	大谷盗幼虫
promptness	机敏
yale	耶鲁
liechtenstein	列支敦士登
founderous	易使人摔倒
calcicolous	生长于钙质土壤
unversed	不熟练
counterdrive	反强攻
novelese	拙劣小说的写作文体
moistureless	无湿气
holozoic	以摄取有机物为食的
exogenous	外因
quoin	夹紧
reinsurance	再保险
posthole	地上所掘的插旗秆或电线用的洞
fibrillous	纤维状的
lowercase	小写字母
lubberland	极舒适的地方乐土
comous	多毛的
tabetic	脊髓痨病患者
lashio	腊戍
scrophulariaceous	玄参科的
consternation	恐怖
ballroom	跳舞场
radium	镭
sarcoidosis	肉状瘤病
sinophile	爱好中国
freeborn	适于自由民
star	名角
autonym	本名
dephosphorization	去磷
wilhelm	威廉
baptismally	洗礼地
unselected	随意选定的
articular	关节
babu	相当于Mr或Sir的称谓
npa	Newspaper
heterogeneous	异类的
vvip	important
rhapsodize	写狂想文
personal	容貌的
embroglio	=imbroglio
mcs	计算机科学硕士
rpq	for
substantive	独立存在
inerrability	确实
viatka	=Vyatka
crenature	圆锯齿
symptomatology	征候学
procoagulant	促凝血的
push	推
folklorish	带民间传说的
puny	小的
manorialize	置……于庄园制度下
consentient	无异议
shoeshop	鞋店
ferment	酵素
presentable	象样
hemoptysis	咯血
rakish	俏皮的
encompass	环绕
ungalled	未受伤的
outward	公开
unpleasant	使人不愉快
physiognomy	脸
promotional	奖励
athenian	雅典人的
contrariant	反对
plashy	湿地的
introducing	介绍
aquicultural	水栽法
surfeit	使饮食过度
