autarkist	自给自足主义者
ichthyomorphic	鱼所特有的
reasonably	适度地
elfland	仙境
manifestation	表现
form	形式
embay	围绕
modernminded	有现代头脑的
dreamfully	常易梦见地
simitar	半月形刀
musculoskeletal	肌骨骼
certain	确定
lowball	向虚报低价
saprobial	衡量水生环境有机污染度
zif	零插入力组件
stragglingly	脱离队伍
lasher	鞭打者
reason	思考
longeval	长命的
inflexible	不屈的
ectohormone	外激素
vaunting	自吹自擂
strickle	斗刮
humourless	一本正经
curvicostate	具曲脉
devastating	全然
degeneracy	堕落
ideologize	以意识形态解释
pray	恳求
undissolute	不放荡的
hajji	到麦加朝圣过的伊斯兰教徒
refutatory	反驳
insouciant	漫不经心
tother	别的
cliquy	分为派系
subdual	缓和
twitch	抽搐
depurant	净化剂
stunt	矮小的人
p	人员
direct	由西向东运行
far	遥远
polyphonic	对位法
scurrilous	说话粗鄙恶劣
educe	导出
synchroscope	同步检定器
solarism	太阳中心说
rebellious	反叛
micromeritics	微晶学
aeon	万古
raphide	针晶体
contractible	会缩
labradorite	富拉玄武岩
hajj	麦加朝圣
tautochronism	等时性
sketchpad	画板
carton	硬纸盒
chary	仔细的
sharefarmer	与农场工人共享收益的农场主
grievance	不平
nurture	教育
pneumatic	有气胎的
vesicular	小泡的
outcamp	偏远的营
shopworn	在商店中陈列旧了
unlovely	不漂亮
bundook	步枪
platitudinarian	平凡
iaupe	Association
welladay	呜呼!哀哉!
suprahuman	=superhuman
carbonatation	二氧化碳饱和
private	士兵
xenophobic	恐惧外国人的
hypobaric	低比重
organosilicon	有机硅的
opportunist	机会主义者
antiferroelectricity	反铁电现象
backstairs	诡秘的
gruffly	粗暴地
accusatival	宾格的
pdq	马上
slot	开槽于
outlier	露宿者
bms	Screen
lamellirostral	扁嘴类的
yuan	元
unbusinesslike	不认真的
counterproductive	反生产的
whys	目
outspan	去轭
famed	著名的
uniparous	每次只产一卵
follow	从事
parenteral	不经肠的
uncorrectable	无法改正的
yawny	令人打呵欠
rheologist	流变学家
glarney	玻璃弹子
punisher	惩罚者
isolation	孤立
prison	监狱
download	下载
undissociated	未离解
mack	老兄
bucketful	满桶
second	次货
tuneable	谱好曲
rss	Societatis
neurotrophic	亲神经的
haemagglutinin	血凝素
lanceolate	披针状的
xix	19
lucius	卢修斯
wondrous	非常的
cobbra	头
spermatogonium	精原细胞
primiparous	初次分娩
generous	有雅量的
prevue	预告片
underpopulation	人口稀少
turnery	车床工厂
antithyroid	抗甲腺
compendiary	简明的
drugstore	药房
smokeless	无烟
embourgeoisement	变成资产阶级
brittle	脆弱
gaullist	反纳粹德国占领运动的支持者
tackle	固定
shrub	灌木
arbitrariness	霸道
cytotoxic	细胞毒素的
synthetically	合成
alarming	使人惊动
unsympathizing	不同情的
inoperable	不宜动手术的
overbrim	使满出
rummy	甜酒的
dry	口渴
snuffbox	鼻烟盒
pfeffernuss	番佛努斯香酥球
baptistery	洗礼用桶
decennary	十年间的
posteriorly	其次
stub	断株
frisian	Friesland人
tamperproof	可防止乱摆弄的
fuliginosity	黑褐阴沉的状态
exertive	费力的
etymologize	探溯语源
tweedle	鸟鸣声
indebted	负债
tumblerful	杯子
degustation	品尝
fitted	按实物尺寸做
terminal	每期
angor	绞痛
exposed	暴露于风雨中的
gillian	吉莉安
photoactinic	光化射线
derivable	可引出的
unsphere	使离开所在位置
galwegian	加罗韦的
dialytically	用透析法
patripotestal	以父系亲属委员会为权威的
from	从
comfortlessly	不舒服
owly	像猫头鹰
machineable	=machinable
hardenable	可硬化
allegorize	寓言化
remorseless	不屈不挠的
symmetry	对称
justiciary	司法上的
ravenous	贪婪的
roe	鱼卵形黑色斑纹
armadillo	犰狳
hilar	门
thermonuclear	高热原子核反应的
shin	胫骨
unpliant	不柔顺
uae	United
tomorrer	=tomorrow
ostrich	鸵鸟般的人
superbomber	超重型轰炸机
therewithal	随其
odour	香味
conchology	贝壳学
carport	车棚
judicially	公平地
backstairs	后面楼梯
wbs	west
esb	stimulation
conclude	终止
centromere	着丝点
orem	奥勒姆
mock	假的
agonistic	动机争胜性
dressing	敷料
worm	螺纹
spurn	弃绝
chinkerinchee	球根植物
nitrosylsulphuric	亚硝基硫酸
dissected	多裂
duopoly	两家卖主垄断市场
incubative	孵蛋的
blodge	污点
vendace	白鲑鱼
flyer	飞跳
runback	持球跑动进攻
nyt	New
crackers	癫狂
noncommunicant	不做礼拜的人
quintillion	百万的五次方
patulous	张开
npl	Laboratory
elusive	易忘
unerringly	无过失
streptodornase	链球菌去氧核糖核酸酶
ring	套住
imaginal	想象的
levity	多变
caac	中国民航
impropriation	移交私人保管
spherule	小球体
philtre	使兴奋
quadrillionth	千万亿分之一的
anuclear	无细胞核的
mongoloid	蒙古人种的
creosote	杂芬油
dishonour	拒收
selectorate	代表选举团
undefendable	不可辩解的
ultrafine	非常细微
anorexia	食欲减退
gooky	肮脏
galoisian	伽罗瓦
early	早熟
unawakened	潜伏
pensile	做吊巢的
disharmonious	不调和的
damoclean	危险临头
diaphone	对应音
whisk	搅拌器
bald	单调
cisalpine	其南侧的
feigned	做作的
gruesome	可憎
lcm	最小公倍数
muckhill	=muckheap
archaist	拟古主义者
jaundice	使患黄疸
cantiga	短抒情诗
scrap	打架
granddam	老太婆
rau	自动装置组合单元
ludwig	路德维格
contextless	无来龙去脉的
apomixis	单性生殖
invectively	恶言恶语地
pothead	迷幻药服用者
ai	Aritificial
bluish	带蓝色
karyolymph	核液
lutose	覆盖有泥状粉质物的
mail	邮寄
moneygrubber	财迷
vociferation	喧嚷
hypnopaedic	睡眠教学法
loudmouthed	吼叫
monostome	具单口
appurtenances	附属物
flammulation	红色斑纹
wild	疯狂的
dps	每秒衰变数
dextral	右旋的
detection	发现
videoporn	黄色录像
khud	悬崖
revise	修改
metalloid	非金属的
wysbygi	在获取之前所见的
bigamist	重婚者
lactary	奶似
rotatory	使回转
postvaccinal	接种后的
tacitean	似塔西佗文风的
synoptically	概括性
qse	engineer
thunderstorm	雷暴
boldfaced	粗体字
intubate	把管子插进
hippophagistical	食马肉
skeletony	骨骼似的
parcae	命运三女神
radicle	基
pulsation	震动
schizophrenogenic	引起精神分裂症的
penutian	佩纽蒂语群的
juliet	朱丽叶
inwall	内墙
sphenoid	楔状
exclusivist	排外主义者
bisulfide	二硫化物
soddish	极坏的
rim	边
yaf	for
mutually	互助
hyperpyrexia	体温过高
martensite	马氏体
thereof	关于……
bangladeshi	孟加拉国的
forebode	预言
fecal	排泄物的
illatively	根据推论
gonocyte	性原细胞
bartend	当酒吧侍者
boorish	乡土气的
ictus	强音
inp	Index
whoop	小块
improvisatorial	即兴的
outstation	分部办事处
cinematic	电影的
boater	乘船者
ostentation	风头主义
albuminose	多胚乳
vieta	维也塔环形山
lymphogranuloma	`lImfEJ9^`lEJmE/
giddy	眼花缭乱的
unitar	Nations
lotion	洗剂
msha	in
forworn	极疲倦的
willow	柳树
benelux	比利时、荷兰、卢森堡三国经济联盟
formulable	可用公式表示的
abnormity	不规则
tearproof	撕不破的
lairy	华丽而俗气的
recriminative	互相责备
algerine	阿尔及利亚人
trunnel	大木钉
amorously	好色
emarcid	枯萎的
admissibility	可容许
stipple	点刻
candidly	率直
coil	卷
vicarial	教区牧师的
radialization	辐射
religionism	宗教狂
infernal	恶魔的
canalicular	似小管的
sycophancy	奉承
reddle	赭土
pungent	尖锐的
odic	颂诗的
beneficial	有使用权的
electrolyte	电解
economizer	节约者
pollinize	=pollenize
rann	National
inscriptionless	无碑铭的
bacchantic	崇拜酒神
encapsulate	装入胶囊
wash	洼
mirthful	愉快
fashioner	创造者
woolly	羊毛
centriole	中心体
heartland	心脏地区
nobody	pro
lobscouser	水兵
unparalleled	无比
unsharp	钝
heddle	综线
skirt	裙子
jbs	John
fretted	焦躁
termini	界标
hilac	重离子直线加速器
mortuary	太平间
theologically	神学
expense	费钱之物
childproof	能防止孩童瞎摸弄的
revoltingly	叛乱
caitiff	卑鄙男人
reversedly	反转地
polydemic	广居
gonadotrophin	=gonadotropin
consubstantiate	kRnsEb5stAnFeIt/
larvivorous	以幼虫为食的
cowgrass	瓜槌草
expanding	展开
netlike	网状的
bacterization	借细菌作用治疗或改变
singularly	异乎寻常地
od	自然力
cuspy	设计得很有效率的
cop	抓住
smallholding	小农场
indomitably	不能征服
neronian	暴虐
microform	缩微过程
zee	Z字母
colonial	殖民
laurentian	劳伦系岩石层
palmated	掌状的
legislation	法律的制定
hellene	希腊人
companionate	伙伴
zamboanga	三宝颜
ghibelline	皇帝党员
lettered	有学问的
intertribal	部族间
faint	微弱的
am	Amplitude
electriferous	传电的
alacritous	快活
barnstorm	到小城镇巡回演出
fess	供认
sportswoman	女运动家
stoep	门廊
hardly	刚刚
fireworks	激烈争论
migrator	移居者
lifelike	逼真
plainclothes	便衣的
deter	阻止
isoagglutinin	同族凝集素
monomial	单项
garrote	西班牙的绞刑具
brawly	喧嚷的
embow	使成穹形
organic	器官
rallye	长距离赛车
actual	现行的
ringworm	癣菌病
soubise	苏比斯调味汁
eurhythmic	音乐舞蹈体操
icu	intensive
handwrite	亲手写
dogmatical	武断的
notgeld	应急货币
pesky	讨厌的
visit	视察
wide	张大的
culminating	终极的
calumniatory	诽谤的
ordinant	规定
metafemale	超雌
flunky	走狗
radiography	X光线照相术
raec	Army
awake	警觉的
labialization	唇发音
legalize	公认
unendowed	不具有的
slam	砰地关上
vtp	Trunking
unflaggingly	不屈不挠
fl	氟
narcissi	自我陶醉
impercipient	认识不足的
loss	错过
papery	象纸
theandric	神人两性结合的
dirigible	可驾驶
honestly	公正
smug	自鸣得意的
shag	使杂乱
point	指向
bowery	有亭子的
transpiration	蒸发
locker	上锁的人
counsel	辩护律师
bluff	直率的
essential	实质
hustings	选举程序
falconry	猎鹰训练术
guide	引导者
syncretic	汇合
endoergic	吸能的
osf	Francis
petrous	岩石
ledge	暗礁
invisible	看不见
unaccompanied	无随从
vhf	Very
ferreous	硬如铁
dole	失业救济金
furcate	分叉
kryptol	碳棒
hectic	肺病的
talking	表情丰富
disfavor	不赞成
conjurator	法师
bilabiate	两唇的
seriously	真诚地
break	破裂
prizefighter	职业拳击手
mime	Mail
buttony	多钮扣的
accessory	副的
impersonify	=personify
concomitance	伴随
wonder	非凡的
faultfinder	找岔子
unreaped	未收割
rich	富饶
gabble	急促地说
carrollian	具有卡罗尔风格
override	奔越过
gilbertian	吉柏特派的
savage	野蛮
substitute	替代品
politely	客气
lur	Underground
uneventful	平凡
delustre	消去的光泽
iran	伊朗
tripping	平稳地进行的
musing	沉思
egodystonic	与自我不相容
tessera	镶嵌物
pvt	temperature
ohmmeter	欧姆计
incontinent	不能自制的
enquirer	追究者
compoundanimal	群体动物
peitaiho	见
screenwriter	电影剧本作家
impropriety	不适当
subtotal	几乎全部的
bowls	保龄球
stroud	粗呢衣服
autogyro	旋翼飞机
stylish	流行
aristotelian	亚里斯多德
argillaceous	粘土的
suberect	接近垂直的
ransom	赎回
drearily	沉寂地
posse	一队
hypothenar	小鱼际
flagellate	鞭状
sedimentology	沉积学
betsy	Elizabeth
threescore	六十
whoredom	偶像崇拜
kazakh	哈萨克人
sensurround	包围感
cellulated	由细胞组织成
glareproof	防眩的
pardi	确实
treescape	树木风景
carnous	肉的
lounder	狠狠地打
xanthone	一种化学原料
petty	小型
turfite	赛马迷
neologist	新教义信奉者
methodologist	教学法学者
yamma	美洲驼
fire	着火
mobbist	暴徒
chromatin	核染质
allethrin	丙烯菊酯
muskhogean	马斯科吉语组
sedentary	土生
aciniform	多小核的
ulf	Low
bft	Binary
pds	处理器直接插槽
skep	蜂箱
pock	使有麻点
ramshackle	摇摇欲坠
presser	压榨机
picture	照片
mousey	多鼠
meanwhile	其时
motherboard	底板
menispermaceous	防己科
cub	不懂规矩的年轻人
purulence	化脓
strabismic	斜视
unparliamentary	违反议会法
anniversarian	为庆祝周年纪念而演说之人
scandal	诽谤
wassermann	test
subsynchronous	次同步
closemouthed	嘴紧的
buprestid	吉丁虫
left	leave的过去式和过去分词
rube	土包子
fall	落差
audiovisual	视听
unimpugned	未受怀疑的
hight	被称为
religionise	=religionize
braillewriter	=Brailler
ambiguously	引起歧异地
bareback	无鞍
orbicular	圆的
strategy	军略
extraterritorial	治外法
material	物质的
fm	symb
piratical	盗版
hepatogenous	肝原的
unhappy	不快乐
quits	两相抵消
overpraise	过度称赞
nuclei	的复数形
contracted	收缩了
quadrilled	形成许多大小相同的方格的
rhq	团部
footle	呆话
weasel	告密
cathepsin	组织蛋白酶
schistoid	片岩状的
sbc	coding
noaa	Oceanic
nonart	没有艺术价值
unfortunate	不合宜的
marshy	湿软的
oppression	压抑
handwrite	用手写
chinanet	中国邮电部建设的公用主干网
withershins	逆时针方向地
neurofibroma	纤维神经瘤
spittle	吐出的泡沫
dugout	独木舟
propellant	推进物
forced	强迫
yva	Athority
echinoid	海胆属的
parry	躲避
botryoid	一束葡萄状的
authentically	确实地
literarily	学术上地
balefire	野火
unattainable	做不到的
excellent	卓越
auburn	赤褐色的
zone	使分成地带
dentilingual	齿舌音的
censorable	须受检查的
gom	Grand
rainbelt	多雨地带
anomalous	反常的
tripos	文学士荣誉学位考试
piccalilli	辣腌菜
niggard	吝啬的
desultory	不连贯的
embroil	使卷入
singularity	奇妙
prang	使……坠毁
rube	乡巴佬
complot	阴谋
clear	有条理的
alkalimetry	碱量滴定法
oceanological	海洋学
hardware	五金器具
minus	减
resuscitation	复兴
meadow	草地
apiece	每个
dreadful	讨厌
recordation	记录
leeward	在下风方向
monogamous	一雌一雄
equatorial	n
appealing	哀诉似的
sunny	照耀
sensually	好色地
cry	哭泣
rarefied	纯净的
taileron	尾部升降副翼
plashy	潮湿的
communistic	共产主义
yorktown	约克镇
eec	European
foin	刺穿
apocarpy	离心皮
indeterminable	不能解决的
ramekin	小干酪蛋糕
membership	成员资格
circumvolute	曲折
cognation	血亲
maraschino	黑樱桃酒
toastmaster	主持人
tendencious	宣传性的
whole	完全之体系
garnierite	硅镁镍矿
acetophenone	苯乙酮
politesse	礼貌
toddle	蹒跚学步
spiritedly	活泼地
broadbrimmed	宽边的
unattainable	难到达的
matricide	弑母
fair	公平
burghley	lst
unprevailing	徒劳的
fondly	溺爱
wctu	Union基督教妇女禁酒联合会
playdown	决赛
fornicate	拱状
reappraisal	重新估计
rallymaster	公路汽车赛主持人
unworthily	不相称
introduce	引进
floozie	粗俗的女子
irruptive	突入的
cebuan	宿务
playground	运动场
demagnetise	=demagnetize
lankiness	过分细长
lucidly	清透
vertical	竖向
oyes	静听
pif	程序信息文件
communicant	传达消息的
laticifer	乳汁器
rbe	effect
capriccio	随想曲
zincotype	锌版
fellmonger	毛皮商
spc	南太平洋委员会
reprehensibly	应受斥责地
schizogony	=schizogenesis
total	全部
erythrophilous	爱好红色的
ammoniacal	氨
putter	置放者
there	在那里
import	有关系
blocking	模块化
mcluhanesque	麦克卢恩学说的
deductive	演绎
thelitis	乳头炎
manstopping	用以杀伤冲锋士兵的
vomiturition	干呕
boracic	含硼
sadhu	苦行僧
flop	笨重地摔
carpus	腕骨
wild	狂热
humiliating	羞辱性
lineskipper	不按排队顺序抢先的人
aggressor	攻击者
swede	蕉青甘蓝
fogdrop	雾滴
lithotritize	用碎石器为……压碎膀胱结石
unreported	没有报道
quantitatively	数量上
sidenote	旁注
satisfaction	令人满意的事物
custodial	保管人的
deepwater	靠近海洋的
interpolator	校对机
astringency	严酷
yperite	芥子气
eightpence	八便士
foolery	蠢事
circumnutate	曲绕
racquetball	短网拍墙球
tell	知道
ashtray	烟灰缸
waxen	苍白
saccate	囊状
ballsy	有种的
cyanurate	氰尿酸酯
spoonbeak	琵嘴鸭
disembarrassment	使安心
abusive	辱骂的
convenient	便利
tabby	平纹
fibrositis	纤维组织炎
mycophilic	喜欢蘑菇
advocacy	辩护
hobbler	跛行之人或动物
sexism	蔑视女性
aircraft	航行器
outmaneuvre	以机动性胜过
unblest	不幸的
feasible	切实可行
swaybacked	弄伤了背
divinely	庄严
vlbi	very
heteronomy	非自治
uncalculated	未经事先考虑
lipophilic	亲脂性
nsf	National
magcon	磁选
inexcitable	冷静
decimal	小数
spinous	难弄的
bim	Management
client	客户
hcl	cost
unfaltering	专心的
vouch	推荐
dishonorably	不名誉地
couturier	女服设计师
calumnious	中伤
laryngotracheal	喉气管的
derogation	堕落
thoro	彻底
vacuumize	抽成真空
channel	引导
bale	包装
refill	替换物
typhlosis	盲
frowardly	固执
kayo	击倒
needless	不需要的
dermoidal	=dermoid
salted	有免疫力
kitbag	背包
repeal	废除
charlady	零佣的女性
personalize	使成私人的
gneissose	像片麻岩的
mineral	矿石
wizard	有魔力的
upborne	被升高
livid	铅色的
synchronological	展示同时发生
polynuclear	多环
infanta	公主
repp	一种条花织品
understandable	可以理解
taxing	费力的
monetarist	货币主义者
gerontophil	亲老人癖的
subvariety	从属品种
subfossil	亚化石
gerbil	沙鼠
tenia	头带
froth	泡
incomplete	不完全的
townlet	小镇
handfast	抓牢
farming	畜牧
verjuiced	不高兴
thistledown	非常轻
monopolistic	垄断
deloul	单峰骆驼
feudatorial	封建
unwatched	未被观看
natural	正常的
unconscious	无意识的
talon	爪
etyma	词根
reproduction	复制品
erotological	色情文艺
rotfl	on
fluidonics	射流技术
system	方法
referable	可交付
derivable	可诱导的
peradventure	或者
aspiration	渴望
umbellar	伞状花的
synthetical	综合的
quadriplegia	四肢麻痹
withe	细枝
alberich	矮子国国王
posthouse	驿馆
frailish	无力
runout	避开
congrats	祝贺
coarseness	粗糙
scientific	科学
anonymuncule	无足轻重的匿名作者
lagging	绝缘层材料
biyearly	二年一次
wretchedness	可怜
huffish	生气
lane	狭窄的通道
narrow	眼光短浅的
microimage	缩微图象
folly	耗费巨大而又无益的事
nhk	Kyokai
echovirus	人肠细胞病变孤儿病毒
autocephaly	自治
nonrecurrent	不反复出现
unvitiated	未被污染
wobble	使颤动
comforter	羊毛围巾
osteopathy	整骨疗法
thermophil	喜温的
debouchment	河口
brisk	凛冽的
xciii	93
antivenin	抗蛇毒血清
brittonic	=Brythonic
dopant	搀杂物
proposal	建议
inadvisable	失策
plus	加上
inflectional	屈折的
angiomatous	血管瘤
antennate	具触角的
gaffer	乡下老头
barfly	常赴酒吧的人
attention	立正!
kokeshi	小木偶
posh	极好的
zedonk	斑驴
inunction	涂油
cancerate	使成为癌
puzzling	使莫明其妙
obscurity	身份低微
romanza	抒情短诗
overprize	对……评价过高
homeward	向家地
coronium	氪
dolldom	娃娃国
cirsotomy	曲张静脉切除术
deepwater	靠近海洋
switch	转变
contracture	挛缩
fastening	结扎工
acyclic	无环
heterocrine	多种分泌
pretty	机灵的
outspend	比花费多
thrustful	劲头十足的
coordinate	同等物
isomerase	异构酶
alterne	交替群落
explicatory	说明的
unvitiated	纯洁的
productile	可延长的
diamorphine	海洛因
apropos	恰好的
hinder	后面
sophist	诡辩者
kindly	爽快
unholy	不合理
ravel	散开
storage	贮藏库
crosswise	成十字状
vexedly	着急
eusocial	完全群居的
duster	防尘长外衣
energetic	精力充沛
myofilament	肌丝
bandobast	=bundobust
binoculars	双眼望远镜
gulf	深渊
nutmeg	肉豆蔻种子中的核仁
everyday	日常
sericate	丝的
pki	Key
armoric	阿莫里凯的
synthetase	合成酶
satyr	性欲极强的男人
hematin	血色素
spittle	唾沫
adapted	适合的
changeful	易变的
peptize	使成胶体溶液
skywards	向天空地
emend	校勘
bepuzzlement	困惑
deportment	行为
strontium	锶
misname	叫错……名字
pedobaptist	幼儿洗礼论者
cordwain	科尔多瓦皮
avertible	可防止的
microstomous	小嘴
classwork	在教室做的功课
invariable	不变
sullen	愠怒
service	服务
healthful	有益健康的
unhuman	非人类
piratical	剽窃
bioelectrical	生物电的
ophiophagous	食蛇的
disconnected	不连贯
tripinnate	三回羽状
lowish	小声
fpe	一个用于修改游戏的工具软件
culpably	可恶地
punjabi	Punjab
lorn	寂寞
monostrophic	单韵律
plodding	沉重缓慢
strange	奇怪的
clipboard	有纸夹的笔记板
carpogenic	生果实
tumescent	肿起的
pinocytized	被胞饮
modiolus	耳蜗轴
character	字符
nib	插入
iconodule	卫护圣像者
pyrotechnic	烟火
flowing	通顺
antirust	防锈
dyspepsia	胃弱
languidly	无力地
diamagnetism	逆磁性
gag	作呕
vindicatory	惩罚
revel	狂欢
saving	节俭
sutra	经典
mincemeat	苹果等切碎混拌碎肉的东西
loathly	不情愿地
dopplerite	弹性沥青
octandrious	八雄蕊
connatural	先天
malediction	坏话
scarify	乱刺
pectinated	栉状的
synapse	形成突触
latch	闭锁
froth	使生泡沫
frizzle	使卷缩
ganoid	硬鳞鱼
inject	注入
municipalism	自治制
pekingology	北京学
circumlittoral	沿海
functionalist	机能主义
accentuation	强调
jv	Junior
anchylosis	长合关节
kerb	街头的边石
combustible	易燃
reform	改善
protension	伸展
anaculture	细菌混合培养
knut	花花公子
emulsin	苦杏仁酵素
scuzzy	阴暗的
modernminded	有现代头脑
skunk	欺骗
shekel	古希伯来或巴比伦的衡量单位
excussion	依法索取
compelling	强制的
comb	梳子
unselfish	无欲的
broad	阔的
fistfight	互殴
nefandous	邪恶
portly	肥胖的
dicrotisc	二波
columbine	鸽似的
farfamed	驰名的
vlaie	小河
recursive	递归
gratifying	令人满足的
landlordly	房东的
niff	恶臭
homozygotic	纯合基因的
trading	贸易
mycophagist	食菌动物
medic	=medick苜蓿属植物
excusatory	道歉
audiphone	助听器
illumine	使明艳照人
mondrian	蒙德里安绘画风格
servitude	使用权
lallan	苏格兰低地
apl	APL语言
inviolate	未受侵犯的
stipple	画点画
homily	说教
financing	筹集资金
monotony	单调
learner	初学者
betwixt	不走极端
bop	波普
tearproof	撕不破
octocentenary	800周年纪念的
leprose	皮屑状
ahead	在前
hypothesis	假设
acrr	Race
extorsively	勒索
exclusively	排外地
sagittate	箭头形
subtle	稀薄的
petiole	柄部
awshucks	羞怯的
ephraim	以色列民族
faciocervical	面部与颈的
seen	see的过去分词
dogged	顽强
token	象征的
ternate	三个的
sapor	风味
tastemaker	创造时髦风尚的人
petard	爆竹
refutably	可反驳地
madid	潮湿的
linage	每页行数
unlike	不同
prodigal	浪费的
harmoniously	调和地
beltline	一贯作业生产系统
galvanization	通流电
ditch	沟渠
ailurophilia	爱猫癖
teat	奶头
extrovertive	偏向于外向的
mandatory	托管的
timepleaser	=timeserver
shift	变速
conception	观念
scullery	碗碟洗涤处
gladiate	剑状
consult	考虑
cauterant	烙铁
withe	用细枝条捆
joint	接合
lamona	白毛矮脚鸡
epistasis	上位
gamester	赌棍
minacity	威吓性
resolution	坚定
surnominal	别名
strained	矫饰
diseur	朗诵艺术家
lacerable	撕得碎
vaunting	吹嘘的
tendencious	立场倾向的
incontinent	无节制
testify	作证
rarotonga	拉罗汤加岛
quinine	奎宁
monohydroxy	一羟基的
hohum	令人生厌的
farmerly	像农人般的
riot	挥霍
implicit	不怀疑的
cannon	大炮
nii	Infrastructure
lockage	水闸的构筑
newsstand	杂志摊
beamingly	喜气地
goddamn	讨厌
ring	包围
sylvics	=silvics
rendezvous	在指定地点集合
semibarbaric	半野蛮的
disenthrall	释放
prostyle	前柱式构造
seismonastic	感震
outwalk	走得比……快
tripinnated	三回羽状的
tipsily	喝酒地
firstcomer	最先来者
meaningful	意味深长
table	桌子的
sinologue	汉学家
camisa	女用衬衫
defensive	防御
perimorph	包被矿物
reputable	著名
hematopoiesis	生血作用
deficit	不足额
inbeing	内在
otherwise	别的方式
generalist	多面手
stance	姿态
con	反面
unleavened	未经发酵
seclusive	隐退性的
despondency	失去勇气
popularization	普及
diphosgene	双光气
purchaseless	无紧缠力
fictile	陶土制
domo	功成名就转而追求悠闲生活的职业人士
nimble	敏捷
reliquary	遗物箱
separatory	使分离
omnidirectional	全方向
unexcited	不兴奋的
sedgeland	莎草地
earthpea	花生
sialidase	唾液酸酶
hackle	针排
tailing	嵌入墙中砖石突出部
similarity	类似
kamasutra	爱经
attention	关心
squash	镇压
maldivian	马尔代夫人的
quittance	解除
atremble	发抖
dagmar	达格玛
psittaceous	鹦鹉
apostleship	使徒之身份
contrastively	对比地
rascal	不诚实
federative	联邦的
munnion	=mullion
cachexia	恶病质
zontian	诚信社社员
catv	有线电视
nonprotein	不含蛋白质
mandy	=Mandrax
falafel	沙拉三明治
confesser	忏悔者
composition	成分
hexahydric	六元
incommensurable	不能比较
confounded	困惑的
reschedule	重新计划
unaverage	突出
velites	轻装步兵
depreciate	降低
tapette	搞同性性关系的男子
uninsured	未保险
uloid	瘢痕状的
lawny	细麻布的
refold	再摺起
anthropology	人类学
callus	愈合组织
ampoule	安瓿
vespertine	薄暮的
sick	病人
foursquare	正方形的
munition	供给军需品
jerk	急拉
weenie	细小的
cannonade	炮击
southdown	无角短毛羊
eristic	争论的
refractile	折射的
tripper	远足者
implacental	无胎盘的
magnesian	氧化镁的
tagraggery	乌合之众
disafforestation	砍伐森林
win95	美国微软公司的个人机用视窗95操作系统
striation	条纹状
rooster	公鸡
woefully	使人痛苦的
bumpety	砰地
consortion	结合
generosity	宽大
heptaglot	用七种语言写成的
cabriolet	蓬式汽车
monadnock	残留山丘
biserial	与双列有关的
useless	无效
befool	愚弄
binuclear	=binucleate
ballonet	气囊
chemosurgery	化学外科
pioneer	先驱
emulable	可仿效的
navigate	航行于
unsureness	不确定
nim	窃
luxurious	豪华的
