bestead	裨益
natsopa	and
reflectingly	反映地
wusih	见Wuxi
imperturbed	镇静
pare	剥
bramble	悬钩子
gillion	十亿
septuagenarian	七十岁
duplicity	狡猾
preconference	预备会议
adagissimo	很慢地
proteolytic	蛋白水解的
countermine	对抗计划
tendential	=tendentious
divisible	可分的
foldout	插页
reprocess	再加工
cartelize	组成企业联盟
inertially	借助地
scholarly	学者气质的
muffle	蒙住
qmc	Quartermaster
metapolitics	抽象政治学
telecommunication	电ion
recantation	改变论调
teemless	贫瘠的
contralateral	对侧
laboursome	费力的
umbilicate	有肚脐的
rappen	分
mortal	临终
thermomotor	热发动机
publican	酒馆老板
thermophil	喜温
understandable	可懂
haussa	=Hausa
garp	Research
typeface	打字机字体
fleshpots	寻欢作乐的场所
polonize	使成波兰风格
hemmer	缝边器
foresight	远见
mindon	心灵感应粒子
ece	for
pumpable	可用泵抽吸
passim	到处
saturniid	天蚕蛾
revolted	厌恶的
grist	尤指磨成粉用谷物
pallidly	苍白无血色
ivr	交互式语音响应
initiatress	女创始者
gloss	上光于
racer	比赛者
gassy	空话连篇
leprosarium	麻疯病院
latex	乳胶
scatty	疯狂
scutellum	角质鳞片
iaa	indoleacetic
unhallowed	不圣洁
viborg	=Vyborg
typhlosole	纵褶
muscly	=muscular
applique	贴花的
battlesome	好争吵
porket	乳猪
sedately	镇静地
foraminiferal	有孔虫目
latinic	拉丁国家
vassalage	家臣身份
puree	浓汤
hardcore	没有限制的
macroglobulin	巨球蛋白
heartache	悲叹
standing	直立的
autism	孤独症
kavass	武装警察
computistical	统计计算
duodenary	十二的
partner	合伙人
flitch	背叛
fungi	由真菌引起
continuous	持续的
corresponsive	反应的
polytheism	多神论
irreconcilable	矛盾
athermanous	不传幅射热的
homebred	不懂世故的
hideously	非常讨厌
carline	老太婆
besprent	撒满的
coloring	色彩
paracetaldehyde	=paraldehyde
bicornuate	双角的
unveil	揭开
jutty	码头
couchy	茅草丛生的
duodecimal	十二分之一
incontestably	无讨论余地地
hypophoneme	下音位
rearmament	重整军备
undermost	最低的
reciprocate	酬答
schizogonia	=schizogony
resolved	断然
directorial	指挥
unseparated	不分离
stead	替代
unhinge	使失常
somatotonic	体力旺盛性格的
ruthenious	二价钌的
bazaari	店主
trust	盼望
convect	使热空气对流
driveller	说傻话的人
reticulated	网状的
sop	面包片
remorseful	懊悔
tactless	不老练的
propagandize	宣传
onionskin	薄的半透明纸
lubricant	滑润剂
fretsaw	圆锯
huzza	欢呼等的声音
negligent	粗心大意
fungistat	抑真菌剂
toneme	调位
embroil	牵连
quicksandy	多流沙的
sewer	缝具
equivocator	说话支吾的人
cariocan	里约热内卢之居民
nidnod	使点着头打盹
dispread	向四方张开
microvillus	指状突
grantor	让渡人
diphtheritic	白喉的
slow	减速
protective	给予保护
reverently	虔诚地
wove	布纹
leprous	患麻疯病的
yucca	丝兰
slip	串行线路接口协议
coagulator	凝结器
bonnily	快活地
cryoelectronics	低温电子学
quilled	羽毛状
burnout	烧光
roi	Oil
guidance	指导
powerword	金山词霸
quadrivial	四高级学科的
dasher	猛冲者
stockpot	杂烩锅
amyloid	淀粉体
infrasonic	次声所产生
unido	Nations
sentimentalise	=sentimentalize
unspent	仍有效的
lecherous	淫荡
labourious	需要劳力
hoot	猫头鹰叫
toilworn	工作疲劳的
administrivia	摘要等的处理工作
bussbar	=bus
velveteen	棉绒衣服
cornelia	科妮莉亚
undereducated	受教育不足的
override	不考虑
fictitious	假想的
loo	厕所
brimfull	盈满
undeniable	不可否认
ubication	场所
process	进行
weather	天气
abolitionist	废奴主义者
christless	违反基督精神
foxed	变酸的
potherb	熟食叶用菜野菜
jellify	成凝胶状
umpire	任裁判
chorten	圣骨冢
smokable	可以点燃抽吸的
performance	执行
scrubby	树丛繁盛的
homolog	相同器官
nitrosyl	亚硝酰基
authorise	=authorize
antisudorific	止汗
affiliation	从属关系
vestibulospinal	前庭脊髓束的
able	能够的
one	一个
pictograph	象形文字
barbary	北非伊斯兰教地区
rann	to
left	左侧
indecency	下流
angioma	血管肿
riverward	向河地
wader	跋涉者
bia	Internet
transit	经过
female	女性的
garnishment	扣押债权的通知
out	出局的
rewind	重绕
eprom	可擦可编程只读存储器
matin	晨歌的
corsican	科西嘉方言的
genappe	烧毛毛纱
microsporogenesis	小孢子发生
effective	有效的
confounded	糊涂的
incendivity	可燃性
pentagram	五角星形
pity	怜悯
health	健康
wring	扭动
suboceanic	洋底
chlorometer	氯量计
contempt	轻蔑
succinctness	简洁
microammeter	微安计
stalactiform	钟乳石状的
pinealectomize	为……作松果体切除术
upbraidingly	谴责地
candent	白热
rejectamenta	废弃物
untillable	不能耕种的
intermontane	亦作intermont或intermountain
fsf	Free
teacherless	无师自通的
punic	没有信义
vitally	生死攸关
martlet	无足鸟
hallmark	特点
sartorial	裁缝的
rowdyish	粗野的
childproof	能防止孩童瞎摸弄
phenolic	石碳酸的
percentum	百分比
careful	仔细的
perform	表演
dispart	分开
hithermost	最靠近的
trigon	三角形
brenner	Pass勃伦纳山口
dreamer	梦想家
rbe	biological
toehold	排除障碍的方法
dogmatical	教理
obstetric	产科的
starting	开始
underground	面下
rishon	里肖恩
daze	眼花缭乱
planetesimal	星子组成的
exoelectron	外激电子
siphonet	蜜管
nagged	经常遭责怪的
clean	干净
fox	使变酸
unfurl	展示
shavuot	=Shabuoth
crases	crasis的复数
cavortings	轻浮行为
phonographic	留声机
cheddite	谢德
cheliform	螯状
irruption	急速增加
atman	生命的本源
cultrate	锋利且尖锐的
quadrate	长方形的
retirement	退却
conciliative	安慰的
austerity	节俭
tolerant	容忍的
activation	活化
slavophil	亲斯拉夫人
planigale	扁头袋鼠
bingle	安打
lade	装载舀出
concutient	受到震荡性撞击的
hurst	小林
fauvism	野兽派
coring	去除中心部份
tough	强壮的
puncturable	可穿刺的
punitive	惩罚性
outshoot	长出
smart	轻快
kiangsi	江西
clathrate	窗格形
notion	观念
newsvendor	书报摊贩
propellant	推进
scatterometer	散射仪
conspue	唾弃
infatuated	昏头昏脑的
physiotherapy	物理疗法
delir	发狂
odontornithic	齿鸟类
submissiveness	柔顺
unpaid	未付款的
antiallergenic	抗变应性
zipless	短暂而猛烈的
clericate	牧师的职位
culpable	该责备的
gym	体育馆
apostatize	变节
autocephalous	自治
monopolistic	专利的
sprocket	链轮齿
hematoblast	血胚细胞
uninjured	未蒙损失
placentology	胎盘学
apologetically	辩解
pentalogy	互相关联五部分的组合体
gauziness	似薄纱的状态
sentimentally	富情感
titular	有名无实的
toque	无边女帽
circumplanetary	围绕行星
typo	排字工
squally	天气愈变愈坏
available	可利用
instructor	教师
antique	古时的
chromophile	染性
ashy	苍白
clavicular	锁骨
bumptious	盲目自大的
distressing	悲伤
cemental	白垩质的
somersault	翻筋斗
bionic	利用仿生学的
abrupt	生硬
moderatism	温和主义
uneffectual	=ineffectual
fearful	吓人
veronal	巴比妥
distractible	易于分心
slavophil	崇拜斯拉夫等者
encampment	营地
rattail	没毛的马尾巴
msj	in
superfluid	超流体
arithmancy	数字算命法
invariable	不变量
cms	color
rhizomatous	下茎
microslide	显微镜载片
decillion	100万的10次乘方
frowsy	不整洁的
armature	牙齿
hieland	易上当
oviduct	输卵管
schnozzle	鼻子
crackajack	杰出
femininely	女人似
talus	踝
spadework	基本研究
unleavened	未受激发
approbate	认可
prelimit	事先限定
plane	平面的
poikilothermic	变温的
sir	阁下
weltpolitik	国际事务
antipathetic	格格不入
traumatic	外伤的
stylistic	体裁上
fixup	固定
cisrhenane	莱茵河西岸的
bill	清单
tell	吩咐
drossy	浮渣一样
hairy	多毛的
gnarl	生节
hypercorrect	纠正过头
discursively	东拉西扯
carob	长豆角
beloid	前窄后宽的
cryptography	密码使用法
fool	白痴
tripper	旅行者
palm	棕榈
lexic	=lexical
ratine	珠皮大衣呢
fukuoka	福冈
suzerain	庄主
corpus	尸体
hesitatingly	踌躇
apriorism	先验论
triform	以三种形式存在的
slender	微薄的
nabobess	女财主
walker	徒步者
chancellery	大臣
slan	loco
redemptive	用于补偿
cornball	似乡巴佬的
grassiness	绿色
primary	主要
uncreased	未弄皱
forbearing	忍耐
sgi	美国图形工作站生产厂商
ukaea	联合王国原子能管理局
forfex	剪刀
human	人类的
unput	未放置的
record	履历
dolerite	粗粒玄武岩
lark	玩乐
diagnose	诊断
paperbacked	纸面
bulbaceous	=bulbous
sessioneer	=session
ripsnort	喧闹地行进
dump	倾倒
knapsack	背包
arenicolous	生长在沙中的
omnicompetent	有全权的
draught	拉
seizor	扣押者
photoheliograph	太阳
downfall	衰败
soloistic	独唱的
marblehearted	铁石心肠
serfage	农奴地位
philomel	夜莺
themselves	他们亲自
mauley	拳头
unineme	单线的
ruckle	起绉褶
samel	半烧
tiffin	吃午饭
lubricative	有润滑作用
arachnoid	蛛网状的
ideaistic	观念的
sauroid	蜥鱼亚目的鱼
screwball	怪僻的
screwy	扭曲
renascent	复活的
potboy	酒馆的侍者
peroxyacetyl	硝酸过氧化乙酰
morellian	莫雷利批评法的
unef	Nations
semifinal	半决赛
factoried	工厂林立的
osprey	白色的羽毛
kyack	驮袋
proteiform	多型的
oakley	Oakley
gasiform	气体状的
occultism	神秘学
cornetto	小铜喇叭
outeat	吃得比……多
kitty	Kitty
angelic	天使的
simple	简易
rodent	啮齿目的
choreographic	舞蹈术
disputability	有讨论余地
start	惊动
trophy	战利品
achaean	希腊的
lionlike	狮子般
prostration	俯卧
physostigmine	毒扁豆碱
gestate	孕育
retch	恶心
longshoreman	港口工人
tafia	塔非亚酒
corporealize	使形体化
several	单独
subcrust	地壳下地层
musjid	=mosque
unforested	未造林的
worry	使苦恼
slimly	微弱
budding	少壮
totem	标识
quantize	使量子化
hematopoietic	生血
bucketeer	股票投机行的老板
sleepless	失眠
radiophonics	无线电发出的声音
silverless	无银的
physicky	药物似
tap	选择
garnett	扯松
scrambling	不规则性
yafo	=Jaffa
glamor	魔法
indivisible	除不尽
conformism	盲目因袭的态度
postscript	后记
trot	疾走
nonmonetary	非货币的
numerical	数字
afterdeck	后甲板
alkyl	烷基
vmtp	多用报文处理协议
undersurface	下面
generalization	广义性
stumble	绊倒
fagot	束
waveless	平静
static	静力
cunctation	迟缓
compellent	有强烈吸引力
grim	严酷的
north	在北方
expeditiousness	快速
contubernal	亲密的
persevere	坚持
npcf	全国控制污染基金会
perigynous	周位
undersleeve	内袖
requiem	安灵祢撒
verjuiced	酸的
autolithograph	直接苀I/
tribal	部落
scale	数值范围
tridimensional	`traIdI9menFl/
crisis	历史上的紧要关头
turning	旋转
transitoriness	短暂
uncarpeted	未铺地毯
musingly	冥想地
hera	Explosive
vesical	膀胱的
demented	失去本性
hormuz	霍尔木兹海峡
apposite	适当
parameter	参量
rhinovirus	鼻病毒
unpoetic	无想象力的
gppm	Graphics
orismology	术语学
material	具体的
coding	译码
bonhomie	敦厚
minor	未成年的
rough	粗略叙述的
traductor	邮包吊放装置
gasdynamic	气体动力激光器
commy	共产党员
debut	开张
birch	桦树
merogony	卵片发育
thrust	强行推进
teaspoonful	一茶匙的量
ukase	谕旨
skunk	臭鼬皮
demagog	群众领导者
hakeem	学者
ragger	新闻记者
doloroso	感伤
oblong	椭园形
tournament	锦标赛
excusal	原谅
