folkloric	如同民间传说的
trichocyst	丝胞
days	在白天
ceriferous	产蜡的
migrate	移植
ephemeralization	陈旧加速化
betray	露出……迹象
oxybenzene	羟苯
unscientific	非学术的
skywards	向着天空
diocesan	主教管区
sociologese	社会学家特有的写作风格
crosshatch	以交叉线作出阴影
steak	肉
aliunde	来自其他方面
president	总统
bubal	狷羚
russophobe	惧俄者
roseate	乐观
undeviating	不离正道的
transvalue	以新价值观重新评估
personal	人身的
mirable	令人惊叹
irrationally	无理性
niffy	散发恶臭的
raucously	沙哑
anesthetize	麻痹
undeclined	无字尾变化
semioviparous	半胎生
chimerism	嵌合现象
oracle	神使
syren	妖女
papalism	教皇制度
howbeit	然而
physicianship	医生的职位
odorless	无嗅的
grassplot	草地
glottalize	把声门化
love	性爱
curvature	曲率
outspend	花费超过……范围
rhesis	名句段
definitive	确定
via	通过
natatorial	游泳的
jumbuck	绵羊
rhesis	名句
astern	向船尾
jargon	行话
subdividable	可再分
allotee	接受分配物的人
beefwood	澳洲产红色坚硬木材
dalliance	调戏
kevazingo	一种非洲西部的树
hygienist	卫生学者
comminjute	使成碎末
superstrength	极大的力量
scape	柄节
manstopping	用以杀伤冲锋士兵
clavated	棍棒状
revictualment	再补给
fense	墙
quiesce	静默
quotha	确实!
eventual	万一
valsalva	manoeuvre瓦耳萨耳瓦氏手法
warranty	保证
draft	草拟
forbidden	禁止的
noblest	华丽的
malihini	在夏威夷的外乡人
twite	黄嘴朱顶雀
poppyseed	罂粟的种子
liquor	浸水
flap	拉下的边
monobus	单总线
shakeress	震颤派女教徒
pack	捆扎
verify	检验
fodgel	矮胖的
cashaw	长颈南瓜
debilitated	疲惫不堪
hideous	骇人听闻的
bibiolatrist	圣经崇拜者
ovular	卵子
preovulatory	排卵期前
atilt	挺着长矛
quotidian	日常的
unglove	脱下手套
persistent	持久稳固
engineer	火车司机
siren	响着警报器行驶
muscle	臂力
computative	推算的
unhealthy	对健康有害的
vulgarize	使通俗化
procural	获得
countercharge	反击
hydraulic	水压
chromophil	亲色性
retractor	牵引器
tearful	含泪
some	相当的
fold	折叠起来
ribosome	核糖体
surgent	汹涌的
heldentenor	英雄男高音
auc	condita(=in
ammocete	鳃鳗幼体
rugby	橄榄球
velaria	遮阳帐篷
responsible	有责任
orator	雄辩家
sequestered	幽静
hunt	搜索
pained	痛的
ultramodern	超现代化的
featly	优美
brimmer	满杯
detector	侦察器
righthearted	正直
cretaceous	白垩纪的
sericate	丝
hopefully	有希望
wolfish	贪婪的
spdos	金山汉字系统
acetaminophen	醋氨酚
isospondylous	等椎目的
share	共有
flock	群
tridimensional	立体
term	术语
carminite	砷铅铁矿
guidebook	旅行指南
bridle	缰绳
tannia	=tania
cephaloid	像头的
quagmiry	多泥泞
antihelix	对耳轮
reverential	可敬
chinatown	唐人街
cling	坚持
jaunty	洋洋得意的
dotty	精神不定
speciosity	徒有其表
penetralia	密事
indolent	懒惰的
inamorato	情人
poke	袋子
fuddled	醉的
companionably	友善
sabah	沙巴
vocable	词外壳
constate	确定
ephemerous	=ephemeral
reduction	变形
tatty	褴褛
chou	周
subhead	小标题
assumed	假定
grammarian	文法教师
cryptical	含义模糊
skinny	皮的
cussword	下流的话
rhinosporidiosis	鼻孢子虫病
matelot	水手
frenzied	狂热
coordinate	并列的
anteprandial	饭前
superincumbent	在上面
winter	冬
aquatone	用有感光胶的金属板做套色印刷的方法
wobbly	不稳定
translunary	似梦的
brahmanist	婆罗门教徒
coterie	伙伴
boring	令人厌烦的
florescence	开花
inaptly	不适当
gratuitous	无理由的
bosom	隐匿
dashy	时髦的
swank	打扮漂亮
pseudocode'	NULL)
hock	典当
akinete	藻类细胞附生的一种胞子与母细胞壁合为一体
dagger	用剑刺
ourology	=urology
distortion	扭曲
sandy	含沙的
batman	传令兵
manuscript	原稿
censorable	须受检查
virulent	有病毒的
insensate	没有感觉
pyrotechnic	烟火的
shift	改变
apocatastasis	复原
restoration	修补
ferocious	十分强烈的
sadhu	哲人
egged	煽动的
lunarite	月球上高地表面的
marrate	叙述
tripping	绊跌
nyse	Stock
damagingly	非常
woden	沃登
hempy	似麻的
madre	母亲
copeck	货币单位
hesitant	吞吞吐吐
gdi	Interface
triplicity	三个一组
last	持续
uncorrected	未订正的
inductor	圣职授与的人
echinodermatous	棘皮类的
karakalpak	卡拉卡尔帕克语
faddist	趋于时尚者
footrace	步行竞赛
rale	罗音
bigeneric	两属
defluent	向下流的
stargaze	凝视
telukbetung	直落勿洞
pageantry	华丽
irrepatriable	无法送还故国
zoogeographer	动物地理学家
compliable	屈从的
handicap	阻碍
consilience	符合
second	第二者
withershins	左向转动地
tgv	a
glycosylation	糖基化
divinity	神学
indication	暗示
abbreviationist	惯用缩写字的人
glycerate	甘油酸盐
froggish	蛙状
anechoic	消声
locofoco	摩擦火柴
signed	有正负之分的
homozygotic	纯质性的
aniseed	八角
infrared	红外线
jsp	Java
peristaltic	蠕动
stuporous	麻木的
rushlike	像灯心草
retardance	阻滞
unequal	不同
assimilative	同化力的
royal	高贵的
sputter	劈啪声
northwestwardly	西北的
cycler	骑自行车者
craniopagus	头颅连胎
realty	不动产
serrate	锯齿状
cannonry	连续炮击
delightedly	快乐
harshly	苛刻地
bluster	风狂吹
mediagenic	所喜闻乐见
middleweight	体重中等的
contrafactual	违反事实
twopenny	头
blastoid	海蕾
stale	变无味
misrepresent	说假话
noways	一点……也不
studious	慎重的
polluting	玷污
anticlimactic	虎头蛇尾的
gutty	生气勃勃
braise	蒸
breakup	衰弱
ligula	唇舌
inexpediency	不适当
exeat	短时离校的许可
mabe	Master
immunize	使成为无害
assamese	阿萨姆
flockbed	装有毛屑的床
aristotelean	思想偏重于实际之人
lymphatolysis	淋巴组织溶解
transurethral	经尿道
demonize	使成为魔鬼
diplophonia	复音
rhapsodical	狂想
sedentary	坐惯的
forecastleman	在前甲板值勤的水手
swiple	打禾棍
demented	失去本性的
tripping	流畅的
clearstarch	给上浆
invent	发明
outcrossing	异型杂交
byzantine	拜占庭人
coattail	燕尾
neutrophilic	嗜中性的
hybridoma	杂种瘤
perjured	犯伪证罪
gaggle	鹅群
stationer	文具店
reflector	反射体
sql	Language
brandreth	铁三脚架
moujik	农民
p	personnel
flocculous	像毛状物的
scca	Club
necropolis	大墓
practicum	实习课
brash	仓促的
surely	的确地
gastralgia	胃痛
execution	杀伤力
dimetric	四边形
perilous	危险
identic	完全相同的
recalcitrant	反对
esthetical	美术的
mercery	绸布业
piccalilli	辣泡菜
plimsolls	橡胶底帆布鞋
thimbu	廷布
event	竞赛
folly	讽刺剧
confutation	驳倒
verneuk	欺骗
teleostome	硬骨鱼
mirador	塔楼
landslip	地滑
glider	滑行
tatting	梭织
durable	持久
oxycalcium	由氧钙产生
stadia	stadium的复数
oos	无库存
dinkey	小型火车机车
kith	亲戚知己
waxen	似蜡的
liquor	酒精饮料
provencal	普罗旺斯人
unfleshly	精神的
pfda	and
impractical	不切实际的
mend	补丁
mesoblast	中胚层
lop	砍伐
horsefaced	似马脸
nubble	小瘤
assessor	辅佐人
elucidative	解释
terraneous	陆生
primitive	简单
frcp	皇家内科医师学会会员
euclidean	a
occlusive	闭塞的
convincingly	有说服力地
windchest	风箱
locksmithing	锁匠行业
overgraze	过度放牧
ashiver	发抖的
dwarf	矮子
fastness	巩固
triboluminescence	摩擦发光
ridgepole	栋梁
segar	=cigar
flavourful	有风趣
unassailed	未受袭击的
gpm	per
istria	伊斯的利亚
bigoted	固执
cyclery	自行车行
alienable	可让与
trachea	螺旋纹管
limberneck	肉毒棱菌中毒
eumycete	真菌
warship	军舰
uncomely	不清秀的
brooch	胸针
presentive	直接表示概念
furfural	糠醛
tpi	Institute城市规划学会
dorset	of多西特
solstitial	夏至的
disbench	使离座
overhead	高架的
social	群居
various	不同的
eidetically	仍在眼前
abstruse	深奥的
spoonbill	篦鹭
mdap	Assistance
favorable	起促进作用
prevaricator	说话搪塞的人
phlogistic	热素
plutonism	地壳火成说
transferrer	转送者
spongy	柔软
spcc	to
chimpanzee	黑猩猩
armourial	徽章
retractile	伸缩自如的
lithuria	尿酸尿
metrificate	=metricate
physiognomy	地势
musing	冥想
fissile	分裂性的
excuse	为……免去
blocky	斑驳的
borrowed	伪造的
parapeted	有栏杆
abiotic	非生物
beater	搅拌器
night	黑暗
lento	柔和的
indeterminate	不确的
capitular	牧师会
millionth	第一百万
hell	该死!
spokesman	发言人
deconvolve	展开……卷积
rosily	带玫瑰色
perfect	理想
peacock	孔雀
reticent	沉默寡言
arthrodia	滑动关节
tumescent	肿起
unco	陌生
scenic	舞台的
wmo	世界气象组织
repulsive	严拒
endoscopic	内窥镜的
uppermost	最主要的
deicide	害死耶稣的人
unversed	不精通
methotrexate	氨甲蝶呤
matchwood	碎片
uranous	含铀的
ethereality	灵妙
askance	斜
wold	无树木的山
overexertion	用力过分
dankish	潮湿
lapm	Modem
counsel	讨论
dour	阴沉的
bulldozer	推土机
glaucous	覆有白粉的
jehu	卤莽的司机
cleanser	擦亮粉
phenanthrene	菲
mach	一种UNIX操作系统
eurovision	欧洲电视网
deposition	免职
ambition	野心
grindstone	旋转研磨机
enfeoff	让渡
flump	砰的倒下
quinoidine	奎诺酊
supergalactic	超星系的
bto	一流人物
surety	保证
extrovertive	偏向于外向
whid	轻捷地走
eht	tension极高压
invidious	诽谤的
cyclothymia	循环性情感气质
predominate	统治
unclamp	松开……的夹钳
humanist	人道主义者
menstrual	每月的
chirpily	活泼地
visitatorial	巡察的
wishful	想望的
shoyu	酱油
illude	欺骗
file	锉刀
retrospection	回顾
groundless	无根据
fisk	国库
abiogenetic	偶发的
interfluve	河间地
them	它们
emarcid	凋谢
reid	里德
vocabulary	词汇量
irised	彩虹色
confounded	讨厌的
capsulary	蒴
agonisingly	烦恼
folkmoot	群众大会
trigonometer	三角测量者
strep	链锁状球菌
theatricalism	演出法
chimb	凸边
unflaggingly	不衰地
kebob	=kabob
vanessa	瓦内萨
anadiplosis	联珠法
erect	笔直
panmictic	随机交配群体的
caseidin	酪蛋白免疫素
backslash	反斜线符号
recalcitrant	顽抗的
incomprehensibility	费解
pantological	百科全论
flanerie	漫无目的
telltale	搬弄是非者
elegy	悲歌
styron	肉桂塑料
wrapping	包装用
supersedeas	停止控告的令状
contest	争夺
astable	不稳的
acquisitive	想获得的
gemara	中的注释篇
helminth	寄生虫
condonation	宽恕
indaba	野营聚会
bimbo	尤指浪荡好淫的女人
voodoo	一种图形加速芯片
ryurik	即
mutiny	造反
bunch	串
unmortise	使脱榫
prongy	叉状
infernally	恶魔似地
hoodwink	欺骗
vulgarism	粗俗
aleksandrovsk	亚历山德罗夫斯克
raja	首长
lumper	居间人
restoration	修复物
nick	刻痕于
babyhouse	婴儿玩具室
toddy	棕榈汁
spoondrift	浪涛飞沫
aggressive	侵略性的
withal	又
continental	大陆性的
higgle	讲价
aver	主张
humpy	多隆肉的一般的
effectiveness	效力
womanlike	女人似的
melancholic	忧郁的
otherwhere	在别处
excitatory	兴奋的
conformism	因循守旧
ecofreak	一味关注生态保护的怪人
sagittate	镞型
ulan	=uhlan
melancholious	=melancholic
tartrated	得自酒石的
reencounter	再相遇
squash	压扁
weeklong	持续一星期的
boo	嘘!
suppleness	柔软
cupriferous	含铜的
lienteric	滑肠的
malfeasant	贪官污吏
schistous	片岩质的
counterdeed	反对证书
ginny	有杜松子酒味
zoological	动物学的
degradation	降格
saleroom	销售额
tax	指控
aal	ATM适应层
puffy	一阵阵吹的
dithering	抖动
industrialism	产业主义
travelogue	旅行见闻讲演
ticking	被套料
russet	赤褐色的
wimple	泛细浪
roadster	流浪者
antimalarial	抗疟药
mesothelial	间皮
vodkatini	martini
paraquet	=parakeet
confidently	安心地
sainthood	圣徒的地位
farci	有馅
erratic	无确定路线
nielsbohrium	鈹
felonious	极恶
rule	水线
gallnut	没食子
gamb	腿
threadlike	线状
animalization	动物化
sirup	糖蜜
tarnishproof	不变色
supposition	想象
lacunose	多空隙的
recreant	懦夫
quinquepartite	由五部构成
derange	使错乱
sinapin	芥子酸胆碱
vibram	伐柏拉姆牌登山靴橡胶底
verus	确实的
lagoon	泻湖
explicatory	解说的
rhymist	诗人
plagiarist	剽窃者
mhr	of
heterosis	杂种优势
airbus	"空中客车"大型客机
pop	突然行动
animate	生气勃勃
rearward	后面
pester	使烦恼
vitriolic	刻薄的
hesvan	=Heshvan
chirpy	嚓嚓叫
jacobus	James
citrous	柑橘属植物
ruthenic	四价钌
mystical	奥秘的
baloney	大香肠
sickly	惨淡的
impedient	障碍的
mindon	精神信息粒子
rotc	Officers''
coarseness	粗劣的
kentledge	压舱用铁块
niedersachsen	=Lower
cinerary	骨灰的
unselfish	慷慨
spat	掌击
acceleration	加速度
wive	娶
glandular	起腺体功能
nonenzymatic	非酶
weatherwise	就天气来说
vase	花瓶
slideway	滑斜面
coparceny	=coparcenary
effective	被实施的
beakiron	砧
boldfaced	厚颜的
grisliness	严重的
dps	second
fhwa	Highway
indigoid	靛蓝类染料
poltfoot	=poltfooted
nenadkevite	硅钙铅铀矿
periodic	定期
lackluster	暗淡
manxwoman	马恩岛女人
polymorphous	多形态
dino	流浪汉
sheria	=sharia
cristate	有冠毛
republicanize	实行共和政体
ensanguined	血染的
mushroomy	蘑菇
stemma	家谱
madonna	圣母像
playgame	玩笑
oscular	嘴
recollected	沉思默想的
wfdy	World
mercuric	含水银的
meek	谦恭
calculus	微积分学
empathic	感情移入
personality	个性
whorfian	hypothesis
hexaemeron	创世之六日
mirable	极好的
macedonic	=Macedonian
vociferate	大叫
prorogate	=prorogue
parenthood	亲子关系
toothcomb	缜密调查
indecorously	无礼
olympian	奥林山神
do	Republic
sainted	德高的
dihybrid	双因子杂种的
dehort	劝阻
husk	削皮
aphetic	非重读字首之消失的
creviced	有裂缝
ballplayer	棒球手
biennialy	每二年一次地
sob	哭泣
inexpugnable	不能攻占
trithing	三行政区之一
protonate	使质子化
pedestrian	通俗的
preagricultural	人类开始从事农业前的
lookum	吊车棚
predicament	困境
playbox	个人玩具用品箱
resipiscence	认错
hearsay	传闻的
issueless	无子女
pretender	妄求者
democritean	德谟克利特
anastomose	汇合
remind	提醒
ustc	Tariff
ccitt	Telegraph
regretful	惋惜
spiel	演说
infinitely	无限
astriction	束缚
patient	忍耐的
thermalise	=thermalize
expiate	赎罪
ashake	摇动
apostate	变节者
cinnamene	苯乙烯
carnie	游乐场管理员
wisha	哦
tweeter	高音用扩音器
come	来临
jinrikisha	人力车
hydroid	水螅虫
excubitorium	值夜人的职位或岗位
petrifactive	石化性
typhogenic	引起斑疹伤寒
captive	被俘
elfin	小精灵
mirror	典范
cultivatable	可栽培
muster	一群
lymphangiitis	=lymphangitis
superincumbent	自上而下
aew	early
truer	确实
benthonic	海底
somnambulism	催眠梦游症
nbw	west
swank	炫耀
endopodite	内肢
chaff	戏弄
plug	塞子
hairtrigger	一触即发的
aridity	乏味
thesaurosis	贮积病
assaultable	可攻击
impresario	经理
quick	活人
anaphrodisiac	制欲
marking	作记号
wikiup	=wickiup
incog	微行
simonize	给……上蜡
fretted	附有弦马
beachhead	登陆场
semidomesticated	半驯养的
fleche	小尖塔
distant	远
goodwife	女子的敬称
working	劳动的
pussley	=purslane
outbound	开往外国
titrimetric	滴定的
paleocene	古新世
alienism	外侨身份
sloganeer	大量使用标语口号
ncaa	全国大学生体育协会
monteverdian	蒙特威尔地音乐
unco	没看惯
unforeseen	无法预料
neutrodyne	中和接收法
suburb	郊区
humidity	湿度沼泽中的肥沃高
white	白
bilection	=bolection
baloney	胡扯
iterant	复述
disvalue	轻视
electropolar	电极性的
czech	捷克人的
unskilful	笨拙
overawe	威慑
rejective	排斥
compensator	补偿者
vintage	制造年期
whither	目的地
insectival	昆虫的
uncustomed	无须付关税的
inky	给墨水弄污
unsightly	不悦目
quietistic	寂静主义的
antifreezing	防冻
truculence	好战
grandfatherly	祖父似的
lockeanism	洛克派哲学学说
furcation	分歧
adulate	谄媚
retarded	智力迟钝
plutocratic	财阀
wealthily	富有地
nunnery	女修道院
featured	作为号召物的
gemmiparous	发芽
tartarous	含酒石
parochiaid	政府给予教会学校的资助
mugginess	闷热
retort	反击
impavid	无惧的
frantically	疯狂似
aurantiaceous	橙黄色
variegate	使多样化
unselfish	慷慨的
cracow	=Krakow
regular	正规军
benthamic	功利主义
parallel	并联
appreciatory	欣赏力的
ridiculously	可笑地
overgrew	的过去式
keratometric	角膜弯度计
bromo	止头痛药
copenhagen	哥本哈根
slender	微弱的
gandhian	甘地的
internuclear	核间的
phonotactics	音位结构学
corruptly	可被收买的
febrifuge	解热药
otherworldliness	冥间
dogwatch	暮更
pout	大头鱼类
agadir	阿加迪尔
scorbutic	坏血病
aether	苍穹
ligulate	舌状的
befuddle	使迷糊
subdeaconry	职位
seismographic	地震仪的
cancroid	蟹状
comminjute	分割财产
younker	青年
deflocculant	悬浮剂
regress	回归
benison	祝福
radiograph	拍……的射线照片
interzonal	带间
humbly	谦恭
carbonaceous	碳
unphysiologic	不符合生理规律的
pungent	严厉的
nonunionist	不属于工会之工人
lawny	平坦并铺有草皮
eniac	ENIAC
rasp	刺耳声
animistic	万物有灵论
unartificial	非人工的
maxisingle	慢转唱片
capacious	广阔的
iaru	国际业余无线电爱好者联合会
protogenic	原生
mean	惭愧
rampant	蔓生的
unendowed	不具有
belibel	诽谤
costless	不须花钱的
inc	包括
metacode	元代码
glum	阴郁的
official	官方
angus	安格斯
warrant	许可证
baathist	叙利亚社会党的
drophead	活动帆布车顶
conceptive	有想象
verily	忠实地
quarterback	四分卫
attache	大使随员
design	花样
citic	中国国际信托投资公司
through	从开始到结束
aloof	避开
isostemony	同基数雄蕊式
entablature	支柱
fluke	锚爪
pilus	菌毛
dispope	罢黜教皇的职位
ocap	开放式线缆应用平台
privilege	特别待遇
doomful	充满厄运的
denunciatory	非难的
settleable	会沉淀
crock	坛子
crispen	变得鲜脆
elea	埃里亚
swansdown	用于做婴儿衣服的柔软的布料
preselective	预选式的
formalism	虚礼
fossa	沟
fernbrake	羊齿植物丛
microminiature	超小型
mum	菊花
heroicomical	戏谑性的
callous	硬结
pretreatment	预处理期间
correctly	正确
disorder	使紊乱
varangian	拜占庭皇帝的卫士
scherzando	诙谐地
botb	Board
pdsa	Animals
vasculitic	患血管炎的
invert	使颠倒
wanderer	流浪者
renunciative	脱离关系
trichogyne	受精丝
omniscience	全知
jehad	运动
amyloid	淀粉质
redeemable	可弥补
concentricity	集中性
maximum	最高
gastrulate	形成原肠胚
hubris	骄傲
cruces	要点
coat	层
tackle	捉住
persona	人
assuringly	确实地
redbone	美洲赤狗
dismally	阴暗
bowsprit	船首斜桅
salvage	营救
encephalograph	en9sefE`lC^rEfI/
shipshape	井然有序的
mediaperson	通讯员
flavourful	可口
atwitter	兴奋
typhomalarial	伤寒型疟疾
driveability	操纵灵活性
gerontomorphosis	特化进化
needful	需要
mace	权杖
gambly	碰运气
inapplicable	不适用
ciliary	纤毛
shakiness	不稳定
portamento	滑音
neoanthropic	新人
nulliparous	从未生育过者的
glume	颖
ivanovo	伊凡诺沃
flattery	恭维话
mongoloid	象蒙古人的
preteen	青春期前的孩子
pyelonephritis	肾盂肾炎
lynx	猞猁
collectively	全体地
wildfire	鬼火
scalewing	蝴蝶
sphacelous	患脱疽
estafette	骑马的信差
far	远
humdrum	单调的
hypersonic	远超过音速
band	队
bromate	使与溴化合
you	pro
unhinge	使分开
bantin	=banteng
nib	嘴
giddify	使头昏眼花
reship	再上船
informosome	信息体
spirit	热情
complement	补助
dimuon	双μ子
standfast	固执的态度
flanker	侧面部队
natural	普通的
sas	Special
zwickau	茨维考
moonstruck	多愁善感的
proboscidate	有长鼻
bespeak	预订
copperskin	美国印第安人
garment	外表
cretan	克利特岛的
gutter	开沟于
proverbially	如谚语所说的
syphilous	=syphilitic
baiza	派沙
postcranial	颅后的
ingestible	可摄取的
rational	合理的
ground	具有基础
linkswoman	女高尔夫球员
diagrammatic	图表
aiche	of
elspeth	埃尔斯佩思
steering	操纵
enuresis	遗尿
interdigitate	互相交叉
imperceptivity	无感觉
sewage	用污水灌溉
aerate	使暴露于空气中
grace	优美
nidamental	缠卵的
diphyodont	双套牙的
memberless	无会员的
escharotic	腐蚀剂
evocative	唤起的
unco	奇怪
saceur	Allied
silversides	银河鱼
consent	赞成
advance	预付款
integrated	综合的
fat	肥大的
hypocrinism	内分泌不足病
possession	领
antidiabetic	抗糖尿病
rolled	包金箔的
astatically	不稳定
apa	Agency
pomeranian	波美拉尼亚种小狗
subcontinent	次大陆
blastie	丑陋的矮人
quandong	檀香科树木
suit	适合
bullous	大疱的
demos	民众
hardcover	精装的
byre	牛栏
pleasure	愉快
trigynous	具三雌蕊的
appositeness	适切
yachtie	快艇主人
disconcertedly	不安地
impassioned	热情洋溢的
dispatcher	发报机
pacesetter	先导者
spiniform	似脊柱的
obstetrician	产科医师
palmitate	棕榈酸盐
aerial	生活在空气中
unbefitting	不合适的
dmd	Micromirror
enculturate	使适应某种文化
flourish	繁荣
besieged	使烦恼
shaddock	文旦
rdac	radioactinium
evolvement	进化
iotp	Internet
hutchie	临时帐篷
cmtc	Citizens''Military
archly	主要
airmark	在……做飞行指标
quatercentennial	400周年的
gluey	胶的
reinstate	恢复
actinomyces	放线菌
depot	航空站
cephalate	有头
ameristic	不分割
subform	从属形式
immobilism	墨守成规
quezon	奎松城
radicand	被开方数
stably	稳定地
oospore	合子
escapeproof	十分牢靠
butyral	丁缩醛
motorbicycle	两用车
respect	注意
feigned	假的
antidepressant	抗抑郁病药
rochdale	principles罗奇代尔合作社原则
sleeping	睡眠
irrefutable	不能反驳
vulturine	贪婪的
stationary	固定
torsional	扭力
unconventional	非传统
tee	T字形
heard	hear的过去式和过去分词
mammock	碎片
landtax	地租
adsorption	吸附
phlebothrombosis	静脉血栓
robustious	粗野的
recorder	宏录制器
conformably	一致
hump	隆起
hooter	汽笛
coon	黑人
sonarman	海军声纳兵
converge	聚合
vacancy	空虚
gilding	贴金箔
unslumbering	从不睡眠的
authority	典据
devilled	蘸了很多芥末的
panopticon	圆形监狱
seedy	破旧的
exoteric	外界
zygosporic	接合孢子的
metaphorical	隐喻性
machinator	策划者
mystagogical	传授秘诀的
carnally	世俗
devoid	缺乏的
cirrous	有触毛
humanity	仁慈
glossopharyngeal	舌咽神经
suppletory	=supplementary
slobber	淌口水
andromonoecious	雄花两性花同株的
illfare	逆境
patter	轻快脚步声
reign	占优势
sniffle	抽鼻子
exacerbation	激怒
inexactly	不正确
through	完全
generation	一代人
darner	缝补的人
josh	玩笑
homburg	洪堡软毡帽
vlcc	crude
wreckage	遭难
deserved	应
fillip	刺激
without	在外
polarimetric	偏振测定
recalcitrant	反抗
ariot	长得过于茂盛的:
preterlegal	不根据法律的
transpose	移项
unembroidered	朴素的
sprue	熔渣
sack	解雇
proof	校样
isohume	等水分线
micelle	胶囊
apostate	背教
unpriestly	不适于教士
newsroom	编辑部
fractographic	金属断面的显微镜观察
unmew	解放
reforge	再造
lavvy	盥洗室
tuesdays	每星期二
peppercorn	空有其名的地租
monosymptomatic	单症状
insatiable	不知足的
hexapartite	由六部分构成的
stane	=stone
mankind	男子
spirituelle	愉快
brassiness	低廉而华丽
noaa	Administration国家海洋和大气局
present	现在的
farmisht	混乱
lithographic	平版
wale	选择
blastema	原基
concuss	震动
cordiality	诚实
hickey	唇印
unclassifiable	不可分类的
epochal	新纪元
impenitent	不悔悟的
housebroken	管教好
unchurched	不属于任何教会
dragonesque	似龙的
mixotrophic	混合营养的
ellipsoidal	椭圆体
swingeing	极大的
kingship	君主政体
troposcatter	=tropospheric
ironclad	打不破的
debasement	改造
sierran	锯齿山脊区居民
aeolotropy	有方向性
deconvolution	去卷积
penetration	穿过
misdistribution	不当
quindecagon	十五角形
frcp	Royal
rummage	搜出
gyplure	树虫杀
finisher	润饰者
xenix	微软开发的用于PC机的UNIX操作系统
lynch	处以私刑
warrant	批准
