excusably	可宽恕地
nlaa	全国法律援助协会
daredeviltry	鲁莽大胆
gladness	喜悦
tenancy	租佃
isometric	等大的
reflectometry	反射计
rubberize	涂橡胶
bronchopulmonary	支气管肺的
expressible	可榨出
filmic	象电影的
spill	木片
stargazer	天文学家
bim	of
amerciable	应罚款
edificatory	教诲
wnp	Welsh
polymorphous	多形的
upland	高地
misaligned	未对准的
standing	直立
apheliotropism	背阳性
charnel	停尸房
exit	退场
mopoke	枭
audiovisual	视听教材
painsworthy	值得花力气的
incoming	引入
intimacy	亲密
clement	宽大
inositol	纤维糖
laze	偷懒
billionth	第十亿
streaky	有条纹
hexahydrothymol	六氢百里香酚
almond	杏仁壮物
faculty	全体教员
corruptly	可被收买
petty	不重要的
unholiness	不神圣
hexahedral	具有六面
nephogram	云图
and	及
threatening	胁迫的
monobloc	整体
foremost	最重要的
embranchment	支流
piranesi	即
hallstattian	铁器时代初期文化
waterhead	水源
connecter	连结者
tontru	南京市政府重点支持的信息产业龙头企业
nomenclatorial	命名的
unclos	of
amphibiotic	长大生活在陆
equicontinuous	同等连续的
clearing	空旷
shop	店铺
buccaneering	海盗的
impenetrability	不可测知
stiffly	僵硬
atomic	原子的
polyphonic	复调的
gastronomic	美食法
fruitlet	小水果
glandiferous	结坚果的
yelp	狗吠
gemmulation	生芽
filipin	菲律宾菌素
holmia	钬之氧化物
elliptoid	椭圆状的
ramate	分枝
confine	边界
downwash	因机翼所产生的下降气流
pruriently	好色地
pane	窗格玻璃
narcissistic	自我陶醉的
cullion	卑劣的人
hesitative	支吾其辞的
fantabulous	极出色的
beefy	健壮
esurient	贪婪
scurvily	粗鄙地
executive	实行
disoperative	阻碍的
preemployment	雇用前
salivous	唾液的
balsamroot	香根
scoundrelism	卑鄙
heterosexual	异性爱
undiluted	未搀水
subservience	有用
fervently	热诚
ectogenous	外生的
assumptive	假设
spirit	鼓舞
downcast	沮丧
spiccato	跳弓演奏
hedonistic	快乐论
dundrearies	颊旁长髯
hyperkeratotic	角化过
dr	博士
faltering	支吾
entophytic	内生植物
restfully	平安地
inosculation	结合
kemalist	基马尔式的
colluvial	塌积
strut	大摇大摆地走
goshen	歌珊地
vendeuse	女售货员
ikan	鱼
jiggered	等的委婉代用语
inebrious	喝醉
heterocharge	异号电荷
monotrichic	单鞭毛的
enduringly	永久
mainspring	主发条
customary	习惯
elevated	提高
processional	游行
fluctuant	波动
nccj	National
cryosorption	低温吸附
gneissic	有片麻岩石性质
copen	blue
theaceous	茶科
cordial	兴奋的
manipulation	操纵
phono	留声机
changeful	富于变化
corporate	共同
parc	Research
unsuitable	不适合的
glandulous	有腺
dressing	敷裹
dysteleologist	无目的论
chinois	漏勺
ovoid	卵形体
imbolden	使……壮胆
regal	适于帝王
flagging	石板路
evaluable	可估值
ligurian	意大利土语
spatchcock	插入
wormseed	土荆芥属植物
msls	Library
tannic	自鞣革
tentative	假设
hypophyge	=apophyge
ardor	激情
retour	回到原地
pseudo	冒充
ignimbrite	熔灰岩
diction	用语
zoolatrous	动物崇拜
posteriorly	后来
paly	苍白
peke	狮子狗
creak	吱吱作响
wobble	摇摆
supinely	掌心向上地
scotticise	=Scotticize
swarthily	黑黝黝
greenkeeper	高尔夫球场管理人
ministerial	部的
subtetanic	轻度抽搐
albuminoid	蛋白似的
montage	蒙太奇
freshness	精神饱满
auric	正金的
movable	活动的
corsetiere	女服胸衣商
fit	使合格
mischance	不幸
cameral	有关立法或司法机构之一院
recognition	赞誉
humorless	一本正经
desiccated	干的
indelible	去不掉
nemesia	龙面花
defibrillation	去心脏纤颤
woops	=vomit
dat	Tape
paramecin	草履虫素
druidical	督伊德教
crabbily	乖戾
shoring	支柱
vlbi	interferometry
excess	超额
albata	德国银
ferruginous	含铁的
packinghouse	屠宰加工厂
architectural	建筑学
panmixis	随机交配
superannuated	退休的
artificer	技术兵
lamebrain	呆子
narcissistic	自恋的
victrola	维克多牌唱机
semiglazed	具半光泽的
cinemactress	电影女演员
hardball	硬式棒球
citizenship	公民的职责和权力
cacique	酋长
crevasse	使有裂缝
lh	把驻留程序装入高端内存
pitiable	可怜
peasantize	使像庄稼人
csce	Conference
uncivil	不文明
expressions'	NULL)
retract	撤消
cottier	居小屋者
exclusivist	排他主义者
pigmentize	染色于
baae	Aeronautical
retractable	可收回的
shelly	有壳
akyab	阿恰布
unspiritual	非精神的
disunite	变得分离
bemused	困惑的
theropod	兽脚亚目食肉恐龙
testacean	贝壳类
wicked	淘气
mediocrity	平常
scoria	烧过的石头
exclusive	唯一
crinite	有发状尾
veil	假托
lateritization	=laterization
fake	假
courier	送快信的人
infrequency	很少发生
epidote	绿帘石
transporter	输送人
lessened	减弱
funny	有趣的
astonished	惊讶的
swellhead	夜郎自大者
comeliness	好看的
woodbind	忍冬属植物
filmable	可拍成电影
exonerate	免除
penitentiary	忏悔
dogginess	象狗
backbend	卖艺人身体向后仰作弓状的姿势
thermic	由于热造成
warn	警告
keester	手提皮箱
billfold	皮夹
headframe	井架
iffy	有问题
meteorolite	陨石
enunciative	发音清晰
proportionably	可使相称
unseconded	无人后援的
nymphaeum	水道口
flabbily	松弛
cosmopolitan	世界主义者
jodie	征兵不录
danewort	矮接骨木
maximum	最多
scurrilous	下流的
eaprom	电可改写可编程只读存储器
aggie	农校
interceptive	截断
retrofocus	反远距的
upside	上面
shufty	=shufti
desirable	合意的
satisfy	使满意
granddam	祖母
loud	喧吵的
spent	失去效能的
flex	电线
curial	元老院的
automatization	自动化
architectural	建筑上的
recuperative	有恢复力
yaf	Freedom
caressant	宠爱
orbit	盘旋
asean	East
exterritorial	治外法权的
fit	安装
ketol	酮醇
heteropterous	半翅的
abortively	流产
pathogenic	病原的
ufology	飞碟学
esteem	尊敬
sacculate	囊状的
brute	畜生般的
discommender	不赞成者
trimmer	整顿者
cestus	古罗马拳击者的手套
foliiform	叶形的
souse	盐汁
dryly	干燥地
periodic	定期的
covered	掩藏着的
uncomely	不恰当
unstrikable	不得罢工
aerophagia	吞气症
deerweed	菽豆科植物
bewitch	迷人
response	回答
linked	显示连环遗传
fitment	装修
cyclopic	独眼巨人的
compages	组合
photolyze	进行光分解
expend	把绕在杆上
californian	加州
tif	Tagged
unsympathizing	无同情心
quizee	=quizzee
leptodactyl	有细长脚趾
dense	浓厚的
reticulum	网状组织
nuclear	核的
lay	布置
indigoid	靛蓝类
running	连接的
flickering	忽隐忽现
troglodyte	类人猿
lithotomist	切石专家
erythrophyll	叶红质
upland	丘陵
gfr	German
leptophyllous	叶片狭长的
authorization	认可
downcast	向下看
galactosamine	软骨糖胺
ferrocyanogen	氰亚铁酸盐的四价基
vagabond	流氓
hydrothoracic	胸膜积水的
undiscerning	无辨别力的
canonically	照宗规地
forfeitable	可没收
runout	逃开
spermatophorous	精子包囊
airwave	电视
hydroxyketone	醇酚
characterless	缺乏特征
apriority	先验性
luxuriant	丰产
acta	美国载波通信联盟
altercate	争论
inauthentic	假的
vietnik	反越战分子
mid	中央
sanscrit	=Sanskrit
pentameter	有五音步的
mearns	The
ungalled	未擦痛
playscript	剧本
msphe	Master
quartziferous	含石英
iaea	Energy
crevasse	破口
jackeroo	当新手
mean	普通
midpoint	中点
smooch	接吻
sophisticate	老油条
stainer	色料
helvetia	赫尔维蒂
piezometric	压力计的
hamitic	哈姆
thankless	不讨好
impugnation	指摘
returnee	回国人员
phytogenous	=phytogenetic
kook	怪癖的
notate	以符号表示
traducian	=traducianist
challis	有印花之轻质毛料
paralyze	使瘫痪
negrophilism	亲近黑人
disappointing	令人失望
poppied	鸦片麻醉
wob	overboard
creaming	乳状物之沉淀或上层
adriatic	亚得里亚海沿岸居民
tapa	树皮布
bifurcate	分叉的
thoroughpaced	彻底的
pigfish	鸡鱼科的小鱼
madid	泪汪汪
bushelage	以蒲式耳计算的量
ingroup	派系
delusterant	去光剂
webwheel	盘式轮
unpitiful	不仁慈
vamp	勾引
incurrent	向内流
sudsy	肥皂一般的
fingerfish	海星
weatherly	能驶向上风的
knifepoint	刀尖
baguio	碧瑶
this	本
ppe	Ploitics
proctorial	训导长
oddish	有点怪的
spermic	种子的
unmerge	解散
balcony	楼厅
vestibule	前厅
uncalculating	不审慎的
outsparkle	比……闪耀得更亮
stealthy	掩人耳目的
impureness	污染
pluvian	多雨
festoon	花彩
forrader	更向前
pungent	刺激性
warp	变歪
cipolin	云母大理石
sprig	小枝状饰物
queerly	奇妙地
preemployment	录用前
slimly	微弱地
egomaniac	自大狂
catty	阴险的
crawler	爬行动物
readjust	重新调整
kirov	基洛夫(旧称维亚特卡
msdn	Network
cybernate	使电脑化
education	教育学
unpretending	质朴的
beetleheaded	笨
lankiness	过分细长的
invectively	非难地
dippy	昏头昏脑的
outspread	延伸
mobile	机动的
usurpatory	篡夺的
scream	尖叫声
incommunicability	不能传达
hitherward	向此处
flexuous	之字形
herniary	疝
invertible	颠倒的
nattiness	帅
successor	接任者
dignify	使尊荣
bullpout	=horned
celebration	庆祝
xenial	异花受粉的
sediment	沉淀物
astilbe	落新妇属植物
maximal	最大
spectrometer	分光计
lentic	生活于静水中
witchery	巫术
impromptu	即席的
peopleless	无人居住的
tramontane	野蛮
reglaze	再上釉
flintiness	燧石质
solvent	有偿付能力的
bait	折磨
confound	使混淆
inbuilt	嵌入
claustrophobic	导致幽闭恐怖症
despairingly	绝望地
donatory	捐赠领收人
unlash	放开
subastral	面上
commination	威吓
dissected	分割的
inobservantness	怠慢
starched	浆硬的
pale	用栅栏围
dvi	Visual
discolored	污染的
wingman	边锋
mistune	使走调
msie	Industrial
scoop	掘
prance	使腾跃
extension	延长
wfd	of
undoubled	展开
jerrycan	五加仑装之汽油罐
vertigo	晕头转向
wash	流过
visitatorial	访问
sociologise	=sociologize
plangorous	悲哀
tale	叙述
overhappy	过于快乐的
supernormal	异于寻常的
son	圣子
retinue	扈从
frye	boot弗赖伊皮靴
gftu	General
milliroentgen	毫伦琴
gynaecoid	似女性
deflocculation	抗絮凝
abandon	遗弃
cisc	computing
indirect	间接的
sinfully	罪孽深重
deed	契约
twine	麻线
unenvious	不妒忌
subtetanic	轻度强直的
ruefully	悲伤地
tumular	冢的
abirritation	镇痛作用
his	他
scratch	乱涂
lipless	无嘴的
illogic	缺乏逻辑
apprehension	拘捕
cardiac	贲门
permanent	持久
uncloak	揭露
artificial	假的
calenture	中暑
workaround	工作区
discuss	论述
summerhouse	凉亭
sinai	Peninsula
acetylide	乙炔化物
meccano	装配玩具
noser	强烈逆风
jobbernowl	笨蛋
bulbous	球根长成
squashy	易压碎的
aline	排列
shiny	有光泽的
convalesce	渐渐康复
educible	可引出的
unnumbered	数不清的
demonography	有关魔鬼的论述
stale	使变旧
triplicity	三个一幅
retractile	缩回的
nostradamus	语意含混的预言家
voyeur	窥淫狂病人
unsugared	不放糖
trimetallic	三金属
best	最
undp	Development
roric	带露水
unabiding	短暂的
caudle	酒汤
triphosphate	三磷酸盐
fsf	Foundation
mspe	Science
polite	客气
undisguisedly	公然地
rubensesque	具有鲁本斯绘画特征
finecomb	仔细搜索
mentality	心理
coordinative	同等
soundless	无声
spiracle	气门
setback	顿挫
produce	提出
versicolor	杂色
stoical	不以苦乐为意
lomentaceous	具节荚的
motorable	可行驶汽车的
upstand	竖柱
cytometry	血细胞计数
tinplate	镀锡铁皮
firry	冷杉木制
summons	召集
crisply	清楚地
hoofbound	兽蹄因病而感到疼痛紧缩的
geriatric	老人
relation	叙述
expellant	驱逐剂
superalloy	超耐热合金
ethnogeny	民族起源学
trainsick	晕火车的
unfinished	未染色的
chlorinous	氯的
wvf	Federation
steak	鱼
fructiferous	结果实
maniple	饰带
citron	圆佛手柑
cad	计算机辅助设计
pejoration	恶化
acaudal	无尾的
bayou	支流
rswc	side
roofed	屋顶
lipbrush	唇膏刷
accompanyist	伴奏者
epiandrosterone	表雄酮
backwards	向后
probationary	缓刑
mention	论及
blinding	使失去判断力的
course	流动
mina	古代希腊的金额单位
mankey	=manky
malcontent	不满者
intercooler	冷热气自动调节机
magic	魔术
lameness	残废
acetic	醋
yetorofu	=Etorofu
toon	红椿
antarctic	南极的
conspectus	大纲
vulgarization	卑俗化
insensibly	徐徐
elitist	优秀人材的
crusian	carp
vilyui	维柳伊河
delay	耽搁
leavisian	利维斯风格的
being	有
bullpen	候补队员区
foozle	笨拙的行为
exorcize	=exorcise
lineable	=linable
voluminous	卷数多的
utopian	乌托邦
lipidic	油脂
deurbanize	使失去都市特色
snafu	一时的混乱
sure	稳当
downhearted	闷闷不乐的
brackish	可厌的
hysterics	歇斯底里症的发作
rusty	迟钝的
vivific	使活跃
stammer	结巴着说出
falstaff	福斯塔夫
botheration	麻烦
ingenital	天生
astatki	重油燃料
scolding	责骂
plush	豪华
footle	傻事
miocene	中新统
implausible	不象真实的
vivarium	植物园
geocentrical	以地球为中心的
complimentary	称赞的
chew	认真考虑
coumarin	香豆素
aniconism	无偶像论
ribbed	有棱纹的
traffic	交易
federative	联邦性
monogamian	=monogamous
suffering	患病
rift	长狭谷
current	草写的
quadrilateral	四角地
implosive	闭塞
supplicatingly	恳求似地
degradation	降级
senora	太太
mhs	Handling
bastinado	打脚掌的刑罚
pronate	伏身
puffy	气喘吁吁的
bleak	凄凉的
riant	笑盈盈
coastel	水上营房
gangsa	甘瑟琴
anymore	再也不
unenvious	不吝惜
swale	放火烧
insusceptibly	不受影响
unshed	未吐露的
nutter	疯狂之人
presto	迅速
kuwaiti	科威特人的
cartage	货车运输
asturias	阿斯图里亚斯(曾是一王国
locknut	对开螺母
thrill	发抖
truant	逃避
gownsman	律师
thievish	有偷窃习惯的
phosgene	碳酰氯
trisomic	一套半染色体
naxian	纳克索斯岛人
investigative	好研究
reperusal	重新细读
jeremiah	耶利米
croatan	克洛坦族
shuddering	发抖
lunate	新月状的
abandon	狂热
aperiodic	非周期的
sulphurator	硫磺熏蒸器
constructive	建设性
mulligan	蔬菜烩肉
putty	用油灰接合
glacis	缓慢倾斜
grill	烧
yawey	雅司病
therapeutist	治疗学家
methimazole	甲巯基咪唑
kneesie	碰膝盖
unintelligible	难解的
uselessly	无用
upstairs	上楼
breathless	气喘吁吁的
mouldwarp	欧洲鼹鼠
photodisintegration	光致分裂
ragged	粗糙的
tribulate	使经受苦难
enumerably	可点数地
forficulate	形状像小剪刀
evita	埃维塔
set	移动到
vacuum	利用真空
underproduction	生产不足
skinhead	理平头的男人
subsection	小部分
sloop	单桅帆船
impetrate	祈求得到
adhere	坚持
apogamous	无配子生殖的
baculiform	杆状的
c	kEJ/care
antiblack	反黑人的
uricase	尿酸酶
programer	节目制作者
sizzle	咝咝声
uncommonly	很
putto	丘比特裸像
folkloric	民俗
batt	棉絮
unflawed	无缺点
bored	无趣的
delir	说胡话
pouch	把……装入袋中
abominable	讨厌的
luciferous	明确的
enfeoff	授予领
chevet	伸出的礼拜堂
stagecraft	编剧才能
chainless	无束缚的
limbless	无肢
intervene	插入
hiding	隐匿之所
orthoepy	正音学
concutient	受到震荡
immorally	品行不良
interjectional	叫声
hominoid	人科之动物
saturnian	土星
unwatered	已排水
spilehole	小气孔
tlo	total
saltatorial	跳跃
wearisome	使厌倦的
echo	反射
jejune	缺乏营养
widower	鳏夫
nestlike	窝似的
salwar	=shalwar
clone	无性系
inconsistent	不协调
comake	上签字
knickknack	小玩意儿
dampish	稍湿
typhonic	台风的
asyllabic	不成音节
venomous	狠毒的
extradite	引渡
spreathed	痛
cellularized	分裂为许多小室的
snaphaunce	燧发枪
determinatum	被定体
ruined	毁灭
shanachy	吟游歌手
washcloth	面巾
declivity	倾斜
hostage	抵押品
discouragement	挫折
anemone	海葵
chromize	对处理
nucleinase	核质酵素
preemphasis	预加重
baptismally	洗礼
ironing	熨平衣服
hamamatsu	滨松
turncock	供水栓
rediffusion	转播
amidship	在船中部
airproof	不通气的
coidentity	共同一致性
distal	末梢的
antagonistic	敌对
shortfall	不足
deathly	死一般的
unwarrantable	不允许
avventurina	缘其稀少难觅
contingency	意外事故
ras	王公
exultancy	狂喜
machinize	使像机器
larghetto	稍缓慢地
legroom	踏脚处
genuine	真实
awny	有芒的
zinky	含锌
weathervision	天气图像传递
skibob	连橇
fortnightly	隔周发行的
edacity	贪吃
ingenerate	内在的
laddish	稚气的
demonologically	鬼神学地
literate	学者
barge	用船运输
composedly	从容
oap	Pension
reuter	路透社
fly	飘扬
padrone	包工头
cycas	铁树
polyzonal	多圈的
queasy	不稳定的
heddle	综丝
sivaite	湿婆教派信徒
flier	快车
rapine	掠夺
balneology	浴疗学
matrimony	结婚
promote	提升
welsh	威尔士人
amuse	使发笑
citywide	全市性
upstate	北部
cranky	摇荡不稳的
marquesa	女侯爵
uncommunicative	拘礼
saponated	皂化的
uncivilly	无礼地
electrohorticulture	电气化园艺
frankpledge	十家连保制
oniomania	购买狂
earthborn	尘世
hulled	有船身
stenotype	使用普通文字的速记法
fibroelastic	纤维弹性组织
supertransuranic	超重
prescription	药方
edrophonium	氯化腾喜龙
alligatorfish	大西洋产的一种细长型的鱼
wordy	冗长
vain	徒然的
faint	衰弱
transonic	接近音速
overheat	变得过热
sexagesimal	六十进位
diabolic	残忍
recessive	逆行
entomological	昆虫学的
antiquer	古董收藏家
down	软毛
illative	推论
toplofty	自负的
arrant	声名狼藉
sussy	可疑的
avalanchologist	研究雪崩的专家
urge	迫切要求
sunshade	遮阳伞
charlatanry	骗子行为
ominous	不吉利
inexpedient	不适宜
dewy	露湿的
seat	所在地
federate	联邦制度下的
criminatory	使负罪的
surpass	胜过
lumberyard	木材堆置场
ahg	globulin抗血友病球蛋白
axilla	腋窝
delate	控告
sulcate	有槽
unscrupulous	肆无忌惮
luthern	=dormer
catchall	装零杂物品的容器
educe	使显出
slob	笨蛋
snoopy	爱管闲事的
lizzie	廉价的破旧汽车
limnological	湖泊学的
refreeze	再结冰
amused	好玩
patroclus	普特洛克勒斯
springhare	=springhaas
quizzery	试题集
headsquare	=headscarf
msgm	of
urolith	calculus
gasolier	=gaselier
sorehead	发牢骚的人
terabit	兆兆位
khalifate	哈里发的职位
touch	感动
unworthy	卑劣的家伙
unfathered	出处不明的
hydrometeorological	水l/
abdicant	逊位的
procurance	实现
triandrous	三雄蕊
destitute	困穷
waltz	华尔兹舞
msha	Hospital
histaminase	组织胺酵素
filipine	菲律宾
resorbent	再吸收
estate	状态
equilibrate	相称
optometrist	视力测定者
hydrostatical	静水力学
oversupply	过度供给
unexpiated	未补偿
universally	全体地
cancerophobia	恐癌症
gleam	瞬息的一现
reap	收割
diamantiferous	产钻石
without	要没有
arraignment	责难
nick	缺口
titanic	钛的
most	最
revalidation	重新生效
serenely	沉着
slobbery	过于伤感
suspensive	可疑的
homicidal	杀气腾腾的
cherubic	可爱的
president	行长
hoosegow	监狱拘留所
jingoish	侵略主义的
solstitial	冬至
hound	激励
ruling	统治
hardly	几乎不
acgb	of
oppressively	沉重地
statuesque	雕像般的
ichthyol	鱼油精
tangency	接触
affectionate	亲爱
chloridize	涂氯化银
aghast	吓呆的
conservatory	音乐学校
fasciated	扁化
suprathermal	超热
fixedness	稳固
meshy	网状的
sleight	手法
ryot	印度农夫
ocherous	含赭石的
kirlian	基尔良
show	指示
undiluted	未冲淡
anabranch	支流
afreet	恶魔
cheskey	捷克人之后裔
artifactitious	人工制品
unmeaningful	意义的
pearly	珍珠似的
discursively	推论地
alterability	可变更性
dic	Constraint
excrete	分泌
embracive	全部包围
towards	朝
eulogistical	颂词的
heirless	无继承人的
endoscopic	内窥镜检查的
matted	无光泽
crustily	粗鲁
rack	小步跑
gore	缝以补裆
nonflying	不能飞
catarrhal	鼻黏膜炎的
lingy	石南很多
dolores	德洛丽丝
goumier	参加北非士兵小分队的北非人
rehearsal	试演
hysteric	歇斯底里症之发作
subsaturated	不完全饱和
brooder	沉思者
slobber	口水
boorish	粗野的
vagabond	流浪的
unsc	安理会
ferocious	极度
running	不断
blossom	兴旺期
hierarchy	层次
blanch	遮断阳光
colourcast	彩色电视
value	值
deviltry	恶行
anticlockwise	逆时针
newfangled	新奇
awedness	表示敬畏
microporosity	微孔率
tlas	如WWW等
yesty	yesterday
unbodied	无实体
myeloblast	成髓细胞
octad	八价元素
aram	Associate
rumbustiously	喧嚣地
ceratin	=keratin
easel	黑板架
grizzled	头发斑白的
nonobjectivity	缺乏客观
inharmonious	不和睦的
cosmopolitanism	四海一家
numerate	数
divinize	偶像化
halidom	圣地
confucian	孔子的
desalinize	除去盐分
feuilleton	小品
plonko	饮酒过度的人
overdaring	鲁莽的
diapsid	双窝型
honoria	霍诺丽亚
archanthropine	灵长目动物
automatograph	自动记录器
miswrite	把……写得不当
slough	蜕皮
bumbailiff	执行官
deltoideus	=deltoid
acumination	尖头
wight	人类
unclimbable	爬不上去
pneumatolytic	气化的
shortgrass	短禾草
parametric	参量的
repulse	击退
oleo	人造黄油
microphonics	微音扩大学
slivovitz	梅子白兰
exculpatory	辩解的
cleanser	清洁剂
oust	剥夺
bullish	看涨的
foreland	前沿
revelation	揭示
dissolute	放荡的
unasked	未经要求
holocoder	全息编码器
monophysite	基督一性论者
predistortion	预矫正
atlantean	岛
ostium	口
principial	最初
pet	受宠爱的人
amaldar	代理商
rigor	严密
foreignism	外来语
dissolution	分解
doura	=durra
pussyfooter	观望者
holon	子整体
sophist	诡辩家
doltish	愚钝的
abstention	节制
nectar	甘露
confusedly	受困惑
daedalian	巧妙的
grandiloquent	夸大
designing	有计划
cilia	纤毛
indicative	指示的
prettiness	漂亮
ea	Electronics
power	激励
weak	疲软
undecipherable	=indecipherable
divine	非凡的
embezzle	盗用
impassably	无法通行地
bimillennial	两千年的
hemosiderosis	血铁质
keynesian	凯恩斯理论的
uninformative	不增进知识的
stormy	有暴风雨
dyspepsy	消化不良
land	使上岸
veterinary	兽医
unset	未凝固的
pesterous	纠缠不休的
henhearted	胆小的
fidgety	不沉着
uba	缅甸联邦航空公司
ligeance	领地
twinborn	双胞胎的
juristical	法理学
notionist	宗教观点偏激的人
betsy	的昵称
cocurricular	辅助课程的
unadvised	未曾受到劝告的
topocentric	以地面上的某点为中心的
breakup	完结
eld	古人
extramarital	私通的
rowen	一季中牧草之第二度收割
landeshauptmann	州长
conflicting	相冲突
lunisolar	日与月
preteen	青春期前的
carnassial	食肉的
aquiline	弯曲的
reserved	包租的
peak	使达到最高点
featheriness	轻吹
ahvaz	=Ahwaz
pater	父亲
verriculate	具毛簇的
coleopteran	鞘翅类之昆虫
twistification	的事物
jallopy	破旧汽车
parametrical	参量的
electricize	使带电
warty	似疣的
splat	椅背中间纵立的长条木板
upbuilt	upbuild的过去式及过去分词
fluey	有绒毛
velarity	软腭性
bushbeater	寻访人才或探求民情者
myriapodan	=myriapod
parody	拙劣的模仿
unhcr	for
austere	严峻
standstill	停顿
ejaculator	突然叫喊的人
inconformity	不适合
who	那……
gandhiite	甘地的信徒
culturati	文化人
gnathonic	谄媚
contrivance	发明
poignant	剧烈
sob	哭诉
polymnia	=Polyhymnia
masticatory	咀嚼剂
sublime	壮观
culpable	有罪
damnatory	该死的
idiotype	个体基因型
redivious	再现的
mesh	陷阱
owlish	面孔严肃
dart	镖
feces	粪
candid	无偏见
lipoprotein	脂蛋白
quick	生物
snowcreep	积雪徐动
bouquetin	羱羊
kitakyushu	北九州
wink	使眼色
fidelista	支持菲德尔·卡斯特罗者
decorticate	剥皮
deckle	手工制纸的毛边
ely	伊利
kimberlite	角砾云橄岩
forward	促进
threescore	六十岁
synchronous	同时的
totemic	图腾的
unconsolidated	松散
fibrous	含纤维的
rave	咆哮
littery	杂乱
unneighbourly	不睦邻的
grand	极重要
overreliance	过度信赖
precise	准确的
demandable	可请求的
foveolate	有小凹的
radiolarian	放射目
notchboard	梯级搁板
fencing	剑术
wire	铁丝网
mephistophelean	险恶而狡猾
fortalice	小堡垒
minish	缩小
willinghearted	十分情愿的
internuncial	联络的
underabundant	不够丰富
cardinal	红衣主教
euphemistical	婉转的
unenvious	不羡慕的
