bottine	半长靴
leisurable	悠闲
railroad	铁路
catbrier	猫藤
fluster	混乱
decidual	蜕膜的
allegiance	忠贞
pietistic	虔信派的
unbearable	无法忍受
beneficent	慈善的
true	忠实
waspish	如黄蜂的
pitch	坠落
enjail	软禁
tarry	等候
pessimal	最坏
gumptious	精力充沛的
pietism	假装虔诚
sabalo	=tarpon
bedstand	床头柜
intervocalic	出现在两个元音间的元音间的
mccarthyite	麦卡锡的追随者
final	最终
pertinence	相关性
finely	美好
slimming	使苗条的
tasteful	有鉴赏力
putschist	暴动者
paletot	一种男女通用的宽外套
flagelliform	细长而柔软
moneychanger	货币兑换商
gastroenteric	胃肠
zincotype	锌版画
inconducive	无益的
sql	结构化查询语言
unslumbering	一直警惕着
billposting	广告张贴
perceptible	感觉得到的
ramous	多枝
residue	滤渣
caduceus	MERCURY的手杖
argali	原羊
aurae	气氛
neoglacial	新冰川作用的
remittent	间歇性
anatomical	解剖的
prosecute	告发
suppurative	化脓性的
polyploid	多倍体的
deadstart	静启动
carping	吹毛求疵
proprieties	礼仪
lanceolated	枪尖形的
logged	劈成木材
thuck	嚓声
inoccupation	无职业
newspaperwoman	女记者等
renascent	复兴的
rankle	溃烂
crafty	狡诈的
separably	可区分
efate	埃法特岛
shaikh	族长
romany	吉普赛人之风俗习惯的
sequitur	推理
injured	受委屈
legislatorship	立法委员或议员的身份或地位
repose	建立于
gambol	欢跳
liberative	同意释放
instreaming	涌进的
britisher	英国人
folksy	有民间风味的
scheme	策划
tdn	digestible
buirdly	粗壮
likely	合适的
screwball	精神有点怪的
dilutive	冲减每股收益的
proletarian	无产阶级
fist	抓牢
delimit	定界限
recuperative	使恢复
sweepstakes	赌金独得赛马
bam	哄骗
signiory	=signory
santour	=santir
aneroid	无液气压计
pitch	前后颠簸
dislikable	可憎的
cottonpicking	剥棉籽乡亲联谊会
fraxinella	白藓
twu	of
jawboning	施工呼吁
diplophase	双倍期
scrappy	细小
rachet	=ratchet
dipsophobia	恐饮症
silence	静
extinguishable	可熄灭
epipteric	翼上骨
bungie	橡皮
dilettantish	半瓶醋似的
fan	吹拂
characterisation	=characterization
flexibility	挠性
graven	雕刻的
stolid	感觉迟钝的
hippolyta	希波吕忒
homework	家庭作业
paradise	天堂
equicontinuous	同等连续
stabling	马舍设备
circumambient	周围的
spectroscopy	波谱学
extraliterary	文学之外的
churchwoman	女教友
pontoon	架浮桥于
tercom	terrain
marl	泥灰土
medievalist	中古史学家
unseemly	不适宜的
breaker	断路器
scholarship	奖学金
bookshelves	书架
quemoy	见Jinmen
adlerian	阿德勒
sniffy	自命不凡
budo	日本武术
taal	塔尔语
bicker	流水声
semiretirement	半退休
catonian	加图式
hantu	恶鬼
valuable	颇有价值的
premise	提论
trinket	无关紧要的小事
cogent	使人首肯的
relocatee	迁至新址者
animating	启发
privilege	特免
length	长
jokingly	打趣
myxasthenia	黏液不足
thunderstroke	雷击
hollyhock	蜀葵
situs	位置
fossilize	搜集化石标本
antidromic	逆行
exaggerate	夸大
shady	多荫
heterotopy	异位移植
judgement	审判
atingle	兴奋的
his	他的
twisty	不直接说明
photophilous	嗜光的
materials	原料
macroinvertebrate	大型无脊椎动物
poker	烙制
cosmopolite	属于世界
filigree	饰有金银丝细工
short	简略
backlash	后座
transferrer	转录的人
impeller	叶轮
prizewinner	得奖人
spumescent	泡沫状
germanic	德国的
anelasticity	滞弹性
unyoke	卸除轭
attenuation	变细
baculine	棒
deuterostome	后口动物
deficient	不足的
this	这个
prelim	预备考试
philological	语言学的
ultramontane	山那边
constantan	一种铜与镍的合金
quassia	由苦木科植物采取的苦味液
espial	观察
lesion	身体上的伤害
nouny	具有名词性质的
stupe	热湿布
plenitudinous	充足
unaccustomed	不平常
aspherical	非球面的
miscreance	异教信仰
loose	不牢固的
gelsenkirchen	盖尔森基兴
honkers	喝醉
renomination	再提名
jady	如玉的
accessory	副
amatively	恋爱地
sanskrit	梵语的
thumbscrew	翼形螺钉
gossipist	=gossip
senhora	夫人
iis	Internet
suspend	延缓
nonlicet	不准许的
voluminously	很多地
gratefully	感激
virgilian	维吉尔的
objectively	客观地
sgml	Markup
pus	脓
landsturm	国民军
nitre	硝石
swimming	会游泳的
gandhiism	不使用暴力的抵抗主义
rite	惯例
renew	重申
villainous	恶毒的
infinitely	无穷地
waldensian	韦而多教派的
airflow	气流
quaere	询问
stale	变陈旧
alternant	交互
caneware	蔗黄陶器
beslave	奴役
prelexical	词前
zymosterol	酵母甾醇
scall	痂病
layoff	操作停止
anthophagous	以花为食
xylographic	木刻的
swang	swing的过去式
smearcase	cottage
perinea	perineum的复数
condolent	哀悼的
sheerlegs	起重机柱
sailing	航行
disorient	使失去方向感
chaff	谷壳
westy	=West
cuvierian	居维叶的
sheath	护套
invariance	不变性
semibasement	半地下室
dissimilation	异化
emptysis	吐血
biocidal	杀生
nanoid	矮小
optotype	试视力字体
nasty	肮脏的
silly	无助的
complaint	牢骚
hedgepig	反潜火箭
bloodshot	充血
infielder	内场手
avirulent	无致病力
smooth	平稳的
shebang	妓院
bluff	诈骗
denouement	结局
corrigibility	可订正
saccharogenesis	成糖
connexion	连结
unshed	未吐露
miniscule	草写小字的
adventuress	用不正当手段谋求名利的女人
heliotypography	珂罗版印刷
skyey	天空的
sedentary	久坐的
resultless	无结果的
aeneid	作的叙事诗
incapacious	狭小的
unmirthful	不高兴
smallwares	女人用化妆品
sterile	不结果的
coagulase	凝固酵素
doghouse	狗窝
bagger	垒打
feticidal	打胎
signorine	小姐
londonization	伦敦化
scopula	=scopa
cubby	小房间
haggadist	哈加达的作者
produce	制造
gemel	铰链
moneybag	财富
exilic	放逐
chinkapin	栗树的一种或其果实
foveolate	有小凹
golgotha	基督被钉死之
eleusinian	市的
sticky	粘性
extrachromosomal	染色体外
naturalization	移植
misinformant	误报者
etep	Trading
ccpit	Trade
premarketing	上市销售以前的
caliginous	昏暗
cruelly	残酷地
squarson	牧师兼地主
demotics	人与社会学
confirmatory	证实的
methinks	我以为
ovulatory	产卵
mats	军事空运局
mistaken	错误的
geez	注射
twistification	歪曲
intramural	校内的
unimpugned	未被指责的
alkahest	万能溶剂
roentgenolucent	X光可通过的
enophthalmus	眼球内陷
outpouring	倾泄
idealize	理想化
unquestioning	不问是非的
cachinnatoria	放声大笑的
coleopterous	甲虫类
wickedly	不愉快地
slavey	女佣人
canvass	拉选票
mikimoto	三木本
turkophil	亲土耳其者
drawbench	拔管机
bulkily	巨大
knocking	爆震音
membraniform	膜样的
spline	开键槽
slan	anno
spiroid	螺旋形
telegonus	忒勒戈诺斯
begun	begin的过去分词
diplomatic	老练的
pulse	脉冲
brutalist	野兽派
rupestrian	由石头构成的
redintegration	复原
african	非洲的
sagger	制烧箱的耐火黏土
choking	窒息
omniscient	上帝
thali	大浅盘
recuperative	使恢复的
mormon	摩门教徒
euronet	欧洲计算机网
navigate	航空
gynecium	=gynoecium
monogamous	一夫一妻的
illegitimation	认为非嫡出子
typification	典型化
hsaa	Health
arenicolous	生活在沙中的
telefilm	电视影片
obliterate	涂去
latria	专对天主的礼拜
platter	大浅盘
heaves	马慢性肺气肿
fatigueless	不知疲劳的
studiously	故意地
gastronomic	烹任学
reliant	依靠的
crepuscular	微光的
undistinguishable	难辨别的
maturity	完备
mill	被碾磨
courteously	有礼貌
attributive	归属
periventricular	室周的
encyc	encyclopedia
textured	手摸时有感觉
homebred	土产
informative	提供情报
rio	Reusable
gazetteer	公报记者
ring	环形物
impayable	无与伦比的
set	Electronics
ingurgitate	大吃大喝
podzolization	灰壤化作用
gramarye	魔术
tinnitus	耳鸣
whoop	喘息声
caitiff	卑劣的
daybed	坐卧两用长椅
kmt	Kuo
foreplane	粗刨
balkan	巴尔干半岛的
camphoraceous	樟脑特有的
catafalque	灵柩台
evzone	希腊精锐部队的步兵
sinicism	中国风格
sha	sidereal
numerical	用数表示
matchmark	装配标记
plebby	普通的
amsterdam	阿姆斯特丹
volcaniclastic	火山碎屑
triangularity	成三角形
nautical	航海
breathless	喘不过气来
glycosphingolipid	鞘糖脂
futilitarian	悲观主义
cytotropic	亲细胞的
mounted	安在马上的
unquestioning	不加疑问
vasospasm	血管痉挛
seedbed	发源地
unmeditated	未预谋的
moko	毛利人的文身制
upbeat	欢乐
foreplay	前戏
diligent	勤勉
diminishable	可缩减的
intercalary	被夹于中间的
toucan	犀鸟
bouquetiere	加蔬菜作配菜
dubitable	怀疑
losing	输的
puffball	马勃
cosmogeny	=cosmogony
multivibrator	多频振荡器
viseite	磷方沸石
usurper	篡夺者
nicish	精密
subtilin	枯草菌素
hippocampal	海马趾的
concussion	激动
endogamous	同族结婚
longeval	长命
semble	看来好象
affinal	姻亲
grubstake	食物物质的援助
manna	吗哪
intuitionism	直觉说
vitaceous	葡萄属植物的
fatigueless	不会疲劳的
uptrend	向上
algebraist	代数学家
asonia	音盲
leglen	牛奶桶
cathedra	主教的座位
distributivity	分配性
collect	由收件人付款
continuous	连续
cleistogamous	闭花受精的
pattern	以图案装饰
unwit	使丧失智能
uprising	升起
derogatory	贬损的
demon	魔鬼
fat	Allocation
jaculatory	投掷的
excitron	汞气整流管
surpassingly	超群地
subordination	次要
xeroform	干仿
shutter	关上
trinity	三个一组的
superradiant	超辐射的
threat	恐吓
crush	粉碎
kabul	喀布尔
fill	填充
cgh	of
enrollment	登记
lathing	覆以板条
assify	愚弄
chagigah	祭品
genetics	遗传学
northmost	最北部的
underwater	在水中
pomatum	=pomade
aubade	晨歌
bedclothes	床单被褥类
manganic	锰
emmarble	以大理石装饰
tuneable	能调出和声
heterofil	异质复合丝
subcutaneous	皮下
facilitation	助长
wakayama	和歌山
counterchange	使交错
thioalcohol	=thiol
fadedly	色彩已褪地
assorted	分类配全
rhopalic	楔形诗
enneastyle	前面有九柱的
evangelicalism	教义的信仰
laval	似熔岩般灼热
mummery	可笑的仪式
leavisian	利维斯式的
lunar	月的
super	十分
draggly	不整洁的
simple	无经验
callous	硬结的
extractable	可引出
dun	微暗
fingerprint	采指纹
tacitly	肃静地
retributive	报应
searchless	不可测知的
radioautogram	=autoradiograph
scumble	渐淡
compute	估计
plaintful	悲叹的
autoclave	高压锅
uncharming	缺少魅力的
unfeigned	真实
draughty	有隙缝风吹入的
vulcanic	硫化
unaccountably	不可解释
volatilizable	可发散
cicatrix	脱离痕
circumradius	外接圆半径
cocker	喜好或举办斗鸡的人
realizing	清晰生动地
korean	韩国语的
schizoid	精神分裂症的
putrescible	会腐烂的物质
xms	扩展内存规范
slapdab	正好
intransitivize	使成为不及物
primordia	primordium
inspectorate	巡视员等之总称
pleading	起诉
macronutrient	常量营养元素
vervain	马鞭草
distributive	分布的
stainless	纯洁的
zhdanov	日丹诺夫(1991年恢复使用旧称马里乌波尔
malaceous	苹果科的
baronial	与男爵有关的
halachist	哈拉卡权威
accumulation	堆积物
dragbar	斜井矿车防坠杆
pyrogenic	火成的
cote	窝
scrubby	多短硬毛的
cloud	阴沉
overdraft	透支
escarp	内壕
stick	棍
gum	齿龈
unaffected	未受影响的
favorite	喜爱
primrose	樱草色的
mite	力所能及的微小贡献
uncontested	没有人争的
neighbouring	毗邻的
tumour	肿瘤
pseudology	说谎术
identical	同样的
martyr	折磨
electroplating	电镀术
unintelligible	无法了解的
kiruna	基律纳
koan	以心传心
smart	懊恼
counterproductive	使达不到预期目标
voguey	流行的
scuttle	天窗
furious	极为激烈
tipsy	喝醉
face	正面
withdrawal	退隐
lot	命运
ablaze	激动
aborative	仔细的
caddoan	喀多语
castellan	寨主
cowherb	麦蓝菜
jsd	Doctor法学博士
resident	居住的
factually	确实地
product	乘积
divisional	分割
barrelage	桶装量
antidiuretic	抑制尿分泌的
nosh	点心
veiled	隐藏
neckpiece	皮围巾
sweetener	甜料
monoxide	一氧化物
mazdaism	拜火教信仰者
electrogenesis	产电
gastrea	=gastraea
temptation	诱惑物
murexide	红紫酸铵
fuel	燃料
indiscriminating	/
squatty	矮胖的
preelection	选举前
marengo	马伦戈式的
vitrophyre	玻斑岩
paillette	亮片
ventose	浮夸
instantial	实例的
aversion	厌恶
fertility	丰产
virus	恶毒
gummatous	梅毒瘤的
plateau	高地
xanthin	茜草黄质
concessional	让步
quadrisyllabic	四音节词的
lovable	惹人爱
alacritous	活泼的
bandstand	演奏台
gasdynamics	气体动力学
supercritical	超临界的
ingenerate	内在
unwholesome	不健康的
snugly	整洁地
nerd	卑微的人
suggestibility	被暗示性
withoutdoors	=outdoors
slimsy	脆弱
schizophreniform	分裂样
limitless	无限的
bmr	metabolic
francicize	使采用法语
charismatic	神赐能力的
whirlabout	团团转
hello	喂
reenaction	再扮演
towardly	有希望的
sha	=shah
aviate	飞行
moneyman	金融家
ballsy	有胆量
devilwood	木犀
onstage	台上演出
comusmacv	驻越美军司令
firmness	稳固
husbandage	船舶管理费
unmarried	单身
divisive	不和
themselves	它们亲自
sarcoidosis	类肉状瘤病
swapo	Southwest
roz	=rozzer
indelible	不能拭除
streaked	不安的
underfur	下层绒毛
titer	滴定量
canned	罐装的
exsiccate	使干燥
gee	向右转
dally	戏弄
imparticipable	不可分享
styliform	刺针状
thatchy	像茅草的
idea	想法
clouding	湿润
sad	忧愁的
dialytically	用渗析法
hazing	被欺侮
ip	Internet
loomage	织物
barbiturism	因过度使用巴比妥酸类药品而引起的慢性中毒
energise	=energize
corny	有鸡眼
mysid	糖虾
isocratic	权力平等主义的
cuttable	可缩减
prioress	小女修道院院长
kopek	苏联小铜板
sango	桑戈语
indaba	南非土人间的会议
unwakened	未被唤醒
technicality	专门性
warp	乖僻
parasang	古代波斯的距离单位
mpls	Switching
noncommunist	非共产主义者
amerciable	应罚款的
felicitous	快乐
ebn	north
uptodate	最新式的
dynameter	倍率计
cloudscape	云的风致
brash	碎片
sealift	海上补给
join	结合
level	瞄准
meterstick	米尺
dmd	牙科学博士
rivel	弄皱
plumbeous	铅的
unrepealed	仍有效的
legatee	遗产受赠人
sleet	冰雨
temporary	临时的
sestertia	sestertium的复数
macronutrient	大量营养素
connexion	联系
inobservantly	怠慢
pc	巡逻车
fairly	相当地
tortoiseshell	龟甲状的
kanu	Kenya
tediousness	沉闷
nonrepresentational	抽象的
souari	油桃木
skookum	强壮的
makable	可制造
deceleration	减速
atelectatic	肺膨胀不全的
piquant	辛辣的
dissaving	支出多于收入
imploringly	恳求
antimeric	体辐
tetrarch	小王
literaryism	过于推敲
modernistic	现代派的
flagitious	凶恶
dissociably	不调和
icccm	客户间通信约定
menservants	的复数
phenate	酚盐
declutch	放空档
squalidity	污秽
alvar	矮化植被
unneighbourly	不友善
rhinopharynx	鼻咽
europeanist	欧洲经济共同体第一主义的
take	拿走
henchman	党羽
ppt	per
preplacement	录用前
zygomorphic	两侧对称
chiba	千叶
publishable	可出版
howl	嚎哭
piccanin	黑人小孩
unvouched	未被证实
studded	镶嵌
babouche	平底拖鞋
ryazan	梁赞
whop	抽出
unwholesome	不健康
haven	港口
calculably	可预料地
clementine	克莱门氏小柑橘
plantation	种植园
mend	加快
azide	叠氮化物
preceding	在前的
astringently	压缩地
putrid	腐烂
zoological	动物学
fwpca	Pollution
negrillo	矮小的非洲黑人
thunderpeal	霹雳
rasping	锉磨声
flitch	裁成板
majoritarian	多数主义者
excuse	借口
gal	女孩
refluence	倒流
nonalcoholic	不含酒精的
neuter	中性的
antemeridiem	上午
hypostatization	使人格化
scar	结疤
apocopate	语尾音节删除的
heel	脚后跟
striolate	具细线条的
adas	Service农业发展与咨询服务处
giving	给予物
schvartze	黑人
scuttle	急速逃走
aetatis	在……岁时的
praxis	例题
pachinko	弹球盘
displease	冒犯
naw	不
perceptible	显而易见
entirely	完全
filmgoer	影迷
pongee	茧绸
garter	吊袜带吊住
ligurian	利古里亚人
halothane	三氟溴氯乙烷
pregenital	性前期的
mythologize	编神话
reform	重新组成
punctulated	有细孔
editorialist	主笔
cogency	肯切
swagger	大摇大摆
idolization	偶像化
suctorial	有吸附
philippians	腓力比书
tearaway	行为鲁莽的人
wellhead	水源
preconvention	大会前
gravelly	铺有碎石的
longhair	知识分子
degerm	消灭……的病菌
aeroallergen	气源性致敏原
oligotrophic	贫营养
tracery	花饰窗格
unexaminable	难以查讯的
broma	去油可可豆
appetite	爱好
cover	掩护
infallibility	绝对可靠性
neurogram	记忆痕迹
conceptive	概念上
hepatocele	肝膨出
mattins	晨祷
ringlet	小圈
emotion	情绪
motley	混杂
unambivalent	明确的
ozonic	含臭氧
knap	敲击
fortnightly	每两星期一次地
sicilia	=Sicily
sandpiper	矶鹞
ps	/
moronity	低能
sapan	=sappanwood
stainer	上釉工人
shiner	发光体
pettitoes	脚趾
str	reactor
unmoral	不道德的
fly	苍蝇
bucko	欺凌弱小者
bill	给……开帐单
ssr	苏维埃社会主义共和国
uncase	从箱子取出
stimy	阻挠
burthen	重荷
hierachical	僧侣统治
ethnohistoric	人种史学
releasor	放弃权利者
perchlorethylene	=perchloroethylene
kep	阻止
baroceptor	=baroreceptor
tinderbox	火绒箱
whammy	剧烈的打击
undulatory	波动的
premium	保险费
spermic	精子
sunlit	阳光照射的
lectionary	选文集
slaver	流涎弄脏
piagetian	皮亚杰关于儿童思维发育理论的
resolve	决定
cetacean	鲸的
airman	飞行员
pentomic	五群制原子师的
paralysis	瘫痪
quaint	离奇有趣的
information	报告
lax	松懈
dateline	日期栏
relaxative	缓和
