inappropriate	不相称
asio	Input/Output
trigonal	三角形
moot	无实际意义
pliocene	上新世的
hpna	家庭电话线组网联盟
bottine	女靴
mutiny	反抗
scenograph	透视图
happify	使高兴
westward	西方
humidistat	湿度调节器
inhomogenous	多相的
disinfection	消毒
cuttlebone	海螵蛸
ecophysiology	生态生理学
whither	去处
niftic	漂亮的
hcs	human
registered	已登记
unserviceable	不能胜任
juglandaceous	胡桃科属
arthrotropic	致关节疾病
hundredweight	重量单位
eradicative	消灭
slavery	奴隶制度
colonnaded	有列柱
villiform	绒毛状
acouphone	微音传达器
pitt	Street
sufferable	可忍耐
above	上述
cokuloris	调光板
through	经由
birchen	桦树的
confabulation	交谈
envoy	外交使节
imperfectible	不可能完美的
riot	暴乱
scope	余
holohedral	全对称晶形
embryulcia	牵胎法
kyoto	京都
battik	蜡染布
cia	中央情报局
elytra	翅基
sill	窗台
fluffhead	轻佻女子
phototypesetter	照相排版机
reflex	优角
adamite	裸体的人
irgb	Red
futtock	复肋材
record	录音
foretell	预言
poona	浦那
mnemotechnics	记忆术
roscoe	手枪
syllepsis	轭语法
event	事件
transit	运输
testa	介壳
lifeful	充满活力的
intraspinal	脊柱内的
unhasty	慢吞吞
dangerous	危险的
nevada	内华达州
amniocentesis	羊水诊断
obscurity	晦涩
hydrometeor	水汽现象
festive	欢乐
attitudinize	装腔作势
fallacious	靠不住
twinkling	闪亮
ledgy	有暗礁
rafferty	无组织
distressful	不幸的
electrotypist	电版术
zwinglian	茨温利
aaup	University
isapi	Server
faciolingual	面部与舌的
reascend	再上升
revictualment	再供粮食
prelude	序幕
loxodromic	斜航
lecherous	色情的
forehanded	对将来有预备的
paralegal	律师帮办
hendiadys	重名法
apolitically	不关心政治
handtailor	特制
pmkd	postmarked
logographer	编史家
unimpressionable	不易受影响的
early	及早的
mathematical	数学
directness	笔直
unwilled	无意
serious	认真的
threat	威胁
uricosuric	促尿酸尿的
bifilar	双股
kunzite	紫锂辉石
cardiogram	心电图
pure	纯洁
stem	干
touching	至于
retroussage	油墨移印
mediatrix	mediator的女性
honcho	上司
vicarial	教区牧师
crenated	圆锯齿状
skyport	直升机机场
loose	不精确
eradicator	根除的人
semidouble	半重瓣的
wcc	Churches世界基督教协进会
dilettantism	浅涉文艺
recessive	退行的
dialogist	问答者
transom	横梁
overentreat	以恳求把……争取到自己一边
pet	拥抱
flask	烧瓶
bureau	办公署
implausible	不象真实
voltmeter	伏特计
cerebrocentric	人格控制集中于脑
littlish	相当小的
whichever	pro
mym	myriametre
eschatological	来世论的
towmond	1年
cameralistic	财政或经济的
accusatival	宾语
contiguous	毗边的
strict	精确
jet	墨黑的
teleosaur	完龙
denunciate	谴责
screen	拍摄
aerometer	气体计
msee	Electrical
residential	住宅的
spuddy	矮胖的
jim	吉姆
crustless	没有外壳
hemocytoblast	血胚细胞
uninspected	未经检查的
stylistic	体裁上的
curvilinear	由曲线而成
merchantable	可买卖
caulomic	茎的结构的
arrant	彻头彻尾
shealing	=shieling
depositional	沉淀
dumpishness	愚笨
doubtfully	含糊地
upcast	向上
bessarabian	比萨拉比亚人的
putty	油灰
aha	啊哈
eliminant	结式
hide	皮革
porism	系论
noblest	高贵的
haifa	海法
hydrofracturing	水力压裂
rockfish	岩鱼
damoclean	危险临头的
proficiency	熟练程度
deuteranomalous	绿色弱的
canvass	劝诱
soulful	充满热情的
cowhearted	胆小
dastard	怯懦的
whoredom	卖淫
disk	磁碟片
triton	I/O控制芯片集
fenestrated	有孔的
avouchment	保证
weatherwise	至于天气
comfortlessly	孤单
assertative	=assertive
ratomorphic	根据实验鼠的行为来解释人的行为的
ylem	伊伦
antihemophilic	抗血友病
superradiance	超发光
exhibition	展览会
igneous	火
blacksnake	虎蛇
reliquary	圣骨匣
foxy	狡猾
waiwode	=voivode
inertion	无行动
arms	武器
sublimate	气质高贵
beefy	象牛肉的
positronium	电子偶素
beanball	投中打击者头部的球
cuetrack	轨
cycle	循环
otherwise	其他方面的
doghole	仅适于狗住的地方
aboriginal	原来
invective	恶言的
avian	鸟类的
shipwright	造船工人
hii	健康保险学会
tractate	论文
labyrinthine	迷宫
supergalaxy	超星系
waterlogging	涝
seedy	多种子的
nullify	无效
sernyl	苯环己哌啶
rundown	纲要
yardman	园丁
integrate	求……的积分
ukaea	Kingdom
inferior	下级的
valvar	=valvular
sublimate	升华
existentialist	存在主义
machinator	阴谋家
semiscientific	不十分科学化的
contemporaneous	同时代
woad	用靛蓝染
notarize	证明
antihelium	反氦
crocky	老朽
racquetball	手球式墙球
recitative	吟诵的
chowderhead	愚笨的人
mats	Service
picrotoxin	苦味毒
seat	使坐下
hebrew	希伯来人
fenestra	小孔
female	雌兽
mongrel	杂种的
andromonoecious	雄全同株
immission	注入
collaborative	协力完成的
highness	高度
radiophone	光线电话机
endowment	天资
metewand	尺度
checkstring	号铃索
doxastic	信念
convincible	可使信服的
lokal	酒吧
experience	体验
canonicate	牧师或僧侣之职位
crises	紧要关头
photoelectric	光电的
disintegrator	分解者
mesic	栖于湿
decohere	散屑
malversation	腐败行为
comfortlessness	不舒服
guilin	桂林
afghani	阿富汗
expanding	扩大
vertiginous	眼花的
dislikeful	讨厌
fiann	芬尼亚勇士团团员
fancy	想象力
norwards	往北
radiophony	利用辐射能发声的科学
goodwood	古德伍德公园附近举行的赛马会
affectionate	亲爱的
volksdeutscher	德侨
amboyna	黄柏木
sponge	海绵般吸收
heteropolar	有极
grandmotherly	祖母的
tejo	特茹河(源出西班牙东北部的塔霍河
guts	狼吞虎咽
devise	发明
zooming	快速上升的
palma	帕尔马
eruptive	疹的
rsd	of
unsheltered	无居所的
hyperoxemia	血酸性过强
appetizing	促进食欲的
revisionary	校订
interval	距离
gally	吓唬
detectaphone	窃听器
calendric	按日历
reducible	可还原
plagioclimax	偏途演替顶极
nostril	鼻孔
pacesetter	步调调整者
firedrake	火龙
traducianist	灵魂遗传论者
eel	油滑的人
headachy	头痛的
green	无经验
nodularity	结核状态
belock	锁住
softhearted	好心肠
reduplication	复本
cyke	弧形背景幕
hemodialyzer	人造肾脏
theology	神学
grounder	滚地球
clonus	抽筋
polysemous	多义的
afterburner	喷射引擎等的加力燃烧室
embedded	植入
brand	污辱
phanerogamic	显花植物
whoopee	狂欢
panegyrical	颂词的
fatbrained	脑筋迟钝
approbate	许可
faultfinding	找茬子
dishonorably	不名誉
signalize	使著名
cavernous	似巨穴
anamorphic	变形
mucin	粘液素
acidimetric	酸量滴定的
deianira	得伊阿尼拉
oversimplify	过分地单纯化
toilless	容易
rammish	象公羊的
dankly	潮湿
naval	海军的
wae	Enviroment
saceur	Europe
roentgenoparent	用X光可以看见的
null	空
primarily	根本上
inappreciative	不欣赏的
residue	剩余物
frontward	朝前地
grandeur	庄严
sapful	多树液
climber	登山者
snobbish	势利的
hyacinthine	风信子色
fast	绝食
krooman	克鲁人
resting	不动的
perspicuity	明白
collocable	可组合
fulminatory	爆鸣的
cut	切口
schizophrenese	精神分裂症性言语
attitudinal	态度的
quadrillion	千之五次方
welsher	骗人
illegitimacy	反常
theanthropic	具有神人两性的
kweilin	见Guilin
catalepsis	全身僵硬症
spur	距
valiantly	勇猛
prehnite	葡萄石
sanguine	满怀希望
pinstripe	细条纹
hairiness	多毛的性质或状态
semifarming	半养殖业
imprecise	不精确的
andantino	微急地
proleg	前脚
damageable	易损害
delate	弹劾
unenvious	不吝惜的
homeward	在归途上的
masher	调戏妇女者
subthreshold	不足以引起反应
fibula	腓骨
southerner	居住在南方的人
ln	行
unattended	未被注意
pending	未决
rubigo	过氧化铁
nawab	印度行政长官
crankish	暴躁
duplicated	复制出
somasteroid	体海星纲的
sophistic	诡辩的
bureaucratese	官腔十足的文体
ethinyl	=ethynyl
monobuoy	单点
rehearse	排演
baldness	枯燥
diriment	使无效
medical	医学
haemocytoblast	原
variedly	改变
rhodic	高价铑的
berme	崖径
circumambient	周围
unreported	未经报道
decampment	撤营
schizoid	精神分裂症
cyesis	怀孕
antiviral	抗滤过性病原体
hypermotility	运动过强
stoical	坚忍
decimal	小数的
restructure	调整
floating	不固定的
fls	Society林奈学会会员
snitch	偷
unsegregated	没有种族隔离
orthodontia	正牙学
hexachlorethane	=hexachloroethane
nocake	炒玉米粉
nitid	发光
isacoustic	与等声强有关
unco	不可思议的
unfeigned	真实的
wakeful	不能入睡的
diapsid	具双窝的
hoistway	起卸口
cycling	骑脚踏车兜风
unconspicuous	不明显
urologist	泌尿科医师
lay	打赌
amylobarbitone	戊巴比妥
listee	登记簿上列名者
rabbet	榫接
curmudgeonly	小气的
laputa	勒普泰岛
ferryboat	渡轮
depopulate	人口减少
gold	金制的
catching	有魅力的
vulturous	贪婪
lutrine	象水獭
despiteously	可恨地
available	接受探访的
gemmate	有芽
living	起作用的
idiochromatic	自色的
immediateness	直接
adhesive	粘合剂
during	在……的期间
denobilize	降为平民
unco	不知名的
xanthopsy	黄视症
unchain	解除
renown	名声
csma	Avoidance
cupric	二价铜
bloodless	不流血的
trash	无价值之物
vanishingly	难以察觉地
chortle	得意的高笑
servomechanism	自动控制装置
skookum	极好的
total	整个
bolt	上门闩
counterfort	扶垛
denasalize	使鼻音减低
inapplication	懒惰
harebrained	轻率的
blowpipe	吹风管
eighthly	第八地
stupefacient	麻醉药品
emprise	冒险
republican	有关共和
tubular	管状
russetish	略带红褐色的
friendliness	亲密
myosis	瞳孔缩小
stogie	笨重的长靴
tryst	约会
tautologist	反复用同义字的人
soigne	整齐的
defaecate	通便
narrowcast	用电缆电视播送
intomb	埋葬
reproachingly	非难似
urination	撒尿
geraniaceous	牻牛儿苗科
rideress	女骑者
scarce	缺乏
renominate	再任命
interfacial	面间的
subacute	亚急性
brogan	粗而坚固的短鞋
preprimer	学龄前儿童读物
sprinter	赛跑选手
ascending	上升
sodamide	amide
demophil	人民之友
chelation	螯合作用
level	级别
cyprian	淫荡的
antonymy	反义词组
retrochoir	的后部
ioc	Committee
finish	完成
boulevardier	经常逛林荫大道的人
nation	国家
uncreolized	未克里奥尔化
trigoneutic	一年三化
conceptive	有想象的
heterochthonous	不是土生的
snog	接吻
rsv	Revised
unthought	未加思考的
hurtling	疾驰的
nonpositive	负值
crackpot	想入非非的
tactually	触觉器官
cerdar	雪松类植物
incommensurable	不能比较的
competition	竞争
prominence	显著
abide	遵守
hardhat	需要戴安全帽
currejong	=kurrajong
ammon	阿蒙神
castiron	健康的
confessingly	像忏悔者一般
enticement	怂恿
hoarsely	嘶哑地
keratoid	角质
airy	轻快的
portion	一部分
vesicatory	发泡药
cinc	chief总司令
penumbra	半影
colza	菜子
brigand	土匪
diffused	扩散的
brazenly	厚脸皮地
dividend	股息
mean	有意义
fluid	可改变的
homonuclear	共核
pedes	pes
incongruent	不一致
rockies	洛矶山脉
dunce	傻瓜
peg	固定
pandora	潘多拉
fourfold	四倍
unvalued	未评价过
semiuncial	半恩锡尔字体
outcrop	露出地面的岩层
subjacent	在下级的
hummock	沼泽中的肥沃高
naughty	不听话
darkling	黑暗的
stolidly	迟钝地
trial	试验
lactonization	内酯化
pock	麻子
imbosom	怀抱
halloa	喂
roi	Royal
polyonymous	多名
coagulant	凝结剂
sphagnum	泥炭藓
inflictive	使人难过的
boomlet	略为繁荣
tantivy	狩猎时指示快追的喊声
prelicense	发放执照前
odic	颂歌的
slipsheet	插页
plant	工厂
eusocial	完全社会性
synch	=sync
ballistically	发射
vop	original
polypus	水螅
petrifactive	石化性的
backless	无背
pondweed	水池草
mopey	没精打采
ellis	埃利斯
encephalization	脑形成
quattuordecillion	一后有八十四个零之数
antifertility	避孕
drencher	倾盆大雨
whiteout	因暴露于恶劣环境而引起的临时性失明
pruina	粉霜
steep	沉浸
flagging	委顿的
commissariat	粮食
fiacre	小型出租马车
blindstory	暗楼
intrusive	打扰
www	World
moneyless	一文不名的
mock	模仿
hydrarthrosis	关节积水
taper	锥形
squirarchy	=squirearchy
excursion	离题
sunfish	翻车鱼
liver	居住者
theileriasis	泰勒尔梨浆虫病
lumbricoid	蛔虫
duckpins	鸭柱球中所用的短柱
intuitionism	直观论
petrosal	岩石般
notion	意见
lms	Mathematical
hieroglyphical	象形文字的文章
pernoctation	彻夜不眠
luster	光彩
illusory	幻影的
salination	盐化
incoagulable	无法凝结的
concur	同时发生
upperclassman	高年级学生
stuffless	单薄
basketballer	篮球
unexpected	想不到
exceptant	例外
love	爱情
anthropological	人类学上/人类学上的
hypolydian	副利第亚调的
picket	警戒哨
rampage	乱闹
homeliness	粗野
taps	熄灯号音
pasture	牧
dat	Digital
rampant	猛烈的
nymph	美丽的少女
atheistical	无神论的
matin	晨祷
provisory	有附文
tainture	污点
culmiferous	含有碳质页岩的
drugola	以毒品形式付给的贿赂
bioorganic	生物有机的
lacunose	凹陷
pyrethroid	合成除虫菊酯
aficionado	迷
hygrostat	测湿计
beerburst	bust
trench	掘沟
pronominal	代名词的
sheeplike	绵羊般
western	西
hierocratic	僧侣统治
belay	把绳索拴在系绳栓上
liberator	解放者
okay	好的
yore	昔时
pitchy	漆黑的
cythera	塞西拉
airborne	空气传播的
otorrhea	耳液溢
prestissimo	最快速度
bailiff	镇长
hump	弓起
enlightenment	教化
scenography	配景图法
panini	帕尼尼
waste	废弃
chanson	小调
jake	满意的
carburization	渗碳
particularity	特性
adi	acceptable
wristlock	扭曲对方手腕的一招
biceps	二头肌
acpi	Power
dragonish	凶暴的
stealing	有偷窃行为的
wandering	漫游的
pumice	用浮石去污
unwarrantable	不正当的
organic	组织
desired	渴望的
boutique	专卖流行衣服的小商店
lexigraphic	词素文字的
zoopaleontology	古代动物学
reflectional	反映的
donnish	象大学宿舍的学监一样的
nodular	小瘤
minicell	小细胞
dullish	昏暗
pasturage	放牧
glycocoll	氢氨乙酸
skill	巧妙
palaeoanthropic	古人的
caustic	刻薄
nae	决不
axinite	斧石
unexpired	未到期
foreboding	预兆
scorodite	臭葱石
undivided	专一的
arsenical	砷的
ecliptical	食
effectual	有效
guidelines	指导方针
weak	无力的
breaststroke	蛙式
monolatrist	单拜一神教教徒
snaky	弯弯曲曲的
terrorism	恐怖行动
philadelphia	费城
fuliginous	煤烟色
nonpathogenic	不致病
injured	受委屈的
thine	pro
autogenetic	自生
unbranded	无物主的
occlude	使锢囚
doughboy	步兵
clypeiform	有唇基的
conversus	教友
sclerotic	硬化
objurgatory	非难
fun	玩笑
photoscanner	光扫描器
fleckered	有污点的
windowsill	窗沿
crisply	易碎地
impavid	无畏的
slaky	多烂泥
sulfatize	=sulphatise
decemvirate	十大官之职位
hypoglycemic	血糖过低的
comedones	黑头粉刺
alluvium	冲积层
leiotrichous	有直发的
macromolecule	巨大分子
at	Austria
ideologize	作思想分析
ascot	宽领带
dissolutely	荒淫
aluminium	铝的
cancha	手球场
inoxidized	未经氧化
extinguish	压制
avariciously	贪财地
striped	有斑纹的
canape	夹鱼子或小鱼的烤面包
antemeridian	上午
surplice	白袈裟
longipennate	长羽的
spud	马铃薯
hartshorn	氨水溶液
ccco	for
gypsite	石膏土
grivet	黑长尾猴
prelexical	词前的
sinister	险恶
floodwall	防洪石堤
insymbol	内部符号
windbaggary	空谈
glossarial	词汇的
aphrodisiac	春药
stump	截去
lateroversion	侧倾
profitability	利益率
demanding	过分要求的
hateful	可恶
assuage	缓和
raid	Indepnedent
finlike	鳍状的
trame	=tram
nanoid	侏儒样
imaginabale	可想象
aciculate	粗面的
reconstituted	再造
lindesnes	林德斯内斯角
chaldaic	古巴比伦人
phycomycetous	藻菌
humify	使湿润
uneventful	平静无事的
sectionalism	地方主义
msdn	Developper
random	随意
televisionless	无电视机的
nerd	讨厌的人
temper	回火、锻炼
nitrometer	测氮管
validly	妥当
reformate	重整油
marshall	=marshal
silanize	使硅烷化
leapfrog	交替前进
crewmate	同船工作之船员
corticate	有树皮的
cocky	骄傲的
cote	栏
rhetorically	讲究修辞
dateline	日界线
unembellished	未修饰的
belief	信任
vulturine	秃鹰似的
appallingly	令人毛骨悚然地
retirement	撤退
fodgel	丰满健美的
uraemic	尿毒症
gearless	无齿轮
vigo	比戈
extendible	可伸长
grandiloquent	浮夸
dcmg	Dame
disclose	透露
souse	被浸透
gnarl	扭
brassy	象黄铜
arbour	凉亭
scribble	潦草写成的东西
airliner	客机
snubbingly	厉声制止
insensibility	不关心
sordid	肮脏
cosily	舒适地
steady	坚定
zealotic	热心者
majestic	宏伟
airlog	飞机计程器
honeymoon	蜜月
angel	完善可爱的人
frostbitten	生冻疮
crosswise	交叉地
baroque	巴洛克时期艺术和建筑风格
atremble	颤抖
blustering	狂风大作
bndd	Bureau
counterbalance	使平衡
record	记录
netfs	Television
safeblowing	炸开保险箱行窃的行为
waterishlogged	吸饱水的木材
stria	细沟
ultramicrochemistry	超微量化学
ankerite	铁白云石
hippic	马
threesome	三人一组
pentomic	五群制
