isocephalic	人像头部等高的
decamp	秘密而匆忙地移居
flavourful	美味的
antienergistic	逆能
paper	用纸包装
reject	不及格者
numbered	时日无多
bloodless	苍白的
nondescript	无特征的
antenuptial	结婚前
maryknoller	马利诺外方传教会的神父
s3	全球最大的图像、视像及多媒体加速器供应商
unreasoningly	无理智地
gunsmith	军械工人
shawn	肖恩
social	社会的
valet	衣物架
metatherian	后兽亚纲的
dingo	澳洲野狗
uvea	葡萄膜
brazen	黄铜制的
html	Markup
lmbc	Boat
table	制表
exploitative	剥削
ohioan	俄亥俄州的
heptaglot	用七种语言写成
dauntless	不屈不挠
semitic	闪族
aral	咸海
stochastics	推测学
numerous	许多
dominion	支配
costotomy	肋骨切开术
fool	游荡
urinette	女用长形小便池
fortyfold	四十倍的
abiogenetic	自然发生的
wilding	野生的苹果树
semismile	勉强的笑
frisbee	飞盘
eric	Resources
deficient	缺乏的
salic	撒利族
seize	抓住
rendition	翻译
sunfall	日落
wwf	Wrestling
microprocessor	微处理器
mnemosyne	摩涅莫辛涅
vibratiuncle	轻微震动
incent	激励
stall	停止
iocu	of
bathtub	澡盆
serbonian	大沼泽的
uric	尿
tracheotomy	气管切开术
indwelling	留置的
circumambient	围绕
semilanceolate	半矛尖状的
anthomania	酷爱花的人
extent	宽度
ammonia	氨水
reast	=reest
manoeuvre	演习
universal	普遍的
printery	印刷所
savoury	开胃
unmerciful	无情的
turning	转弯处
lorn	寂寞的
gwtw	With
impermanent	暂时的
unassuming	谦逊
rld	retail
homeward	在归途上
vouch	担保
bpd	day
bec	bachelor
habited	穿着法衣的
affectation	做作
bvm	Blessed
lowlihead	低下
preatomic	原子弹使用前的
partner	股东
manservant	仆役
prejudicious	有损害的
explain	解释
capnomancy	用烟占卜
dank	阴湿寒冷
cyclopaedic	百科辞典的
coring	地层中取出之圆形岩石样品
overfired	过烧的
uracil	尿嘧啶
rehearsal	排演
hypnopaedic	睡眠中教学
evergreen	常绿树
npr	Radio
clotho	克洛索
anenst	关于
membra	membrum
appendiceal	阑尾的
braky	多刺丛的
leukemoid	似白血病的
tiltmeter	测量地面倾斜度之仪器
cissy	有娘娘腔
tuatara	大蜥蜴
nostrum	秘方
haut	高级
henwife	养鸡妇
exclusively	专有地
irreproachable	无过失
calvarial	颅顶
extortionate	昂贵
force	精力
collegiate	学院
sennight	一星期
vagile	漫游
overstrength	人员超编的
thyrotropin	促甲状腺素
lapidarist	玉石雕刻
tog	给穿上
comate	有毛
consecrated	被视为神圣
hairdo	发型
imperceptive	无知觉能力
minsk	明斯克
lymphography	淋巴系造影术
vraisemblance	真实性
sulfuration	硫化
whipsaw	双重不利的事物
geotropism	向地性
uropod	腹足
farce	为加穿插
wired	以线加强
therein	在那里
bms	Marine
cyclazocine	环唑辛
conchiolin	贝壳硬朊
plexiglas	树脂玻璃
deplethoric	体液缺乏的
carzey	厕所
sociable	友善
jove	木星
quasimodo	=Low
dinosauric	恐龙般大的
anxiety	忧虑
mounting	登上
brawly	喧嚷
refloatation	打捞
tranquillizer	使镇定的人或物
angerly	愤怒地
norsteroid	去甲类固醇
suit	合适
angiotomy	血管切开术
feudalize	使封建化
arcadianism	牧歌般之情调
orb	围着
anthobian	以花为食的甲虫
vicinity	邻近
vivific	使生动的
altaic	阿尔泰语
monteverdian	蒙特威尔地音乐的
boltrope	帆边绳
architectonics	结构设计
antacid	中和酸性
starboard	右舷
stress	重压
font	圣水器
healable	可治好
dolichomorphic	部分肢体特别长
nutritional	营养
unstrikable	禁止罢工
stockily	矮而粗壮
execrate	憎恶
impar	不成对的
pursuable	可实行的
fertility	肥沃
basal	基本的
diastole	心脏舒张期
duke	手
cladogenesis	分枝进化
jd	法学博士
linguistry	语言知识
homophonic	齐唱的
fortifiable	可以弄巩固的
pellicular	薄皮
omniscience	上帝
buzkashi	马背叼羊
tenderness	亲切
hippish	有点忧郁
unoffended	不生气的
badmash	歹徒
gaslit	以煤气灯照明
cuttlebone	墨鱼骨
run	浇铸的
saltigrade	跳行型
smacking	活泼的
volumetric	测定体积
violence	暴行
expiree	前科犯
filibuster	阻饶议事
operatic	歌剧
fasciated	带化的
allusion	暗示
diacid	二酸
cleaver	切肉刀
skimming	所撇取的浮沫
talcous	滑石的
mellowness	芳醇
chorister	唱诗班歌手
nonstriker	陪跑员
irruptive	突入
declarative	公布
override	践踏
fortunebook	占卜的书
vasculitic	血管炎的
uscg	Coast
unscale	刮去的鳞
unedified	未被启发
costarica	哥斯达黎加
predispose	预先安排
frigging	受诅咒
resettlement	重新安置
nominate	命名
coenobitism	修道院之制度
barolo	巴罗洛葡萄酒
soviet	苏维埃
enstatite	顽辉石
statistical	统计的
infractor	破坏
dysteleology	无目的论
desiccant	去湿
coed	男女兼收
scoutcraft	侦察活动
lapidify	使变成石头
hadrosaurus	鸭嘴龙
compnserve'	NULL)
apostate	变节
do	解答
relievo	浮雕
sextuple	六倍
fjp	Philanthropies
smart	剧烈的
solubility	溶度
argillaceous	粘土
elint	电子侦察所得的情报
spontaneously	自然地
savvy	了解
complain	抱怨
impervious	不让进入
bassist	低音乐器的演奏者
unwearied	孜孜不倦
phonovision	=phonevision
uncatchable	无法捉住
murphy	马铃薯
asturian	阿斯图里亚斯文化的
sharpener	削刀
comprehension	包含
blackness	阴险
bushwa	空话
squalor	贫穷
paediatric	儿科
unwed	没有结婚的
polymolecular	几个分子厚度的
permissive	许可的
bond	结合
insider	会员
ectypal	复制
death	致死的原因
dithyrambic	狂热的
dissidence	政见不同
portacabin	=Portakabin
supremacy	地位最高的人
strumpet	妓女
cebu	宿务岛
unclarity	含糊
tyrannic	暴虐
pulpify	使化成纸浆
mrna	RNA
hemophilioid	类似血友病
fortuitous	幸运的
waste	消耗
auditoria	观众席
aforetime	早先
nailsick	因多次钉过后而不结实的
tutenag	一种白铜
katalyst	催化剂
multipotent	能产生多种效果的
compages	构造
sweepstakes	比赛
gametophyte	配偶体
unceremonious	随便的
dwarfish	矮小的
coppery	含铜的
apocynaceous	夹竹桃科
clubland	俱乐部区
emaciation	憔悴
incoherent	语无伦次的
venusian	太白星
amole	皂用植物
blacktailed	黑尾鹿
fancy	奇特
multifilament	复丝
osier	柳条做
promulgation	颁布
replacing	替代
anamnestic	记忆的
exhausted	耗尽的
unfadingly	不褪色
literatus	学者
revival	复兴
raptatorial	肉食性的
endosmosis	浸透
methoxyflurane	二氟二氯乙基甲醚
ruritanian	对王室持浪漫主义观念的
volume	册
unfoiled	未被征服
orifice	口
underserved	服务水平低下
rehear	复审
ambush	埋伏
sneeze	喷嚏
fast	牢固
flavorous	可口
lovelorn	失恋
soerabaja	=Surabaja
salability	出售
sphere	圈子
hexylic	己基
latterly	最近地
expressive	有表现力
sunkist	受阳光照射
mixer	混频器
strigous	被硬毛的
pyrostat	高温传感器
singular	非凡的
par	票面
delicate	灵敏
jank	闪避
rubicund	红润
timid	胆小的
nothingness	空白
retrovert	向后弯曲
astir	骚动
myofibril	肌原纤维
square	公平
calibration	刻度
velutinous	天鹅绒状
regular	经常
traceableness	可描绘
photofabrication	金属表面光刻法
ghostliness	影子似的
willow	柳木制品
vision	幻想
inertial	不活泼的
landlordly	地主的
copperworm	蛀船虫
significs	意义学
tritiated	用氚示踪
momental	力矩
bromidic	无聊
asana	瑜珈的任何一种姿势
faultfinder	挑剔
dayglow	白天气辉
doeth	do的第三人称单数现在式
dryad	森林女神
discrete	离散
hymeneal	婚姻
erotogenic	动欲
abalienate	让渡
used	用旧了的
rubblework	表面粗糙的石头建筑
needless	不需要
ganoid	珐琅质的
suburbia	郊区居民
delphian	意义不明确的
lax	松驰的
allocable	可拨出
mushily	玉米粥状
confirmand	请求受按手礼
crib	抄袭
various	各种各样的
psychoneurotic	神经病的
smileless	没有笑容的
hedonistic	快乐论的
fend	努力
tortuous	曲折的
zygospore	接合孢子
hawaiian	夏威夷语的
photogun	光电子枪
multicentric	发生于多中心的
delegitimation	权威丧失
giraffine	像长颈鹿
automatize	使自动化
repleviable	可发还的
graciously	优雅地
genoese	热那亚的
etep	Progrom
canadien	加拿大的法国移民
toeshoe	芭蕾舞鞋
dexamethasone	地塞米松
stillborn	生下来已死的
unfurl	展开
nanoid	侏儒样的
muscleless	无肌肉的
cyclonoscope	飓风中心测定仪
inconscient	无意识的
enterotoxemia	肠毒血病
cheery	愉快
flory	temperature弗洛里温度
gigmanity	市侩阶层
shelly	多壳的
photochrome	彩色照片
trichloronitromethane	=chloropicrin
windbaggary	夸夸其谈
seropositive	血清反应阳性
juju	符咒
thorium	钍
uptrend	趋势
fungoid	真菌样的
kenspeckle	显著
cocoa	可可粉
roadworthiness	车辆之性能
usefully	有效
flog	鞭策
tosh	废话
epsomite	泻利盐
noblest	华丽
leakiness	易漏
viking	北欧海盗
segetal	在谷类田间生长的
fruit	成果
scapula	肩胛骨
epicenter	震中
ranging	广泛搜索
trifurcate	三叉的
homeomorphous	同胚的
exobiology	外空生物学
diffidence	缺乏自信
remarkable	不平常
bey	州长
joviologist	木星学者
antimeric	体辐的
catholicness	普遍性
cgh	Cape
fend	保护
crossgrained	固执
batter	打坏
pothanger	吊杆
buccaneerish	海盗似
astringe	使收敛
felicitous	善于措词的
illegalize	使成为非法
cembalist	羽管键琴演奏者
jv	Varsity
raa	of
thitherward	向那边
vincible	容易征服的
unionize	成立工会
ferrule	金属箍
slatted	覆有板条的
arsphenamine	胂凡纳明
sap	使衰竭
dinar	第纳尔
orthodox	正统的
unclos	Conference
microlite	细晶体
infuse	注入
hypertensive	高血压患者
danseuse	女芭蕾舞演员
reblossom	重呈繁盛
carbachol	氯化氨甲酰胆碱
premaxillary	前颌骨
digitation	指状突起
arrestment	拘捕
insurgently	造反
saloniki	=Salonika
residue	残余
huh	哼!
compotator	会饮者
typothetae	印刷业同业协会
lifetime	终生
adrift	漂浮着
segregant	=segregate
gambol	耍闹
distance	遥远
asthmatic	哮喘
iliyria	伊利里亚
inebrious	喝醉的
rabid	狂暴的
hatefully	憎恨地
hielamon	树皮盾
dns	Domain
untorn	未撕开
plated	装甲的
umbral	阴暗
iconoduly	崇拜偶像
adversely	逆
sharkskin	鲨鱼皮
csce	欧洲安全和合作会议
nidamental	生卵膜的
tambov	坦波夫
inferior	自卑
untidy	不整齐
pam	帕姆
waltham	沃尔瑟姆福雷斯特
sphygmoscope	脉膊检视器
univalve	单壳软体动物
cdma2000	Access2000
counsel	忠告
bodacious	胆大包天
outback	在内地
archenteric	原肠之消化道的
laches	懈怠
gasometric	气体定量分析学
caesarism	专制政治
divulgate	=divulge
blender	搅拌机
chaffingly	嘲笑
uniparental	单亲
fuscescent	略带暗褐色
dyadic	二价
crankery	脾气古怪者的行为和想法
partook	partake的过去式
chubby	圆胖的
algorism	阿拉伯数字系统
sanguiferous	含血
fibre	须根
expostulatory	训诫
tweedy	爱穿粗花呢服装
tromba	小号
monadic	单细胞生物的
ephebeion	体操场
geopolitist	地缘政治学者
itching	贪
ekistics	城高及区域的规划学
hesitance	犹豫
radicalness	极端
virtue	德行
wrong	道德不好
lignitize	使变为褐煤
biostatics	生物静力学
oviform	卵形
supposed	假像
cosigner	连署保证
tuberculosis	肺结核
ridicule	嘲笑
put	击
featherless	无羽毛的
latvian	拉脱维亚人的
frothily	如泡
unwashed	没有洗的
poofy	搞同性恋的
specilize	专攻
tantalization	使干着急
unpeace	无和平
ultimacy	根本性
upright	合乎正道
ambulatory	回廊
maelstrom	大漩涡
geomantic	风水
larmor	拉莫尔旋进
os	Old
loutish	无礼的
harassed	疲倦的
curdle	凝固
demotics	社会学
craniectomy	部分颅骨切除术
sporangium	芽孢囊
unaccommodating	不随和
audiotyping	录音打字
kneebrush	膝上毛簇
lomentum	=loment
musky	麝香似
flibbertigibbet	不负责任
droit	权利的对象
godfather	当教父
mealymouthed	转弯抹角说的
caressing	爱抚的
dirge	挽歌
criminality	有罪
cocklebur	苍耳属植物
windward	上风面
dagger	匕首
intercurrent	并发
everyone	每个人
flab	松弛
obey	顺从
ease	灵活地移动
invertebrate	无脊椎动物
sabinian	萨比尼安
howl	嚎啕大哭
donkeyman	辅助发动机管理工
orbitale	眶最下点
disbandment	解散
confab	会议
hempy	爱恶作剧的
hwyl	雄辩
aftershaft	后羽
corporality	肉体的存在
tuum	你的
bimestrial	每两个月发生一次的
treadboard	踏板
graphy	书写单位
holothurian	海参
pochismo	夹杂英语词汇的西班牙语
offhand	随便
multicoloured	五彩缤纷的
leukaemia	白血病
discreetly	小心
beery	啤酒喝醉的
frightful	可怕的
feldspathic	由长石构成的
popular	受欢迎的
indebtedness	受恩惠
church	教堂
enterpriser	工商业投机家
continency	节制
founder	失败
it	Information
hih	His
while	时间
westralian	西澳大利亚人
audibility	可听到
narcose	昏迷
fasciae	招牌
spiritualization	精神化
haematologist	血液病学学者
faconne	细花纹织物
unchangeable	不变的
definite	一定的
cosmography	宇宙志
tibiotarsus	胫跗骨
picaroon	做海盗
inquisite	调查
row	排
amain	全速
pyemic	毒血症的
crossly	相反
spatula	压舌板
floatable	可浮起
pastiche	模仿画
putty	灰泥
fettle	情绪
shopworn	陈旧的
blusterous	夸大的
ms	Standard
rage	精神错乱
punic	古迦太基人的
enscroll	慎重记载
warden	区长
quinquereme	五段帆船
jitterbug	跳吉特巴舞
engrossment	正式缮写的文件
closet	储藏室
leary	空的
overcare	杞忧
imbibition	吸入
gently	轻轻
abustle	忙碌的
titicaca	的的喀喀湖
modulate	调整
reflect	反省
bicorporal	有两个身体
probusing	赞成用校车接送
airframe	机身
mammock	碎块
wry	扭歪
whole	未损伤
linguine	扁面条
pouched	袋形
hambone	扮黑人说黑人方言的杂耍演员
immaterialism	非物质论
penoche	=penuche
cutis	皮肤
tradition	惯例
blinking	闪光的
push	努力争取
unwary	易受骗的
redemptor	=redeemer
structureless	无结构的
whereabouts	所在
genevese	日内瓦
requite	报答
lrl	laboratory
blackhearted	心肠黑
convent	女修道院
cloxacillin	邻氯青霉素
cryptic	秘密的
cluster	丛生
tabid	衰弱
encephalograph	脑照相术
sexennial	每六年
stoke	大吃
gigmanity	庸夫俗子
synoptic	对观福音书
downright	显明的
ribgrass	长叶车前草
zeugma	轭式修饰法
covenanter	契约者
extractable	可拔出
mora	音节延长度
adgb	Defence
decauville	窄轨轻便铁路
grittiness	有砂砾
anectine	琥珀酰胆碱
cyanize	把……转化为氰化物
nymphet	放荡的少妇
malconduct	胡作非为
mend	修理部分
spermaduct	输精管
spirometer	肺活量计
deuteranopic	绿色盲的
crush	压服
shift	办法
manhattanize	使高楼密集
iaupe	Professors
shipfitter	轮船装配者
remigrant	再移居者
text	课文
unkindly	不近人情
availability	实用性
immotile	不能游动的
intercoastal	两岸间
nameless	难以形容的
swingeing	巨大
outboard	向舷外
handraulic	手动的
unheroic	胆怯
digitate	有指
muttonhead	傻瓜
strikingly	引人侧目地
ichthyophagist	以鱼为主食的人
bootmaker	制靴者
eyeable	可见的
combo	结合物
sniff	闻到
contributing	起作用的
underfund	对……提供资金不足
inquiry	调查
fryer	油炸
vdc	Defence
euthyroid	甲状腺机能正常的
aristocratic	贵族化
overstrain	使过度紧张
flowery	绚丽
unrelatable	不相关的
chingkang	Mountains
discutient	消散药
angiotomy	血管解剖术
electroencephalogram	IlektrEJlographic/I`lektlography/I`lektrn5sefElEJ^rAm/
indigestible	不吸收的
binary	二进位
cartilaginous	软骨的
moonlet	人工卫星
chiropractic	脊椎指压治疗法
hackle	乱砍
precipitate	使陷入
land	陆
defrayal	支付
grail	圣杯
epibiosis	附生生活
brainteaser	谜
tuberculoid	结核样
postrider	驿传者
tryst	幽会
scotch	镇压
nigrostriatal	黑质纹状体
furious	狂怒
conduplicate	折合状
gunyah	土人的小屋
dominical	主的
scaled	有鳞状斑点的
vote	投票决定
cerebrocentric	大脑中枢的
sec	秒
chirognomy	手相术
disadvantage	缺点
theory	学说
epipetalous	花瓣上着生的
gipsydom	流浪生涯
androphobia	憎恶男性病
undertake	承担
argillite	粘板岩
unkink	除去……的纠结
writhe	翻腾
tuitional	学费
pustule	脓疱
godliness	虔诚
lassock	少女
goosy	愚蠢的
spill	使流出
misspoken	念错
mellita	的复数
portal	入口
featly	整洁
pop	枪击
dud	哑弹
damageable	易损害的
cognominal	同姓
waver	踌躇
caster	投手
repulsive	排斥的
command	博得
macrocephalus	巨头人
indigenize	使本地化
ferry	来往行驶
tumultuate	使骚动
sublunary	月下
patronize	资助
trammel	拘束
idiotropic	内向
local	地方的
yankeefy	使美国化
lode	矿脉
justifier	辩解者
bipedal	两足动物
blastocele	分裂腔
skinny	皮
distribution	销售
digenetic	世代交替
acne	粉刺
electrostatic	静电的
toxicologically	毒理学
singlehanded	独力
expedite	派出
milestone	里程标
inducement	诱导
glaucous	覆有白粉
centrifugalize	使受离心作用
buy	购买
stymie	完全妨碍
baton	司令棒
vertebra	椎骨
stabilizer	安定装置
econometrics	经济计量学
heterotrophically	不是自养
throughother	混乱
supergranular	超米粒组织的
prehominid	猿人
townish	城镇的
paygrade	薪饷等级
voiced	浊音的
venturesomely	卤莽
mildew	霉病
cmtc	国民军事训练营
extraofficial	职务以外
flagellate	有鞭毛的
merry	愉快的
histological	组织学的
paraplegic	截瘫患者
academicism	形成主义
multipartite	分成多部份的
carnally	世俗地
ectomorphic	瘦型体质
potsdam	波茨坦
croquet	循环球戏
direct	指导
acidize	用酸处理
emergent	紧急的
serve	招待
final	决赛
outstrip	超过
literal	文字
epigeal	贴地生长
hempy	爱恶作剧
astroid	星状
piezometric	压力计
breadbox	面包箱
nonexportation	不可出口
theirself	pro
terrine	陶制盖碗食品
thermodynamic	使用热动力的
laborite	劳工党党员
congratulatory	祝贺的
bloop	将棒球打到内外野之间
phanerocrystalline	显晶质类
animatism	万物有灵论
brs	Services
inverse	反转
killfile	可以过滤UseNet消息的文件
slot	位置
waterloo	沃特卢
lebanese	黎巴嫩人
mambo	曼博
erigeron	飞蓬属植物
spectatoritis	观众病
frau	已婚的女性
minischool	小型学校
capriform	如山羊
lamentableners	拙劣
windup	装有发条
economy	系统
carry	意味
droppable	适于投下的
stalino	斯大林诺
abduce	使外转
ping	子弹飞过空中的声音
glaring	耀眼的
westernmost	极西的
grundyism	注重规矩
synesis	非成文造句法
regretful	遗憾的
cloudworld	云景
unrazored	未修剪过
liegeman	忠实的部下
far	很晚地
intrench	固守
dubious	可疑
tattler	说闲话的人
rewinder	倒带装置
arnold	阿诺德
histophysiological	lEdVI/
ponderance	重要性
zif	Force
rarity	稀有
pouch	钱袋
jock	运动员
semicolony	半殖民
yellowy	略带黄色的
vasoactive	影响血管
openmouthed	惊讶的
bestially	残忍地
balloonist	气球驾驶者
coda	完结部
our	pro
iea	Association国际教育协会
recultivate	再耕种
parthenopaeus	帕耳忒诺派俄斯
coppery	铜一样的
endogamous	同族结婚的
pledge	抵押
southwester	向西南
yeastlike	似酵母的
amdg	majorem
imagist	意象派
slowish	速度较慢
scenic	戏剧性的
obelisk	疑问记号
palpable	明显的
gravitino	引力微子
pertinent	相干
primitive	粗糙
gruesome	可憎的
indigently	贫乏地
autoplastic	自体移植
philanthropize	慈善地对待
antimeric	对称部分的
devilishly	过分地
ejaculatorium	排精室
balladmonger	劣等诗人
desponding	沮丧
dofunny	小附件
attainability	所及
hurt	刺痛
equivocal	意义不明确
coverley	Sir
influencing	影响
nulliparous	未产妇
diploma	证明权力、特权、荣誉等的证书
percentage	百分数
prolocutor	主持会议者
basion	底穴
recalcitrant	反抗的
aspiration	热望
impicture	以图表现
corpulent	肥胖的
feeling	触觉
bivariate	双变
germanious	含二价锗的
shapelessly	不成形地
screech	尖叫声
sneezy	有喷嚏
interpolation	篡改
when	在……的时候
softy	笨蛋
gambir	苍儿茶
beaufort	波弗特海
yielder	屈服者
scrumptious	极为愉快
voteable	=votable
bmta	British
teletype	用电传打字机拍发
trump	胜过
rcvs	皇家外科兽医协会
immensely	广大地
adgb	of
slider	滑雪者
soloistic	独奏
lethargic	昏睡的
provascular	原形成层的
pvc	聚氯乙烯
cornucopian	丰饶
equitable	公平的
helve	装柄于
skiogram	=skiagram
enolic	烯醇
scraggy	瘦弱的
lapse	丧失
complaining	抱怨的
caoutchouc	天然橡胶
countable	可计算
crowhop	蹦跳
short	弱
fnma	Federal
stop	终止
ashman	清道夫
azure	苍天
safener	安全剂
stereovision	立体视觉
strikebound	因罢工而歇业的
babywear	婴儿装
disintegrate	碎裂
reconcilably	不矛盾地
shapable	可成形的
progenitive	有生殖力的
retiree	歇业者
flibbertigibbet	轻浮
snowpack	积雪场
chalone	抑素
ergataner	类似工蚁的无翼雄蚁
prismy	棱柱
septennial	延续七年
eared	有耳
aortitis	主动脉炎
fascine	柴捆
misuse	虐待
disharmonious	不和谐的
polypragmatical	爱干涉的
bowel	内部
fauteuil	太师椅
livetrap	用生擒陷阱活捉
glasswort	厚岸草
wide	远离目标的
badian	=Barbadian
sup	吸
goluptious	香喷喷
glutton	酷爱……的人
astrocyte	星细胞
map	由LINK工具生成的一种文本文件
animalistic	兽性说
rootle	用鼻尖挖掘
jacksnipe	小鹬
measureless	不可量
unquestionable	毫无疑问的
circumforaneous	冒牌
beetling	突出
debilitate	使虚弱
intercut	使镜头交切
license	执照
refractile	折射
ddn	数字数据网络
resigned	顺从
specie	硬币
londony	有伦敦特色
entry	登录
javascript	Java描述语言
erect	盖
multiparty	多党的
setting	框架
inseminate	栽植
prelingual	有语言能力前的
grouch	发牢骚
majestical	庄严的
heartrending	令人心碎的
eudipleural	两部对应
insect	对付虫子
overassessment	估价过高
thuriferous	产乳香
sclerosing	硬化型
caseate	发生干酪样变
entice	诱使
plotz	变得激动万分
dobeying	洗衣服
tarnation	讨厌的
tornado	龙卷风
gbs	George
comtism	实证哲学
comforter	慰问者
fructify	富有成果
guilty	有罪的
language	术语
medicament	药剂
adiabatic	隔热
ruck	皱褶
paperweight	纸镇
paragenesis	:
affect	假装
nccj	Christians
forme	印版
grueling	严惩
schumpeterian	熊彼特的
agrobiologist	农业生物学家
kinetoscope	活动电影放映机
hustings	议员竞选演说坛
fenestral	如窗
gilolo	济罗罗岛
academicism	艺术院的作风
parleyvoo	法国人
trilithon	巨石牌坊
tankman	装甲兵
proselytism	改变信仰
corruptibly	易腐败地
abide	忍受
boleyn	Anne博林
orator	演讲者
middlescent	中年
salient	突出部分
tedder	翻晒者
humiliator	侮辱者
unmixed	纯粹
convergescence	聚合之倾向
contagion	歪风
chinoperl	Literature
unpropitious	恶运
adjacent	接近的
ackey	西非黄金海岸用银元
deutschland	德国
journalistic	新闻事业
trengganu	丁加奴州
incabloc	防震装置
aok	一切正常而顺当
democritean	德谟克利特哲学的
mwalimu	教师
fortepiano	钢琴
remanent	残余
final	决定性的
achaean	亚该亚
treblinka	特雷布林卡
enormously	非常
mondial	全世界范围
meretricious	俗气
hemagglutination	/
poppycock	废话
lamellose	包含薄片层的
tinker	修补
bva	British
unstiffen	使变得柔软
stypticity	止血
linkup	会合
centric	中心的
sidetrack	转移目标
duskily	微黑地
potatory	耽于饮酒
perfectible	可使完美的
nitty	笨的
captive	被迷住
bundesrath	旧德意志之联邦议会
nauch	=nautch
vermes	vermis
micritic	微晶灰岩含量高
adiathermancy	绝热性
traprock	=trap
thin	薄的
coachwhip	马鞭
hymenotomy	膜切开术
saturate	使充满
impenitent	不悔悟的人
interoceanic	大洋间
vaccine	牛痘的
bacchic	醉
feebleminded	低能的
roumanian	罗马尼亚人
olg	Low
chip	碎裂
overset	打翻
overstability	极大的稳定性
humbleness	卑贱
ectopia	异位:
valuable	有价值
optometer	视力检定装置
epigonus	=epigone
verminate	孳生寄生虫
unforgiving	不可宽恕的
chide	斥责
capitoline	Jupiter神殿
pneumogastric	迷走神经的
endosymbiosis	内共生
irrigate	修水利
daughterly	女儿似
feel	摸索
hoodoo	不祥的人
balmy	温和的
irrigator	灌溉车
calced	穿鞋的
dioptometer	眼折光力计
astonied	大吃一惊
lhd	Litterarum
inessive	指示位置的
mythologize	讲神话
unsoiled	未弄脏的
acetin	醋精
undated	无限期
serpentinous	蛇纹石
struggle	尽力使得
humanisation	=humanization
bim	英国管理学会
patriarch	族长
cosupervision	共同监督
lak	腊克语
withershins	左向转动
hottest	热
overfeeding	过量食物
underprop	支撑
unregretted	无人对之表示悔恨的
glimmer	闪烁
godet	用以显示褶纹
vulturous	兀鹰
rabbi	法师
rsc	Shakespeare
carnal	肉体的
apochromatic	高度消色的
unfermented	没有发过酵的
unequal	不平等
footslogger	长途步行者
symbolistic	象征主义
civil	公民
caulicolous	附生在他种植物茎部
epicurean	享乐主义
floating	流动
regret	哀悼
putresce	开始腐烂
unwisdom	愚昧
cycloheximide	放线酮
answer	抗辩
japonic	日语
audacious	大胆创新的
hemimetabolous	不完全变态中
chemotherapeutant	化学治疗剂
blundering	易犯错
maulvi	s)
monohull	单体船
recliner	斜躺者
constrained	被强迫的
used	旧的
tropocollagen	原胶原
zooxanthella	虫黄藻
remoteness	远离
vomitus	呕吐
diathermanous	透热
