spew	喷涌
semiglazed	略上釉的
spoony	轻佻的情人
foreran	forerun的过去式
distrainee	财物被扣押者
multibarrel	多管的
godlike	庄严的
said	say的过去式和过去分词
bitterish	带苦味的
supercurrent	超电流
aurelian	蛹的
hereditarily	遗传地
enterovirus	肠道病毒
encouraged	被鼓励
caffeol	咖啡油
cacorhythmic	节奏不和谐的
bat	蝙蝠
olent	有香味
immy	=immie
antiutopian	具有反面乌托邦特征
beat	敲打
acuate	尖
azeotropy	恒沸性
linendraper	衬衣类商人
flowery	华丽
ac	Alternating
trellis	格架
labyrinth	迷路
feign	假装
eulogia	颂德文
trihydric	三羟
petroleuse	用火油纵火的女子
ultrathin	极细
pasquinade	讽刺文
indonesia	印尼
furcation	叉形
jewelry	珠宝类
slablike	板状的
dilate	膨胀
overceiling	超过最高限度
lusty	精力充沛
batrachoid	似蛙
mecism	过长
leptosomatic	瘦弱型的
unreceptive	反应不快
saltmouth	大口瓶
ellipse	椭圆形
resolution	决心
belecture	谆谆教诲
gabble	七嘴八嘴地说
rudely	粗暴地
wbo	Organization世界拳击组织
sap	挖坑道
fanwise	成扇形
ncaa	National
scuff	以足擦
volumeless	不占容积
multiform	多种形式
wareroom	商品储藏室
isohyet	等雨量线
totty	喝醉
sixpenny	便宜
swingeing	有力的
ergograph	肌力描记器
trotty	疾走
boeotian	迟钝的
inconsonance	不调和
epigram	警句
lubricious	淫荡的
sharif	=sherif
inimicable	有害
predator	掠夺者
pericementum	牙周膜
rich	富有的
enfetter	束缚
or	Operations
credulously	轻信地
tekecommunications	远程通信
cnaa	全国学术奖理事会
gneissic	像片麻岩
unremitted	未赦免的
straitness	狭隘
dedicatory	奉献
blond	白肤碧眼金发的人
ovariole	卵巢管
stanch	不透水
acidfast	耐酸的
featheriness	羽毛被覆状
delegable	可委托
diametical	正相反的
savvy	头脑
nynorsk	尼诺斯克语
netsuke	坠子
nasty	凶相
thalamium	闺房
recount	叙述
osmolarity	同渗容摩
semiography	=semeiography
undistorted	未失真的
hortative	劝告的
limy	涂有鸟胶的
exotoxic	外毒素的
handraulic	手力
pratfall	不象样的失态
destrier	军马
beetleheaded	笨的
synthomycin	合霉素
metachrome	异染粒
accustomed	习惯的
saltireways	成X形
antientertainment	反传统的娱乐
roundabout	兜圈子的话
unqualified	无资格的
interstitial	空隙的
senior	地位较高的
viricide	杀病毒剂
klooch	女人
uto	Towns
discordance	不和
lordly	有气派地
edgily	刀口锐利
epileptogenic	由癫痫引起的
magician	魔术师
alienator	赠予者
fighter	好战者
foist	私自添加
semiclosure	部分关闭
concent	允许
prehormone	前激素
unsccur	of
book	名册
dexter	右边的
psychrophilic	好寒性
lessee	承租人
degressively	递减地
riometer	宇宙噪声测量器
flinty	燧石似的
braille	盲人用点字法
ignore	不理睬
clon	=clone
soil	土
kinsmanship	酷似
rearview	mirror后视镜
priggish	自负的
naysaid	反对
repagination	重编页码
place	名次列前
nerc	Research
goody	感伤的
temperate	适度
grub	食物
wildflower	野花
noumenal	实体的
canonize	封……死者为圣徒
contriver	发明者
ophidian	蛇
thrace	色雷斯
plump	沉重地
antique	古时
sulfuretted	被硫化的
unmeasurable	无限
detrusion	推落
fingerling	一指长
stuffy	乏味的
telepathize	通灵
woozy	虚弱的
fruitery	贮存水果的地方
decanal	南侧唱诗班
glandiferous	结坚果
blithering	唠叨不已
guide	带领
scraggly	起伏的
hypoploidy	染色体数目较少
greaves	脂渣
baltic	波罗的海的
lovage	一种独活草
insinuate	含沙射影地说
olea	oleum的复数
preterite	过去时态的
viticulture	葡萄栽培
tendentious	有偏见的
defiant	目中无人的
dendroid	树木状的
crura	似腿的部分
addicted	沉溺于某种嗜好中的
interprovincial	省际的
supersubstantial	超物质
cheekpiece	马勒带
megalithic	巨石造成的
prevaricate	支吾搪塞
fixture	预定日期
amplitude	振幅
euphausid	磷虾目浮游甲壳动物
screwball	奇妙
oceanological	有关海洋学
loaner	代替品
lysergide	acid
disbelieving	怀疑
haemolytic	溶血的
shaky	不安的
reversed	翻转
hear	听说
twain	两
mizzle	下蒙蒙细雨
irreproducible	不能繁殖的
flammable	易燃的
karabiner	岩钉钢环
overturn	翻转
unabiding	不持久的
jadishly	毫无价值地
cartology	三角图学
trueness	真实
broad	明朗的
ultraviolet	紫外线
fearful	严重
landworker	农业工人
leukoplasia	黏膜白斑病
impeccant	无罪过的
righten	使恢复正常
suburb	市郊
overcome	得胜
defend	防护
vaporization	蒸馏器
backbitten	backbite的过去分词
experiential	根据经验的
perichondrium	软骨膜
arithmetic	算法
hesperides	金苹果园
nc	网络计算机
breastplate	胸甲
predigest	预先消化
parasympathetic	/
affrontedness	被冒犯
rider	骑马的人
transversal	横断
unture	不正确
daytale	按日计酬
anthomania	爱花狂
saddlebill	凹嘴鹳
ringing	响亮
suicidal	自取灭亡的
stag	牡鹿
atmospherically	气压所致
tess	泰丝
sneery	嗤笑
tetragynous	四雄蕊
pull	拉力
hermit	隐居者
predicably	可断定
nc	Network
multiflora	rose
fixure	固定位置
goluptious	可口的
crystallitic	微晶
gargoylism	脂质软骨营养障碍
woodsy	树林多
humane	仁慈
embossment	浮雕工作
puncture	小孔
petrifactive	造成石化
podgy	矮胖
swellish	漂亮的
automata	自动控制
sillibub	=sillabub
immature	未完全发展
laundry	要洗的衣服
roundup	围捕
checkerberry	蔓虎刺之一种
worthy	有价值的
divorce	离婚
subdistrict	分区
valency	化合价
hedonistic	快乐主义者的
enophthalmos	眼球内陷
derangement	发狂
summerhouse	亭子
adipose	脂肪
muster	清单
blunderbuss	老式的大口径短枪
sanguine	红腊笔
macabre	恐怖的
unsuppressed	未镇压的
pigheaded	固执
imbrute	残忍
influxion	流入
polysorbate	聚山梨醇酯
mousey	像老鼠
rive	撕开
inelegance	不雅
spellbound	着迷的
sequestered	偏僻
tallyshop	赊销小商店
cosmography	宇宙学
whipsaw	用粗木锯锯
experience	经验
linty	有棉絮的
bms	Matrix
benzedrine	苯丙胺
ribbonman	绿带会
conquistador	征服者
renormalization	重正化
archaism	古体
jnd	Noticeable
japanophobia	憎恶日本
unqualified	不合格
strathclyde	斯特拉思克莱德区
received	被认为标准的
anticodon	反密码子
hegemonism	盟主权
hunks	守财奴
cogent	恰到好处
armourial	纹章书
biographically	传记体
distribution	法院对无遗嘱死亡者财产的分配
lactoovovegetarian	乳蛋素食者
abuttal	邻接
sweated	使用血汗劳工的
haystack	干草堆
disrespectful	失礼
thumbtack	图钉
chestnut	栗子
translucent	透明的
wassat	=what''s
sapphiric	蓝宝石质的
epistle	书信体诗文
dnotice	国防机密通知
fortifiable	宜于设防的
intervocalic	元
gec	Company
soliloquize	独白
tactical	战术的
grindstone	旋转磨石
algesimeter	痛觉计
warring	交战
diminutively	仅仅
inverse	反面
pe	体能训练
commandery	骑士团管理地
telegraphy	电信技术
overfreight	超载
maist	=most
spinous	刺状的
interocular	两眼间
tauranga	陶兰加
profundity	深处
deerstalking	猎鹿
teenager	十几岁的青少年
lectorship	大学讲师教职
revolt	厌恶
collaborative	协作的
testamentary	遗嘱中有
baric	气压的
preparedness	有准备
coziness	舒适
funniosity	滑稽
pluvian	多雨的
hydraemic	稀血症
zhengzhou	郑州
nondiapausing	非滞育中的
copremia	毒毒血症
ctol	conventional
engird	围绕
abstractive	具有抽象能力的
deoxygenize	还原
equalization	均等
narcotic	致幻毒品
azury	浅蓝色的
chiliast	信徒
xenophile	喜爱外国人及其文物者
sniffable	可吸入
enol	烯醇
newish	稍新的
dour	阴沉
dicty	极好
intercession	代为求情
semiarid	雨量非常少
mealymouthed	不敢直说
pose	形成
wilding	野生的
jimmy	铁撬
cornetist	小铜喇叭吹奏者
redeemer	救世主
anarchy	政治混乱
transconfessional	教派间的
dichloride	二氯化合物
detached	分离的
patronizing	要人领情
intersexual	两性间
agriology	原始人类学
snoop	调查
duplicity	表里不一
kobold	土地神
horological	钟表的
undiscussed	未辩论过
sanguicolous	栖血
unexcited	镇定的
dopaminergic	多巴胺能的
crackbrained	颠狂
lateral	侧面的
epididymis	附睾
jut	突出部分
hypoptyalism	涎液过少
sportfishing	垂钓用
baptismal	洗礼的
bey	土耳其对要人的尊称
democratic	平民的
tumid	肿胀
polimetrician	计量政治学者
slablike	板状
darobokka	手鼓
zincographic	锌版术的
clink	丁当声
ckd	completely
rental	租用的
cotquean	忙家务活儿的男人
myxoneurosis	黏液神经机能病
narky	易生气的
floppily	懒散
kit	成套工具
thereagainst	反之
unific	倾向于联合的
subregion	亚区
couchette	有卧铺的车厢
madras	马德拉斯布
homoplastically	类似地
ascribable	可归于……
mishandle	胡乱操作
lytic	细胞溶解酶的
recolonize	再度移民到……
deflationary	放出空气
bastinado	杖笞
feebie	联邦调查局特工
ethos	民族精神
terminate	结束
reactionist	反动分子
roric	似露水
dichotomize	对分
evolutive	演变的
backstop	捕手
meander	弯曲
aircraftman	空军士兵
fissipedal	足趾分裂
slag	火山岩渣
buic	Control
turgid	肿的
almacantar	=almucantar
cloistral	修道院的
brash	性急的
snide	卑鄙勾当
inhabitation	居住
urticaceous	荨麻科植物
tightness	坚固
deniable	可否定的
fiend	魔王
whelk	峨螺
inconsequently	矛盾
derivative	引出的
modelly	模特儿似
mode	模式
catcall	发嘘声
profound	意义深远的
interfacial	分界面
outperform	胜过
didy	尿布
preconscious	前意识的
drugola	毒品贿
lean	贫乏
castrate	删除
unhuman	非人类的
orthonormal	标准正交的
alchemistically	炼金术
misknow	误解
jinnee	神灵
dartle	突进
sceptre	授予节杖
eurhythmic	音乐舞蹈体操的
verdant	青翠
ferned	长满羊齿植物的
forecast	先见
flammenwerfer	喷火器
atomix	yeah
polemology	战争研究
skeptical	好怀疑
ectogenic	外生的
saudi	沙特阿拉伯国家
rabbet	开槽口于
humification	腐殖化
fancy	异样的
piscary	捕鱼场
fnma	Mortgage
dank	阴湿寒冷的
conic	圆锥的
usual	通常的
rafferty	混乱的
wally	令人喜爱
brace	撑牢
offset	偏移量
slip	有活结的
proconsulate	总督的职位或任期
town	市镇
standard	旗
buitenzorg	=Bogor
sutra	佛经
fallacious	虚妄
miseducate	给……错误
urinant	头朝下的
coomassie	=Kumasi
docile	驯良
sink	下沉
hazy	模糊
straw	稻草
spread	敷
aversion	讨厌的事和人
amerindian	美国印地安人或爱斯基摩人
feathery	柔软如羽毛
thanks	感谢
wiping	擦拭
stridence	刺耳
untold	未说过的
autogenetic	无生源说的
hypermetamorphic	osis/`haIpE9metE复变态的//`mR:
shepherd	牧羊人
coly	齿鹑
paretic	局部麻痹
erectly	直立地
inversely	倒转
refutatory	辩驳的
splash	泼
numerate	计算
gisarme	中世纪士兵用的战斧
marrowless	无髓
ethnarchy	总督的职位
zolaesque	左拉的
bellwaver	徘徊不已
goosey	愚蠢的
musketoon	短滑膛枪
anonychia	先天性无趾和指甲症
throwback	挫折
pecksniff	式的
anoxemia	血缺氧
embolic	插子的
laryngology	喉科学
allmains	万能供电
pinto	杂色
iupap	Union
phenylalanine	苯基丙氨酸
dispositive	决定性的
ogle	媚眼
touch	触摸
ectotropic	外生
arrestment	阻止
phonology	语音体系
underlay	向下延伸
deaconship	会长之职位
gruffly	粗声
capapie	完全地
contaminant	致污物
mccarthyite	麦卡锡主义信徒
posb	savings
writer	作者
placard	张贴
duffel	露营用具
ungated	无门的
command	掌握
tripodic	有三脚
monticulate	有小丘的
arbitrational	关于仲裁
mexicali	墨西卡利
ingredient	因素
nomad	游牧
soavemente	=soave
latvian	拉脱维亚
fetiparous	胎儿未发育完就生产的
orfe	圆腹雅罗鱼
punch	打孔机
tridigitate	有三指
clou	中心思想
shearlegs	人字起重架
aftertime	将来
sandy	桑迪
colory	色泽甚浓
phosphate	磷酸盐
judiciable	可被审判
thresher	长尾鲨
cryptical	隐藏
apse	教堂半圆形的后殿
begird	围绕
premonish	预先告诫
nonentanglement	不牵连
stump	绊倒
rdc	Rural
ruffian	流氓
fine	精美
mould	用土覆盖
hastiness	火急
eta	希腊语字母的第七字
inobservant	不遵守的
diffusive	散布性的
footy	褴褛
prestissimo	最快的
setback	逆流
rubrical	仪式指示
hydronic	液体循环加热的
creeping	爬行的
disallowable	可否决的
rhizophilous	寄生于根上的
extravasation	溢出物
closer	靠近的
ammunition	弹药
scanty	不足的
disharmonic	不和谐
abuse	虐待
unwarned	未受警告的
gammy	跛行的
summon	鼓起
dispassionately	不动感情地
trepan	环锯
valuate	对……作评价
dat	数据文件的扩展名
gritstone	天然砥石
flinch	畏首畏尾
zinky	含锌的
theban	底比斯人的
cassandra	凶事预言家
flaring	俗丽的
faecal	渣滓
submedian	位于近中央处的
tribunary	保民官的
smiley	=smily
bookmatches'	NULL)
queenly	威严的
comparable	可比较
tap	水龙头
orbicular	球形的
willem	the
cling	粘紧
vegetative	有关植物生长的
hagride	折磨
nagged	被激怒
garbageology	垃圾社会学
saturnic	铅毒
menagerie	动物展览
ameliorate	改进
foresighted	有先见之明
marish	沼泽
wildfire	散布极快的事物
brickdust	砖屑
paroecious	雌雄有序同苞
provisionality	暂时性
gloriously	光荣地
bystreet	横街
spunk	精神
clavate	棍棒状
factory	制造厂
acculturize	使……接受外来文化
inductile	不能延伸
louisianian	路易斯安那州的
rasped	易怒的
cockchafer	小金虫
rehear	再审
organizable	可组织
inchoative	发端
excrescency	自然长出物
inaudibly	听不见似
bhadon	印度历的6月
antepaschal	复活节前
anglomaniac	崇拜英国的人
housewife	家庭主妇
hieronymite	以圣哲罗姆名字命名的隐修会会员
wane	变小
proprietor	经营者
spectrochemistry	光谱化学
fulminous	像迅雷
peremptory	断然
tactics	策略
praedial	耕地的
dank	透水的
christmassy	有圣诞气氛
earthling	凡人
aquavit	白兰地
expediency	方便
bandit	强盗
premise	房屋连地基
discoid	平圆形的
superexcellent	卓越
oppugnant	敌对
hydrated	与水结合
amok	杀人狂
considerately	体谅地
orcinol	苔黑酚
avens	水杨梅属植物
hearty	亲切的
fairytale	优美无比的
inscrutable	不能预测的
ethnics	人种学
swart	恶性的
knitwork	编织品
endoparasite	内部寄生物
refractile	能折射的
exhortatory	劝诫
overceiling	超过最高限度的
fimbriate	有毛缘
chemotropic	向药性
henroost	鸡窝
garcon	男孩
caisson	弹药箱
field	田赛
hydroscopical	深水望远镜
episcopalian	主教制度的
gazette	学报
idiocy	白痴
inculpable	无罪
urge	强烈欲望
quibbler	吹毛求疵的人
walty	易横倾
emanant	发散
radicalness	激进
abbevillian	阿布维利文化
downrange	发射中心和沿着试验航向地
turtledove	斑鸠
loud	不断
forgivable	可宽恕的
trimness	整顿
summertime	夏季
oligocarpous	几乎没有果实的
craterlet	小火山口
exhibition	表现
preserver	保护者
level	对准
aconitic	乌头
quicksand	危险而捉摸不定的事物
meridian	顶点的
saxicavous	钻岩的
hip	臀
semimilitary	半军事的
rugged	崎岖的
pfc	private
meningitic	脑膜炎的
floodmark	满潮标
heyday	全盛期
ferly	奇迹
direttissima	陡峭攀登
capitulary	法令集
certainly	行
pet	宠物
accusal	谴责
uniaxial	单轴的
jank	同时改变飞行高度和方向
cruciate	十字形
materialise	=materialize
tinnient	发丁零声
milemeter	里程计
finnicking	吹毛求疵的
imperil	危害
bistort	拳参
jointly	共同地
australopithecus	南猿
dazzling	眼花缭乱的
sawtooth	锯齿
transplacental	经胎盘的
ballistic	弹道学
epistaxis	鼻衄
wampus	开襟绒线衫
lumphead	笨人
tame	使变得平淡
freehold	自由保有
tutor	辅导教师
nephrotic	肾病变
epidural	硬膜上的
frowsty	肮脏的
beheld	behold的过去式和过去分词
iscariot	叛徒
questionmaster	答问节目的主持人
stenotypist	速记打字员
puff	一阵喷烟
sudorific	促使发汗
chip	削成碎片
underpaid	所得报酬过低的
nullification	废弃
eyestalk	眼柄
embrave	激励
nautical	海军的
conversation	交谈
drive	推动、发动
dprk	of
formulize	公式化
compulsorily	强制
ephah	伊法
itt	Telegraph
bevatron	质子加速器
dolerite	辉绿岩
subtle	精细的
wud	疯狂
radiatory	=radiative
unrifled	滑膛
fls	of
admensuration	测量
hokey	做作
benares	贝拿勒斯(印度东北部城市瓦腊纳西
fail	忘记
credibly	由可靠方面
scout	轻蔑地拒绝
canard	谣言
asbestic	=asbestine
outline	略述
shopboy	年轻男店员
trying	费劲
depolarize	去偏光
uncontradicted	不矛盾的
costermansville	科斯特曼斯维尔(扎伊尔东部城市布卡武
bootmaker	靴匠
bustling	熙熙攘攘
daily	日常地
keratoderma	角皮病
radio	用无线电发送
tumble	使摔倒
king	统治
exclusion	除外
sanguicolous	血寄生的
arbitrative	有权公断的
flaring	燃烧的
flexibility	弹性
ruleless	无规则
jokingly	开玩笑
ornithomancy	鸟占术
mind	照顾
thyroidean	=thyroid
outflung	扔出
neuter	无性
magistrature	=magistracy
immurement	禁闭
speakerine	电视节目女主持人
unrwa	联合国难民救济及工程局
nowaday	当前
vertiginous	迅速变化
scabbed	有疙瘩的
rhodic	四价铑
lanigerous	羊毛状
palaeoanthropology	古人类学
urethroscopy	尿道镜检查
hyperostotic	骨肥大的
singly	直截了当
juratory	以誓言表达的
eonism	异性装粉癖
hempen	大麻
attributable	可归于……
spruce	云杉
silkscreen	丝网印刷品
teller	讲话的人
unreasonable	不讲道理
scurvily	粗鄙
lempert	operation
traitoress	=traitress
repechage	补充赛
bourne	小溪
comedown	衰落
quiesce	沉寂
titular	有名无实
smart	轻快地
stratal	层的
salchow	后内结环一周跳
nitric	硝石
frantically	狂暴
import	有重要性
biparental	双亲的
feldspathic	长石质
necrophagia	食尸
bedplate	台板
romaic	现代希腊语的
tropaeoline	金莲橙
stellated	星形的
sound	测……深
fossette	小窝
ranchman	大农场经营者
comedo	粉刺
agriculturist	农业家
assimilate	吸收
borak	嬉弄
teutonization	条顿化
genova	=Genoa
beachhead	滩头阵
digastric	二腹的
exclusive	唯我独尊的
manger	挡水板
quilled	有硬毛的
inconscious	无意识
pelagic	远洋
wakefully	睡不着地
emmeniopathy	月经病
cowl	蒙头斗篷
umbrous	荫处
ingrowth	向内生长物
exposed	无掩蔽
constrictor	括约肌
catarrhal	卡他的
tautomer	互变体
calyces	肾盏
unrhymed	无韵
frailish	不太坚固的
keelboat	一种河船
sabretache	军刀挂套
antrim	安特里姆郡
lrv	lunar
dotted	有点
iata	Air
contributory	捐助者
cud	反刍的食物
ersatz	人造的
craps	双骰儿赌博
gunnery	重炮
hela	海拉细胞
morphophonology	=morphonology
unexploded	装着炸药
flannelled	穿法兰绒衣服
oaw	Optically
analytics	分析学
accordable	可一致
railwayed	有铁路的
trivialness	琐碎
contraceptive	避孕用具
visitatorial	有权检查的
set	接受机
animate	鼓舞
wps	由金山软件公司开发
superluminal	超光速
unpregnant	不合适
fleshless	消瘦的
suicidal	自毁的
concertation	协调
embacle	河中之碎冰堆
untwine	解开
timing	调速
latinesque	如拉丁的
loxodromic	斜航的
thug	暴徒
welshy	威尔士人
unselected	非精选的
intellectualize	/
miscue	撞歪
mm	缅甸
scissorsbird	=scissortail
sulfury	硫磺的
prelatic	高级教士职位
dipartite	划分
galvanism	流电学
unwittingly	无意
gemmiparous	发芽生殖
tendentious	有倾向
jewry	犹太人
polygonum	蓼属植物
sequestrum	腐骨片
concerto	协奏曲
monadism	单元论
frequently	频繁
laten	变迟
superpotency	效力过高
gerontophobia	赠恨老人
easternmost	最东部的
briefly	简要
pliers	老虎钳
wynd	狭巷
extemporaneous	不用讲稿
subsidiary	补充的
cop	巡警
hygienically	卫生地
random	胡乱
bouncing	活泼
navelwort	琉璃革
excursion	远足队
snafu	使混乱
shrubby	灌木的
reserve	保留
consider	考虑
prefixion	置于前面
lighter	驳船
scentometer	呼吸测污仪
electrosensory	电感的
misfit	不适合的东西
durrie	棉毛地毯
winterless	没有冬天
tucket	喇叭调
ioof	Odd
heavy	大量地
farthest	最久
winnow	扬谷
glossolalia	语意不清
pardonably	可宽恕地
interactional	相互影响
cynologist	犬类学家
yaqui	雅基河
elegiacal	哀悼的
esterase	酯酶
breton	法国布里多尼地区的
ila	Association国际码头工人联合会
immunohistology	免疫组织学
rami	的复数
supposed	假像的
eytie	=Eyetalian
curling	头发的卷曲
gunpaper	经硝酸处理后能爆炸的纸
dioxide	二氧化物
malpractice	玩忽职守
caprifig	野生无花果的一种
unuseful	无用
landslide	崩塌的泥石
vestibular	门口走廊
notionate	充满幻想
glyconic	格莱坎诗体的诗
tenor	大意
bloodworm	红蚯蚓
piddling	不重要
ponder	沉思
whine	哀鸣
supposable	可假定的
rational	理性的
airwave	广播的频道
canned	喝醉了的
paratactic	并列
iconograph	插图
corporately	团结
worship	尊敬
damning	受永罚
emi	Electro
discal	圆盘的
quaveringly	颤音地
contrecoup	对侧外伤
onlooking	旁观
crunode	叉点
develop	逐步显示出来
unthoughtful	轻率的
bmj	British
hal	Hardware
unimodular	幺模的
tryout	试用
homefelt	舒适自在
margarine	人造黄油
psychogeriatric	`psaIkEJ9dVer`AtrIk/
jadish	毫无价值
groovelike	老一套
entrammel	妨碍
chymosin	凝乳酶
safing	能立即恢复安全状态的
spawn	菌丝
interrelate	相互关连
attitudinarian	装模作样者
backcloth	背景幕
array	排列
famous	著名的
leavy	多叶的
bidarkee	皮筏子
churchism	墨守教会仪式
bibliotherapy	读书疗法
syneresis	脱水收缩
cist	古希腊时
rounding	环绕
croquet	槌球戏
lawless	违法
produce	产物
cylindraceous	圆筒状
financially	金融上
pool	郁积
eutrophied	超营养作用
indeterminist	非命运论者
catwalk	狭小通道
miraculous	奇迹的
cadmiferous	含镉
copious	很多
imbecilic	愚笨
tattle	闲谈
eared	有耳的
tackle	抓住
eternity	永远
sexual	性的
swale	沼泽地
laager	临时防御营
gonocyte	生殖母细胞
pocket	口袋
methodologist	方法论学者
taxpayer	所收租金只够支付地产税的建筑物
nameless	无名
offendedly	生气
crabbed	潦草
moistureless	无湿气的
kingdom	领域
undefined	未下定义的
whig	辉格党
truehearted	忠实的
unsheltered	未遮盖的
valorously	无畏地
kenspeckle	引人注意
pellicular	薄膜
coarsely	鄙俗地
niddering	不诚实的人
unsanctioned	未通过的
bellpull	钟绳
nonpeak	非高峰
momental	惯量的
madman	精神病患者
stoutly	刚强
reclusive	隐居
cinzano	沁扎诺酒
painless	无痛的
canorous	音乐般
uncalled	未经邀请的
bevy	一群
interblend	相混
vehicular	用车辆运载的
nhra	National
eversible	可翻转的
uniparous	每次只产一卵的
setover	超过位置
tartarian	鞑靼人的
supportable	可援助的
girdle	围绕
honied	多蜜
intermarriage	联姻
fordone	筋疲力尽
classical	古典文学的
galbraithian	加尔布雷思的
longevity	寿命
eterne	=eternal
shyly	胆怯地
start	削减战略武器条约START
emunctory	排泄管
hifi	高保真
attend	护理
nonsignificant	不重要的
corsican	科西嘉人的
harlot	人尽可夫之女人
dislimn	使的轮廓模糊
weedy	杂草多
colette	科莱特
charge	指示
salable	适于销售的
true	真正的
toxoplasmosis	弓形体病
signatureless	未签名的
sapanwood	苏木材
reportable	值得报告的
acclimatization	环境适应性
aciculate	有刺
egged	被挑唆
harl	羽上的细毛
fabian	费边主义
crisp	易碎的
genevan	日内瓦人
piripiri	红辣椒酱
latterly	后来
hispanidad	西班牙主义
shh	shew
great	主要的
glibly	流利地
culicid	蚊科
shivering	颤抖的
sogat	Graphical
crossed	交叉
strongylosis	圆线虫病
mourning	悲恸
rhodamine	若丹明
coagulative	凝固物的
smoggy	烟雾弥漫的
gunite	压力喷浆
title	标题的
archenteric	原肠之消化道
myogram	肌动图
sequence	顺序
lacw	Aircraftwoman
dextrane	=dextran
understrength	人员不足的
quasar	类星体
prehension	抓住
entente	有协定关系的各国
scotch	苏格兰人
eleemosynary	慈善
fungivorous	食真菌的
nibble	轻咬
electropositive	金属的
filmstrip	电影胶片
kowtow	叩头
cornered	有角
monogamic	=monogamous
undercooked	煎
aver	断言
