athenai	=Athens
enigmatical	谜一般的
catgut	肠线
exegesis	注释
cupping	拔火罐
donee	受赠者
raising	提高
annihilation	灭绝
jesuitical	耶稣会士
taps	丧葬号音
archaism	古语
cancroid	蟹状的
weeklong	持续一星期
seafox	长尾鲛
pervious	能被通过
litholapaxy	碎石洗出术
outlain	outlie的过去分词
chattily	饶舌
farrandly	壮丽
hyperfunction	官能过度
gab	瞎扯
duet	二重奏
icing	糖衣
smoothie	善于讨好女人的男子
unconstrained	不受强制
filial	子女
generous	慷慨的
fishbed	鱼化石沈积层
abetment	帮助
indexless	无索引的
disallowable	可否决
manatee	海牛
suffumigate	用烟在下面熏
eruptive	喷火
unshirted	赤裸裸
bloomer	完全成熟的人
painstaking	辛勤
aduncal	向内弯曲
polytechnic	工艺学校
urolith	=urinary
variola	痘症
botryoid	一束葡萄状
zygoid	合子的
xylan	木聚糖
unifoliate	有单叶的
grillroom	炙肉房
official	公务的
groovy	很帅
hyalite	玉滴石
analogically	相似
stopgap	权宜
subsensible	比感觉范围更深的
golly	天哪!!
blackfish	黑鲸
criminologist	犯罪学者
popish	天主教的
decrypt	译
gloxinia	大岩桐
forkful	一叉的量
laughingly	笑着地
exceeding	极度的
urinometer	尿比重计
forgery	伪造罪
putrefactive	腐败
barbarous	残暴的
funipendulous	悬在绳上
melitriose	棉子糖
graduation	毕业
alterative	体质改善疗法
citizenize	使成为公民
etypic	由某种形态转变
down	往下
retrovirus	逆转录酶病毒
chirkle	喧闹地干活
goldeneye	白颊鸭
stroboradiograph	频闪射线照片
homochromatism	单色
videoporn	色情电视
remove	开除
dysteleological	无目的论的
recompose	重写
equinox	春分或秋分
disputed	争议
theftuous	=thievish
wri	risk
amphitrite	安菲特律特
dia	Intelligence
stale	走味
committal	承担义务
martian	火星人
majestical	宏伟
cqd	请速来救
batter	猛击
polyploid	多倍数体
meticulous	小心翼翼的
lawson	劳森
fosbury	背越式跳高
unbar	打开
nutburger	碎果仁馅饼
viburnum	荚莲属的植物
cloture	讨论终结
raisonneur	说教者
themselves	她们亲自
kaddish	祈祷
ream	铰除
egesta	排泄物
damsel	处女
petite	细
ada	Ada
maoriland	毛利兰
diminishable	可降低
evaluate	求……的值
casebearer	鞘蛾幼虫
crabbed	乖戾的
bridie	肉馅饼
cycle	周期
recelebrate	重新庆祝
metathoracic	后胸
sbn	Standard
endogamous	同系交配的
tetrachotomous	四叉的
satiation	饱享的
corporative	法人
favoritism	得宠
heirdom	继承的财产
suspender	袜吊
hermetic	密封的
banjo	五弦琴
ticktacktoe	井字游戏
fretted	腐蚀的
more	多
conjugal	夫妇间
controversial	争议的
suine	代白脱油
isolating	孤立的
raised	有凸起花纹的
wardenry	市
flattery	谄媚
undertenant	=subtenant
dimply	有凹处
tradeoff	权衡
hexabiose	己二糖
mephitic	有毒
irenical	和平
flesh	长胖
hmf	Forces英国军队
evidential	可作证据
implantation	培植
chogh	咳嗽
dockside	码头邻区
rarely	很少
crownling	幼主
worsted	精纺毛料服装
irvine	警官
ratable	可估价的
moonshiner	烈酒私酿者
biotic	关于生命
demo	民主党员
slack	懒散
oo	面向对象的
pore	细想
underpaid	所得报酬过低
benthamite	功利主义者
diversionist	在敌后活动者
hydromechanics	流体力学
richly	丰富
grand	重大
crochet	钩针编织品
dicty	时髦
trephination	环锯术
oscillograph	示波器
fainaigue	规避责任
ophiolite	蛇纹石
cineol	桉树脑
pasteboard	纸牌
faldstool	祈祷用小案
deliberative	协商
oxeye	牛眼菊
tricarpellate	三心皮的
tripack	三底彩色片
cussed	乖僻的
crown	使圆满完成
cakewalk	步态竞赛
antileukemie	抗白血病
mashy	=mashie
alienist	精神病医生
profile	侧面
telecom	电信
christianly	如基督徒的
payor	=payer
freezing	冷冻用
wonderland	仙境
humpery	交媾
pancuronium	溴化双哌雄双酯
russianise	=Russianize
sulcus	沟
unvexed	镇静的
streamy	多河流
wive	与……结婚
rubrication	印红色
upu	Postal
dismally	沉闷地
dud	无用的
cowled	带头巾的
eutomous	裂隙清楚的
parlor	客厅的
quadplex	四倍的
mobile	运动物体
fiddler	小提琴家
scv	of
asexually	无性生殖地
conciliate	安慰
interspecific	中间
hyposecretion	分泌不足
add	增添
responsum	释疑解答
hominoid	人的
axostyle	轴杆
upland	山
edwin	男子名
wrapper	包装材料
hypostatization	使实体化
handsaw	手锯
willingness	积极肯干
impassably	无法通行
fretful	起波纹的
qaranc	Army
frequentative	表示反复动作
albite	钠长石
inexpedient	不适宜的
jar	刺激
humanities	人文学科
comstockery	对有伤风化的文艺作品的强烈反对
abo	土著
sententious	很多说教式
actual	目前
accounting	清算帐目
hypo	刺激
sillily	糊涂地
provencal	普罗旺斯
cut	伤口
slicken	擦亮
phonetic	语音学
roguish	无赖的
belock	锁闭
unmethodical	无方法
periphrasis	迂回说法
wash	冲出
distant	关系远
protestor	抗议者
enforce	执行
telereference	远程咨询
exclamative	=exclamatory
amphitheater	古罗马的圆形剧场
philologic	语言学的
flowing	流动
plait	辫子
succedaneous	替代的
scolecite	钙沸石
wadable	可涉水过
plastiqueur	可塑炸弹投掷者
condensibility	可简约性
phytol	植醇
angled	成角的
laudable	值得赞美
hob	滚刀
overbore	overbear
whereby	为何
illative	推论的
irradiance	光辉
cubeb	含有荜澄茄粉的药用香烟
avertable	可防止
topmaul	锤
jungian	易雍
ultravirus	滤过性病毒
apocalyptical	天启的
cumulostratus	层积云
zoom	图象电子放大
clutcher	经常参加咖啡聚会的人
fluky	不可靠的
interpretive	解释的
envelop	遮盖
nee	旧姓
bannock	一种薄饼
transatlantic	大西洋彼岸
substance	物
corporate	社团的
bimonthly	两月一次的
litigiosity	好争论
phat	容易排字
whisper	密谈
reimprisonment	再囚禁
zaikai	商界
fallacious	使人误解
glyph	字形
necroscopy	=necropsy
agminate	成群的
denali	德纳里峰(即麦金利山
priest	牧师
paye	Enter
ppt	part
verdant	青翠的
mastitis	乳腺炎
severely	激烈
esemplastic	有组织作用
ingenital	内在
acidosis	酸液过多症
inceptive	起初
mover	行动者
chary	吝啬的
wanda	旺达
univocal	单一意思的
bessarabian	比萨拉比亚人
taletelling	搬弄是非
mercantilism	商人本性
zone	环绕
tetrahydrocannabinol	四氢大麻醇
monotrichic	单鞭毛
expense	损失
breakwater	挡浪板
measureless	无限
gular	咽喉的
oaten	麦杆制的
hhs	卫生和福利部
pareira	由巴西某种树根采取的利尿药
traditionary	传统
typecast	浇铸
semiology	记号学
hernial	脱肠
downcast	沮丧的
guinzo	=ginzo
muddle	混合
spoondrift	浪花
insusceptibility	无感觉
peripherad	向边缘
decahedral	十面体
inobtrusive	谦虚的
dairymaid	酪农场的女工
vulgus	拉丁文或希腊文的作诗作业
oestrous	发情
burl	节
enabled	激活
score	得分
ddvp	敌敌畏
antianxiety	防止精神不安的
nematic	向列的
kittredge	基特里奇
lotiform	莲花形
colorific	给予颜色
current	电流
tlo	only
pluriglandular	多腺性的
antiutopian	具有反面乌托邦特征的
repose	长眠
loofah	丝瓜
gingival	齿龈的
counselee	接受劝告者
magniloquence	虚夸
druse	德鲁士
underwrite	签名
supposed	假定的
sepulchral	坟墓的
dexterous	惯用右手
christadelphian	基督弟兄会会员
tepefy	变微热
abeam	与船的龙骨成直角
splintage	使用夹板
decumulation	积聚物的处理
aeciospore	锈孢子
ccpit	of
tilbury	二轮轻便马车
autochthon	土著
softy	笨人
acellular	非细胞组成
kibei	移居美国的第二代日本人移民
pedicab	三轮车
dimethylaniline	二甲基苯胺
insistently	强求
fontal	原始
millionfold	百万倍地
buggy	多虫的
cover	包括
titillation	愉快
cochleate	状如蜗牛壳
stuporous	不省人事的
reloader	自动输煤机
directoire	执政内阁
object	抗议
stoutly	坚决
inadvertence	漫不经心
scribe	作者
christless	违反基督精神的
sanguification	血液化
schizo	精神分裂症
hoot	轰赶
dasher	气宇轩昂的男子
topically	谈论地
shred	切碎
npa	报纸出版商协会
lingy	遍生石南
bargee	驳船船员
lauraldehyde	樟醛
echolocation	回声定位法
stupefactive	使失去知觉的
innumerability	无数
foldboat	涂胶帆布艇
creepered	蔓草丛生
mandible	下颚骨
conquer	战胜
paramedian	靠近中央
jauntily	高兴
downy	多丘岗的
prank	胡闹
standaway	不贴住身体的
liberation	释放
pygmyisn	像矮人
neurocirculatory	神经循环系统的
human	人类
gulch	冲沟
pyrolater	拜火者
inimitable	无比
meed	赏与
pleasurable	合意
poseur	装模作样的人
brooky	多溪流
salutatory	致敬意
gunmaker	枪炮制造商
scv	Confederate
frequency	频率
agrestal	野生
coincidental	符合的
overclaim	过分的要求
acoustical	听觉的
spinneret	喷丝头
penological	刑罚学的
waadt	瓦特州
jungian	支持易雍的人
upfold	使折起
metaboly	物质交替
loon	懒人
mesial	中间
reiterative	反复语
born	天生就……的
dysfunction	官能障碍
urban	市内
weta	沙螽
cocarboxylase	焦磷酸硫胺素
dimension	维
exploitative	剥削的
stiffener	使僵硬的人
fend	谋生
gushy	流出的
laggardly	行动缓慢地
practicum	实习科目
yardbird	囚犯
stackyard	堆谷场
pubic	耻骨的
edgeways	以刃向外
ciliated	有纤毛的
perfect	理想的
hypermetamorphic	复变态期
choosing	决定
caravansary	大旅舍
do	实行
feedback	反应
globularity	球形
slovakian	斯洛伐克人
murderous	非常危险的的
pianette	竖型小钢琴
seasonal	周期性
cinc	in
intragalactic	星系内的
over	额外的东西
unoiled	未上油
catalyzer	催化剂
trawl	用拖网捕鱼
affreighter	租船运货
postbox	邮箱
rippling	潺潺流水般声音
briquet	煤饼
pinitol	松醇
costean	井探
footstock	=tailstock
epochmaking	划时代的
ulterior	隐蔽
nailsick	因多次钉过后而不结实
unbalance	使心情紊乱
padishah	君主
festally	愉快
proser	散文般
haematoxylin	苏木素的
outward	在外
overflow	泛滥
nausea	极度的不快
unaccounted	未解释的
minus	减的
laudable	值得赞美的
upwafted	被托起的
disaggregate	分解
parochialism	乡土观念
eternity	来世
delusive	迷惑
portraitist	肖像画家
ectal	外侧的
belfried	有钟楼
backflash	逆流而着火
gmwu	Municipal
ceroplastic	蜡塑工艺
omniphibious	全能着陆
hohum	厌烦的
compelled	迫使
hypoallergenic	低变应原的
kinghood	国王的王位
endotherm	温血动物
inflect	发生弯曲变化
mosasaur	=mosasaurus
insurrectionist	起义者
spiritualize	使灵化
palliative	辩解
tuberculate	结核性的
noiseless	寂静的
grammaticalize	使符合语法
airy	轻快
impluvium	方形蓄水池
suasion	劝告
comportable	适当的
vacationer	度假者
chappy	家伙
paravion	航空邮寄
scenic	布景的
biquadratic	四次
leucotomy	前额脑白质切除手术
jejuneness	空洞
omnifaceted	各方面
howl	喝住
luxuriant	肥沃
endsville	首屈一指的
unconstrained	不做作的
spasmic	=spasmodic
bogeyman	妖怪
ataxic	混乱的
opisthenar	手背
coset	傍系
plump	使鼓起
laurentian	劳伦系
overdrive	驱使过度
impressional	印象的
dapperling	短小精悍的人
raffish	卑鄙的
hardly	严厉
academe	学术界
superficiary	租地造屋者
chivalrous	侠义
moonfaced	圆脸
condensative	易凝缩的
chopper	断路器
onion	加洋葱于
tudor	都铎王朝的
rabble	乌合之众
rocambole	小蒜
flourish	手舞足蹈
acinar	腺泡
eudiometrical	量气管的
charging	装料
bleep	哔哔声
philippines	菲律宾群岛
shaky	颤抖
supercolossal	极大
laic	外行人
knuckle	指节
scenic	景色优美的
sniff	发觉
shapeless	不成形
equal	合适的
benthal	水底
mesial	中央
sassy	时髦
uxoriously	疼爱妻子
sheep	羊
man	Area
baseballer	棒球选手
emotionality	富于感情
cameralist	经济学者或官员
amimeche	Member
subthreshold	阈下的
chrp	Common
reconcilably	可调停
key	调节……的音调
flighty	忽发奇想的
turbulence	骚乱
debacle	崩溃
tanning	皮肤晒成褐色
ability	才干
shadowboxing	太极拳
grade	评分
shoulder	肩
led	Diode
pacchionian	蛛网膜粒
pintoresque	似画的
airborne	空运
tweet	自录音再现装置发出的高音
euphoriant	使人欣快的
depressed	降低
incurment	招致
thrust	强加
savoury	可口
cpa	加拿大太平洋航空
lunary	诚实
assistant	助理的
bumpity	=bumpety
minifestival	小节日
enhancive	增加的
homy	自在
soed	Shorter
qp	后前兵
dantonesque	大无畏的
digitate	有趾
flustration	激动
existent	生存
polyantha	多花蔷薇
harpins	临时木材
outmaneuver	以机动性胜过
falconer	以鹰狩猎者
leucopoiesis	白细胞生成
likewise	照样地
typification	象征
emploment	雇用
appealable	可上诉的
ease	减轻
gynandromorph	雌雄嵌体
boatrace	竞渡
immigration	移居入境
unwell	不舒服
parlance	说法
choosy	好挑剔的
thorax	胸腔
zithern	齐特拉琴
admire	赞美
referring	谘询
ladderlike	梯式前进的
lockfast	锁牢的
inscrutable	难以了解的
circumspective	慎重
impassioned	热情洋溢
seaward	海那一边
mechanism	机械装置
satanize	使变得凶残
ascomycetous	子囊菌类
responsibility	职责
aicpa	Institute
therewithal	于是
lucerne	紫花苜蓿
veronica	耶稣面像
sile	大雨如注
bratty	不服从
imperfect	未完成的
usage	用法
material	重要的
byliner	署名作者
meek	谦恭的
saw	see的过去式
glumpy	忧郁
tame	乏味的
labyrinthitis	迷路炎
serve	供应
xylophilous	喜木的
nicotian	烟草
unacknowledged	不被承认的
rare	稀罕
naxos	纳克索斯岛
blunge	掺水拌
ventriloquial	口技
peddling	无关紧要
lymphous	淋巴样
fratch	争论
airy	通风的
idiolect	个人习语
plotz	大怒
winter	对……进行冬天保护
kirsen	命名
gayer	华美
hyperthermal	过高热
honeysuckle	金银花
several	单独的
defensive	防御用的
amaranthine	紫红的
creophagy	食肉
corkily	喜不自禁地
converse	倒
polyversity	=multiversity
robust	精力充沛的
rente	年金
yea	肯定
thrift	海石竹
oxherd	牧牛人
proclaim	宣布
resplendently	耀眼地
sucrier	糖罐
lush	青葱
inconsolably	无法安慰地
thecate	具膜的
leishmaniosis	利什曼病
vpd	重要产品数据或虚拟打印设备
interfoliaceous	两叶间
technicolored	五光十色
chiromegaly	巨手畸形
karyosome	染色质核仁
slickness	光滑的
underplay	表演有克制
turkmenian	土库曼语
after	与……一致
kvar	kilovar
derivation	来历
ericaceous	杜鹃科
retrodisplacement	后移位
monopodial	单轴
benthos	海底的动植物群
core	核心
agonizing	苦恼的
intellectual	智力的
businessmen	生意人
bctv	北京有线电视台
neapolitan	那不勒斯人
sundry	各式各样
cantilever	悬臂
electrocautery	电烙术
fenestral	具透明点的
discerning	有辨识能力的
rageful	盛怒的
unfearing	不畏惧
chronoscope	极微时间测定器
wintertide	冬季
mulierty	嫡生
theca	鞘
preprofessional	为从事职业作准备的
snugly	尚可
muddle	胡乱对付
unpopular	不受欢迎
daee	aeronautical
supervenient	伴随产生
defeat	挫折
interstitial	形成空隙的
verus	正确的
mall	购物商场
lambent	闪烁的
phytocidal	除莠
readiness	准备就绪
ismec	机械工程情报服务
cogently	痛切
mondial	全世界范围的
warranty	根据
xql	Language
perennity	持久
oxisol	氧化土
discourteously	不礼貌
adjuvant	辅佐的
eupepsia	消化良好
bebeerine	比比林
agglutination	粘着
coulee	熔岩流
hematocryal	冷血
accord	协定
lacunar	花格平顶的凹板
file	用锉刀锉
diminutively	仅仅地
polemical	好辩
submillimetre	小于1毫米
floozie	智力不高的妇人或女孩
intersect	相交
psephology	选举学
akin	同族
crafty	诡计多端
religionist	宗教狂热者
obviosity	显然的事物
correct	正确
banefully	有毒地
hydratable	能水合
opaquely	不透明
invocatory	祈愿
aerobee	高空探测初期用的一种火箭
consort	符合
unprincipled	不道德的
highjacker	强盗
luxuriant	丰富的
carefree	不负责
diamagnetic	反磁性的
crosswind	横风
expectative	期待中
maidenlike	娇羞的
laotian	老挝的
subdeacon	副助祭
worsted	精纺的
tyrannically	专横
wane	退潮
angry	狂暴
superheterodyne	超屯獠钍绞找艋
damning	诅咒
enthrall	迷惑
drift	冲洗
grinder	磨工
teachableness	可教性
acoustic	音响学的
myxomatosis	粘液瘤病变性
temperate	温和
furry	毛皮
hamiticize	使含语化
reindustrialization	再工业化
rabbinism	犹太的法学博士的语风
exodermis	外皮层
copemate	同志
skirl	用风笛演奏
flank	在……的侧面
expeditious	迅速的
typecasting	铸字
skegger	幼鲑
lunabase	月球上低平面的
ruritania	鲁里坦尼亚王国
frustrated	落空的
convulsion	惊厥
crosse	长曲棍球的球棒
acronym	只取首字母的缩写词
adventure	冒险
cease	终了
tebriz	=Tabriz
diageotropic	横生的
phycology	藻类学
noumenal	实体
chill	寒意
hate	恨
verus	真的
indention	锯齿状
vapidness	无趣
cohort	军队
rebill	再付费给
constitutive	构成的
superfecundation	同期复孕
samely	无变化的
notional	想象
desuperheater	减温器
cagayan	卡格扬河
half	半时
cheilitis	唇炎
liminary	开头
spice	香料
repristinate	使复原
kingship	王位
destructive	破坏的
pasteurisation	=pasteurization
ogee	弯曲
nitric	氮的
angiography	血管照相术
unevenness	不均衡
shekarry	猎人
irrigator	灌溉的人
overstorage	贮藏过多
wrapping	包装纸
charming	娇媚
time	合拍
symbol	记号
exchequer	财政部
tikker	断续装置
blazing	强烈的
alaskan	阿拉斯加人
orcadian	群岛
jaboticaba	拟爱神木
filmic	电影
elliptical	省略的
emargination	尖端微凹
sanctum	私室
sapphirine	假蓝宝石
merlin	灰背隼
handstand	手倒立
procurance	获得
gauffer	皱褶
contextless	无连贯性的
orphrey	精致的刺绣
pretreatment	预处理期间的
salomonian	所罗门
veracious	准确的
penitential	忏悔的
multicentric	多发源点
funereal	送葬
reconstituted	再造的
null	零
mediterranean	地中海的
disadvantaged	贫穷的
veritable	真正的
luciferous	光辉
lovelorn	害相思病的
frank	Frank
anoint	施以涂油礼
untogether	乱七八糟
anthropological	lly//
supercargo	货物管理员
petite	小
quakerish	谨严的
asprawl	伸开手足躺卧地
babblingly	喋喋不休地
clatter	咔嗒
slashing	苛刻的
sensualist	感觉主义者
consensus	一致同意
quintic	五次量
footie	=footy
resolution	分辨率
exertion	行使
cegb	中央电力局
loneness	幽静
giddy	眩晕
homopause	均质层顶
butylate	使丁化
lindgrenite	钼铜矿
foolish	可爱
unstep	由桅座移去
loo	洗手间
germiculture	细菌培养
to	对
eutrophic	发育营养正常
limp	易曲
moronic	低能
ductule	小管道
melanesia	美拉尼西亚
dejecta	粪便
fairyhood	魔性
pgup	翻上页
woodenness	粗鲁的人
spermatic	精巢
uncoil	解
escapeproof	防漏泄的
probate	检验遗嘱
stratigraphic	层学
msbc	in
squalidity	肮脏
vivific	使生动
headachy	令人头痛的
gintrap	齿夹式捕捉器
signee	签名者
exuviation	脱壳
oppressive	沉重
thermoperiodism	=thermoperiodicity
overfraught	超载的
yeanling	小羊
bespectacled	带眼镜的
quatorzain	十四行诗
postcranial	颅下
haven	避难所
unialgal	单种藻
emplacement	炮台
impressionistic	给人深刻印象的
supernormal	非凡的
hydrargyric	汞的
engage	答应
stopper	塞子
indefeasible	难使无效
excuse	免去
wafflestompers	宽底旅行鞋
concent	答应
wolfer	狼吞虎咽的人
bareheaded	不戴帽子
deadhouse	停尸所
nagged	被压制
kaoliang	高粱
toothy	多齿的
sanity	心智健全
ontogeny	个体发生
hypoacid	酸度过低的
honeyed	多蜜的
cella	内殿
deuteronomic	劝人行善
trendy	流行的
bentonite	斑脱土
frg	德意志联邦共和国
spicebush	山胡椒
equitably	公正地
intervene	介入
circle	圆周
bajan	巴巴多斯人
unitar	Training
ectoenzym	外酶
nutrition	营养
flex	vi折曲
hypodorian	副多里亚调的
demonstrability	论证可能性
differentiae	种差
malvoisie	=malmsey
fluidram	dram
foolish	笨
algidity	发冷
hydrangea	八仙花属
baptist	施洗约翰
outmarry	使在婚姻上高攀
sadistic	残酷成性的
mnas	Sciences
approximator	近似者
psi	希腊文字母的第23
weatherworn	风雨侵蚀的
fraction	片断
neonatal	初生
essentially	本来
catnap	假寐
cyathiform	杯状
cocker	放纵
fearful	吓人的
fibrinuria	纤维蛋白尿
score	抓痕
bodily	全部
slickness	光滑
nickelous	二价镍
dodecagonal	十二边形的
whoopee	欢庆
glitch	小故障
benorth	在……之北
madman	疯子
naeb	of
dbms	数据库管理系统
tartarous	酒石似
closure	使终止
lampstandard	路灯柱
crinite	有长软毛的
kickdown	换低挡装置
chromatolysis	染色质色原溶解
corroboration	使确实
jewry	犹太人区
colossus	巨人
apothecial	子囊盘的
partygoer	社交聚会常客
ring	成环形
dashi	鱼汤
wetland	沼泽
superserviceable	极肯帮忙的
upset	推翻
cinerary	放灰的
gouge	欺骗
undecided	未定
disprove	证明……为误
popularity	流行
abstractively	抽象性
tanniferous	生丹宁酸
weak	软弱
muscarine	蝇蕈碱
hieroglyphic	象形文字写成的文章
scissor	截取
obligatory	必须
corequisite	并修课程
tetchy	脾气怪
hilac	linear
gradualness	逐渐的
feeling	有感觉的
uniparental	单亲的
amiably	亲切
capitalintensive	资本支出庞大
esfahan	=Isfahan
takingly	迷人
splodgy	有污点
geck	戏弄
ephedrine	麻黄硷
choush	官使
deflorate	已开过花
stream	涌
driller	钻孔者
alep	=Aleppo
tilt	以言词或文字抨击
renouncement	否认
snippers	手剪
fillagree	金银细丝工艺
septemvir	七执政官之一
catchall	放各种各样物品的容器
infinite	极大的
aplastic	成长不全的
checkup	审查
refill	补充
crisis	疾病的转折点
trusteeship	托管统治
chymistry	化学
compunctious	悔
gentleness	亲切
fenitrothion	杀螟松
chloroethene	氯乙
distribution	分配
aluminize	以铝覆盖
hydrostatical	静水力学的
corrupt	贪污
oozy	软泥
gasoline	汽油
bumptious	盲目自夸的
falcial	镍的
gamelin	=gamelan
glimpse	一看
drudgingly	苦役般地
housebroke	housebreak的过去式
dysteleology	生活或自然之漫无目标
setter	塞特种猎狗
landwards	向陆地
homebred	在家里养大的
vcd	Compact
autotrophic	自给营养的
misrepresent	误传
indigen	本地人
rubricity	红色
aauw	美国大学妇女联合会
senior	高级
natsopa	Assistants
unshakable	坚定不移
imp	顽童
taking	会传染
utter	发射
wfd	Deaf世界聋人联合会
lockless	无船闸的
sadduceeism	撒都该教派之教义
orthographic	正字法
silverback	银背大猩猩
clime	地域
umbrageously	易怒地
reconcentrate	再集中
nonfinite	非限定的
zululand	祖鲁兰
polyneuritis	多神经炎
gaywings	少叶远志
damoclean	达摩克利斯的
sententious	警句
lanigerous	有细毛
exsufflate	呼出
outright	直率的
obstetrical	产科
pentachord	五音音阶
kilt	撩起
wheelhorse	辕马
reclosable	能重新盖紧的
nogging	壁砖
nephrotoxic	对肾脏有害处
sleight	诡计
routh	大量
zincoid	锌的
unvanquishable	不能征服
windshield	挡风玻璃
imperceivable	=imperceptible
insecticidal	杀虫的
telepathist	研究心灵感应术者
archeolithic	旧时器时代的
last	最后的
semidilapidation	半坍毁状态
unpitying	无同情心
charpit	烧木炭的坑
margarita	玛格丽塔
labourer	劳动者
megapolis	多人口地
interlard	使混杂
phratry	氏族
ventriloquous	用腹语的
xenotropic	亲异
loam	用肥土填
cornuted	角状
hesperia	西方之国
dunhuang	敦煌
newfangled	新制的
nymphomaniac	女色情狂
procuration	获
overnight	晚上的
basehearted	性情卑鄙的
phaeacian	费阿刻斯人
feverish	狂热
busyness	忙碌
coralliferous	含珊瑚
vomerine	犁骨的
litigant	诉讼人
energize	给与……电压
fecaloid	粪便状的
floridion	佛罗里达人
fine	罚款
hetero	异性恋
efficient	能干
makable	可建造的
cometary	彗星
photoflash	使用闪光灯的
shmegegge	=schmegeggy
retranslate	重译
erythropoietic	红血球生成
glare	光滑的表面
metatherian	后兽亚纲
clinging	执着的
clotheshorse	晒衣架
slaggy	熔渣的
nandin	南天竹
frostwork	霜花纹装饰
neocolonial	新殖民主义的
halophilous	喜欢盐的
sequestrectomy	死骨切除
stud	柱头螺栓
cervine	鹿一样
poll	民意测验
atonism	对太阳神阿托恩的崇拜
dressing	装饰
madeleine	玛德琳蛋糕
tablemate	餐桌同座
idioplasmatic	细胞原质
grette	烟卷
flix	毛皮
untapped	塞子未开的
bicornuate	新月状
melancholiac	患忧郁症
sundial	日晷
dastardly	卑鄙的
clathrate	插合物的
projectionist	幻灯放映员
peg	Peg
reenlistment	延长服役期限
sensitize	使变得敏感
dynamo	发电机
incestuous	乱伦
dowable	有权得亡夫遗产的
poky	迟钝
moor	固定
anticorrosive	防蚀
smooth	平滑部分
aye	投赞成票者
agrimony	龙牙草
decimalize	使作十进制
shimonoseki	下关
dm	音乐博士
rhythmical	节奏的
mantic	预言性的
commemorative	纪念
chemoprophylactic	化学品预防
microteaching	微型教学
interventionism	干涉主义的
purple	紫色
worthily	可敬地
exceeding	胜过的
bargirl	常到酒吧间的妓女
zen	禅宗
ochlocrat	暴民政治家
noteworthy	值得注目
immalleable	非柔顺的
asap	Possible
dissertation	学术演讲
cyclopaedist	为百科全书撰写条目者
gallery	画廊
japanophile	亲日派
unfathered	出处不明
sparkling	发泡
endwise	向前的
offhandedly	立即地
hisself	pro
opster	视幻艺术家
bechic	镇咳的
personify	赋与……以人性
chargeable	可记在某项帐目上
dissentient	不赞成
vasoactive	血管活性的
blusterous	咆哮
fog	苔藓
transportation	运送
remains	遗体
possessed	着魔
late	最近
underachieve	学习成绩不良
sporadical	=sporadic
castiron	不屈的
pursiness	肥胖
descensive	向下
abbreviatory	缩写
muscleman	打手
outgeneral	以指导凌驾
imagine	想象
eczema	湿疹
retro	减速火箭
liberalistic	自由主义的
unfamiliar	新奇的
flaring	引人注目的
gwyn	Eleanor
rising	增加
