motivic	乐旨的
belletristic	文学研究的
wvf	Veterans
rebroadcast	转播
featly	伶俐地
resistable	=resistible
yelp	叫喊
sib	亲属的
exhalant	呼出
steep	峭壁
pharmacy	药房
phyllary	总苞片
apocope	字尾音消失
zenographic	木星表面的
enlistment	征募
izzat	个人尊严
emblazonry	纹饰
leporine	野兔的
idea	概念
muddily	下流
kobold	小鬼
residual	剩余的
exploration	探测
hoodwink	遮眼
hiron	工字梁
campy	装模作样的
ovoflavin	=riboflavin
billionth	十亿分之一
study	研究
cub	幼兽
enaction	=enactment
unloved	未被喜爱
untearable	拔不掉
waggish	爱开玩笑
allude	间接提到
underscrub	林下灌丛
equipment	设备
ponce	靠妓女为生的人
pronounce	发音
sabre	马刀
snazzy	时髦
uncleanness	不清洁
electroacoustic	/
preadult	成年前的
sadhu	圣人
substantive	实词
tenemental	地产的
rvsvp	vous
classic	第一流
divulsion	撕开
hogg	尚未剪过毛的小羊
amniography	羊水造影术
unphysiologic	生理上不健全的
curmudgeonly	不和悦的
screed	刮板
bicorn	双角的
febrifuge	解热
echinated	有刺毛的
flq	de
glairy	蛋白质
zorille	臭鼬动物
amenable	有服从义务的
fanatic	盲信者
embarrassingly	使人为难
ablare	喧闹的
profluent	平稳流动的
dissave	vi
drolly	诙谐
zedzap	一种文件传输协议
interpolate	插入新语句
bathurst	巴瑟斯特(冈比亚首都班珠尔
haemophiloid	类血友病
willpower	毅力
bhoodan	(20世纪50
slp	Labor
milch	生乳
biennial	二年生
sightworthy	值得一看
antagonistical	反对的
ireful	忿怒的
heeled	带手枪的
scant	节省
traffic	买卖
thriftily	兴旺的
inerrably	无误地
grand	盛大的
slavish	盲从
mipafox	丙胺氟
cultus	礼拜
irascibly	易怒
virion	病毒粒子
puerpera	产妇
epndb	decibels有效感觉噪声分贝
waxweed	叶柄萼距花
sharpy	=sharpie
buckshee	额外津贴
atelectatic	肺膨胀不全
infirmary	医院
scoria	矿渣
sanskrit	梵语
humanize	使通人情
fontina	意大利果仁味羊奶干酪
sundress	背心裙
solvent	溶解
unplausible	=implausible
neptunian	海王星
photoactinic	能产生光化作用
sickly	令人作呕的
nautilus	鹦鹉螺
lipogenous	产生脂肪的
overparted	演过多个角色的
nooky	性交时的女性
beady	饰有珠子的
mesh	编织
caespitose	簇生
asthmatic	哮喘的
thresh	反复的打击
storiette	小故事
congeniality	适意
msls	of
tapescript	磁带录音稿
faddish	风行的
par	票面的
chimney	灯罩
smooth	烫平
bicron	毫微米
prolixity	冗长
acetone	丙酮
geanticlinal	地背斜的
tyrannic	专制君主的
palm	棕榈叶
barware	酒吧酒具
aut	Teachers大学教师协会
mfp	Function
rescue	营救
interlinear	隔一行书写原文和译文
dumpling	团子
appurtenance	从属权利
fashionably	按照流行地
overspread	蒙盖
gambian	冈比亚人
maidenliness	处女样子
apb	向各方发出的通告
clincherwork	瓦叠排列
phylactic	防御疾病的
heliced	以螺旋装饰的
sacral	荐骨的
maninke	=Malinke
federally	联邦政府地
thisbe	提斯柏
powwow	行巫术
flotative	浮力的
admirer	景慕者
bitterly	悲痛的
expostulation	劝告
discommendable	反对的
disarray	混乱
viale	大街
muchly	长久地
jenny	移动式起重机
lilied	百合花覆盖的
gauchist	激进分子
tutti	全体的
environs	郊外
dephlegmator	提聚器
plant	安置
locality	位置
vasculitic	患血管炎
pet	宠爱
rivalry	敌对
yond	彼处
ileac	回肠的
pmla	America
ultraleft	极左的
infinitude	无限之物
purl	用金银丝绣
anisocercal	不等尾叶的
sioux	苏语的
blowtorch	吹管
otherwise	其他方面
shroud	覆盖物
arizona	亚利桑那州
veiling	面纱布料
harmonicon	一种自动风琴
optically	眼睛
ludditish	反对机械化自动化的
christian	信基督教
cohesion	结合
xenolalia	=xenoglossia
unassuaged	未得满足的
streamy	多河流的
sceptre	授与王权
tornado	英国、德国、意大利三国合作研制的双座双发超音速变后掠翼战斗机
beijing	北京
lactescent	分泌乳液
entreprenant	大胆
welldoing	行善的
pilaster	半露柱
sib	亲戚
inauthoritative	非权威
diphonemic	双音素
drownproofing	防溺法
accentual	重音的
baseborn	出身微贱
encomiastic	阿谀的
backplane	底板
rann	Needs
fluster	激动
favonian	西风的
subliminal	潜在意识
entopic	正的
seminatural	半自然的
brassily	似黄铜地
fasciated	扁化的
northernmost	最北
friskful	活泼的
behave	运转
lumbermill	锯木厂
uss	United
saving	除……之外
engage	使忙碌
pleiotropy	多向性
phenetidin	氨基苯乙醚
corvet	驱潜快艇
biochemist	生物化学家
huskily	嘎声地
tannish	淡褐色
kibbutznik	集体农场农民
straightforward	正直地
scribbler	小文人
loggia	房屋敞向花园的部份
makable	可标记
systemless	无规则
ritzy	讲究的
unspent	没有用完
lifo	last
mtbf	Mean
offenceful	有罪的
mantic	预言的
synclinal	倾斜的
femora	腿节
plp	议会工党
smack	拍击
brandy	白兰地酒
scurril	恶语毁谤
smolder	郁积
crankish	古怪
tennantite	砷黝铜矿
infradian	超昼夜的
oofy	有钱
omniscience	全知者
peculiar	特殊的
almemar	犹太教会的讲堂
parosmia	嗅觉倒错
rewin	再赢
redeemable	可收回的
cesspool	污水坑
hit	袭击
chapote	墨西哥柿子
mohican	莫希干人
sustainable	养得起
wattlebird	垂耳鸦
gothamite	纽约市民
semilustrous	半光泽
dethronement	废立
repudiate	批判
inaugural	就职
cut	删节
shutter	快门
photophilous	适光
peptic	助消化的
enunciator	声明者
nonfreezing	不会结冻
unconformity	不适合
constitutive	制定
aboulia	意志力丧失
osf	of
accumulative	累积
sympathetically	同情
algidity	寒气
stopping	停下来
futuristic	未来派的
taphouse	酒馆
berwickshire	贝里克郡
foursquare	正方形
scr	Scout
nokia	诺基亚公司
malthusianism	马尔萨斯人口论
watchfully	警惕地
maintainor	犯包揽诉讼罪者
wetland	潮湿的土壤
arbitrative	有权公断
unbarbered	未理发的
backstay	后部支索撑物
subdiaconate	副助祭之职位
genital	生殖
thin	使变细
geometric	几何学
elysium	极乐世界
withamite	黄红帘石
county	县
nlrb	Relations
ruler	标尺
umbrageous	多荫
age	成年
pursual	追逐
shadowgraph	放射线透视照相
galvanic	以流电所产
herd	兽群
brace	奋起
arrantly	声名狼籍地
frenzied	狂乱的
ardor	热诚
synergic	合作的
ignoble	不光彩
upshift	加速
insatiable	贪求无厌的
prankish	戏弄的
barbarity	残忍
locusta	状花序
columbine	鸽色的
biconditional	双态的
digitalose	洋地黄糖
chronon	假设的计时单位
terraalba	白土
heaping	放得太多的
plop	扑通一声地
colloid	胶体
rabblement	暴动
submaxilary	下颚骨
uncharitable	无情
touchingly	难以取悦
habutai	全丝薄软绸
cruelty	残忍
repertory	仓库
pure	纯粹的
crista	脊
moldingplane	=mouldingplane
liege	列日
adsorbability	吸附力
biyearly	每年两次
haymaking	割晒牧草
stealthy	秘密
gauze	薄雾
sizer	大小分拣器
joisted	为……装托梁
sheepish	羞怯的
vdr	视频磁盘录像机
locker	锁扣装置
viale	宽阔街道
vizier	维齐尔
combine	联合企业
unrounded	非圆唇的
worshipful	可贵
experimentative	=experimental
symmetrical	对称的
nose	侦察出
abri	防空洞
responsible	负责
austenian	=Austenite
nongovernmental	非政府
sgml	通用标记语言标准
bellmouthed	钟口形的
crosslet	小十字形
strait	窘迫
sodomist	尸奸者
crabwise	小心地
autoboat	汽艇
koniology	微尘学
answer	答复说
retort	曲颈瓶
irruptive	穿入的
upload	上载
swirl	盘绕
adjunction	附加
nationality	民族
hexenbesen	丛枝病
unrhymed	无韵的
technicalization	专门化
unapprehended	未被理解
disarm	放下武器
jodie	平民男子
muggins	一种牌戏
toolmaking	工具修理
promissory	约定的
spinosity	尖刻的话
correct	改正
crashproof	耐撞
distortive	曲解
outlast	比……活得长
witchcraft	魔力
disciplined	受过训练的
economic	产供销
bookmarker	书签
cnd	Nuclear
epidotized	形成绿帘石
cystamine	塞斯塔明
disillusionize	使幻灭
beep	嘟嘟响
expensive	昂贵的
torrify	=torrefy
dovish	鸽派的
supposedly	按照推测
walnut	胡桃木
sandor	桑德尔
accelerate	加速
refill	再装满
bluntly	坦率地
ostrejculture	牡蛎养殖
caseose	酪朊
optically	视力
goatmoth	柳木蠹蛾
cockneyese	伦敦方言
curettage	刮除术
disturbingly	动摇
ferry	渡运
transcontinental	横贯大陆
incommunicability	难表达
lordliness	皇室气派
alarming	令人担忧的
faint	软弱的
staghead	上部树枝枯萎病
unrepulsive	不可憎
gastronomer	考究饮食的人
jib	停止不动
eec	Emission
iridize	以铱覆盖
adjacency	邻接
excursion	偏移
prename	名
show	放映
brink	边缘
amnicolous	栖沙滩的
through	彻底
racemiform	形似串状花
kindlessly	薄情
fimbriate	有须毛为缘
constellate	定名为星座
czar	独裁者
pulmometer	肺量计
wildcatter	创业不可靠企业者
utter	流通
pragmatics	语用论
race	姜根
unquestioning	不犹豫的
dress	女服
unhired	未租入的
depot	火车站
vagotonia	迷走神经过敏
misconduct	处理不当
backwardly	往后地
epazote	土荆芥
fractographic	金属断面的显微镜观察的
wash	弄湿
slack	漏水
detrusive	推出
hattery	帽商的货品
finale	终了
brand	商标
horntail	树蜂科动物
spadicose	肉穗花序
unserviceable	无益
pancarditis	心包内膜炎
irreproducible	不能复制的
superphosphate	过磷酸盐
microevolution	微进化
cerebrotonia	气质孤僻
gestagen	促孕激素
brood	孵
tactful	机智的
concussion	震荡
starchy	淀粉的
comsymp	同情共党分子
exhaustion	筋疲力尽
mind	留心
recordak	文件微缩复制系统
face	外观
idolum	幻象
mirth	欢笑
delusive	虚妄的
bashlyk	头巾
naupliiform	甲壳动物无节幼体形的
fuck	利用
disulfiram	戒酒硫
dissolute	肆意挥霍的
disfurnish	搬空
caddy	茶叶罐
meself	=myself
boxy	矮胖的
artillery	炮的总称
ethnogenesis	种族进化
unfamiliar	不熟悉的
inconsistent	矛盾
ratbaggery	流氓派头
skilful	巧妙
message	差使
treat	作东
ironmongery	铁器店
puling	呜咽的
undivided	专心的
resting	休眠的
oncornavirus	致肿瘤RNA病毒
coadjacent	互相连接
reprovingly	申斥地
continentalism	大陆主义
omniscient	全知
dop	合成树脂可塑剂
hidden	hide的过去分词
pentastyle	五柱式建筑
poc	of
rueful	悔恨的
vulturous	兀鹰的
controllable	可操纵
beady	有泡的
nonrestraint	无约束
hpv	human
discontentedness	不满
abluent	洗净
philological	语言学
pedlary	廉价品
dominion	控制
velodyne	调速发电机
angora	安哥拉猫
climacterical	=climacteric
canterer	慢跑之动物
autocritical	自我评定
tatty	褴褛的
vandalic	汪达尔人
gnn	Global
filling	饼馅
manipulator	操纵者
fibroid	纤维瘤
delphi	因Apollp的神殿而著称
mounted	裱好
astoundment	震惊
pestle	用杵捣
came	come的过去式
leukovirus	白血病病毒
piquant	辛辣
meltwater	冰河融化后的水
molina	即Tirso
verecund	害羞的
alaska	阿拉斯加州
solemnly	庄严地
bowery	有亭子
holophotal	全光反射的
quadrangle	四边形
angular	有角
used	习惯
schmitt	施密特的
summary	概要
lima	利马
disparaging	蔑视
nervine	有镇定作用
leasehold	借贷的
camion	军用卡车
townswoman	女同乡
ultimate	最终
tickicide	杀蜱药
rasped	刺耳
coffee	咖啡豆
dionysos	狄厄尼索斯
trayful	一盘
show	表示
inspirator	吸入器
consistorial	红衣主教会议的
sexist	男性至上主义者
lipoid	类脂的
polak	波兰的
vial	装入小瓶
down	在下面
resorption	再吸收
pasticheur	混成作品作者
vcd	Video
singularity	单一
tease	梳理
unofficially	非公认
frigga	弗丽嘉
bacteric	细菌的
succous	体液的
airsick	患航空病
russ	俄国人的
digress	离题
sumptuously	奢侈
synchronological	展示同时发生的
provisionally	暂时
circumspection	细心
downhold	减少
statistical	统计
pigeonite	易变辉石
materialism	唯物主义
husky	沙哑
dish	盘
puritanical	严格
identical	同样
question	问题
ciliated	有纤毛
avaricious	贪婪
silicle	短角果
icrp	Radiological
thyroidectomize	对……施行甲状腺切除术
lurcher	小偷
troat	叫春
morphinism	慢性吗啡中毒
coterminous	连接的
reunify	使重新统一
tax	税金
disseat	使离座
humoristic	幽默的
anchorage	停泊地点
villose	长绒毛的
northwesterly	位于西北方的
dentary	牙齿
portress	女门房
tidiness	整洁
threaten	预示
hypocotyl	子叶下轴
antiimperialism	反对帝国主义
waterway	水路
inappreciative	不正确评价
hotch	使摇摆
ringwise	呈环形
blazing	闪耀的
melkite	=Melchite
derangement	扰乱
wakeful	觉醒的
cestoid	绦虫
amphistylar	前后两排柱而两边无柱
leucocyte	白细胞
batting	棉絮
adversative	意义相反的
possibilist	可能主义者
great	得意地
remonstrative	忠告
various	多方面
frequently	频繁地
contravention	矛盾
calvarial	颅顶的
inauthentic	不真实
prothetelic	先成现象
panurge	巴汝奇
unidentifiable	无法辨认的
oleoresin	树脂油
recherche	罕有的
yesteryear	过去不久的岁月
archaeometry	考古定年学
sullen	愠怒的
psychotomimetic	重现精神病
bifoliate	双叶
breton	法国布里多尼地区
acquirability	可
safeguard	保护
setup	组织
mainsail	主桅帆
subterhuman	亚于人类
australite	澳大利亚玻陨石
semicolony	半殖民地
mennonist	=Mennonite
isapi	Internet
connected	连接
daylong	终日的
runway	斜坡跑道
laced	加酒的
flange	边缘
slowup	=slowdown
faulty	有过失的
anapaest	抑抑扬格
expressly	明白
poignant	尖锐的
journal	杂志
departmentalise	分成部门//departmentalize
northerner	北国人
nii	Information
staphyloplasty	悬雍垂成形术
slime	变粘滑
resplend	灿烂
kep	篮子
labyrinthine	迷宫的
positive	原级的
maintain	主张
bidialectalism	两种方言通
caenozoic	新生代的
sureness	确实
something	pro
akvavit	=aquavit
discernable	可辨别的
termini	目的地
seminude	半裸的
equally	相等
moravian	摩拉维亚
msts	Transportation
phasedown	分阶段减少
sentimentally	富情感地
condenses	浓缩
hyperchromic	anaemia
remediably	可治疗地
abbreviatory	省略
motley	杂色的
grey	灰白的
viny	葡萄树的
gummous	由树胶构成
fin	鱼翅
proclamatory	公告
cernet	and
stygian	阴暗的
disfigurement	缺陷
torus	圆环面
nasa	Administration
nineteenth	十九分之一
objectivity	客观现实
gagman	笑料的作者
swbw	southwest
lettered	精通文学
outline	要点
martial	威武
devoice	使清化
erotogenic	引起性欲
psychotoxic	有害的
reasonably	相当地
recuperative	有恢复力的
legendary	传说中
backbencher	后座议员
medicine	药
bespangled	以发光之金属片装饰的
underlying	优先
morphology	词法、词态学
laborsome	吃力的
maternity	孕妇的
brocaded	用浮雕法织锦
canvas	帆布
mariology	关于圣母马利亚的学说
ordinant	命令
assafetida	=asafoetida
medially	中间地
upborne	被举起
stotinka	斯托丁卡
wakashan	瓦卡希语组的
dominating	独裁
fleckered	有污点
milan	米兰
roundsman	巡视者
voltaism	流电
universal	全体
reecho	回声
stabbing	刺穿
resolve	溶解
cisalpine	阿尔卑斯山这一边的
fungal	真菌
belting	带类
millennialist	的信徒
forever	永久
new	更新的
geodynamic	球动力学
fifa	国际足球联盟
compliably	依从地
undercut	廉价出售
suramin	苏拉灭
carnify	长肉
glassful	一杯的容量
tell	告发
great	大写的
shearing	剪取的羊毛
unbalanced	不稳定
guggenheim	=Guggenheim
uninjurious	无害的
impresario	演出者
leave	委托
plaza	露天汽车停车场
sacerdotal	祭司制度
incoming	引入的
muzzleloading	前装式的
orbit	绕……轨道而行
usurpation	篡夺
incage	囚禁
clavus	鸡眼
unenlivened	不活跃的
equivalent	同意义
orbicular	球形
bhil	比尔人
bop	殴打
token	表意的
fils	儿子
region	地方
by	在旁边
philtre	刺激
hellgrammite	翅虫的幼虫
aclu	Union
philhellenic	亲希腊的
degression	下降
moabite	摩押人的
curtal	切短的
anil	木蓝属植物
uaa	Airlines
hardhead	矢车菊
rechauffe	再煮热的剩菜
aquiver	兴奋的
exertive	使努力的
limonitic	由褐铁矿构成
kpc	kiloparsec
spherulitize	使成球粒
sobering	使清醒
tew	early
strigous	覆盖着糙伏毛的
skill	熟练
individuate	赋予个性
chastiser	惩罚者
chile	智利
infuse	灌输
literalness	表面意义上的
ohioan	俄亥俄州
endure	忍耐
reproacher	责备者
dinette	小餐室的餐桌和椅子
evolutive	进化的
circumscribe	限制
paracentesis	穿刺术
quadrophonic	四声道的
ciborium	圣礼容器
baboosh	拖鞋
moppy	拖把似
aerially	空想
scrouge	推
computernik	电脑人员
genuinely	真诚
unleased	未租出的
aftermath	结果
extradural	硬膜外的
flank	侧翼包围
tasimeter	微压计
inchling	小生物
backlash	后冲
dna	Distributed
airsick	晕机
usability	可用性
menstrual	月经
fugue	记忆丧失症
bechuana	贝专纳人
sciurine	松鼠科动物
tinderbox	潜伏着暴乱或战争危险的人
buic	Interceptor
stretch	伸展
unsought	未寻求的
wolf	大吃
normally	正常
algebraical	代数学的
subrent	转租租金
jolterhead	笨人
tarnation	讨厌
coot	黑鸭
chemigraphic	化学镌版术
planigraph	图器
outhouse	外屋
character	使具有特征
polarity	极性
northwestwardly	向西北的
sterling	英国货币
tinge	风味
worldful	全世界所能容纳之最大容量
influence	势力
animality	动物性
splash	飞溅
treacherousness	奸诈
eskar	蛇丘
joad	流动工人
ionogram	电离图
dextrogyrate	右旋
seamanlike	海员般
numbness	麻木
franco	邮费准免
scratch	打草稿用
peck	啄痕
rejoicing	高兴
semideaf	半聋的
downstate	在州里的南部
wrongly	不正当
manicotti	番茄沙司烙通心粉
inconsistently	不一致
brassiness	黄铜
ravishment	强夺
workroom	工场间
fermentative	促起发酵
hematosis	生血作用
jeth	印度历的3月
