techy	易怒
talonavicular	距的
incorrigibility	难望矫正
foreseeingly	深谋远虑
impenitence	不知悔改
rite	教派
dies	死
incapsulate	压缩
dnb	National
fiducial	根据信仰
earthnut	块根
airstream	气流
phenocryst	斑晶
increately	原存
brand	牌子
unmeant	偶尔的
coonhound	猎浣熊的猎犬
mouser	捕鼠动物
barbadian	巴贝多的
amur	阿穆尔河
serenity	平静
seggie	=seg
crop	种植
goldenrod	秋麒麟草属植物
rsn	Real
willowy	苗条
pool	共享
tachysterol	速甾醇
holoparasitic	全寄生物的
wgmc	W
supremacy	霸权
suffosion	管流现象
gracie	格雷西
volatilizable	可挥发的
foreship	船的前部
nucleophilic	亲核的
jug	炖
consistorial	监督法院
shaggymane	毛头卑伞
imperscriptible	非官方
animatingly	有生气
reinsman	骑师
djawa	=Java
time	分期的
utter	全然
regress	复原
westbound	西行
auspice	前兆
catalo	家牛与美洲野牛的杂交牛
colligation	结束
guttiferous	产树胶的
leaper	跳跃者
suppurative	化脓性
relation	亲戚
fetoprotein	胎蛋白
nucleoprotein	核蛋白质
inbuilt	内藏
cinzano	沁扎诺牌苦艾酒
homeric	荷马的
second	助手
psoas	腰肌
bovine	牛
arrastra	用来磨碎金或银的研磨机
inapplicability	不适用
reference	涉及
absently	茫然地
asean	of
disharmonize	打破调和
liquidambar	胶皮糖香液
gameland	猎场
antique	古物
archangelic	天使长
biologic	生物学
cotyledonous	有子叶的
naiad	水中的仙女
mughouse	啤酒店
halt	立定
destructively	破坏地
leaven	酵母
foresighted	有先见之明的
encyst	把……包在囊内
sagittarius	人马图形
spaewife	女预言者
unaspiring	无上进心
trichinous	旋毛虫病的
bleomycin	博来霉素
dicky	恶劣的
salvoconducto	通行证
besieged	包围
buddybuddy	非常友好的
cutthroat	杀人的
fuzz	作绒毛状飞散
roadlessness	无路
vagabond	漂泊
raising	高地
ailment	不宁
wheatworm	小麦线虫
windup	结束
hebetic	青春期
uniform	均衡的
saditty	摆出优越神气的
hogback	陡峭的山
pherentasin	弗伦塔辛
thermometrical	寒暑表的
thermometrical	温度计
unplaced	没有入选的
autacoid	自体有效物质
unexamined	未经检查的
seasonal	季节性的
inflator	充气者
nationwide	全国性的
thuriferous	产乳香的
