praline	果仁糖
flowing	通顺的
rafferty	完全不讲章法的
chamotte	耐火黏土
mortification	禁欲
upbeat	欢乐的
dunbarton	丹巴顿郡
labdanum	劳丹脂
klipspringer	山羚
rebellion	不服从
fasten	扣紧
noncommittal	不承担义务
cataphract	古希腊之重装备战船
galtonian	高尔顿优生学说
nagoya	名古屋
rough	粗暴的
unbalance	紊乱
bountiful	慷慨
willowy	易弯曲的
milchig	乳制品的
lcd	Crystal
with	有
interpellation	要求说明
in	Intelligent
briskly	精神勃勃
nur	Railwaymen全国铁路职工工会
kidnapper	绑匪
dirtily	卑陋地
forgivingly	宽大
disclaimer	放弃
recollected	被回忆起的
shoreless	无限
morelia	莫雷利亚
supersound	超音
stegomyia	埃及伊蚊
fany	Yeomanry急救护士队
sternutative	喷嚏的
terrifically	可怕
reflect	反射
polling	投票选举
iatrical	医学
realize	了解
veranda	阳台
polymastia	多乳房畸形
imap	Internet消息访问协议
unregarded	不受注意的
lickerish	好色的
exorable	可用恳求打动
uricosuric	促尿酸尿
stagnantly	淤积地
unsuppressed	未压制
redirector	转向器
mortlake	弓形湖
saith	say
photoelectroluminescence	光控场致发光
upbringing	抚育
lurch	击败
timbul	鼓膜
ratable	应课税的
impeccance	无误
protectionism	保护主义
unliquidated	未例外的
fallage	伐木
aluminiferous	含铝
aggrieve	侵害
ritualize	使仪式化
jokul	雪山
twiggy	多细枝的
impercipient	认识不足
structuralist	结构语言学家
rearward	向后方的
take	捕获量
nondescript	无可名状
schvartzer	黑人姑娘
marked	有记号
separate	分开
puttyblower	射豆枪
celeriac	块根芹
dormer	老虎窗
fishfag	卖鱼女
reconcilability	一致
lithostratigraphic	岩石层位I^rEfI/
pettifogging	诡辩的
spreadsheet	电子制表软件
allantoic	尿囊的
evenminded	沉着
iaf	国际宇航联合会
acyclic	脂肪族的
esthonian	爱沙尼亚人
oilily	油似地
segregative	不喜欢交际
zombie	生性怪癖的人
coward	胆小的人
holding	财产
nonpolitical	非政治性
requin	=requiem
pattern	样品
antiradical	反激进主义的
sacral	祭典的
minacious	威吓
leather	皮革
nidget	白痴
denunciator	非难者
unequivocable	毫不含糊的
magnesic	镁的
anvil	砧骨
visionally	梦幻般地
ivied	常春藤遮盖着
keeler	用来测量液体的容器
cultivated	有教养
ue	Electrical
quarte	四张同花顺
diminutive	小的人
bummel	漫步
bluesy	布鲁斯乐的
immunocompetence	9ImjJnEJ`kCmpIItLns/n免一钚
angelophany	天使显现
hydroacoustic	水底传音
sheila	少女
untaught	没有学问
biennially	每两年
crookery	诈骗
capsule	太空舱
uninvoked	未被祈求
franciscan	圣芳济会的修道士
essentialist	基本教育说
upsala	=Uppsala
caravaggesque	卡拉瓦乔的
mistaken	错误
blowzy	红脸
eldorado	理想中的黄金国
deathplace	临终之地
demarcative	分界的
hemimetabolic	半变态
nonrecurrent	不复发
churchwoman	女信徒
magnetotactic	有磁趋向性
thievery	偷窃
hesitation	犹豫
npv	p
sonicguide	=sonic
vistadome	有观景车顶的客车车厢
mistress	主妇
icosidodecahedron	三十二面体
herbescent	草本
gloss	注释
goby	虾虎鱼
incaution	粗心大意
macropodous	大胚轴的
fibroid	纤维性
scallawag	饭桶
vertu	爱好古董者
jewbaiter	迫害犹太人者
bromouracil	溴尿嘧啶
sansom	桑塞姆
push	进取心
snallygaster	斯纳利加斯特
unifilar	单线组成
indiana	印地安那州
acceptable	合意的
physiocracy	重农主义
steatite	块
chessman	棋子
lucre	收益
doofunny	=dofunny
probational	试用
postiche	硬加
palpal	须的
sedately	镇静
speedometer	速度计
stonecrop	景天
duodenary	十二倍的
cupper	用吸器放血者
leeway	回旋余地
mycelioid	菌丝体状
dna	acid
idle	懒惰
vesuvian	火山
woodbox	=woodbin
coralline	产生珊瑚
interstellar	星际的
inspiratory	吸气
indissolubility	永续性
putsch	造反
thermoscope	验温器
ablator	烧蚀挡板
abundant	丰富的
scurrilously	粗野无礼地
extortive	强求
gruffly	粗声地
residency	住处
voltaic	电流的
ensorcel	蛊惑
hystricomorphic	豪猪型亚目的
stoplight	停止行进号志
hurtless	无害
damnum	损失
torridity	炎热
resume	重新开始
vibratory	振动
decollete	低颈露肩的
antitrinitarian	反对
spode	斯波德陶瓷
hazard	冒险的事
frass	幼虫的粪便
kept	keep的过去式和过去分词
siesta	午休
complemental	补足的
liquescent	易液化
ndea	国防教育法
bluntness	率直
connotative	隐含
grinding	碾
pocket	隐藏
univalve	单瓣的
aerolith	陨石
sulfureous	硫磺质的
consultation	会诊
plasticine	塑像用粘土
britannic	大不列颠
eventuate	结果为
bicker	闪动
pintle	枢轴
darkling	令人可怕
kuznetsk	Basin
afraid	担心
precipitate	陡然下降
telodendrion	终树突
trunk	箱子
slipslop	伤感的话
media	媒体
filthily	不洁
footle	浪费时间
opponency	对立
ingrained	彻底
coloration	染色
sediment	沉积
choice	上等
therapy	治疗
diabetic	糖尿病
rubdown	按摩
dialectal	方言的
everglade	沼泽
northabout	向北
proprietary	所有的
invocatory	祈求
luminarist	外光派画家
direct	直率
undertake	采取
doyen	首席
gruel	使精疲力尽
bareboat	空船
worshipful	值得尊敬
batten	板条
animalization	兽性化
afs	Auxiliary
momently	暂时
zeebrugge	泽布勒赫
aid	Association
thornlike	象刺一样
unshaded	无光度或色泽差别
smack	拍打
ratepayer	地方税纳税人
reable	使复原
mailcatcher	邮包取送器
extinguishable	可熄灭的
desirability	希求
quadriplegic	四肢瘫痪
debilitate	使衰弱
wired	以线加强的
bowerbird	澳洲产的一种鸟
subversive	颠覆性
creel	捕虾篮
gynaecoid	具女性特点
superior	高傲
lipopectic	脂肪固定
echo	随声附和
cap	amplitude
hansel	贺礼
antitrade	反贸易风的
tufa	泉华
actually	竟然
snickersnee	短刀
cutesy	矫揉造作的
ruthful	悲哀的
interoperability	/互用bIlEtI/互用性
ptolemaic	托勒密的
rhizoctonia	丝核菌
cortex	皮质
nutsy	发狂的
byelaw	规则
myopia	近视
houselessness	无家
biggish	颇大
sewage	装下水道于
lighting	舞台灯光
devilish	精力旺盛
camerist	摄影师
cered	有蜡膜
scleroblast	骨针细胞
ever	究竟
burghley	伯利
sternness	严格
sulcate	有沟
cochleate	螺旋形的
spitsticker	船首形木刻刀
nontraditional	不符合传统
halfway	在中途
embroidery	装饰
confusedly	混乱
variant	变量
beatlemania	披头士狂
jointer	接合人
braggadocio	自夸
loment	节荚
wiseass	alec
convivial	欢乐
kook	疯子
climatization	顺应气候
triquetral	三棱
rifle	用步枪射击
icrp	Protection
sexualize	使有性别
dulosis	奴役现象
archducal	大公爵的
rabelaisian	粗俗幽默的
magnify	赞美
infinite	无限的
reviewable	应检查的
dominion	主权
classfellow	同班同学
irreversible	不能撤回
position	阵地
electrograph	电雕刻器
swipes	味道平淡的低级啤酒
preliberation	解放前
lovesick	害相思病的
aestivate	过夏季
degasify	排除……的毒气
snugly	尚可的
sociobiology	生物社会学
amortization	分期偿还
exhaust	耗尽
dsrv	深潜救助艇
beech	山毛榉树或其木材
entomology	昆虫学
cissy	脂粉气质的男人
unbefriended	无朋友的
suffocatingly	令人窒息地
reload	再装填弹药
salable	适于销售
scintigraphy	闪烁扫描法
radiogoniometry	无线电测向术
vmd	Medicinae
servicing	维修
cytogenetical	细胞遗传学的
oracy	口语能力
mastership	熟练
straightness	率直
cliquy	私党的
esol	Languages
abortion	中止
innocuously	无害
sporulate	使变为孢子
unpracticed	不熟练
march	行军
amoral	超道德
looper	作线环的装置
sedimentable	可沉淀
tame	被开垦的
rigmarolish	胡言乱语
guesstimate	瞎猜
melinda	梅林达
subequal	几乎相等的
provisional	临时的
kiribati	基里巴斯
petrol	汽油
captainship	首领或队长之职
clabber	凝乳
meromorphic	亚纯的
actinomorphous	放射状的
whet	磨快
yabby	小形螫虾的一种
unprohibited	未阻止的
depart	逝世
iatric	医疗
holocrine	全泌的
meretricious	华丽而庸俗的
housewife	主妇
acclivous	向上斜
purport	声称
smart	精确的
evadingly	躲躲闪闪地
tymbal	鼓室
hieland	易受骗
proverbially	如谚语所说
overdare	行事过于胆大
diastereomer	非对映异构体
hz	hertz
sforzando	强调音符
lionhearted	勇猛
altogether	总而言之
helsingfors	=Helsinki
nameless	不知名的
niigata	新滹
wily	老谋深算的
prohibitory	禁止的
denotation	指示
dodo	古代巨鸟
strictly	确实
fancy	想象
migration	移民
booking	预约
numbhead	=numskull
actionist	行动主义者
marriageability	结婚适龄
testaceous	贝壳质的
rascally	无赖地
hohhot	呼和浩特
gothicism	哥特式情趣
sponge	海绵体
thetford	ware
vedic	吠陀梵语
unretarded	未推迟
descending	递减
voluntarily	以自由意志
complot	共谋
gangsterism	歹徒及其犯罪行为
hobbyhorse	摇动木马
exclaim	大声叫
square	成直角地
inappellable	不得上诉
scraggly	凸凹不平的
literality	直译
benignantly	仁慈
cockalorum	小公鸡
harmoniously	和谐
pettitoes	脚
actinochitin	放线菌壳多糖
carefree	无忧无虑的
nameless	难以形容
wolf	猎狼
unambiguous	明确的
meteor	流星
loudmouthed	高声讲话的
anechoic	无反响的
essentic	有表情
robe	礼服
nhra	Hot
powwow	巫师
petrification	化石
harrowing	痛心
untold	未说过
circumoral	在嘴边
impactful	有效的
ass	笨人
interested	有成见
incognito	隐名埋姓的
ectoparasite	外寄生虫
dcvo	Dame
lentoid	透镜状结构
lithology	岩性
cerebral	脑的
deliquescent	溶解
bridewell	感化院
adiaphorism	广教主义
inefficiency	无效率
decretal	教令
brushwork	画法
windblown	被风吹斜的
blatant	俗丽的
matchmaking	火柴制造
prey	折磨
precontract	预约
crackled	有脆皮的
eutrophic	发育营养正常的
caulome	茎的结构
tsoris	麻烦事
pyroborate	=borax
trotty	活泼的
beplaster	布满
tantalise	=tantalize
vain	空虚
clothes	衣服
royston	冠鸦
injuriously	伤害
undulatory	波动
freeborn	自由民的
unmerited	不当
playstation	游戏站
preincubation	预孵化
emplane	装上飞机
comprehensivize	使
pragmatize	合理地解释
stampede	惊跑
tremulant	=tremulous
diminutive	爱称
stannous	含有锡的
fatten	使肥胖
unformulated	未系统地阐述的
duettist	二重奏者
gular	咽喉
unspilt	未流出
flounder	辗转
arrhythmically	没有节奏
strain	过度的疲劳
blanky	少用
impatiens	凤仙花属植物
trebuchet	投石机
incendiarism	煽动
frater	兄弟
devocalization	清音化
nervine	有镇定作用的
rack	榨取
niersteiner	尼尔施泰因白葡萄酒
maribor	马里博尔
bft	Transfer
railsplitter	劈木头作为栏杆者
prattle	说半截话
unequally	不公平
criminal	犯罪的
mgd	million
antarctic	南极
cornuted	有角的
encephalic	脑的
deerstalker	猎鹿人
characterless	不出众的
impertinently	不礼貌地
gasifiable	可气化的
undersurface	水面下的
gastrotrichan	=gastrotrich
bios	Input
dou	Gerard
basal	基部
dieffenbachia	花叶万年青
geocentrical	以地球为中心
mazurka	玛祖卡舞曲
turboelectric	用涡轮发电机
carbonylic	羰基的
inquirer	调查者
sulfurate	如硫磺
fabricate	虚构
hortative	忠告的
pleonastic	冗言的
sleazy	质量差的
kotka	科特卡
terror	恐怖
masterstroke	妙举
radiantly	清朗地
actomyosin	肌动球蛋白
plebeianize	使粗俗
omnimane	每天早晨
outlook	风光
jauk	拖延
hawk	放鹰
mummer	哑剧演员
perfect	正确
vicereine	总督夫人
fat	肥肉
unvexed	安详的
cpi	Price
cetacea	鲸类
actual	现行
inextricably	逃不掉地
yardman	场地工人
whoseso	whoso的所有格
slimly	苗条地
function	活动
photodramatist	戏剧片编剧
falangist	长枪党党员
unionist	工会会员
youthfully	年轻地
vigoroso	强地
delphi	特尔斐
genteelism	上流的谈吐
finely	细微
pose	摆好姿势
circumcolumnar	绕着圆柱的
causeless	偶然
khanate	可汗的领土
fiat	法令
imagery	雕刻
peasantry	农民
leucocyte	白血球
liberative	释放的
amortisation	摊还
careworn	饱经忧患的
liquorish	美味的
subsaturated	不完全饱和的
erda	Development
taedong	大同江
prosperously	繁荣
omniscient	无所不知的
account	说明
reinforce	求援
fullmouthed	大声
aggregation	集合
angry	愤怒
inseverable	不可切断
futuramic	未来型的
elam	埃兰
paralympics	原为脊髓病患者举行的运动会
dioptre	屈光度
irrepressibly	镇压不住地
surjective	满射
glauconite	海绿沙
peace	安宁
offwhite	灰白色的
megadose	给予……大剂量
minimal	最小的
gleam	隐约地闪现
landzone'	NULL)
lorryhop	沿途免费搭乘卡车旅行
chemosmotic	化学渗透现象
crowned	王室的
inquiring	爱追根究底的
gloomy	阴郁的
fidelism	=Fidelismo
bleaching	漂白的
unimplemented	未实施
pose	姿势
reconcilable	可和解
surgical	外科病房
discrimination	区别
banausic	实用的
odt	Defense
witty	富于机智的
rejoicingly	高兴
skeptical	怀疑性的
umbral	阴暗的
encephalic	头
winceyette	棉绒
gooney	bird
graphemic	字形
doohickey	装置
discredit	耻辱
sir	爵士
diffusedly	散布地
thermoremanent	热顽磁
unturned	未颠倒
conferment	商量
chaliced	杯中的
autoregulative	自动调整的
pane	边
independent	不受约束
feeling	仁慈的
plodding	沉重缓慢的
agedly	老年人似
molwt	molecular
knowable	可知的
compunctious	惭愧的
cheep	吱吱地叫
unrope	解开绳索
autocue	自动提词机
nonbank	不由银行办理的
aerobatic	特技飞行的
tenebrionid	拟步甲科昆虫
preterlegal	不合法
amy	艾米
lifeless	无生气
desiccant	使干燥的
overcome	克服
andalusia	安大路西亚
houseplace	大起居室
chocolaty	加巧克力
iodine	碘酒
mosso	活跃
ahimsa	不杀生
especially	尤其
shad	西鲱
aneroid	不利用液体
infer	推断
starflower	开星状花的植物
suzerain	宗主国的
ywis	=iwis
abroach	开口的
cpc	China
lighting	点火
pronghorn	叉角羚
crenulated	细圆齿状
prosper	兴隆
cyclopic	独眼巨人般的
feces	屎
distressing	使烦恼的
anabaptism	再洗礼
tristful	阴沉
faint	软弱
vulnerate	伤害
conjugal	结婚的
thermophil	适温的
precursive	=precursory
replacement	复位
sedulous	坚韧不拔
hyperphagic	贪食的
tenpence	十便士
vibrator	振动器
sticking	有粘性
recreant	怯懦的
protest	抗议
dibasic	二盐基的
inartistic	缺乏艺术性
uncontested	无竞争的
showman	马戏团的老板
insurgence	起义
rare	半熟的
cataphyll	低出叶
mean	意谓
donga	峡谷
martialize	使具有尚武精神
roar	吼叫
ferric	三价铁
muciferous	生黏液的
fastidious	苛求
epithetical	浑名
oestrous	诱发发情的
fauna	动物区系
shockingly	怕人地
jokey	好开玩笑的
rhetorician	修辞学者
promptive	推动的
swarthy	浅黑的
biogenic	源于生物
unprevailing	徒劳
pilgrimize	使成为朝圣者
megimide	贝美格
volley	齐发
scruple	犹豫
overflow	超值
midian	米甸
misfire	不发火
acidy	有些酸味的
expositive	解释
ilk	相同
easiness	舒适
taphonomy	埋葬学
interlingua	国际语
tan	晒成褐色
superb	华丽的
lappet	垂片
inexplainably	难解说
monotrichous	单鞭毛的
optics	光学
histiocytic	组织细胞
joint	接缝
monarchial	帝王风度的
cynical	愤世嫉俗
plenteous	丰饶
peregrination	旅行
unprovided	无供给的
breccia	角砾岩
deviltry	残暴
bushy	灌木茂密
torture	曲解
remember	纪念
preproduction	试制的
noninitially	不是起首字母
tularaemia	土拉菌病
hammurapi	即Hammurabi
logos	圣子
pity	可怜
erode	逐渐消蚀掉
vatic	预言的
preheating	预热
zooflagellate	动鞭亚纲原生动物
preagricultural	农业社会前的
harmlessly	无害
croquis	草图
mammalia	哺乳类
palatably	美味
zibet	大灵猫
outdoorsy	适用于户外的
sensualise	=sensualize
ethnographer	人种学者
dagoba	佛骨堂
incisive	深刻的
unmarry	和……离婚
unacquirable	不可取
lexloci	地方法律
show	展出
lapactic	促泻的
nitric	含氮的
hopeful	有希望
betcher	=bet
commonplace	平凡
sentence	宜判
ost	Technology
rollered	装在滑轮上
landsting	两院制议会
villainous	坏人似
africanism	非洲文化研究
chuffy	不高兴的
niff	臭气
study	试图
swart	有害的
lymphocyte	淋巴细胞
grizzly	呈灰色
mediatize	使成为间接属国
bloodshot	有血丝的
camlet	羽纱
lizzie	早期的福特汽车
scout	搜索
backstop	支持物
sheepskin	羊皮
tawie	顺从
retinoblastoma	眼癌
isostatic	均衡说的
bouffe	滑稽
multiflash	使用多个闪光灯拍摄
transflux	流过
arteriolar	小动脉
rumpus	吵闹
sandhi	连接音变的
nota	背板
adytum	内院
sentence	句子
fixture	工作夹具
incept	起始
runch	charlock
intermarriage	异族结婚
hedgepig	刺猬弹
obduct	将挤压至另一板块之上
petrographical	岩相学的
amentiferous	具葇荑花序的
uncannily	惊异
triphibian	海
icefall	冰崩
flabbily	无生气地
aeroacoustics	空气声学
sainted	德高
chronic	慢性的
anthography	花谱
indented	锯齿状
smallholding	小农地
fractious	脾气不好
usual	惯例的
neanderthaloid	有尼安德特人体形特征的
paint	颜料
macabre	令人毛骨悚然
godwinian	持戈德温见解者
cave	洞穴
chemosterilize	用化学绝育剂使
tonsillitis	扁桃腺炎
compelling	引人注目
unlawfully	不正当地
beanball	击中打击手之头的球
sciurine	松鼠科的
pie	喜鹊
coeternal	同为永远
deflationary	放出空气的
perjured	伪证
mitten	棒球手套
vallation	筑城术
cessionary	受让人
graphomaniac	书写狂者
calling	点名
carshops	车辆修理保养厂
sunny	照耀的
dowse	探寻水源或矿藏
riser	起床者
unassuming	不装腔作势的
cobwebby	蛛网似
amphimictic	两性融合的
suctorial	吸吮的
fibrinous	纤维蛋白
cerebrotonic	表示大脑紧张型特性的
validity	正确性
realistic	现实的
pig	生小猪
daintily	难以取悦地
agravic	失重
skyey	高耸云霄
gilly	男仆
intervene	干预
vinification	葡萄酒酿造法
chief	主任
wakashan	瓦卡希语组
scholastic	经院哲学家
failure	失败者
tenant	承租人
thallous	铊的
shivery	寒冷
corporate	社团
sig	Special
revaccination	再接种疫苗
anglocentric	以英格兰为中心
kindergarten	幼儿园
cosey	安逸
allness	全部
related	叙述
argillaceous	似粘土
innutrient	营养不良
staphylotomy	悬雍垂切除术
seedsman	卖种子的店铺
gussy	粉饰
bacteriolysis	细菌分解处理
semiarboreal	半树栖的
incandescence	白热
pediment	山形墙
cherry	樱桃树
iba	Independent
gwine	go
acquisitive	有获得可能性的
synonymic	=synonymous
cpc	Party
bluebonnet	蓝色的呢绒帽
unconventional	异常ly//
laddie	年青人
taperstick	小烛烛台
confucian	儒家
wholesaler	批发商
gentile	非犹太人
northwards	朝北
ultimate	根本的
satanize	使变得邪恶
ingressive	进入的
supper	晚餐
southwesternmost	最西南
spermatophorous	精子包囊的
ethnoarchaeology	种族文化考古学
publisher	发行人
porphyropsin	视紫
involucrate	有总苞
concessional	让步的
pentastyle	五柱式的
linguini	扁面条
dustheap	默默无闻
powerful	有力
bahaism	大同教
break	休息
glazier	装玻璃工人
moline	风车式的
moabitess	摩押族的妇女
parajournalism	异常新闻
tenebrous	晦涩的
piracy	非法翻印
haptical	由触觉引起
arraignment	提问
tracheal	导管
mum	沉默
intercellular	在细胞间
dungy	肮脏
filterable	可滤过
shrewdly	机灵
belligerent	好战
chinoperl	Oral
avitaminosis	维生素缺乏症
barred	被禁止
kiddle	鱼梁
multipurpose	多目标
temporary	暂时
datacenter	资料处理中心
bmx	bicycle
fatuity	昏庸
pinocytic	=pinocytotic
apocalypticism	启示论
infantilism	幼稚症
afrikanerdom	南非白人界
fixedly	不变
agitational	鼓动性
service	仆人的
denish	丹麦的
sweaty	吃力
anytime	任何时候
con	记诵
constabular	保安队的
sig	Interest
gymnastic	体育的
bacchic	喧闹
timeous	=timely
dae	of
fitch	臭猫毛
ailurophile	养猫的行家
bedewed	为……所沾湿的
funny	滑稽人物
halomethane	卤代甲烷
benedick	新婚者
chargeable	可充电
mercantilism	营利主义
spatial	空间
pray	祈祷
circulator	循环器
demonic	恶魔
gsm	一种数字移动电话系统
arty	装艺术的
bowyer	制弓匠
drizzly	下毛毛雨的
engage	预定
uh	half
jaundiced	有偏见
thanks	谢谢
osmidrosis	腋臭
nectared	有花蜜
mrna	messenger
garrya	嘎瑞木
cid	首领
recrementitious	垃圾造成的
halfway	半路地
hent	目
counterdrain	副阴沟
deciliter	1/10公升
vim	活力
hant	常到之处
hummer	发嗡嗡声的东西
abiotic	无生命
domineering	极权的
fluey	绒毛似
physiognomic	相术
serviceability	适用性
debark	使下船
square	直角的
discriminatorily	有区别
greatest	最好的
damoclean	达摩克利斯
climatically	风土上
excoriation	表皮脱落
backbiter	背后诽谤者
alackaday	哀哉
mediumship	灵媒
blacksnake	皮鞭
superimpose	添加
headword	中心词
loggerhead	铁球棒
unmeasurable	不可测
noisy	吵杂的
weakly	软弱地
beagle	小猎犬
antacid	抗酸剂
trickster	魔术师
dense	密集
mtu	Mobile
mineralold	似矿物
buxom	体态丰满的
dormin	休眠素
fiver	五镑钞票
irksome	讨厌的
ndea	Act
champion	战士
bengaline	孟加拉织品
photolyze	用光分解
lappic	拉普兰
foxed	变色的
chronically	慢性
extrusion	赶出
calculate	打算
unsuspecting	信任的
epee	重剑术
rocksy	地质学家
trunk	躯干
biomass	生物的数量
thermotropic	向热的
dealer	商人
courtlike	高雅的
duplicate	两倍
nodus	结节
prefab	预制
knottiness	难题
humidifier	增湿器
limation	磨光
monostome	具单盘的
rousseauesque	具有卢梭风格的
lamprophyre	煌斑岩
capriciously	任性
shorthorn	新来的人
adiaphorism	不置可否论
methodical	有系统
vernation	多叶卷叠式
bushtit	丛山雀
dexiotropous	向右
face	地形
diplacusis	复听
assure	担保
straggling	脱离队伍的
twybill	=twibil
beaver	海狸
edo	Data
obfuscate	使迷乱
auc	founding
hesped	悼词
blueing	带青色
panjandrum	大人
antagonistic	反对的
account	估计
traumatic	创伤的
delir	陷入谵妄状态
inhumane	残忍
hardcore	赤裸裸描写性行为
vat	在大桶里处理
ubiquity	普遍存在
loyalize	使忠诚
malaceous	苹果科
presence	存在
argufy	说服
fearfully	非常地
outshoot	旬曲线球
