stricture	责难
theopathetic	神意感应
calendarian	日历的
surliness	险恶的天气
hermit	隐士
clabber	凝结
hatty	Harriot
speculum	反射镜
cdgps	Global
dimensional	空间的
groin	使成穹窿形
prostatotomy	前列腺切开术
undefended	无防备
hydromedusa	水螅水母
wash	洗
otherworldly	来世
ensate	剑状
mocky	犹太佬
cobbly	用鹅卵石铺的
vlsi	超大规模集成电路
scholastic	学究
epitaph	碑文
astronomic	星学
fatheaded	愚钝
epilator	拔毛者
nasality	鼻音性
convulse	使抽筋
mel	蜂蜜
millenarian	一千年
lassen	Peak
linsang	麝香猫
witted	头脑……的
nonviolently	非暴力地
nephelite	=nepheline
shoppe	专柜
unjoined	不连接的
ditch	沟
province	省
cinq	=cinque
intuitivism	直觉知识
pyrolyze	使热解
anglia	英格兰的拉丁名称
plainclothesman	侦探
loneliness	孤独
demythologise	=demythologize
bulkily	庞大
tophamper	桅上的帆桁等物
delusive	欺骗的
slither	不稳地滑动
obtusely	圆头地
rhapsodic	狂想曲的
laughton	劳顿
exculpation	使无罪
plumbiferous	含铅的
eudaemonic	幸福学的
wnp	威尔士国民党
kilogrammeter	公斤米
disfavor	不悦
preludial	序言
uniflow	单向流动的
ingenuously	率直
littlish	较小的
palaeoanthropic	古人
regret	悔恨
afeared	恐惧
hardtop	室内电影院
gneissose	片麻岩
caudal	尾部的
garbage	废物
swinger	赶时髦的人
arpa	Agency
ptolemaic	托勒密
winning	赢得物
affluently	流畅
priestcraft	神职者的谋略
claudicant	跛
thalassic	内海的
to	比
ravenna	拉文纳
bricole	投石器
filamentary	似丝
pony	付清
slade	and
tabourine	=taborine
enthral	迷醉
subhumid	半湿润气候
faultfinding	喜欢挑剔的
effortful	需要努力的
jetboat	喷射艇
ludicrous	愚蠢的
carissima	亲爱
insulation	绝缘
namable	著名
sarsa	由撒尔沙根中提炼的药
chert	燧石
rubstone	砥石
alluvium	淤积层
woodworking	干木工活的
swim	游泳
halfhourly	半小时
neoconservative	新保守派
zone	分成区
alight	点着
audacious	大胆创新
upswing	高涨
duvetyne	混纺毛织品的一种
handle	触摸
wee	微小
derange	扰乱
rigid	刚硬的
thecae	膜
bobtail	截尾的动物
oxycarpous	有尖刺果的
supposable	可想象得到
schoolroom	教室
moonlet	小卫星
neatherd	牧牛人
posb	post
fissive	分裂
reticula	错综复杂的
bop	从容地走
unmalicious	非恶意
typology	类型学
vanishingly	消遁似
francophile	亲法的
affected	受到影响的
dethronement	废位
polyspermous	多种子
cocky	自大的
mixt	mix的过去式及过去分词
mna	Master
co	Colombia
aarnet	Academic
scheme	图谋
devastating	破坏性的
asinine	象驴一样
pretty	可爱的
snaphaunce	早期燧发机
miscounsel	误劝
thylakoid	类囊体
desolate	荒凉
inquiring	咨询
deceivable	可骗
bacteriostasis	阻止细菌繁殖法
ultrashort	超短波
toothsome	好看
mre	of
chromatid	染色单体
lacedaemon	古代斯巴达的别称
cigarette	香烟
joyously	快乐地
lophobranch	Ⅰ
yeomen	自耕农
byob	bring
obconical	倒圆锥形的
epicurean	享乐主义者
minimus	微小的
valetudinarian	有病
mauve	紫红色
dross	渣滓
sjaa	Ambulance
undivested	未被脱去
briny	咸
lippy	爱顶嘴的
cogent	强有力
photoinduced	光感生
ishmaelite	被逐出者
seric	中国的
unilocular	单室
calcium	钙
boldface	粗体铅字
gastrology	烹饪学
carry	被携带
cratered	有坑洞的
daintily	难以取悦
nasty	凶相的
prolegomenon	前言
glassworm	=arrowworm
unfortunate	不幸的
henhearted	怯懦
graphotype	白垩版
sweeping	彻底的
auc	year
assistant	辅助
lilongwe	利隆圭
scirrhous	硬癌的
show	出示
railing	栏杆
dona	太太
hereupon	因此
contrariously	相反地
syph	=syphilis
over	上面
clothesman	旧衣商
gaping	多洞穴的
faciolingual	面部与舌
ekman	dredge埃克曼采泥器
plead	恳求
unlighted	未被点燃的
qei	erat
neoprene	氯丁橡胶
veil	遮蔽物
saxicolous	岩栖
premonstratensian	普雷蒙特雷修会
liquefactive	引起液化的
unrent	不受侵扰
rail	抱怨
enlistee	士兵
thermophil	喜温生物
stratoscope	同温层观测镜
marburg	disease马尔堡病
unremitted	继续不断的
bibliomania	藏书狂
slade	Engravers
escapeproof	防漏泄
empiricism	经验论
standing	常备
leftward	在左方的
icaaaa	Amateur
arrowheaded	镞状
laying	产卵数
primrose	淡黄色的
carmine	洋红色
salutatory	祝词
still	静止画面
oxo	含氧
undimmed	不暗淡的
nonnasally	非鼻地
audiometric	听力测定的
asepsis	灭菌法
phytoflagellate	鞭毛藻
boniface	小旅店的老板
kolo	科洛舞
brinded	有斑纹
tax	使负重担
rightly	正确地
muscoid	苔藓状
presentational	直觉的
derma	烤牛香肠
baalism	太阳神崇拜
hakea	哈克木属植物
fatherland	祖国
poppy	罂粟
chitarrone	基塔隆尼琴
yeastlike	似酵母
detorsion	弯曲器官的变直
impreg	浸渍木
meliorable	可改良的
abscond	潜逃
rapture	全神贯注
nonrecurring	不重现
fuck	与……性交
eventful	多事
taurin	=taurine
brassy	厚脸皮的
appreciatory	欣赏力
mythicize	视为神话
thinnish	较细的
skyward	向天空地
quit	辞职
reinless	无缰绳的
feudist	结下世仇的人
encyclopedic	如百科辞典
arterial	动脉
defaecate	澄清
roughhewn	草率
reviviscence	复活
wisperer	咬耳嚼舌者
imbower	憩于树荫
vlcc	carrier
electrologist	电蚀医师
design	纲要
coastward	向海岸地
silentious	沉默寡言的
vanuatuan	瓦努阿图
penetration	突破
saree	纱丽服
certificate	以证书形式授权给……
reject	否决
tangent	切线的
subfossil	亚化石的
vivify	使生动
uncap	打开
chargehand	工头
lapp	拉普兰人
gangdom	匪徒及其行为
electrosol	电溶胶
nonperiodic	非周期的
haematogenous	生血
complete	完成
uninquiring	不打听的
conventionalise	膎ventionalize
townet	拖网
soviet	代表会议
chromophotograph	彩色照片
cyclonic	飓风
pinnated	羽状的
uintaite	硬沥青
chineselantern	plant酸浆
myself	我本人
ergometer	测功计
rug	垫子
curlypate	有鬈发的人
urea	尿素
accusingly	责难
emotively	动情
innerve	使活跃
festucine	浅黄色的
topically	总论地
purvey	供给
separate	分散
thriftlessly	不节俭地
devoted	深爱的
panhandle	狭长的土地
connatural	先天的
dichroitic	二色性
unswathe	拆开
drogher	与此类似的船
assumptive	假设的
emergent	自然发生的
crooknecked	曲颈的
cinerous	灰色
cusp	尖头
nyse	纽约证券交易所
caplet	囊片
segue	继续
grisly	可怕
elegance	优雅
isocephalic	人像头部等高
slavish	卑屈
imbecilic	低能的
involve	笼罩
monolog	独脚戏
fungin	菌纤维素
themselves	她们自己
mshe	Home
underwood	树林下的草丛
dissector	解剖者
gneissic	像片麻岩的
lymphopoiesis	淋巴细胞增殖
sheriffdom	郡长等的管区
gama	grass鸭茅状摩擦禾
hiking	徒步旅行
broodmare	传种母马
benzene	苯
discrete	离散的
syllogism	演绎
fine	美好的
twopenny	低廉
founder	翻沙工
weatherboard	护墙板
plated	镀金的
perversive	颠倒
already	已经
anoa	小野牛
etr	外部数据传输速率
pale	苍白
orbicular	完整
ballproof	子弹打不穿
locale	场所
accurst	被咒的
orphean	迷人
argent	象银的
reen	沟
equatorial	赤道仪
say	发言权
bystander	看热闹的人
ferox	大湖鳟
rigor	苛刻
jury	临时应急
unduly	过度地
phosphorylate	使磷酸化
mystagogic	解释神秘的
neomorphic	新变体
religionary	宗教的
criterion	规范
junkyard	旧汽车丢弃的地方
voluminous	丰满的
crudification	粗制滥造
penannular	形不成闭环
hetaera	名妓
wise	狡猾
shakily	虚弱不堪
zither	筝
botb	英国海外贸易局
monovalent	单价的
drink	酗酒
successivity	依次相继
shirring	装饰性的褶带
pasta	意大利面食
nsf	国家科学基金会
ichthyologic	鱼类学的
preconquest	被征服以前的
tritish	有点陈腐
supremacy	无上
stellenbosch	调离要职
polycondensation	缩聚
chinar	悬铃木
subservient	奉承的
host	当主人招待
unpeace	不安静
loculus	胞
blocking	舞台场面设计
pneumatic	汽力
contract	使缩短
pronto	急速地
wardership	看守人
puddinghead	愚人
superciliary	眼睑上
sound	使发声
torreyite	羟镁锰锌矾
indivisibility	不可分割
nccj	of
trochilus	埃及斑珩
wateriness	平淡
preteen	13岁以下
brigatisti	"
dialectology	方言研究
unintelligible	难解
boycott	联合排斥某国货物或与某国绝交
winning	动人
unwakened	未觉醒的
affirmatory	确定
nubia	努比亚
uninhabited	无人居住的
cuticular	表皮
mammogen	乳腺发育激素
speechless	不能说话
rising	起立
will	必须
calculated	有计划的
adrenotropic	促肾上腺的
foretop	前桅楼
monumental	不朽
pix	检查重量和纯度
ductile	易教导的
fumarate	延胡索酸盐
interstrain	不同品系间
carcinogenic	致癌物的
decapitation	斩首
umbriel	天卫二
redoubtable	可怕的
aca	特许会计师学会准会员
pickwickian	匹克威克
quebracho	白坚木
scratch	凑合的
gummous	树胶
chorale	赞美诗
cellule	小细胞
swanky	爱出风头的
schoolyard	校园
postpositive	后置的
actinoid	放射线状
caritas	博爱
saponated	与皂化合
maritime	海上的
extern	外来
fashionably	时髦
penutian	佩纽蒂语群
perimorph	被壳矿物
immetrical	无韵律
circumspection	慎重
attrited	磨损
megadose	大剂量
carlist	拥护卡洛斯争取西班牙王位者
entail	使承担
zilch	无
simplism	简化主义
dishonorably	卑劣地
chileanize	使置于智利政府控制之下
aerotherapy	=aerotherapeutics
cppcc	People''s
tribeswoman	部落的女人
preventible	可阻止的
twig	了解
corneous	角状
enargite	硫砷钢矿
ilk	家族
nantz	白兰地酒
snick	刻细痕于
ferricyanide	铁氰化物
trust	热望
freemasonry	共济会的组织会员
clearsighted	聪明的
philhellenic	亲希腊
weasel	告密者
introspective	反省
murrhine	默勒石的
strangulation	压缩
predate	提早日期
multimegaton	有数百万吨级爆炸力的
argentine	银色
endymion	恩底弥翁
proteinous	=proteinaceous
compilatory	编纂的
swimfeeder	水下给饵器
priscan	涉及古代
morphinize	用吗啡治疗
geophyte	地下芽植物
dishoard	抛售囤积货物
hypersuspicious	极其多疑
thermodynamic	热力学的
tisza	蒂萨河
rework	重写
steeper	险峻
ridgelike	如脊
muster	阅
upmost	最高
downcast	气馁
caveator	申请中止诉讼手续者
endarterium	动脉内膜
calceolaria	蒲包草
slowpoke	行动迟缓的人
debited	记入借方
unerringly	正确
jefe	政界领袖
sweatiness	出汗
illusively	错觉
defocus	使散开
zoologize	研究动物
voluntary	志愿的
retail	零售的
binding	捆绑
ruridecanal	乡村主任牧师的
niobic	含铌
monstrous	凶暴
moist	潮湿
patriarch	最年长者
testaceous	贝壳质
escapist	逃避现实的
osmanli	土耳其语
unlock	开启
vial	小瓶
outstretch	伸出
zymosthenic	促进酵素作用的
molding	成型
bodyshell	车身外壳
vive	活泼
obscurity	隐匿
logroll	互相捧场
shadberry	唐棣
decree	法令
choosing	选择
tearing	撕开
equanimousness	镇定
cool	无所顾虑的
kuwaiti	科威特
undecagon	十一边形
fast	紧
sesquipedalian	多音节的
undefiled	纯粹
strychninize	对……施用士的宁
jd	Doctor
stivy	气闷
description	种类
ionophone	离子扬声器
yestermorn	昨天早晨
mastiff	獒
detractor	恶意批评者
tarlatan	塔勒坦布
worry	担心
neovascularization	新血管化
parkland	公用场
delighted	欣喜
ratbaggery	古怪举止
ungirt	不缚带的
clannishly	团结
desired	想得到的
reign	统治时期
ruly	有秩序的
panchromatic	全色的
outsung	的过去分词
unexpected	未预料到
aedile	古罗马掌管公共建筑物、道路、供水、社会秩序和文娱活动等的民选行政官
hpna	Phoneline
dispersion	离差
immortalisation	不朽
sthenic	兴奋
supinate	仰转
hose	用软管浇水
gfwc	of
couchant	抬头伏卧状的
captation	沽名钓誉
trickish	欺骗的
dypass	侧路
bale	悲哀
prolative	补足谓语的
australioid	=Australoid
peaceably	温和地
concentrate	集中
alchemist	炼金术士
planification	计划化
clansman	同族的人
ajc	Australian
drum	击鼓
publisher	出版者/订阅者
scuff	践踏
carbuncle	红宝石
ungainly	难看地
elytrum	翅基
antipathetic	嫌恶
jesselton	亚庇(马来西亚沙巴州首府哥打基纳巴卢
aerocade	飞行队
druidical	督伊德教徒的
city	全体居民
seventeen	十七
womanize	玩女人
upend	颠倒
kitty	基蒂
spherosome	圆球体
examine	考试
intercrop	间作
apt	切题
neuroplasm	神经原形质
complement	补足物
menses	月经期
reduplication	复制器
induration	硬化
taligrade	拐脚的
milimeter	公里
munificence	慷慨给与
moonstruck	耽于幻想
multiparous	一胎多子
meshugge	=meshuga
receptor	受体
firefight	交火
inducement	诱因
terebic	芸香酸的
volatilise	=volatilize
zalophus	海驴属动物
unpleasure	不满足
zany	小丑
phloroglucinol	根皮酚
mixture	混合
maladaptive	不适应
rhymeless	无韵
weather	迎风
parathyroidectomize	`dektEmI/
hydrobiology	水生生物学
umbellule	次生伞形花序
niggard	小气的
zonked	服过麻醉药的
fuel	加燃料
megalithic	使用巨石
seclusive	喜隐居的
containershipping	货柜运输
experienced	富有经验
guicowar	=Gaekwar
instrumentalism	工具謘t/
brute	畜生
biennialy	每二年一次
improvvisatrice	女即兴创作者
tacoma	塔科马
merry	愉快
phylloid	叶状的
sophisticate	使变得世故
unshifted	未更换的
hydracid	氢酸
coedit	合作编辑
redoubted	可惧
nanocurie	十亿分之一居里
exceptionable	可反对的
abusive	滥用的
ornithorhynchus	鸭嘴兽
hypaethral	露天的
dissectional	剖析
acmeist	阿克梅派诗人
expatriation	放弃国籍
fixing	设备
subentry	副条目
subcylindrical	近圆柱形
cleome	醉蝶花属
deambulatory	走动
basidium	孢子台
threnody	悲歌
deipnosophist	餐桌上的健谈者
depot	公共汽车站
somatotopical	躯体特定区
cultivable	可耕种的
haily	冰雹状
fledgy	有羽毛的
scutate	圆盾形的
antimicrobial	抗菌的
chitinous	壳质的
pictorially	绘画般地
chapbook	小本的诗歌集或故事书
equilibrator	平衡装置
rauvite	红钒钙铀矿
skinch	吝惜
sdram	Synchronous
hakka	客家语
tuneable	能调出和声的
intertangle	使纠缠
panic	惊慌
clary	鼠尾草属的植物
curassow	大鸟
reexplore	再勘探
late	在晚期
pitch	向前倾跌
depigmentation	褪色
daiquiri	一种鸡尾酒
coordinate	调整
sassenach	撒克逊人的
kilograin	千格令
exumbrella	外伞
gassy	含气的
microstomous	小嘴的
araucaria	南洋杉属树
validate	证实
determinately	有限花序地
cadmean	卡德摩斯式的
jingly	叮玲响
ironic	说反话
nodum	植被抽象单位
ampliation	扩大
reclassification	重新分类
urbane	彬彬有礼
distressing	使痛苦的
federal	联邦的
unveil	除去面纱
polisher	磨亮的人
predestine	预定
printing	印花
compounder	部分还款者
economic	产供销的
imagery	比喻
closestool	马桶
streptococci	的复数形
monovalent	单价
absorbency	吸光率
undynamic	精力不够的
antimonarchic	反君主政体的
urticariogenic	致荨麻疹
discoloration	污点
cylindroma	圆柱瘤
infanta	郡主
lenity	慈悲
ceaselessly	不断
hymeneal	结婚典礼
unweight	减重
fissirostral	有裂喙的
joke	开玩笑
difunctional	双官能
raconteur	善谈者
eozoic	始生代
unseparated	分不开的
liberatory	同意释放
coed	对男女都开放的
valdez	瓦尔迪兹
soddish	糟糕的
acoustic	声学
vop	估价如原保险单所载
needful	必要的
abreact	发泄
quadrisyllable	四音节字
staple	原材料
lighthouse	灯塔
leftism	左派观点
hardcore	无条件的
soot	烟灰
wen	粉瘤
ultramontane	山外之人
fractionary	分数的
sri	Romanum
dnestr	=Dniester
thumbnail	极小
other	从前
treat	谈判
noblesse	贵族阶级
war	打仗
yva	Valley
manorial	庄园
est	东部时区
photojournalism	摄影新闻工作
learned	学术上
simplicity	简单
trampolin	蹦床
lomentaceous	具节荚
gibbose	凸状
love	爱慕
diphyletic	来自二个祖先的
chauvinistic	沙文主义的
tootle	轻吹
microplankton	小型浮游生物
dispatch	派遣
quaker	贵格会会员
pop	Post
cist	用来装圣器的箱子
annihilationism	灵魂涣榛昙琶鹇
invariance	恒定性
porosity	有孔性
contradictious	爱反对
mechanics	结构
traumatropism	向伤性
insurgently	造反地
undemonstrable	难以证明的
congruous	一致的
thunder	打雷
athlete	运动员
clique	阀
butterball	胖子
dichogamous	雌雄异熟
ithun	=Idun
featherlike	轻如羽毛
mufti	便服
coyly	羞怯地
tremendous	巨大
bangzone	音爆影响的区域
partnership	合伙契约
ratissage	"回扒"
blustering	狂暴
crus	后腿
markedness	显著地位
darch	of
corruptly	腐败
visitatorial	有权检查
tea	喝茶
phyllary	叶状苞
grillage	格床
epizoon	体表寄生动物
rightward	向右
ebu	Union
pogo	该游戏的工具
socialistic	社会主义
hack	砍
fond	多情
unstudied	未学过的
suffering	苦楚
insectivorous	食虫动植物
sirian	天狼星
cryptanalyst	密码专家
teleradium	远距镭照射
shirty	心情坏
prow	勇敢的
drudgingly	苦役般
backwardly	往后
explant	外植体
voyage	航海
perpendicular	垂线
lamelliform	薄片形
monica	莫尼卡
unascertainable	不能确定
plantsman	花卉栽培者
romanian	罗马尼亚语
enring	环绕
aok	极好的
deliberately	故意地
eeoc	Egnal
unicef	Fund
hoo	呼!
curlycue	花体
thalamium	内室
gothicism	野蛮
pure	纯洁的
humous	腐殖质的
bacteremic	菌血症
template	模板
subtitle	说明对白的字幕
skunk	讨厌鬼
conformance	一致
decillion	数达1
troglobite	穴居动物
androgenous	雄性单性生殖的
unhasty	不匆忙
electrify	使电气化
corollar	类似花冠的
bended	弯曲的
joyo	卓越网
doubleheader	连赛
ninny	笨人
antiballistic	反弹道的
helleri	剑尾鱼
watermelon	西瓜
ecliptic	蚀的
ratherish	稍微
melanie	梅勒妮
spur	刺激
himyaritic	希米亚里特语
adventurous	喜欢冒险的
alum	矾
catling	两刃切断刀
gpd	day
inevitability	必然性
congenetic	同源的
knotweed	紫菀科植物
acquirability	可得
sure	的确
beltane	古凯尔特族的五朔节
loun	无用之人
fretful	焦躁的
eternally	永恒地
hypotheses	臆测
buddybuddy	非常友好
rattlebrained	愚蠢多嘴的
dais	讲台
visitorial	访问的
forwarder	转运公司
aeciostage	锈孢子期
pinto	杂色马
clear	净
cornuted	妻子与人通奸
random	随便
urbanity	文雅
normothermia	体温正常
gradual	逐渐的
subversive	破坏性
hydrodesulphurization	加氢脱硫
aforehand	事先的
conceivable	想得到的
pbx	专用分组交换机
galliass	三桅军舰
pediatric	小儿科的
wheelbase	前后轮之车轮轴距离
idiotype	个体遗传型
husky	像谷的
trisodium	三钠
corruptibly	易腐败
pride	使自夸
mitred	斜接的
authentic	可信
shoofly	摇动木马
rotfl	Rolling
subaltern	次的
transignification	质变
methyl	甲基
fortuitous	偶然的
pessimal	最差
cavalvy	骑兵队
malentendu	误会
feldberg	菲尔德山
extortionist	勒索者
sacrifice	供奉
gymkhana	比赛
ineluctability	不可避免
arret	逮捕
chowmatistic	理财学的
universality	广泛性
emprise	侠义行动
red	红的
quirky	诡诈
cytaster	星体
ripsnorting	大不了
ternary	三重
apothecial	子囊盘
flannelled	穿法兰绒衣服的
clan	氏族
ineloquent	不传达表情的
diorthosis	矫正术
forested	被森林所覆盖的
multipad'	NULL)
female	女子的
soporose	催眠的
maceration	泡软
abrupt	生硬的
abcd	Collection
appetizing	美味可口的
ineloquent	不传达表情
unsuccessfully	无用
perivisceral	内脏周
grantee	受颁赠者
zuni	祖尼语
passably	也还过得去
laniferous	有羊毛的
pyrographer	烙花人
craftily	狡猾
tetramer	四聚物
gangtooth	暴牙
gloss	作注释
clarinet	竖笛
lamentable	不快
rhinolaryngitis	鼻喉炎
alumroot	矾根草
placet	赞成票
pomiferous	结梨果的
throstle	画眉鸟
biaxial	二轴的
venomous	恶意的
matin	晨歌
pilgrimage	朝拜
transmit	传达
hazel	榛子
mischievous	淘气的
manufactory	制造厂
inanimation	不活动
thumbnail	极短的
competent	有能力
asleep	睡着
slingback	露跟女鞋
rattailed	鼠尾状
upturned	翻过来的
symmetrical	对称
vitriolic	硫酸
overcareful	过分用心的
prepose	将前置
fairness	顺利性
haste	急忙
straightforward	dly//
irradiant	灿烂的
dutifully	忠贞
sha	angle恒星时角
agrophilous	栖耕
dogdom	养狗界
larcenist	盗贼
fecund	多产的
faints	劣质酒精
jillet	轻浮的女子
indictable	可起诉的
drearily	可怕地
gallization	加水和糖
nobody	无人
desuperheat	减温
psychologise	=psychologize
incursionary	侵略的
nonviolently	非暴力
winebibber	酒鬼
respectively	各个
ecotage	生态破坏演示
vasostimulant	刺激血管
stroam	散步
valiant	英勇的
glulam	胶合层积材
oily	油滑的
spoony	傻子
sonority	响亮
madid	泪汪汪的
glooming	怒容
bum	游民
fortitudinous	坚忍不拔的
blithe	高兴
jcl	control
worried	闷闷不乐
derivatively	衍生地
sputteringly	结结巴巴地
plumbiferous	产铅的
underivative	不乏独创性的
rotund	圆形
underpinner	支承用的支撑
teen	使烦恼
drizzle	细雨
jbs	Birch
venire	陪审员召集令
cecrops	刻克洛普斯
salle	大厅
grotesque	奇形怪状
nondrinking	戒酒的
adios	再见
eyetie	=Italian
prepositional	当前置词的
jsp	Java服务器页
exaggerative	夸大
underclothing	贴身衣裤
gynecic	=gynaecic
powerman	发电专业人员
embolic	栓子的
marmorean	大理石
joke	玩笑
graupel	霰
useless	无益
recremental	渣滓的
disproof	反驳的证据
greediness	贪吃
railroad	由铁道运输
formal	形式的
ier	乘数
obtruncate	砍去头部
bms	Science
fetial	处理国际问题
larker	嘲弄者
bioassay	生物鉴定
hypophysial	垂体
perversion	颠倒
sculpsit	由……所雕刻
oxaloacetate	草酰乙酸盐
pullout	拔
ionicity	电离度
ineptly	不适当
curriery	鞣皮业
detritivorous	食粪
mould	霉
sphygmomanometer	血压计
striking	惊人
interiorly	在内地
frighten	惊恐
nabi	伊斯兰教的先知
regenerate	新生
earhole	耳孔
servantgirl	年轻女仆
ruga	皱纹
saving	搭救的
loch	湖
kernel	要点
deputy	代理人
silkworm	家蚕
testamentary	遗嘱的
outstare	将……瞪得无法招架
blithely	愉快
suited	匹配
veronese	维罗纳人的
monthly	每月一次
wail	哀号
times	时期
swirl	漩涡
professional	专业的
jabez	杰贝兹
embarrassingly	使人难堪
amused	开心的
rubricator	加红字标题的人
sedate	稳重
vivific	赋予生气的
unreserved	不隐瞒的
shovelfish	=shovelhead
downswing	向下之一挥
