zoogeology	化石动物学
ecla	拉丁美洲经济委员会
unromantic	平庸的
rarefied	稀薄
bund	码头
lop	垂下
kirschwasser	樱桃酒
ascription	归属
piracy	海盗行为
commend	推荐
wolf	残忍贪婪之人
twirl	旋转的东西
shilka	石勒喀河
condensative	易凝缩
defy	藐视
etherization	化为醚
interlacement	交织
unexcited	镇静
bottlekhana	餐具室
whitehanded	清白的
epexegesis	增词
jurat	治安推事
groid	黑人
pert	Evaluation
girlygirly	过于忸怩作态
dodgasted	被咒
foliate	有叶的
calash	篷形女用头巾
everything	每件事物
salient	跳跃
pure	抽象
poculiform	杯状
auriferous	含金的
beggary	赤贫
rhinorrhea	鼻液溢
lurcher	奸细
saphena	隐静脉
pteryla	羽区
uncensored	未经审查
leukopenia	白血球减少症
stacte	制造香料的没药
offenbach	奥芬巴赫
quadrilateral	四边地
eunuchoid	惧内
briarroot	=brierroot
cpi	Index
aqua	溶液
cryptographical	密码
forced	动用武力的
ophthalmologist	眼科专家
centric	中心
germanist	德国文学专家
serbian	塞尔维亚人
dichromat	二原色视者
mononucleated	单核的
procrustes	古代希腊的强盗
draftable	可征召入伍的
sphenoid	楔状骨
kabyle	卡拜尔人
peremptorily	紧急地
bedraggled	湿透
glamourize	=glamorize
lentiform	小扁豆似的
cycling	骑脚踏车消遣
briber	行贿者
gloomy	阴沉的
archwise	成弓形
don	先生指导教师
definition	清晰度
leviable	应纳税
turd	可鄙的人
extension	客观现实
bold	粗体
linolenate	亚麻酸盐
hypsometer	测高计
solidary	休戚相关的
bloat	腌制
tinkerly	笨拙
rhonchi	干罗音
jejune	无兴趣
scindapsus	马来西亚绿萝
disturbingly	令人不安
aaup	Professors
inequality	不平等
fairly	公正地
opsimath	晚年开始学习的人
imagination	想象的事物
subsumption	包含
gunslinging	带枪
cantonment	兵站
heavyish	略重
rondavel	圆形茅屋
dysmenorrhea	月经困难
craniofacial	颅面
molluscoidal	似拟软体动物的
whiles	有时候
renascent	新生的
camelback	骑在骆驼背上的
lcf	common
religion	信仰
solar	太阳的
mixer	混合者
urnflower	瓮花草属植物
samba	跳桑巴舞
wassail	祝酒时用的酒
ultrafashionable	极端时髦
diseaseful	产生细菌的
deltoid	字形的
dishonorably	卑劣
incitement	激励物
multocular	复眼的
uncomforting	令人不舒服
uniterm	单元词
undermanned	船员不足
vertebra	脊椎骨
bromyrite	溴银矿
recapitulatory	概括性
pronounce	宣告
injunct	下令制止
fictitious	假装的
unhang	取下
thickset	粗短
intersection	十字路口
legendary	传奇文学
overpaid	overpay
jawbone	赊买
quinidine	奎纳定
unwinnable	不能取胜的
mealymouthed	转弯抹角说
malone	Edmond
deferentially	表示敬意
unverifiable	无法核实
caffeine	茶精
wadable	可涉水过的
athleticism	崇尚运动
alaskan	阿拉斯加的
aplastic	无形的
unselfishness	不自私
lytta	纵行蠕虫状纽带
evolutionary	进化的
reflexible	可反射的
say	表示
bpi	bytes
thingamy	小机件
fecaloid	粪便状
chrestomathy	诸家名文选集
mudslide	泥流
retrude	在……造成后移状态
reptiliary	蛇馆
clique	结党
chipmunk	花栗鼠
wastrel	废物
snuffer	海豚
furphy	谎言
rabble	下层社会
tailorship	裁缝业
encore	再演唱的要求
unmoved	无动于衷
generic	属的
dipterous	双翅类
solitaire	单人跳棋
columba	天鸽座
caricature	漫画
euphory	=euphoria
unweary	不疲倦
reestimate	再估值
khowar	科瓦语
detection	探测
eminence	出众
lifeguard	救生员
verminous	虫害的
climactic	顶点
opalesque	发乳白光
tricksy	狡猾的
vassalic	封臣
furioso	强有力地
towering	杰出的
tristesse	悲哀
adh	hormone
omphalotomy	断脐术
positivism	确定
criticastry	没有价值之批评
descriptor	描述符
adrenocorticotro	亲肾上腺皮rophic/E`dri:nEJrophic
rancorous	怀恶意
headstrong	刚愎
punishable	该罚
rostellate	有蕊喙
weathermost	最迎风的
equatorward	朝赤道方向
wearily	无聊地
asteroidean	海盘车类动物的
gutter	排水沟
milquetoast	意志薄弱的人
nagpur	那格浦尔
pimpmobile	豪华型定制轿车
sivaite	崇拜湿婆者
ventilate	使通风
inquiring	打听的
theater	全体观众
degradedly	[
desex	使失去性能力
sighthole	检查孔
apog	apogee
slatter	使溅出
marathon	马拉松赛跑
morphographemic	语素字素
oversexed	性欲过剩
spine	书脊
hecla	=Hekla
steady	稳定
somber	阴森的
deliriant	呓语
squashy	熟透
ewery	有水罐毛巾的房
votable	能投票的
enchorial	属于某地区
unscrupulous	不谨慎
semidigested	半消化的
dpn	nucleotide
liquor	喝酒
precipitate	陡然下降的
barkhan	=barchan
yakuza	日本瘪三
swoop	猛扑vt攫取
fleshpots	奢侈的生活
kirghizian	吉尔吉斯的
reversed	颠倒的
exquisitely	精巧地
reversion	隔代遗传
motoric	肌肉运动的
inched	英寸
derivable	可诱导
acclimate	适应
angolan	安哥拉
removalist	搬运商
jingoism	侵略主义
do	Dominican
papilloma	刺瘤
ideography	象形文字使用
quinsy	扁桃腺炎
supplicant	恳求的
keet	珍珠鸡
film	薄雾
olibanum	=frankincense
ssfdc	State
exaggerated	夸张的
relapse	回复原状
hundredthly	第一百个
covalence	共有原子价
xpvm	Console
theophoric	的:
asthmatoid	气喘性的
kookaburra	笑翠鸟
mobilise	动员
thundering	非常
scotophase	人工黑暗期
nurser	培育者
unwatered	不供应水的
asterism	三星符号
viewphone	=videophone
begrimed	污秽的
projectile	发射的
mutability	性情不定
recidivous	经常犯罪的
sweeping	垃圾
insistency	坚决要求
bourne	目的
algicide	=algaecide
mungarian	匈牙利人的
emendation	修正
flooey	不行
fighter	奋斗者
psychrophilic	喜爱寒带地方
foreskin	包皮
coxitis	髋关节炎
foliiform	叶形
bubblehead	笨蛋
xenophobic	恐外
aok	完美
homopolar	同极
stodginess	笨拙
mastigophoran	鞭毛虫
spread	桌布
arisen	兴起
alinement	排列
roi	of
perennial	终年的
ethereality	轻妙
autoboat	机动艇
pillory	使惹人嘲笑
transferability	可转让性
interseptal	隔间
transmit	发射信号
tutelary	保护
stitch	缝针
tumidly	肿胀地
heavyset	体格魁伟的
elevon	升降舵补助翼
skylark	云雀
promptive	激励
fuzhou	福州
session	会议
saucer	茶托
enable	授予权利或方法
jv	资浅代表队
flapdoor	吊门
kwangju	光州
egress	外出
ballistic	弹道学的
hypochondrium	忧郁症
xslt	Transformations
acidly	不悦
aggregative	集团
defeminize	使失女性态
undoubtedly	确
aapss	Academy
ascensiontide	升天节
odor	气味
fulsome	过分的
kilolumen	千流明
audience	听众
concretive	凝结性
antiwhite	反对人的
clockwork	时钟机构
thiochrome	硫色素
fearless	勇敢
knotter	打结的人
everett	埃弗雷特
lip	嘴唇
rsc	英国皇家莎士比亚剧团
betted	的过去式和过去分词
secretaryship	秘书等之地位
circumvolant	环绕飞行
rambunctiously	粗暴
leaden	铅制的
favorer	保护者
sociologize	用社会学观点解释
illimitable	无边际的
secretaryship	任期或职权
flagellate	鞭状的
snubbingly	冷落怠慢地
doughtily	勇敢
flotage	漂浮
people	使住人
productively	有成果地
cultigen	分类学来源不详之生物或植物
inappropriate	不适当
paludrine	百乐君
omega	最后
mwa	Modern
numinosum	对神既敬畏又向往的感情交织
acta	Association
awash	被浪冲打的
wont	惯于
uncensored	未经审查的
volleyball	排球
monocarpellary	一心皮
perambulation	巡视
catty	狡猾的
chlorophyllite	绿叶石
abnormality	变态
nookery	舒适安稳的地方
upswing	提高
xylophilous	适木的
sapphirine	蓝宝石
emulatory	好胜
titicaca	Lake
roneo	誊写版
repulsion	推斥
picnicky	郊游的
covalency	=covalence
monologue	独脚戏
sound	充分
dsrv	deep
jarring	辗轧的
muckle	多量
teleost	硬骨鱼
bothnia	Gulf
adunc	向内弯曲
tsetse	舌蝇
spectrogram	声谱图
decline	下降
miniature	缩小的模型
guanine	鸟嘌呤
surveillant	监视
ascertainment	探查
landlady	女地主
intersidereal	=interstellar
litchi	荔枝树
kodak	美国柯达公司
conjury	魔法
johnson	詹森
uncultured	没有文化
imperfect	有缺点的
transitional	过渡期的
slim	细长
persifleur	爱挖苦人的人
leister	鱼叉
unionides	的复数
disqualify	使丧失资格
nights	夜间
grasping	贪婪的
necessitate	成为必要
disgust	厌恶
micr	Ink
tuft	用丛毛修饰
sialagogue	催涎
fatbrained	愚钝
immigrant	移民的
knightly	勇武
ventose	浮夸的
puppy	小动物
intermediate	媒介
micrococcal	微球菌的
overdry	使过干
showup	排队成一队供识别的人
hebetude	愚蠢
colluvial	塌积的
meatpacking	肉类加工业
shellcracker	=redear
charismatic	神赐能力
disloyalty	不忠实
hypoploid	亚倍体的
visibility	显著
corneal	角膜的
napu	矮麝香鹿
break	超过
australopithecine	更新纪灵长动物
jacksonian	美国第七任总统杰克逊的
helmsman	舵手
cowl	连有头巾的修道士服
heterosexual	异性
anaesthesia	麻木
cutaneous	影响皮肤
aeroamphibious	海陆空联合
postirradiation	辐照后的
tackify	使更黏
veil	面罩
belfast	贝尔法斯特
stuff	材料
emulously	好竞争
fasten	闩住
emphysema	肺气肿
phyletic	种类的
spanking	强烈
underhung	下颚突出
browse	吃草
jwv	War
storewide	包括店内全部商品
proportionment	比例
subjoin	增补
fantastically	空想地
tropeolin	=tropaeolin
disconcert	使仓皇失措
minibike	小型机车
integral	部分
spongiopilin	海绵毯
indigent	贫乏
rozener	烈酒
apheliotropic	背光性
ringworm	癣
subcommission	分设委员会
paraphrasis	变换措辞
benzonitrile	氰苯
unclassical	对古典作品不感兴趣
gnaw	啃
oni	Naval
lh	LH
servia	Serbia
dhahran	达兰
fortress	堡垒
rhetorically	在修辞学上
unerringly	正确地
incentre	内心
sudanese	苏丹人
rivalry	竞赛
yieldly	支付
underlying	在下面的
uml	Unified
phe	Engineer
favorite	幸运儿
propylite	青磐岩
finitary	有限性的
manoeuvre	调动
oeec	Economic
primrose	樱草花
scrutable	可解读
nonrefundable	不可归还
tragicomical	悲喜剧
lumberjack	木材商的佣工
patroness	女主顾
land	靠岸
herd	成群
mollify	平息
matrilocal	居住在女方的
lemma	辅助定理
ecogeographical	生态地理
siglos	西格劳斯
photostat	复印照片
pigheaded	顽固的
gleeful	愉快的
unhappen	未发生
pulsant	脉动的
screenwriter	编剧家
jook	闪避
erythrosine	新品酸性红
extragalactic	银河系外的
pluviose	雨量多
sack	大袋之量
palsy	瘫痪
metonymical	转喻的
dependence	信任
cuddle	拥抱
flavourful	味浓的
noumenal	本体
mongoloid	先头愚型患者
campanological	铸钟学
glaucomatous	绿内障的
temperable	可回火的
dyeability	可染性
grike	岩沟
aseptic	防腐剂
restorable	可恢复
vrm	CPU电压调节组件
apeak	立锚
wizzled	皱缩的
angerly	愤怒
xylocaine	赛罗卡因
supernaturally	超自然
tot	小孩
ymodem	一种文件传输协议
northwesterly	从西北来的
distinction	特性
hydrotropically	向湿性
hawaiian	夏威夷语
siratro	色拉豆
adapter	适配器
barbicel	羽纤支
hammerblow	锤打
colorless	无色的
intraoperative	外科手术进行时发生
slade	Society
hungered	饥饿的
chez	于
misgiving	疑虑
pshaw	轻蔑时的叫声
calcicolous	钙生的
semiannular	半圆形的
jot	少量
sicko	有精神病的人
waterlogging	水浸
iioilo	怡朗
boarfish	帆鳍鱼
lienteric	滑肠
instrumentarium	特组器械
disclimax	人为顶级群落
incendiary	燃烧弹
disappreciation	低估
ascending	向上
ulnar	尺骨
rentalsman	租金监督官
unenclosed	不在修道院受管束
fishgig	鱼叉
tawse	鞭打
appositive	同位格字
snowbreak	雪之融化
amyloid	含淀粉
aerostatic	空气静力学的
taurus	金牛宫
woefully	悲伤
aposteriori	归纳的
sophister	大学的二年级学生
hyoid	U字形的
perfect	完成式
penuche	粗糖
backlining	背衬料
germless	无菌
sloughy	蜕皮
inventory	存货
dietotherapy	食物疗法
remnant	剩余
hyperventilation	强力呼吸
quaky	战栗
meliorism	世界改良论
remedially	矫正
battlement	防卫墙
silence	沉默
semidiurnal	12小时的
proteiform	多型
microfungus	微直菌
hunan	湖南
monostrophic	单韵律的
migrant	候鸟
nausea	晕船
skill	技巧
natiform	臀形
limation	锉
softgoods	匹头
goggle	瞪眼看
surprise	令人惊讶的
draft	为……打样
freely	自由
araeosystyle	对柱式建筑
scalariform	阶纹的
creamcolored	乳酪色
jarful	一瓶
empoison	使蒙受毒害
treason	叛国罪
gdi	Devive
agroindustrial	农业的和工业
unsaleable	非卖品的
vertical	垂直的
noonday	正午的
outboard	外侧的
forget	忘记
pedal	踏板
costa	前缘脉
edgebone	牛的臀骨肉
downy	丘原
incretory	内分泌的
fluoroscope	荧光检查器
laticifer	乳汁管
cortile	内院
fraternize	友善
ousel	鹤类的小鸟
beaux	纨绔子弟
nailless	不用钉的
syntechnic	异种趋同的
abruptness	突然
shoreward	朝向陆地
granophyre	花斑岩
louvered	像百叶窗板一般安排的
lotic	激流的
unifier	统一者
fin	装上翅
haemodialysis	血液渗析
reinflation	再膨胀
festive	庆祝的
tannic	丹宁
redeployment	调换
heptagonal	七边形的
stigma	污名
shiraz	设拉子
jaap	乡巴佬
gab	多嘴
architectural	建筑上
meshy	网状
derbyshire	德贝郡
spuddy	矮胖
balikpapan	巴厘巴板
notarial	公证的
cycas	凤尾松
mayotte	马约特岛
tame	沉闷的
meiji	明治(日本明治天皇睦仁
amateurship	业余者的资格或身份
pipsqueak	矮小的人
scansion	按韵律诵读
unstable	不牢固的
maddish	有点疯狂
fair	公正地
nighted	黑暗像夜
smoke	烟尘
incorporation	合并
puree	面包的一种
mill	磨粉机
inscape	内在的特性
beatific	祝福
unseemly	不体面
unemotionality	无动于衷
pushcart	手推车
fluxion	不断的变化
primary	根源的
pithily	简洁地
resolvent	溶剂
distribution	发送
diaphoneme	分音位
affinal	同源
unfirm	不结实的
cowhearted	怯懦
roundabout	迂回
unforgettable	忘不了的
belabour	痛打
vapor	水汽
lance	切开
aboil	沸腾
episcopalian	主教派的人
unsoiled	未被破环的
sepaline	=sepaloid
immiserization	悲惨化
flatwork	毛巾等物
alpine	阿尔卑斯山
msfm	森林管理学硕士
everlasting	持久
nonpositive	负值的
anorexia	厌食
trashy	无价值的
waffie	流浪者
pollenosis	花粉热
disrelation	不相干
noctilucent	生物发光
emersonian	与爱默生有关
ceremonial	仪式
recharge	再装填
yaf	Young
remember	铭记
paleogeology	古地质学
enrollment	入伍
amenable	应服从
roseate	愉快的
unwatered	未浇水的
pepsin	胃蛋白酶
rollout	首次展示
melon	瓜
farthing	一点儿
planer	刨工
brushland	矮灌丛
expressional	表情的
angustifoliate	窄叶
phrenologic	骨相学的
haematopoietic	造血
inarticulately	难以表达
vadm	Admiral
skintight	紧身
tripodal	有三脚
factor	因数
iupap	of
proofmark	验讫印记
reformational	改革
hindward	往后地
direct	命令
consolidate	巩固
galactopoietic	催乳
ares	阿瑞斯
programmable	可设计
irrotationality	无旋性
consistent	坚固
walkable	适于步行
amortisation	分期偿还
hereat	此际
homeopathist	同种疗法医师
ralline	秧鸡科
swink	使工作过度
bailer	汲出积水的人
atherogenic	导致动脉粥样化
precis	大纲
colon	冒号
yielding	屈从的
pompom	大型机关枪之一种
professional	自由职业者
apodous	=apodal
tim	瞬态失真
frisian	Friland的
pyrocrystalline	火成晶质的
increscent	增大的
sacramentalism	圣礼主义
khalifat	职权及领域
fiddlefucking	操他妈的
pupae	蛹
fst	Square
acropolis	雅典的卫城
conspiratory	阴谋者的
hera	Assisted
microprogramming	微程序设计
scoliid	土蜂科
rollock	胡扯!
insufflation	喷射
myg	myriagram
bitsy	极小
wharf	靠码头
dvi	Digital
licity	合法
laryngeal	喉的
uncomfortably	困难地
droog	流氓团伙成员
unoiled	未加油
maying	五朔节的庆祝
unshakeable	不可动摇的
theanthropic	把神性表现于人身
doorman	看门的人
nigrescence	发黑
hermes	material
pentastich	五行诗
autotomize	自割
honeybunch	亲爱
coolish	微凉的
reelingly	摇晃地
revaccination	再种痘
lowlife	卑劣的人
alchemic	炼金术的
lalique	glass有花卉浮雕的装饰性玻璃
sleepyhead	贪睡者
heteroploid	异倍体
incognito	化名地
unwarmed	未被激动
boxhaul	使船顺风势转向
salvage	救难的奖金
cover	包含
myringitis	鼓膜炎
irremediable	不能挽回
state	正式的
select	选择
fairly	公平
febrific	产热的
voxel	三维空间中定义一个点的图象信息的单位
holpen	help的过去分词
calembour	谐音之诙谐语
luetic	梅毒的
spodosol	灰土
virescence	绿化
ecotage	污染源破坏演示
seafaring	航海事业的
agatize	使化成玛瑙
pothouse	酒馆
diaspora	离散的犹太人
defector	背叛者
centroid	质心
malignant	恶性的
jamesonite	脆硫锑铅矿
recelebrate	再庆祝
smarmy	爱说奉承话的
parenthood	父母身份
rampant	狂暴
trilocular	三室
gymnosophist	修行者
centimetre	厘米
sidelong	打横
hypostasis	本质
competency	作证能力
decoloration	漂白
monoacidic	一元
facility	工具
methodically	有系统地
lapidescent	石碑似
zincky	含锌的
liberative	释放
reprehensible	应该谴责
baptism	严峻考验
sneezy	引起喷嚏的
gradual	逐步
certain	无疑的
nonproficiency	不熟练
octangle	八边形
salina	盐碱滩
risc	Computer
envelop	包封
seed	结实
anaesthetization	麻痹
fichtelgebirge	斐克特高原
fowling	打鸟
acidfast	抗酸
lunar	月亮
unlike	和……不同
drainless	无排水设备的
flavorous	美味的
whiteout	乳白天空
floodwater	洪水
ebulliometer	酒精测量器
peg	限制
pharyngal	咽的
homilist	说教者
dipsomaniacal	=dipsomaniac
antivivisection	`AntI9vIvI`FEn/
attention	注意力
haustellum	吸器
wean	使丢弃
parenthetical	插句的
arithmetical	算术上的
fanciness	花俏
trabeated	横梁式的
pelt	剥……的皮
tallboy	高脚橱
breadthways	横
strange	前所未知的
ana	一则轶事
denunciator	指责者
pungle	捐
rented	租用
revivable	可苏醒的
rhine	莱茵河
activity	放射性
mungarian	匈牙利
excisable	可抽税的
slush	烂泥
revolutionize	大事改革
detoxicant	麻醉的
nullarbor	Plain
inhomogenous	杂拼
cerebrotonic	大脑紧张型
circularly	圆
whitsun	圣灵降临节
sore	剧烈
unlicked	不象样
dyschronous	时间不一致的
romaika	现代希腊流行舞
gait	步法
ipts	Scale
distemperedness	不健全
bonus	奖金
ms	手稿
countergirl	柜台小姐
sutlery	随军小商贩的职业
narcose	昏迷的
fm	Micronesia
fratcher	争论
deathlike	象死人
stillborn	死产的
picomole	微微摩尔
antecedence	先前
jadish	疲倦
gutter	水槽
banausic	物质
potboiler	为混饭吃而粗制滥造的文艺作品
reinvigorate	使再振作
hahnemannian	哈内曼的
incompetent	不合格的
supervisal	管理
magnetic	有磁性
unploughed	未犁过
corotate	作同速旋转
equal	胜任
forfeitable	可没收的
sneaky	鬼祟的
unmutilated	非残缺不全
elective	随意选择
nummulated	钱串状
bipack	二重彩色胶片
sapful	多液汁的
onto	在……之上
rousseauist	的信徒
boudin	香肠状碎肉
intercross	杂交
evenly	平坦地
axial	轴向的
possie	职务
rambling	散漫
tefillin	经文护符匣
civil	文职的
tetrasepalous	四萼片的
escheat	重还
otp	Protocol
jab	猛刺
clanism	宗族制度
wraac	Corps
pursuit	追击
courtyard	院子
countian	居民
somnambulate	梦游
aftertime	未来
cuprous	亚铜
noumenon	本体
horsecar	运马货车
finitary	有限性
unlikely	不太可能
sdram	同步DRAM
cpaffc	for
fine	晴天
masan	马山
eponymous	齐名
sweetheart	私下签定的
unworthy	不值得的
sputter	急忙地讲
junky	质量低劣
shelly	多壳
jotunnheimr	巨人之家
queenly	女王的
repulsive	排斥
sale	销售额
waveguide	波导
horizontality	水平状态
chlortetracycline	氯四环素
fleecy	以羊毛盖上的
sexisyllabic	六个音节
thistledown	蓟花的冠毛
conventionalise	墨t/
escarpment	断崖
ossian	奥西恩
auspicate	v
puling	哀诉
maintain	维修
ruling	统治的
discover	发觉
ineffectually	无效
parentheses	插曲
unga	United
northeastwardly	向东北
imp	小淘气
vibronic	电子振动的
quadrillion	千之五次方的
evolving	进化
terror	恐怖时期
dudish	纨裤子弟的
counterbattery	反炮兵战
undisturbed	镇定
hogback	陡峭的山地
hydropac	太平洋航行危险警报
reform	改良运动
parallel	平行线
alary	翼状的
mammary	乳腺的
immortal	不朽的
cancroid	癌症状
empower	使能够
osteological	骨学上的
retaliation	报复
graduand	即将接受学位者
ominous	不吉利的
manifestly	明白地
aerosiderolite	陨铁石
accidentalist	偶然论
word	字
pinole	甜炒玉米粉
diel	一昼夜
magma	乳浆剂
whisk	扫帚
revokable	可废除的
systemic	全身
plumbism	铅毒症
supercrescent	寄生
edge	挤进
bps	位/秒
visive	视力
whaleback	鲸背船
kiri	泡桐树
unrwa	United
quadricorn	有四个角
esthesiometer	触觉测量器
hit	打中
longe	用练马绳训练马的各种步态
yb	镱
distributee	分配遗产受益人
latent	潜在
invincibility	绝对不败
trivially	无能
pool	石油层
turncock	龙头开关员
scribe	抄写员
radiotracer	放射性示踪剂
urbanize	使都市化
sabbatize	守安息
filtration	筛选
dsp	数字信号处理
crochet	用钩针编织
senegal	塞内加尔
cautiously	慎重地
destructively	狼狈地
eddie	埃迪
coalescence	联合
plumbism	铅中毒
barbarous	沙哑
huzza	表示大喜
flange	给……装凸缘
felix	费利克斯
holophrastic	以一个字显示整句意思的
undereducated	受教育不足
microscopic	精微
fainthearted	无精神
plutocrat	富豪
superincumbent	横在上面
discontinuous	中断的
nurseling	养子
sessional	开庭
spurt	迸发
enroll	招收
videodisc	录像盘
tousy	临时凑合的
basined	位于盆
innumerability	数不清
oat	燕麦
saltant	跳跃
subgroup	子群
coexistence	共存
blah	废话
climograph	气象图
itch	渴望
inadmissibility	不许可的事
inexpressive	无表现力
flush	晕红
trueness	真
subdivide	再分
mysost	挪威乳清干酪
archibald	高射炮
magnify	夸大
resiniferous	生树脂
responsible	可靠
enforceable	可实施
reinsure	分保
achromatic	消色差的
regress	归复权
angell	天使
gerfalcon	一种鹰
verecund	忸怩的
dentilabial	唇齿音的
inventory	财产清册
unbalanced	不稳定的
parfocal	等焦面的
outsung	outsing
inclose	附上
referenced	引用
blankness	空虚
surprise	惊奇
enwrap	围绕
lunatic	精神错乱的
pop	流行的
restiform	索状
gnathitis	颔炎
centile	变数区间的百分之一
crankily	摇晃不定
triumvirate	三人执政
tap	熄灯号
peruse	细读
loss	浪费
foist	硬卖给
shooting	射击
laborsome	吃力
lanthanide	镧系元素
apocalyptic	天启
epithalamium	颂歌
semifictional	半虚构的
obsequence	奉承拍马
offhand	无准备
thracian	色雷斯的
sthenic	精力旺盛的
pulldown	折叠式
fsf	自由软件联盟
manufacturing	制造业
decently	高雅地
vaginitis	阴道炎
assimilative	同化
poltfooted	足畸形
abstractively	抽象地
fine	变细
asocial	缺乏社交性的
precessional	岁差
improvvisatrice	女即兴赋诗朗诵者
monstrous	荒谬的
allophane	水铝英石
untamed	不能抑制
unsubstantial	薄弱的
transferability	可转移性
jut	伸出部分
punner	夯
safeguard	安全装置
tinnily	含锡地
sycophantic	说奉承话
snorty	心眼小的
afl	Federation
culverin	一种枪
unhcr	Commissioner
swimmy	眩晕
sesquioxide	倍半氧化物
down	开阔的高
ionophoresis	离子电泳作用
volatilizable	可发散的
nill	不想
castrative	产生阉割效果的
ineluctability	无法逃避
idea	意见
ironmongery	铁器类
traditionary	世袭
rural	乡村风味的
termly	定期
keening	哭丧
fascisti	黑衫党
external	客观的
grandaunt	姑婆
nationalism	民族主义
beatific	幸福
garibaldian	拥护加里波第的
lewd	淫荡
gasman	煤气表抄表员
cigs	Imperial
result	导致
space	空地
vm	虚拟机
vagotropic	作用于迷走神经的
assize	法令
overmany	过多的
oklahoman	俄克拉荷马州人
ipm	每分钟英寸数
parkland	温带之草木区
dead	无感觉的
shutdown	停工
wilkes	Land
lepcha	雷布查人
questionnaire	调查表
optimal	最佳
anzac	新西兰军团之士兵
ultimacy	终极性
narrow	有限
armangite	砷锰矿
crenelation	开垛口
royalty	皇室
hols	假期
rooty	根似的
swiss	瑞士
usac	Club
pseudoscorpion	伪蝎
salbutamol	嗽必妥
stormy	暴风雨的
massify	使成整体
unaired	不通风
ne	旧姓的
mucronulate	具尖突的
upset	使心烦
wake	醒
superexcellent	卓越的
goldarn	=goddamn
loneliness	寂寞
poop	冲打
neuroactive	刺激神经组织的
compression	浓缩
vanda	万带兰
rim	为……装边
zincky	含锌
monostomous	具单口
mezcaline	=mescaline
totem	徽章
rebel	叛逆者
cautel	警觉
setigerous	=setiferous
intrant	入学者
fond	喜爱
nizam	Hyderabad君主的称号
farinose	粉末状
reduced	简化
uncorrectable	无法改正
popedom	罗马教宗的职位
garibaldi	夹酸栗果酱的饼干
sesquipedalian	冗长的单字
superacid	太酸的
belcher	尤指兰色上有白点的围巾
servitude	奴隶状态
shmoo	什穆
fcic	Corporation联邦农作物保险公司
anathematize	开除教籍
pedantry	假装学者
diverge	脱离
jesuitism	狡猾
nonpersistent	非持久
teen	激怒
decently	正派
tee	球座
ordinance	训令
michaelmas	米迦勒节
pli	磅/英寸
devotional	专心
wakefully	提高警觉地
unenlightened	无知
atingle	刺痛的
sheila	Sheila
episcopize	使改信圣公会
gaullist	戴高乐主义者
colourfast	不退色
brainless	无头脑的
abbreviative	缩略
proposal	提议
gore	淤血
maidenly	柔和
jugoslav	南斯拉夫人的
brow	表情
stick	手杖
hydrology	水文地理学
nondiscrimination	不歧视的
irreproachable	无缺点的
sjaa	Association圣约翰救护协会
photolithograph	影印石版
tosspot	醉汉
elegant	雅致
unci	的复数形式
leaf	叶
undemanding	要求不高的
coffee	咖啡茶
radiantly	清朗
