catchweight	无体重限制的
barbacan	碉堡或其他类似的防御工事
politer	优雅
lunch	午餐
figueras	费卡洛斯
quoin	榫子
rdc	Council
superduty	超耐用
choke	阻气门
hearthstone	砌炉的石块
semina	胚种
overplow	对……犁耕过度
burladero	木防护板
refluent	退潮的
triantelope	澳洲扁体大蜘蛛
waywardly	难以捉摸
immutably	永恒地
arenaceous	沙的
pice	印度铜币
dictatorially	自大
denim	粗斜纹棉布
deduction	减除
pusan	釜山
unheroic	给人印象不深的
mezzo	中间
uninterrupted	不停
bacteriolysis	溶菌作用
oxbow	呈U字形弯曲
ownerless	无主的
splotchy	沾上污点的
apivorous	食蜂
exasperate	激怒
decoration	装饰
node	节点
concoctive	调合
metro	地下铁道
caramelize	加熔熔化而变成焦糖
parlous	危险
colorific	色彩的
aerobiology	空气生物学
succedaneous	代用
heterofil	异质复合丝的
fall	砍倒
shivery	令人悚然的
workstation	工作站
pooch	狗
trinity	三人一个组
undirected	未受指导
weird	命运
nooning	中午
pallid	暗淡的
incrust	覆以皮
panbroil	油煎
quizzical	引人发笑
disclaimatory	否认的
cippus	古罗马
chromoplasmic	染色浆
scale	比例尺
stressable	可重读的
psaltery	古代弦乐器
certainty	确定
lumper	码头工人
nephometer	云量仪
jokey	滑稽
fluxional	微分的
email	电子信函
parturifacient	催产
superlatively	无上地
reink	重新涂墨水于
amende	赔偿
canulate	中空的
narrows	纽约湾海峡
dud	衣服
anklebone	踝关节
expressly	特别
diphtheritic	患白喉的
spinnery	纺纱工厂
status	情形
foeticide	堕胎
polarimetric	偏振计的
pseudoscorpion	假蝎
solion	电化传感与控制装置
calvous	光头
nervy	有勇气
epileptoid	类癫状
tragedienne	悲剧女演员
marmot	土拨鼠
haunch	腰
moorish	摩尔人的
rrl	Reference
structureless	无定形
billbug	谷象
halogenoid	类卤基
ozonizer	臭氧发生器
histochemistry	组织化学
cnut	克努特
nucleochronology	核子年代学
sinaitic	西奈半岛
solubilization	增溶
rgs	皇家地理学会
scotopic	暗视的
tousy	权宜
stealing	贼赃
mound	筑堤
knopkierie	=knobkerrie
idle	不作事
query	质问
tetchy	易暴怒
calisthenic	柔软体操的
vizagapatam	=Visakhapatnam
slinky	体态富于曲线的
spicily	痛快
quinnat	大鳞大麻哈鱼
welsher	欺诈者
somnambulant	患梦游症的
replevin	财物的发还
feignedly	假装
chekiang	浙江
rebato	大衬领
effuse	泻出
macrocephalic	巨头
immusical	对音乐不感兴趣
green	无经验的
discreetly	谨慎地
cerebrocentric	人格控制集中于脑的
supplementation	追加
brevet	名誉晋升
zenithward	向上
slatted	用板条做的
hackbut	火绳枪
minitance	交战
caique	地中海轻帆船
lymphangiography	淋巴管造影术
velvety	柔软的
biocidal	毁灭生命
rhabdovirus	棒状病毒
synchronicity	同步性
scs	Soil
crescive	成长
dracontologist	湖怪研究者
indecorousness	无礼
cystic	胞囊
gliadin	醇溶朊
vinegary	有酸味
kurbash	用皮鞭打
been	来过又走了
housebound	居家不外出
predator	食肉动物
gigantism	巨人症
asymmetric	不均匀
ipecac	n
denaturalization	变性
thin	瘦的
exceptional	异常
touch	触及
pharyngal	咽
serous	含浆液
deterrable	可制止的
fenderless	无挡板的
rush	灯芯草
thriftily	繁荣的
fingery	排成指状
subparagraph	小段
ochlocratic	暴民政治的
alarmedly	惊恐地
unready	没有准备的
prop	支撑
ungodly	不虔诚
map	图
pompey	英国南部的军港
wgmc	West
navigation	航空
proctorial	代诉人的
uncord	拆下……的绳子
inconsolable	无法安慰的
lamby	羔羊似的
doctrine	教条
music	音乐
optimal	最佳的
insatiable	不知足
kooky	乖僻
hurley	爱尔兰棒球戏
polytonal	多调的
pagination	标记页数
undiscerning	迟钝的
redolent	芬芳
petticoat	裙子
cosmogonist	宇宙进化论者
shashlik	=kabob
trichomonad	毛滴虫
unshroud	暴露
preimplantation	胚胎植入前的
bassi	低音部
osmotic	渗透性的
misplug	误塞
unreasonable	不切实际的
humorously	滑稽地
fart	放屁
basis	主要成分基本原则或原理
extortive	敲诈
gadolinite	硅铍钇矿
pyroelectric	焦热电的
unurged	未被催促
involute	纷乱的
lame	不知内情的人
acidifier	成酸剂
sublimize	使高尚
gawp	呆人
riffle	流过浅滩
abskize	逃亡
secondary	中级的
responder	响应器
finny	鳍状的
provable	可证明的
nucleogenesis	核起源
hashery	经济餐馆
recallable	可回忆
endlong	直立
atomism	原子论
braver	勇敢
sixtine	=Sistine
western	西的
pogonip	冻雾
pippa	皮帕
ddn	Defense
legpuller	捉弄
anthropopathic	认为神具有人性的说法的
genealogical	系谱的
autochthonal	土地固有的
sailcloth	帆布
belted	佩礼带的
cylindrical	圆柱的
skylon	云霄塔
ginnery	轧棉厂
supinely	仰卧地
elamitic	埃兰人的
knobby	多节的
contrapuntal	对位的
joss	佛像
brimless	无边的
protogine	绿泥花岗岩
impotency	性无能
fallacious	不合理
polycarpous	多心皮
forsworn	不守誓言的
decapitation	撤职
sustain	持续
perpendicular	正交
lochial	恶露的
filiform	丝状
sindon	优质布料
tristigmatic	三柱头
groovelike	缺乏独创性的
flexural	弯曲
roc	Operational
scraggly	零乱
rsgb	大不列颠无线电学会
breechloading	后膛装弹的
synonymous	同义
eidetic	异常清晰的
blockette'	NULL)
cant	倾斜
pedimental	山花
underemphasis	重视不够
marsh	沼泽
entrain	使乘火车
resource	智谋
duplation	双倍
constant	坚决的
pastorale	田园曲
changepocket	大口袋中装硬币之小口袋
staminiferous	具雄蕊的
hurricane	飓风
indian	印第安语
aquavit	白兰
elysian	乐土
nicish	精密的
settings	设置
mesityl	异亚丙基丙酮
transeunt	外在
aeromancy	气候占卜学
cabaletta	卡巴列塔
acidity	酸度
handbarrow	搬运工具
downy	柔和
rataplan	敲鼓声
truckage	搬运费
elementary	元素的
readership	读者人数
twinkling	荧荧
joking	开玩笑的
maximus	敲奏编钟的一种技巧
ancipital	剑形
ineradicable	根深蒂固
ropiness	成粘性的丝
embedded	内含
underload	使装载不足
triphibian	三栖飞机
relearn	再学习
cromerian	克劳默人
hushpuppy	油炸玉米饼
hieromonk	圣职修道士
defile	染污
paleohabitat	古动物栖息地
repartee	巧妙的应答
antipruritic	防痒的
arrant	彻头彻尾的
dilatory	不慌不忙的
squawk	抗议
motherfucking	混帐
overfulfilment	超越预定计划
segregable	可分离
hyposulphurous	连二亚硫酸
blastocoel	囊胚腔
vibronic	电子振动
catamnestic	病后经过的
typically	作为特色
consulship	领事的职位
unsized	未上浆
whitecap	白帽队队员
antibiotic	抗生的
contubernal	一起生活
fludrocortisone	氟氢可的松
outright	立刻地
exodontics	拔齿学
shiur	犹太人传统课
adventure	冒险的经历
harmine	骆驼蓬碱
unshirted	赤裸裸的
export	出口商品
mandatory	强制的
rooftree	屋顶
niggerize	使黑人化
leiomyoma	平滑肌瘤
astrosphere	地核
ingrowth	向内生长
circassian	切尔克斯人
resegregate	对……重新实行种族隔离
reciprocate	互给
swim	游泳时穿戴的
sfx	effects
pluteus	长腕幼虫
pimping	微不足道
malwa	马尔瓦饮料
shady	阴暗
idealistic	唯心论的
agamous	无性
slender	微弱
productively	有成果
pharmaceutic	调药
clerk	职员
peronism	庇隆主义
maladaptive	不适应的
rollick	欢闹
incontinent	仓促地
undistorted	未失真
protophyte	原生植物
highland	丘陵地带
crackjaw	反常的
wrong	错误地
diacid	二价酸
natural	本位号
merger	归并
endearing	可爱
wee	极小的空间
postiche	画蛇添足
cuss	诅咒
dare	不惧
vane	叶片
multitude	群众
reconcile	使和谐
recumbency	躺着
blusher	使脸色红润的化妆品
hyperboloidal	双曲面
typhomania	热病谵妄
fanon	臂巾
meniscus	半月板
crosspiece	闩
incompleteness	不完全
spendable	可使用
eschew	避开
incisal	切的
explodent	爆破音
muzzy	无精神
primrose	樱草的
masty	讨人厌
muzz	使发呆
unforced	自然的
knobbly	棘手的
upclimb	往上爬
snapper	揿钮
terrorism	恐怖主义
altaic	阿尔泰语的
bush	衬套
boeotian	愚笨的
microcontinent	微大陆
despumation	取去浮泡
torture	使弯曲
waylay	伏击
soloistic	独奏的
pitch	定位于
scout	侦察员
delomorphous	显形
associate	副的
playclothes	轻便装
piddling	微不足道的
color	脸红
here	此时
cowherd	牧牛者
transferable	可转移
thriller	使人毛骨悚然的小说
reactivate	恢复活动
clairaudient	听力特别敏感者
superintend	指挥
voila	那就是
philological	文献学
ethnologist	民族学者
activity	行为
saltation	跳跃
chiefy	空军上士
rhizopodan	根足虫纲动物
pedagogic	教授法的
inquisite	审讯
blubber	又哭又闹
manyatta	村庄
holozoic	全动物营养性的
smith	铁匠
unpledged	未经保证的
hush	安静
semimanufactures	半成品
nether	下面
habilimented	衣着整齐的
sweepback	后掠角
islandless	无岛屿
parpen	系石
pale	范围
antipathetic	讨厌的
skete	隐士团体
padre	教士
chattily	爱讲闲话地
tumbril	施肥车
assimilatory	同化力的
timbered	用木材的
incurvate	弯曲
savourless	无情趣
sublessor	转租出人
unordinary	不普通
stayer	支持者
deceive	欺骗
diastasis	心休息期
snafu	天翻地覆的
mockery	嘲笑
regionalize	按地区安排
socius	伙伴
apostate	背教的
unrepealed	未被撤销的
besiege	围困
rda	recommended
fairway	水上飞机升降用的水面跑道
perissad	奇价原子
vibrancy	振动
druidical	督伊德教徒
mitigative	平静的
kmps	kilometres
lophodont	脊齿型
diffusible	可传播的
sorbefacient	吸收促进药
ceroplastic	蜡塑的
grained	有木纹的
acclivitous	倾斜的
deafness	聋
wherefrom	出于那个
objettrouve	自然发生的艺术品
indicate	简要地说明
radar	电波探测器
ait	河中的小岛
doohickey	小玩意
appurtenance	附属物
bec	economics
libertine	放荡
levelheaded	清醒的
handcar	手摇车
shivering	颤抖
lockfast	保险箱
unyieldingly	坚硬
serious	严重
cremation	火葬
manned	有人操纵
emblazonry	炫耀的展示
praetor	长官
incity	市内
imagist	意象派的
waif	飘流物
brisk	轻快的
convict	宣告……有罪
axisymmetrical	轴对称
sjd	Doctor法学博士
rattled	恼火
berliozian	柏辽兹乐曲
pecuniarily	在金钱方面
dali	达利
admonish	训诫
flamboyance	火焰
fasten	抓住
overlying	overlie的现在分词
incorruptibly	不被收买地
burry	芒刺多的
msdn	Microsoft
hardy	努力地
tied	系
countability	可数性
companionably	友善地
park	炮场
alsace	阿尔萨斯
emi	百代唱片公司
bullet	子弹
agrometeorological	农业气象
smoke	抽烟
peptic	胃蛋白酶的
runnerless	无长匐茎的
nonhibernating	不能冬眠
villatic	别墅
recognise	承认
conversance	精通
councilor	评议员
cartagena	喀他赫纳
expensively	昂贵
bloat	肿胀病人
tutelary	守护神
multicoloured	五彩缤纷
arouse	睡醒
episcopalian	主教派会员
leavisian	利维斯式
coagulen	可阿古连
overroof	给……盖上屋顶
guncotton	强棉药
shackle	加桎梏
parament	礼罩
maneating	食人
murmur	怨言
extraterritorial	rI9tR:rI`AlEtI/n权地
nice	拘泥
rostrum	讲坛
burdensome	繁重的
arsenical	含砒素的
caterwaul	猫叫春声
demagnetization	除去磁性
underemphasize	对……重视不够
hyperphysical	与肉体分开的
mild	不含有害物质的的
herborize	采集植物
curvirostral	具曲喙
hydremic	稀血症的
cosey	安逸的
prognoses	预后
lease	出租
bodhran	宝思兰鼓
corner	角落
lacquering	上漆
leze	majesty=lese
plainspoken	直言不讳
figuline	瓷器
humanness	人性
form	排列
franciscan	圣芳济会的
hemistich	诗的半句
uneven	不均匀的
distichous	二列
replete	充满
pinocytized	被细胞摄入
plena	的复数
dumpy	粗短
radiculose	有很多细根的
dyspeptic	患胃病
extrapolation	外推法
neighborless	无邻居的
halogenation	卤化
intersect	交叉
aeonian	永久的
inkyo	隐居者
calciphobous	不适于石灰质土壤之植物的
peacock	炫耀
contranatant	逆流的
ably	能干
ncsa	National
localism	地方观念
promulgator	发布者
instantaneous	即时
languishing	苦思的
blackout	眩晕
mummery	哑剧表演
imputable	可归因
pietistic	假装虔诚
elevatory	向上举的
allround	多才多艺
courthouse	郡政府所在
gladly	乐意地
kama	爱神
imparipinnate	奇数羽状
soil	污辱
prodigalize	浪费
cogent	使人信服
bleareye	睑缘炎
pyrogen	热原
railing	扶手
shamus	私人侦探
villeinage	隶农土地保有条件
solderability	软焊性
haulabout	煤船
neapolitan	那不勒斯的
fop	花花公子
demand	需求
strait	艰难的
preteen	不满13岁的儿童
pivot	在枢轴上转动
memory	内存
doctrinal	学说
tricorne	三角帽
aerodrome	飞机场
ramshorn	扁卷螺
pride	使自豪
nascar	Auto
gigavolt	十亿伏特
snakestone	据说能治好蛇咬伤的一种石头
awkwardness	不雅观
injury	侮辱
podsolisation	=podzolisation
causal	表示原因或理由
burnoose	=burnous
condyle	骨节
favorer	爱顾者
dst	Drive
bavarian	巴伐利亚的
fasciolar	小束的
uncloak	脱去外套
clodhopping	粗鲁
cuso	加拿大大学海外服务处
supernal	神的
inquilinism	寄居动物
elysian	幸福的
audiodontics	声齿学
overflow	充满
frank	弗兰克
stubbed	残断的
autumnal	秋
cleocin	氯洁霉素
prince	王子
hyperaggressive	高度侵略性
riba	Royal
reprogram	改编
calipash	龟的背肉
ptfe	poly
dmt	discrete
synclinal	向斜
cline	渐变群
tarnation	咒骂
nu	纽埃
unentangled	未缠住
suberect	几乎直立
sauerbraten	糖醋烤牛肉
perithelium	周皮
unconfiding	缄默
jesuitical	狡猾
arcuation	弯曲
atherosis	动脉粥样化
intrusive	插入
ctol	常规起落
lubricative	润滑
pinpoint	极微小
uncomfortable	不安的
tetrachloroethane	`tetrE9klREJ`eWeIn/
introductive	介绍的
malemute	malamute
miesian	密斯建筑式样的
gruff	粗哑
ambush	伏兵
rouse	激起
demystification	非神秘化启蒙
preadapted	预适应
hilum	脐
kebbuck	纯干酪
histophysiological	组织生理组织生理学的
forest	植树于
endemic	风土的
crownwork	齿冠成形术
originative	有发明之才能的
enolization	烯醇化
scrappy	杂凑的
mortal	凡人
runover	超过篇幅的排印材料
corroboratory	确定的
integrate	使成整体
claque	一群捧场者
gibberish	快速而不清说的言语
atremble	颤抖的
stinkpot	一种小麝龟
nonnasal	非鼻的
immigrant	移居
cooptative	由原任委员投票
allomerism	异质同形
facilely	轻易地
narrow	使缩小
uncorrected	未调整的
ecce	瞧!看哪!
horsefaced	似马脸的
chillily	冷漠
granger	农夫
dishevel	使衣服弄皱
filiferous	产丝状物
condolatory	吊唁的
hornet	难缠的人物
canorous	音调优美
sprue	注入口
baronetage	从男爵的名册
colligation	捆绑
garment	衣服
vigilantly	警觉
event	活动
pergana	=pergunnah
glycolate	乙醇酸盐
possess	占有
ard	急性呼吸系统疾病
thunder	雷鸣
hominoid	似人猿的
swallowtail	风蝶
wattle	用编条做成
arseniureted	砷化
capsid	衣壳
embody	包含
cellarer	衣食住管理员
biosatellite	生物卫星
outswing	外弧线球的运动
offset	抵销
conglomerator	联合大企业的领导人
ontic	实体
aristo	贵族
caste	印度的世袭阶级
palatalize	使腭音化
thanatopsis	对死亡的见解等
bellflower	吊钟花
illusionist	魔术师
spongiose	多孔
slavophil	亲斯拉夫人的
eely	滑头滑脑
pollen	传授花粉给
scowl	怒容
guide	导游者
mcluhanesque	麦克卢恩
amaryllis	石蒜科孤挺花属植物
methoxybenzene	茴香醚
flourish	兴旺
sarcoadenoma	腺肉瘤
germinal	幼芽的
balzacian	巴尔扎克小说
putzfrau	女清洁工
darner	缝补台
ocean	大海
tonsorial	理发师
canvasser	游说者
renegue	拒绝
favela	贫民区
peopleless	无人居住
exiled	流亡
pythogenic	腐生的
similarity	类似处
slimly	苗条
festschrift	纪念文集
simpleness	单纯
limited	高级快车
tricksy	狡猾
hydraulic	水力的
globelet	滴
unitary	单一
interdependent	相互依存
emptiness	空虚
executive	行政的
dtp	desktop
frivolously	愚昧地
underdoctored	医生不足的
hairdressing	美发
russian	俄国的
railway	铁道
ruggedly	粗暴地
flittermouse	蝙蝠
stayer	耐性极强的人
dismemberment	支解
conscientious	尽责的
chip	碎片
spiritualization	净化
unsaturated	不饱和的
epaxially	轴后地
raptorial	捕食生物
johnsonian	约翰逊的
hausfrau	主妇
caprylic	羊脂酸的
thresh	推敲
centrosymmetric	中心对称的
twinge	刺痛
semilunar	半月形的
automatic	机械的
atheromatous	动脉粥样化的
beneficent	仁慈的
interventionism	IntE5venFEnIstLm/干涉謏
collision	冲突
bluesman	的人
unhired	未雇用
mythus	神话
mcpo	Master
indoor	室内的
rebukeful	责骂性的
financing	理财
banaban	巴纳巴岛人
intimidator	胁迫者
ruthenic	四价钌的
synovectomy	滑膜切除术
squadron	空军中队
fiery	炯炯有神的
canadian	加拿大人
jazzily	奔放
ethnarch	殖民地等的统治者
acantha	刺
dovetail	用鸠尾榫接合
imperfect	未完成过去时
wirk	=work
conspirator	阴谋者
fibroelastic	纤维弹性组织的
burse	奖学金
shambles	混乱的地方
amphicoelian	两凹
righten	整顿
buckhound	猎犬的一种
underproduce	生产不足
nonnatural	强迫
stopcock	活栓
nicotian	烟草的
pmkd	邮戳盖讫的
backroom	暗中
prolong	延长
grimly	冷酷
identically	同一
voodoo	伏都教的
dike	筑堤提防
truelove	轮叶王孙
hex	妖法
department	处
sprig	图钉
knawel	纱球草
ne	氖
pressroom	印刷间
trichomata	倒睫
redemptive	挽回的
contrasuggestible	抗暗示
afl	Labor
ignobly	下流地
fizzle	嘶嘶声
apocalyptical	天启
affinitive	关系紧密的
scopulate	有花粉刷的
vanadious	=vanadous
austere	操行上一丝不苟的
unbandage	从……上解去绷带
sloppy	多阴雨的
blotchy	到处有污点的
hymenotome	外膜刀
undesirous	无欲望的
seafront	面向海的一面
impracticably	无法可想地
lunatic	疯狂
heady	任性
dative	与格
awanting	缺乏的
inseparate	不分离的
additional	另外
progenitive	繁殖的
taxless	无税的
lethal	致命
ticklish	忌讳的
advertence	留意
numeration	计算
delectus	拉丁或希腊文选
roughwrought	粗制
roughtailed	尾巴粗糙
juice	汁
wash	冲洗
balame	平衡
pareu	一块长方形印花布
hottish	尚热
crenulated	细圆齿状的
attack	进攻
gauss	高斯
podded	有荚
vestige	退化的器官
unquelled	未被镇压的
woodturner	木料旋工
opsin	视蛋白
jansenism	派的信条
cipolin	意大利产大理石的一种
bathorse	军用驮马
curare	箭毒马鞍子
hopping	忙碌的
gastrectasia	胃胀
unpropitious	不吉利
geocentrical	由地球中心所见或测量
winona	威诺娜
supernate	上清液
warty	似疣
parietal	体壁
paunch	剖腹
work	煅制
scared	恐惧的
louvered	装有百叶窗板的
carmelite	派的托钵僧
tribrach	三臂动物
lexicographic	词典编辑的
feed	饲养
annuity	年金
turnstone	翻石鹬
dell	美国最大电脑厂商之一
corruption	堕落
antifertility	避孕的
valence	价
rackettail	球拍尾蜂鸟
synostosis	骨结合
farthest	最远
chubby	圆胖
increasing	越来越多
corsage	装饰女服上身或肩部的小花束
flunk	失败
parallactic	视差
raising	举
shuffleboard	推圆盘游戏
cantal	法国硬干酪
mirk	阴郁
underthings	内衣裤
direct	直接
ecdysis	蜕皮
crybaby	爱哭的人
hag	女巫
brace	曲柄的
trotskyist	托洛茨基分子
shaft	轴
epigynous	上位
polyprotodont	多门齿类动物
dictation	听写
bristletail	蠹虫
unitarian	一神派
mitchell	米切尔
jitterbug	爵士乐迷
ozonize	变成臭氧
settltment	殖民地
redolent	芬芳的
foamy	泡沫
gnathonic	阿谀
scandent	攀缘
tdy	duty
gallbladder	胆囊
tangent	离题
fanged	有牙根的
resignation	辞职
labourious	费劲
quixotism	唐吉诃德式性格
time	时机
ticket	入场券
seedy	褴褛的
entropion	睑内翻
gorilla	歹徒
teruggite	水合钙镁砷硼酸盐
bivouac	露营
deplorably	可叹
homophonic	同音
ichnographically	平面图法地
excruciate	施酷刑
overblouse	女式长罩衫
nora	Eleanor
popinjay	鹦鹉
lacerant	折磨人
supersubstantial	超物质的
thebes	底比斯
sepsis	脓血症
chimb	沟
san	Area
correctly	正确地
fedora	一种浅顶软呢帽
peck	啄食
kicker	善踢的人
photochemical	光化学
red	赤字
remarriage	再婚
beetroot	甜菜根
buccal	颊的
vlb	Bus
vasotomy	输精管切断术
bacchantic	崇拜酒神的
aerometer	量气计
conservative	守旧
goosegirl	照顾鹅群之女孩
accumulate	积聚
tocher	嫁妆
topeka	托皮卡
flippantly	轻率地
demiseason	介于两季之间的
pastorium	牧师宅邸
inaccurate	不准确的
callant	青年
sjd	Scientiae
springboard	跳板
superfluid	超流体的
hydrometer	液体比重计
diplogen	重氢
telegraph	打电报说
dawk	非鹰非鸽派
tercom	matching
down	开阔的高地
recruit	征募新兵
metalliding	金属间化合法
reappraise	重新评价
gnomish	似侏儒的
compliment	道贺
unsullied	清白
gibbose	拱起
cleistogamy	闭花受精
blastosphere	囊胚
competently	适合
stagflation	不景气状况下之物价上涨
excisable	应交纳货物税的
iconograph	图示
hurt	受伤
argot	暗语
xenodiagnosis	病煤接种诊断法
odorize	洒香水于
binocle	双眼望远镜
appreciate	涨价
disvalue	贬值
seton	泄液线
faggot	柴把
supersedure	取代
unswear	食言
pipelaying	铺设水管之工程
numerical	数字的
hypotrophy	不足生长
hyperphysical	与物质无关
jittery	战战兢兢的
riot	骚动
keelyvine	=keelivine
acerate	针状的
doomed	命定的
comtian	实证主义
eiderdown	鸭的绒毛
scrouge	挤
cephalometric	头部测量法
damsite	水库所在地
azotic	氮的
jazzily	愉快
spiculate	由针状物覆盖的
conqueringly	意洋洋
stygian	地狱的
electrostriction	电致伸缩
hypochondriacal	忧郁症的
driver	主动轮
necrotic	坏死的
missish	矜持
pasquil	=pasquinade
gaselier	煤气吊灯
mott	丛林
overdaring	有勇无谋
declension	格变化
subtorrid	=subtropical
explicative	解释的
headquarter	设总公司于……
suckle	养育
pluto	阴间之神
runless	无得分的
ladik	拉迪克地毯
velarize	使软腭化
outstation	远的驻扎地
millionfold	百万倍
polarimetric	偏振测定的
noted	著名的
azimuth	方位
redox	氧化还原作用
avionics	电子设备
inevitably	不可避免
julienne	切成丝
impish	似顽童
episcopate	主教
brownware	棕色陶器
sorosilicate	俦硅酸盐
promptitude	敏捷
conjugal	结婚
facebar	夹脸
agnosticism	不可知论
spool	缠绕在线轴上
constipate	便秘
arenic	竞技场
rafferty	混乱
motiveless	无动机
tubilingual	有管状舌的
nonobjectivism	抽象艺术
malassimilation	同化不良
kalmyk	=Kalmuck
feebleminded	精神薄弱的
universology	宇宙学
tumblerful	一杯的量
balky	倔强的
nephelitic	霞石
underlaid	置于下面的
age	时代
goblet	酒杯
norland	北部地方
sprite	调皮鬼
baldicoot	和尚
outrode	outride的过去式
