callow	年轻而无经验
slatter	使溢出
raaf	Royal
autonomy	自治
uat	Transport
pul	普尔
vfd	fire
miogeosynclinal	冒地槽
muskwood	麝香树
interstitial	裂缝的
syllabize	分成各个音节
exhalable	可吐出的
limacine	蛞蝓的
gandhiite	甘地的
dervish	伊斯兰教的托钵僧
despoil	夺取
maiden	未婚
augustan	奥古斯都时代
recolonize	开拓殖民
pcav	Constant
unscripted	不用剧本的
adamic	亚当
freeborn	适于自由民的
ethnohistory	人种史学
gassy	气状
prophylactic	预防药
fact	实情
hirudinoid	似水蛭
thickly	厚地
rosanna	罗赞娜
alaskan	阿拉斯加
underpin	加强……的基础
smacking	发出响声
avowable	可承认的
aerobics	有氧运动法
fanwise	如扇形地
gladly	欢喜地
lambkin	小羊
penological	监狱管理学
enticing	引诱
can	装进罐中
heterogametic	异形配子
hostile	敌对的
erring	错误
carpogonial	果胞
unabroken	完整的
kelleg	锚
bmr	rate
miee	Electrical
squawfish	大型食用淡水鱼
grovy	在树丛中
ozokerite	地蜡
fireweed	在火烧过的土地上长得极快的杂草
mitospore	有丝分裂孢子
gore	刺伤
pliancy	柔顺
anticlerical	反圣职者
notional	想象的
carloadings	装车数
decrepitude	老耄
ultimata	根本的原理
quintuplicate	五倍的
spck	Society
lou	卢
originate	起源
liquefacient	液化
monofunctional	单官能
usaid	for
supersensitive	过敏的
pinecone	松球
unambivalent	肯定
rollpast	重兵器行进
blind	瞎的
mastication	咀嚼
resistible	可抵抗的
drear	阴沉
pessimistically	悲观
liposarcoma	脂肪肉瘤
parlous	不易对付
bicapsular	两蒴的
derogatory	贬损
churn	搅动
pisiform	豌豆状
overpraise	过奖
enormous	庞大
theatricalize	使能演出
technicolored	天然色
impressively	令人难忘地
aspirer	追求者
elation	得意洋洋
gap	裂口
jovial	愉快的
jaunce	策马腾跃
becoming	合适的
cingulum	带
colotomy	人工肛门成形术
vlb	由VESA开发的一种局部总线
tatpurusha	两个名词合成的复合词
eucalypt	桉树
fantod	惊恐
rattlepated	愚蠢多嘴的
peg	佩格
unadvantageous	无助
manageability	易处理
seditionary	骚乱煽动的
bidarkee	海豹皮小艇
pubic	耻骨
supererogation	职责以外的工作
polyxena	波吕克塞娜
de	Germany
propitiatory	和解的
petitory	提出所有权要求的
galvanocautery	电烙
erratic	不稳定的
effloresce	风化
laparotomize	为……剖腹
hydrozincite	水锌矿
grilse	幼鲑
anamorphosis	畸形
indebtedness	亏欠
unrhythmic	无韵律
authority	权威人士
refrigerate	冷藏
urbane	文雅
molybdian	=molybdenian
metainfective	传染后的
esophagoscope	食管镜
knavishly	不正
shipment	装船
fluster	慌慌张张的行动
civvies	便服
northing	北距
transplacental	经胎盘
omber	三人玩的奥伯尔牌戏
ranchero	大农场经营者
frothy	空洞的
invertebrate	无骨气
coprophobia	排粪恐怖
chimaeric	=chimeric
liverleaf	獐耳细辛
photoactive	光敏
devise	图谋
clearwing	透明翅膀的蛾
watchword	口号
extract	开方
valued	宝贵
rapine	抢夺
surfrider	冲浪运动员
labour	与工党有关的
backbiting	中伤
genearch	族长
antianxity	抗焦虑
speciosity	似是而非
repute	称为
bewitching	使人着迷
fusimotor	肌梭运动神经的
sylleptic	兼用法
wardian	沃德箱
goodman	男人敬称
transphosphorylation	转磷酸
ammonium	铵
diplomatic	外交
unexcited	镇定
asinine	驴
lose	输去
synchronization	同一时刻
endowment	捐赠
halves	同分数
jutish	朱特人
gilt	镀金
apiece	每人
phlogopite	金云母
apa	Press
vrml	Virtual
calculous	微积分
salesian	教徒
monozygotic	单卵的
theravada	=Hinayana
chionodoxa	四萼齿草
underprize	低估
prewar	战前
topgallant	最佳
convulsively	痉挛性
chronical	=chronic
unpatriotic	无爱国心
democratic	平民
nauseating	恶心
paleocrystic	长期冻结
baccivorous	食浆果的
kneeboss	膝甲
procambium	前形成层
skillful	灵巧的
wrcb	Board
linoleate	亚油酸盐
acqierement	学
average	一般的
maligner	中伤者
idle	闲散
kindle	使着火
versant	熟悉
resectoscope	前列腺切除器
windhoek	温得和克
fordless	没有浅滩的
alingual	任何语言都说不流利
jacobin	雅各宾派及其政策的
dihydrate	二水合物
blindfold	盲目的
snatchy	断断续续
muggletonian	马格莱顿教派信徒
ditchdigging	掘沟渠之工作
tradeoff	折衷
jaundice	使怀偏见
aedicula	小型建筑物
entomoplily'	NULL)
underseas	海底地
indicative	指示
pallasite	石铁陨石
separatory	分离性
haematophyte	血寄生真菌
glial	神经胶质
underbush	=underbrush
ornate	绚丽
bicuspidate	有两个尖头的
unwavering	不动摇
blowfly	大苍蝇
iota	极微小
erasure	擦除
unrepair	=disrepair
rolleiflex	禄来福来反光照相机
bestial	野兽
praedial	土地的
anoxic	缺氧
arrester	避雷器
shiny	晴朗
unchangeably	不易
fornicate	拱状的
antisabbatarian	反对守安息日
indian	印度
unenlivened	无生气的
epicurean	信奉伊比鸠鲁学说者
canonic	依教规
lucid	明晰
acarpous	不结果
wire	电线
fecundity	多产
fourth	第四个
integraph	积分器
hyposulfite	硫代硫酸钠
abidingly	永久
aecium	锈子器
very	特别的
mulch	覆盖树根
fiat	批准
sherwani	高领长外套
polyidrosis	=polyhidrosis
moonquake	月震
magnetron	磁电管
unperfect	=imperfect
lensed	有透镜的
decagon	十边形
baneful	有害
sizzler	极烫的东西
with	就
ungainly	笨拙
acknowledge	承认
rason	黑色宽袖长袍
coastward	朝着海岸
confederacy	同谋
culturist	培养者
perennial	四季不断
appulsion	趋向
nationwide	全国性
cabrilla	热带海水鲈鱼
semiskilled	半熟练
logos	与神同一的道
actinomycotic	放射菌病的
babysitter	临时照顾幼儿者
multiparous	经产的
former	模型
masquerade	化装
artiodactylous	偶蹄动物的
inextricable	逃脱不掉
synthetical	综合
rabbet	槽口接缝处
intitule	以……为标题
undone	未完成的
unshirkable	无法逃避的
subsequently	随后
disenablement	使不能
exhortative	劝勉
herniary	疝的
unjoint	解开结子
floriated	花形的
devolute	移交
mystical	神秘
tad	小孩子
flub	把……搞得一团糟
insessorial	适合于栖止
outward	外出的
transit	搬运
dipteran	双翅类
derriere	臀部
pohai	Sea
mathematicization	=mathematization
refresh	更新
esl	English
fatigue	疲乏
cms	颜色管理系统
psro	职业标准审查组织
oceanological	海洋学的
fascistize	使信仰法西斯主义
wearisome	乏味的
golden	黄金
perdurability	永恒
territory	领土
fy	fiscal
mineragraphy	矿相学
recrystallize	再结晶
schoolteaching	教师的职务
abominator	嫌恶者
flaunt	招展
unhidden	不掩盖的
insider	权威人士
homoerotism	同性恋
mucky	粪肥
trochoid	次摆线
assertory	断言的
halide	卤化物
water	水
deed	立契转让
academe	学院
gravitate	受引力作用
altar	圣坛
undam	使从堤中涌出
fluid	流动
ineffectively	无用地
quackish	庸医
patternmaking	制模
pugnacious	好斗的
cragged	岩多
red	红衣服
wirepuller	背后牵线者
fascinating	着魔
unnoteworthy	不显著
cataleptic	全身僵硬症病人
coxcombical	浮夸的
bucker	突然跃腾使骑者摔下
socially	在全社会中
unplantable	不可种植的
flimsy	没有价值的
snipe	猎鸟
vacationist	休假者
australasia	澳大拉西亚
duplicated	复制出的
trendy	新潮人物
hoarsely	刺耳地
uddi	Discovery
homonymous	双关的
moulage	印模
maiden	未婚的
irritating	刺激的
mali	马里
radiometry	辐射线测定
majestic	庄严的
spck	for
sortita	出场咏叹调
enigmatical	难解的
carucage	每一卡勒凯特的土地税
uproot	根除
woolshed	羊毛剪理捆装场
fast	彻底地
steamy	蒸汽
fact	真相
impedient	阻碍物
arala	印度产的鹳类
hutch	茅屋
cony	兔毛皮
rampageous	暴跳的
caller	新鲜的
visitandine	圣母往见会修女
zanza	一种敲击木琴
atmospherically	由大气压所致
slow	缓慢的
hybridist	杂种繁殖者
resolutely	毅然
ceaselessly	不断地
verify	校验
adi	intake
fairly	公平对待某人
responaut	靠呼吸器维持呼吸的病人
thesp	=Thespian
unlistening	不留神听的
succose	多汁的
osteal	骨性
hegumen	修道院长
hypertonic	张力亢进
hex	十六进制
molecularity	分子状
laconia	拉哥尼亚
roadable	适于在路面行驶的
exemplify	作为……例子
ofris	Old
pigeonhole	归档
matriculate	被录取入学
saint	道德崇高的人
payload	有效载荷
consociation	联盟
optacon	奥普特康盲人电子阅读仪
centum	百
bento	盒饭或饭盒
contrariously	不利地
wetly	有湿气
favorably	好意地
tetraspermous	四种子
unbeknown	不为人知的
synaesthesia	牵连感觉
thixotropic	摇溶的
cantabrigian	模仿剑桥大学
unleased	未租出
undefendable	不能保卫
sensoria	感觉系统
hotter	热的
alimental	富有养分的
braggart	自夸
beravement	丧失
aubrey	奥布里
clinamen	趋势
another	另外
temporal	世俗的
redbreast	知更鸟
tatting	梭结花边
sketchily	写生风格地
tercom	contour
welsh	逃避食言
erasure	擦除的字
illusory	不牢靠
sectarianism	派别心
beset	困扰
fawning	奉承的
suggestive	暗示的
story	谎话
euphemia	尤菲米娅
polyether	聚醚
delate	告发
fast	耐久
immure	把……嵌在墙上
denitrify	除氮化物
susceptibility	易感性
bora	澳洲土人男孩成人仪式
yearlong	整整一年
overtrain	训练过度
netop	伙伴
approvingly	赞许地
men	的复数
neral	橙花醛
nervily	强壮地
debater	讨论者
affinitive	密切相关的
grafter	嫁接的人
foremost	首要
crockery	瓦器
zonally	带
guesstimate	依推测的估计
award	奖
pensionary	领养老金的人
handwoven	以手织机编织的
inscription	题字
endothermic	吸热
benefit	好处
rubasse	红水晶
gallinipper	大蚊子
legalise	=legalize
evillooking	相貌凶恶的
abrasion	磨损
looby	笨蛋
retarded	发展迟缓的
ossuarium	=ossuary
toxicologically	毒物学
fructicative	能结果实
monsoon	雨季
morphologic	形态学
cussed	乖僻
manual	实际占有
unequalable	超不过的
gobang	五子棋
piquant	淘气
prefer	更喜欢
unwary	不警惕
strickle	刮光
postmortem	死后的
madzoon	=matzoon
iii	罗马数字
aspect	面貌
mega	大
monoblastic	单核细胞性的
isobutylene	异丁烯
fissiparous	分裂生殖
vendition	贩卖
unworldly	非尘世的
ululate	悲泣
cogent	使人首肯
crossbreed	异种交配
sound	彻底
kidskin	小山羊皮
dekameter	=decameter
filibuster	暴兵
anginal	心绞痛
tinkler	小铃
rontgen	有关X光
outshoot	外角球
novillo	小公牛
chivvy	烦扰
showup	暴露
barye	微巴
vehicular	用车辆运载
extended	扩大范围的
nosogenesis	致病原因
neoarsphenamine	九一四
catacomb	地下墓穴
patagonian	巴塔哥尼亚人
inventroy	详细目录
yarmalke	=yarmulke
saccharide	糖类
fermentor	发酵罐
hand	手
colloquium	讨论会
twelvemo	十二开
bedsock	睡时穿的保暖袜子
footsie	挑逗
robustious	粗野
alveolate	多小孔的
gynaecomastia	男子女性型乳房
wsb	Stabilization
whereto	去何处
desire	要求
flee	逃跑
necropolis	古代的埋葬地
scent	香味
marshall	~
policy	政策
set	趋势
nondestructive	非破坏性的
habitual	惯常的
eccentricity	古怪
occultist	术士
filthily	污秽
kevlar	纤维B
snobol	SNOBOL语言
witchcraft	魔法
mean	卑鄙
egoistically	利己地
sonorously	响亮地
fifa	Football
krona	克朗
binal	孪生
unfortunate	使人遗憾
gag	使呕吐
expend	花费
acuate	锐利
blm	Management土地管理局
galenist	盖仑的信徒
connubially	婚姻上
recessional	后退的
concessional	容许的
justle	拥挤
inextirpable	无法消灭
quadrilled	方眼的
dravidic	=Dravidian
ideaistic	思想的
scan	细看
uncondescending	不俯就
pallet	棘爪
tannish	浅棕色
thermae	温泉
multilane	多车道
asbolite	钴土
philippic	痛斥
handwriting	笔迹
herder	牧者
feathering	羽毛箭
polka	波尔卡舞
bimestrial	每两个月发生一次
winterly	冷淡
ulcerate	溃烂
dopester	预测结果的人
riffle	使起涟漪
bonkers	疯狂
mouthy	爱说话的
censorial	检查官
gamogenesis	两性生殖
apathetic	缺乏感情
weeklong	为时一周的
whop	打击声
wifely	妻的
swagger	狂妄自大者
proteid	含蛋白质的
feelingless	无感觉
saleratus	重碳酸钠
oscular	嘴的
morphologic	语形学
histioid	蜘蛛网状
undisguised	不戴假面具的
symphony	交响乐
benthonic	湖底的
run	使跑
ckd	完全拆开的
salami	意大利腊肠
syenite	黑花岗石
marengo	油炸后加西红柿和蘑菇一起炖
slipstick	计算尺
transducer	变换器
prancy	腾跃的
choroid	脉络膜
perrier	毕雷矿泉水
gerontocracy	老人政治
medusa	水母
exsuccous	干
okazaki	冈崎
thaumatrope	西洋镜
tannin	丹宁酸
nicer	良好
pigmentation	染色
comparative	比较
running	运转
brusquely	粗率
ganda	干达人
fossilology	古生物学
trichopteran	毛翅目
commandery	骑士团管理
amentia	智力缺陷
contraceptive	避孕品
unwitting	不知情的
buonaparte	波拿巴家族
prosody	韵律学
demisemi	四分之一
cmos	Complementary
barycentre	引力中心
sniggle	向鳝鱼洞垂下钓钩钓
detritivorous	食粪的
tabasco	塔巴斯哥
chymic	化学
alimentative	富于营养的
extinguishable	可绝灭的
premium	奖赏
sesquipedalian	多音节
weekend	周末的
nicotiana	烟草
legalist	法律学家
bicorporeal	有两个主要部分的
embryocardia	胎样心音
brim	边
oenophile	酒品尝家
ballistically	发射地
unimpressible	不可印
unbesought	未恳求
atmologist	水蒸气学者
kettle	壶
monogenist	人类同源论者
goy	异教徒
gelable	能变成胶状
amimeche	of
medusa	水母体
contemplative	沉思的
hognosed	鼻子像猪鼻
transmembrane	横跨膜
libyan	代利比亚语的
official	职务上的
subjoint	副关节
matey	平易近人的
romanian	罗马尼亚
undistinguished	听不清
ancient	旧
scholastic	学生
scutter	疾走
great	强烈的
irides	彩虹
brace	带子
companding	压缩扩展
hexapartite	分六部分
napless	磨破了
squamose	鳞状
mildew	生霉
effacement	抹杀
rush	闯
unromantic	平淡无奇
bushwhacking	砍伐丛林而前进
atoneable	=atonable
reflexological	反射论
tinnily	含锡
expressionistic	有表现派作风
tympano	tympani的单数
rule	规则
ocd	Defense
pluckily	大胆地
councilor	议员
antilysin	抗溶素
bishopric	主教辖区
coiner	创造者
insanity	精神错乱
inference	推论
isotherm	等温线
disband	裁减
unpresented	未提出的
gonfalonier	中世纪意大利都市国家的行政长官
dirty	卑鄙
will	遗嘱
plebby	平庸的
pandarus	潘达洛斯
reimportation	再输入的东西
holarctic	全北区
scheme	安排
fenian	芬尼亚主义
deathblow	致命的打击
metrics	作诗法
towardly	和蔼可亲的
underseas	海面下地
spooney	=spoony
stud	散布
transpose	调换
camp	露营地
parenteral	不经肠
cetologist	鲸类学者
qp	queen''s
regreet	回敬
chambezi	赞比及河
uddi	Description
conveyable	可搬运
hemosiderotic	血铁质
omission	冗长
sawder	花言巧语
taligrade	行走时重量落在足外侧
mukhtar	乡长
revers	翻边
headlong	轻率地
cathartic	通便药
transthoracic	经胸廓
adoptive	采用
chlorophenol	氯酚
holistic	整体的
orthoepy	正确法
passkey	万能钥匙
hierocratic	僧侣统治的
boreal	北
ur	吾珥
illative	推理的
dished	中凹的
logion	箴言
melanophore	载黑素细胞
jesuitical	阴险的
loot	掠夺
ambivalent	矛盾的
frostbound	不热情
corruption	贪污
winglike	翼状的
firmly	坚定地
brutality	野蛮的行为
lithium	锂
transactor	办理人
unscale	除去……的鳞片
hhfa	Housing
clasp	抱住
triggerfish	热带鱼的一种
hypobaropathy	高空病
phosphocreatin	磷酸肌酸
psychoactive	作用于精神
proscript	被放逐的人
solon	梭伦
waveshape	=waveform
gastrin	胃泌激素
bivouac	露宿
eurygnathous	上颔宽大的
popcorn	爆米花
cholane	胆烷
insectile	似昆虫
excuse	饶恕
place	地位
steep	不合理的
harlotry	卖淫行为
misdirection	写错
queue	队列
phoenix	完美之物
handpick	用手挑选
paleocene	古新统
altricial	晚成雏
monobasic	单碱
idiosyncratic	特殊物质的
chiasmatypy	染色体交叉
phimosis	包茎
absorber	吸收体
plethoric	多血症的
geopolitic	地理政治学的
fraction	分数
genal	颊
jugoslav	南斯拉夫人
undertake	保证
acne	痤疮
elf	恶人
safflower	红花
plumbiferous	含铅
semiarboreal	半林栖
unfair	不公平
vhs	家用录像系统
geoponic	农业
belated	误期的
leisured	从容不迫
interdictory	禁止
aboard	在船
grizzle	灰色物
contextual	前后关系
hybridise	=hybridize
fade	平淡
talking	说话
quarreler	争吵的人
caiaphas	该亚法
aborative	煞费苦心的
superactinide	series
film	影片
around	在……周围
lankly	瘦地
triplicity	三倍
amphimictic	杂交繁育
velutinous	有绒毛
laminated	层压的
gnarl	瘤
finis	终结
regan	里根
tumultuously	喧闹
yalta	雅尔塔
koa	其木材
cochleate	螺旋形
senatus	=senatus
triturable	可研磨成粉末
muster	集合
bowlder	圆石头
bechamel	调味酱
novato	诺瓦托
voyeuristic	喜好窥阴的
shoresman	陆上业务人员
rake	用耙子耙
anastatic	凸版
bewitch	施魔法于
heterocrine	多种分泌的
unconcerned	不关心的
piggish	猪一般
hemiparetic	轻偏瘫的
arenaceous	多沙
banderol	飘带
shadowed	附有阴影
extraparliamentary	国会权力以外
imputable	可归咎的
bowlful	一满碗
cognizant	认知
awing	飞翔的
mall	林荫路
boottree	鞋楦
snowflake	雪花
beggar	乞丐
nonrecoverable	无法收回的
oswald	奥斯瓦德
miee	Engineers
intergalactic	银河间
nupe	of
ungraceful	无礼貌
eremurus	独尾草属植物
sarape	一种华丽的毛织布
luzon	吕宋岛
cv	computer
stonework	做石工的场所
asi	空速指示器
likuta	里库塔
allocable	可拨出的
rabboni	先生
canuck	法裔的加拿大人
setup	调整
pastime	娱乐
worthy	应……
metrication	十进位制
foil	阻止
unpresumptuous	谦逊的
interceptive	截断的
tetralogy	四联剧
telegenic	适于电视广播
peccancy	犯罪
begad	天哪
delicate	灵敏的
titlark	云雀之类
flavourless	无味的
glottal	用声门发声的
lias	早侏罗世
flavopurpurin	媒染3号茜素红
summoner	法院传票送达员
persicaria	=redshank
version	译本
setenant	连在一起面值不同
petitor	申请人
larker	嬉戏者
popular	通俗的
twig	注意
latteen	=lateen
mediagenic	为传媒服务对象
laryngitic	喉炎的
haplology	重复音略读
lordly	贵族的
beef	牛肉
ussr	苏联
unstuffed	不拥挤
oberon	之夫
festa	祝宴会
preindustrial	工业化前的
benthonic	湖底
justification	认为有理
manual	手册
fairly	清楚地
accrual	获利
resiniferous	含树脂的
boding	先兆
entry	条目
quillback	背鳍前部象翎管而突出的北美产淡水鱼
unconscious	不省人事
coordination	调和
apprehensible	可理解
experientialism	经验至上lIst/
evan	埃文
dentary	有齿的
infective	影响别人的
dor	发出嗡嗡声的昆虫
determinatum	受定语
grungy	低劣
omnisex	包括男性与女性
garnish	装饰
fillet	头带
unpublicized	未公布的
vedic	吠陀
papillary	乳突
fiducial	根据信仰的
captive	被迷住的
collide	抵触
undistinguishable	/
director	导演
discant	=descant
analysis	分解
apivorous	以蜜蜂为食的
unbar	拔去门闩
unbirthday	非生日那一天的
square	坚定地
horizon	地平线
vestibule	为……设门廊
dilatory	拖拉的
transversal	截线
innervation	神经支配
tlo	loss
wassail	酒宴
uncoffin	把……从棺材中移出
corporation	社团
contempt	耻辱
tonga	汤加
hwyl	炽热感情
wham	重打声
spiel	故事
ketolytic	解酮作用
tough	凶恶的
aborative	精心的
sara	萨拉族
sinneh	=Sanandaj
catalonian	加泰罗尼亚的
subcutaneous	皮下的
divinatory	占卦的
trillionth	第一兆
safedeposit	安全保管
dominical	主日的
linden	菩提树
reward	奖金
reproachfully	责备
cornucopia	哺乳宙斯的羊角
tasmania	塔斯马尼亚岛
motley	穿染色衣的
scaletail	鳞尾松鼠
nother	不同的
carfare	公共汽车费
sahelian	萨赫勒地区
punctulated	有凹陷
pride	傲慢
australasian	澳大拉西亚人
bowery	树荫的
lipotropic	抗脂肪肝的
gynaecoid	女性的
hibernation	避寒
commute	整流
uneducated	无知
frisk	快乐的时刻
mizoram	米佐拉姆
neutrophilic	嗜中性
yield	生产
dallas	达拉斯
nauseate	使恶心
hedgepig	环形筑垒阵地
mirror	反映
aspca	to
present	当面
slavonia	斯拉沃尼亚
thalidomide	镇静剂
fount	墨水缸
trichopathy	毛发病
prurigo	痒疹
enduringly	耐久地
undynamic	无活力
propitiatory	和解
overchurched	设有过多教堂的
entelechy	圆满实现
flocculous	丛毛状
homicidal	有杀人嗜好的
monogenean	单殖吸虫
kaon	中介子
hunchbacked	驼背的
stall	迟延
demandable	可请求
shindig	骚动
capacitance	电容
multidialectal	能讲2种以上方言的
sootlike	似煤炱的
nog	木钉
maukin	=malkin
undetected	未被发现的
flowerlike	象花
coastward	向海岸
execrative	诅咒
ninety	九十
ketch	一种双桅船
hmas	Ship澳大利亚皇家海军舰艇
feature	特写
haunted	闹鬼
ripsnorter	喧闹的人
nonage	早期
uncdf	United
project	发射
dutiful	顺从
mediocritize	使变得平庸
italianism	意大利式
cheering	令人高兴
acerous	无触须的
cramp	抽筋
unrestrained	无限制的
mangonel	投石机
butcherly	无人性的
promine	促生长素
exposure	方向
suspectable	可疑
mitreboard	斜锯架
milimeter	千米
ergonomist	生物工程学者
unmercenary	不是仅仅为金钱
nds	Novell
proletarianism	无产阶级性
timidly	胆小地
flee	消散
bahai	巴哈教
leftover	剩余的
vaginate	似鞘的
ymha	Association
broadcaster	广播员
hesper	黄昏星
prodrome	序论
atapi	Attachment
welt	伤痕
frondescence	叶丛
actinometry	辐射测量学
inscrutable	不能预测
nicker	马嘶
exposure	揭发
irreplaceable	不能代替
prominently	显著
tittivate	装饰
zyme	酶
making	制造
tough	强硬
dray	用马车运载
ensate	剑形的
asphodel	水仙
unexpressive	=inexpressive
prussian	普鲁士
minister	大臣
rummily	奇妙
deadborn	死产的
interjectional	感蘨ze/9IntE`dVekFL敬实
gravitate	倾向
entitle	给……称号
abloom	开花的
isolated	孤立的
intravital	作用于活体
idiocratically	癖好
insinuative	讽刺
triumphant	胜利的
psychotogen	致精神病药物
oke	好的
agriculturist	农场经营者
clop	发得得声
tumbrel	施肥车
lanceted	矛尖状装饰的
waste	荒
immensely	庞大地
enchorial	古埃及人的通俗文字
detergency	去垢性
hierodule	圣役
raffinate	剩余液
toes	脚趾
schwartza	=schvartze
nonresidential	非居住
adult	成年人
graticule	分成小方格以便复制的图形
fratricide	杀兄弟的行为
gag	箝口物
lysergide	=lysergic
frap	缚紧
sloppy	潮湿的
capitulaitonist	投降主义
infernally	可憎地
chinagraph	瓷器描笔
bunghole	桶孔
highjack	劫持
cement	用水泥涂
duorail	两轨铁路
jutish	朱特人的
underflow	下溢
onwards	在先
vengefully	复仇心切地
rap	交谈
arboreal	树的
dispirited	沮丧
hunky	匈牙利人
brittle	脆弱的
gallop	疾驰
ventriloquous	口技的
dependent	依赖
outgo	消耗
excuse	理由
bum	乞讨
falteringly	支吾
visibility	可见度
draconic	严峻
harvardian	哈佛大学的
espieglerie	戏谑
ensilage	新鲜秣草之保藏
carpal	腕骨的
moosebird	灰噪鸦
samnite	意大利一古民族人的
barytone	男中音
constringe	使收敛
uricacidemia	尿酸血症
ozonide	臭氧化物
screen	屏风
askance	斜视
trilobate	具三裂片
weatherproof	不受天气影响的
caput	首
upheave	隆起
aok	一切正常
restitute	复原
bareboat	空船的
inhuman	野蛮
craniotomy	颅骨切开术
acquiescently	顺从
superduper	非常好
chaucerism	乔叟式的文体
enchylema	透明质
acerbating	使烦恼
proof	不能透入
prospect	前景
hermaphroditism	雌雄同体性
unflawed	无缺点的
gobbledygook	官样文章
checked	棋盘状
lagthing	挪威议会的上院
refurnish	再供给
hypergolic	自行着火的
yha	Youth
validly	正当地
bowl	碗状物
wain	运货马车
diacritical	可区别的
alamode	流行的
defensibly	可辩护地
midterm	中间的
asosan	阿苏山
roughwrought	粗制的
refill	新补充物
highly	高
mole	筑有防波堤的海港
undercharge	未给……装足够的火药
twifold	两倍
producer	生产者
extremely	极端
internationally	国际性地
plastogene	质体基因
hierocratic	僧侣统治制度
waterscape	海景
tenable	可维持
bronchobuster	牛仔
untilled	未开垦的
probably	或许
fanback	有扇形靠背
unpolluted	清洁
sparing	保守的
vainglory	自负
chaw	嚼
pectinesterase	果胶酯酶
gargle	含漱剂
wellsite	钙交沸石
thir	pro
modesty	虚心
benzophenone	苯甲酮
colorful	有趣的
making	素质
uncharted	未知
feodal	领
biogeocoenosis	生态系
permanence	永久
styliform	末端尖而细长
rpc	Corps
amiantus	石棉的一种
balsamic	香膏质的
pettifogging	骗人
tortious	侵权行为
biblical	圣经
amort	无生气的
unpolluted	未受污染
fearless	大胆的
eventless	平凡的
opuscule	小作品
camping	野营
vane	风环
projecting	突出的
heaping	放得太多
ichthyosarcotoxism	鱼肉中毒
byzantine	拜占庭派的建筑师
acarpous	不结果的
pantheon	罗马万神殿
crossette	门耳
butcherly	残忍
chairoplane	旋转飞椅
crenel	城或墙顶之垛口
vulgate	通行
flickering	闪烁
professional	专业人员
extendible	可伸长的
preshrunk	加以防缩加工
pedometer	步数计
photoflash	照相闪光灯的
uncharming	可厌
housework	家务
harmonistic	悦耳
faithful	可靠
surplusage	剩余物
dramatic	生动的
wetland	沼泽地
basis	基本
warrior	战斗
epicanthic	内眦皮
twitch	痉挛
infector	传播者
reverent	尊敬的
