snubby	好轻视人
derail	出轨
dicom	Medicine
cribellum	辅助吐丝器官
brilliantly	光亮地
aigrette	白鹭
scanty	不充足
geophone	地音探听器
koranic	可兰经
skyey	高耸云霄的
walloon	瓦龙人
frigging	要命的
surrebutter	原告的第三次辩驳
xsl	可扩展样式表语言
proletarian	无产阶级的
endite	=indite
voluntary	非官办的
erective	建立的
mastoid	乳头状的
consuetudinary	习俗
leprous	患麻疯病
infinitesimal	极小的
attachable	可逮捕的
defier	挑战者
coagulation	凝结物
preocular	眼前的
innerve	刺激神经
ticktack	滴答声
reducible	可约的
intracranial	头颅内的
beastly	残忍
lobbyist	说客
copulation	交配
mas	Agency
correct	告诫
upholster	装饰
involute	渐开线
unmeaning	无意义
belligerent	交战国
presurgical	手术前
beelzebub	魔鬼
unsccur	Resources
camerlingo	财政官
razzle	旋转木马
effectuate	完成
amain	全力
simile	明喻的词语用法
chantable	易唱的
transracial	不同种族间
cardiotoxic	心脏中毒的
pub	客栈
blarney	阿谀
scurrilously	下流
elliptical	椭圆的
pagination	分页
introduction	绪论
caudal	近尾部的
scaddle	凶猛
justiciable	可在法庭裁判
latticing	装格子
accord	符合
addle	使糊涂
hepatogenous	由肝产生的
wise	博学
this	今
unroyal	非国王
putschism	鼓吹起义
loose	散漫
unrenewable	无法再用
staminode	退化雄蕊
pyrometry	测高温学
mcluhanesque	麦克卢恩学说
triable	可以试一下
tableful	一桌东西
smokeproof	防烟的
gratulation	祝贺
gular	在咽的
skulker	偷偷隐躲起来的人
cetacean	鲸类动物
airfreight	货物空运
greet	向……致意
fatted	肥胖的
dolomite	白云石
neighboring	接壤的
aurae	光环
cutup	诙谐的人
guzzle	暴食
sectarianism	宗派主义
roughwrought	经粗加工的
khz	kilohertz
twill	斜纹织物
corydon	农夫
apricot	杏树
kinsoku	避头尾
ultramicrotome	超微切片机
xenotropic	向异
miraculous	不可思议
mugger	泽鳄
phenolize	用石炭酸处理
revengefully	燃起报复念头地
uropygial	尾臀
cylindric	圆柱状的
premium	额外费用
apery	仿人
eighty	八十
matchwood	做火柴杆的木料
rabbitwood	兔子木
sacramentalist	圣事主义者
confidently	信赖
estrogenic	动情激素
wassailer	祝酒者
strange	生疏
hypergolic	自燃的
cambodia	柬埔寨
worldbeater	举世无比的人
distobuccal	远中颊
hospitality	盛情
regain	重新夺得
gemini	双子宫
hydropical	=dropsical
mim	假装羞怯
masterless	无主人控制
charlottetown	夏洛特敦
heritor	继承人
cybele	西布莉
pleach	编织
clumsiness	笨拙
musketeer	步兵
sponge	海绵状物
working	劳动
mangily	污秽
afternoon	晚期
innervate	使受神经支配
frgs	Geographical
headwaiter	服务生领班
multidimensional	多维的
lyophiled	冻干的
antisudorific	止汗剂
sephardic	西班牙系犹太人的
cavity	洞
fulgid	灿烂
mathurai	=Madurai
sphinges	神秘的人
invariablenes	不变
vasculitis	血管炎
diallel	异雄同雌
shirr	拉成褶
ucla	Los
fieldwork	现场工作
screak	刺耳的声音
aerophobe	飞行恐怖症患者
edgily	轮廓过分鲜明
riposte	机敏回答
dance	舞蹈艺术
female	柔和
deplumation	换羽毛
incalescent	温度渐增的
fanatic	狂热的
polyphonous	=polyphonic
acrimonious	严厉
wishful	想望
sforzato	加强地
phenix	不死鸟
secretary	大臣
founder	方正集团
popular	流行
queensware	女王陶
nixie	nix的阴性形式
muzz	使迟钝
clerk	办事员
rutile	金红石
epidermal	表皮
achaean	希腊人
infatuatedly	迷恋地
mythical	神话
fan	飘动
borax	硼砂
semistarved	半饥饿
mime	Extension
heliotactic	向日性
estreat	摘抄
tangential	切线的
malachi	玛拉基书
while	当……的时候
daysman	仲裁人
nettlesome	恼人的
toxemia	血毒症
cankerous	腐蚀
psychomotor	精神运动的
railcar	铁路车
tarpeian	塔尔皮亚岩石的
armonica	玻璃口琴
easytran	翻译用电子计算机
thereof	它
cursoriness	粗率
eacm	African
chrysarobin	驱虫豆素
shave	刮
unspeakable	无法形容的
archaeological	考古学上
stale	陈腐
prow	舰首
sprig	小枝
reduction	缩小
dyschronous	时间不一致
pretty	恰当
blindage	掩体
prejudicial	引起偏见
refution	反驳
carboxylate	羧酸酯
snipe	被开玩笑的人物
pollucite	铯榴石
lifeline	生命线
chromous	含二价铬的
transmission	转播
hindustani	印度人
andersen	安徒生
whiff	一点点
bossy	专横的
bottomless	难解
square	符合
lumberly	迟缓
limit	限制
roughrider	驯马师
polisher	磨光器
awry	歪斜
limit	限定
rampant	狂暴的
unplucked	未扯掉的
wrangell	兰格尔山脉
hypothetical	假设的
surpassingly	卓越
lacker	漆
governable	可支配的
ashram	嬉皮群居村
hooklet	小钩子
dividend	奖金
multidialectal	种以上方言
phonematic	音位学的
palaeolith	旧石器
muster	集聚
explicative	阐明
classification	分类
discrepantly	矛盾
palaver	哄骗
wristwatch	手表
defensibly	可保卫
filariae	丝虫属
transmural	透壁
sports	有关运动
reparative	弥补
counterpart	副本
hematoblastic	血胚细胞的
misdiagnose	错误地诊断
psychotoxic	有害
syndicalism	工会组织主义
devotedly	一心一意
literarily	学术上
velocipede	手压车之一种
gnarl	咆哮
flitch	料板
panoply	全套甲胄
ruminatively	沉思默想地
incombustible	不燃性的
peck	配克
preventable	可预防
corporative	法人的
slan	sine
melodic	调子美妙
motorcade	汽车行列
suberin	软木脂
gun	手枪
gph	per
speechcraft	口才
pocketful	满袋
stage	戏剧
disestablishmentarian	主张国家对教会不予承认者
correlativity	相关关系
forecast	预报
lightship	灯塔船
denazification	消灭纳粹化
biotherapy	生物制剂疗法
ectogenous	体外生活的
vrouw	妻子
superinduce	增添
inturned	性格内向
liegeman	臣下
epidermal	外皮
worthless	无益的
contrive	图谋
extraordinaire	异常
fetch	带来
hurtling	疾驰
groupuscule	小派别
flowerage	开花
dormantpartner	隐名
caucus	举行或参加政党领导层秘密的预备会议
bactrian	大夏人
foudroyant	使人眼花缭乱
pyloric	幽门
unspotted	清白
unlively	无生气
foully	卑鄙地
outlook	展望
eric	Educational
dewdrop	露珠
brooklynese	布鲁克林口音
outlandish	古怪
samos	satellite
unvanquishable	不能征服的
characterization	描述
yaf	Americans
padrone	主人
essential	精华
ictus	爆发
claustrophobic	幽闭恐怖症的
trailing	被拖动
deintegro	重新
housewife	针线盒
constance	康士坦茨湖
heavenly	天上的
gigglish	喜欢傻笑
asway	摇摆的
favoringly	有帮助地
illiberalism	非自由主义
beetling	突出的
dullish	稍钝的
indecisive	非决定性
gamebook	猎获物记录簿
villeurbanne	维勒班
reverberatory	回响
scarcely	简直没有
ocdm	Mobilization
unalienated	未转让的
oxter	二腕的内侧
photoautotroph	tEf/
uniplanar	单面延展
savage	残忍
sheshbesh	子游戏
antoninianus	第三世纪的罗马银币
debouche	出口
fossorial	适于掘地的
keister	小提包
braless	不戴胸罩的
diverting	有趣
fastish	相当快速
informative	见闻广博
mordacious	刻薄的
viceroyship	职权或辖区
half	部分
bear	挤
poop	船尾
abstriction	缢离作用
planirostral	具扁喙的
strictly	确实地
religion	宗教
sardis	萨迪斯
negrohead	压榨的烟砖
paycheck	付薪水的支票
scousian	利物浦
fideicommissary	遗嘱中将部分财产赠予第三者
strikingly	引人侧目
lop	修剪
cachexia	恶病体质
outspent	outspend
include	包含
perfoliate	茎贯穿叶而生长
wcc	Council
cheerleading	带领啦啦队
honestly	公正地
feverish	兴奋的
flabbiness	软弱
woodcraft	木工术
furunculoid	像疖疮的
behave	行为表现
hydrophilic	吸水的
redball	货运快车
cockleshell	海扇
galenic	其医术的
arthroplastic	关节造形术的
troublous	纷乱
horseshoe	马蹄铁
impiously	不虔诚地
inequality	不等式
playgame	儿戏
hologynic	全雌遗传
malleolus	踝
pc	Computer
bulbous	球根状
womanliness	女性气质
audion	三极管
often	经常
accouchement	生产
mild	淡味
vbscript	Visual
fingerful	一点儿东西
isotach	等风速线
aurify	变成金色
rankle	怨恨
impenitency	不悔改
binate	成对
carry	运载
seroreaction	血清反应
aftertaste	余韵
flashover	跳火
blazon	宣布
surfboard	以冲浪板滑水
discoloration	变色
subtilisin	枯草杆菌蛋白酶
auditoria	会堂
tersanctus	=Sanctus
hate	不喜欢
couchette	睡铺
coony	机灵
rudely	无礼地
weak	虚弱
esteem	把……看作
face	面容
mealie	玉米
strict	严厉
moslemic	穆斯林
decanal	院长
ppm	per
bathrobe	浴衣
palliatory	减轻
stem	词干
zither	齐特琴
whiz	嗽嗽声
mina	古代希腊的重量单位
voetganger	南非无翅蝗虫幼虫
contemptuous	侮辱
sharper	骗子
spectroscopy	分光镜使用
bmta	英国汽车同业公会
shute	=chute
pyrotechnical	烟火装置
tethyan	古地中海
worsen	变得更坏
actinogram	X光像
reactively	反动地
lawd	上帝
disappointed	失望的
inhomogenous	异成分
didactics	教授法
tottery	蹒跚的
russellite	钨铋矿
gardez	加德兹
dead	呆板
groom	推荐
floodgate	防潮水闸
extrorse	向外的
dene	长有森林的溪谷
friz	卷曲
geologic	地质上的
trimotored	有三个引擎的
thumbmark	拇指痕
eniac	电子数字积分计算机
bachelordom	单身
ostentation	夸耀
percival	珀西瓦尔
typically	代表性地
savourless	无情趣的
harmlessly	无恶意地
engorge	大吃
cockeyed	荒唐的
underbuy	购货不足
contiguous	毗边
feasible	可行的
bulb	球形物
astrolatry	天体崇拜
muscarine	蕈毒碱
account	总计有
acinus	小核果
it	意大利
tolerant	宽恕的
callous	无情
immediate	紧靠
benignantly	有益地
alu	算术逻辑单元
wane	衰退期
lengthily	冗长地
pantheism	泛神论
mfh	Foxhounds
defrost	解冻
exquay	码头交货
polyspermous	多种子的
subtype	图表类型
scrubboard	洗衣板
gloomy	令人沮丧的
womanlike	像女人
glassworker	玻璃工人
romanesque	罗马式
trimly	整洁
rhombohedral	斜方六面体的
holder	占有者
mussily	吵闹地
boxy	箱子般四四方方
pantalettes	长裤
complainant	原告
telluric	地球的
otto	玫瑰油
pearson	皮尔森
western	有西方特征的
anyway	无论如何
flix	海狸绒
twisty	扭曲的
ecumenist	泛基督教主义者
quencher	淬火
wordy	废话连篇
ens	有
fluorometric	使用荧光计
iatrical	医疗
brucella	布鲁氏菌
mere	纯粹
convalesce	渐愈
floccillation	捉空摸床
rack	行李架
tartufe	=Tartuffe
burl	去掉节
oner	极佳的事情
computator	=computer
astigmatic	乱视的
yellowknife	耶洛奈夫
markworthy	=noteworthy
jejune	不成熟
arrogancy	自大
foolish	傻
pensive	沉思的
turd	粪
stearic	硬脂酸的
privateer	武装民船
mustache	胡子
toothy	露出牙齿
swathe	包围
pathoneurosis	病位性神经症
musing	沉思的
fullhearted	热情
chasmic	如深壑般破裂
kero	=kerosene
peroration	演讲高谈阔论
straight	率直的
praxis	实习
electrokinetic	动电学
mid	中央的
heroicomical	滑稽讽刺
flitch	大比目鱼的肉片
phono	唱机
letterweight	纸压
somatotopic	躯体特定区
hiplength	长至臀部
hydroextractor	离心干燥机
cobwebby	蛛网密布
brand	打火印
particularism	完全忠于一种理论
europocentric	欧洲中心论
unoffended	未被冒犯
hopper	单足跳者
staggard	4岁的雄性赤鹿
answer	回答说
acupuncturist	针灸医生
zuidholland	Holland
derrick	起重机
mitt	拳击手套
anklebone	踝骨
anharmonic	不调和的
photodrama	电影剧
owl	C++
mysticism	谬论
clemency	温和
spider	蜘蛛
twinned	成双成对
unclog	使畅通
anyone	任何一个
chalybeate	含有铁质的
eisa	Standard
asthmatoid	气喘性
sternwards	向船尾
oxalidaceous	酢浆草科
inspectorate	视察员
sharpener	磨器
propagandistic	宣传的
dawdling	懒散的
cytokinin	细胞分裂素
chitinous	壳质
floatable	可航行的
traitorously	不忠地
freak	奇异的
pedlary	沿街叫卖
nonnuclear	非核
dinky	不足道的
englishment	英译本
mpm	metres
overcome	战胜
mortify	使苦恼
alcoholism	酒精中毒
loggerhead	傻子
polyanthus	黄花九轮草
thereinbefore	前头
unspecific	不确定的
antarctic	南极地带
workmanlike	精巧的
verminate	孳生害虫
lacerant	折磨人的
god	使神化
anybody	pro
phanerogamous	开花的
fit	准备好的
yvonne	伊冯
systemless	无秩序的
urgently	迫切地
phonogram	表音符号
denaturation	改变本性
future	将来
polyptych	多联画屏
coxed	有舵手
dance	跳舞
sia	Singapore
insubordinately	犯上
upright	诚实
iconically	形象地
hinterland	腹地
unsleeping	警觉的
rearer	养育栽培者
unhinge	使移走
pledge	典当
leisuresuit	便服套装
dominical	基督
adjustable	可调整
matrilocal	入赘
thalli	菌体
paramedic	伞兵军医
strut	肿胀
inadequately	不适当地
attractive	吸引人的
praedial	耕
slubber	弄污
sugi	cedar
unknown	不知道的
semishrub	亚灌木
feelinglessly	无知觉
totality	全体
teethe	长牙齿
niflheimr	=Niflheim
catoptric	反射
honied	甜如蜜
logion	基督的话
stratocruiser	其商标名
tacmar	Multifunction
kelpy	马形水鬼
berth	卧铺职业
loose	不牢固
paramedic	护理人员
incapable	不能的
interstage	级间的
congruity	一致
swimming	游泳用的
hypnopompic	半有意识状态
osteal	侵袭骨
isapi	Internet服务器应用程序接口
reserpinized	用利血平治疗
lawny	细麻布
motile	能动的
jemadar	尉官
horopter	两眼视界
lixiviate	浸滤
gid	眩倒病
wysbygi	What
gag	打诨
fibre	纤维制品
frontogenesis	锋生
nce	新天主教版本
slav	斯拉夫人
overwhelm	受打击
great	非常
sputter	咕哝
corvet	轻型护卫舰
vote	公认
forever	永远
professedly	在表面上
sound	有效彻底的
transigent	妥协的人
stream	流注
study	考虑
inspirator	鼓舞者
license	许可
messidor	收获月
figurehead	破浪神
panther	豹
dowery	=dowry
metaphorical	比喻性的
enneahedral	九面的
spiritualist	巫师
karman	卡门导管
weird	超自然的
maharaja	王公
microspore	花粉粒
aplomb	泰然
philobiblic	爱好文学
alliterative	头韵
explanate	平坦的
ravage	创伤
antitail	逆向彗尾
docker	码头工人
mattress	空气垫
neopentane	新戊烷
haciendado	庄园或农场等的主人
dactyliomancy	指环占卜术
cartography	绘图法
formfitting	合身的
bruiser	粗壮的人
pvc	永久虚电路
heatproof	抗热的
accountancy	会计师之职
predicatively	肯定
aniconic	象征
ohioan	俄亥俄州人
headlong	头向前
ruhmkorff	coil
zymotechnics	发酵法
meshwork	网络
cotemporaneous	同时代
sciential	有学识的
decant	轻轻倒出
ninetieth	第九十
stellate	似星
yowl	吼
censorable	可诟病
overceiling	超出最高限额
concentrative	专心
spook	鬼怪般地出没于
canthus	眦
yamoussoukro	亚穆苏克罗
plane	程度
dexiocardia	右位心
unprovided	未作准备
thankfully	感激地
alembicated	过分精炼
doited	老糊涂的
dissatisfied	不高兴
home	在本国
iniquitious	邪恶的
administerial	管理上的
regret	歉意
obsolescence	荒废
priority	优先权
experientialism	经验论者
gloss	光泽的表面
bastile	城堡
suppressible	可以禁止
bagger	装袋工
perigon	周角
snowbrush	毡毛美洲茶
endlessly	无穷尽
luxuriant	奢华的
pharmacy	药剂学
archeolithic	旧时器时代
hoopster	篮球运动员
elaborately	苦心经营
scrag	瘦脊的人或动物
slump	消沉
turkistan	=Turkestan
quizzical	引人发笑的
cacophonous	粗腔横调
trephine	用环锯行手术
panhandle	讨钱
consort	陪伴
condolatory	慰问
rue	悲伤
chapbook	廉价的小册子
whyever	为什么
smoothbore	无膛线炮
embezzlement	盗用
weave	编排
attune	使合调
eave	屋檐
velveteen	平绒
sulfa	磺胺基
verriculate	覆盖竖毛
mimeograph	油印
mount	衬纸
misname	给……取名不当
marsupialization	造袋术
borah	=bora
aphemic	失语症
liven	具有活力
analphabetic	非字母式
information	知识
badman	不法之徒
incongruity	不适宜
stranskiite	蓝砷铜锌矿
sheltery	遮蔽
berwick	贝里克郡
guiltless	无辜的
collectedly	冷静地
numerously	无数地
neva	涅瓦河
eeling	捕鳗
mortally	致命
disqualification	剥夺资格
ialc	and
astronomic	天文学
undesirous	不存想望的
underlaid	underlay过去式及过去分词
eared	有把
spiel	演奏音乐
natively	生来
magnifico	高官
ciscaucasian	内高加索的
lilied	纯洁的
quaker	教友派信徒
mantlerock	风化层
antimonarchic	反君主制
hbms	Majesty''s
noteworthy	显著
pekinese	北京哈叭狗
tripleheaded	三头
freak	畸形人
misesteem	不尊重
millstone	磨
pastorate	牧师的职责
delftware	代夫特陶器
nonresident	不住在任所
governable	可统治的
earthshine	地球反照
csce	on
curvaceous	曲线美的
whitebeard	老翁
cry	哭声
rear	后方
yoghourt	酸奶酪
unconvincing	不足以令人相信
misconduct	不正当的行为
divinely	象神一样地
carpool	合伙使用汽车
revilement	辱骂
bluff	直率
newfashioned	新式的
secretiveness	隐匿
gaolbird	囚犯
hatty	的昵称
mitered	戴礼冠的
eristic	论客
emotionality	情绪性
tormina	绞痛
lustful	好色
mass	大量
fliting	争论
lopsided	不平衡的
unjoined	未加入的
morality	道德
vile	卑鄙的
rubefaction	使……发红
unintelligible	莫明其妙
schlockmeister	次品制作者
costless	不须花钱
laver	水盆
gust	迸发
frostbitten	生冻疮的
hierocratic	僧侣统治制度的
ark	约柜
ground	土
founder	铸工
prescientific	近代科学以前的
terminative	限定的
wollastonite	硅酸钙岩矿
acinaciform	弯刀状的
erect	竖立的
fishes	双鱼宫
rich	有钱
noncommunicable	不会传染
flavourful	有香味
cobbly	用鹅卵石铺
oxeye	大眼睛
increasing	越来越多的
whipster	妄自尊大的小人物
wit	智慧
garote	西班牙的绞刑具
saprobe	污水生物
subway	地铁
ding	钟声
excuse	口实
assentient	同意者
fission	分体
pukkah	纯良
trisubstituted	三代
bosk	树丛
sybaritic	奢侈逸乐的
uncopiable	不能复制的
registrar	注册主任
congeniality	同性质
alienator	疏远者
tenpounder	海鲢
style	文体
acetanilide	退热冰
destructor	破坏者
damaged	被损坏
najd	=Nejd
undeviating	坚定不移
wraac	Royal
guff	瞎扯
flooding	溢流
aglisten	闪烁的
perceptive	有理解的
spinose	有刺
childproof	对孩童安全的
phenetics	表现型分类法
xanthomelanous	有橄榄色皮肤和黑色头发
semitropical	亚热带
thematic	主题
collect	收集
activism	触动论
radius	界限
intercommunion	交流
suprafacial	同面的
alogia	失语症
pentacle	五角星形
unorganized	未加入工会的
icaaaa	Association
liveborn	活产的
mobster	匪徒
flopper	为图领取保证金而捏造事故的人
hypophysis	脑下垂体
grind	折磨
hostess	女主人
porky	肥胖的
photoceramics	陶瓷照相法
ryurik	Rurik
sweetheart	情人
calipers	弯脚器
frontlessness	没有前部
botswana	博茨瓦纳
mould	发霉
finish	终止
gallop	飞驰
ambrosial	特别美味的
lysine	赖氨酸
tacitly	肃静
gun	用枪打猎
underclothes	内衣
alphanumeric	包括文字与数字
sequentially	从而
mild	温和的
unguarded	没有防备
craniocerebral	颅与脑
prosodical	作诗法
fractionlet	小碎片
ast	Average
vanitory	组合式梳妆台
complimentary	问候
strut	支撑
surd	无道理
doloroso	感伤地
cursely	该受诅咒地
jingoish	好战主义
staff	五线谱
phonolite	响石
cue	提示
decree	政令
nasa	Space
unbelieving	不信宗教
compulsory	必修的
average	平均数
declension	衰退
burgh	享有特权的区
teeming	丰富
promulgate	传播
aganippe	灵感之来源
coloratura	花腔音地
lame	使成残废
nasally	鼻声地
onstage	舞台表演区的
rattlebox	格格响的玩具盒
wfdy	Federation
consummate	完成
misshapen	畸形的
rabies	恐水病
filmable	可拍成电影的
serous	含浆液的
homocercality	正尾
savage	用暴力对付
timberhead	船肋骨端头
dispassion	公平
silicon	硅
insusceptibly	不受影响地
hectograph	胶版
fmcs	Mediation
emplastic	黏性
vain	愚蠢
tactually	凭触觉地
acred	拥有许多地产
tale	流言蜚语
appeasable	劝解得了的
edc	European
ocellated	单眼的昆虫
wittily	机敏地
rate	价格
dionysian	狂饮的
methaemoglobin	正铁血红蛋白
costful	昂贵
intonate	吟唱
jauntily	活泼
kerman	科曼地毯
geographic	理学
antiunion	反对工会的
methane	甲烷
obdurately	执拗
carcass	畜体
tcp	/TCP/IP栈
bleb	水泡
gambly	碰运气的
troop	群集
wwf	World
thermogalvanometer	温差电偶电流计
ruelle	小巷
leftish	左派
elegy	挽歌
intron	基因内区
gammy	跛足
felonious	恶毒
primrose	报春花
daysman	调解人
bedrail	床栏杆
mechanistic	机械论学说
grandioso	雄伟的
townish	城镇特有的
contiguously	接触地
stanislaus	斯坦尼斯洛斯
beatific	快乐
jocularity	滑稽
oecd	Cooperation
ostensible	可公开得
uncorrected	未修正的
exclamatory	感叹
