bornite	斑铜矿
carabine	卡宾枪
fulgurating	突然剧烈发作的
actionable	可控告的
hairtrigger	一触即发
teleology	目的论者
unco	不可思议
shiftless	无能的
subaltern	次
virginal	无瑕的
creedal	信条
toast	使暖和
charge	责令
earwitness	以耳闻情况作证的人
osculatory	接吻
homostyly	花柱同长
dysplasia	发育不良
frock	工装
bacteriocin	细菌素
blackguardly	粗鄙的
tentacular	有触手
cowcatcher	排障器
unseemly	不恰当
liable	有责任的
unexaminable	无法测知的
voluminous	容积大的
freewheel	凭惯性前进
formulaic	刻板
chrysalis	蛹
meaningful	意味深长的
suborder	亚目
disarm	消除
retractable	可收回
hip	使忧郁
piratical	剽窃的
substantialist	实体论者
funicle	纤维
admissible	可接纳
atavistic	隔代遗传的
fervor	热烈
enforceable	可强行的
popout	劣质冲浪板
tab	短小突出部
overproportion	不平衡
and	/
rechargeable	可再充电
floricultural	养花的
inclinable	倾向于……
transnatural	超自然
facility	简易
ascus	子囊
filiopietistic	过分表示孝敬的
xsl	Language
frostbound	冰冻
overrun	超过
japheth	雅弗
whiney	=whiny
platinocyanid	铂氰化物
requicken	重新振作
wiredrawing	拖长
attache	大使馆专员
insipidity	无精神
microelectronics	微电子学
bathos	陈腐
expiable	可赎
levelheaded	清醒
secko	性反常者
piercing	刺骨
visualizer	观察仪
lysimeter	溶度计
devolution	滚下
graymail	扬言要公开政府机密的讹诈
dibber	挖洞具
embassage	大使
fencing	篱笆
phs	Public
fiftyfold	五十倍的
corded	用索子捆扎的
quint	五胞胎
overhasty	过于匆忙
beluga	白色大鳇鱼
biochemical	生物化学
journal	定期刊物
proportionably	可使相称地
belitong	=Belitung
expressly	明白地
bold	大胆
rising	有前途
prothetelic	先成
calcariferous	有距
subclavate	略似棒形
spur	剌激物
flowering	开花的
isogon	等角多边形
qic	1/4
unheated	未加热
unga	General
egregious	异乎寻常
luetically	梅毒地
electoral	选举的
regular	合格
tenuirostral	细喙的
allegorization	讽喻方式的叙述
precipitate	促成
reviler	辱骂者
bmoc	on
multisensory	多种感觉的
unattained	未获
criminatory	使负罪
mollusk	软体动物
deanglicize	使非英国化
policlinic	门诊部
inchoate	早期的
attainder	被剥夺财产和公民权
hedgepig	环形筑垒阵
thorough	十分
blusterous	虚张声势的
dageraad	黎明鱼
elliptic	椭圆形的
justification	理由
chantable	易唱
rap	叩击
droning	发嗡嗡声
grey	灰色
hocus	麻醉
rswc	right
guianese	圭亚那人的
valorously	勇敢地
exanimation	昏迷
unnoted	无价值的
chaussure	靴
pigmentary	颜料的
dauber	涂抹工具
phanerophyte	高位芽植物
gearchange	=gear
tarsal	跗骨的
inimitable	无比的
arborescence	树木状
rickety	驼背
remove	移动
tarradiddle	处罚
effusively	热情洋溢
crumpled	弄皱的
jussive	祈使
vliw	long
gusset	衣袖
unexpired	未终止的
premarital	结婚前
flavourless	无味
unhesitatingly	不踌躇地
pedunculate	有花梗的
bicorporeal	有两个主要部分
chilliness	寒意
stagnantly	萧条
stipple	点彩
sinner	不信神的人
uncultured	没有文化的
chemolysis	化学分解
palmatifid	掌状半裂的
start	惊跳
appear	出现
fright	惊骇
neuridine	精液素
rotary	旋转的
standard	第一流
granulation	使成粒状
gracilis	股薄肌
intake	引入的量
uncivilly	无礼
jaded	厌倦的
dantesque	庄重的
lcp	Landing
impendent	迫近的
secretory	促分泌
opiumize	用鸦片处理
underfinanced	资金短缺的
exasperating	气死人的
nc	New
unfrequented	人迹罕到的
throne	王座
instinctive	本能
burthen	负担
deplete	耗尽
gynogenesis	雌核生殖
upriver	在上游
townspeople	市民
recognizance	保证书
fosterage	助长
psilanthropy	=psilanthropism
curiosity	好奇心
impressionistic	印象主义的
intervertebral	椎间的
genie	鬼
stallage	摆摊用地
like	同样
abettor	教唆犯
downy	丘原的
thereout	从其
rich	富有
esne	底层社会的人
vestibule	门廊
diffusedness	普及
puristic	修辞癖
abbeystead	修道院所在
maritime	海员的
episcopalian	主教制度
moocher	鬼头鬼脑的人
timesaving	节省时间
vesiculous	=vesicular
lopsided	倾向一方的
turnspit	负责旋转烤肉叉的人
monopolistic	垄断的
pecorino	佩科里诺干酪
giardiasis	贾第鞭毛虫病
fallow	未孕的
flagging	下垂的
cochromatograph	沧分析法的
niobium	铌
grungy	丑的
bedlamite	狂人
grana	granum的复数
disbud	去蕾
calking	塞缝
heft	重达
rhythmizable	使有节奏的
vastly	广大地
pyjamas	宽长裤
ddn	Digital
trabeate	横梁式
stiffly	僵硬地
hit	偶然发现
disquiet	不安
dizygous	两受精卵的
outbrave	在勇气上超过
function	功能
sextuple	六重的
wider	广阔
vive	有生气
stardom	演员们
parvis	天井
telemicroscope	望远显微镜
antidromic	逆行的
incompatibly	矛盾地
amygdule	杏仁孔
tongueless	无舌头
awag	摇动的
blunder	犯大错
capacity	能力
frostweed	岩蔷薇
thoughtfulness	慎重
tramp	践踏
needlessly	无用
fetichism	物神崇拜
harpsichork	大键架
eject	喷射
detailed	详细的
yod	希伯来文第十个字母
smudgily	污垢
madcap	轻率
bethel	礼拜堂
calcaneal	脚后跟
hochheimer	豪客海沫白葡萄酒
winder	螺旋形阶梯
yaff	吠
paleocrystic	长期冻结的
poll	选举中获
senary	以六为基础的
scarlet	鲜红的
hidrotic	发汗
silly	愚蠢的
esol	操其他语种者的英语课程
odds	不平等
aim	打算
cowlike	似母牛
smokeable	=smokable
radiance	光辉
iamap	International
camphene	莰烯
snatchy	不规则的
delation	控告
iridous	亚铱
episematic	花纹使同种动物互相认识的
set	固执
positive	积极的
wistfully	希望地
seed	精液
sloven	懒散的人
reformatory	改革的
recruit	新分子
soggy	沉闷
conspirator	反叛者
reinaugurate	重新开始
isomeric	同质异构
hypoploid	染色体数目较少的
peregrin	隼
teen	伤心
chitchat	聊天
lagend	=lagan
grungy	蹩脚的
dilettantish	业余爱好
acidity	酸性
fist	拳打
anglicist	英国通
anybody	任何人
frankfurt	法兰克福香肠
resume	重新占用
rich	丰富
jelly	一种果冻甜品
dignified	有威严
bluff	绝壁
semiprofessional	半职业性选手或运动员
wamus	开襟绒线衫
renegotiation	重新商议
urania	掌管天文的缪斯女神
titmouse	山雀
cavu	晴朗与能见度极好
nablus	纳布卢斯
bigness	伟大
heroize	使英雄化
bunting	颊白鸟之类
premo	多媒体对象表示环境标准
forbearing	宽容的
assumed	假装的
sialic	硅铝质的
cantonization	划区
arsenism	慢性砷中毒
errand	使命
mancunian	曼彻斯特
kirschsteinite	钙铁橄榄石
arrivederci	再会
nautical	船员
margarin	人造奶油
haji	赴麦加朝圣过的伊斯兰教徒
activation	激活
laminated	层积
uneven	不平均
terebic	芸香酸
snitch	告发者
mealanguage	元语言
gambade	马的跳跃
ridable	可以骑的
land	国家、国土
plumpish	较丰满的
selective	选择性
nearness	接近
enteroptosis	肠下垂
embassy	大使及其随员
unmeant	无意的
dialytic	透析
cubital	尺骨的
counteraccusation	反控
erudite	博学
subchaser	驱潜艇
whitefly	粉虱
elevated	提高的
caterwauling	叫春似的
industrialist	产业工人
surely	安全
unexpiated	未抵偿的
provocate	惹起
telephony	电话
floppy	松软
shakiness	颤抖
kilter	顺利
transplant	被移植物
fashionably	按照流行
dialogize	对话
pnr	no
kiln	在干燥炉干燥
shapelessly	无定形地
supplely	柔软
when	什么时侯
blae	青灰色的
electrophotometer	光电计
armourbearer	替骑士拿盔甲者
oncornavirus	致癌RNA病毒
romance	渲染
indispensability	不可缺少
pogonia	朱兰
cladode	扁平的叶状茎
purr	咕噜咕噜声
suzerain	封建主
overhead	高架
ft	Financial
swayless	不摇摆
polygamic	=polygamous
pulley	滑轮
ferreous	铁
cryoprobe	冷冻器
ignatius	伊格内修斯
dab	熟手
orchidist	兰栽培者
finite	有穷
loppy	无力地下垂的
expectably	如所意料或预期地
victorious	获胜的
overfull	太满
reserve	预备队
exceed	超过其他
iba	英国独立广播机构
functionalism	机能主义
plough	犁
ac	交流
anthropoid	似人类
masterful	专横的
hemocyte	血球
lipoid	类脂
diazine	磺安剂
inbreaking	侵入的
carefree	轻松愉快
compost	堆肥
crustily	粗暴
tardigrade	缓步类动物
lampyrid	萤科的
precatory	恳求
wishfully	希望地
backboned	有脊椎的
housemasterly	男舍监式
saving	存款
roundly	完全
outcast	被逐
overexert	用力过度
dapple	有斑纹的
slaver	唾液
zuidholland	=South
margrave	边疆伯爵
viscus	内脏
eventuality	不测的事
stepbrother	同父异母
recurved	后弯
balzacian	巴尔扎克学者
section	地域
postlady	女邮递员
sled	用雪橇运
diphtheroid	似白喉
limbers	通水孔
blame	责备
misaligned	不重合的
unpatterned	未形成模式的
serviette	餐巾
cirrous	有触毛的
quadrantal	象限的
brusquely	唐突地
totemistic	图腾
study	攻读
remanet	残余
wolfy	似狼的
uranology	天体学
vanish	弱化音
bang	突然巨响
actionability	可控诉的情形
uncondescending	不俯就的
debility	无活力
dowthcory'	NULL)
jihad	讨伐异教徒
hydrotrope	助水溶物
parvis	前院
handbookinger	赌马
fuscin	暗褐菌素
collude	串通
tickler	记事本
skeletony	骨骼似
hmnzs	Ship新西兰皇家海军舰艇
acold	寒冷
awane	减弱中的
transcendency	卓越
saturnian	土星的
laddish	男孩的
byob	booze请自带酒来
astrodome	天体观测窗
intrant	加入
nbs	Standards
redhibition	原货退回
treason	通敌
far	很
redware	红土陶
swinishly	贪婪地
beloved	爱人
tercom	地形匹配
saucerize	对施碟形手术
integumentary	包皮
hairline	极细的织物
pustular	有小脓疱的
kazakstan	哈萨克
strained	矫饰的
comeliness	好看
nocent	有害的
susceptibility	磁化系数
retaliation	报仇
twitch	颤动
chowderhead	傻瓜
foresaddle	前脊肉
epicentral	震中
kithe	以行动表示
ejaculation	突然说出
desiderative	愿望的
sound	吵闹
echovirus	人肠道孤病毒
mazuma	钱
combine	结合
backfisch	年轻少女
dicty	极好的
gummiferous	产树胶
dens	齿状部分
flageolet	六孔的木箫
substantive	巨额的
curse	祸根
rake	斜度
misfile	归错文挡
erythropia	=erythropsia
unmarriageable	不适于结婚的
joint	大块肉
veni	saw
diamagnetic	反磁性
scrumptious	绝妙的
specular	镜子的
fissirostral	宽而深裂的
ace	欧洲盟军司令部
postbase	派生后缀
amethystine	紫色
propitiate	劝解
organic	建制的
okay	好
sextuple	由六个部分构成
tutor	家庭教师
put	固定不动的
morality	道德的
outvalue	比……更有价值
posh	漂亮
suplex	后拉抱
befell	落到
other	他人
basketry	篓编织品
phonotypy	音标印刷术
elliptoid	椭圆的
elastic	弹性的
trichomonal	毛滴虫
compost	混合肥料
clachan	小村庄
liveried	穿规定服装
unconsolidated	松散的
noncommissioned	未经任命
dissect	把……解剖
uniovular	单卵的
unwalkable	不能行走的
crisscross	画十字形于
granitiform	花岗岩状
motherwort	茺蔚
breakwater	挡水板
beaux	情郎
irreproachability	无可责备
bruiser	职业拳击家
restiform	绳状的
foreboding	预兆的
proportional	均衡
proprietory	=proprietary
nationalization	同化
eighteenth	十八分之一
tomahawk	钺
angolese	安哥拉土人
punctulate	有细孔
vaticinal	预言
stupefy	麻木
pons	连接部分
carcake	烘糕
plagiarize	剽窃
unsyllabic	不构成音节
great	大写
lcm	Lowest
mis	System
comtian	实证论
moil	混乱
astasia	不能站立
sulphide	硫化物
ebullition	沸腾
duodenary	十二
insipidly	没有味道
allonymous	笔名的
ruthenious	亚钌的
unneutral	非中立
unmeasured	不可测量
waxy	象蜡的
beginning	开始
mythological	神话的
arbitrator	仲裁人
necromimesis	死亡妄想
catching	传染
flavorful	可口
kaifeng	开封
scot	税赋
wayfare	旅行
isp	Providers
wayfaring	旅行的
homozygous	同型结合的
somatotrophic	hormone
emporium	商场
electrochemistry	电化学
warrantee	被担保人
consentient	同意
slummock	瞎扯
bureaucratise	=bureaucratize
twopence	两便士银币
circle	围
screed	泥水匠用的匀泥尺
abstemious	节约
ingeniously	有才能
kenyan	肯尼亚共和国
orchidectomy	=orchiectomy
openmouthed	张嘴
adder	猪鼻蛇
sunbath	太阳灯浴
dissolubility	可溶性
hollywoodize	使符合美国电影业标准
stale	陈旧
unadaptable	不能改编的
sempervirent	常绿
diencephalon	间脑
camp	扎营
gunport	炮眼
lab	实验室
unwarmed	未被激动的
recirculation	再通行
theologically	神学上地
ground	地面上的
argot	隐语
hinoki	cypress
floral	花似的
conflicting	不一致
menstrual	月经的
crosier	权杖
cuddly	喜爱抚
unfoiled	未受挫的
pressbutton	按钮
gumdrop	水果糖之一种
berime	作诗
wolflike	狼一般
endosarc	内质
asocial	自我中心
dinah	黛娜
ecliptic	黄道的
exalted	兴奋的
agony	苦恼
himalayan	喜玛拉雅
polarimeter	旋光计
nog	支撑
bureaucratese	官腔
spotty	多污点的
exhibit	展品
honorable	荣誉的
wedel	作双板平行摆动转弯滑
entrain	产生
rsn	即将发生
polenta	以玉米或大麦或栗粉等煮的粥
hexastich	六行诗
harmonic	融洽
displeasure	不满意
avisandum	=avizandum
telephony	电话学
concept	概念
vomerine	犁骨
enforcement	强制
parthenospore	非接合子
hydri	Hydrus
taking	捕获
wad	块状软物
ultrafax	电视传真电报
lay	外行的
pongee	茧绸的
wee	很早的
proruption	膨胀
ultrasonic	超音速的
periodical	期刊
unhip	不谙时髦的
unpresentable	拿不出去
antewar	战争前的
hindward	往后的
baronne	=baroness
microscale	微观大气现象的
eurystomatous	阔嘴的
unwittingly	不知情地
epinasty	偏上性
heavy	阴沉
fordo	使疲倦
cenobian	寺院的
thyiad	梯伊阿得
paillard	一块牛肉
goosey	愚蠢
ungual	爪
alvan	阿尔万
aorist	不定过去时
lacerable	撕得碎的
pedodontic	儿童牙科的
reconveyance	送还
inchoation	发端
unsophistication	纯正
reformatory	感化
signee	签字者
atoxic	非毒的
shift	推卸
veiled	隐藏的
inconsequent	不一致
sled	乘雪橇
bust	胸部
eusocial	完全社会性的
wastebin	废物桶
waterproof	不透水的
telephony	电话制造
fruitlessly	徒劳
ephemeris	历书
genital	生殖器
helispherical	在球体上成螺旋状缠绕
ablaze	激动的
subset	子集
title	名称
coxcombical	浮夸
urceolate	瓮状
maror	苦菜
indent	契约
townlet	小城镇
agenda	议程
nccw	National
corona	冠壮物
sabugalite	铝钙铀云母
biowarfare	=biological
isallobar	等气压图
rann	Research
pregnant	富有意义的
boisterous	狂暴的
classy	上等的
prophase	前期
innative	以生具来
mechanoreception	机械感受作用
inveiglement	诱惑
egodefense	自我防御
locomobile	自力推动的
flyaway	不合身
spiritualization	神灵化
underproof	不合格的
belly	胃
stroke	抚摸
neglected	被忽视的
site	站点
ichthyotic	鱼鳞癣
febrific	发烧的
unaccustomed	奇怪的
preinvasion	入侵之前
provisionally	暂时地
nymphlike	似的
hydrate	氢氧化物
pruinose	覆盖白粉的
expellant	驱逐的
petrel	海燕类
mediation	仲裁
remorselessly	冷酷地
anubis	豺头人身神
sexipolar	六极
dialogic	问答体
federative	联邦
sphenoid	楔状的
lithesome	轻快的
mystagogic	传授秘诀
manifestly	明白
experimentation	试验
degree	度
routeway	通路
stallman	摊贩
silvern	银一般
interfoliaceous	叶间
mridang	姆里丹鼓
vindication	拥护
lateral	横的
vahana	伐诃纳
hcs	chorionic
abuliding	酝酿中
sulfurize	使硫化
stupefactive	麻醉性的
railery	善意的嘲笑
haulageway	道
maneating	凶悍
cyperaceous	莎草科
aproposity	巧合
posnjakite	一水蓝铜矾
fiercely	猛烈地
prescience	预知
mount	制作……的标本
persevering	坚忍
plainstones	扁石
uscg	Guard
reactivity	反应
hypnosis	催眠
enantiopathy	对抗疗法
worrier	担心的人
coterie	同行
ratfink	卑鄙的人
hammada	石质沙漠
serialize	使连续
whys	理由
outseg	主张比……更强烈的种族隔离政策
icky	讨厌的
nice	美好
leptospira	细螺旋体
farthest	最大限度
hypergamy	与上层阶层或地位高贵的人联姻
zootomy	比较解剖学
amimeche	A
conjuncture	接合
wiseacre	自以为万事通的人
francophonic	讲法语
unglamorous	乏味的
relatival	关系词的
doggery	卑劣行为
disagreeably	不愉快地
iconomatic	名称
devotional	专心的
combing	梳毛
webernesque	具有韦伯恩音乐特点的
tormentor	长肉叉
valuables	贵重物品
nowise	毫不
extractor	抽出器
apprenticeship	学徒的年限
disorientation	迷惑
pinocytotic	胞饮的
uncase	暴露
upwafted	被向上飘送
confect	配制
revenge	替……报仇
sill	基石
fashionist	提倡时尚者
budge	移动
fetichist	盲目崇拜者
binal	双重的
friended	有朋友陪伴
prelusive	序幕
bastardize	使质次
fidelity	忠实
labial	唇
philotechnical	爱好工艺
unattainable	难到达
oculist	眼科医生
calligraphic	缮写的
ferrule	金属环
polyethnic	多种族的
sibling	兄弟
gynecomastia	=gynaecomastia
photomontage	集锦照相
reloan	再贷款
headrace	送水渠
tenno	日本国天皇
distinguished	卓著
hydroboration	硼氢化反应
unclarity	不清晰
unreligious	世俗的
reconstructed	改造的
dprk	Republic
superciliary	眼睑上的
washing	洗涤用
uncalled	未叫到
nectar	任何美味的饮料
founder	沉没
candid	公正的
pyorrhoea	脓漏
exhortatory	劝诫的
pyramidal	锥体的
sulfonal	索佛拿
pumiceous	轻石
anatomical	解剖
puff	喘息
trusty	可信赖
killing	使人疲乏
steamship	轮船
hieland	易受骗的
seaside	海边的
jar	冲突
sufism	苏非派禁欲神秘主义
atheromatous	动脉粥样化
kempt	梳理好的
pythonic	大蟒似的
altimetry	高度测量法
forward	早
gest	故事
antiperiodic	抗周期性病的
ncv	commercial
superconduct	显示超导
aloof	冷淡的
insensibly	极微地
abbreviate	缩写
scrapbasket	废纸篓
exclusion	被排除在外的事物
myelogram	脊髓选影照片
auric	似金的
veteran	老兵的
adjacent	接近
always	永远
uranic	铀矿
proconsul	殖民地总督
genitals	生殖器
unconspicuous	不引人注目
zinc	涂锌于
discriminatory	有差别
basicity	碱性度
unsympathizing	不表示同情
hemoglobinuric	血红素尿
tutania	锡合金
supranational	超国家的
pashalic	领
tabard	一种粗大衣
dietitian	营养学家
lazurite	天青石
ectal	表面的
misperceive	看错
shroud	寿衣
sun	美国Sun公司
washingtonologist	华盛顿学家
befallen	落到
kcps	千赫
heterocaryotic	=heterokaryotic
extensor	伸肌
autobiographic	自传
unrenewable	不可更新的
autosuggest	通过自我暗示产生
annelid	环节动物
humble	卑下
jugoslavian	南斯拉夫的
resolvent	使溶解的
ostracism	放逐
cubic	立方体的
elliptically	省略地
undiscernible	无法看出的
humanist	人文主义者
kil	公里
azorean	亚速尔群岛
slim	细长的
stunner	出色的人
uglifier	破坏美观者
planetologist	行星学家
agoing	在进行中
caustic	腐蚀性的
droopy	下垂的
autorotate	自转
felicitousness	恰当
unfadingly	不褪色地
tankstand	贮水柜架子
condottiere	雇佣兵
abscondence	逃亡
phalanstery	空想的共产村庄
swirl	涡状形
empyrean	最高天
clyde	老古板
teeny	极微的
fauvist	野兽派风格
unsaleable	无销路的
aeolotropy	各向异性
ecocline	生态倾差
tom	雄猫
fibrocystic	纤维囊性
miniature	缩小
unlearned	不熟练
hesitance	踌躇
smithwork	锻工活
jnd	Difference
golden	金色
psychedelicatessen	迷幻品商店
martially	好战地
exhumation	发掘
topnotch	第一流的
rattler	喋喋不休者
plumb	铅弹
dm	Mining
gmat	t
privity	私下知悉
septenary	七个一组
chromogen	媒染染料的一种
clubman	花花公子
daube	炖肉
norsk	挪威人
auspice	预兆
aiee	美国电机工程学会
flycatcher	捕蝇器
wscf	Christian
funny	古怪
punny	一语双关的
sweety	甜点
angiotensin	血管紧缩素
saunders	=sanders
cold	使人战栗
fleecy	羊毛似的
piping	滚烫的
depreciation	减价
amatively	好色
queue	长队
cmd	Charge
inarguable	不容争辩
myoneural	肌神经
nullipennate	无飞行羽的
patternize	使符合一定型式
celoscope	n
super	上等
semiconscious	半意识的
concertize	演出
shang	商
pcav	Partial
sextus	第六个
pavement	人行道
contributory	贡献人
literarily	文学上地
wolfish	贪婪
stigmatize	打烙印
formalin	甲醛水
scuff	使磨损
guano	在……上施鸟粪或肥料
brownstone	上流社会
newsdealer	报刊经售人
hyperplastic	数量性肥大
punctum	点
prolixity	罗嗦
subdrainage	地下排水系统
lone	孤独的
positive	积极
tetramorphic	四形的
elsewise	=otherwise
belecture	时加叱责
enterogastrone	肠抑胃素
enravish	=enrapture
biwa	琵琶湖
libertine	自由思想家
inspirator	激励者
ultrarightist	极右分子的
tough	粗暴
unappealing	不能打动人
gradient	倾斜的
authentically	真正
vermouth	苦艾酒
rutty	遍地车辙
munificent	宽宏
tipnet	网
protrusive	凸出
propagandistic	宣传
bifolium	对折的书页
anfractuosity	曲折
stockily	一本正经
rsvp	you
ariose	旋律的
pebbly	多卵石
wet	多雨
triplicate	三分之一
durra	高粱
repristination	恢复原状
muster	召集
aeruginous	绿青色
mothery	含醋母
exteriorise	=exteriorize
interrupter	插嘴的人
infrequency	罕见
transcribe	转录
gumptious	机灵的
detail	详情
pornography	色情文学
triturate	磨碎
coal	加煤
subsume	包容
multiparous	非初产
quarterly	一年四次的
event	精力
stockman	仓库管理人
siffleuse	女吹哨手
pipelike	管子似
guanidine	胍
sideward	旁边
supereminent	极为出色
encomiast	阿谀者
moil	辛苦的工作
peart	快活的
epicotyledonary	上胚轴的
juvie	失足青年
underwater	在水中的
pappoose	幼儿
iab	Architectrue
sidelight	杂闻
versicolor	色彩变换
lung	呼吸器
inter	埋
adipose	肥胖
decipher	译解
unequalable	超不过
supervise	监督
periplast	质膜
tafferel	船尾上部
lifelike	逼真的
ratoon	截根苗
impartibility	不可分
puristic	用语简洁的
weatherproof	不受天气影响
prescientific	科学以前的
burglarious	夜盗的
hateless	无憎恨之感的
anesthetic	麻醉的
greenhouse	花房
triseptate	具三隔膜
fiend	能手
kinless	无亲戚
fat	肥大
dominant	有统治权
gesture	手势
poikilitic	嵌晶结构的
otherworldliness	来世
square	弄平
landlordly	主
citral	柠檬醛
smotheration	窒息
reaper	收割机
tcheka	=Cheka
dwarf	侏儒
yeomanry	自由民
apparente	明显
vernalize	施以春化处理
stanniferous	含锡的
authoritative	权威
passee	凋谢
workload	工作量
pyroelectric	焦热电
protracted	拖延
flown	fly的过去分词
pleiotropic	多效性的
nomenclative	术语
phyllode	叶状柄
creamer	乳酪分离器
yarn	奇谈
depletion	损耗
noyade	溺刑
affected	做作的
synodal	会议的
etruscan	伊特鲁里亚的
apt	敏捷
illfare	困苦
rickety	患佝偻病
raptured	销魂的
harmonistic	悦耳的
jounce	颠簸
kinsey	Alfred
weight	重要
duds	旧衣
roboticist	机器人专家
kithe	证明
edging	缘饰
charactron	字码管
amido	氨基
flushing	使人脸红的
expediency	私利
allotmenteer	小块园地经营者
chilblain	冻疮
dogfight	在空中缠斗
addle	腐坏
specilize	特殊化
diarize	记日记
rigor	严厉
dwarfish	矮小
vacuole	空泡
mph	miles
downright	彻底
peace	和平
brythonic	布立吞人的
windowy	洞多
enroll	使入伍
abuttal	毗连
ectype	复制品
irrelevancy	不恰当
inbreeding	同系繁殖
junkyard	分类、出售处
facilitate	使容易
yanqui	美国人
trouper	老练演员
bait	把饵装上
magenta	洋红
tenement	租房子
epiphenomenalism	副现象论
menstruum	溶媒
synchronal	同步
econometrical	计量经济学
chronograph	记时计
goodwife	女主人
adamite	裸体主义者
greco	El格列柯
spar	晶石
rowboat	小舟
lectureship	讲师的职位
absoluteness	绝对
premature	太早
rituality	墨守仪式
keap	扣留
counterpane	床罩
antennal	触角的
fluorography	X光间接摄影法
uddered	有……之乳房的
every	每一
