tcheka	=Cheka
spatiotemporal	时空的
thickset	繁茂
desquamative	脱屑的
aja	日裔美国人
intestinal	侵袭肠
enquiry	询问
ursine	熊
unshakable	不可动摇的
stannic	四价锡的
craze	狂热
avocation	业余爱好
placentiform	胎盘形的
monophobia	孤独恐惧症
globate	球状的
masticatory	咀嚼用的
volkslied	民歌
quad	在……填补空铅
unqualified	没限制的
plo	Organization
saturnian	农神
calcareousness	石灰
ominously	不吉利地
hausa	豪撒语
schmuck	笨人
lactonize	内酯化
sculk	=skulk
mummer	伶人
crubeen	脚爪
nuchal	项的
canting	貌似虔诚
founder	中国最著名的电子照排系统的生产商
systematism	体系化
mace	肉豆蔻
magnetogasdynamic	^AsdaI`nAmIks/磁气体动力
sexton	寺庙里的杂役
commando	水陆装备突击队
fissile	易分裂
carnallite	光卤石
hyp	疑病
pierogi	=pirogi
volitant	能飞
corrupt	误用的
weatherwise	就天气来说
vase	花瓶
slideway	滑斜面
coparceny	=coparcenary
effective	被实施的
beakiron	砧
boldfaced	厚颜的
grisliness	严重的
dps	second
fhwa	Highway
indigoid	靛蓝类染料
poltfoot	=poltfooted
nenadkevite	硅钙铅铀矿
periodic	定期
lackluster	暗淡
manxwoman	马恩岛女人
polymorphous	多形态
dino	流浪汉
sheria	=sharia
cristate	有冠毛
republicanize	实行共和政体
ensanguined	血染的
mushroomy	蘑菇
stemma	家谱
madonna	圣母像
playgame	玩笑
oscular	嘴
recollected	沉思默想的
wfdy	World
mercuric	含水银的
meek	谦恭
calculus	微积分学
empathic	感情移入
personality	个性
whorfian	hypothesis
hexaemeron	创世之六日
mirable	极好的
macedonic	=Macedonian
vociferate	大叫
prorogate	=prorogue
parenthood	亲子关系
toothcomb	缜密调查
indecorously	无礼
olympian	奥林山神
do	Republic
sainted	德高的
dihybrid	双因子杂种的
dehort	劝阻
husk	削皮
aphetic	非重读字首之消失的
creviced	有裂缝
ballplayer	棒球手
biennialy	每二年一次地
sob	哭泣
inexpugnable	不能攻占
trithing	三行政区之一
protonate	使质子化
pedestrian	通俗的
preagricultural	人类开始从事农业前的
lookum	吊车棚
predicament	困境
playbox	个人玩具用品箱
resipiscence	认错
hearsay	传闻的
issueless	无子女
pretender	妄求者
democritean	德谟克利特
anastomose	汇合
remind	提醒
ustc	Tariff
ccitt	Telegraph
regretful	惋惜
spiel	演说
infinitely	无限
astriction	束缚
