potsdam	波茨坦
gambir	苍儿茶
beaufort	波弗特海
yielder	屈服者
scrumptious	极为愉快
voteable	=votable
bmta	British
teletype	用电传打字机拍发
trump	胜过
rcvs	皇家外科兽医协会
immensely	广大地
adgb	of
slider	滑雪者
soloistic	独奏
lethargic	昏睡的
provascular	原形成层的
pvc	聚氯乙烯
cornucopian	丰饶
equitable	公平的
helve	装柄于
skiogram	=skiagram
enolic	烯醇
scraggy	瘦弱的
lapse	丧失
complaining	抱怨的
caoutchouc	天然橡胶
countable	可计算
crowhop	蹦跳
short	弱
fnma	Federal
stop	终止
ashman	清道夫
azure	苍天
safener	安全剂
stereovision	立体视觉
strikebound	因罢工而歇业的
babywear	婴儿装
disintegrate	碎裂
reconcilably	不矛盾地
shapable	可成形的
progenitive	有生殖力的
retiree	歇业者
flibbertigibbet	轻浮
snowpack	积雪场
chalone	抑素
ergataner	类似工蚁的无翼雄蚁
prismy	棱柱
septennial	延续七年
eared	有耳
aortitis	主动脉炎
fascine	柴捆
misuse	虐待
disharmonious	不和谐的
polypragmatical	爱干涉的
bowel	内部
fauteuil	太师椅
livetrap	用生擒陷阱活捉
glasswort	厚岸草
wide	远离目标的
badian	=Barbadian
sup	吸
goluptious	香喷喷
glutton	酷爱……的人
astrocyte	星细胞
map	由LINK工具生成的一种文本文件
animalistic	兽性说
rootle	用鼻尖挖掘
jacksnipe	小鹬
measureless	不可量
unquestionable	毫无疑问的
circumforaneous	冒牌
beetling	突出
debilitate	使虚弱
intercut	使镜头交切
license	执照
refractile	折射
ddn	数字数据网络
resigned	顺从
specie	硬币
londony	有伦敦特色
entry	登录
javascript	Java描述语言
erect	盖
multiparty	多党的
setting	框架
inseminate	栽植
prelingual	有语言能力前的
grouch	发牢骚
majestical	庄严的
heartrending	令人心碎的
eudipleural	两部对应
insect	对付虫子
overassessment	估价过高
thuriferous	产乳香
sclerosing	硬化型
caseate	发生干酪样变
entice	诱使
plotz	变得激动万分
dobeying	洗衣服
tarnation	讨厌的
tornado	龙卷风
gbs	George
comtism	实证哲学
comforter	慰问者
fructify	富有成果
guilty	有罪的
language	术语
medicament	药剂
adiabatic	隔热
ruck	皱褶
paperweight	纸镇
paragenesis	:
affect	假装
nccj	Christians
forme	印版
grueling	严惩
schumpeterian	熊彼特的
agrobiologist	农业生物学家
kinetoscope	活动电影放映机
hustings	议员竞选演说坛
fenestral	如窗
gilolo	济罗罗岛
academicism	艺术院的作风
parleyvoo	法国人
trilithon	巨石牌坊
tankman	装甲兵
proselytism	改变信仰
corruptibly	易腐败地
abide	忍受
boleyn	Anne博林
orator	演讲者
middlescent	中年
salient	突出部分
tedder	翻晒者
humiliator	侮辱者
unmixed	纯粹
convergescence	聚合之倾向
contagion	歪风
chinoperl	Literature
unpropitious	恶运
adjacent	接近的
ackey	西非黄金海岸用银元
deutschland	德国
journalistic	新闻事业
trengganu	丁加奴州
incabloc	防震装置
aok	一切正常而顺当
democritean	德谟克利特哲学的
mwalimu	教师
fortepiano	钢琴
remanent	残余
final	决定性的
achaean	亚该亚
treblinka	特雷布林卡
enormously	非常
mondial	全世界范围
meretricious	俗气
hemagglutination	/
poppycock	废话
lamellose	包含薄片层的
tinker	修补
bva	British
unstiffen	使变得柔软
stypticity	止血
linkup	会合
centric	中心的
sidetrack	转移目标
duskily	微黑地
potatory	耽于饮酒
perfectible	可使完美的
nitty	笨的
captive	被迷住
