grassiness	绿色
inherency	固有
remove	搬家
feature	特色
jointing	填料
raiser	酵母
plethoric	多血症
amniote	脊椎动物
hammam	澡堂
reassign	再指定
simplicity	直率
embus	装入大客车
aeronaval	海空的
disconnected	分离的
upturned	朝上的
mrs	炮口基准系统
bifid	两裂的
lickerish	讲究吃
unveracious	假的
parathyroid	副甲状腺
transmit	传播
decreasingly	渐渐减少
auditor	计员
intomb	安葬于墓中
dialyzate	=dialysate
whisht	默然的
dantesque	但丁式的
asturian	阿斯图里亚斯语
climate	思潮
increasable	可增加
gardner	加德纳
pumiceous	轻石的
helminthology	寄生虫学
rebarbative	令人讨厌的
discovery	发明的东西
hairsplitter	拘泥于琐事的人
vendible	可被普遍接受
quotable	可引用的
rhenic	含铼
seafarer	航海家
allopatrically	单独地发生地
synergic	协作
mystificatory	使人困惑不解
xvii	罗马数字
rbe	relative
radiophysics	无线电物理学
equivalent	相当的
tumidly	隆起
scorecard	记分卡
aeropause	适航大气界层
sbr	Styrene
cowish	胆怯的
revolution	革命
nobbily	华丽
noted	著名
ravel	使纠缠
alible	有营养的
flyer	传单
taffrail	船尾栏杆
compliably	屈从
threnode	葬歌
perthshire	佩思郡
adgb	Britain
flsa	Labor
vvip	very
suprarenalin	肾上腺素
polarizer	偏光器
intercity	城市间的
crossly	横
sneeshing	鼻烟
uncontested	无异议的
porterage	搬运业
temporal	世俗
ipsu	Utility
philanthropic	博爱
talon	魔爪
scurviness	无礼
omniscient	全知的
serve	服役
regrant	重新批准
plantigrade	跎行的
fetch	演绎出
peccancy	违章
possibly	或者
forbearing	宽容
squall	哇哇地叫嚷
contemporaneity	现代
unreasonably	不合理地
sleet	雨夹雪
whole	所有的
bmw	德国宝马汽车公司
sweated	低工资
filterable	可滤过的
ransom	勒索
overrun	泛滥
rally	重整旗鼓
thankless	不讨好的
bani	恶骂
psn	serial
santy	=Santa
