wettable	可霑
mcm	罗马数字
tablet	便笺簿
simplehearted	心地纯洁
detassel	使
farmhouse	农家
fervently	热诚地
lepidopteron	鳞翅类之昆虫
dieresis	分音符号
rectificative	纠正
putrefactive	腐烂的
copartner	合作者
librarian	图书管理员
doughy	苍白
unfatherly	严厉
interlingua	拉丁国际语
pointillist	点彩派画家
deathful	致命
outlander	外地人
eccrine	分泌腺的
mint	薄荷糖
filamentary	似丝的
sleepful	睡得很安宁的
