loutish	无礼的
voiced	浊音的
venturesomely	卤莽
mildew	霉病
cmtc	国民军事训练营
extraofficial	职务以外
flagellate	有鞭毛的
merry	愉快的
histological	组织学的
paraplegic	截瘫患者
academicism	形成主义
multipartite	分成多部份的
carnally	世俗地
ectomorphic	瘦型体质
