hellkite	残忍的人
israelitic	希伯来人的
packthread	包裹绳
initial	词首大写字母
matelot	海员
spacing	间距
noctivagant	夜游的
casually	随便地
honiton	=Honiton
counterespionage	反间谍
clear	清楚的
aspca	Animals
hermeneutic	解释
interrupter	阻碍者
privation	被剥夺了某物的状态
hectostere	百立方米
harvest	收割
grotesque	奇异风格
lutetian	Lutetia
cranic	脑
ghyll	溪流
fabricant	制造者
slaky	多烂泥的
staphylococcus	葡萄状球菌
twisty	不直接说明的
polyimide	聚酰亚胺
flaked	失去知觉的
abrupt	陡峭
course	急行
crimp	卷曲
numeration	读数法
cracky	多裂缝
affidavit	宣誓书
miogeoclinal	=miogeosynclinal
unsuitability	不相称
jellied	涂凝胶物的
slub	粗纺线
pohai	见
bespoken	显示
waver	开始退让
clothesbag	放置换洗物的袋子
commove	使动摇
hectic	脸红
scruple	微量
stuffless	不充实
repellent	排斥的
female	雌的
embryotic	萌芽期的
ophthalmological	眼科
plagiotropic	斜向
photoinduced	光感应
interested	有成见的
footling	微不足道
against	靠着
polynomial	2
cloak	宽大外衣
infighting	接近战
queenly	女王
farce	胡闹
sandy	沙的
lacteous	乳状的
tailband	书脊底带
endogenetic	内生的
duff	揉好的面团
bergamot	香柠檬油
hemimorphite	异极矿
fossorial	掘
kermes	干燥雌体
hydroxide	氢氧化物
doa	on
thingification	=reification
woodland	林
tavr	Reserve本土军和陆军志愿后备队
instigation	煽动
exophthalmic	突眼
radiotoxicology	辐射毒害学
factionist	宗派主义者
inhospitality	冷淡
eidograph	缩放绘图仪
gastrectasia	胃扩张
atomization	分离成原子
incorporeal	无形体的
aarnet	the
filipine	菲律宾的
asleep	睡熟的
sulphite	亚硫酸盐
religionist	宗教家
ignore	驳回诉讼
engraft	灌输
unfaithful	不诚实的
cineaste	电影制作人员
leviathan	海中怪兽
pursual	追赶
uneven	不平均的
undeify	使非神化
outward	公开的
pyrolatry	拜火教
anticyclone	反气旋
nickpoint	=knickpoint
besprent	撒满
lyrical	充满感情的
irresponsive	无答复
bepaint	着色
einsteinian	爱因斯坦理论的
standby	使船待命的信息
blind	使失明
mousseux	起泡
muddle	使微醉
grassland	草原
scholastic	经院的或经院哲学家
encyst	被包在囊内
offcast	被抛弃的人或物
contend	主张
lomentaceous	节荚的
crablike	似蟹行般的
obstreperous	任性
unsearched	未搜寻过的
disinfest	驱除害虫和有害动物
plumate	似羽毛的
administrative	court//
fin	鳍状物
zoot	suit
unplucked	未摘下
gospel	福音
synectics	共同研讨
supervisory	监督的
ripe	成熟的
chilitis	=cheilitis
pert	Review
babyism	愚蠢
munificence	宽宏大量
keeping	遵守
hilac	ion
tumble	摔跤
oncidium	金蝶兰属植物
whiter	苍白
acheron	地狱
gentlefolk	上流人士
regalvanize	再给…………通电
rageful	狂怒的
ravenous	狼吞虎咽的
physiographical	地形学的
reinstall	重新设置
storiology	传说研究
hdcd	Disc
scanner	扫描器
bannerol	小旗
asio	Input/Output
trigonal	三角形
moot	无实际意义
pliocene	上新世的
hpna	家庭电话线组网联盟
bottine	女靴
mutiny	反抗
scenograph	透视图
happify	使高兴
westward	西方
humidistat	湿度调节器
inhomogenous	多相的
disinfection	消毒
cuttlebone	海螵蛸
ecophysiology	生态生理学
whither	去处
niftic	漂亮的
hcs	human
registered	已登记
unserviceable	不能胜任
juglandaceous	胡桃科属
arthrotropic	致关节疾病
hundredweight	重量单位
eradicative	消灭
slavery	奴隶制度
colonnaded	有列柱
villiform	绒毛状
acouphone	微音传达器
pitt	Street
sufferable	可忍耐
above	上述
cokuloris	调光板
through	经由
birchen	桦树的
confabulation	交谈
envoy	外交使节
imperfectible	不可能完美的
riot	暴乱
scope	余
holohedral	全对称晶形
