twistification	的事物
retire	退休
tamp	打夯的工具
onychomycosis	甲真菌病
gnomic	格言
downhill	每况愈下
ragazza	女孩
flyspeck	小斑
sixfold	六重
floatage	漂浮
connecter	连结物
coextend	在同面积或长度扩张或伸张
tentatively	试验性
asexually	无性
relatum	被关系者
virtually	事实上
cokehead	可卡因瘾君子
sexto	六开本
salopian	Shropshire地方的或人的
slummer	出入贫民区工作的人
hypnotically	用催眠术
egoistical	自我中心的
astrolater	天体崇拜者
mesaxon	轴系膜
hades	地狱
stem	滋生
subsidise	下沉
mitigatory	缓解
biomathematics	生物数学
commercialese	商业语言
recast	重铸
starting	出发
darwinism	达尔文学说
odontalgic	患牙痛
thrust	刺
exceptional	异常的
compliable	依从的
saccharomycete	酵母菌
atmological	水蒸气学的
fibrovascular	维管
bung	桶孔
lhc	High
immelmann	半斤斗翻转(德国飞行员殷麦曼
dropt	掉下
toparch	小国统治者
objectivity	客观性
streamy	多水流
egyptianize	使埃及化
mouse	搜寻
studious	勤学的
poky	慢吞吞的
plumb	铅锤
assignment	委派
headily	性急
logaoedic	由混合韵律组成的诗行
hoatching	密集
versatile	多面手的
roily	被激怒的
galvanograph	电铸版印刷品
disinhume	掘出
skirmisher	散兵
smriti	传承
divisive	分裂
legalist	守法主义者
photomechanical	照相工艺
refer	咨询
recapitulate	摘要
recalcitrance	顽抗
awake	醒的
oscan	欧斯干人
mock	仿制品
crappie	刺盖太阳鱼属鱼
counterplot	对抗另一计谋的计谋
whisker	使有须状物
biphenyl	联苯
entomophily	虫媒传粉
galop	该舞曲
mtu	transmission
loricate	有甲壳
depraved	堕落的
surliness	险恶的天气
hermit	隐士
clabber	凝结
hatty	Harriot
speculum	反射镜
cdgps	Global
dimensional	空间的
groin	使成穹窿形
prostatotomy	前列腺切开术
undefended	无防备
hydromedusa	水螅水母
wash	洗
otherworldly	来世
ensate	剑状
mocky	犹太佬
cobbly	用鹅卵石铺的
vlsi	超大规模集成电路
scholastic	学究
epitaph	碑文
astronomic	星学
fatheaded	愚钝
epilator	拔毛者
nasality	鼻音性
convulse	使抽筋
mel	蜂蜜
millenarian	一千年
lassen	Peak
linsang	麝香猫
witted	头脑……的
nonviolently	非暴力地
nephelite	=nepheline
shoppe	专柜
unjoined	不连接的
ditch	沟
province	省
cinq	=cinque
intuitivism	直觉知识
pyrolyze	使热解
anglia	英格兰的拉丁名称
plainclothesman	侦探
loneliness	孤独
demythologise	=demythologize
bulkily	庞大
tophamper	桅上的帆桁等物
delusive	欺骗的
slither	不稳地滑动
obtusely	圆头地
rhapsodic	狂想曲的
laughton	劳顿
exculpation	使无罪
plumbiferous	含铅的
eudaemonic	幸福学的
wnp	威尔士国民党
kilogrammeter	公斤米
disfavor	不悦
preludial	序言
uniflow	单向流动的
ingenuously	率直
littlish	较小的
palaeoanthropic	古人
regret	悔恨
afeared	恐惧
hardtop	室内电影院
gneissose	片麻岩
caudal	尾部的
garbage	废物
swinger	赶时髦的人
arpa	Agency
ptolemaic	托勒密
winning	赢得物
affluently	流畅
priestcraft	神职者的谋略
