seedy	不适
tablet	碑
arrisways	对角
zif	Zero
eunomia	欧诺弥亚
fremd	外国
petrologist	岩石学家
unforced	不费力
wisdom	学识
absquatulater	开小差者
taxis	整复法
unreactive	化学上惰性
dioptometer	视力计
brachiate	十字对生
ophthalmitis	=ophthalmia
drupaceous	核果性的
nanoplankton	=nannoplankton
phonetically	按照发音地
cock	使耸立
fractious	倔强的
ue	美国电气、无线电和机器工人联合会
aerogramme	无线电报
serf	农奴
anlage	倾向
sensibilia	可被感知的事物
resinous	含树脂
ethanolamine	乙醇胺
neurosurgery	神经外科
graininess	多粒的
flighty	轻狂的
additional	额外的
griseous	珍珠灰
oogonium	卵原细胞
preferential	特惠的
irreproducible	不能再现的
pedes	的复数
haunting	不易忘怀的
supercoil	超螺旋
miaul	猫的叫声
zesty	兴致很高
bloodshot	有血丝
scalpriform	凿形的
ghibli	朝向风
arthrotomy	关节切开
caginess	狡诈
congius	一加仑
floriate	用花卉图案装饰
muslim	穆斯林
rate	被评价
purgation	净化
paroemiographer	谚语汇编者
foamflower	泡沫花
able	能够
contention	争论
immethodical	无次序
ecliptic	蚀
leafed	有叶子
auteur	电影导演
cacti	仙人掌
twine	合股线
convincing	令人信服
timbered	木造
noninstallment	非分期付款
etesian	季节风
counterpane	床单
intrenchingtool	挖壕工具
poise	悬着
csce	Europe
broomball	类似曲棍球的球戏
platinoid	假白金
outside	外表
circumgalactic	环星系旋转的
beastly	令人不快
discharger	卸货人
extract	选粹
biovular	二卵生的
intervene	干涉
hand	搀扶
azalea	杜鹃花
log	园木
proptosis	前垂
garrison	要塞
tribromoethanol	三溴乙醇
dinitrophenol	二硝基酚
strudel	以果实或干酪为馅而烤成的点心
masturbatory	手淫的
opponency	反对
subaltern	副官
golan	Heights戈兰高地
mnas	the
intrigant	私通者
colloidal	胶质的
untaa	Administration
tedder	翻晒机
