redoubted	可惧
backwardly	往后
explant	外植体
voyage	航海
perpendicular	垂线
lamelliform	薄片形
monica	莫尼卡
unascertainable	不能确定
plantsman	花卉栽培者
romanian	罗马尼亚语
enring	环绕
aok	极好的
deliberately	故意地
eeoc	Egnal
unicef	Fund
hoo	呼!
curlycue	花体
thalamium	内室
gothicism	野蛮
pure	纯洁的
humous	腐殖质的
bacteremic	菌血症
template	模板
subtitle	说明对白的字幕
skunk	讨厌鬼
conformance	一致
decillion	数达1
troglobite	穴居动物
androgenous	雄性单性生殖的
unhasty	不匆忙
electrify	使电气化
corollar	类似花冠的
bended	弯曲的
joyo	卓越网
doubleheader	连赛
ninny	笨人
antiballistic	反弹道的
helleri	剑尾鱼
watermelon	西瓜
ecliptic	蚀的
ratherish	稍微
melanie	梅勒妮
spur	刺激
himyaritic	希米亚里特语
adventurous	喜欢冒险的
alum	矾
catling	两刃切断刀
gpd	day
inevitability	必然性
congenetic	同源的
knotweed	紫菀科植物
acquirability	可得
sure	的确
beltane	古凯尔特族的五朔节
loun	无用之人
fretful	焦躁的
eternally	永恒地
hypotheses	臆测
buddybuddy	非常友好
rattlebrained	愚蠢多嘴的
dais	讲台
visitorial	访问的
forwarder	转运公司
aeciostage	锈孢子期
pinto	杂色马
clear	净
cornuted	妻子与人通奸
random	随便
urbanity	文雅
normothermia	体温正常
gradual	逐渐的
subversive	破坏性
hydrodesulphurization	加氢脱硫
aforehand	事先的
conceivable	想得到的
pbx	专用分组交换机
galliass	三桅军舰
pediatric	小儿科的
wheelbase	前后轮之车轮轴距离
idiotype	个体遗传型
husky	像谷的
trisodium	三钠
corruptibly	易腐败
pride	使自夸
mitred	斜接的
authentic	可信
shoofly	摇动木马
rotfl	Rolling
subaltern	次的
transignification	质变
methyl	甲基
fortuitous	偶然的
pessimal	最差
cavalvy	骑兵队
malentendu	误会
feldberg	菲尔德山
extortionist	勒索者
sacrifice	供奉
gymkhana	比赛
ineluctability	不可避免
arret	逮捕
chowmatistic	理财学的
universality	广泛性
emprise	侠义行动
red	红的
quirky	诡诈
cytaster	星体
ripsnorting	大不了
ternary	三重
apothecial	子囊盘
flannelled	穿法兰绒衣服的
clan	氏族
ineloquent	不传达表情的
diorthosis	矫正术
forested	被森林所覆盖的
multipad'	NULL)
female	女子的
