hii	Health
araliaceous	五加科
enclisis	与前词连接发音
lunkhead	呆子
remittent	弛张热
dockworker	码头工人
cardinal	主要
pained	痛
demagoguism	煽动方式
overdraw	透支
listenable	值得一听
boiling	激昂
insectivize	施行强暴统治使沦为奴役
demagoguery	散布谣言
outfield	外场
plumy	用羽毛装饰
mtbf	Failures
hardy	难
weatherproof	不受天气影响
prescientific	科学以前的
burglarious	夜盗的
hateless	无憎恨之感的
anesthetic	麻醉的
greenhouse	花房
triseptate	具三隔膜
fiend	能手
kinless	无亲戚
fat	肥大
dominant	有统治权
gesture	手势
poikilitic	嵌晶结构的
otherworldliness	来世
square	弄平
landlordly	主
citral	柠檬醛
smotheration	窒息
reaper	收割机
