embryulcia	牵胎法
antihemophilic	抗血友病
superradiance	超发光
exhibition	展览会
igneous	火
blacksnake	虎蛇
reliquary	圣骨匣
foxy	狡猾
waiwode	=voivode
inertion	无行动
arms	武器
sublimate	气质高贵
beefy	象牛肉的
positronium	电子偶素
beanball	投中打击者头部的球
cuetrack	轨
cycle	循环
otherwise	其他方面的
doghole	仅适于狗住的地方
aboriginal	原来
invective	恶言的
avian	鸟类的
shipwright	造船工人
hii	健康保险学会
tractate	论文
labyrinthine	迷宫
supergalaxy	超星系
waterlogging	涝
seedy	多种子的
nullify	无效
sernyl	苯环己哌啶
rundown	纲要
yardman	园丁
integrate	求……的积分
ukaea	Kingdom
inferior	下级的
valvar	=valvular
sublimate	升华
existentialist	存在主义
machinator	阴谋家
semiscientific	不十分科学化的
contemporaneous	同时代
woad	用靛蓝染
notarize	证明
antihelium	反氦
crocky	老朽
racquetball	手球式墙球
recitative	吟诵的
chowderhead	愚笨的人
mats	Service
picrotoxin	苦味毒
seat	使坐下
hebrew	希伯来人
fenestra	小孔
female	雌兽
mongrel	杂种的
andromonoecious	雄全同株
immission	注入
collaborative	协力完成的
highness	高度
radiophone	光线电话机
endowment	天资
metewand	尺度
checkstring	号铃索
doxastic	信念
convincible	可使信服的
lokal	酒吧
experience	体验
canonicate	牧师或僧侣之职位
crises	紧要关头
photoelectric	光电的
disintegrator	分解者
mesic	栖于湿
decohere	散屑
malversation	腐败行为
comfortlessness	不舒服
guilin	桂林
afghani	阿富汗
expanding	扩大
vertiginous	眼花的
dislikeful	讨厌
fiann	芬尼亚勇士团团员
fancy	想象力
norwards	往北
radiophony	利用辐射能发声的科学
goodwood	古德伍德公园附近举行的赛马会
affectionate	亲爱的
volksdeutscher	德侨
amboyna	黄柏木
sponge	海绵般吸收
heteropolar	有极
grandmotherly	祖母的
tejo	特茹河(源出西班牙东北部的塔霍河
guts	狼吞虎咽
devise	发明
zooming	快速上升的
palma	帕尔马
eruptive	疹的
rsd	of
unsheltered	无居所的
hyperoxemia	血酸性过强
appetizing	促进食欲的
revisionary	校订
interval	距离
gally	吓唬
detectaphone	窃听器
calendric	按日历
reducible	可还原
plagioclimax	偏途演替顶极
nostril	鼻孔
pacesetter	步调调整者
firedrake	火龙
traducianist	灵魂遗传论者
eel	油滑的人
headachy	头痛的
green	无经验
nodularity	结核状态
belock	锁住
softhearted	好心肠
reduplication	复本
cyke	弧形背景幕
hemodialyzer	人造肾脏
theology	神学
grounder	滚地球
clonus	抽筋
polysemous	多义的
afterburner	喷射引擎等的加力燃烧室
embedded	植入
brand	污辱
phanerogamic	显花植物
whoopee	狂欢
panegyrical	颂词的
fatbrained	脑筋迟钝
approbate	许可
faultfinding	找茬子
dishonorably	不名誉
signalize	使著名
cavernous	似巨穴
anamorphic	变形
mucin	粘液素
acidimetric	酸量滴定的
deianira	得伊阿尼拉
oversimplify	过分地单纯化
toilless	容易
rammish	象公羊的
dankly	潮湿
naval	海军的
