advisee	受教授指导选课的学生
initiatory	入社
initiatory	导引入门的
initiatory	导引入门
initiatory	启蒙的
initiatory	启蒙
predominant	卓越的
predominant	卓越
predominant	支配的
predominant	支配
predominant	主要的
predominant	主要
predominant	突出的
predominant	突出
predominant	有影响的
predominant	有影响
wholly	整个
wholly	统统
wholly	全部
wholly	专门地
wholly	专门
trichothecin	单端孢菌素
subshell	支壳层
unneighborly	不睦邻的
unneighborly	不睦邻
unneighborly	不友善的
unneighborly	不友善
unneighborly	不喜欢与人交往的
unneighborly	不喜欢与人交往
curvifoliate	具曲叶的
curvifoliate	具曲叶
montana	蒙大纳
herdbook	家畜血统书
cummerbund	腹带
cummerbund	徽带
cummerbund	装饰带
clingstone	果肉紧贴于核的桃或梅子
clingstone	果肉与核分离不开的
clingstone	果肉与核分离不开
machineman	机械工
machineman	印刷工
implementary	实施的
implementary	实施
implementary	执行的
implementary	执行
suntan	晒黑
suntan	卡其色军服
immortally	不朽地
immortally	不朽
immortally	永世地
immortally	永世
immortally	无限地
immortally	无限
gnar	吠
gnar	吼
gnar	咆哮
betise	愚蠢
betise	愚行
ekaterinburg	叶卡特琳堡
vandyked	剪成锯齿状
profligacy	放荡
profligacy	不检点
profligacy	肆意挥霍
adiantum	石长生属植物
adiantum	铁线蕨
antiphlogistic	消炎的
antiphlogistic	消炎
antiphlogistic	消炎剂
ardency	热心
ardency	热烈
luscious	甘美的
luscious	甘美
craniota	脊椎动物门
seasick	晕船的
seasick	晕船
spig	=spic
complanate	平坦的
complanate	平坦
complanate	平面的
complanate	平面
tobacconist	烟草商
tobacconist	烟店
draftee	被征召入伍者
subternatural	亚于自然的
subternatural	亚于自然
subternatural	逊于天然的
subternatural	逊于天然
subternatural	不及天然的
subternatural	不及天然
noninductive	无电感的
noninductive	无电感
mallei	malleus
mallei	的复数
barish	部分裸露的
barish	部分裸露
bieerhaus	小酒店
bieerhaus	啤酒店
compulsion	强迫
compulsion	强制
compulsion	强迫性冲动
fatstock	肉畜
fatstock	肥畜
eustele	真中柱
arrondissement	法国的行政区
arrondissement	郡
macon	梅肯
seclusively	隐遁地
seclusively	隐遁
gerundgrinder	拉丁语教师
gerundgrinder	学究式的教师
bury	埋葬
bury	掩埋
bury	隐藏
constitute	制定
constitute	组成
constitute	任命
fea	Federal
fea	Energy
fea	Administration联邦能源署
cloister	回廊
cloister	修道院
telemeter	测距器
elutriate	陶析
elutriate	淘选
galliot	带帆的小型两排桨船
fizzy	嘶嘶的
fizzy	嘶嘶
fizzy	泡沫腾涌的
fizzy	泡沫腾涌
adn	Advanced
adn	Digital
adn	Network
adn	高级数字网络
wanting	欠缺的
wanting	欠缺
wanting	没有的
wanting	没有
wanting	不够格的
wanting	不够格
wanting	缺
wanting	无
cunning	狡猾的
cunning	狡猾
cunning	巧妙的
cunning	巧妙
cunning	漂亮的
cunning	漂亮
cunning	可爱的
cunning	可爱
cunning	狡猾
cunning	诡诈
bode	预示
bode	忍耐
meleager	梅利埃格
ungetatable	难到达的
ungetatable	难到达
ungetatable	不易进入的
ungetatable	不易进入
thistle	蓟
mawlamyine	毛淡棉
diagonally	对角地
diagonally	对角
haywire	捆干草用的铁丝
haywire	取去干草后的杂乱缠绕的铁丝
quiniela	头两名博
stylistics	文体论
hemitrope	半体双晶的
hemitrope	半体双晶
analogue	相似物
analogue	类似情况
analogue	对等的人
nuzzle	将鼻插入
nuzzle	用鼻掘
nuzzle	用鼻爱抚
stylist	自成流派者
stylist	文体家
stylist	设计师
zaffre	含氧化钴的混合物
eightpenny	八便士的
eightpenny	八便士
nucleosidase	核蛋白质分解酵素
rhomboid	偏菱形
rhomboid	长斜方形
dockage	船坞使用费
dockage	入坞
reargue	再辩论
reargue	重新辩论
electrophoretic	电泳的
electrophoretic	电泳
hitchily	蹒跚地
hitchily	蹒跚
hitchily	急跳地
hitchily	急跳
leucocratic	以浅色矿物质为主要成份的
leucocratic	以浅色矿物质为主要成份
depone	发誓作证
depone	发誓作证
cumshaw	酒钱
cumshaw	赏钱
cumshaw	小帐
maltose	麦芽糖
dudgeon	愤怒
setteron	攻击者
setteron	教唆者
educative	教育的
educative	教育
educative	教育性的
educative	教育性
educative	教育上的
educative	教育上
triumphalist	必胜信念者
triumphalist	必胜主义者
exorcist	驱魔的人
exorcist	召魂者
conchie	=conchy
delinquency	行为不良
delinquency	错失
wiener	=frankfurter
subclinical	临床症状不显的
subclinical	临床症状不显
subclinical	亚临床的
subclinical	亚临床
sorbonne	索邦神学院
sorbonne	巴黎大学
aerometeorograph	航空气象记录仪
timidness	胆小
timidness	胆怯
susi	有丝绸彩条的棉织品
twp	傻的
twp	傻
twp	笨的
twp	笨
unorthodox	非正统的
unorthodox	非正统
unorthodox	异教的
unorthodox	异教
unorthodox	异端的
unorthodox	异端
schizogenetic	=schizogenous
outlaid	outlay的过去式及过去分词
harijan	神的子民
nucleole	=nucleolus
ad	广告
ad	Air
ad	Defense
ad	防空
apartotel	公寓旅社
apartotel	公寓饭店
hussism	=Hussitism
splitter	劈的人
splitter	分裂机
diaphragmatitis	膈炎
diaphragmatitis	膈膜炎
ziegler	catalyst齐格勒催化剂
viciously	邪恶地
viciously	邪恶
viciously	敌意地
viciously	敌意
climatic	气候上的
climatic	气候上
blockbuster	巨型炸弹
blockbuster	一鸣惊人者
transtaafl	There
transtaafl	Aren''t
transtaafl	No
transtaafl	Such
transtaafl	Thing
transtaafl	as
transtaafl	Free
transtaafl	Lunch
transtaafl	世上没有免费的午餐
slumdweller	贫民窟居民
training	训练
training	练习
training	训练的
training	训练
disillude	=disillusion
coprology	色情文学
coprology	诲淫的文艺作品
coprology	色情文学研究
terrazzo	磨石子地
terrazzo	磨石子
clamorous	大喊大叫的
clamorous	大喊大叫
micrometastasis	微小转移
stator	定子
stator	固定片
dragsman	马车夫
antenatal	出生前的
antenatal	出生前
bolognese	波伦亚的
bolognese	波伦亚
bolognese	波伦亚人的
bolognese	波伦亚人
bolognese	波伦亚画派的
bolognese	波伦亚画派
bolognese	波伦亚人
bolognese	波伦亚方言
cecopexy	盲肠固定术
secular	长期的
secular	长期
believe	有坚定的宗教信仰的
believe	有坚定的宗教信仰
believe	相信
believe	信任
believe	认为
believe	想
radical	根本的
radical	根本
radical	基本的
radical	基本
radical	激进的
radical	激进
radical	激进分子
bewilderingly	令人困惑地
bewilderingly	令人困惑
bewilderingly	使人迷乱地
bewilderingly	使人迷乱
filthy	不洁的
filthy	不洁
filthy	污秽的
filthy	污秽
filthy	丑恶的
filthy	丑恶
homuncule	矮子
homuncule	侏儒
homuncule	小人
tesseract	立方体的四维模拟
tesseract	超正方体
sony	索尼公司
reroll	再压滚
reroll	再轧
crustose	长成外壳状的
crustose	长成外壳状
crustose	紧贴在土壤的
crustose	紧贴在土壤
tear	破处
tear	破缝
tear	泪滴
tear	眼泪
tear	扯
tear	飞奔
tear	激怒
tear	流泪
tear	撕破
tear	猛冲
tear	飞奔
tear	被撕破
tear	扯
tear	撕
tear	撕破
tear	戳破
tear	拉掉
tear	折磨
tear	使分裂
tear	撕掉
varicosis	静脉曲张病
varicosis	静脉曲张状态
semiofficial	半官方的
semiofficial	半官方
polymerise	=polymerize
grin	露齿笑
grin	裂口笑
grin	露齿而笑
undergrown	发育不全的
undergrown	发育不全
tallowy	兽脂的
tallowy	兽脂
tallowy	油腻的
tallowy	油腻
tallowy	肥壮的
tallowy	肥壮
cocozelle	西葫芦
cocozelle	美洲南瓜
benedictus	短赞美诗
carlisle	卡莱尔
mitogenic	促有丝分裂的
mitogenic	促有丝分裂
mitogenic	致有丝分裂的
mitogenic	致有丝分裂
communalist	地方自治主义者
acrodont	边齿的
acrodont	边齿
acrodont	颌缘的
acrodont	颌缘
three	三
greffier	公证员
greffier	登记员
damaskeen	波纹
damaskeen	颗粒状花纹
isopiestic	等压的
isopiestic	等压
preternatural	超自然的
preternatural	超自然
luminal	鲁米诺
wingbeat	一扑闪
deproteinize	使脱蛋白质
electromotion	电动
sewn	sew的过去分词
schema	计划
calker	填塞船板隙缝的人或工具
sternward	船尾的
sternward	船尾
sternward	后面的
sternward	后面
sternward	在船尾
bydgoszcz	比得哥煦
accouterments	军人的配备
accouterments	服装
spaceward	向宇宙空间
spaceward	向太空
earful	令人吃惊的回答
earful	听腻了的消息
earful	怨言
earful	严厉的斥责
decoction	煎煮
decoction	煮出的汁
decoction	煎熬的药
cyberneticist	=cybernetist
potteen	=poteen
orbital	轨道的
orbital	轨道
orbital	眼窝的
orbital	眼窝
ecosoc	联合国经济及社会理事会
linear	线的
linear	线
linear	直线的
linear	直线
linear	线性的
linear	线性
pummel	击
pummel	打
pummel	用拳头连续揍
pummel	前鞍桥
recitation	朗诵
recitation	背诵
recitation	叙述
recitation	背诵的东西
eparch	地方行政长官
eparch	大主教
cornada	角伤
niobian	含铌的
niobian	含铌
hungriness	饥饿
hungriness	荒漠
hungriness	渴望
significancy	=significance
strongylid	圆线虫科的
strongylid	圆线虫科
rather	宁愿
rather	宁可
rather	更正确
rather	更合适
rather	有点
rather	相当
bengal	孟加拉
pipless	无籽的
pipless	无籽
moralist	道德家
moralist	有道德的人
moralist	伦理学者
suppress	镇压
suppress	抑制
suppress	查禁
suppress	使止住
sulky	生气的
sulky	生气
sulky	阴沉的
sulky	阴沉
woolsack	羊毛袋
woolsack	议长的座位
woolsack	议长的职位
divisionist	反对统一者
divisionist	新印象画派的
divisionist	新印象画派
katangese	人
katangese	加丹加的
katangese	加丹加
insurmountability	不逾越
insurmountability	难以克服
barranca	美国西南部的峡谷
barranca	悬崖
barranca	峭壁
barranca	陡岸
similar	相似的
similar	相似
similar	类似的
similar	类似
handsome	英俊的
handsome	英俊
handsome	大方的
handsome	大方
handsome	慷慨的
handsome	慷慨
handsome	美观的
handsome	美观
handsome	堂皇的
handsome	堂皇
adobo	阿斗波
uraninite	沥青铀矿
vietnam	越南
shadowiness	阴暗
shadowiness	朦胧
shadowiness	有阴影
wertherian	诗人歌德
hyperkinetic	运动机能亢奋的
hyperkinetic	运动机能亢奋
hyperkinetic	运动过度的
hyperkinetic	运动过度
sulphydryl	巯基
sulphydryl	氢硫基
coarse	粗糙的
coarse	粗糙
coarse	粗鄙的
coarse	粗鄙
psion	=psi
psion	particle
yestreen	昨夜
yestreen	昨晚
yestreen	在昨晚
valance	帷幔
valance	装饰窗帘
flaggy	多扁石的
flaggy	多扁石
flaggy	多菖蒲的
flaggy	多菖蒲
apyrous	不易燃的
apyrous	不易燃
mutoscope	电影放映机
spallation	分裂
spallation	蜕变
californiana	有关加利福尼亚的文献
loire	卢瓦尔河
purity	纯净
purity	纯洁
purity	纯度
commensalism	共栖
dishonesty	不诚实
dishonesty	不老实
dishonesty	欺骗
dishonesty	欺诈
stab	刺
stab	刺伤的伤口
stab	一阵突然而强烈的感觉
stab	中伤
stab	伤痛
stab	剌
stab	刺伤
stab	伤害
anywise	无论如何
updatable	可更新的
updatable	可更新
untitled	无标题的
untitled	无标题
untitled	无称号的
untitled	无称号
untitled	无权利的
untitled	无权利
gawsy	喂养得好的
gawsy	喂养得好
gawsy	长得肥壮的
gawsy	长得肥壮
couple	双
couple	夫妇
couple	连合
couple	连接
couple	结合
couple	结合
couple	结婚
hoove	家畜的臌胀症
amildar	=aumildar
decipherment	翻译
decipherment	解读
judahite	犹大族人
judahite	犹大国民
judahite	犹大族的
judahite	犹大族
protozoology	原生动物学
strasbourg	斯特拉斯堡
retrusive	后移的
retrusive	后移
ensignship	少尉的官职
tobagonian	多巴哥人
polyphagia	多食症
polyphagia	杂食性
fitchew	艾鼬
fitchew	艾鼬皮毛
aphorize	用格言说话
transparency	透明
transparency	透明度
transparency	幻灯片
transparency	有图案的玻璃
subbituminous	亚烟煤的
subbituminous	亚烟煤
ross	粗糙带鳞状的表面
ross	去除粗糙外皮
rockery	假山
rockery	假山庭园
audrey	奥德丽
asbestotic	患石棉肺的
asbestotic	患石棉肺
asbestotic	有石棉沉着病症状的
asbestotic	有石棉沉着病症状
ursprache	原始语
distich	对句
distich	对联
aripple	起微波的:
emotionalize	使激动
emotionalize	使动情
accidentproof	可防止意外或减少意外机会的
accidentproof	可防止意外或减少意外机会
potamology	河流学
horrible	可怕的
horrible	可怕
horrible	恐怖的
horrible	恐怖
horrible	讨厌的
horrible	讨厌
divingde	潜水服
keppel	凯珀尔
gangbuster	侦破团伙者
gangbuster	扫荡流氓的执法者
radiophare	无线电定位仪
radiophare	无线电信标
gaup	=gawp
demandant	原告
buskin	悲剧
buskin	半高统靴
swanpan	算盘
tunnellike	像隧道的
tunnellike	像隧道
tunnellike	像地道的
tunnellike	像地道
dairying	制酪业
heritage	遗产
heritage	继承权
heritage	传统
attentive	注意的
attentive	注意
attentive	专心的
attentive	专心
attentive	留意的
attentive	留意
saddlebred	消遣用马种
masculine	男性的
masculine	男性
masculine	男子气概的
masculine	男子气概
masculine	阳性的
masculine	阳性
masculine	男子
masculine	男孩
technolatry	技术崇拜
symposia	座谈会
symposia	评论集
suicide	自杀
suicide	自毁
suicide	给自己带来伤害或损失的行为
drowsy	昏昏欲睡的
drowsy	昏昏欲睡
drowsy	催眠的
drowsy	催眠
drowsy	沉寂的
drowsy	沉寂
launch	下水
launch	汽艇
launch	发射
launch	发行
launch	投放市场
launch	使
launch	开办
launch	发动
launch	发起
launch	起飞
launch	下水
launch	投入
launch	开始
wedgewise	成楔形地
wedgewise	成楔形
kev	kiloelectron
kev	volt
kev	千电子伏特
shotty	似弹丸般硬而圆的
shotty	似弹丸般硬而圆
fatalness	危险性
fatalness	致命性
synecology	群体生态学
synecology	群落生态学
quenchless	不可熄灭的
quenchless	不可熄灭
grogshop	酒馆
grogshop	酒店
wreckfish	=stone
wreckfish	bass
mycology	真菌学
assegai	用标枪刺穿
somatopsychic	躯体与精神的
somatopsychic	躯体与精神
somatopsychic	身心的
somatopsychic	身心
regretless	无悔的
regretless	无悔
regretless	不后悔的
regretless	不后悔
regretless	没有遗憾的
regretless	没有遗憾
campshot	以木铺成的护堤
sarod	萨罗达琴
epitrichium	皮上层
morea	摩里亚半岛(即伯罗奔尼撒半岛
decani	圣坛南边的
decani	圣坛南边
disadapt	使不适应
siblingship	=sibship
benignity	仁慈
benignity	善行
faster	更快的
faster	更快
faster	更快地
faster	更快
chippewa	齐佩瓦族
moochin	猪猡
moochin	猪猡坯
conversely	倒地
conversely	倒
conversely	逆地
conversely	逆
oarlock	桨架
immobilize	固定不动
bombita	"
bombita	小炸弹"
castrum	古罗马兵营
scrollhead	船头涡卷装饰
eviction	逐出
eviction	赶出
headless	无头的
headless	无头
headless	无领导者的
headless	无领导者
headless	无头脑的
headless	无头脑
headless	无知的
headless	无知
sergeancy	警官的职位
sergeancy	律师的职位
gauge	标准尺
gauge	规格
gauge	量规
gauge	量表
gauge	测量
foppish	浮华的
foppish	浮华
foppish	有纨绔习气的
foppish	有纨绔习气
iodin	碘
iodin	碘酒
washbowl	洗脸盆
educrat	教育官员
cathole	门上为猫出入而开的小洞
cathole	任何勉强可通行的小洞
councilorship	参议员之职权或地位
xylophone	木琴
equip	装备
equip	配备
equip	训练
equip	准备行装
circulatory	循环的
circulatory	循环
hoofpick	蹄签
spinach	菠菜
spinach	胡说八道
wirra	哎哟
pentobarbital	戊巴比妥
construe	解释
construe	分析
construe	直译
sanicle	伞形科变形菜属植物
mooncraft	登月飞船
outgrowth	长出
outgrowth	派出
outgrowth	结果
outgrowth	副产物
kimbundu	金邦杜语
charterage	包租
charterage	船务代理商之费用
invoice	发票
invoice	发货单
invoice	货物
invoice	开发票
invoice	记清单
bluebill	铃凫
chardonnay	夏敦埃酒
pompeii	庞培
consistory	宗教法院
consistory	红衣教会议
consistory	监督法院
phenetole	苯乙醚
idealist	理想主义者
idealist	唯心主义的
idealist	唯心主义
resuscitator	使复活的人
resuscitator	人工呼吸器
highflyer	在高空飞行的人
highflyer	高空飞翔的鸟
highflyer	有抱负的人
highflyer	有可能取得成绩的人
groundfire	地面对空火力
groundfire	地面防空火力
emic	位的
emic	位
emic	着位的
emic	着位
chromate	铬酸盐
draftsmanship	=draughtsmanship
chicly	帅地
chicly	帅
chicly	潇洒地
chicly	潇洒
evasive	逃避的
evasive	逃避
evasive	推托的
evasive	推托
southbound	往南的
southbound	往南
finished	完成的
finished	完成
finished	完结的
finished	完结
finished	完美的
finished	完美
finished	精巧的
finished	精巧
concertinist	六角形手风琴
caudad	近尾部
strength	力
strength	力量
strength	力气
strength	实力
strength	兵力
strength	浓度
anemoscope	风速仪
thankee	谢谢
honshu	本州
doz	dioctyl
doz	azelate
doz	壬二酸二辛酯
wang	王
wang	王安电脑公司
salivate	过量分泌唾液
frouzy	=frowzy
videophile	电视
bioclimatograph	生物气候图
tyrosinase	酪氨酸酶
amplitudinous	极充足的
amplitudinous	极充足
hearthside	炉边
hearthside	家庭
signalment	对某人特征的描述
signalment	特别标记
exemption	解除
exemption	免除
exemption	免税
cantorial	合唱指挥家的
cantorial	合唱指挥家
cantorial	唱诗班席位北侧的
cantorial	唱诗班席位北侧
axeman	用斧者
axeman	樵夫
karyoplasm	核质
lobotomize	为……施行脑叶切开术
lobotomize	使迟钝
rucksackful	一帆布背包的容量
discase	除去外罩
discase	脱衣
purported	传说的
purported	传说
purported	谣传的
purported	谣传
embryonal	胚的
embryonal	胚
embryonal	胚芽的
embryonal	胚芽
council	政务会
council	理事会
council	委员会
council	参议会
council	讨论会议
council	顾问班子
council	立法班子
doom	厄运
doom	毁灭
doom	死亡
doom	世末日
doom	注定
doom	判决
doom	著名的3D动作游戏
transitable	可通行的
transitable	可通行
transitable	可经过的
transitable	可经过
italia	=Italy
stibium	锑
elenchus	反对论证
elenchus	辩驳
elenchus	逻辑反驳
elenchus	间接反驳
elenchus	诡辩
dudeen	陶制短柄烟斗
electronics	电子学
highboy	有脚的高橱
institutionalise	InstI5tju:FEnnElaIz/
institutionalise	=ElaIz/
institutionalise	使制度化
institutionalise	institutionalize/或习俗化
institutionalise	使送进专门机构
campanulate	钟状的
campanulate	钟状
poach	水煮
poach	把……踏成泥浆
poach	侵入偷猎
poach	窃取
poach	偷猎
inhalator	气雾
inhalator	吸入器
inhalator	人工呼吸补助器
exoticism	异国情调
exoticism	异国风味
exoticism	对外国事物的兴趣
hypercharge	超电荷
endodontia	=endodontics
vampirism	吸人膏血
vampirism	榨取他人
evocator	唤起人
evocator	招魂者
evocator	唤起物
evocator	诱发物
encephalocele	脑膨出
hayfield	种秣草地
hayfield	种秣草
inmost	心底的
inmost	心底
inmost	秘密的
inmost	秘密
alderman	市府参事
alderman	市议员
asymptote	渐近线
curler	卷发的人
curler	卷发夹子
paddle	短桨
paddle	划桨
paddle	明轮翼
paddle	划桨
paddle	戏水
paddle	涉水
paddle	用桨划
paddle	搅
paddle	拌
homeland	祖国
homeland	本国
carling	纵梁
carling	支甲板横梁的纵梁
hallow	使……神圣
hallow	视为神圣
reinvite	再邀请
entrails	内脏
entrails	肠
entrails	内部
coblenz	=Koblenz
holdup	拦劫行人的强盗行为
holdup	劫盗
holdup	无理的讨价
holdup	停顿
airworthiness	耐飞性
oceanus	海洋之神
knead	揉
knead	按摩
knead	捏制
vendetta	族间仇杀
vendetta	深仇
medico	医师
medico	医学生
pyrethrum	除虫菊杀虫剂
scatheless	无损伤的
scatheless	无损伤
scatheless	平安的
scatheless	平安
verticillate	轮生的
verticillate	轮生
verticillate	具毛轮的
verticillate	具毛轮
ecumenopolis	世界都市观
uneasy	心神不安的
uneasy	心神不安
uneasy	不自在的
uneasy	不自在
uneasy	不稳定的
uneasy	不稳定
uneasy	不舒服的
uneasy	不舒服
uneasy	心神不安地
uneasy	心神不安
uneasy	不自在地
uneasy	不自在
uneasy	不稳定地
uneasy	不稳定
siphonein	管藻素
phylloxerized	=phylloxerated
paroxysm	发作
paroxysm	突发
written	write的过去分词
osmic	锇的
osmic	锇
dunaj	=Danube
fairbanks	费尔班克斯
animalist	动物艺术画家
monolatry	单神崇拜
poinsettia	猩猩木
fatigued	疲乏的
fatigued	疲乏
noisette	诺伊斯氏蔷薇
noisette	小片精肉
paperbark	白千层属植物
aptitudinal	聪明的
aptitudinal	聪明
aptitudinal	有倾向的
aptitudinal	有倾向
shied	shy
shied	的过去式或过去分词
shied	惊退
sown	sow的过去分词
qanon	=kanoon
percussionist	打击乐器乐手
percussionist	弹击乐器弹奏者
multeity	多样性
multeity	多方面性
multeity	多重性
restes	索状体
restes	绳状体
capacitron	电容汞弧管
