karstology	岩溶学
magnetodisk	磁盘区
affable	和蔼可亲的
affable	和蔼可亲
juruena	茹雷纳河
rhizome	根茎
rhizome	根状茎
landwaiter	海关监督装卸货物并负责收税的海关关员
newsboy	报童
newsboy	送报人
scorbutus	=scurvy
tableland	高原
proette	女职业运动员
vulgar	粗俗的
vulgar	粗俗
vulgar	庸俗的
vulgar	庸俗
vulgar	普通的
vulgar	普通
vulgar	通俗的
vulgar	通俗
vulgar	本土的
vulgar	本土
vulgar	平民
vulgar	百姓
ladify	使成为贵妇人
ubiquitism	基督圣体遍在论
tricresol	邻、间、对三种甲酚混合物
heartbreaker	令人伤悲的人
penis	阳物
penis	阴茎
serpula	龙介虫
rod	杆
rod	棒
nrdc	National
nrdc	Research
nrdc	Development
nrdc	Corporation
nrdc	国家科学研究开发公司
windbaggery	空谈
windbaggery	夸夸其谈
soaring	高飞的
soaring	高飞
soaring	翱翔的
soaring	翱翔
leaguer	盟员
leaguer	会员
leaguer	成员
leaguer	围攻
leaguer	围攻
knot	打结
feebleness	弱
feebleness	微弱
candy	糖果
candy	冰糖
candy	蜜饯
candy	糖煮
trinitrotoluol	三硝基甲苯
undermine	破坏
statesmen	政治家
tetradactyl	四趾的
tetradactyl	四趾
compatibility	兼容性
bren	carrier履带式小型装甲车
scaur	伤痕
scaur	疮疤
viscoelastic	黏弹性的
viscoelastic	黏弹性
stewbum	酒鬼
caporegime	分支机构副头目
caporegime	二大王
digitigrade	趾行的
digitigrade	趾行
digitigrade	趾行类的
digitigrade	趾行类
digitigrade	趾行动物
phonography	速记表音符号
autoanalyzer	自动分析器
disepalous	有两萼片的
disepalous	有两萼片
prussianize	使普鲁士化
prussianize	使军国主义化
dedifferentiate	di:`dIfE9reneIt/
dedifferentiate	去分籉I`eIFLn/
dedifferentiate	[生物
dedifferentiate	反分化
phenyl	苯基
chalcid	小蜂
corvi	Corvus
corvi	的所有格
diphtheric	白喉的
diphtheric	白喉
diphtheric	患白喉的
diphtheric	患白喉
millennium	太平盛世
millennium	一千年
buttercup	毛茛科
lithy	易弯的
lithy	易弯
lithy	柔软的
lithy	柔软
samian	萨摩斯岛上的居民
assyriology	亚述研究
assyriology	亚述学
pneumatolysis	气化
pneumatolysis	气成作用
saponine	=saponin
spigotty	=spic
sequoia	美洲杉
antebrachium	前臂
honkie	白人
lakeward	向着湖的
lakeward	向着湖
nephropexia	肾固定术
intendment	真意
intendment	正当的解释
dunstaple	John
dunstaple	即
dunstaple	Dunstable
dunstaple	John
congratulate	祝贺
congratulate	庆贺
congratulate	恭喜
andragogy	成人教育学
andragogy	成人教育法
ammonite	菊石
ammonite	干肉粉
cephalin	脑磷脂
stonily	石头地
stonily	石头
stonily	冷酷地
stonily	冷酷
signifiable	能用符号表示的
signifiable	能用符号表示
careladen	多烦的
careladen	多烦
careladen	忧心的
careladen	忧心
fur	毛皮
fur	毛
fur	软毛
nostalgic	乡愁的
nostalgic	乡愁
nostalgic	怀旧的
nostalgic	怀旧
rhinoceros	犀牛
climbable	爬得上去的
climbable	爬得上去
quantitate	测定的数量
quantitate	用数量来表示
condylar	髁的
condylar	髁
lobbyism	运动
lobbyism	内厅
lobbyism	陈情运动
tortoni	重奶油果子冰淇淋
tortoni	饼干果子冰淇淋
thereamong	其中
bluestem	须芒草
presbyterianism	长老会制
presbyterianism	长老派主义
benthic	深海底的
benthic	深海底
erenow	在此之前
erenow	至此
cosie	舒服的
cosie	舒服
cosie	暖和的
cosie	暖和
unborn	未来的
unborn	未来
empiricist	经验主义者
empiricist	经验论者
empiricist	庸医
mucous	黏液的
mucous	黏液
mucous	黏液似的
mucous	黏液似
kshatriya	刹帝利
kythera	=Kythira
animator	给予生气者
animator	鼓舞者
animator	漫画家
seicento	第17世纪
seicento	17世纪意大利文艺风格
truss	捆绑
truss	一捆
truss	一束
truss	构架
nippon	=Japan
lightheaded	头昏眼花的
lightheaded	头昏眼花
malarial	患疟疾的
malarial	患疟疾
malarial	毒气的
malarial	毒气
unbudging	不动摇的
unbudging	不动摇
unbudging	不改变的
unbudging	不改变
unbudging	坚定不移的
unbudging	坚定不移
mudslinger	诽谤
mudslinger	中伤
drape	窗帘
incompressible	不能压缩的
incompressible	不能压缩
slantendicular	=slantindicular
cretinism	白痴病
cretinism	呆小症
pawnee	收当人
pawnee	承典人
penwiper	拭笔具
churchgoing	经常上教堂的
churchgoing	经常上教堂
churchgoing	上教堂
churchgoing	上教堂
churchgoing	经常去做礼拜的
churchgoing	经常去做礼拜
ungodliness	无信心
ungodliness	不虔诚
litz	wire辫编线
litz	绞合线
caliculate	有杯状窝的
caliculate	有杯状窝
caliculate	有副萼的
caliculate	有副萼
shasta	daisy
shasta	大滨菊
uintathere	恐角兽
laoighis	莱锡
nonconcur	拒绝
nonconcur	不能同意
acinacifoliate	弯刀状的
acinacifoliate	弯刀状
recombine	再结合
recombine	重组
masut	=mazut
escrow	由第三者保存附带条件委付盖印的契约
befogged	喻被困惑的
befogged	喻被困惑
phytophagous	食叶类的
phytophagous	食叶类
nicotia	烟碱
nicotia	尼古丁
nicotia	烟草
unimportant	不重要的
unimportant	不重要
unimportant	琐碎的
unimportant	琐碎
magnetoscope	验磁器
shrive	听忏悔
shrive	听忏悔后赦免
amicheme	Associate
amicheme	Member
amicheme	of
amicheme	the
amicheme	Institutionof
amicheme	Chemical
amicheme	Engineers化学工程学会准会员
triteness	平凡
triteness	陈腐
unrest	不安的状态
unrest	动荡的局面
palmette	棕叶饰
poloidal	极向的
poloidal	极向
poloidal	角向的
poloidal	角向
muliebrity	女子特征
muliebrity	女子的身份
incongruous	不调和的
incongruous	不调和
incongruous	不适宜的
incongruous	不适宜
rootlet	小根
rootlet	支根
miter	主教法冠
pregame	比赛前的
pregame	比赛前
satiable	可满足的
satiable	可满足
socioreligious	社会宗教的
socioreligious	社会宗教
socioreligious	同时涉及社会和宗教的
socioreligious	同时涉及社会和宗教
incommodity	不便利
incommodity	不舒适
nonesuch	无以匹敌的人
nonesuch	典范
nonesuch	无以匹敌的
nonesuch	无以匹敌
philoprogenitive	爱小孩的
philoprogenitive	爱小孩
philoprogenitive	多产的
philoprogenitive	多产
wady	干谷
surrebuttal	原告第三次辩驳中的举证
plumply	丰满地
plumply	丰满
plumply	直接了当地
plumply	直接了当
plumply	胖得好看地
plumply	胖得好看
gcl	ground
gcl	controlled
gcl	interception地面控制截击
noradrenalin	去甲肾上腺素
noradrenalin	降肾上腺素
evangelically	福音书地
evangelically	福音书
evangelically	合乎福音地
evangelically	合乎福音
penultimate	倒数第二音节
penultimate	语尾倒数第二个的
penultimate	语尾倒数第二个
penultimate	倒数第二音节的
penultimate	倒数第二音节
polyphone	多音字
polyphone	自动换片唱机之一种
guttle	贪婪且出声响地吃喝
xerophobous	避旱的
xerophobous	避旱
emulsoid	乳胶体
despondent	沮丧的
despondent	沮丧
coordinates	相配之衣物
ungainful	不赚钱的
ungainful	不赚钱
ungainful	无利的
ungainful	无利
ungainful	无收益的
ungainful	无收益
conferree	参加会议者
conferree	被授予荣誉的人
intermedium	媒介
rompingly	嬉戏喧闹地
rompingly	嬉戏喧闹
rompingly	乱蹦乱闹地
rompingly	乱蹦乱闹
duologue	对话
duologue	对话剧
gamble	冒险
gamble	赌博
gamble	投机
gamble	孤注一掷
jejunely	缺乏营养地
jejunely	缺乏营养
jejunely	幼稚地
jejunely	幼稚
matriarchy	女家长制
matriarchy	女族长制
jiggly	摇晃的
jiggly	摇晃
jiggly	不稳定的
jiggly	不稳定
jiggly	撩拨人的
jiggly	撩拨人
cataplastic	细胞或组织萎缩的
cataplastic	细胞或组织萎缩
electrommunication	电子通讯
gewgawish	炫耀的
gewgawish	炫耀
gewgawish	华而不实的
gewgawish	华而不实
ganglionectomy	神经节截除术
odontalgia	齿痛
odontalgia	牙痛
paroxytone	倒数第二音节有重音的
paroxytone	倒数第二音节有重音
paroxytone	倒数第二音节有重音
impennate	无羽毛的
impennate	无羽毛
impennate	无翅膀的
impennate	无翅膀
curricula	课程
megadeath	一百万人之死亡
margaux	玛尔戈红葡萄酒
stickiness	粘性
stickiness	胶粘
cifs	Common
cifs	Internet
cifs	File
cifs	System
cifs	通用Internet文件系统
gilded	镀金的
gilded	镀金
chorally	合唱地
chorally	合唱
conciliar	会议的
conciliar	会议
barsac	巴锡白葡萄酒
xenodochium	救济院
tamarind	罗望子
tamarind	罗望子的果实
township	镇区
rimu	芮木泪柏
compeer	地位相等的人或物
compeer	同辈
compeer	伙伴
poikilothermous	=poikilothermal
kursk	库尔斯克
woolhat	南部农民
woolhat	偏僻地区的乡下人
noctule	褐色大蝙蝠
hydrophobic	狂犬病的
hydrophobic	狂犬病
hydrophobic	恐水病的
hydrophobic	恐水病
hydrophobic	患恐水病的
hydrophobic	患恐水病
hydrophobic	不易被水沾湿的
hydrophobic	不易被水沾湿
emote	夸张地作为
emote	表现感情
emote	过火地表演
emote	装模作样
suboptimize	局部最优化
scolex	头节头节
aperture	孔
aperture	穴
aperture	缝隙
aperture	光圈
aperture	孔径
nepotist	偏袒起用亲戚的人
bemean	贬低
bemean	辱骂
oregon	俄勒冈州
bagnio	澡堂
bagnio	监狱
bagnio	妓院
doable	可做的
doable	可做
doable	可行的
doable	可行
zoogamy	有性生殖
zoogamy	两性生殖
thp	thrust
thp	horsepower
thp	推进马力
thp	推力马力
prepossess	使先具有
cosmogonic	天体演化的
cosmogonic	天体演化
cosmogonic	天体演化学的
cosmogonic	天体演化学
cozenage	欺骗
cozenage	哄骗
cozenage	瞒骗
quadrifoliate	有四叶的
quadrifoliate	有四叶
quadrifoliate	叶四片成一组的
quadrifoliate	叶四片成一组
beware	小心
beware	谨防
berber	柏柏尔人
berber	柏柏尔语
berber	柏柏尔人的
berber	柏柏尔人
serb	塞尔维亚人的
serb	塞尔维亚人
hacienda	庄园
heir	继承人
heir	后嗣
impracticable	不可行的
impracticable	不可行
searchlight	探照灯
misoneism	厌新
rockman	劈石板工人
rockman	气压钻孔机操作者
mannerist	矫揉造作者
biosociology	生物社会学
indemnity	保证物
indemnity	赔偿物
indemnity	赔款
indemnity	补偿
indemnity	保证
adm	admiral
algebraic	代数的
algebraic	代数
algebraic	关于代数学的
algebraic	关于代数学
argon	氩
equilateral	等边的
equilateral	等边
equilateral	等边形
feedway	供给装置
slipper	拖鞋
slipper	制轮器
slipper	用拖鞋打
factitive	作为的
factitive	作为
factitive	使役的
factitive	使役
factitive	使役动词
armomancy	用兽肩进行的占卜术
outcurve	外曲
outcurve	外曲
brander	打烙印的人
slope	斜坡
slope	斜面
slope	倾斜
slope	顺斜
zanzibari	桑给巴尔的
zanzibari	桑给巴尔
zanzibari	桑给巴尔人的
zanzibari	桑给巴尔人
phytocoenosis	植物群落
synergamy	杂婚
synergamy	共婚
hauberk	锁子甲
amortizement	摊还
metallothionein	金属硫因
homogeneity	同种
homogeneity	同质
homogeneity	同次性
camber	拱形
camber	呈拱形
marial	圣母马利亚的
marial	圣母马利亚
marial	对圣母马利亚特别虔诚的
marial	对圣母马利亚特别虔诚
dashed	虚线
uranyl	双氧铀
uranyl	铀酰
antenumber	前数
rewater	再浇水
rewater	再浸入水中
cgs	Core
cgs	Graphics
cgs	System
cgs	核心图形系统
loftsman	放样员
tapped	发接触音的
tapped	发接触音
electrocardiogram	IlektrEJ5kBdIEJ^rAm/
electrocardiogram	心动电流描记器
accessibly	可接近地
accessibly	可接近
accessibly	可亲地
accessibly	可亲
gullable	=gullible
ezekias	埃西家斯
alma	阿尔玛歌女
alma	舞女
aethelbert	即Ethelbert
associator	伙伴
associator	社员
associator	会员
weighable	可量重的
weighable	可量重
weighable	可秤的
weighable	可秤
puerilely	幼稚地
puerilely	幼稚
puerilely	天真地
puerilely	天真
intergroup	社会团体间的
intergroup	社会团体间
intergroup	种族团体间的
intergroup	种族团体间
knish	以肉、乳酪、水果为馅的炸饼
semaphore	旗语
huanghai	黄海
spasmophilia	痉挛素质
peking	北京的旧称
peking	现在称Beijing
baklava	果仁蜜饼
nanoatom	毫微原子
rattish	似鼠的
rattish	似鼠
rattish	鼠的
rattish	鼠
lately	近来
lately	最近
empale	=impale
serviceman	军人
serviceman	修护人员
intellectually	知性上
intellectually	智力
decagramme	十克
friedcake	油炸饼
lobular	有小裂片的
lobular	有小裂片
lobular	有小叶的
lobular	有小叶
polypody	瓦苇属的植物
discontinue	停止
discontinue	废止
discontinue	放弃
twattle	=twaddle
rectal	直肠的
rectal	直肠
windbell	风铃
chrysography	金
chrysography	色墨水书法
chrysography	用金色墨水书写之文字
fritting	烧结
refine	精炼
refine	精制
refine	使文雅高尚
aortic	大动脉的
aortic	大动脉
regent	摄政者
regent	董事
regent	摄政的
regent	摄政
tetrachloride	四氯化物
databank'	NULL)
corallaceous	珊瑚质的
corallaceous	珊瑚质
corallaceous	似珊瑚的
corallaceous	似珊瑚
mallanders	=malanders
lated	迟来的
lated	迟来
lated	迟到的
lated	迟到
cablese	电报略语
ingesta	摄取的营养物
ingesta	食物
alveolus	小孔
alveolus	肺泡
zooks	=gadzooks
redecoration	重新装饰
redecoration	再装饰
charmian	查米恩
sphaerosome	=spherosome
cerous	铈的
cerous	铈
cerous	三价铈的
cerous	三价铈
saleslady	女售货员
saleslady	女店员
xiphophyllous	有剑状叶的
xiphophyllous	有剑状叶
cellulate	细胞的
cellulate	细胞
cellulate	划分的
cellulate	划分
khan	可汗宿店
stickball	棍子球游戏
unevadable	不可逃脱的
unevadable	不可逃脱
unevadable	不可回避的
unevadable	不可回避
tenaculum	挟钩
doornail	门钉
cyanide	氰化物
blench	畏缩
blench	回避
madrigal	小曲
fourragere	军服的彩色饰带
cytotrophy	=cytotropism
effete	生产力已枯竭的
effete	生产力已枯竭
effete	衰老的
effete	衰老
effete	疲惫的
effete	疲惫
effete	衰微的
effete	衰微
nonmetallic	非金属的
nonmetallic	非金属
nonmetallic	非金属物质
gallomania	醉心法国
gallomania	法国狂
sublineate	划线
sublineate	于……之下
psophometer	噪声计
roulade	颤音
devaluation	贬值
toughness	韧性
toughness	坚韧
toughness	刚性
toughness	健壮性
juryman	陪审员
megabyte	兆字节
eumenides	欧墨尼得斯
pellucid	透明的
pellucid	透明
pellucid	澄清的
pellucid	澄清
pellucid	易懂的
pellucid	易懂
bryology	苔藓学
anglesmith	专门打造造船用角铁的铁匠
junctural	音渡的
junctural	音渡
reactant	反应物
headsail	前桅前方的帆
testitis	睾丸炎
kaolinize	使高岭土化
drollness	幽默
drollness	诙谐
enucleate	阐明
enucleate	说明
enucleate	从……摘除细胞核
abortionism	有权流产主义
abortionism	对流产权的支持
amygdaloidal	杏仁岩
thd	Total
thd	Harmonic
thd	Distortion
thd	总谐波失真
instilment	滴注
instilment	慢慢灌输
legumin	豆球蛋白
hunch	圆形之隆起物
hunch	肉峰
hunch	预感
hunch	大块
hunch	弯腰驼背
hunch	弓起背部
hunch	耸肩
hunch	向前移动
hunch	隆起
mycoflora	真菌区系
mycoflora	真菌群
punky	含火绒的
punky	含火绒
punky	松软的
punky	松软
punky	有弹性的
punky	有弹性
punky	闷烧的
punky	闷烧
earthly	现世的
earthly	现世
earthly	可能的
earthly	可能
earthly	地球的
earthly	球
earthly	俗世的
earthly	俗世
bespeckle	在……上加斑点
dipode	有双足的
dipode	有双足
dipode	二足蜥蜴
transmittal	传送
transmittal	传输
transmittal	被传送
ballerina	芭蕾舞女
remscheid	雷姆沙伊德
fingerpost	路标
outdated	过时的
outdated	过时
outdated	不流行的
outdated	不流行
fragility	脆弱
fragility	虚弱
sensillum	感觉器
polychaete	多毛目环节动物
pirogi	=piroshki
macropsia	视物显大症
severy	穹顶的分隔间
decompensation	补偿不全
decompensation	呼吸困难
decompensation	代谢失调
ploughshare	铧
ploughshare	铧头
eubacterium	真细菌
abdominal	腹部的
abdominal	腹部
metasequoia	水杉
friarly	托钵修士的
friarly	托钵修士
arsonous	纵火的
arsonous	纵火
arsonous	犯纵火罪的
arsonous	犯纵火罪
supramolecular	超分子的
supramolecular	超分子
doubleton	双张
doubleton	双张中的一张牌
molluscum	软疣
superfatted	脂肪含量过多的
superfatted	脂肪含量过多
domestos	"家净"
refresher	恢复精神的人或物
refresher	复习进修的
refresher	复习进修
bobwhite	鹑的一种
insculp	在……上雕刻
insculp	雕塑
scrunch	碾碎
scrunch	使弯曲
scrunch	嘎吱嘎吱地作响
scrunch	蜷缩
scrunch	嘎吱嘎吱的响声
intergradation	间渡
intergradation	中间形式
intergradation	过渡形式
araneose	蜘蛛网状的
araneose	蜘蛛网状
circinus	圆规座
ammophilous	生于沙中的
ammophilous	生于沙中
unwithered	未枯萎的
unwithered	未枯萎
unwithered	未凋谢的
unwithered	未凋谢
unwithered	未萎缩的
unwithered	未萎缩
josser	家伙
josser	蠢人
josser	傻子
apelles	阿佩利斯
rattleroot	总状升麻
loi	lunar
loi	orbit
loi	insertion月球轨道导入
tutorial	指南
manlike	男人似的
manlike	男人似
manlike	有男子气质的
manlike	有男子气质
laevogyrate	左旋的
laevogyrate	左旋
bilker	骗子
uphold	支持
uphold	赞成
lawbook	法律书籍
inquiline	寄居动物
inquiline	寄居动物的
inquiline	寄居动物
deniability	否认本领
deniability	推诿于不知情的本事
jalor	帆船
anatolia	安纳托利亚
kingbolt	中枢销
kingbolt	大螺栓
jacky	水手
jacky	杜松子酒
mishellene	反对希腊
mishellene	者
indispensably	不可缺少地
indispensably	不可缺少
indispensably	绝对必要地
indispensably	绝对必要
dibble	挖洞器
dibble	挖洞
dibble	使用挖洞器播种
inextensibility	不能伸展
inextensibility	无伸展性
cinnamic	苯乙烯的
cinnamic	苯乙烯
pupiform	蛹状的
pupiform	蛹状
fabulist	寓言家
fabulist	说谎者
mandarin	官话
mandarin	普通话
mandarin	满清官吏
mandarin	中国柑桔
mandarin	官僚的
mandarin	官僚
mandarin	保守知识界的
mandarin	保守知识界
mandarin	紧身马褂的
mandarin	紧身马褂
petrochemical	石化的
petrochemical	石化
petrochemical	石化产品
americanization	美国化
metronymic	表示母系的
metronymic	表示母系
metronymic	表示母系
moesogothic	密西哥特人的
moesogothic	密西哥特人
moesogothic	密西哥特语的
moesogothic	密西哥特语
narcissism	自我陶醉
narcissism	自恋
underuse	未充分利用
underuse	浪费地使用
underuse	使用……不当
heterokaryosis	异核性
heterokaryosis	异核现象
sophi	=Sophy
fortified	加强的
fortified	加强
katchina	=kachina
crossbencher	中立议员
crossbencher	中立人士
cryoextractor	冷冻摘出器
singlet	汗衫
singlet	单衬衣
commiserative	怜悯的
commiserative	怜悯
commiserative	同情的
commiserative	同情
anthozoic	珊瑚虫的
anthozoic	珊瑚虫
alan	艾伦
spiritism	招魂术
fantastico	可笑的怪人
fantastico	奇想的怪人
sovietologist	研究苏维埃制度的专家
sovietologist	苏联问题专家
sovietologist	苏联政策研究专家
chordal	弦的
chordal	弦
chordal	似弦的
chordal	似弦
stonker	使筋疲力尽
monosilane	甲硅烷
bifer	一年开花或结实两次的植物
describing	描述
adorning	修饰
adorning	装饰物
adorning	修饰的
adorning	修饰
balladeer	民谣歌手
rambouillet	兰布莱绵羊
tamboo	竹制小鼓
kinkily	纠缠地
kinkily	纠缠
kinkily	绻毛地
kinkily	绻毛
epibiont	体表寄生物
billsticking	=billposting
retexture	重新处理
retexture	重新处理
acetonaemia	丙酮血
warpath	出征路途
warpath	敌对行动
brachial	臂的
brachial	臂
brachial	臂状的
brachial	臂状
oxheart	樱桃的一种
dimorphous	二态的
dimorphous	二态
mistrial	无效审判
macrostructure	宏观结构
trypsinogen	胰蛋白酶原
zionward	向天堂
mariposa	=mariposa
mariposa	lily
mariposa	斗牛士在身后挥动披风的逗牛动作
ilea	Inner
ilea	London
ilea	Education
ilea	Authority内伦敦教育局
kinglake	金莱克
garshuni	用古叙利亚字写的阿拉伯文
tritely	平凡地
tritely	平凡
tritely	陈腐地
tritely	陈腐
hilding	卑贱的人
hilding	懦夫
hilding	卑贱的
hilding	卑贱
pornocracy	淫妇政治
musculamine	精胺
ide	集成电路设备
ide	智能磁盘设备
ide	Integrated
ide	Drive
ide	Electronics
ide	集成驱动电路
enfant	儿童
enfant	小孩
credentialism	文凭主义
credentialism	资格主义
reiteration	重复
reiteration	反复
vires	活力
shitless	极度
shitless	非常
bbbc	British
bbbc	Boxing
bbbc	Board
bbbc	of
bbbc	Control
bbbc	英国拳击运动管理委员会
uglifruit	=ugli
aberdeenshire	阿伯丁郡
saya	赛亚裙
aerodone	滑翔机
melodise	=melodize
canea	干尼亚
scolopendrine	蜈蚣科百脚的
scolopendrine	蜈蚣科百脚
fossilise	=fossilize
flatworm	扁形虫
triangle	三角形
triangle	三人一组
triangle	三角关系
supraglottal	声门上的
supraglottal	声门上
mohair	马海毛
mohair	安哥拉山羊毛
mohair	马海毛织物
mohair	马海毛制的
mohair	马海毛制
smog	烟雾
lacrymatory	=lachrymatory
archness	狡猾
archness	淘气
unsmiling	不笑的
unsmiling	不笑
unsmiling	面无笑容的
unsmiling	面无笑容
unsmiling	严肃的
unsmiling	严肃
moonstone	月长石
komodo	dragon
hornbeam	角树
hornbeam	角树材
thoria	氧化钍
tube	管
tube	管子
tube	地铁
tube	电子管
tube	显象管
monothelite	一志论派
concha	半圆屋顶
laugher	笑者
laugher	哄笑者
laugher	好笑的一边倒比赛
lahu	拉祜族
demythify	使非神话化
demythify	去除……的神话色彩
heliacal	太阳的
heliacal	太阳
heliacal	和太阳同时或几乎同时出没的
heliacal	和太阳同时或几乎同时出没
weaponless	没有武器的
weaponless	没有武器
weaponless	无兵器的
weaponless	无兵器
weaponless	无武装的
weaponless	无武装
ewan	尤恩
parkway	公园道路
parkway	驾车专用道路
mammon	财富
mammon	财神
blackcurrant	黑醋栗
invocative	=invocatory
photophosphorylation	光
sealer	捕海豹的船或猎人
sealer	盖印者
slit	切开
slit	撕裂
slit	裂缝
slit	狭长切口
waldenses	韦尔多教派
brokage	代理人业务
brokage	经纪业
brokage	付给经纪人的手续费
lepidopter	鳞翅类昆虫
immunogenetics	免疫遗传学
avalement	下坡转弯加速
bucolic	牧羊的
bucolic	牧羊
bucolic	牧歌的
bucolic	牧歌
bucolic	田园风味的
bucolic	田园风味
bucolic	田园诗
bucolic	农夫
grandly	宏伟地
grandly	宏伟
grandly	堂皇地
grandly	堂皇
grandly	盛大地
grandly	盛大
yahwist	旧约圣经初六卷之作者
yahwist	崇拜耶和华者
gynephobia	女性恐怖
gynephobia	恐女症
metonic	默冬的
metonic	默冬
transfigure	使变形
transfigure	美化
transfigure	理想化
picloram	毒莠定
newtonian	牛顿的
newtonian	牛顿
newtonian	牛顿学说的
newtonian	牛顿学说
newtonian	信仰牛顿学说的人
disembarkation	起岸
disembarkation	登陆
unavenged	未得报仇的
unavenged	未得报仇
unavenged	未得雪耻的
unavenged	未得雪耻
frightfulness	可怕
frightfulness	丑恶
frightfulness	讨厌
frightfulness	恐怖政策
poh	=pooh
daniell	cell
daniell	丹聂尔电池
selvedge	布的织边
selvedge	镶边
oceanographical	海洋学的
oceanographical	海洋学
oceanographical	有关海洋学的
oceanographical	有关海洋学
plash	积水坑
plash	溅泼
ectromelia	四肢不全之畸形
fanwort	水盾草属
roothold	根部固着力
roothold	使根固定之处
murdoch	默多克
sign	标记
sign	符号
sign	记号
sign	征兆
sign	迹象
sign	征候
sign	签名～
sign	签署
interceptor	拦截机
ruffler	扰乱的人
ruffler	自高自大的人
ruffler	打褶装置
bustard	大鸨
sheatfish	六须鲇
regularity	规律性
regularity	规则性
regularity	整齐
regularity	匀称
legginess	长腿
legginess	腿长得难看
peculate	挪用
peculate	盗用
trifunctional	三功能性的
trifunctional	三功能性
violoncello	大提琴
crossness	固执
crossness	坏脾气
anaphylactin	过敏素
divorced	离婚的
divorced	离婚
epimysium	肌外膜
epimysium	肌外衣
rebury	再埋葬
rebury	重新埋葬
splendour	光彩壮丽
splendour	显赫
splendour	杰出
clotted	凝结的
clotted	凝结
tidewater	潮水
tidewater	水位受海潮影响的河溪
tidewater	潮水的
tidewater	潮水
eggcrate	蛋箱
eggcrate	板条格形无花板
cheekybone	颊骨
latosol	砖红壤
latosol	砖红壤性土
edaphon	土壤微生物
xerocopy	复印件
denature	使改变本性
opopanax	愈伤草树脂
jocundity	欢乐
clash	冲突
clash	撞击声
clash	抵触
clash	发出撞击声
clash	猛撞
clash	冲突
