celticist	研究凯尔特文化的人
winter	冬
winter	冬季
winter	萧条期
winter	衰退期
winter	冬天的
winter	冬天
winter	对……进行冬天保护
winter	过冬
alps	阿尔卑斯山
cotter	住茅屋的人
cotter	农场雇工
conscriptive	涉及征召或征用的
conscriptive	涉及征召或征用
briquette	煤饼
briquette	煤球
lynx	山猫
lynx	猞猁
transfixion	刺穿
transfixion	贯通
transfixion	贯穿
transfixion	钉住
transfixion	凝固
elastically	有弹性地
elastically	有弹性
elastically	伸缩自如地
elastically	伸缩自如
deckle	定纸框
deckle	手工制纸的毛边
wenzel	文策尔
toothsome	可口的
toothsome	可口
toothsome	美味的
toothsome	美味
toothsome	好看的
toothsome	好看
playfully	开玩笑地
playfully	开玩笑
indescribable	难以形容的
indescribable	难以形容
saving	存款
saving	挽救
saving	救助
saving	节约
saving	搭救的
saving	搭救
saving	挽救的
saving	挽救
saving	节约的
saving	节约
saving	节俭的
saving	节俭
saving	保留的
saving	保留
saving	补偿的
saving	补偿
saving	除……之外
saving	考虑到
abrase	磨损
abrase	擦去
lichenaceous	青苔属的
lichenaceous	青苔属
lichenaceous	青苔般的
lichenaceous	青苔般
recolonization	开拓殖民地
recolonization	开拓殖民
recolonization	再度移民
vacuum	真空
vacuum	空间
vacuum	真空吸尘器
vacuum	真空的
vacuum	真空
vacuum	产生真空的
vacuum	产生真空
vacuum	利用真空的
vacuum	利用真空
vacuum	用真空吸尘器打扫
hogget	一岁以上的羊
hogget	二岁的公猪
autonym	本名
autonym	实名
autonym	以真名发表的作品
zhuhai	珠海
dysphasic	言语困难的
dysphasic	言语困难
dysphasic	患言语困难的
dysphasic	患言语困难
snug	暖和的
snug	暖和
counterblast	反向气流
counterblast	强硬的抗议
counterblast	猛烈的反应
oysterwoman	采牡蛎的妇女
cooperation	合作
cooperation	协作
steatite	块
steatite	滑石
steatite	皂石
steatite	滑石石瓷
irritant	刺激物
irritant	刺激的
irritant	刺激
rill	小河
rill	小溪
rill	小河般流
cherrywood	樱桃木
croupy	义膜性的
croupy	义膜性
croupy	格鲁布性的
croupy	格鲁布性
uglifier	破坏美观者
frumety	牛奶麦粥
thinness	细
thinness	瘦
thinness	薄
jobmaster	出租马匹
jobmaster	马车或汽车的店主
locale	现场
locale	场所
mobility	活动性
mobility	灵活性
mobility	迁移率
mobility	机动性
spermatophorous	精子包囊的
spermatophorous	精子包囊
glacis	缓慢倾斜
glacis	缓冲地区
glacis	斜堤
regionalization	分成地区
regionalization	按地区安排
frowsy	不整洁的
frowsy	不整洁
frowsy	懒散的
frowsy	懒散
tactical	战术的
tactical	战术
indelibility	不能消除
indelibility	难忘
spinstress	=spinster
transpositive	互换位置的
transpositive	互换位置
transpositive	变换的
transpositive	变换
transpositive	移调的
transpositive	移调
spigot	栓
spigot	龙头
spigot	套管
galvanocautery	电烙器
galvanocautery	电烙
fixedly	固定
fixedly	不动
fixedly	不变
hdcd	High
hdcd	Definition
hdcd	Compact
hdcd	Disc
hdcd	高解析度光盘
buddy	密友
buddy	伙伴
shapeable	=shapable
schmuck	笨人
screwhead	螺丝头
screwhead	螺钉头
tremellose	胶状的
tremellose	胶状
monoaminergic	单胺能的
monoaminergic	单胺能
roussillon	鲁西荣
phoenicia	腓尼基
overheat	使过热
overheat	变得过热
rubeola	麻疹
israelitish	犹太人的
israelitish	犹太人
israelitish	希伯来人的
israelitish	希伯来人
israelitish	古以色列的
israelitish	古以色列
keynotes	关键提示
matchmark	装配标记
hebei	河北
silkscreen	丝网印刷
silkscreen	丝网印刷品
silkscreen	丝网印刷的
silkscreen	丝网印刷
silkscreen	用丝网印刷术印制的
silkscreen	用丝网印刷术印制
silkscreen	用丝网印刷术印制
bargain	契约
bargain	合同
bargain	成交商品
bargain	便宜货
bargain	议价
braciole	酒烩肉卷
vitriolize	使硫酸化
vitriolize	用硫酸烧
overhear	无意中听到
overhear	偷听
renovator	革新者
gramophone	留声机
shopman	店主
shopman	小商人
perceptible	可察觉的
perceptible	可察觉
perceptible	显而易见的
perceptible	显而易见
perceptible	感觉得到的
perceptible	感觉得到
hydropress	=hydraulic
hydropress	press
thunderbolt	霹雳
thunderbolt	雷电
thunderbolt	意外的灾难
thunderbolt	突发事件
ralliform	似秧鸡的
ralliform	似秧鸡
unfleshly	非肉体的
unfleshly	非肉体
unfleshly	精神的
unfleshly	精神
object	物体
object	目标
object	宾语
object	对象
object	反对
object	拒绝
object	抗议
object	提出……来反对
gemmule	小芽
gemmule	芽球
gemmule	无性芽
april	四月
wuhan	武汉
epoxidize	使环氧化
spiculate	针状的
spiculate	针状
spiculate	尖锐的
spiculate	尖锐
spiculate	由针状物覆盖的
spiculate	由针状物覆盖
lexicalize	编入词汇
rheda	四轮旅行马车
fornication	通奸
fornication	乱伦
fornication	通奸
offhandedly	立即地
offhandedly	立即
offhandedly	即席地
offhandedly	即席
crewman	机组乘务员
dumps	抑郁
niggard	小气鬼
niggard	小气的
niggard	小气
niggard	吝啬的
niggard	吝啬
logicality	逻辑性
smriti	传承
intelligibility	可理解性
intelligibility	可理解之事物
spotty	多斑点的
spotty	多斑点
spotty	多污点的
spotty	多污点
spotty	质量不一的
spotty	质量不一
spotty	发疹的
spotty	发疹
valse	轻轻地走
saiva	湿婆教徒
unkindness	不亲切
unkindness	不近人情
predicament	困境
carlot	达法定最低载重量之货物
baoding	保定
diplomate	获有官方证明的专科医师
syncom	同步通信卫星
comparatist	比较文学学者
longshoreman	港口工人
longshoreman	码头装卸工人
photocomposition	照相排版
sophonias	西番雅书
phot	辐透
phot	厘米烛光
misadventure	运气不佳的遭遇
pettitoes	脚趾
pettitoes	脚
intermontane	山间的
intermontane	山间
intermontane	亦作intermont或intermountain
gynoecium	雌蕊
gynoecium	雌蕊群
ingeminate	重申
interdictory	禁止的
interdictory	禁止
isis	伊希斯
geggie	巡回演出
skyrocket	流星焰火
uprising	起义
uprising	升起
inchoation	开始
inchoation	发端
inchoation	肇始
cacique	酋长
cacique	领袖
karabiner	岩钉钢环
exclusivist	排外主义者
exclusivist	排他主义者
hydrometeorological	/
hydrometeorological	水文气象学gy/`haIdrEJ9mi:
hydrometeorological	i:
hydrometeorological	tjErE`lCdVIkEtjE`rClEdVI/
hydrometeorological	水l/
hydrometeorological	水文气象学的文气象学
antidraft	反征兵
biretta	四角帽
muralist	壁画家
jolliness	愉快
jolliness	高兴
psychoprison	重精神病院
functionalize	使职能化
functionalize	根据工作人员特定职能分派
subirrigate	地下灌溉
feringhee	欧洲人
bella	伊莎贝拉的昵称
rural	乡下的
rural	乡下
rural	田园的
rural	田园
rural	乡村风味的
rural	乡村风味
rural	生活在农村的
rural	生活在农村
pervasive	普遍深入的
pervasive	普遍深入
disconnexion	分开
disconnexion	切断
greyhound	灰狗
greyhound	快速船
greyhound	美国灰狗长途汽车
copilot	副驾驶员
shat	shit
shat	的过去式或过去分词
shat	排泄粪便
shat	拉屎
tumtum	弦器
tumtum	鼓所发出的声音
tripper	旅行者
tripper	远足者
tripper	绊跌者
furbelow	衣裙边饰
furbelow	俗丽的装饰
furbelow	饰以俗丽的装饰
jarful	一瓶
jarful	一瓶之容量
cryogenic	低温学的
cryogenic	低温学
physiognomy	人相学
physiognomy	人相
physiognomy	脸
physiognomy	相面术
physiognomy	相貌
physiognomy	地貌
physiognomy	地势
singlestick	单剑
singlestick	单棒比赛
singlestick	单棍
acerb	酸涩的
acerb	酸涩
acerb	尖锐的
acerb	尖锐
acerb	刻薄的
acerb	刻薄
fsf	Free
fsf	Software
fsf	Foundation
fsf	自由软件联盟
knuckleballer	不旋转球投手
timeout	工间休息
excommunication	逐出教会
atelectasis	肺膨胀不全
underemphasize	对……强调不够
underemphasize	对……重视不够
oldwomanish	大惊小怪的
oldwomanish	大惊小怪
oldwomanish	谨小慎微的
oldwomanish	谨小慎微
oldwomanish	婆婆妈妈的
oldwomanish	婆婆妈妈
boottree	靴楦
boottree	鞋楦
retrolental	眼晶状体后面的
retrolental	眼晶状体后面
refloatation	打捞
refloatation	离礁
cold	寒冷
cold	零下温度
cold	伤风
cold	感冒
cold	寒冷的
cold	寒冷
cold	使人战栗的
cold	使人战栗
cold	冷淡的
cold	冷淡
cold	不热情的
cold	不热情
cold	失去知觉的
cold	失去知觉
dulcin	甘素
metastasis	转移
fearless	不怕的
fearless	不怕
fearless	大胆的
fearless	大胆
fearless	勇敢的
fearless	勇敢
fearless	无畏的
fearless	无畏
neutralise	使中立
neutralise	中和
sayest	say的第二人称
sayest	单数
frondesce	长叶子
inimically	有敌意地
inimically	有敌意
inimically	抵触地
inimically	抵触
franklinite	锌铁尖晶石
franklinite	锌铁矿
agony	苦恼
agony	极大的痛苦
hypochondria	忧郁症
hypochondria	臆想病
coagulator	凝结剂
coagulator	凝结器
tlo	total
tlo	loss
tlo	only
tlo	全损险
aerophobe	飞行恐怖症患者
clapometer	掌声测量计
predictable	可预言的
predictable	可预言
impeccable	没有缺点的
impeccable	没有缺点
impeccable	不会做坏事的
impeccable	不会做坏事
slavonize	使斯拉夫化
choreology	舞谱学
ambitiousness	不凡的抱负
efficiency	效率
efficiency	功效
nisei	第二代日裔美国人
slummer	住在贫民区的人
slummer	出入贫民区工作的人
sleepcoat	男睡衣
parathyroidectomize	`pArE9WaIrRIRI`dektEmaIz/
parathyroidectomize	`dektEmI/
parathyroidectomize	给……切除甲鬃状旁腺切除术
vesica	囊
vesica	膀胱
actualize	实现
actualize	实施
mussuck	皮水袋
remorselessly	冷酷地
remorselessly	冷酷
remorselessly	无悔意地
remorselessly	无悔意
pappoose	幼儿
pappoose	婴儿
hiragana	平假名
insufficiency	不足
lola	洛拉
melchiades	Saint
melchiades	圣梅尔凯亚迪兹
biodynamics	生物动力学
portiere	门帷
portiere	门帘
scrubland	灌木丛林地
scrubland	灌木丛林
osp	Optical
osp	Signal
osp	Processor
osp	光信号处理器
judaical	=Judaic
herbalism	草药医术学
choppy	不断改变方向的
choppy	不断改变方向
consuelo	康斯薇洛
varvel	奇异之事
varvel	奇异之景
varvel	惊异
varvel	对……感惊异
acalycine	无花萼的
acalycine	无花萼
taxidermist	剥制师
liquidize	使液化
spoiler	抢夺者
spoiler	损坏者
fabricable	能加工成形的
fabricable	能加工成形
archduchess	大公妃
archduchess	皇女
carboxylate	羧酸盐
carboxylate	羧酸酯
rattleheaded	头脑空虚的
rattleheaded	头脑空虚
rattleheaded	愚蠢多嘴的
rattleheaded	愚蠢多嘴
bolivar	委内瑞拉货币单位
tuck	缝摺
tuck	活力
tuck	鼓声
tuck	船尾突出部下方
tuck	食物
tuck	打摺
tuck	卷起
tuck	挤进
tuck	塞
tuck	使隐藏
tuck	折成摺子
tuck	缩拢
disappointedly	失望地
disappointedly	失望
propeller	推进者
propeller	推进物
propeller	尤指轮船
propeller	飞机上的螺旋推进器
carley	卡利救生筏
nork	奶子
defrost	除霜
defrost	使融化
defrost	解冻
lingala	林加拉语
lingala	林加拉语的
lingala	林加拉语
distortionist	漫画家
epilogist	跋之作者写结束语的人
megashear	巨横推断层
sungrazer	掠日彗星
eighthly	第八地
eighthly	第八
eighthly	第八号地
eighthly	第八号
anarchy	无政府状态
anarchy	政治混乱
napa	=nappa
quantitatively	数量上
nudism	裸体主义
interscapular	肩胛间的
interscapular	肩胛间
msph	Master
msph	of
msph	Science
msph	in
msph	Public
msph	Health
msph	公共卫生学硕士
baguio	碧瑶
thump	重击
thump	砰然地响
thump	重击
thump	重击声
unpunctuated	未加标点的
unpunctuated	未加标点
unpunctuated	缺标点的
unpunctuated	缺标点
queerish	奇怪的
queerish	奇怪
queerish	古怪的
queerish	古怪
cocurriculum	辅助课程
oculist	眼科医生
rumormonger	造谣者
rumormonger	散布谣言者
share	共享
share	参与
share	一份
share	部分
share	份额
share	参股
share	分享
share	均分
share	共有
share	分配
share	分享
semidetached	半离的
semidetached	半离
semidetached	只有一边相衔接的
semidetached	只有一边相衔接
chairperson	主席
sundial	日规
sundial	日晷
drumfish	石首鱼
commove	使激烈摇动
commove	使兴奋
commove	使骚动
commove	使动摇
zebec	小型三桅船
spirochaetosis	螺旋体病
psychopathia	精神变态
psychopathia	变态人格
turtledove	斑鸠
turtledove	情人
phlebolite	静脉石
thug	暴徒
thug	凶手
belock	锁闭
belock	锁住
taxis	整复法
taxis	排序
tutenag	一种白铜
etrog	依特劳格金像奖
interterritorial	领土间的
interterritorial	领土间
slavism	斯拉夫气质
slavism	斯拉夫语气
diphthongization	二合双元音化
diphthongization	复元音化
ladrone	强盗
ladrone	土匪
ladrone	贼
bowman	弓箭手
bowman	头桨手
xylocaine	赛罗卡因
xylocaine	利多卡因
xylocaine	木卡因
jugum	腕锁
jugum	轭
anestrus	不动情期
megawatt	兆瓦特
akinete	藻类细胞附生的一种胞子与母细胞壁合为一体
sunlike	太阳似的
sunlike	太阳似
sunlike	非常明亮的
sunlike	非常明亮
sunlike	辉煌的
sunlike	辉煌
subseptate	稍具隔膜的
subseptate	稍具隔膜
subseptate	具有不完全隔膜的
subseptate	具有不完全隔膜
heraclid	自称为大力神赫拉克勒斯后裔的人
renouncement	否认
renouncement	拒绝
diadochokinesia	轮替运动
unmilked	未挤奶的
unmilked	未挤奶
placet	赞成
placet	赞成票
disposure	处理
disposure	布置
fulgor	灿烂
fulgor	光亮
liquescent	易液化的
liquescent	易液化
befog	罩入雾中
befog	使朦胧
befog	使迷惑
winglike	翼状的
winglike	翼状
winglike	翅状的
winglike	翅状
dexiotropous	向右的
dexiotropous	向右
dexiotropous	右旋的
dexiotropous	右旋
cuspidor	痰盂
convolve	卷
convolve	盘旋
convolve	缠绕
lingy	遍生石南的
lingy	遍生石南
lingy	石南很多的
lingy	石南很多
whoosy	=whoosis
rumpless	无尾的
rumpless	无尾
rumpless	无尾椎的
rumpless	无尾椎
adapted	适合的
adapted	适合
unworthiness	无价值
installation	安装
installation	装置
installation	就职
organdie	一种细薄的棉织品
organdie	蝉翼纱
unfixed	解脱的
unfixed	解脱
unfixed	放松了的
unfixed	放松了
unfixed	不固定的
unfixed	不固定
unfixed	没确定的
unfixed	没确定
romanist	天主教徒
romanist	罗马法学者
bristletail	蛀虫
bristletail	蠹虫
untimeous	=untimely
vitalization	赋予生命
emulatory	竞争的
emulatory	竞争
emulatory	好胜的
emulatory	好胜
icing	糖衣
icing	结冰
australite	澳大利亚玻陨石
untorn	未撕开的
untorn	未撕开
disassimilation	异化
quinze	十五点
epistoler	书信作家
epistoler	举行圣餐时朗读使徒书之人
preventable	可阻止的
preventable	可阻止
preventable	可预防的
preventable	可预防
affect	影响
affect	感动
affect	侵袭
affect	假装
doge	共和国总督
rubelliform	似风疹的
rubelliform	似风疹
reembark	重新上船
reembark	重新搭载
nidget	白痴
nidget	愚人
replicate	复制
ungual	爪的
ungual	爪
ungual	有爪的
ungual	有爪
ungual	爪似的
ungual	爪似
sleepyhead	贪睡者
sleepyhead	懒鬼
tapescript	磁带录音稿
psittaceous	鹦鹉的
psittaceous	鹦鹉
psittaceous	鹦鹉般的
psittaceous	鹦鹉般
velskoen	=veld
crinoline	裙衬
crinoline	带衬的裙
crinoline	四周鼓出的裙
nymphalid	蛱蝶科动物
goodby	=goodbye
overstory	上层林冠
overstory	上层林
arthroplastic	关节造形术的
arthroplastic	关节造形术
arthroplastic	关节形成术的
arthroplastic	关节形成术
larrigan	上油高统皮靴
libraire	书店
libraire	书商
clavicle	锁骨
botchy	难看的
botchy	难看
botchy	不精致的
botchy	不精致
disembark	登陆
teleostome	硬骨鱼
subaqueous	水中的
subaqueous	水中
subaqueous	水下用的
subaqueous	水下用
washin	机翼正扭转
deceivable	可骗的
deceivable	可骗
wateriness	潮湿
wateriness	平淡
venospasm	静脉痉挛
notoriety	恶名
notoriety	丑名
notoriety	声名狼藉
notoriety	远扬的名声
supercolumniation	重列柱
metaprotein	变性蛋白
deictic	直证的
deictic	直证
lepidote	覆有鳞片的
lepidote	覆有鳞片
mcmlxxxiv	罗马数字
mcmlxxxiv	1984
wy	Wyoming
wy	美国怀俄明州邮递区号
relict	残余体
opisthobranch	后鳃目软体动物
axonometric	轴测法的
axonometric	轴测法
devocalization	清音化
woolly	羊毛的
woolly	羊毛
exhibition	表现
exhibition	展览会
exhibition	展览品
exhibition	显示
galibi	加勒比人
oscillograph	示波器
swimathon	马拉松式的游泳比赛
swimathon	长距离游泳比赛
relucent	光辉的
relucent	光辉
relucent	明亮的
relucent	明亮
pessimism	悲观
pessimism	悲观主义
credenza	餐具橱
credenza	书柜
pinyin	拼音
intention	意图
intention	目的
intention	目
mugginess	闷热
oversea	外国的
oversea	外国
oversea	海外的
oversea	海外
sclerodactylia	指硬皮病
pricket	烛台
pricket	蜡烛扦
pricket	二岁的雄鹿
susceptive	感受性强的
susceptive	感受性强
susceptive	敏感的
susceptive	敏感
