mis	管理情报系统
rhadamanthine	拉达曼提斯的
rhadamanthine	拉达曼提斯
rhadamanthine	公正的
rhadamanthine	公正
rhadamanthine	刚正不阿的
rhadamanthine	刚正不阿
behemoth	河马
behemoth	巨兽
behemoth	庞然大物
condescendence	原告陈述详情的起诉书
germinative	发芽的
germinative	发芽
germinative	有发育力的
germinative	有发育力
puddly	多泥水坑的
puddly	多泥水坑
federacy	联盟
federacy	同盟
gasometer	煤气厂
gasometer	气量计
doubling	加倍
doubling	成双
microfilament	微丝
microfilament	微纤丝
rollman	滚轧机操纵者
muticate	=muticous
chambered	有房间的
chambered	有房间
chambered	隔成房间的
chambered	隔成房间
hightail	拼命逃走
hightail	追赶
oomph	性感
oomph	性的魅力
oomph	精神
oomph	精力
jigger	计量杯
jigger	小玩意
jigger	盘车
jigger	小帆船
bedmate	同床者
bedmate	夫
name	名字
name	名称
name	姓名
name	名誉
name	命名
name	提名
name	叫出
name	指定
name	姓名的
name	姓名
name	据以取名的
name	据以取名
durmast	无梗花栎
photophone	光电话
photophone	光线电话
polynya	=polynia
midstream	河流正中
midstream	中流
sire	阁下
sire	陛下
sire	祖先
clockwise	顺时针方向的
clockwise	顺时针方向
clockwise	顺时针方向地
clockwise	顺时针方向
sukkah	苏克棚
drab	土褐色的
drab	土褐色
drab	单调的
drab	单调
tubefast	经洗的
tubefast	经洗
tubefast	耐洗的
tubefast	耐洗
asteroidal	星状的
asteroidal	星状
granulocytosis	粒细胞增多
dumfound	使说不出话来
narcotherapy	麻醉疗法
pantagraph	缩放仪
pantagraph	比例绘图仪
sartor	裁缝
polemicist	善辩论者
unsparing	不宽恕的
unsparing	不宽恕
unsparing	不留情的
unsparing	不留情
cholelith	胆石
iamb	抑扬格
iamb	短长格
ambrose	安布罗斯
locate	查找……的地点
locate	使……坐落于
locate	位于
locate	定位
locate	位于
equirotal	大小一样的
equirotal	大小一样
equirotal	直径一样的
equirotal	直径一样
caiman	凯门鳄
gastrotrich	腹毛动物
isolog	=isologue
rinsing	清水
rinsing	残渣
typewriter	打字机
donative	捐赠的
donative	捐赠
donative	赠与的
donative	赠与
donative	捐赠物
donative	捐款
natatorium	游泳场
natatorium	游泳池
anlistatig	抗静电的
anlistatig	抗静电
anlistatig	抗静电剂
noah	诺亚
fibriform	纤维状的
fibriform	纤维状
fibriform	根毛的
fibriform	根毛
frizzly	满是卷结的
frizzly	满是卷结
frizzly	头发卷曲的
frizzly	头发卷曲
epidiascope	实物幻灯机
tomorrow	明天见
tomorrow	明天
tomorrow	未来
impone	赌
impone	下赌注
dogy	失去母牛的小牛
arnoldian	具有阿诺德特性的
arnoldian	具有阿诺德特性
arnoldian	具有阿诺德作品风格特点的
arnoldian	具有阿诺德作品风格特点
arnoldian	敬佩阿诺德的人
arnoldian	阿诺德的追随者
diketone	二酮
bituminise	加沥青处理
baignoire	剧院最下一层的包厢
foreside	前部
foreside	上部
rhinorrhagia	鼻出血
sprightful	=sprightly
inseparable	不能分的
inseparable	不能分
john	约翰
surplus	剩余
surplus	过剩
surplus	盈余
surplus	过剩的
surplus	过剩
surplus	剩余的
surplus	剩余
surplus	转让
surplus	卖掉
semibarbarism	半野蛮状态
mice	老鼠
timberjack	伐木工
saddletree	鞍架
saddletree	百合树
fundamental	基础的
fundamental	基础
fundamental	基本的
fundamental	基本
fundamental	基本原则
fundamental	基本原理
mainboom	系主帆的帆角的圆木
nonprofit	非赢利的
nonprofit	非赢利
nonprofit	不以赢利为目的的
nonprofit	不以赢利为目
nonprofit	无利可图的
nonprofit	无利可图
abounding	丰富的
abounding	丰富
abounding	大量的
abounding	大量
bosky	矮林丛生的
bosky	矮林丛生
bosky	有树荫的
bosky	有树荫
bosky	有丛林的
bosky	有丛林
tailspin	旋尾降落
monostrophe	单韵律诗
undreamt	=undreamed
seismism	地震现象
turcophil	爱好土耳其风俗习惯的人
turcophil	亲土耳其的人
turcophil	亲土耳其的
turcophil	亲土耳其
turcophil	偏爱土耳其风尚的
turcophil	偏爱土耳其风尚
galero	主教的宽边红帽
oversight	勘漏
oversight	失察
oversight	疏忽
oversight	失败
oversight	小心照顾
inkwood	埃索木
vogue	时尚
vogue	时髦
vogue	风气
vogue	流行
vogue	风行
vogue	流行的
vogue	流行
vogue	时髦的
vogue	时髦
intarsist	细木镶嵌装饰匠
lymphadenopathy	淋巴结病
superwater	反常水
superwater	超聚水
superwater	不冻水
trestletree	樯头纵材
trestletree	匝桅木
reinvestment	再投资
reinvestment	再授给
silvan	森林的
silvan	森林
silvan	生活在森林中
silvan	森林中的人
silvan	森林之神
thornbill	刺嘴蜂鸟
olympus	奥林匹斯山
olympus	天堂
hemiclastic	起源于火山的
hemiclastic	起源于火山
relic	遗物
relic	遗迹
relic	废墟
relic	纪念物
virilize	男性化
unsymmetrical	非对称的
unsymmetrical	非对称
unsymmetrical	不匀称的
unsymmetrical	不匀称
unsymmetrical	不对称的
unsymmetrical	不对称
unsymmetrical	不匀称的
unsymmetrical	不匀称
gnesen	=Gniezno
bruxelles	=Brussels
petrozavodsk	彼得罗扎沃茨克
aragonite	霰石
aragonite	文石
electrocution	电刑
electrocution	电死
dentes	齿状部份
cryptogamic	隐花的
cryptogamic	隐花
asunder	分离
asunder	成碎片
golconda	无限富源
golconda	宝山
unvaried	未改变的
unvaried	未改变
unvaried	没有变化的
unvaried	没有变化
damiana	达米阿那
shastra	印度教圣典
richen	使富
viperine	毒蛇的
viperine	毒蛇
viperine	似毒蛇的
viperine	似毒蛇
aedicule	小型建筑物
corneitis	角膜炎
tawney	=tawny
odontophore	舌突起
tobaccoman	烟草商
tobaccoman	烟草制造商
puppydom	犬等之幼年期
puppydom	青年的自大时期
dustless	无尘的
dustless	无尘
dustless	不起灰尘的
dustless	不起灰尘
babul	假阿拉伯胶树
pressman	印刷工人
pressman	新闻工作者
pressman	记者
illuminate	照明
illuminate	照亮
illuminate	阐明
illuminate	说明
illuminate	使灿烂
illuminate	以灯火装饰
illuminate	照亮
bottleholder	随伴人
unforeknowable	无法预知的
unforeknowable	无法预知
lieutenancy	中尉之职
lieutenancy	代理官员
thalamocortical	丘脑皮层的
thalamocortical	丘脑皮层
parliamentary	议会的
parliamentary	议会
baleen	鲸须
starchiness	淀粉质
starchiness	浆糊状
starchiness	拘泥
bakemeat	肉饼
quiverful	装满箭筒
quiverful	众多
disintegration	瓦解
enumerable	可点数的
enumerable	可点数
enumerable	可列举的
enumerable	可列举
calomel	甘汞
calomel	氯化亚汞
churning	搅乳
churning	一次提制的奶油
inborn	天生的
inborn	天生
inborn	生来的
inborn	生来
inborn	先天的
inborn	先天
supercrat	超级官僚
ovonics	奥弗辛斯基效应应用电子学
metaphase	中期
metaphase	转位期
zeal	热心
zeal	热情
zeal	热诚
sidepiece	侧部
listable	能列在单子上的
listable	能列在单子上
insubordinate	不顺从的
insubordinate	不顺从
insubordinate	不听话的
insubordinate	不听话
squirarch	=squirearch
assignor	让与人
uxorilocal	居住在女方的
uxorilocal	居住在女方
uxorilocal	入赘风俗的
uxorilocal	入赘风俗
microseismograph	微震仪
gabar	伽巴尔
carabao	水牛
weaponeer	武器研制者
commiserable	值得怜悯与同情的
commiserable	值得怜悯与同情
gaspingly	喘气地
gaspingly	喘气
portuguese	葡萄牙的
portuguese	葡萄牙
portuguese	葡萄牙人的
portuguese	葡萄牙人
portuguese	葡萄牙语的
portuguese	葡萄牙语
portuguese	葡萄牙人
portuguese	葡萄牙语
scattergun	猎枪
scattergun	机关枪
enniskillen	恩尼斯基伦
lalophobia	言语恐惧症
tactility	触知性
tactility	触感
dicentric	具双着丝的
dicentric	具双着丝
tambourin	长鼓
tambourin	用此种鼓伴奏的舞蹈
enface	写
enface	印或盖在面上
alexandrine	亚历山大诗行
alexandrine	亚历山大格式的
alexandrine	亚历山大格式
fogless	无雾的
fogless	无雾
covelline	铜蓝
covelline	靛铜矿
pylon	塔门
pylon	路标塔
mylodon	磨齿兽
temptress	诱惑男人的女性
eisteddfod	诗人
eisteddfod	音乐家
eisteddfod	大会
plesiosaurus	蛇颈龙
wheelrace	水轮道
megaphone	扩音器
vespid	黄蜂
nabs	家伙
nabs	人
nabs	小伙子
nabs	哥们
supernumerary	定额以外的人
supernumerary	临时雇工
alkylic	基属的
alkylic	基属
alkylic	性的
alkylic	性
shant	一壶酒
shant	酒
axiomatically	照公理
axiomatically	自明地
axiomatically	自明
rumorous	传说的
rumorous	传说
rumorous	谣传的
rumorous	谣传
sensibilize	使感觉敏锐
higlif	上流社会
solifidianism	唯信仰说
defectively	有缺陷地
defectively	有缺陷
defectively	缺乏地
defectively	缺乏
sensitively	易感知地
sensitively	易感知
sensitively	神经过敏地
sensitively	神经过敏
thrall	奴隶
thrall	束缚
thrall	奴役
thrall	使成为奴隶
thrall	受奴役的
thrall	受奴役
fiscal	财政的
fiscal	财政
fiscal	国库的
fiscal	国库
fiscal	会计的
fiscal	会计
fiscal	国库岁入的
fiscal	国库岁入
fiscal	检查官
fiscal	印花税票
senseful	富有意义的
senseful	富有意义
senseful	意味深长的
senseful	意味深长
senseful	明智的
senseful	明智
senseful	有见识的
senseful	有见识
shiralee	行囊
hgh	human
hgh	growth
hgh	hormone
nationalisation	国有化
nationalisation	国营
devolutionist	支持地方分权者
imparkation	围在园内
imparkation	兽苑
quiddity	本质
quiddity	实质
quiddity	遁词
quiddity	古怪
delineate	描绘
lozenge	菱形
lozenge	止咳糖
brahmsian	勃拉姆斯的
brahmsian	勃拉姆斯
brahmsian	勃拉姆斯风格的
brahmsian	勃拉姆斯风格
weigela	锦带花
convector	对流式暖房器
lensless	无透镜的
lensless	无透镜
moldiness	霉臭
feast	节日
feast	盛宴
feast	筵席
feast	宴会
feast	酒席
feast	盛宴
feast	款待
feast	享乐
feast	请客
feast	参加宴会
feast	享受
laryngotomy	喉剖开术
peppermint	胡椒薄荷
peppermint	薄荷油
undope	不掺杂
abbacy	男修道院院长的职位、管区、任期
mash	捣碎
pentaploid	五倍的
pentaploid	五倍
pentaploid	五倍体
semideveloped	发育不全的
semideveloped	发育不全
pci	周边元件扩展接口
pci	Peripheral
pci	Component
pci	Interconnect
pci	外围设备组件互连
theodidact	由上帝教授的
theodidact	由上帝教授
androgen	男性荷尔蒙
androgen	男性激素
tenurable	可成为终身职位的
tenurable	可成为终身职位
sponginess	海绵状
sponginess	海绵质
hydrolant	大西洋航行危险警报
spermatogenetic	精子发生的
spermatogenetic	精子发生
moraceous	桑科的
moraceous	桑科
bandicoot	害鼠
bandicoot	袋狸
restrictedly	限制地
restrictedly	限制
longline	多钩长线
longwise	纵长地
longwise	纵长
brachyurous	短尾亚目的
brachyurous	短尾亚目
moscow	莫斯科
liney	=liny
unassailable	攻不破的
unassailable	攻不破
gnawer	咬的人
gnawer	臼齿动物
gnawer	腐食物
adah	艾达
imperturbably	泰然地
imperturbably	泰然
imperturbably	镇静地
imperturbably	镇静
imperturbably	平静地
imperturbably	平静
vestigial	发育不全的
vestigial	发育不全
vestigial	退化器官的
vestigial	退化器官
cottonweed	鼠麴草属植物
principally	主要地
principally	主要
nitrocotton	=guncotton
teahouse	茶室
parsi	帕西人
parsi	印度拜火教徒
intuitively	直觉地
intuitively	直觉
intuitively	直观地
intuitively	直观
upblaze	燃烧起来
bilbo	好剑
bilbo	一种铁制之脚镣
illuminati	有睿智的人
illuminati	先觉者
illuminati	光照派
metaraminol	间羟胺
metaraminol	阿拉明
gonfanon	=gonfalon
voluptuously	肉感地
voluptuously	肉感
choriambus	=choriambchoric
choriambus	合唱的
choriambus	合唱
retroversion	回退
retroversion	倒转
smg	submachine
smg	gun
filefish	豚鱼
retransformation	再变形
retransformation	变回原形
resaleable	=resalable
croak	蛙或鸦的叫声
croak	嗄嗄叫
croak	发牢骚
croak	用嘶哑的声音说
occupant	占有者
occupant	居住者
hint	暗示
hint	提示
hint	线索
somewhile	时常
somewhile	有时候
echidna	单孔目哺乳动物
echidna	针鼹鼠
trefa	不洁净的
trefa	不洁净
trefa	不可食用的
trefa	不可食用
unsatisfactorily	不能令人满意地
unsatisfactorily	不能令人满意
cryptobiosis	隐生
prioritize	把……区分优先次序
stroll	漫步
stroll	闲逛
stroll	四处流浪
stroll	闲逛
stroll	漫步
stroll	跋涉于
spruit	小河道
jacamar	一种食虫鸟
scrounge	占有
scrounge	行乞
scrounge	搜寻
scrounge	搜集
scrounge	东张西望
scrounge	搜寻
scrounge	搜集
scrounge	乞讨
scrounge	偷东西
ideate	形成概念
ideate	想象
ideate	设想
ideate	对……有印象
ketone	酮
yuppie	雅皮士
yuppie	属于中上阶层的年轻专业人士
purpose	目的
purpose	目
purpose	意图
purpose	用途
purpose	效果
purpose	决心
purpose	意志
purpose	打算
purpose	企图
purpose	决心
roadholding	车辆在不同道路行驶的安定性能
interfuse	混合
reversi	翻转棋戏
armenia	亚美尼亚
curlpaper	卷发纸
fumbler	愚笨的人
hayburner	马
hayburner	第二等的赛马
casket	首饰盒
casket	匣子
casket	棺材
excrescent	异常生长的
excrescent	异常生长
excrescent	多余的
excrescent	多余
excrescent	浪费的
excrescent	浪费
excrescent	无用的
excrescent	无用
aspartokinase	天冬氨酸激酶
portraiture	肖像画法
cellophane	玻璃纸
postcure	后固化
solarometer	船舶位置测度计
entorganism	内寄生物
marconigram	无线电报
panauision	宽屏幕电视
panauision	宽银幕电影
kakistocracy	恶人政治
exaltation	提升
exaltation	提高
exaltation	兴奋
exaltation	得意洋洋
harmfully	伤害地
harmfully	伤害
harmfully	有害地
harmfully	有害
oximeter	血氧计
oximeter	光电血氧计
footrope	脚缆
footrope	卷帆时水手立足的缆索
footrope	帆的下缘索
radioimmunoassay	放射性免疫测定
intersolubility	互溶性
intersolubility	互溶度
bradawl	小锥
strow	散播
myelitis	脊髓炎
ticca	出租的
ticca	出租
bauchle	无用之物
bauchle	废物
antibishop	由伪罗马教皇所派任的主教
router	路由器
grat	greet的过去式
settle	有背的长凳
settle	安放
settle	使定居
settle	安排
settle	解决
settle	决定
settle	整理
settle	支付
settle	使平静
settle	安家
settle	定居
settle	停留
settle	下陷
settle	沉淀
settle	决定
settle	澄清
hadal	超深渊的
hadal	超深渊
hadal	离海面6000米以上深水中的
hadal	离海面6000米以上深水中
examinationist	主张考试制度者
examinationist	考试论者
loudhailer	喇叭筒
loudhailer	扬声器
chondrin	软骨胶
chondrin	软骨素
needleful	穿在针上一次所用的线
grammaticality	语法性
grammaticality	符合语法
symbiose	共生
forenamed	前面所提的
forenamed	前面所提
forenamed	前述的
forenamed	前述
direful	可怕的
direful	可怕
direful	悲惨的
direful	悲惨
vicinal	邻近的
vicinal	邻近
lobito	洛比托
gigolo	舞男
gigolo	靠女人生活的男人
eophytic	始生代植物化石的
eophytic	始生代植物化石
subdentate	略具齿状的
subdentate	略具齿状
subdentate	槽形不明显的
subdentate	槽形不明显
superfix	上缀
casita	小屋
puredee	彻底地
puredee	彻底
puredee	十足地
puredee	十足
ungula	蹄
elastohydrodynamic	I`lAstEJ9hIdrEJdaI`nAmIk/aaIdrEJdaI`nAmIksd
elastohydrodynamic	流体弹性动力
farmstead	农场及其建筑物
fruitfully	产量多地
fruitfully	产量多
fruitfully	肥沃地
fruitfully	肥沃
amatol	阿马图炸药
amatol	一种强力炸药
talma	旧式大披肩
jesuitry	=Jesuitism
hipster	世面灵通的人
chorizo	西班牙加调料的口利左香肠
importance	重要
importance	重大
importance	价值
importance	傲慢
manslayer	杀人者
manslayer	过失杀人者
manslayer	非故意杀人者
wilt	畏缩
wilt	枯萎
wilt	憔悴
wilt	畏缩
splenomegaly	脾
educate	教育
educate	训练
educate	培养
educate	教育
tollgate	征收通行税的关卡
tollgate	关门
undunged	未施粪肥的
undunged	未施粪肥
undunged	未上粪的
undunged	未上粪
exploit	开拓
exploit	开发
exploit	开采
exploit	剥削
exploit	用以自肥
exploit	使用
toiletry	化妆品
toiletry	化妆用具
underskirt	内衣
agueweed	贯叶泽兰
agueweed	龙胆属植物
cremator	火葬场的火化工
cremator	焚尸人
cremator	焚尸炉
calcify	变成石灰质
calcify	钙化
calcify	使成石灰
calcify	使钙化
comportment	举止
comportment	态度
comportment	动作
autofill	自动填充
megger	高阻表
bioastronautic	/
bioastronautic	生物航天s/`baIEJ9AstrE`n:tIk/
bioastronautic	生物航萄У
haematidrosis	血汗症
autarky	自给自足
bobbed	剪短的
bobbed	剪短
bobbed	成束的
bobbed	成束
mathematic	数学的
mathematic	数学
mathematic	精确的
mathematic	精确
contrabass	最低音的
contrabass	最低音
contrabass	低音大提琴
contrabass	任何最低音的乐器
burgonet	轻盔
burgonet	钢盔
oilman	石油商
chorion	绒毛膜
chorion	浆膜
chorion	蛋壳
scrofulism	=scrofulosis
leucovorin	甲酰四氢叶酸
leucovorin	亚叶酸
hematuria	血尿症
hematuria	血尿
sequester	幽静的
sequester	幽静
sequester	隐蔽的
sequester	隐蔽
sequester	使隐退
sequester	使隔绝
sequester	扣押
sequester	没收
greenbug	麦二叉蚜
greenbug	麦二岔蚜
silver	银
silver	银子
silver	镀银
caricous	似无花果的
caricous	似无花果
charles	查尔斯
grayness	灰色
grayness	阴暗
naloxone	纳洛酮
naloxone	烯丙羟吗啡酮
hoarse	嘶哑的
hoarse	嘶哑
tucotuco	栉鼠
qb	quarterback
qb	四分卫
instigator	煽动者
