varioloid	假性天花
hoary	久远
frenchify	使成法国式
frenchify	法语化
frenchify	法国化
trophic	营养的
trophic	营养
trophic	有关营养的
trophic	有关营养
forethought	考虑将来
forethought	谋远
forethought	深虑
forethought	先见
forethought	预先计划好的
forethought	预先计划好
forethought	预谋的
forethought	预谋
mesne	中的
mesne	中
mesne	中间的
mesne	中间
triclad	三肠目涡虫
triclad	真涡虫
marginate	有边缘的
marginate	有边缘
calmative	镇静剂
manbote	家臣遇害赔偿金
cmyk	用于印刷的四分色
huppah	结婚仪式
huppah	婚仪
compurgation	旧指:根据他人保证宣告被告无罪
spite	不顾
spite	不管
spite	敌意
spite	困扰
purpurin	羟基茜草素
purpurin	红紫素
downpress	压迫
sovietology	苏维埃制度研究
antituberculosis	抗结核的
antituberculosis	抗结核
clarify	澄清
clarify	阐明
sadi	即
sadi	Saadi
adsorb	吸附
adsorb	被吸附
hoecake	玉米饼
foredawn	拂晓
stereomicroscope	立体显微镜
including	包括
prohibitionism	禁酒论者之原则与作风
benignancy	仁慈
benignancy	温和
benignancy	亲切
cereus	仙人掌
laconian	拉哥尼亚人的
laconian	拉哥尼亚人
laconian	拉哥尼亚方言的
laconian	拉哥尼亚方言
laconian	拉哥尼亚人
laconian	拉哥尼亚方言
daruma	达摩吉祥娃娃
underpayment	不足工资
underpayment	缴付不足
parricidal	杀父母的
parricidal	杀父母
parricidal	杀长上者
achromatize	使消色
achromatize	使无色
sejeant	=sejant
coercionary	强制的
coercionary	强制
coercionary	高压的
coercionary	高压
coercionary	强迫的
coercionary	强迫
colone	=colon
sibb	=sib
dragnet	拖网
dragnet	搜索网
eradicated	画着根的
eradicated	画着根
neurological	神经学上的
neurological	神经学上
deverbative	从动词派生出来的词
westmorland	威斯特摩兰郡
garbanzo	鹰嘴豆
alamanni	=Alemanni
embryo	胚胎
embryo	胎儿
embryo	胚芽
embryo	胚胎的
embryo	胚胎
embryo	初期的
embryo	初期
kronstadt	喀琅施塔得
kronstadt	喀琅施塔
habitus	习惯
habitus	体质
caltrop	蒺藜
cowman	牧牛业者
cowman	牧场主人
saka	萨卡人
corybantism	狂乱
corybantism	精神狂乱
disgusting	令人厌恶的
disgusting	令人厌恶
armorer	兵器制造者
armorer	军械修护员
tweeze	以镊子除去
tweeze	以钳子拔除
zemstvo	地方自治组织
zemstvo	郡县议会
landlord	房东
landlord	地主
landlord	老板
thermocoagulation	热凝固术
aspectant	面对面的
aspectant	面对面
examples	例子
croci	橘黄色
croci	氧化铁粉末
velate	有缘膜的
velate	有缘膜
freeboard	干舷
supercenter	大商店区
supercenter	特大购物中心
hybridize	杂交
unteach	使忘却
unteach	证明……的虚伪
olecranon	鹰嘴
macrofossil	巨体化石
macrofossil	大化石
languette	像舌头的东西
languette	簧舌
yuman	尤马语系
yuman	尤马人的
yuman	尤马人
yuman	尤马语组的
yuman	尤马语组
vaporific	产生蒸气的
vaporific	产生蒸气
vaporific	似蒸气的
vaporific	似蒸气
vaporific	易散发的
vaporific	易散发
whiplash	鞭子的皮条
whiplash	鞭绳
whiplash	鞭打
whiplash	反方向猛扭
whiplash	猛动
intermolecular	分子间的
intermolecular	分子间
intermolecular	存在于分子间的
intermolecular	存在于分子间
phytosociology	植物社会学
talkfest	长时间的讨论
talkfest	议而不决的会议
merchandiser	商人
sonderkommando	特遣队
sonderkommando	特遣队员
wauk	=wake
pannage	林地放养猪
pannage	付给林主的放猪费
pannage	猪饲料
opposite	相对的
opposite	相对
opposite	对面的
opposite	对面
opposite	对立的
opposite	对立
opposite	相反的
opposite	相反
opposite	对等的
opposite	对等
opposite	对应的
opposite	对应
opposite	相反的事物
arable	可耕的
arable	可耕
arable	适于耕种的
arable	适于耕种
chunder	呕吐
teutophile	亲条顿
retouch	润饰
huzoor	大人
willemite	硅锌矿
mystic	神秘的
mystic	神秘
mystic	神秘主义的
mystic	神秘主义
mystic	神秘家
mystic	神秘主义的鼓吹者
gibraltar	直布罗陀
gibraltar	冰砂糖
jeweler	宝石商
jeweler	宝石匠
tetraethylammonium	四乙铵
tetrahedrane	四面体烷
superconduction	用超导
superconduction	性
quartile	四分位数
nepalese	尼泊尔的
nepalese	尼泊尔
nepalese	尼泊尔人
suite	家具
suite	套房
suite	套
suite	组
suite	组曲
vlach	瓦拉几人
bhutanese	不丹的
bhutanese	不丹
bhutanese	不丹人的
bhutanese	不丹人
bhutanese	不丹语的
bhutanese	不丹语
afrikander	欧洲血统的南非人
cycloid	摆线
cycloid	轮转线
cycloid	圆形的
cycloid	圆形
cycloid	循环性格的
cycloid	循环性格
elastoplast	弹性黏膏
elastoplast	弹性绷带
asa	American
asa	Standards
asa	Association
asa	美国标准协会
cuirass	胸甲
cuirass	装甲板
cuirass	铁甲
commendably	很好地
commendably	很好
makeyevka	马凯耶夫卡
meteorograph	气象计
blackland	黑土
blackland	黑土地带
zymoid	酵母的
zymoid	酵母
zymoid	像酵母或酵素的
zymoid	像酵母或酵素
fluor	氟石
multiwall	多层牛皮纸制的
multiwall	多层牛皮纸制
cate	佳肴
cate	美食
fury	狂怒
fury	狂暴
fury	激烈
fury	狂怒的人
fury	复仇女神
mangabey	白眉猴
economism	经济主义
nike	胜利女神
nike	地对空导弹的一种
mountainside	山腹
mountainside	山腰
tripartition	分成三部分
tripartition	三分
decapod	十足类
decapod	有十脚的
decapod	有十脚
shivaree	喧闹的庆祝
disentwine	松开
disentwine	解开
disentwine	清理
flout	轻视
flout	嘲笑
flout	愚弄
flout	表示轻蔑
flout	侮辱
flout	嘲笑
flout	愚弄
flout	轻视
eigenvector	特征向量
messieurs	诸君
messieurs	诸位先生
autoplasty	自身组织移植手术
ironfisted	吝啬的
ironfisted	吝啬
ironfisted	残忍的
ironfisted	残忍
rejuvenize	使年轻
rejuvenize	使更生
unblemished	无疵的
unblemished	无疵
relay	驿马
relay	接替
relay	继电器
relay	分程传递
relay	使接替
relay	转播
relay	得到接替
relay	转播
nonactin	无活菌素
landform	地形
motility	运动性
motility	自动力
affuse	灌注
tristearin	硬脂酸甘油酯
tristearin	三硬脂精
corticotropin	促肾上腺皮质激素
brainwork	脑力劳动
magnetooptics	磁光学
loess	黄土
windsor	Duke
windsor	of温莎公爵(即Edward
tellurian	地球上的居住者
tellurian	地球上的
tellurian	球上
homologic	=homologous
granulite	麻粒岩
comintern	共产国际
comintern	共产党第三国际
murrine	=murrhine
remora	障碍
remora	障碍物
catenaccio	四三三阵式
despoilment	抢夺
despoilment	剥夺
fishgarth	鱼梁
sociogram	社会测量图示
sociogram	社会关系网图
inquisitor	询问者
inquisitor	检察官
inquisitor	审理者
amazon	亚马逊河
melilite	黄长石
rototiller	旋转式耕耘机
rototiller	旋转碎土器
zapping	跳过广告节目
camera	照相机
spathulate	匙形的
spathulate	匙形
scandalous	诽谤性的
scandalous	诽谤性
type	类型
type	典型
type	模范
type	活字
type	铅字
type	打字
type	测定类型
signore	夫人
signore	太太
vivers	食品
vivers	粮食
aluminite	矾土石
littleneck	小帘蛤
scutellate	盾形的
scutellate	盾形
ignite	点火
ignite	点燃
syllabication	划分音节
goffer	压皱褶的
goffer	压皱褶
goffer	皱纹
goffer	皱褶
goffer	作皱褶
goffer	使皱起
entomogenous	生长在昆虫身上的
entomogenous	生长在昆虫身上
entomogenous	昆虫体寄生的
entomogenous	昆虫体寄生
thein	咖啡因
thein	茶碱
thicko	傻瓜
thicko	笨蛋
commutation	交换
phosphatize	用磷酸盐
phosphatize	处理
phosphatize	使磷化
chemoreceptivity	化学感应
needlepoint	针尖
needlepoint	针绣花边
italianate	意大利风格的
italianate	意大利风格
italianate	意大利化的
italianate	意大利化
italianate	有意大利风格
lemnos	利姆诺斯岛
capitulum	头状花序
capitulum	聚生花
capitulum	小头
capitulum	骨端
migraine	偏头痛
zincite	红锌矿
hillel	希勒尔
satirise	=satirize
americanise	带上美国特点
capuche	尖顶风帽
napoo	完蛋了的
napoo	完蛋了
napoo	没用的
napoo	没用
exposition	博览会
exposition	展览会
exposition	说明
exposition	曝露
exposition	呈示部
splotch	斑点
astrologous	占星学的
astrologous	占星学
astrologous	占星术的
astrologous	占星术
palolo	矶沙蚕
hundreds	数百
reps	条花织品之一种
exanthema	疹
sporadically	偶发地
sporadically	偶发
sporadically	零星地
sporadically	零星
bendy	易弯曲的
bendy	易弯曲
bendy	柔韧的
bendy	柔韧
deathroll	死亡名册
boulder	大石头
boulder	漂石
embryotrophe	胚胎营养素
salpiglossis	蛾蝶花
animadvert	批判
animadvert	非难
cuckooflower	布谷鸟剪秋罗
cuckooflower	白花酢浆草
cuckooflower	美国山酢浆草
cuckooflower	草地碎米荠
haemoflagellate	血鞭毛虫
redefection	再度背叛
redefection	再度投奔
default	默认
default	食言
default	不履行责任
default	缺席
default	疏怠职责
default	缺席
default	拖欠
default	默认
autoclavable	能经受住压热器作用的
autoclavable	能经受住压热器作用
ptochocracy	穷人政治
ptochocracy	穷人统治
confetti	五彩纸屑
cauterize	烧灼
cauterize	烙
cauterize	使麻木不仁
gradate	逐渐转化
gradate	顺次排列
transistor	晶体管
caconym	不妥的名称
caconym	不雅的名称
polychromatic	多色的
polychromatic	多色
dvm	Doctor
dvm	of
dvm	Veterinary
dvm	Medicine
dvm	兽医学博士
examiner	主考者
seeming	表面上的
seeming	表面上
seeming	外观
sollicker	极大的东西
ebullioscopy	沸点升高测定法
hotcha	热门音乐的一种
hotcha	迷人的
hotcha	迷人
ormuzd	=Ormazd
emanatorium	放射治疗院
quadrature	求积
quadrature	求积分
cowhide	牛皮
cowhide	牛皮鞭
cowhide	用牛皮鞭笞
anger	怒
anger	愤怒
anger	恼火
hype	皮下注射
hype	骗局
hype	大肆宣传
hype	大做广告
hype	瘾君子
ccis	办公室间公用信道传输
lighttight	防光的的
lighttight	防光
lighttight	不透光的
lighttight	不透光
lighttight	不漏光的
lighttight	不漏光
disprivilege	使失去权利
disprivilege	剥夺特权
agnatic	男系亲属的
agnatic	男系亲属
entangle	使缠上
entangle	纠缠
entangle	卷入
entangle	连累
entangle	使混乱
aesop	伊索
flocculation	絮凝
flocculation	絮结产物
flyleaf	衬页
flyleaf	章节后的空白
speech	演说
speech	讲话
speech	语音
incoordination	不同等
incoordination	不配合
cytogenetic	细胞发生的
cytogenetic	细胞发生
cytogenetic	细胞生成的
cytogenetic	细胞生成
sunburn	晒斑
sunburn	晒黑
basecourt	后院
droshky	无顶四轮马车
glassiness	玻璃质
haematometer	血球计
haematometer	血压计
hoicks	激励猎犬之喝声
incommunicado	禁止通信的
incommunicado	禁止通信
incommunicado	被单独囚禁的
incommunicado	被单独囚禁
spleen	脾
intransitive	不及物的
intransitive	不及物
intransitive	不及物动词
zoophyte	似植物的海生动物
gotcher	=got
gotcher	you
moonrise	月光
moonrise	月出时分
hexaplar	用六国语对译的书的
hexaplar	用六国语对译的书
attestative	证明的
attestative	证明
strother	斯特罗瑟
turki	突厥语族的
turki	突厥语族
turki	操突厥语的人的
turki	操突厥语的人
turki	突厥人的
turki	突厥人
turki	突厥语族
turki	操突厥语的人
turki	罕厥人
storied	以历史画装饰的
storied	以历史画装饰
storied	历史上有名的
storied	历史上有名
storied	分层的
storied	分层
norton	美国NOROTN公司
norton	生产有NOROTN
norton	COMMANDER、NORTON
norton	UTILITIES等著名的计算机软件。
saccharined	声调极甜蜜的
saccharined	声调极甜蜜
unexceptional	非例外的
unexceptional	非例外
unexceptional	普通的
unexceptional	普通
metalliferous	含金属的
metalliferous	含金属
metalliferous	产金属的
metalliferous	产金属
disturbance	骚动
disturbance	动乱
disturbance	打扰
disturbance	干扰
disturbance	骚乱
disturbance	搅动
electrophile	亲电子试剂
neuropteroid	形状像脉翅目昆虫的
neuropteroid	形状像脉翅目昆虫
mangy	疥癣的
mangy	疥癣
mangy	污秽的
mangy	污秽
eating	吃
eating	食物
eating	食用的
eating	食用
eating	可生食的
eating	可生食
nutarian	坚果素食主义者
nutarian	喜食坚果的人
adjectival	形容词的
adjectival	形容词
recombinogenic	引起重组的
recombinogenic	引起重组
recombinogenic	重组发生的
recombinogenic	重组发生
menshevist	孟什维克
menshevist	孟什维主义者
menshevist	孟什维克的
menshevist	孟什维克
menshevist	孟什维主义的
menshevist	孟什维主义
neurolysis	神经组织崩溃
neurolysis	精神疲惫
eyeminded	视觉特别敏锐的
eyeminded	视觉特别敏锐
eyeminded	视觉记忆特强的
eyeminded	视觉记忆特强
found	建立
found	创立
found	创办
found	使有根据
found	铸造
found	熔制
gelatinous	凝胶状的
gelatinous	凝胶状
udo	土当归
ongoing	正在进行的
ongoing	正在进行
cousinly	堂兄
cousinly	弟
cousinly	姊
cousinly	妹地
cousinly	妹
sweltry	闷热的
sweltry	闷热
sweltry	热得难受的
sweltry	热得难受
outrider	骑马侍从
outrider	先驱者
outrider	摩托车警卫
anthropologic	人类学的
anthropologic	人类学
multifold	多种的
multifold	多种
multifold	多方面的
multifold	多方面
meagre	瘦的
meagre	瘦
meagre	贫弱的
meagre	贫弱
anaphora	首语重复法
undetd	undetermined
ontology	存在论
asperges	洒水礼
asperges	弥撒的一种
contradiction	反驳
contradiction	矛盾
waddie	=waddy
artifical	人造的
artifical	人造
artifical	虚伪的
artifical	虚伪
quietist	寂静主义者
radiolocation	用电波探测器探测
phosphoprotein	磷蛋白质
galenite	方铅矿
overbuild	建造过多
overbuild	建造在……上面
overbuild	过于讲究的建造
caftan	有腰带的长袖衣服
laxly	松懈地
laxly	松懈
laxly	缓慢地
laxly	缓慢
rubout	谋杀
rubout	擦掉
rubout	抹掉
dhss	Department
dhss	of
dhss	Health
dhss	and
dhss	Social
dhss	Services卫生和社会事务部
desperate	不顾一切的
desperate	不顾一切
desperate	拚死的
desperate	拚死
desperate	令人绝望的
desperate	令人绝望
gsv	guided
gsv	space
gsv	vehicle有制导的航天器
dilution	稀释
dilution	稀释法
dilution	冲淡物
bleachers	露天看台
incompliant	不顺从的
incompliant	不顺从
incompliant	不肯让步的
incompliant	不肯让步
interlayer	夹层
interlayer	隔层
prut	普鲁特河
kneesy	=kneesie
porose	有孔的
porose	有孔
porose	多孔的
porose	多孔
tzigane	茨冈舞
tzigane	茨冈舞曲
tzigane	茨冈人
tzigane	吉普赛人
freetrader	自由贸易主义者
freetrader	走私者
freetrader	自由贸易
toxalbumin	毒白蛋白
rivalrous	有竞争性的
rivalrous	有竞争性
rivalrous	敌对性的
rivalrous	敌对性
athetosis	指痉病
athetosis	手足徐动症
untenable	防守不住的
untenable	防守不住
untenable	站不住脚的
untenable	站不住脚
untenable	不能维持的
untenable	不能维持
untenable	支持不住的
untenable	支持不住
thuggery	暗杀
thuggery	谋财害命
zambian	赞比亚人
zambian	赞比亚的
zambian	赞比亚
acls	American
acls	Council
acls	of
acls	Learned
acls	Societies
acls	美国学术团体委员会
acls	Air
acls	Cushion
acls	Landing
acls	System
acls	气垫着陆系统
glycogenesis	肝糖生成
glycogenesis	糖原生成
glycerite	甘油溶液
arapunga	南美钟鸟
derisive	嘲笑的
derisive	嘲笑
derisive	值得嘲笑的
derisive	值得嘲笑
transfix	刺穿
transfix	使呆住
diskpark'	NULL)
beneficiation	选矿
communization	共有化
communization	共产化
remain	保持
remain	逗留
remain	剩余
remain	残存
monoplane	单翼机
patrolette	女巡逻员
acromion	肩峰
protolanguage	原始母语
tunhuang	见Dunhuang
microfossil	微体化石
microfossil	微化石
hybridity	杂种性
hybridity	杂种状态
shipbuilder	造船专家
shipbuilder	造船工程师
testibiopalladite	锑铋钯碲矿
unappeased	未平息的
unappeased	未平息
unappeased	未加抚慰的
unappeased	未加抚慰
unappeased	未缓和的
unappeased	未缓和
unappeased	未予满足的
unappeased	未予满足
fortify	设防于
fortify	增强的酒精含量
fortify	筑防御工事
resistivity	抵抗力
resistivity	电阻系数
dotey	宝贝
dotey	亲爱的
dotey	亲爱
costard	大苹果的一种
costard	产于英国
diagnosticate	诊断
diagnosticate	判断
dapper	整洁的
dapper	整洁
dapper	整齐的
dapper	整齐
dapper	短小精悍的
