desoxycorticosterone	=deoxycorticosterone
cane	细长的茎
cane	藤条
cane	以杖击
cane	以藤编制
uvular	悬壅垂的
uvular	悬壅垂
cannister	=canister
creature	人
creature	动物
creature	傀儡
creature	创造物
marketing	行销
marketing	买卖
landing	登陆
landing	着陆
landing	码头
landing	楼梯平台
landing	降落
dynamax	戴纳马克斯高磁导率合金
ga	Gobon
ga	加蓬
ga	Ga
ga	元素镓
ga	Genetic
ga	Algorithm
ga	遗传算法
kisangani	基桑加尼(旧称斯坦利维尔
adhibition	应用
adhibition	贴用
clay	粘土
clay	泥土
clay	肉体
clay	人体
clay	似黏土的东西
clay	陶土制的烟斗
chronometry	时刻测定
chronometry	测时法
ermined	以貂皮装饰的
ermined	以貂皮装饰
ermined	穿貂皮衣服的
ermined	穿貂皮衣服
biographize	为……写传记
biographize	写传记
wispy	象小束状的
wispy	象小束状
wispy	纤细的
wispy	纤细
wispy	脆弱的
wispy	脆弱
diploid	双重的
diploid	双重
diploid	倍数的
diploid	倍数
diploid	双倍的
diploid	双倍
diploid	倍数染色体
velar	软颚音
microinject	显微注射
microinject	微量注射
smoulder	潜伏
imidazole	咪唑
inturn	内曲
inturn	内弯
bottled	瓶装的
bottled	瓶装
netty	网状的
netty	网状
dialyse	透析
dialyse	分离
inconclusible	无法结束的
inconclusible	无法结束
inconclusible	无法有结论的
inconclusible	无法有结论
flavoring	调味品
flavoring	调味料
dialect	方言
dialect	语调
parasailing	帆伞运动
antidiuresis	制尿
antidiuresis	抑制尿分泌
ninefold	九倍的
ninefold	九倍
ninefold	九重的
ninefold	九重
ninefold	九倍地
ninefold	九倍
ninefold	九重地
ninefold	九重
minibus	中客车
minibus	小型公共汽车
lakh	十万
lakh	十万卢比
heterometabolous	不全变态的
heterometabolous	不全变态
hoofprint	蹄印
semipopular	半通俗的
semipopular	半通俗
semipopular	略通俗的
semipopular	略通俗
gemmiform	芽状的
gemmiform	芽状
overboot	胶皮套鞋
overboot	高腰套靴
corporeal	肉体的
corporeal	肉体
corporeal	物质的
corporeal	物质
corporeal	有形的
corporeal	有形
dacoity	强夺
dacoity	抢劫
dresden	德累斯顿
tractability	温顺
tractability	易处理
tractability	易加工的东西
seamanship	船舶驾驶术
seamanship	船艺
isocyanate	异氰酸盐
overbold	过于大胆的
overbold	过于大胆
overbold	冒失的
overbold	冒失
overbold	鲁莽的
overbold	鲁莽
inertness	不活泼
inertness	没有生气
outwith	=outside
agi	adjusted
agi	gross
agi	income
cursing	诅咒
cursing	逐出教会
hermaic	赫尔密斯方形石柱的
hermaic	赫尔密斯方形石柱
unimaginable	想不到的
unimaginable	想不到
unimaginable	不可思议的
unimaginable	不可思议
casern	兵营
casern	屯营
undeserver	不该受赏的人
undeserver	不足道的人
clapham	克拉彭
allusive	暗指的
allusive	暗指
allusive	影射
allusive	间接提到
atergo	从背后
atergo	在后面
guideline	方针
staffwork	参谋工作
staffwork	管理工作
protist	原生生物
quartering	四等分
quartering	军营或其他住所之分配
quartering	从斜后侧方向吹来的
quartering	从斜后侧方向吹来
gill	腮
gill	腮下肉
gill	峡谷
gill	峡流
gill	锶
gill	用刺网捕鱼
uncurbed	未被限制的
uncurbed	未被限制
uncurbed	不受束缚的
uncurbed	不受束缚
dinerout	在外就餐者
dinerout	饭局应酬多的人
pellet	小球
limber	可塑的
limber	可塑
sovietist	苏维埃主义者
gigahertz	千兆赫
respondency	响应
respondency	一致
navicular	舟状的
navicular	舟状
navicular	船状的
navicular	船状
navicular	舟骨
steeple	尖塔
revolute	向后卷的
revolute	向后卷
revolute	外卷的
revolute	外卷
concretively	有凝结力地
concretively	有凝结力
concretively	凝结性地
concretively	凝结性
tittup	活泼的举止
tittup	雀跃
tittup	跳着走路
archoplasm	=archiplasm
currish	野狗似的
currish	野狗似
currish	恶意的
currish	恶意
currish	爱吵闹的
currish	爱吵闹
frazzled	穿破了的
frazzled	穿破了
frazzled	疲惫的
frazzled	疲惫
junction	连接
junction	接合
junction	交叉点
junction	汇合处
nope	不
nope	不是
juanita	胡安妮塔
perigordian	佩里戈尔文化的
perigordian	佩里戈尔文化
perigordian	佩里戈尔文化
apaprthotel	旅馆公寓
boxwood	黄杨木材
boxwood	黄杨木
extortionary	勒索的
extortionary	勒索
extortionary	敲诈性的
extortionary	敲诈性
extortionary	强索的
extortionary	强索
strobe	闸门
strobe	起滤波作用
runny	松软的
runny	松软
runny	水分过多的
runny	水分过多
runny	流鼻水的
runny	流鼻水
runny	易流动的
runny	易流动
kamaaina	夏威夷人
kamaaina	长期居住在夏威夷的人
bibliopoly	书籍贩卖
bibliopoly	珍本贩卖
tiu	蒂乌
retinotectal	连接视网膜和中脑顶盖神经纤维的
retinotectal	连接视网膜和中脑顶盖神经纤维
glyphograph	电刻
glyphograph	电刻版
drool	流口水
drool	说昏话
drool	从嘴淌下
drool	散漫地说
drool	口水
drool	梦话
bastille	城堡
bastille	监狱
smidgeon	少量
smidgeon	一点点
construction	建筑
construction	建筑物
construction	解释
construction	造句
bullion	金银
bullion	银条
bullion	金块
tectonophysics	地壳构造物理学
plea	恳求
plea	请求
plea	辩解
plea	藉口
phytogenic	=phytogenetic
neoptolemus	尼奥普托列墨斯
lixiviation	浸滤
epidemiologist	流行病学家
thirst	渴
thirst	口渴
thirst	渴望
thirst	热望
periglacial	冰川边缘的
periglacial	冰川边缘
periglacial	冰缘的
periglacial	冰缘
periglacial	冰缘区的
periglacial	冰缘区
mascaret	涌潮
mascaret	怒潮
sacring	弥撒圣别式
sacring	圣别式
saddlefast	稳坐在马鞍上的
saddlefast	稳坐在马鞍上
costate	有肋骨的
costate	有肋骨
costate	肋骨的
costate	肋骨
costate	主脉的
costate	主脉
twae	=twa
peiping	北平
warthe	=Warta
marconigraph	无线电报机
nonaccess	无性交
nonaccess	无性交生活
keratitis	角膜炎
balinese	巴厘岛的
balinese	巴厘岛
balinese	巴厘语的
balinese	巴厘语
balinese	巴厘语
unison	调和
unison	和谐
unison	一致
unison	齐唱
unison	齐奏
unison	同度的
unison	同度
unison	同音的
unison	同音
peachy	桃色的
peachy	桃色
vysotskite	硫钯矿
onshore	向着海岸的
onshore	向着海岸
onshore	陆上的
onshore	陆上
onshore	向着海岸
onshore	在陆上
estivate	度夏
estivate	过夏天
estivate	夏眠
proximad	向近侧
proximad	向近端
thulium	铥
thulium	稀土金属元素
thulium	符号
thulium	Tm
thulium	铥原子序
thulium	69
cloudily	有云地
cloudily	有云
cloudily	黯然
cloudily	朦胧
hypereutectic	过共晶的
hypereutectic	过共晶
hypereutectic	过低熔的
hypereutectic	过低熔
suomi	=Finland
subequatorial	亚赤道的
subequatorial	亚赤道
subequatorial	副赤道的
subequatorial	副赤道
inexpungibility	不能除去
inexpungibility	无法消灭
internet	因特网
internet	国际互联网络
internet	网际网
axstone	斧石
only	唯一的
only	唯一
only	单独的
only	单独
only	最好的
only	最好
only	最合适的
only	最合适
only	仅仅
only	只不过
only	但是
only	可是
antecedently	在前
antecedently	在先
caba	卡巴
lithopone	锌钡白
lei	花环
lei	花冠
sulphur	硫磺
impartible	不可给予地
impartible	不可给予
impartible	不能分割的
impartible	不能分割
transvaluate	=transvalue
wigless	无假发的
wigless	无假发
wigless	不戴假发的
wigless	不戴假发
splurge	卖弄
splurge	炫耀
splurge	夸示
splurge	卖弄
splurge	炫耀
splurge	挥霍
splurge	挥霍
photorpeater	照相复印机
huhehot	见
huhehot	Hohhot
gearbox	变速箱
ameliorant	改良物
invasive	入侵的
invasive	入侵
ridiculous	荒谬的
ridiculous	荒谬
ridiculous	可笑的
ridiculous	可笑
zelkova	榉属
zelkova	光叶榉树
sunback	露背的
sunback	露背
enquiringly	怀疑地
enquiringly	怀疑
credential	外交使节所递的国书
credential	信任壮
soother	抚慰者
soother	橡皮奶头
marchesa	女侯爵
marchesa	侯爵夫人
kazachok	哥萨克舞
uncork	拔去塞子
uncork	开口
uncork	泄漏
snag	障碍
snag	阻碍
incidental	附带的
incidental	附带
incidental	伴随的
incidental	伴随
incidental	非主要的
incidental	非主要
incidental	偶然的
incidental	偶然
incidental	容易发生的
incidental	容易发生
incidental	伴随事件
incidental	杂项、杂费
travertine	石灰华
rackety	喧扰的
rackety	喧扰
rackety	喜欢吵闹的
rackety	喜欢吵闹
rackety	摇晃的
rackety	摇晃
rackety	不牢固的
rackety	不牢固
overstowed	因倒装而无法提取的
overstowed	因倒装而无法提取
vite	急速地
vite	急速
vite	轻快地
vite	轻快
traversable	可以横过的
traversable	可以横过
traversable	可以穿过的
traversable	可以穿过
traversable	可否定的
traversable	可否定
adjust	调整
adjust	调节
adjust	校准
adjust	使适合
agrimotor	农耕用拖拉机
stroller	散步者
stroller	流浪者
omt	Object
omt	Modeling
omt	Technology
omt	对象建模技术
whatsoever	pro
whatsoever	无论什么
acquainted	有知识的
acquainted	有知识
acquainted	知晓的
acquainted	知晓
spectrophotoelectric	分光光电作用的
spectrophotoelectric	分光光电作用
kinship	血族关系
robertsonian	罗伯逊的
robertsonian	罗伯逊
trifecta	三连胜式
outrank	居……之上位
outrank	地位高于
deducible	可推论的
deducible	可推论
fa	全音阶的长音阶第四音
indue	授与
indue	赋予
allsorts	什锦糖
allsorts	混合物
fain	乐意
fain	不得不
fain	只得……
fain	欣然
fain	乐意地
fain	乐意
demerit	缺点
unframed	无框架的
unframed	无框架
unframed	无边框的
unframed	无边框
aceldama	犹大自杀之处
aceldama	流血之地
aceldama	流血之
cloddy	土块多的
cloddy	土块多
cloddy	土里土气的
cloddy	土里土气
cloddy	不值钱的
cloddy	不值钱
afteryears	以后的岁月
afteryears	晚年
fluidize	使液化
fluidize	流化
ethanol	乙醇
ethanol	酒精
sovranty	=sovereignty
sicca	新铸的卢比
arts	文科
spivved	打扮得衣冠楚楚的
spivved	打扮得衣冠楚楚
majordomo	管家
majordomo	总监
minder	看守者
minder	照顾者
lifespring	生命的源泉
benzylidene	苯亚甲基的
benzylidene	苯亚甲基
haffit	=haffet
outflow	流出
outflow	流出物
axone	轴突
spaceship	太空船
hybridisable	=hybridizable
isocyanine	异花青
pityroid	糠状的
pityroid	糠状
fig	无花果
fig	无花果树
fig	无价值的东西
fig	少许
fig	一些
fig	服装
fig	打扮
fig	使马跑快
clubwoman	俱乐部女会员
literation	用字母代表声音或词
dimm	Dual
dimm	Inline
dimm	Menory
dimm	Modules
dimm	双列直插式存储模块
whirlpool	漩涡
whirlpool	涡流
whirlpool	混乱
whirlpool	纷乱
basophilic	嗜碱的
basophilic	嗜碱
zoodynamics	动物力学
resummon	再召唤
newscast	新闻广播
magnetics	磁学
fetid	有恶臭的
fetid	有恶臭
charlatanism	庸医术
charlatanism	庸医之行为
seismometer	地震检波器
magnetism	磁
magnetism	磁力
magnetism	吸引力
magnetism	磁学
ecclesiastic	神职者
ecclesiastic	教会
ecclesiastic	牧师
ecclesiastic	神职者的
ecclesiastic	神职者
ecclesiastic	牧师的
ecclesiastic	牧师
ecclesiastic	教会的
ecclesiastic	教会
spoliator	抢劫者
spoliator	掠夺者
fiendishly	恶魔似地
fiendishly	恶魔似
fiendishly	极坏地
fiendishly	极坏
nightman	清厕工
nightman	淘粪工
isaiah	以赛亚书
isaiah	男人名
isaiah	希伯来的大预言家
hackmatack	杜松
hackmatack	落叶松之一种
elven	小精灵
elven	精灵族
hooray	万岁!
hooray	万岁
hooray	万岁
kazoo	一种木制或金属制玩具笛子
fantasticality	荒谬
fantasticality	奇谈
fantasticality	怪事
fantasticality	空想性质
fantasticality	变化无常
fantasticality	奇异
emmenia	月经
kawaguchi	川口
finicky	过分注意的
finicky	过分注意
finicky	过分讲究的
finicky	过分讲究
finicky	过分周到的
finicky	过分周到
syntomycin	合霉素
screwloose	古怪的
screwloose	古怪
androecium	雄蕊
ifpi	International
ifpi	Federation
ifpi	of
ifpi	the
ifpi	Phonographic
ifpi	Industry
ifpi	国际唱片工业联合会
icsu	International
icsu	Council
icsu	of
icsu	Scientific
icsu	Unions
icsu	国际科学协会理事会
airsickness	晕机
continent	大陆
continent	陆地
continent	陆
philodendron	爱树木的人
virtuousness	贞德
virtuousness	高洁
donate	捐赠
donate	赠予
duty	义务
duty	责任
duty	职责
duty	职务
duty	税
squarely	方形地
squarely	方形
squarely	直角地
squarely	直角
squarely	四角地
squarely	四角
hypersensitize	对
hypersensitize	作过增感处理
volk	民族
volk	人民
acrosin	精子酵素
acrosin	精子头粒蛋白
nun	修女
nun	尼姑
netball	类似篮球的球赛
ectotherm	冷血动物
ectotherm	变温动物
bulldog	牛头犬
bulldog	摔倒
bulldog	左轮手枪
bulldog	摔牛
mucus	粘液
mucus	胶
nz	新西兰
speakership	议长的职位
consummation	完成
consummation	圆满成功
consummation	成就
actinia	海葵
flaxweed	云兰属
flaxweed	蛋黄草类
mandibular	颚的
mandibular	颚
cadent	有节奏的
cadent	有节奏
cadent	降落的
cadent	降落
antimutagenic	抗诱变剂的
antimutagenic	抗诱变剂
antimutagenic	抗诱变因素的
antimutagenic	抗诱变因素
skim	撇去
preaseptic	无菌外科以前的
preaseptic	无菌外科以前
omphalocele	脐突出
ctt	capital
ctt	transfer
ctt	tax
extraconstitutional	宪法以外的
extraconstitutional	宪法以外
extraconstitutional	宪法中还没规定的
extraconstitutional	宪法中还没规定
unshakably	不可动摇地
unshakably	不可动摇
unshakably	坚定不移地
unshakably	坚定不移
swallow	燕子
swallow	吞咽
swallow	喉
swallow	咽
swallow	淹没
swallow	吞没
swallow	取消
swallow	忍受
swallow	轻信
swallow	压制
swallow	耗尽
swallow	吞下
swallow	咽下
diploic	板障的
diploic	板障
disbursal	支出
oversize	太大的
oversize	太大
oversize	特大型
arrenotoky	雄性生殖
theatricality	戏剧风格
theatricality	不自然
votarist	崇拜者
votarist	拥护者
panpsychism	泛心论
panpsychism	万有精神论
entrancing	使人神魂颠倒的
entrancing	使人神魂颠倒
entrancing	使人入神的
entrancing	使人入神
colorize	使……变成彩色
alfilaria	芹叶太阳花
serax	舒宁
torquate	有彩色毛圈的
torquate	有彩色毛圈
torquate	有项圈的
torquate	有项圈
subspecies	亚种
criminalistic	刑事专家的
criminalistic	刑事专家
criminalistic	刑事学的
criminalistic	刑事学
equestrian	骑马的
equestrian	骑马
equestrian	马的
equestrian	马
equestrian	在马背上的
equestrian	在马背上
equestrian	市民特权阶层成员的
equestrian	市民特权阶层成员
equestrian	骑士阶层的
equestrian	骑士阶层
equestrian	骑手
isohaline	等盐线
cursor	指针
cystoma	囊瘤
autarchist	主张独裁制度者
ratproofing	能防鼠的
ratproofing	能防鼠
ratproofing	使能防鼠
florida	佛罗里达
rotoscythe	旋刀刈割机
dioicous	=dioecious
multitudinism	大众利益至上主义
ostiak	=Ostyak
purplish	略带紫色的
purplish	略带紫色
hommos	=hummus
bywalk	僻径
alchemistic	炼金术的
alchemistic	炼金术
expediate	使加速
interlinguistics	语际语言学
dipleurogenesis	高等动物身体之左右对称
cardroom	桥牌室
withstand	抵挡
withstand	经受住
tricolour	三色旗
tricolour	三色的
tricolour	三色
rapidness	快
rapidness	迅速
beardless	无须的
beardless	无须
beardless	年轻的
beardless	年轻
beardless	无芒的
beardless	无芒
adiposity	肥胖
adiposity	肥胖症
adiposity	肥胖倾向
inquisitively	好问地
inquisitively	好问
semimicro	半微量的
semimicro	半微量
monogyny	一妻制
cutback	重映
cutback	剪修新芽
cutback	减少
sepiolite	海泡石
incensation	熏香
incensation	焚香
canalize	在……开运河
canalize	改造或使似运河
halling	哈林舞
halling	哈林舞曲
reductase	还原酶
musician	音乐家
unharness	解下马具
unharness	解下铠甲
unharness	解除武装
leisureliness	悠然
leisureliness	从容
souter	鞋匠
calorimetrist	量热学家
pneumolysis	肺松解术
sikkimese	锡金的
sikkimese	锡金
sikkimese	锡金人的
sikkimese	锡金人
caviare	鱼子酱
nite	=night
counterturn	相反转向
counterturn	逆转
sapphic	有沙弗风格之诗
sapphic	沙弗风格的
sapphic	沙弗风格
sapphic	沙弗诗体的
sapphic	沙弗诗体
supersystem	超系统
supersystem	超级体系
gangplough	多铧犁
gangplough	联犁
haberdasher	男子服饰经销商
haberdasher	缝纫用品商人
effeminate	柔弱的
effeminate	柔弱
effeminate	女人气的
effeminate	女人气
effeminate	娇气的
effeminate	娇气
minitrack	以无线电控制的飞弹追踪系统
frondiferous	生叶子的
frondiferous	生叶子
disinvitation	取消对……之邀请
foppery	纨绔习气
electioneeringa	竞选
electioneeringa	助选
rigger	索具装配人
rigger	机身装配员
rigger	暗中操纵者
volitient	行使意志的
volitient	行使意志
volitient	愿意的
volitient	愿意
unstructured	无社会组织的
unstructured	无社会组织
unstructured	未组织的
unstructured	未组织
avowal	声明
dreadfully	可怕地
dreadfully	可怕
dreadfully	庄严地
dreadfully	庄严
osnaburg	低支纱柳条棉布
osnaburg	粗口袋布
habitue	常客
habitue	有毒瘾的人
monandrous	一夫制的
monandrous	一夫制
monandrous	单雄蕊的
monandrous	单雄蕊
impartment	给予
impartment	告知
milkfish	遮目鱼
baronage	男爵
baronage	男爵勋位
baronage	贵族
hydrogenium	金属氢
philologist	语言学者
philologist	文献学者
chengdu	成都
bibliograph	=bibliographer
transmeridional	东西向的
transmeridional	东西向
agincourt	阿金库尔战役
pacha	高级官员
neurosensory	感觉神经的
neurosensory	感觉神经
bioluminescence	生物体之发光
increaser	增加的
increaser	增加
rayl	瑞利
hawkthorn	山楂
step	脚步
step	步幅
step	步调
step	步伐
step	步骤
step	措施
step	梯级
step	台阶
step	走
step	举步
step	移步
step	踏
step	产品数据转换规范
morass	沼泽
tallage	佃户缴的税
tallage	税
tallage	捐税
tallage	向……征税
admonitorial	=admonitory
talentless	无能的
talentless	无能
haricot	蔬菜炖羊肉
haricot	扁豆
clodpoll	笨蛋
clodpoll	呆子
positif	伴唱键盘
faerie	仙子
faerie	仙境
faerie	幻想的
faerie	幻想
faerie	仙女的
faerie	仙女
intensifier	使更激烈之物
intensifier	增强剂
propulsor	推进物
propulsor	推进器
propulsor	推进剂
immunoprecipitate	ation/`ImjJnEJpr免疫沉淀反应
etherify	使化为醚
revaluation	再评价
shagbark	胡桃树的一种
shagbark	此种树的实
mokpo	木浦
narcotism	麻醉状态
narcotism	麻醉作用
narcotism	麻醉剂成瘾
narcotism	病态性嗜睡
atheist	无神论者
morphallaxis	变形再生
kovno	=Kaunas
apraxia	运用不能症
apraxia	精神性失用症
whipstitch	锁缝
whipstitch	包缝
whipstitch	锁缝针脚
aluminon	金黄色素三甲酸
partake	分担
partake	共享
partake	共享
partake	参与
partake	带有
montmorillonite	蒙脱石
montmorillonite	胶岭石
montmorillonite	高岭石
choreograph	设计舞蹈动作
elegiast	=elegist
dagenham	达格南
hardiness	耐久力
hardiness	顽强
binder	装订工
binder	包扎者
binder	包扎工具
binder	临时契约
brooklet	细流
brooklet	小河
noshery	小吃店
noshery	快餐店
anguine	蛇的
anguine	蛇
anguine	似蛇的
anguine	似蛇
dinero	钱
triphibious	使用陆海空三军的
triphibious	使用陆海空三军
distensibility	膨胀性
distensibility	扩大性
glossology	语言学
audiometrically	听力测定地
audiometrically	听力测定
overpast	过去了的
overpast	过去了
overpast	已废除的
overpast	已废除
chess	国际象棋
duarchy	二人政治
duarchy	二头政治
taxite	斑杂岩
lasya	拉赛舞
virgo	室女宫
virgo	室女座
senator	参议员
senator	元老院议员
chlorpicrin	三氯硝基甲烷
doffer	小滚筒
doffer	落纱机
appel	灵快的踏足
appel	垫步
ultimogenitary	幼子继承制的
ultimogenitary	幼子继承制
denebola	狮子座中的第二明星
estuarial	港湾的
estuarial	港湾
desecration	亵渎神圣
desecration	污辱
chirogymnast	练指法之装置
dacian	大夏的
dacian	大夏
reinstatement	复原
reinstatement	复职
leninite	列宁主义者
kittle	难应付的
kittle	难应付
kittle	棘手的
kittle	棘手
kittle	逗笑
kittle	使高兴
fulfill	履行
fulfill	实现
fulfill	完成
rancid	象油脂腐臭味的
rancid	象油脂腐臭味
rancid	腐臭的
rancid	腐臭
bacterioid	细菌性的
bacterioid	细菌性
bacterioid	假细菌的
bacterioid	假细菌
evulsion	拔出
evulsion	连根拔去
postglacial	冰河期以后的
postglacial	冰河期以后
bitty	片断的
bitty	片断
bitty	细短的
bitty	细短
bitty	支离破碎的
bitty	支离破碎
ritualist	精通仪礼的人
ritualist	研习仪式者
penitence	悔罪
dictator	独裁者
dictator	独裁政权执政者
dictator	口授令他人笔录者
foresheet	前桅帆的帆脚索
foresheet	无盖船艇的前面座位
graecise	=Graecize
minute	分
minute	分钟
minute	片刻
minute	一瞬间
minute	备忘录
minute	笔记
minute	记录
minute	摘录
minute	测定时间
minute	微小的
minute	微小
minute	详细的
minute	详细
minute	仔细而准确的
minute	仔细而准确
ruminate	反刍
ruminate	沉思
releasable	能释放的
releasable	能释放
releasable	可免除的
releasable	可免除
woofter	=poofter
pacer	步测者
pacer	溜蹄的马
sensor	传感器
guanay	南美鸬鹚
guanay	秘鲁鸬鹚
saucily	傲慢地
saucily	傲慢
saucily	莽撞地
saucily	莽撞
precopulatory	交媾前的
precopulatory	交媾前
precopulatory	交配前的
precopulatory	交配前
unbundle	对分类定价
unkenned	不知道的
unkenned	不知道
unkenned	陌生的
unkenned	陌生
prelatise	=prelatize
protestantize	使信新教
protestantize	成为新教徒
