scholasticism	经院哲学
srv	vehicle
srv	航天营救飞行器
wheatgrass	芽草之类
unchecked	未受制止的
unchecked	未受制止
unchecked	未经检查的
unchecked	未经检查
unchecked	未加抑制的
unchecked	未加抑制
unchecked	未选中的
unchecked	未选中
kisser	接吻的人
heishe	贝壳项链
afflictive	带给人痛苦的
afflictive	带给人痛苦
afflictive	苦恼的
afflictive	苦恼
afflictive	难受的
afflictive	难受
heeltap	鞋跟上另加的皮
heeltap	残酒
uniformless	无制服的
uniformless	无制服
uniformless	不穿制服的
uniformless	不穿制服
fumigant	薰剂
lave	为沐浴
lave	洗
lave	剩余物
twittery	易兴奋的
twittery	易兴奋
twittery	爱格格地笑的
twittery	爱格格地笑
chevrolet	雪佛兰牌汽车
municipal	市政的
municipal	市政
municipal	市立的
municipal	市立
municipal	地方性的
municipal	方性
municipal	地方自治的
municipal	方自治
theistic	有神论的
theistic	有神论
quaquaversal	穹形的
quaquaversal	穹形
sarcophagi	sarcophagus的复数
except	除
except	把……除外
except	反对
except	不计
except	反对
except	除了……之外
except	若不是
except	除非
except	只是
except	要不是
chronologist	年代学者
lotos	莲属植物
lotos	埃及白睡莲
orangewood	橙木
orangewood	橙木的
orangewood	橙木
urumchi	乌鲁木齐
monostabtle	单稳态的
monostabtle	单稳态
chondrify	软骨化
chondrify	变成软骨
tellership	出纳职务
wellsian	威尔斯的
wellsian	威尔斯
wellsian	威尔斯作品的
wellsian	威尔斯作品
nervure	叶脉
nervure	翅脉
lamasery	喇嘛庙
narrative	叙述性的
narrative	叙述性
narrative	叙述
dolichocephaly	长头的人
hyperazoturia	尿氮过多
hyperazoturia	高氮尿
oversubscribe	认购超额
carbamide	尿素
aerogenic	产气的的
aerogenic	产气
grallatorial	涉水禽类的
grallatorial	涉水禽类
triglyph	三竖线花纹装饰
ruinously	毁灭地
ruinously	毁灭
ruinously	败坏地
ruinously	败坏
choriambic	长短短长格
choriambic	扬抑抑扬格
rimbaldian	兰波的
rimbaldian	兰波
potentiometer	电位计
potentiometer	分压计
glossa	舌
glossa	中唇舌
crepitate	劈劈拍拍响
spatterdock	睡莲
unambiguously	明白地
unambiguously	明白
unambiguously	不含糊地
unambiguously	不含糊
racoon	浣熊
tinct	颜色
tinct	染色
tinct	色调
tinct	色彩
tinct	着色的
tinct	着色
tinct	染色的
tinct	染色
oodm	面向对象数据模型
voom	轰
menominee	=Menomini
cienaga	沼泽
immittance	导抗
hindsight	照尺
hindsight	后见之明
hindsight	事后聪明
chetah	印度豹
pawnor	抵押人
pawnor	交当人
telepak	电话线租用群
dependable	可靠的
dependable	可靠
mbs	Mutual
mbs	Broadcasting
mbs	System
mbs	相互广播公司
pensum	罚差
officially	职务上
officially	正式
dipter	双翅目昆虫
landlubbing	只限于陆上的
landlubbing	只限于陆上
landlubbing	陆上生活
landlubbing	陆上活动
again	又
again	再次
again	此外
again	再一次
semanteme	义素
semanteme	语义成分
syringeal	鸣管的
syringeal	鸣管
syringeal	与鸣管连接的
syringeal	与鸣管连接
audiometer	听度计
dustoff	运送死伤者用的直升机
deoxyribose	去氧核醣
napped	有绒毛的
napped	有绒毛
pseudaxis	=sympodium
ambiguity	含糊
ambiguity	不明确
pud	手
pud	前脚
lexicostatistics	词汇统计学
unconstitutional	违反宪法的
unconstitutional	违反宪法
preexist	先前存在
substantial	坚固的
substantial	坚固
substantial	实质的
substantial	实质
substantial	真实的
substantial	真实
substantial	充实的
substantial	充实
mesoderm	中胚叶
oboist	双簧管吹奏者
urger	推进者
mahaleb	马哈利酸樱桃
xerophagy	严斋
telelectric	电传
thoracoplasty	胸廓成形术
neuropsychology	神经心理学
tracheobronchial	9treIkIE?brCNkIEl/
tracheobronchial	乒苤艿
hedgeshrew	田鼠
constructivist	构成主义者
janiceps	双面联胎
crizzle	变得不平
crizzle	起皱
crizzle	使……的表面不平
crizzle	使……的表面起皱
terse	简洁的
terse	简洁
terse	扼要的
terse	扼要
hornito	溶岩滴丘
hematophyte	血寄生菌
hematophyte	住血菌
sextet	六重唱曲
sextet	六重奏曲
apprehensive	有理解力的
apprehensive	有理解力
depauperation	贫穷
depauperation	萎缩
mule	骡
mule	倔强之人
mule	顽固的人
mule	杂交种动物
euphorbiaceous	大戟属植物的
euphorbiaceous	大戟属植物
euphorbiaceous	大戟胶树脂
chlorohydrin	氯乙醇
brilliance	光辉
brilliance	显赫
brilliance	鲜明
faddle	开玩笑
faddle	戏谑
richness	丰富
richness	浓烈
richness	富裕
richness	富饶
richness	华美
filelist	文件清单
curtly	简略地
curtly	简略
curtly	草率地
curtly	草率
embathe	洗
embathe	浸
nephoscope	云观测器
battlemented	有城垛的
battlemented	有城垛
pygmy	俾格米人
pygmy	矮人
pygmy	侏儒
pygmy	小妖精
pygmy	微小的
pygmy	微小
pygmy	矮人的
pygmy	矮人
boaster	自夸的人
emigrant	移居外国者
emigrant	移民
macroscale	大规模
macroscale	宏观尺度
laurelled	戴桂冠的
laurelled	戴桂冠
laurelled	获得殊荣的
laurelled	获得殊荣
holofernes	荷罗孚尼
shopkeeper	店主
edibility	适食性
edibility	可食性
horary	一小时或数小时的
horary	一小时或数小时
horary	每小时一次的
horary	每小时一次
horary	每小时的
horary	每小时
horary	以钟点计算的
horary	以钟点计算
bisulphite	亚硫酸氢盐
bisulphite	酸式亚硫酸盐
amylaceous	淀粉的
amylaceous	淀粉
amylaceous	淀粉质的
amylaceous	淀粉质
acidophilic	嗜酸的
acidophilic	嗜酸
whitey	白人社会
ferritic	以铁酸盐为主要成分的
ferritic	以铁酸盐为主要成分
extensometer	伸长计
extensometer	变形测定器
paleontology	古生物学
oxytetracycline	土霉素
oxytetracycline	氧四环素
oxytetracycline	地霉素
sporty	像运动家的
sporty	像运动家
sporty	直爽的
sporty	直爽
unknowingly	不知不觉地
unknowingly	不知不觉
motorola	摩托罗拉公司
underearth	底黏土
sanguivorous	食血的
sanguivorous	食血
sanguivorous	吸血的
sanguivorous	吸血
galling	使烦恼的
galling	使烦恼
galling	难堪的
galling	难堪
galling	使焦躁的
galling	使焦躁
balsa	一种轻质木材
balsa	筏
young	年轻的
young	年轻
young	年纪小的
young	年纪小
young	没有经验的
young	没有经验
young	尚早的
young	尚早
young	初期的
young	初期
young	崽
young	仔
psec	picosecond
hellenism	希腊文化
hellenism	希腊精神
hellenism	希腊风格
thyroxin	甲状腺素
thyroxin	甲状腺氨酸
estrual	=estrous
wayside	路旁
wayside	路旁的
wayside	路旁
dictyostele	网状中柱
sheikhdom	酋长统辖之领土
sheikhdom	酋长国
tremolant	震音的
tremolant	震音
playpen	婴儿用围栏
numeric	数字的
numeric	数字
noc	Network
noc	Operations
noc	Center
noc	网络操作中心
borohydride	硼氢化物
occasion	场合
occasion	时机
occasion	机会
pyrogallic	焦棓酸的
pyrogallic	焦棓酸
systemize	组织起来
systemize	系统化
bulginess	凸面木杆
shicker	醉的
shicker	醉
antinomy	自相矛盾
sepulchre	坟墓
bema	高座
bema	讲坛
perorate	下结论
perorate	冗长地谈论
turbocopter	涡轮直升机
ebullioscope	沸点测定器
ebullioscope	酒精测量器
ingram	英格拉姆
excurrent	流出的
excurrent	流出
excurrent	流出性的
excurrent	流出性
excurrent	一支干的
excurrent	一支干
excurrent	贯顶的
excurrent	贯顶
spelunk	洞穴探险
spelunk	洞穴研究
constructor	构造器
putridly	有害地
putridly	有害
putridly	糟透地
putridly	糟透
arranged	安排
arranged	准备
arranged	计划
seakeeping	经得起海上风浪的
seakeeping	经得起海上风浪
arthrosis	关节
arthrosis	关节病
houseful	满屋
houseful	一屋子
isadora	伊莎多拉
logjam	受圆木阻塞
logjam	停滞状态
logjam	僵局
impersonative	扮演的
impersonative	扮演
brinkmanship	边缘政策
nares	鼻孔
tetrarchate	四分之一领地的统治者
tetrarchate	四头统治
hove	heave的过去式和过去分词
forsooth	确实
forsooth	的确
forsooth	真的
forsooth	真
palmtop	掌上型电脑
jovially	愉快地
jovially	愉快
jovially	高兴地
jovially	高兴
jowly	下颚宽厚的
jowly	下颚宽厚
jowly	有双下巴的
jowly	有双下巴
klunk	=clunk
spontaneousness	自然
spontaneousness	任意
leadless	无铅的
leadless	无铅
leadless	不含四乙铅的
leadless	不含四乙铅
backslapper	过分表示亲密友好的人
melamine	三聚氰胺
barnacle	一种北极鹅
barnacle	藤壶
barnacle	难以摆脱的人
consumingly	强烈地
consumingly	强烈
japanologist	日本学学者
japanologist	日本问题专家
advisable	可取的
advisable	可取
advisable	明智的
advisable	明智
sublimity	崇高
sublimity	庄严
sublimity	气质高尚
bumbo	羼入糖酒的
bumbo	羼入糖酒
ballroomology	交际舞术
fso	Foreign
fso	Service
fso	Officer外事官员
tumbledown	摇摇欲坠的
tumbledown	摇摇欲坠
volitional	意志的
volitional	意志
volitional	凭意志的
volitional	凭意志
zingaro	吉普赛人
niger	尼日尔
snobism	势利的性格与行为
snobism	势利
waken	醒来
waken	唤醒
prandial	膳食的
prandial	膳食
prandial	正餐的
prandial	正餐
taata	爸爸
galvanoscopic	电流检查器的
galvanoscopic	电流检查器
printmaker	版画复制匠
eroticism	色情
eroticism	性爱倾向
eroticism	性的兴奋
eroticism	性欲亢进
mythology	神话
glassware	玻璃器具类
turku	土尔库
bereaved	丧失的
bereaved	丧失
looey	中尉
looey	少尉
psychopharmacologist	`psaIkEJ9fBfB:mE`kClEdVIst/:
psychopharmacologist	mE`kClEdVI/
psychopharmacologist	緉
psychopharmacologist	精神
psychopharmacologist	药理学
wicketkeeper	三柱门的防守员
wicketkeeper	捕手
gooey	胶粘的
gooey	胶粘
gooey	感伤的
gooey	感伤
gooey	胶粘物
gooey	蜜糖
paraesthesia	=paresthesia
diplobacillus	双杆菌
protuberant	突起的
protuberant	突起
protuberant	凸出的
protuberant	凸出
protuberant	隆起的
protuberant	隆起
disbelievingly	怀疑地
disbelievingly	怀疑
disbelievingly	不信相地
disbelievingly	不信相
kingliness	国王
kingliness	君主
kingliness	君王的威严
incomparable	无与伦比的
incomparable	无与伦比
incomparable	不能比较的
incomparable	不能比较
rainmaking	借人工方法或法术造雨
semifossil	半化石的
semifossil	半化石
semifossil	半石化的
semifossil	半石化
olim	欧列姆
mds	Master
mds	of
mds	Dental
mds	Surgery
mds	牙科硕士
entoproct	内肛动物
larynges	larynx的复数
vasiform	管形的
vasiform	管形
vasiform	瓶形的
vasiform	瓶形
fruitful	果实结得多的
fruitful	果实结得多
fruitful	多产的
fruitful	多产
fruitful	富有成效的
fruitful	富有成效
senegalese	塞内加尔人的
senegalese	塞内加尔人
kasha	荞麦粥
kasha	麦粥
kasha	麦糊
recreational	休养的
recreational	休养
recreational	娱乐的
recreational	娱乐
spekboom	马齿苋树
heatedly	加热地
heatedly	加热
heatedly	激昂地
heatedly	激昂
septiform	=sevenfold
atacama	Desert阿塔卡马沙漠
franglais	英语外来语
phormium	新西兰麻
kinesic	身势语的
kinesic	身势语
kinesic	身势学的
kinesic	身势学
slippery	滑的
slippery	滑
slippery	光滑的
slippery	光滑
tyburn	泰伯恩行刑场
gregorian	罗马教皇
gregorian	Gregory
nephrosis	肾变病
nephrosis	肾病
everywhen	时常地
everywhen	时常
everywhen	时时地
everywhen	时时
hemostasia	止血
hemostasia	止血法
micromechanism	微观结构
guam	关岛
swingletree	马车前端的横木
obi	宽腰带
tantalizingly	……得令人着急
tantalizingly	……到令人着急的程度
rapporteur	大会报告起草人
buluwayo	=Bulawayo
downstair	楼下的
downstair	楼下
righteous	正直的
righteous	正直
righteous	正当的
righteous	正当
righteous	正义的
righteous	正义
voip	Voice
voip	Over
voip	Internet
voip	Protocol
voip	IP语音
compotier	高脚果盘
compotier	高脚果碟
bursary	库房
bursary	金库
bursary	奖学金
barratrous	教唆诉讼的
barratrous	教唆诉讼
cyo	Catholic
cyo	Youth
cyo	Organization
cyo	天主教青年组织
ambrotype	旧式照相
demobitis	复员躁狂症
feldsher	外科医生的助手
feldsher	军医
grubby	生蛆的
grubby	生蛆
grubby	污秽的
grubby	污秽
grubby	邋遢的
grubby	邋遢
grubby	卑鄙
oxygenize	使氧化
interisland	岛与岛之间的
interisland	岛与岛之间
interisland	岛际的
interisland	岛际
barbitone	巴比妥
liberationist	解放论的
liberationist	解放论
dysbarism	气压病
irreal	不真实的
irreal	不真实
irreal	虚构的
irreal	虚构
avenging	报仇的
avenging	报仇
avenging	复仇的
avenging	复仇
picnometer	=pycnometer
hod	灰浆桶
commonly	普通地
commonly	普通
commonly	一般地
commonly	一般
gamahuche	用口舌玩弄性器官
altimeter	高度计
whity	发白的
whity	发白
dryfoot	不湿脚地
dryfoot	不湿脚
waxberry	杨梅
waxberry	杨梅果
dar	Daughters
dar	of
dar	the
dar	American
dar	Revolution
syphon	弯管
syphon	吸水管
whosever	pro
whosever	无论是谁的东西
whosever	无论是谁的
whosever	无论是谁
zythepsary	酿造所
oceanian	大洋洲的
oceanian	大洋洲
squirelet	小地主
squirelet	小乡绅
ichnographic	平面图的
ichnographic	平面图
ichnographic	平面图法的
ichnographic	平面图法
rabbit	兔
rabbit	野兔
happenstance	偶然事件
happenstance	意外事件
nondirectional	无方向的
nondirectional	无方向
nondirectional	适合各方向的
nondirectional	适合各方向
ypsce	Young
ypsce	People''s
ypsce	Society
ypsce	of
ypsce	Christian
ypsce	Endeavor基督教青年励志会
subscribe	捐款
subscribe	订阅
subscribe	签署
subscribe	赞成
subscribe	预订
radii	半径
buddhistic	佛陀的
buddhistic	佛陀
buddhistic	佛教的
buddhistic	佛教
warfare	战争
warfare	作战
warfare	冲突
warfare	竞争
nonconformance	不信奉国教
nonconformance	不顺从
isotone	同中子异荷素
isotone	等中子素
incompact	松散的
incompact	松散
exceedingly	非常地
exceedingly	非常
exceedingly	极度地
exceedingly	极度
subround	接近圆形的
subround	接近圆形
mute	哑巴
mute	哑音字母
mute	拒不答辩的被告
mute	弱音器
mute	哑的
mute	哑
mute	无声的
mute	无声
mute	沉默的
mute	沉默
mute	减弱……的声音
mute	排泄
cellarman	餐馆或饭店中管理藏酒的店员
uta	Union
uta	des
uta	Transports
uta	Aeriens联合航空运输公司
paramountship	=paramountcy
disciple	信徒
disciple	弟子
disciple	门徒
aerobomb	由飞机投下的炸弹
nudist	裸体主义者
nudist	裸体主义的
nudist	裸体主义
nudist	裸体主义者的
nudist	裸体主义者
undeserved	不应得的
undeserved	不应
undeserved	不该受的
undeserved	不该受
undeserved	冤枉的
undeserved	冤枉
obliquitous	倾斜的
obliquitous	倾斜
obliquitous	曲折的
obliquitous	曲折
obliquitous	转弯抹角的
obliquitous	转弯抹角
obliquitous	间接的
obliquitous	间接
osteopathic	整骨疗法的
osteopathic	整骨疗法
vent	通风孔
vent	出烟孔
vent	出口
vent	发泄
vent	放出
vent	排出
vent	发泄
pemba	奔巴岛
nonchalance	冷淡
pip	果仁
pip	种子
pip	牌点
pip	Product
pip	Improvement
pip	Program
pip	产品改进计划
fingering	用指摸弄
fingering	抚弄
fingering	捻弄
fingering	用指弹奏
fingering	指法符号
fingering	细绒线
polacre	商船
anticipant	预期者
anticipant	预言者
anticipant	期望的
anticipant	期望
pointelle	网眼织物
diversiform	多种的
diversiform	多种
diversiform	各色各样的
diversiform	各色各样
diversiform	多样的
diversiform	多样
eucalyptole	桉树脑
eucalyptole	桉油精
twitteration	颤抖
twitteration	紧张
rostriform	喙形的
rostriform	喙形
rostriform	嘴状的
rostriform	嘴状
wagtail	一种鸟
entitled	有资格的
entitled	有资格
champ	使劲地嚼
champ	焦急
agone	以前的
agone	以前
agone	过去的
agone	过去
agone	以前地
agone	以前
chiasma	交叉
backside	背后
backside	背部
backside	后方
convive	共桌用餐的人
magnistor	磁变图
magnistor	磁开关
mistily	有雾地
mistily	有雾
mistily	朦胧地
mistily	朦胧
mistily	不清楚地
mistily	不清楚
overintricate	过于错综复杂的
overintricate	过于错综复杂
pedder	小贩
theopneustic	圣灵感召的
theopneustic	圣灵感召
theopneustic	神感召的
theopneustic	神感召
compendiously	摘要地
compendiously	摘要
compendiously	简洁地
compendiously	简洁
claudine	克劳丁
allantoin	尿囊素
thinkable	能想到的
thinkable	能想到
thinkable	可相信的
thinkable	可相信
elution	洗提
encystation	成囊
encystation	胞囊形成
aeger	疾病证明书
cyanogen	氰
eventide	黄昏
eventide	日暮
ruthlessness	无情
ruthlessness	冷酷
delocalise	=delocalize
brushstroke	一笔
brushstroke	一画
brushstroke	绘画的技巧
glacier	冰河
mollweide	projection
mollweide	摩尔魏特投影
barretry	=barratry
laverne	拉维恩
witwatersrand	威特沃特斯兰德
unfestive	非节日的
unfestive	非节日
unfestive	不像节日的
unfestive	不像节日
unfestive	不欢乐的
unfestive	不欢乐
farina	谷粉
farina	粉末
farina	淀粉
farina	花粉
fakelore	伪民俗
lararium	家神的神龛
residentura	驻外组
turbellarian	涡虫
locoman	铁路工人
locoman	火车司机
litter	垃圾
litter	窝
litter	轿
litter	担架
litter	乱丢
litter	铺草
litter	弄乱
litter	产仔
litter	乱丢垃圾
evaluator	求值程序
whyfor	理由
whyfor	原因
crocus	番红花属
crocus	番红花
crocus	磨粉
blacktown	黑人聚居区
timeserver	趋炎附势者
timeserver	随波逐流者
premillennial	千禧年前的
premillennial	千禧年前
blastous	胚的
blastous	胚
blastous	芽的
blastous	芽
ligation	结扎
ligation	绑
subinfeudate	分封
thummim	土明
trionym	三字名
aleconner	酒类检查官
binturong	熊狸
dogfall	平局
normalizer	标准化者
normalizer	正规化者
tutorship	家庭教师
tutorship	辅导
positron	正电子
evening	傍晚
evening	晚间
evening	后期
evening	晚会
bari	巴里
camembert	法国
camembert	Camembert
camembert	村所产的软质乳酪
pup	小狗
pup	幼畜
pup	自负的傻小子
pup	生小狗
brioni	布里俄尼群岛
uninterruptedly	不间断地
uninterruptedly	不间断
uninterruptedly	连续地
uninterruptedly	连续
taylor	泰勒
markedly	显著地
markedly	显著
markedly	明显地
markedly	明显
kab	出租车
forestaysail	前支索的三角帆
innigkeit	诚恳热烈
innigkeit	感情深度
forensic	法院的
forensic	法院
forensic	适于法庭的
forensic	适于法庭
forensic	公开辩论的
forensic	公开辩论
forensic	辩论术
index	索引
index	指数
index	指标
index	指针
index	编入索引中
index	指出
index	做索引
warmonger	好战者
warmonger	主战论者
georgia	乔治亚州
intimism	喜欢描写个人情感的画家
intimism	描绘内心感情的诗人
footpace	一般的步伐
footpace	高台
strapped	用皮带装饰的
strapped	用皮带装饰
strapped	用皮绳捆住的
strapped	用皮绳捆住
strapped	身无分文的
strapped	身无分文
pointedly	尖锐地
pointedly	尖锐
pointedly	指向地
pointedly	指向
flowerpot	花盆
flowerpot	花钵
sharebroker	股票经纪人
gouty	痛风的
gouty	痛风
gouty	易患痛风的
gouty	易患痛风
gouty	患了痛风的
gouty	患了痛风
calcinosis	钙质沉着
redia	雷迪幼虫
redia	雷蚴
hechima	丝瓜
viewport	视口
recipient	容易接受的
recipient	容易接受
recipient	感受性强的
recipient	感受性强
recipient	容纳者
recipient	容器
relevancy	关联
relevancy	恰当
relevancy	关联事物
relevancy	切题的话
corset	束腹
corset	妇女的胸衣
ius	International
ius	Union
ius	of
ius	Students
ius	国际学生联合会
outbreed	使远系繁殖
chlamydia	衣原体
greenness	绿色
greenness	未熟
greenness	新鲜
reperuse	重新细读
indecisively	优柔寡断地
indecisively	优柔寡断
arcane	神秘的
arcane	神秘
arcane	不可思议的
arcane	不可思议
glebe	土
glebe	旱田
glebe	土地
glebe	土
yours	pro
yours	你的
yours	你
yours	你们的
yours	你们
conniption	歇斯底里
caecitis	盲肠炎
ansi	American
ansi	National
ansi	Standard
ansi	Institute
ansi	美国国家标准委员会
fireflaught	片状闪电
fireflaught	北极光
defroster	除冰装置
pisco	皮斯科白兰地
pisco	皮斯科白兰
achromatin	非染色质
newspeople	记者
ami	男朋友
ami	爱人
cage	笼
cage	槛
cage	贯笼
electrodynamic	IlektrEJdaI5nAmIk/
electrodynamic	电力学的//mIks/
electrodynamic	电气力学
hematoma	血肿
unprovoked	非因触犯而发生的
unprovoked	非因触犯而发生
unprovoked	无缘无故的
unprovoked	无缘无故
arabic	阿拉伯的
arabic	阿拉伯
hammertoe	槌状趾
chemosmosis	化学渗透作用
chemosmosis	化学渗透现象
overlade	使装载过多
overlade	使超载
overlade	使负担过重
southernization	南方化
unheeded	未被注意的
unheeded	未被注意
unheeded	被忽视的
unheeded	被忽视
gymnospermous	裸子植物的
gymnospermous	裸子植物
paita	派塔
kirin	见
kirin	jilin
kirin	麒麟
seeland	=Zealand
drugmaker	制药者
huanaco	=guanaco
goonery	戆剧演员式的滑稽
bantering	嘲弄的
bantering	嘲弄
streetwalker	拉客妓女
sluggish	行动迟缓的
sluggish	行动迟缓
blank	空白的
blank	空白
blank	空着的
blank	空着
blank	失色的
blank	失色
blank	没有表情的
blank	没有表情
blank	空白
blank	表格
xanadu	华厦
xanadu	行宫
xanadu	世外桃源
horsenapping	盗马
senility	高龄
senility	老迈年高
senility	老态龙钟
catskinner	曳引机驾驶员
kamala	粗糠柴
aegis	羊皮盾
aegis	保护
aegis	庇护
aegis	支持
pentail	食虫小松鼠
jollier	讨别人开心的人
jollier	马屁精
taradiddle	谎话
taradiddle	大话
taradiddle	废话
casease	分解干酪素和蛋白质的酵素
casease	用于制造干酪
milesimo	米莱西莫
syntonize	使共振
syntonize	使谐振
venerability	尊敬
venerability	神圣
gullibility	易受骗
gullibility	易上当
gullibility	轻信
lamellated	有薄片的
lamellated	有薄片
lamellated	薄片形的
lamellated	薄片形
noodlehead	笨蛋
noodlehead	傻瓜
spinney	灌木林
spinney	矮林
nondenominational	不限于一宗教宗派的
nondenominational	不限于一宗教宗派
nondenominational	与宗教宗派无关的
nondenominational	与宗教宗派无关
taliacotian	达利阿果齐氏的
taliacotian	达利阿果齐氏
taliacotian	意大利式人工鼻成形术的
taliacotian	意大利式人工鼻成形术
asterixis	无保持固定姿势之能力
robotnik	盲目从命的人
robotnik	机器人
rheology	流变学
rheology	流变能力
seismology	地震学
answerer	回答者
answerer	解答者
answerer	答辩者
fowler	捕野禽者
pori	波里
technologize	使技术化
technologize	使工艺化
technologize	技术化
technologize	工艺化
heterosexism	异性恋主义
heterosexism	异性恋者对同性恋者的歧视
diaphoresis	发汗
registral	保存在登记处的
registral	保存在登记处
registral	注册确认的
registral	注册确认
fress	大吃的
fress	大吃
growly	咆哮的
growly	咆哮
growly	轰隆的
growly	轰隆
growly	似咆哮声的
growly	似咆哮声
hulk	笨重的船
hulk	废船
gender	性
gender	性别
gender	性
gender	性交
ectally	表面地
ectally	表面
ectally	外侧地
ectally	外侧
pullback	撤退
pullback	拉回
pullback	障碍物
rupiah	印尼的货币单位
rupiah	卢比
overate	overeat的过去式
intervein	使布满脉络
intervein	交错
unanalysable	不可分析的
unanalysable	不可分析
unanalysable	不可解析的
unanalysable	不可解析
chafe	擦热
