ovulatory	排卵
revoke	宣告无效
revoke	有牌不跟
astm	American
astm	Society
astm	of
astm	Testing
astm	Materials
astm	美国材料实验协会
astm	American
astm	Society
astm	for
astm	Testing
astm	Materials
astm	美中试验材料协会
rerecord	再录音
malines	马林丝纱罗
unwillingly	不愿意地
unwillingly	不愿意
unwillingly	不情愿地
unwillingly	不情愿
bushhammer	石工锤
dasd	direct
dasd	access
dasd	storage
dasd	device
dasd	or
dasd	devices
dasd	直接访问存储设备
abstractionist	抽象派艺术家
justina	贾丝廷娜
mitsvah	=mitzvah
panetella	一端尖削的细长雪茄
antillean	安替列群岛
lyssic	狂犬病的
lyssic	狂犬病
lyssic	恐水病的
lyssic	恐水病
immovably	固定不动地
immovably	固定不动
immovably	确定地
immovably	确定
shankpiece	弓形垫
mobilisation	动员
mobilisation	运用
wormless	无蠕虫的
wormless	无蠕虫
wormless	无蛀虫的
wormless	无蛀虫
wormless	无寄生虫的
wormless	无寄生虫
perhaps	或许
perhaps	多半
crutched	用拐杖支持的
crutched	用拐杖支持
crutched	有丁字形柄的
crutched	有丁字形柄
crutched	有支柱的
crutched	有支柱
microbar	微巴
microbar	百万分之一巴
spiritual	精神上的
spiritual	精神上
reedling	一种长尾小鸟
naked	裸体的
naked	裸体
naked	无遮盖的
naked	无遮盖
naked	无装饰的
naked	无装饰
naked	无保护的
naked	无保护
naked	无证据的
naked	无证据
naked	未证实的
naked	未证实
undeclared	未申报的
undeclared	未申报
undeclared	未经宣战的
undeclared	未经宣战
spacial	空间的
spacial	空间
spacial	存在于空间的
spacial	存在于空间
shenyang	沈阳市
skewbald	花斑的
skewbald	花斑
sequestrable	可扣押的
sequestrable	可扣押
sequestrable	可没收的
sequestrable	可没收
hypnotise	=hypnotize
blouse	宽松的上衣
blouse	似衬衫的上衣
impatiently	无耐性地
impatiently	无耐性
demulsibility	反乳化性
demulsibility	反乳化率
anthracoid	似炭痈的
anthracoid	似炭痈
anthracoid	似痈的
anthracoid	似痈
anthracoid	痈状的
anthracoid	痈状
lintel	楣
lintel	过梁
holograph	亲笔文件
holograph	全息图
calgon	加尔贡硬水软化剂
sightline	视线
supercomputer	超型计算机
fracturation	岩层断裂
mpx	multiplex
raddled	糊涂的
raddled	糊涂
lead	领导
lead	引导
lead	致使
lead	领导
lead	铅陲
lead	石墨
lead	铅笔芯
aganglionic	无神经节细胞的
aganglionic	无神经节细胞
openness	宽阔
openness	公开
courteous	有礼貌的
courteous	有礼貌
courteous	谦恭的
courteous	谦恭
heptane	庚烷
beget	招致
beget	产生
beget	引起
whiteness	白
whiteness	洁白
gilbertine	吉尔伯丁
remus	瑞摩斯
meson	介子
burial	埋葬
balm	香油
balm	香膏
balm	安慰物
yotization	音化
allhallows	诸圣日
deemphasis	降低重要性
refrigerant	制冷的
refrigerant	制冷
refrigerant	制冷剂
shelton	谢尔顿
discriminating	/
discriminating	有辨别力/
discriminating	识别的
discriminating	识别
discriminating	有差地
discriminating	有差
discriminating	有差别地
discriminating	有差别
discriminating	区别别的
discriminating	区别别
discriminating	有识别力的
discriminating	有识别力
silencer	使沉默者
silencer	消音器
silencer	灭音器
meeting	会议
meeting	集会
meeting	会见
meeting	会战
meeting	汇合点
morcha	反政府示威
multilayer	多层
wrathful	愤怒的
wrathful	愤怒
wrathful	激怒的
wrathful	激怒
exhibitive	起显示作用的
exhibitive	起显示作用
exhibitive	供展览的
exhibitive	供展览
inhomogeneity	不同类
inhomogeneity	不同族
inhomogeneity	不均一
maximate	使增加到最大限度
lxx	罗马数字
lxx	70
gorgonzola	干酪的一种
phraseological	措辞上的
phraseological	措辞上
phraseological	语法上的
phraseological	语法上
astragalomancy	用小骨所作之占卜
costarican	哥斯达黎加人
costarican	哥斯达黎加的
costarican	哥斯达黎加
intermixable	可混杂的
intermixable	可混杂
vola	手掌
vola	足底
regardlessness	不顾一切
regardlessness	不重视
immaterial	非实质的
immaterial	非实质
turbulent	狂暴的
turbulent	狂暴
turbulent	吵闹的
turbulent	吵闹
rurigenous	乡下出生的
rurigenous	乡下出生
rurigenous	住在乡下的
rurigenous	住在乡下
achene	瘦果
beaty	摇摆的
beaty	摇摆
holometabolism	完全变态
holometabolism	全变形
production	生产
production	产品
production	作品
production	成果
limehouse	莱姆豪斯
carriable	可携带的
carriable	可携带
fb	fullback
refrangible	折射性的
refrangible	折射性
refrangible	可折射的
refrangible	可折射
annatto	胭脂树
annatto	从其果实采取的黄红色染料
pregalactic	星系形成前的
pregalactic	星系形成前
hypoglottis	舌下部
hypoglottis	舌下囊肿
ceq	Council
ceq	on
ceq	Environmental
ceq	Quality
ceq	改善环境质量委员会
feudalism	灭亡
banffshire	班夫郡
senesce	开始衰老
thomist	托马斯主义者
thomist	托马斯主义的
thomist	托马斯主义
mineralogical	矿物学的
mineralogical	矿物学
iminourea	=guanidine
priorship	隐修院院长的职位
zooparasite	寄生动物
supremum	上确界
lumbersome	沉重的
lumbersome	沉重
hankeringly	渴望地
hankeringly	渴望
buganda	布干达
medfly	=Mediterranean
medfly	fruitfly
enatic	母系的
enatic	母系
wintriness	如冬天的寒冷
wintriness	冷淡
growthmanship	经济发展政策
weighhouse	货物重量检验所
weighhouse	过磅处
oversing	唱得太响
oversing	做作地唱
fever	发烧
fever	发热
fever	热病
fever	狂热
fever	高度兴奋
fever	狂热
jordan	约旦
jordan	约旦河
diurnally	白天活动地
diurnally	白天活动
unappalled	不惊恐的
unappalled	不惊恐
unappalled	不胆怯的
unappalled	不胆怯
unappalled	无畏的
unappalled	无畏
unappalled	大胆的
unappalled	大胆
xanthinuria	黄嘌呤尿
fangle	新发明
fangle	新款式
fangle	新鲜事物
unfermentable	不可发酵的
unfermentable	不可发酵
distil	蒸馏
distil	提取…………的精华
otf	On
otf	The
otf	Fly
otf	飞速刻录
fieldpiece	野战炮
horah	=hora
meningitis	脑膜炎
orpine	景天
assumable	可假定的
assumable	可假定
could	can
could	的过去式
cunabula	摇篮
cunabula	最早之居所
stupendously	惊人地
stupendously	惊人
stupendously	巨大地
stupendously	巨大
fulfil	实践
fulfil	履行
fulfil	实行
fulfil	结束
fulfil	满足
fulfil	完成
fulfil	达到
dynam	dynamics
dynam	力学
dynam	动力学
squamule	小鳞片
generically	一般地
generically	一般
joyrider	驾车兜风的人
limnic	湖泊的
limnic	湖泊
limnic	湖沼的
limnic	湖沼
limnic	湖栖的
limnic	湖栖
eulogy	赞词
eulogy	颂词
eulogy	歌功颂德的话
evidently	明显地
evidently	明显
evidently	显然
quicken	加快
quicken	鼓舞
quicken	刺激
quicken	生长
quicken	加速
procure	获得
procure	获
procure	取得
procure	取
jadder	石匠
parapraxis	动作倒错
helibus	大都市中作交通工具的直升机
epipelagic	光合作用带的
epipelagic	光合作用带
epipelagic	上层的
epipelagic	上层
eurythermal	广温性的
eurythermal	广温性
tintype	锡版照相法
cervix	颈部
cervix	子宫颈
timberyard	板院
timberyard	贮木场
irate	生气
irate	发怒的
irate	发怒
rickettsia	发疹伤寒等的病原体
eccaleobion	人工孵卵器
redneck	乡下人
redneck	农人
achieve	完成
achieve	达到
liverish	患肝病的
liverish	患肝病
liverish	坏脾气的
liverish	坏脾气
adenosis	腺病
danny	丹尼
brownian	苏格兰的植物学家Robert
brownian	Brown
adrenalectomy	肾上腺切除术
pith	木髓
pith	骨髓
pith	重要部分
pith	核心
pith	意义
pith	精华
pith	精力
pith	除去木髓
pith	杀死
damningly	定罪地
damningly	定罪
damningly	导致定罪地
damningly	导致定罪
mephenesin	麦酚生
mephenesin	甲酚甘油醚
mephenesin	甲苯丙醇
superimposition	叠印
maledictory	诅咒的
maledictory	诅咒
maledictory	坏话的
maledictory	坏话
milady	夫人
milady	时髦妇女
baal	巴力
baal	邪神
baal	偶像
noegenetic	知识产生过程的
noegenetic	知识产生过程
keratopathy	角膜病
productive	生产性的
productive	生产性
productive	生产的
productive	生产
productive	能产的
productive	能产
productive	多产的
productive	多产
englacial	冰川内部的
englacial	冰川内部
pollinate	对……授粉
heteroptics	幻视
heteroptics	视觉颠错
lorry	卡车
lorry	铁路货车
skald	古代斯堪地纳维亚的吟唱诗人
teltex	智能用户电报
teltex	数字电报
skimboard	浅水滑水板
skimboard	浅水冲浪板
fogram	过时的人
fogram	守旧的人
phagomania	贪食癖
pissed	愤怒的
pissed	愤怒
pissed	醉的
pissed	醉
fluoroscopy	荧光透视法
fluoroscopy	荧光镜试验
poliomyelitis	小儿麻痹症
poliomyelitis	急性骨髓灰白质炎
buzzer	嗡嗡作声的东西
buzzer	蜂鸣器
buzzer	信号手
hut	小屋
hut	棚屋
noncancelability	不能取消
butyraldehyde	丁醛
bezique	一种纸牌戏
sociably	和蔼可亲地
sociably	和蔼可亲
sociably	善于应酬地
sociably	善于应酬
jambi	=Djambi
prowl	巡游
desktop	桌面
desktop	台式的
desktop	台式
ipc	interprocess
ipc	communication
ipc	进程间通信
trailable	可放在拖车上载运的
trailable	可放在拖车上载运
drugster	惯用麻醉药者
drugster	吸毒者
ovation	热烈欢迎
ovation	大喝采
ovation	大受欢迎
ovation	欢呼
semaphoric	信号表示的
semaphoric	信号表示
margin	页边的空白
margin	富余
margin	加边于
margin	加旁注于
thinclad	赛跑运动员
thinclad	田径运动队队员
pleb	平民
pleb	庶民
myelocyte	髓细胞
myelocyte	中幼粒细胞
plink	发出叮玲声
plink	叮玲声
diapause	滞育
diapause	间歇期
tervueren	特武伦牧羊犬
zingiber	姜
gymnorhinal	鼻孔裸露的
gymnorhinal	鼻孔裸露
scatophagous	食粪的
scatophagous	食粪
monometallic	使用单金属的
monometallic	使用单金属
monometallic	单本位制的
monometallic	单本位制
fusibility	熔性
fusibility	熔度
forecourt	前院
forecourt	球
pondage	贮水量
ultimatistic	极端主义的
ultimatistic	极端主义
milko	=milkman
enchase	镶嵌
enchase	雕刻
enchase	镂刻
ramazan	=Ramadan
interlaminate	把……插于层间
interlaminate	间层敷放
plate	盘子
plate	金属板
plate	图版
plate	金银餐具
plate	镀
plate	电镀
plate	给……装钢板
fluoric	氟石的
fluoric	氟石
fluoric	从氟石获得的
fluoric	从氟石获
fluoric	氟素性的
fluoric	氟素性
spirituality	精神性
spirituality	灵性
erythroblastosis	骨髓成红血细胞增多症
anthracnose	炭疽病
perpetuation	永存
perpetuation	不朽
sappy	树液多的
sappy	树液多
sappy	精力充沛的
sappy	精力充沛
kakotopia	坎坷邦
antimycin	A
antimycin	抗霉素A
cytoclasis	细胞坏死
minivan	小型货车
rectenna	硅整流二极管天线
normocytic	正常红血球的
normocytic	正常红血球
equipollent	力量相等的
equipollent	力量相等
equipollent	价值相等的
equipollent	价值相等
equipollent	在意的
equipollent	在意
sis	妹妹
sis	姐姐
nordstrandite	诺三水铝石
sextans	六分仪座
oilcloth	油布
piquet	一种牌戏
devious	偏僻的
devious	偏僻
devious	迂回的
devious	迂回
devious	曲折的
devious	曲折
washman	男洗衣工
brattish	讨厌的
brattish	讨厌
brattish	被惯坏的
brattish	被惯坏
brattish	幼稚的
brattish	幼稚
brattish	无礼的
brattish	无礼
economise	=economize
realtor	房地产经纪人
rodlet	小棒
discriminance	辨别法
discriminance	判别法
ecbolic	催生的
ecbolic	催生
ecbolic	使流产的
ecbolic	使流产
ecbolic	催产剂
gulp	吞
gulp	一口吞
gulp	忍住
gulp	抑制
gulp	吞咽
gulp	吞咽
woodside	树林的边缘
woodside	邻接树林的农村
hexachlorocyclohexane	六氯环己烷
hexachlorocyclohexane	六氯化苯
hexachlorocyclohexane	六六六
portrayer	肖像画家
contradistinguish	对照
aforecited	上述的
aforecited	上述
aforecited	前列的
aforecited	前列
tum	当的一声
tum	空的
tum	空
tum	内中无物的
tum	内中无物
synthesis	综合
synthesis	合成
romantism	=romanticism
lognitudinal'	NULL)
saccharate	糖酸盐
venetian	威尼斯的
venetian	威尼斯
venetian	威尼斯人
eloquent	雄辩的
eloquent	雄辩
eloquent	有口才的
eloquent	有口才
eloquent	动人的
eloquent	动人
eloquent	意味深长的
eloquent	意味深长
raff	大量
raff	一大堆
nifelheim	=Niflheim
pruritus	搔痒症
dey	总督
kana	假名
decomposition	分解
decomposition	腐烂
innuit	伊努伊特族
innuit	伊努伊特人
iraqi	伊拉克的
iraqi	伊拉克
iraqi	伊拉克人
mawger	瘦的
mawger	瘦
nuphar	黄睡莲
hiccup	打嗝
hiccup	打嗝
ergot	麦角症
ergot	麦角
ergot	麦角碱
hefei	合肥
supersaturation	过度饱和
peahen	雌孔雀
phytotoxicant	危害植物的毒素
spirolactone	螺甾内酯
extralimital	在某地区没有的
extralimital	在某地区没有
dbh	diameter
dbh	at
dbh	breast
dbh	height
dbh	胸高直径
bugle	喇叭
bugle	军号
boundary	边界
boundary	分界线
tunicle	短祭袍
adrenocorticosteroid	肾上腺皮质甾类
adrenocorticosteroid	肾上腺皮质类固醇
supersede	代替
supersede	取代
supersede	接替
supersede	紧接着……而到来
supersede	延期
supersede	推迟行动
pps	pulses
pps	per
pps	second脉冲/秒
pps	peripheral
pps	power
pps	supply
pps	外围电源
cognisance	=cognizance
drippage	滴落
drippage	滴聚之水
flakiness	成薄片
flakiness	片状
celia	希丽亚
celia	女子名
celia	Celia
celia	西莉亚
resurrectionary	复活的
resurrectionary	复活
resurrectionary	复兴的
resurrectionary	复兴
lineal	直系的
lineal	直系
lineal	正统的
lineal	正统
pectose	重合果胶
centesimo	意大利钱币名
centesimo	巴拿马及乌拉圭之钱币名
insupportableness	不能忍受
foh	=faugh
magisterium	教权
reasonedly	详尽论述地
reasonedly	详尽论述
reasonedly	理由充分地
reasonedly	理由充分
examinate	受验查者
examinate	应讯者
epiphytology	植物流行病学
epiphytology	植物流行病消长因素
priestling	年轻僧侣
priestling	小和尚
fecundation	受胎作用
fecundation	受精
fecundation	受胎
basophilous	嗜碱的
basophilous	嗜碱
magnetooptic	磁光的
magnetooptic	磁光
magnetooptic	磁场对光线的影响的
magnetooptic	磁场对光线的影响
uniramous	独枝的
uniramous	独枝
darnel	毒麦
marmora	Marmara
nidificate	筑巢
catnip	猫薄荷
licking	舔
licking	舔一舔
licking	鞭打
licking	猛烈地
licking	猛烈
chlorination	氯化
chlorination	用氯处理
hammerlock	将对方手臂扭到背后
logistic	后勤学的
logistic	后勤学
logistic	后勤的
logistic	后勤
wetproof	防潮的
wetproof	防潮
wetproof	防水的
wetproof	防水
pinniped	鳍足类的
pinniped	鳍足类
graphologist	笔相家
kneepiece	护膝部分
kneepiece	护膝甲
tracheole	微气管
latinism	拉丁语法
latinism	拉丁语式
transliterate	音译
minshan	Mountain
minshan	岷山
sociogenous	社会引起的
sociogenous	社会引起
sociogenous	社会因素影响的
sociogenous	社会因素影响
photomorphogenesis	光形态发生
zagreb	萨格勒布
kunming	昆明
kunming	昆明
somatostatin	生长激素抑制素
heinously	可憎地
heinously	可憎
heinously	极恶地
heinously	极恶
upflare	向上的火焰
upflare	突然窜出的火焰
adore	崇拜
adore	爱慕
adore	喜爱
electrovalency	电价
muktuk	食用鲸皮
inducer	引诱者
maneuverable	容易操作的
maneuverable	容易操作
maneuverable	有机动性的
maneuverable	有机动性
catalyze	催化
catalyze	刺激
catalyze	促进
reservior	贮水池
reservior	贮藏处
reservior	贮备
pend	悬而未决
common	共同的
common	共同
common	公共的
common	公共
common	公有的
common	公有
common	普通的
common	普通
common	庸俗的
common	庸俗
common	伪劣的
common	伪劣
common	平民
common	公有
common	普通
common	共通
territorian	澳北区的居民
siu	Seafarers''
siu	International
siu	Union
siu	国际海员工会
precollege	进大学前的
precollege	进大学前
precollege	大学预科期的
precollege	大学预科期
proboscis	鼻子
proboscis	长鼻
scintillescent	发火花的
scintillescent	发火花
scintillescent	闪烁的
scintillescent	闪烁
creatress	女创办者
creatress	女创作者
enfilade	纵向射击
enfilade	易受纵射的位置
loftiness	高傲
loftiness	高深
loftiness	崇高
antinatalist	人口限制拥护者
turret	小塔
turret	塔楼
turret	炮塔
kyphosis	驼背
szabadka	=Subotica
motoneuron	运动神经元
unrhythmical	无韵律的
unrhythmical	无韵律
unrhythmical	没有节奏的
unrhythmical	没有节奏
comfortless	缺乏安慰的
comfortless	缺乏安慰
comfortless	不舒服的
comfortless	不舒服
comfortless	不自由的
comfortless	不自由
amytal	阿米妥
amytal	异戊巴比妥
folio	对开的纸
folio	一页
folio	页码或张数
folio	对折的
folio	对折
folio	对开的
folio	对开
folio	编页码
nonaerosol	不用喷雾剂的
nonaerosol	不用喷雾剂
unmotivated	动机不明的
unmotivated	动机不明
crankle	弯扭
crankle	扭去弯来
crankle	七弯八曲
crankle	弯曲
crankle	弯拐
manoeuvrable	可调动的
manoeuvrable	可调动
manoeuvrable	机动的
manoeuvrable	机动
manoeuvrable	操纵灵活的
manoeuvrable	操纵灵活
phenacite	硅铍石
ironically	说反话地
ironically	说反话
ironically	讽刺地
ironically	讽刺
filiciform	形状像羊齿植物的
filiciform	形状像羊齿植物
marmara	马尔马拉海
rainband	雨带
naida	奈达
zebraic	斑马的
zebraic	斑马
zebraic	斑马特有的
zebraic	斑马特有
keratoscope	角膜镜
tantra	密教经典
tantra	密教哲学
monocled	戴单眼镜的
monocled	戴单眼镜
feathercut	卷羽发型
seismoscope	地震波示波仪
seismoscope	验震器
joyous	快乐的
joyous	快乐
joyous	高兴的
joyous	高兴
yorker	投出恰好落于球拍下面之球
superlattice	超点阵
superlattice	超晶格
surprising	令人惊讶的
surprising	令人惊讶
recoinage	重铸
recoinage	重铸货币
acylic	非周期的
acylic	非周期
acylic	非循环的
acylic	非循环
rnr	Royal
rnr	Naval
rnr	Reserve皇家海军后备队
souwester	西南风
souwester	一种后沿较宽可护颈之防水帽
gritty	有砂砾的
gritty	有砂砾
gritty	坚韧不拔的
gritty	坚韧不拔
unrespectable	不值得尊敬的
unrespectable	不值得尊敬
unrespectable	名声不好的
unrespectable	名声不好
unrespectable	不体面的
unrespectable	不体面
montmorency	蒙特默伦西樱桃
omnipresence	遍在
sinuosity	蜿蜒
dermatology	皮肤医学
dermatology	皮肤病学
parlormaid	客厅女侍
geotropic	向地性的
geotropic	向地性
geotropic	屈地性的
geotropic	屈地性
abyssopelagic	深渊的
abyssopelagic	深渊
cappie	小酒杯
porcellaneous	=porcelaneous
ietf	Internet
ietf	Engineering
ietf	Task
ietf	Force
ietf	Internet工程任务组
unenjoyable	不能从中得到乐趣的
unenjoyable	不能从中得到乐趣
unenjoyable	不能使人快乐的
unenjoyable	不能使人快乐
unenjoyable	无乐趣的
unenjoyable	无乐趣
ornament	装饰物
ornament	教堂用品
ornament	装饰
ornament	修饰
sunglass	聚集日光引火的凸透镜
sunglass	太阳眼镜
icarian	移卡洛斯的
icarian	移卡洛斯
icarian	大胆的
icarian	大胆
icarian	冒险的
icarian	冒险
icarian	蛮干的
icarian	蛮干
virginis	Virgo
virginis	的所有格
canticle	圣歌
canticle	小歌曲
canticle	颂歌
susceptible	易受影响的
susceptible	易受影响
susceptible	易感动的
susceptible	易感动
susceptible	容许……的
susceptible	容许……
susceptible	易得病的人
gannister	=ganister
thoroughgoing	彻底的
thoroughgoing	彻底
thoroughgoing	完全的
thoroughgoing	完全
thoroughgoing	十足的
thoroughgoing	十足
urinary	尿的
urinary	尿
urinary	泌尿器的
urinary	泌尿器
urinary	小便池
ifr	Instrument
ifr	Flight
ifr	Rules仪表飞行规则
matman	摔跤运动员
orchidology	兰学
orchidology	兰园艺
mick	爱尔兰佬
powellism	鲍威尔主义
cropper	种植者
cropper	农作物
cropper	修剪机
cropper	割草机
cropper	收割机
golliwog	奇怪相貌的木偶
golliwog	脸形奇丑的人
golliwog	怪物
gynaecological	妇科学的
gynaecological	妇科学
gynaecological	妇科的
gynaecological	妇科
recriminate	反责
recriminate	反唇相讥
recriminate	反控诉
zoophilist	爱护动物者
quim	女性生殖器
duct	管
duct	输送管
duct	排泄管
duct	通过管道输送
dissident	持不同政见者
incompletely	不完全地
incompletely	不完全
centesimal	百分之一的
centesimal	百分之一
centesimal	百分的
centesimal	百分
centesimal	百进制的
centesimal	百进制
melancholy	忧郁
melancholy	忧郁
sulfonation	=sulphonation
purifier	清洁者
purifier	清洁器
purifier	精制的
purifier	精制
purifier	精炼者
radioiodinated	放射性碘
amg	Allied
amg	Military
amg	Government盟国军政府
carlylean	卡莱尔的
carlylean	卡莱尔
prejudgment	在审判前判决
prejudgment	预断
creme	乳酪
creme	奶油
creme	奶皮
folksinging	民歌演唱
chlorambucil	苯丁酸氮芥
chlorambucil	瘤可宁
culturette	女文化人
culturette	从事文化活动的妇女
rigging	索具
rigging	绳索
rigging	传动装置
rigging	装备
tourmaline	电气石
gens	氏族
gens	宗族
gladden	使喜悦
gladden	喜悦
delouser	去虱剂
ovulate	排卵
stomach	胃
stomach	胃口
stomach	胃部
stomach	容忍
batholith	底盘
batholith	岩基
abednego	亚伯尼歌
uis	Unemployment
uis	Insurance
uis	Service
uis	失业保险局
palazzo	pajamas宽松的女式套装
booklet	小册子
homotaxis	排列相似
homotaxis	不同时代化石之排列相似
