epergne	饰盘
intermundane	星球之间
intermundane	天体之间的
intermundane	天体之间
isosceles	二等边的
isosceles	二等边
cynocephalus	狗头人身的人
compendium	纲要
compendium	概略
diphonia	=diplophonia
neigh	马嘶声
neigh	马嘶
nachus	得意
sinic	中国的
sinic	中国
inofficious	没有职务的
inofficious	没有职务
inofficious	没有用的
inofficious	没有用
inofficious	不尽道德上义务的
inofficious	不尽道德上义务
doublure	书封内的皮裱衬
abstracted	心不在焉的
abstracted	心不在焉
abstracted	出神的
abstracted	出神
geocorona	地冕
intellectronics	人工智能电子学
agora	集会
agora	市场
olivewood	橄榄木
unwincing	不畏缩的
unwincing	不畏缩
unwincing	不退缩的
unwincing	不退缩
unwincing	无畏的
unwincing	无畏
bitt	缆柱
bitt	系于缆柱
broach	给……开口
broach	钻孔
broach	开始讨论
broach	提出
flopover	画面上下动摇的故障
rhematize	使
rhematize	表位化
bowdrill	弓钻
afterbirth	胞衣
domineer	压制
semidaily	每半天
divisor	除数
divisor	约数
upchuck	呕吐
electrum	银金矿
electrum	金银合金
kilomegacycle	千兆周
mescalero	梅斯卡勒罗人(美国得克萨斯州和新墨西哥州的阿帕切
estoppel	禁止反言
estoppel	禁止
estoppel	防止
idiorrhythmic	住在独自修行的僧侣居住的
idiorrhythmic	住在独自修行的僧侣居住
idiorrhythmic	供独自修行的僧侣居住的
idiorrhythmic	供独自修行的僧侣居住
adless	不登广告的
adless	不登广告
adless	无广告的
adless	无广告
starlet	小星星
starlet	初涉影坛的演员
starlet	小明星
portable	轻便的
portable	轻便
portable	手提的
portable	手提
portable	便携式的
portable	便携式
jail	监狱
jail	监禁
sancerre	桑塞尔白葡萄酒
wellesley	Arthur韦尔兹利
hooligan	小流氓
spherulate	布满小球体的
spherulate	布满小球体
gear	齿轮
gear	传动装置
gear	调整
gear	适合
gear	换档
circumstellar	环绕恒星的
circumstellar	环绕恒星
linetype'	NULL)
aeromodelling	航模
scull	短桨
scull	橹
scull	比赛用的小划艇
scull	摇桨
scull	用短桨或橹划
scull	划船
regula	边条
regula	平条
vimen	长柔枝
deoxidise	=deoxitize
tyum	=tum
benign	良好的
benign	良好
benign	仁慈的
benign	仁慈
benign	和蔼的
benign	和蔼
expiringly	快断气似地
expiringly	快断气似
expiringly	奄奄一息地
expiringly	奄奄一息
expiringly	奄奄一息地
expiringly	奄奄一息
doggrel	=doggerel
petto	胸
antigropelos	防水绑腿
myoelastic	肌弹性的
myoelastic	肌弹性
lust	活力
lust	繁殖力
lust	强烈的性欲
lust	强烈欲望
lust	渴望
lust	引起性冲动
cemically	以化学方法
briar	石南
nuj	National
nuj	Union
nuj	of
nuj	Journalists
nuj	全国记者协会
goldarned	=goddamned
slowgoing	缓步的
slowgoing	缓步
slowgoing	不想有所作为的
slowgoing	不想有所作为
broadleaf	阔叶烟草
broadleaf	阔叶树
graphic	绘画似的
graphic	绘画似
graphic	图解的
graphic	图解
fireboat	救火船
biafran	比夫拉的
biafran	比夫拉
biafran	比夫拉人的
biafran	比夫拉人
gelada	狒狒
puddingy	象布丁的
puddingy	象布丁
cam	凸轮
cam	Computer
cam	Aided
cam	Manufacturing
cam	计算机辅助生产
vasomotor	血管收缩的
vasomotor	血管收缩
vasomotor	血管收缩神经的
vasomotor	血管收缩神经
hypokinesia	运动功能减退
psycho	心理学
psycho	心理学的
psycho	心理学
loir	山鼠类
nomography	列线图解法
nomography	法律制定论
galilean	伽利略的
galilean	伽利略
arteriovenous	动静脉的
arteriovenous	动静脉
arteriovenous	连接动静脉的
arteriovenous	连接动静脉
flesher	屠夫
flesher	肉畜
draegerman	矿工救护队队员
scabbard	鞘
scabbard	插入鞘中
pathomorphism	病理形态
pathomorphism	异常躯体形态
rilievi	凸雕
messman	食堂值勤兵
deserted	荒芜的
deserted	荒芜
deserted	荒废的
deserted	荒废
deserted	为人所弃的
deserted	为人所弃
deiform	神状的
deiform	神状
deiform	神性的
deiform	神性
apocynthion	=apolune
pyramidic	=pyramidal
swordsman	击剑手
swordsman	剑客
swordsman	军人
boisterously	喧闹地
boisterously	喧闹
boisterously	吵闹地
boisterously	吵闹
geomancy	泥土占卜
northland	北国
northland	北部地方
northland	北部地带
refund	退还
refund	偿还
refund	归还
refund	偿还额
refund	退款
ponton	平底船
ponton	浮筒
provider	供给者
provider	供应者
provider	养家者
submit	顺从
submit	提交
submit	递交
thimphu	=Thimbu
pitchstone	松脂石
anthomaniac	花痴
anthomaniac	花迷
mande	=Mandingo
convertaplane	=convertiplane
vitular	小牛的
vitular	小牛
vitular	牛犊的
vitular	牛犊
uvulatomy	=uvulotomy
lineside	铁路沿线的
lineside	铁路沿线
androclus	安德鲁克里斯
emblema	浮雕装饰
scalare	天使鱼
lobulation	由小叶片组成
lobulation	分成小裂片
noctograph	盲人写字框
derailleur	变速器
derailleur	装有变速器的自行车
heterosex	=heterosexuality
selfhood	自我
selfhood	个性
selfhood	人格
selfhood	自私
levantinism	黎凡特精神文化
systematize	系统化
mainprise	保释
impenetrably	无法通过地
impenetrably	无法通过
impenetrably	冥顽不化地
impenetrably	冥顽不化
impenetrably	顽固地
impenetrably	顽固
eider	绒鸭
eider	绒鸭的绒毛
zussmanite	菱硅钾铁石
bicyclist	骑脚踏车者
bicyclist	骑自行车的人
convexly	中凸地
convexly	中凸
convexly	凸圆地
convexly	凸圆
firstborn	头生的
firstborn	头生
firstborn	初生的
firstborn	初生
firstborn	第一胎生的
firstborn	第一胎生
firstborn	初生儿
firstborn	长男
firstborn	长女
moslem	穆斯林
moslem	伊斯兰
moslem	穆罕默德信徒
moslem	穆斯林的
moslem	穆斯林
moslem	伊斯兰的
moslem	伊斯兰
moslem	伊斯兰教的
moslem	伊斯兰教
inexpertise	缺乏专门知识
inexpertise	轻视专业知识
inexpertise	轻视专家意见
iconolatry	圣像崇拜
bioplasm	原生质
ectozoa	体表寄生虫
ectozoa	外寄生虫
recreate	得到娱乐
azoic	无生命的
azoic	无生命
azoic	无生命时代的
azoic	无生命时代
principium	原理
principium	初步
governmentalize	使受政府管理
sesterce	古代罗马的货币单位
gaol	监狱
gaol	拘留所
gaol	监禁
achromatophilia	拒染性
blazonment	纹章装饰
blazonment	纹章解说
blazonment	公布
strapontin	折叠式加座
orbed	球状的
orbed	球状
orbed	圆形的
orbed	圆形
retsina	松香味希腊葡萄酒
highlight	加亮区
highlight	精彩场面
highlight	最显著部分
highlight	加亮
highlight	使显著
highlight	以强光照射
highlight	突出
cirsoid	静脉曲张的
cirsoid	静脉曲张
cirsoid	静脉肿的
cirsoid	静脉肿
unenlightening	无启发作用的
unenlightening	无启发作用
homephone	住宅电话
stoneworker	石工
stoneworker	石匠
anteorbital	在眼睛前面的
anteorbital	在眼睛前面
unskillfully	笨拙地
unskillfully	笨拙
unskillfully	不熟练地
unskillfully	不熟练
gastrinoma	促胃液素瘤
gamma	100万分之1克
gamma	微克
agnean	阿格尼恩语
shellwork	贝壳工艺品
laborist	工党党员
gobbet	团块
gobbet	一口
gobbet	小片
galactoid	乳状的
galactoid	乳状
stein	啤酒杯
interlining	夹层
connive	默许
connive	纵容
connive	暗中合作
connive	密谋策划
assortive	=assortative
epirote	伊庇鲁斯人
hurray	万岁呼声
hurray	狂热
mam	妈
chimere	黑缎袍
feverroot	忍冬科的药草
disequilibrium	不均衡
disequilibrium	不安定
dancer	舞女
dancer	舞蹈少女
segmental	部分的
segmental	部分
krakow	克拉科夫
strategize	制订战略
hemoid	血样的
hemoid	血样
hemoid	类似血的
hemoid	类似血
echelette	小阶梯光栅
turbopause	湍流层顶
turbopause	匀质层顶
exterminator	扑灭的人
exterminator	害虫驱除剂
divertive	有趣的
divertive	有趣
divertive	消愁解闷的
divertive	消愁解闷
divertive	引人入胜的
divertive	引人入胜
millicycle	毫周波
gilgamesh	吉尔伽美什
misdemeanant	行为不端的人
seroconvert	血清转化
fidelia	菲蒂利亚
elderly	过了中年的
elderly	过了中年
elderly	稍老的
elderly	稍老
line	绳
line	索
line	线路
line	航线
line	诗句
line	排成一行
line	顺……排列
line	划线于
line	使有线条
line	使起皱纹
line	排队
housecarl	侍卫
bioflick	传记片
uncolike	陌生的
uncolike	陌生
uncolike	新奇的
uncolike	新奇
metricate	施行公制度量衡制度
zymogenesis	酶生成
widdle	撒尿
widdle	小便
quadraminium	=quadrominium
giftware	可当礼品之物
nazism	纳粹主义
nazism	德国国家社会主义
oecist	殖民地开拓者
flench	割取油脂
flench	剥的皮
hemihydrate	半水化合物
hemihydrate	半氢氧化物
noncrossover	非交换型的
noncrossover	非交换型
delimitation	定界
magazine	杂志
magazine	期刊
magazine	军火库
magazine	弹药库
magazine	弹仓
magazine	胶卷盒
subschema	子模式
centinewton	百分之一牛顿
prominent	卓越的
prominent	卓越
prominent	显著的
prominent	显著
prominent	突出的
prominent	突出
exultance	=exultation
cavatina	短抒情调
cavatina	短曲
histographer	组织论
ultrapure	超纯的
ultrapure	超纯
digression	离题
digression	脱轨
digression	扯到枝节上
ermine	貂
ermine	貂的白毛皮
variometer	气压测量器
variometer	变压表
variometer	可变电感器
variometer	磁力偏差计
trucial	暂停的
trucial	暂停
trucial	休战的
trucial	休战
albedo	反照率
epilog	=epilogue
ephyrula	=ephyra
cassowary	食火鸡
admiration	钦佩
admiration	赞美
admiration	羡慕
begum	伊斯兰教徒的女王
begum	公主
multicide	大屠杀
tweed	斜纹软呢
tweed	斜纹软呢服
promptbook	提词者所用剧本
spunky	充满勇气的
spunky	充满勇气
spunky	精神十足的
spunky	精神十足
spunky	灿烂的
spunky	灿烂
haul	用力拖拉
haul	拖
haul	拉
haul	捕获物
haul	努力得到的结果
haul	一网捕获的鱼量
haul	拖运距离
haul	拖
haul	拉
haul	改变方向
haul	改变主意
haul	拖拉
haul	拖运
obtrusive	强迫人的
obtrusive	强迫人
obtrusive	突出的
obtrusive	突出
obtrusive	鲁莽的
obtrusive	鲁莽
obtrusive	令人厌恶的
obtrusive	令人厌恶
obtrusive	过分炫耀的
obtrusive	过分炫耀
kenya	肯尼亚
venipuncture	静脉穿刺
venipuncture	静脉针灸
morn	明天
starvation	饥饿
starvation	饿死
pinnacled	小尖塔般耸立的
pinnacled	小尖塔般耸立
pinnacled	顶处的
pinnacled	顶处
conform	使一致
conform	使遵守
conform	使顺从
conform	符合
conform	相似
conform	适应环境
conform	一致的
conform	一致
conform	顺从的
conform	顺从
enthrone	立……为王
enthrone	使登基
enthrone	任为主教
enthrone	崇拜
enthrone	热心
hemipode	=button
hemipode	quail
hudaida	=Hodeida
dough	生面团
dough	钱
dough	金钱
celebrant	司仪神父
celebrant	天主教主领弥撒的神父
lymphoid	淋巴的
lymphoid	淋巴
cinefluorography	荧光屏电影摄制法
semitransparent	半透明的
semitransparent	半透明
hollands	荷兰制杜松子酒
pnp	Plug
pnp	and
pnp	Play
pnp	即插即用标准
hurtlessly	无害地
hurtlessly	无害
hurtlessly	未受伤地
hurtlessly	未受伤
metalloidal	=metalloid
mouflon	欧洲盘羊
mouflon	摩弗伦羊
hothead	性急的人
hothead	鲁莽的人
tutorage	家庭教师的职责和薪酬
sensatory	=sensory
caesarian	凯撒的
caesarian	凯撒
caesarian	皇帝的
caesarian	皇帝
lacquerwork	漆器
lacquerwork	漆器制作
contemplable	沉思的
contemplable	沉思
contemplable	能够被构思的
contemplable	能够被构思
starlight	星星的闪光
starlight	星光
adenoid	腺的
adenoid	腺
adenoid	淋巴组织的
adenoid	淋巴组织
oculonasal	眼鼻的
oculonasal	眼鼻
autocriticism	自我反省
autocriticism	自我检讨
platonic	柏拉图哲学的
platonic	柏拉图哲学
platonic	柏拉图主义的
platonic	柏拉图主义
platonic	理想的
platonic	理想
platonic	不切实际的
platonic	不切实际
actinouranium	锕铀
coinhere	包括在同一事物内
inorganic	无生物的
inorganic	无生物
inorganic	无机的
inorganic	无机
forbode	=forebode
norseland	挪威的别名
brant	黑雁
mortality	死亡率
butyrinase	丁三酸甘油酯酶
subastringent	轻收敛的
subastringent	轻收敛
floridan	=Floridian
appellatively	名称地
appellatively	名称
appellatively	通称地
appellatively	通称
chatter	潺潺流水声
chatter	喋喋不休的谈
chatter	卡搭作响
delight	快乐
delight	高兴
delight	喜悦
delight	欣喜
destine	注定
destine	预定
ecchymosis	瘀癍
hairbrush	发刷
tetrahedron	四面体
teenage	十几岁的
teenage	十几岁
fugal	赋格曲性质的
fugal	赋格曲性质
poison	毒药
poison	败坏道德之事
poison	毒害
poison	毒害
poison	败坏
poison	使中毒
poison	放毒
poison	下毒
exceptionably	可以反对地
exceptionably	可以反对
throughout	遍及
throughout	贯穿
throughout	到处
throughout	始终
throughout	全部
contactant	接触性过敏原
mastectomy	乳房切除术
unshutter	打开……的百叶窗
unshutter	移去……的遮蔽物
eent	eyes
eent	ears
eent	nose
eent	throat
eent	眼
eent	耳
eent	鼻
eent	喉总称
uknet	Uknet网
stringent	严厉的
stringent	严厉
stringent	迫切的
stringent	迫切
stringent	银根紧的
stringent	银根紧
lol	Laugh
lol	Out
lol	Loud
lol	大声笑
bellied	有腹的
bellied	有腹
bellied	大肚子的
bellied	大肚子
gravid	怀孕的
gravid	怀孕
gravid	妊娠的
gravid	妊娠
guestly	客人的
guestly	客人
guestly	像客人的
guestly	像客人
guestly	适于客人的
guestly	适于客人
hardship	困苦
hardship	艰难
hardship	辛苦
eureka	找到了!
eureka	有了!
surprisingly	令人惊讶地
surprisingly	令人惊讶
bywoner	佃农
checkers	西洋跳棋
newfound	新发现的
newfound	新发现
newfound	新得到的
newfound	新得到
coestablishment	共同组织或机构
potiche	大瓷花瓶
potiche	瓷缸
communitywide	全社区性的
communitywide	全社区性
oiticica	奥蒂树
good	好
good	好事
good	慷慨的行为
good	好处
good	利益
good	优良的
good	优良
good	上等的
good	上等
good	虔诚的
good	虔诚
good	愉快的
good	愉快
good	慈善的
good	慈善
good	好心的
good	好心
good	有益的
good	有益
paralexia	阅读倒错
paralexia	错读
tropo	=troposcatter
interactive	交互式的
interactive	交互式
competitor	竞争者
promontoried	形成海岬的
promontoried	形成海岬
promontoried	有海岬的
promontoried	有海岬
histochemically	组织化学地
histochemically	组织化学
necrophagy	=necrophagia
sarcastically	讽刺地
sarcastically	讽刺
sarcastically	辛辣地
sarcastically	辛辣
wvs	Women''s
wvs	Voluntary
wvs	Service妇女志愿服务队
rota	值班表
changeabout	变成相反
thyrotomy	甲状软骨切开术
thyrotomy	甲状腺切开术
goosander	秋沙鸭
aphyllous	无叶性的
aphyllous	无叶性
aphyllous	缺叶的
aphyllous	缺叶
subsultive	震动的
subsultive	震动
subsultive	突然跳动的
subsultive	突然跳动
subsultive	痉挛的
subsultive	痉挛
russophil	亲俄分子
guttifer	藤黄
norman	法国诺曼第人
norman	诺曼第的
norman	诺曼第
norman	诺曼第人的
norman	诺曼第人
endoskeleton	内骨骼
auriculate	有耳的
auriculate	有耳
auriculate	有耳状物或耳状部的
auriculate	有耳状物或耳状部
merestone	界石
merestone	界碑
octateuch	圣经旧约的最初八书
octateuch	八册一套
incoordinately	不同等地
incoordinately	不同等
incoordinately	不配合地
incoordinately	不配合
sorrily	难过地
sorrily	难过
multijet	有多个喷气发动机的
multijet	有多个喷气发动机
loquacity	多话
loquacity	饶舌
leakproof	不会漏的
leakproof	不会漏
leakproof	防漏的
leakproof	防漏
hominized	人化的
hominized	人化
rinker	溜冰者
homely	家常的
homely	家常
chivalrously	象骑士一样地
chivalrously	象骑士一样
seltzogene	碳酸水制造器
mantuan	曼图亚的
mantuan	曼图亚
mantuan	曼图亚人
mantuan	曼图亚居民
cataplexy	昏倒
cataplexy	猝倒
colonialistic	=colonialist
communionist	领圣餐者
fritter	浪费
fritter	剁碎
fritter	细切
fritter	细片
fritter	屑
