daishiki	=dashiki
collinear	同线
seawall	防波堤
seawall	海堤
overtrick	超点
charcoal	木炭
snagged	水中多障碍的
snagged	水中多障碍
snagged	为障碍所阻的
snagged	为障碍所阻
bloodstock	纯种马
superpatriot	极端的爱国者
superpatriot	热狂的爱国者
beatist	披头主义者
rhizobium	根瘤菌
foot	足
foot	底部
foot	英尺
foot	音步
foot	步调
foot	步兵
foot	末尾
foot	走在……上
foot	支付
foot	给……换底
foot	结算
foot	步行
foot	跳舞
foot	总计
dyscrasia	体液不调
dyscrasia	恶液质
gomphiasis	牙松
wattmeter	瓦特计
superglacial	冰川面上的
superglacial	冰川面上
proserpine	普洛塞尔皮娜
cardioscope	心脏检查器
cardioscope	心脏镜
bootload	引导装入
zahal	扎哈尔
hin	赫因
hypocenter	震源
pentane	戊烷
fibered	有纤维的
fibered	有纤维
fibered	纤维质的
fibered	纤维质
radiotoxologic	研究辐射毒物学的
radiotoxologic	研究辐射毒物学
seamstress	女裁缝师
seamstress	做针线工的
seamstress	做针线工
viewdata	可视数据
nudibranchiate	裸鳃亚目动物的
nudibranchiate	裸鳃亚目动物
alodium	=allodium
cenesthesia	=coenesthesia
stethoscopic	听诊器的
stethoscopic	听诊器
lumpily	多瘤地
lumpily	多瘤
lumpily	波浪起伏地
lumpily	波浪起伏
cip	cataloging
cip	in
cip	publication预编目录
cip	出版过程中编目
disseizor	强夺者
arcature	小拱廊
arcature	假拱廊
top	顶部
top	顶端
top	极点
top	顶蓬
top	陀螺
top	顶端
top	高过
top	超越
top	结束
top	完成
top	胜过
linecut	线条凸版
anthropologist	人类学者
anthropologist	人类学家
girasol	青蛋白石
cgi	Common
cgi	Gateway
cgi	Interface
cgi	公共网关接口
cgi	Computer
cgi	Graphics
cgi	Interface
cgi	计算机图形接口
trilateral	三边的
trilateral	三边
trilateral	三边形
illuvial	淀积的
illuvial	淀积
elaterium	西洋苦瓜汁
herewith	同此
herewith	因此
strengthless	无力量的
strengthless	无力量
mclntosh	麦金托什红苹果
leinster	伦斯特省
obliteration	涂去
obliteration	删除
purfle	镶边
purfle	花边
purfle	加花边于
purfle	装饰
ribes	虎耳草科酷栗属的植物
indign	不值得的
indign	不值
indign	不应得的
indign	不应
indign	不光彩的
indign	不光彩
cytophagic	细胞吞噬作用的
cytophagic	细胞吞噬作用
unreturnable	不能返回的
unreturnable	不能返回
enclose	放入封套
enclose	装入
enclose	围绕
lockstep	因循守旧
lockstep	陈旧古板的做法
lockstep	前后紧接
lockstep	步伐一致
impotent	无力的
impotent	无力
impotent	虚弱的
impotent	虚弱
impotent	无效的
impotent	无效
impotent	阳萎的
impotent	阳萎
dollarfish	银白色圆形的小鱼
beneficed	享有圣俸的
beneficed	享有圣俸
piloting	领航的职业
piloting	近岸航行法
piloting	地标领航
alfred	阿尔佛雷德
taconite	铁燧岩
sportsman	运动家
sportsman	冒险家
sensational	使人感动的
sensational	使人感动
sensational	非常好的
sensational	非常好
insurmountable	不能克服的
insurmountable	不能克服
insurmountable	不能超越的
insurmountable	不能超越
amphidromia	古雅典家庭为新生儿举行的命名仪式
litoral	=littoral
radioiodine	放射碘
megalosaurus	斑龙
lykewake	在遗体旁守夜
grayest	灰色的
grayest	灰色
grayest	苍白的
grayest	苍白
anticarcinogenic	抑制癌发生的
anticarcinogenic	抑制癌发生
anticarcinogenic	防癌的
anticarcinogenic	防癌
anticarcinogenic	抗癌的
anticarcinogenic	抗癌
montmorillonoid	蒙脱矿
montmorillonoid	胶岭矿
montmorillonoid	高岭矿
nebn	northeast
nebn	by
nebn	north
nebn	东北偏北
pipestone	烟斗石
sundeck	客轮的上层甲板
sundeck	建筑物或游泳池等的日光浴处所
pissoir	小便处
pissoir	小便池
renascence	新生
renascence	复兴
honiara	霍尼亚拉
lionise	=lionize
consumerization	消费化
consumerization	鼓励促进消费
baikal	贝加尔湖
posterization	多色调分色法
urticate	有风块的
urticate	有风块
yule	耶稣圣诞节
yule	圣诞季节
demarcate	划分界线
flagstick	标指旗
operette	小歌剧
operette	轻歌剧
gynaecomorphous	雌形的
gynaecomorphous	雌形
gynaecomorphous	具雌性特征的
gynaecomorphous	具雌性特征
orissa	奥里萨邦
efta	European
efta	Free
efta	Trade
efta	Area
efta	欧洲自由贸易地域
efta	European
efta	Free
efta	Trade
efta	Association
efta	欧洲自由贸易协会
hua	愚蠢地
hua	愚蠢
hua	盲目地
hua	盲目
hua	不专心地
hua	不专心
unmade	unmake的过去式及过去分词
suprematism	至上主义
nugatory	无价值的
nugatory	无价值
nugatory	没有力量的
nugatory	没有力量
nugatory	无效的
nugatory	无效
clifty	多悬崖的
clifty	多悬崖
clifty	峻峭的
clifty	峻峭
fourscore	八十的
fourscore	八十
fourscore	八十个的
fourscore	八十个
fourscore	八十
fourscore	八十个
fourscore	八十岁
noctilucence	生物发光
virtuous	善良的
virtuous	善良
virtuous	有道德的
virtuous	有道德
virtuous	贞洁的
virtuous	贞洁
virtuous	有效力的
virtuous	有效力
reformulation	再形成
pledgeor	抵押人
pledgeor	典押人
pledgeor	出质人
pledgeor	设定抵押权人
alkalization	碱性化
tatt	=tat
berkeleian	贝克莱的
berkeleian	贝克莱
berkeleian	贝克莱主义的
berkeleian	贝克莱主义
popskull	私酿
thatching	茅屋
thatching	用茅草盖屋顶
photopositive	正趋光性的
photopositive	正趋光性
photopositive	光正性的
photopositive	光正性
photopositive	正光电导的
photopositive	正光电导
shovelman	用铲子
shovelman	的人
shovelman	单斗挖掘机司机
meletin	栎皮酮
lutine	bell
coniferae	松柏科
disaggregation	崩溃
disaggregation	解体
houseboy	男仆
houseboy	僮仆
engrave	雕刻
engrave	使铭记
engrave	铭刻
sallow	菜色
sallow	变成菜色
impaste	用浆糊封
impaste	使成糊状
predetermination	9pri:dI`t\:mI`neIFEn/
predetermination	预定
predetermination	蟦EtIv/
predetermination	预先决染
ndugu	大哥
facet	刻面
facet	小平面
facet	方面
facet	琢面
facet	在……上刻画
nonimpact	无压的
nonimpact	无压
nonimpact	非击打式的
nonimpact	非击打式
mesomerism	中介
perplexing	复杂的
perplexing	复杂
perplexing	令人困惑的
perplexing	令人困惑
enchanting	迷人的
enchanting	迷人
enchanting	迷惑的
enchanting	迷惑
enchanting	妩媚的
enchanting	妩媚
merl	乌鸫
merl	山鸟
banderillero	斗牛士助手
tuboid	似管的
tuboid	似管
tuboid	管状的
tuboid	管状
decal	贴花釉法
decal	贴花纸
varanasi	瓦腊纳西(旧称贝拿勒斯
galeeny	珠鸡
impassability	不能通行
debar	阻止
debar	禁止
debar	排除
debar	剥夺
quackishly	庸医地
quackishly	庸医
quackishly	胡吹地
quackishly	胡吹
sinus	窦
sinus	穴
sinus	湾
sinus	凹处
sloth	怠惰
sloth	懒惰
roquesite	硫銦铜矿
biospeleology	穴居生物学
bayesian	贝叶斯定理的
bayesian	贝叶斯定理
bayesian	贝叶斯判决规则的
bayesian	贝叶斯判决规则
moneylending	放债
moneylending	放款
petrology	岩石学
reinforcer	强化刺激
tonsillectomy	扁桃腺切除术
comely	清秀的
comely	清秀
comely	标致的
comely	标致
parisian	巴黎人
parisian	巴黎的
parisian	巴黎
parisian	巴黎人的
parisian	巴黎人
calculagraph	计时器
spacistor	空间电荷管
spacistor	宽阔管
tenure	使用期限
rallentando	逐渐缓慢地
rallentando	逐渐缓慢
rallentando	逐渐缓慢的
rallentando	逐渐缓慢
harle	=harl
kansu	见Gansu
panification	做面包
lower	较低的
lower	较低
lower	下级的
lower	下级
lower	下等的
lower	下等
lower	下游的
lower	下游
lower	降低
lower	跌落
lower	减弱
lower	放下
lower	降下
lower	减弱
lower	贬低
horrid	恐怖的
horrid	恐怖
horrid	令人讨厌的
horrid	令人讨厌
horrid	可怕的
horrid	可怕
platyrhynchous	有宽扁喙的
platyrhynchous	有宽扁喙
nodding	点头的
nodding	点头
nodding	低垂的
nodding	低垂
nodding	昏昏欲睡的
nodding	昏昏欲睡
barhop	从这家酒店喝到那家
shirk	逃避
shirk	推卸
shirk	逃避
scrapple	玉米肉饼
calves	笨拙的男子
calves	腓
forgeable	可锻的
forgeable	可锻
butch	粗鲁的男人或男孩
butch	充当男性角色的女同性恋者
gall	胆汁
gall	恶毒
gall	怨恨
gall	五倍子
gall	苦味
gall	磨伤
gall	肿痛
gall	恼怒
gall	磨伤
gall	烦恼
gall	屈辱
gall	被磨伤
articulate	有关节的
articulate	有关节
articulate	发音清晰的
articulate	发音清晰
articulate	用关节连接
articulate	接合
articulate	清晰明白地说
hushful	寂静的
hushful	寂静
tapering	尖端细的
tapering	尖端细
retribution	报偿
hakone	箱根
autoptic	现场验证的
autoptic	现场验证
autoptic	亲眼看到的
autoptic	亲眼看到
chummy	关系亲密的
chummy	关系亲密
chummy	合得来的
chummy	合得来
chummy	密友
unwrap	打开
unwrap	解开
unwrap	展开
fractionate	使分馏
certes	的确
certes	当然
diplomat	外交官
diplomat	有外交手腕的人
diplomat	有权谋的人
stare	凝视
stare	盯着看
periodontal	牙齿周围的
periodontal	牙齿周围
periodontal	齿根膜的
periodontal	齿根膜
grossdeutsch	大德意志的
grossdeutsch	大德意志
deadly	致命的
deadly	致命
deadly	势不两立的
deadly	势不两立
deadly	死一般的
deadly	死一般
deadly	极度的
deadly	极度
deadly	必定的
deadly	必定
peripheral	外围的
peripheral	外围
peripheral	外围设备
kiblah	穆斯林朝觐的方向
jeaned	穿着牛仔裤的
jeaned	穿着牛仔裤
timelessly	永久地
timelessly	永久
timelessly	无限地
timelessly	无限
hexaplaric	用六国语对译的书的
hexaplaric	用六国语对译的书
stroganoff	加蘑菇和酸奶油炒的
stroganoff	加蘑菇和酸奶油炒
glauconitic	似海绿石的
glauconitic	似海绿石
glauconitic	含海绿石的
glauconitic	含海绿石
zante	桑特岛
panga	短刀之一种
fluidic	流体的
fluidic	流体
fluidic	液体的
fluidic	液体
fluidic	射流的
fluidic	射流
fluidic	流控的
fluidic	流控
fluidic	射流控制的
fluidic	射流控制
comply	顺从
comply	答应
comply	遵守
sinciput	前顶
overstudy	过度用功
overstudy	用功过度
quercetin	栎精
cryopreservation	低温贮藏
crippledom	残废
crippledom	无能
hassock	当座凳用的厚垫
hassock	跪垫
hassock	草丛
fearnought	一种粗呢
bodement	预兆
bodement	预言
nigrescent	发黑的
nigrescent	发黑
dogshit	花里胡哨的废物
dogshit	胡说八道
perpetuate	使永存
perpetuate	使不朽
conspiratress	女性共谋者
closedown	关闭
closedown	封闭
closedown	闭锁
visionless	无视觉的
visionless	无视觉
visionless	瞎的
visionless	瞎
vespertilionid	蝙蝠
ileus	肠梗阻
counterterror	反暴行
cartwheel	车轮
cartwheel	横斤斗
baresark	狂暴斗士
baresark	未着铠甲地
baresark	未着铠甲
pluriliteral	词根有3个以上字母的
pluriliteral	词根有3个以上字母
rejecter	拒绝者
rejecter	否决者
outport	大港外的独立小港
plasmagel	原生质凝胶
sansculotterie	=sansculottism
baa	羊叫声
baa	羊叫
pinnate	羽状的
pinnate	羽状
pinnate	翼
pinnate	鳍之类的
pinnate	鳍之类
tenon	榫
tenon	凸榫
tenon	接榫
tenon	造榫
tenon	开榫
tenon	榫接
reinvade	再侵犯
reinvade	轮番侵犯
tropeoline	=tropaeolin
satb	soprano
satb	alto
satb	tenor
satb	bass女高音、女低音、
satb	男高音和男低音
identifiable	可以确认的
identifiable	可以确认
rhubarb	大黄
rhubarb	大黄的叶柄
regina	女王
postmeridian	午后的
postmeridian	午后
postmeridian	午后发生的
postmeridian	午后发生
infirmation	否定
infirmation	推翻
weregild	=wergeld
whoosis	不知其名的或一时想不起名字的人或物
subterraneous	地下的
subterraneous	下
subterraneous	隐匿的
subterraneous	隐匿
chemoceptor	化学受体
chemoceptor	化学感应器
tectonic	构造的
tectonic	构造
tectonic	建筑的
tectonic	建筑
between	在……之间
between	连接……
between	由……协力合作
astomatous	无口的
astomatous	无口
astomatous	无气孔的
astomatous	无气孔
address	地址
