balalaika	俄式三弦琴
aerodynamic	空气动力学
locomotor	运动的
locomotor	运动
unfeminine	不适于妇女的
unfeminine	不适于妇女
unfeminine	不似女流的
unfeminine	不似女流
lakefront	湖滨地带
lakefront	湖边平地
lakefront	湖边平
untomb	由坟墓中掘出
untomb	发掘
dibranchiate	二鳃目的
dibranchiate	二鳃目
sconce	壁突式烛台
sconce	头
sconce	头盖
sconce	筑保垒防卫
agribusiness	农业综合企业
garbologist	垃圾清除工人
retractible	=retractable
brew	酿造
brew	酝酿
apparatus	器械
apparatus	设备
apparatus	仪器
hylomorphic	形成和质料构成的
hylomorphic	形成和质料构成
hylomorphic	形式原料说的
hylomorphic	形式原料说
anhedonia	快感缺乏
filmmaker	电影摄制者
endoproct	内肛动物
monarchism	君主主义
monarchism	君主制主义
irrefutability	不能反驳之事
dulse	掌状红皮藻
alter	改变
tramcar	电车
tramcar	矿车
transcriptionist	直接根据录音打字的打字员
mignon	可爱的
mignon	可爱
mignon	娇小美丽的
mignon	娇小美丽
characterise	=characterize
mannitol	甘露醇
medusoid	像水母的
medusoid	像水母
medusoid	水母状的
medusoid	水母状
sprent	被喷洒的
sprent	被喷洒
sprent	被点缀的
sprent	被点缀
mogaung	孟拱
periods	周期
fetlow	蹄冠炎
caldarium	高温浴室
intermeddle	干涉
intermeddle	管闲事
oem	Original
oem	Equipment
oem	Manufacture
oem	原始设备制造商
progressively	日益增多地
progressively	日益增多
roamer	流浪者
roamer	漂泊者
umbellifer	伞形植物
kopis	双刃曲剑
fibrose	形成纤维性组织
terrific	令人恐怖的
terrific	令人恐怖
clepsydra	漏壶
clepsydra	水时计
joyless	不高兴的
joyless	不高兴
joyless	不快乐的
joyless	不快乐
dextroglucose	右旋葡萄糖
gown	长袍
gown	法衣
gown	礼服
gown	睡袍
treadless	无花纹的
treadless	无花纹
vaal	瓦尔河
pianissimo	极弱地
pianissimo	极弱
pianissimo	乐曲中以最弱音演奏之一节或一个乐章
woodless	无木头的
woodless	无木头
woodless	无森林的
woodless	无森林
undisturbedly	安静地
undisturbedly	安静
undisturbedly	镇静地
undisturbedly	镇静
calculability	可计算
plaustral	运货车的
plaustral	运货车
unallowable	不能允许的
unallowable	不能允许
nccm	National
nccm	Council
nccm	of
nccm	Catholic
nccm	Men
nccm	全国男天主教徒理事会
idiotic	白痴般的
idiotic	白痴般
falbala	荷叶边
ultrafiche	超缩微平片
ultrafiche	超缩微胶片
pereion	胸部
convenance	礼仪
convenance	惯例
myeloperoxidase	髓过氧物酶
myeloperoxidase	绿过氧物酶
razz	嘲弄
razz	戏弄
razz	冷笑
razz	嘲弄
heterogamous	世代交替的
heterogamous	世代交替
misadvice	错误的劝告
decamerous	包含十个部份的
decamerous	包含十个部份
decamerous	每部分有十个的
decamerous	每部分有十个
sigh	叹息
sigh	叹息声
sigh	叹息
sigh	叹气
pejorative	变坏的
pejorative	变坏
pejorative	轻蔑的
pejorative	轻蔑
pejorative	轻蔑语
weatherable	经得起风吹雨打的
weatherable	经得起风吹雨打
weatherable	抗寒耐热的
weatherable	抗寒耐热
rice	稻
rice	米
ldrs	洛克希德会话系统
germicidal	杀菌的
germicidal	杀菌
germicidal	有杀菌力的
germicidal	有杀菌力
cascarilla	西印度苦香树
mincing	装腔作势的
mincing	装腔作势
mincing	切碎
misinterpretation	误译
misinterpretation	曲解
quintuple	五的
quintuple	五
quintuple	五倍的
quintuple	五倍
quintuple	五部分组成的
quintuple	五部分组成
quintuple	五倍
quintuple	使成五倍
oversharp	过于敏锐的
oversharp	过于敏锐
oversharp	轮廓过于清晰的
oversharp	轮廓过于清晰
plastered	醉醺醺的
plastered	醉醺醺
prelate	高级教士
astragalar	距骨的
astragalar	距骨
astragalar	与距骨有关的
astragalar	与距骨有关
looker	观看者
looker	检查员
looker	十分漂亮的人
looker	美人
hurly	骚动
hurly	喧嚣
criminalist	刑事专家
criminalist	犯罪学者
benedict	原来似乎坚决抱独身主义而新近结婚的男子
viticulturist	葡萄栽培者
bromal	三溴乙醇
bromal	溴醇
jungfrau	圣母峰
palpus	触须
saracen	撒拉逊人
saracen	阿拉伯人的古称
subcrystalline	结晶不明显的
subcrystalline	结晶不明显
subcrystalline	不完全结晶的
subcrystalline	不完全结晶
diastase	淀粉酵素
diastase	淀粉糖化酵素
weevily	生满象甲的
weevily	生满象甲
thyrsoidal	密锥花序的
thyrsoidal	密锥花序
thyrsoidal	象密锥花序的
thyrsoidal	象密锥花序
thyrsoidal	聚伞圆锥花序状的
thyrsoidal	聚伞圆锥花序状
attrite	磨损的
attrite	磨损
attrite	削弱的
attrite	削弱
attrite	磨损以便使……
attrite	变小
conidiospore	=conidium
zooid	游动孢子
quomodo	方式
quomodo	方法
quomodo	手段
parrotry	重复学话
parrotry	学人说话
cybernatic	控制论的
cybernatic	控制论
freight	货物
freight	船货
freight	运费
freight	货运
freight	装货
freight	使充满
freight	运送
hypabyssal	半深成的
hypabyssal	半深成
hypabyssal	浅成的
hypabyssal	浅成
proneur	阿谀者
proneur	奉承者
anachronism	时代错误
lutein	叶黄素
lutein	黄体制剂
monkshood	附子之类
monkshood	舟形乌头
droop	低垂
droop	凋萎
droop	萎靡
unremember	记不起
unremember	忘记
blaxploitation	对黑人兴趣的利用
atlantes	男人形象的柱子
fluoroform	三氟甲
unimagined	没有想到过的
unimagined	没有想到过
unimagined	从未设想过的
unimagined	从未设想过
unimagined	无法想象的
unimagined	无法想象
tappet	梃杆
tappet	凸子
mythopoet	神话创作者
mythopoet	神话诗人
jasey	假发
sheeting	被单料子
sheeting	护墙板
souchong	小种茶
souchong	一种中国红茶
phleboclysis	静脉输液法
gradually	逐渐地
gradually	逐渐
gaoler	监狱看守
pilastrade	壁柱列
pilastrade	半露柱列
reeb	啤酒
retinocerebral	视网膜与脑的
retinocerebral	视网膜与脑
unfathomed	未探测深度的
unfathomed	未探测深度
unfathomed	无法了解的
unfathomed	无法了解
unfathomed	未解决的
unfathomed	未解决
superstratum	上层
superstratum	覆盖物
superstratum	上层语言
textbook	教科书
textbook	课本
textbook	合乎规范的
textbook	合乎规范
orthros	晨祷
transactinide	超锕系元素的
transactinide	超锕系元素
transactinide	锕系后元素的
transactinide	锕系后元素
protend	伸展
concentrator	集中器
retrorocket	制动火箭系统
correspondingly	相对地
correspondingly	相对
correspondingly	比照地
correspondingly	比照
thioantimonite	硫代亚锑酸盐
jejunal	空肠的
jejunal	空肠
unharden	使变软
unharden	使软化
unharden	消除……的怒气
unharden	使心软
cacafuego	好吹牛的人
paralogize	作谬误推论
initially	最初
initially	开头
proviral	前病毒的
proviral	前病毒
beefer	发牢骚者
beefer	告密者
navarre	纳瓦拉
inadequate	不充分的
inadequate	不充分
inadequate	不适当的
inadequate	不适当
effigurate	有一定形状的
effigurate	有一定形状
effigurate	附属部分充分发育的
effigurate	附属部分充分发育
arborous	树木茂盛的
arborous	树木茂盛
arborous	栖于树上的
arborous	栖于树上
arborous	树状的
arborous	树状
arborous	枝状的
arborous	枝状
playhouse	剧场
playhouse	儿童游戏室
playhouse	玩具小屋
autoecism	单主寄生
pulmometry	肺量测定法
smallmouth	小口黑鲈
lws	Late
lws	West
lws	Saxon后期西撒克逊语
plagioclase	斜长岩
cousinry	堂兄弟姐妹们
cousinry	亲戚们
layered	分层的
layered	分层
tetraiodothyronine	n
tetraiodothyronine	=thyroxine
shimmey	=shimmy
tyrian	提尔的
tyrian	提尔
tyrian	提尔人的
tyrian	提尔人
tyrian	提尔文化的
tyrian	提尔文化
tyrian	提尔人
dyn	dynamics
dyn	力学
dyn	动力学
partisan	游击队
protozoa	原生动物
protozoa	原形动物
filmize	把……拍成电影
filmize	改编
tally	符木
tally	记账
tally	得分
tally	标记牌
tally	标签
tally	符合
tally	对应物
tally	计数器
tally	点数
tally	计算
tally	记录
tally	加标签于
tally	使符合
tally	符合
tally	吻合
tally	记分
lager	酿造后再贮藏成熟的啤酒
surfable	适宜作冲浪的
surfable	适宜作冲浪
carver	雕刻匠
carver	雕工
carver	切肉刀
carver	切肉的人
cerium	铈
peronismo	=Peronism
titling	标题的烫印
acrocarpous	茎端结实的
acrocarpous	茎端结实
sideband	边带
crabman	贩蟹者
mitogenesis	有丝分裂发生
minnesotan	明尼苏达州的
minnesotan	明尼苏达州
minnesotan	明尼苏达州人
jointworm	禾茎广肩小蜂
tdb	Trade
tdb	and
tdb	Development
tdb	Board
tdb	联合国开发委员会
roughdraw	画草图
roughdraw	写大纲
caning	鞭打
stellar	恒星的
stellar	恒星
stigmatism	有小斑
stigmatism	有圣疤
stigmatism	折光正常
incriminatory	负罪的
incriminatory	负罪
incriminatory	成为有罪的
incriminatory	成为有罪
transconjugant	转化结合子
lunk	呆子
lunk	笨蛋
chromophobe	不染色细胞
chromophobe	不易染色的
chromophobe	不易染色
chromophobe	难染的
chromophobe	难染
devonian	德文郡的
devonian	德文郡
devonian	泥盆纪的
devonian	泥盆纪
devonian	德文郡
devonian	泥盆纪
anthracosis	碳末沉着症
anthracosis	煤肺病
anthracosis	矿工黑肺病
agleam	光亮的
agleam	光亮
agleam	闪亮的
agleam	闪亮
planchet	造币用金属板
madia	oil麻迪菊油
inkslinger	耍笔杆子的
inkslinger	耍笔杆子
inkslinger	职业作家
melodics	旋律学
jealousness	嫉妒
jealousness	猜忌
jealousness	吃醋
yig	钇铁石榴石材料
dividers	圆规
cistaceous	半日花科的
cistaceous	半日花科
senatorian	元老院的
senatorian	元老院
senatorian	元老院议员的
senatorian	元老院议员
conceptus	孕体
pesthouse	隔离病院
quantic	同次多项式
centenarian	百岁或逾百岁以上的人
centenarian	百岁或逾百岁以上的
centenarian	百岁或逾百岁以上
officiant	主祭
bravura	大胜的尝试
bravura	勇气的举动
recordmaker	唱片制造工
recordmaker	唱片制造商
monopolist	专利者
anyplace	任何地方
mithridatic	万应解毒剂的
mithridatic	万应解毒剂
mithridatic	耐毒性的
mithridatic	耐毒性
aphemia	失语症
sarcophagous	食肉的
sarcophagous	食肉
evasively	推托地
evasively	推托
evasively	逃避地
evasively	逃避
prier	刺探者
prier	窥探者
hemocytometer	血球计
faithworthy	可信赖的
faithworthy	可信赖
faithworthy	值得信赖的
faithworthy	值得信赖
oppositional	反对的
oppositional	反对
oppositional	对抗的
oppositional	对抗
unless	如果不
unless	除非
germon	=albacore
riderless	没人骑的
riderless	没人骑
riderless	无主的
riderless	无主
fish	鱼
fish	鱼肉
fish	鱼类
fish	接合板
fish	钓
fish	钓鱼
fish	查出
fish	用接合板连接
fish	捕鱼
fish	钓鱼
fish	用钩捞取
fish	间接探听
fish	拉摸索寻找
sleeveboard	熨袖架
overzealous	过分热心的
overzealous	过分热心
sensorineural	感觉神经的
sensorineural	感觉神经
chest	胸腔
chest	胸膛
chest	箱
chest	柜
creamily	奶油似地
creamily	奶油似
creamily	温柔地
creamily	温柔
eucolloid	真胶体
cord	绳索
cord	束缚
grikwa	=Griqua
unhealthful	对身体有害的
unhealthful	对身体有害
unhealthful	不卫生的
unhealthful	不卫生
acuity	尖锐
acuity	敏锐
pesaro	佩扎罗
viscous	粘性的
viscous	粘性
viscous	粘滞的
viscous	粘滞
viscous	胶粘的
viscous	胶粘
clavicembalo	大键琴
broadcasting	广播
zest	风味
zest	强烈的兴趣
zest	热情
zest	热心
zest	给……调味
proleptic	预期的
proleptic	预期
vowel	元音
vowel	元音的
vowel	元音
nonpolar	无极的
nonpolar	无极
emanuel	伊曼纽尔
chloroacetophenone	氯苯乙酮
intentioned	有……企图的
intentioned	有……企图
intentioned	出于……意向的
intentioned	出于……意向
psychocultural	心理与文化因素的
psychocultural	心理与文化因素
heal	治愈
heal	医治
heal	结束
onload	装载
wec	Westinghouse
wec	Electric
wec	Corporation
pyrotechnist	烟火制造者
crete	克利特岛
variously	不同地
variously	不同
variously	在不同的时间里
variously	以不同的名称
semidemisemiquaver	六十四分音符
vection	媒介过程
moidore	从前的葡萄牙金币
taperingly	尖端细地
taperingly	尖端细
metoestrus	动情后期
metoestrus	后情期
serictery	=sericterium
diseconomics	逆经济因素
pabulum	食物
pabulum	营养
pabulum	精神食粮
sufficiently	十分地
sufficiently	十分
sufficiently	充分地
sufficiently	充分
ximenes	希梅内斯
tetrazolium	四唑
selfsame	完全相同的
selfsame	完全相同
selfsame	同一的
selfsame	同一
undular	波形的
undular	波形
bacterium	细菌
megapod	大脚的
megapod	大脚
megapod	=megapode
paraffin	石蜡
flagrance	罪大恶极
flagrance	恶名昭彰
deknight	除去……之爵士封号
douce	文雅的
douce	文雅
douce	慎重的
douce	慎重
douce	殷勤的
douce	殷勤
slumlord	恶劣房东
cincinnati	辛辛那提
columbous	含钶的
columbous	含钶
columbous	含三价钶的
columbous	含三价钶
mpu	微处理器
pygmalion	皮格马利翁
touched	被感动的
touched	被感动
fluorosis	氟中毒
porphyry	斑岩
banal	平凡的
banal	平凡
banal	陈腐的
banal	陈腐
banal	老一套的
banal	老一套
unengaging	不吸引人的
unengaging	不吸引人
unengaging	无魅力的
unengaging	无魅力
woodman	樵夫
woodman	居住于森林的人
woodman	看管森林的人
woodman	伐木者
atomize	使分裂为原子
atomize	将……喷成雾状
connectible	可联结的
connectible	可联结
slaughterhouse	屠宰场
impersonator	演员
impersonator	模拟艺人
smallboy	管家助理
smallboy	副管家
deserve	应受
deserve	值得
deserve	值
deserve	应受
nonfeasance	不履行义务
nonfeasance	懈怠
hypoplastic	细胞减生
waterweed	伊乐藻
waterweed	水蕴草
swath	收割的刈痕
swath	细长的列
cornet	圆锥形纸袋
cornet	短号
lilac	丁香紫丁香
lilac	丁香花
lilac	淡紫色
lilac	淡紫色的
lilac	淡紫色
russonorsk	=Russenorsk
jeanswear	牛仔裤
jeanswear	牛仔装
furniture	家具
furniture	设备
furniture	储藏物
keratotomy	角膜切除术
beldam	恶婆
beldam	祖母
proselytize	使改宗
proselytize	劝诱改宗
semicontinua	semicontinuum的复数
dissatisfactory	不满意的
dissatisfactory	不满意
dissatisfactory	不够理想的
dissatisfactory	不够理想
dissatisfactory	不满足的
dissatisfactory	不满足
appointive	由任命而充当的
appointive	由任命而充当
ischial	坐骨的
ischial	坐骨
roentgenology	X
roentgenology	光线学
roentgenology	X
roentgenology	光科
carnality	淫荡
quietly	平静地
quietly	平静
quietly	静静地
quietly	静静
quietly	寂静地
quietly	寂静
lepidopterist	鳞翅类学者
versatilely	多才地
versatilely	多才
versatilely	反复无常地
versatilely	反复无常
monoatomic	=monatomic
wimpy	=wimpish
belladonna	颠茄
belladonna	莨菪
belladonna	颠茄制剂
ogre	食人魔鬼
ogre	怪物
ogre	象鬼的人
intussusception	肠套叠
copulatory	交配的
copulatory	交配
paca	无尾刺豚鼠
arrest	逮捕
arrest	拘留
arrest	吸引
arrest	逮捕
arrest	拘留
rancidity	恶臭
rancidity	腐臭
subscription	捐献
subscription	订金
subscription	订阅
subscription	签署
subscription	同意
subscription	下标处方
marrow	髓
marrow	骨髓
marrow	精华
marrow	活力
marrow	配偶
magnetopause	磁顶
magnetopause	磁顶层
sawny	=Sawney
sawny	=sawney
amalgamation	融合
amalgamation	合并
phototype	凸版照相
kettledrum	半球形铜鼓
kettledrum	午后茶会
abutilon	白麻属植物
sparely	节俭地
sparely	节俭
sparely	缺乏地
sparely	缺乏
sparely	瘦瘦地
sparely	瘦瘦
bromeliad	凤梨科植物
toprail	上扶手
ailanthus	臭椿属
crescent	新月
crescent	月牙
crescent	新月形的
crescent	新月形
crescent	逐渐增加的
crescent	逐渐增加
radial	光线的
radial	光线
radial	光线状的
radial	光线状
radial	放射状的
radial	放射状
radial	半径的
radial	半径
radial	光线
radial	射线
lentitude	缓慢
lentitude	懒散
heaver	举起者
heaver	举起物件之装置
heaver	挑夫
biographer	传记作者
preterminal	死亡前发生的
preterminal	死亡前发生
propinquity	接近
foodgrain	粮食
nagana	那加那病
garbiologist	=garbologist
hoofbeat	蹄声
tautochrone	等时曲线
tautochrone	等时降落轨迹
tetanic	破伤风的
tetanic	破伤风
tetanic	僵直的
tetanic	僵直
tetanic	痉挛诱起剂
heilongjiang	黑龙江
gad	闲逛
gad	游荡
gad	找乐子
gad	用铁棒刺
gad	游荡
gad	錾
gad	尖头棒
gad	表示轻微的咒骂或惊讶
gad	God
gad	的变形
casemate	城墙内的炮台
casemate	炮塔
hallstadtan	=Hallstatt
montanan	蒙大纳州的
montanan	蒙大纳州
montanan	蒙大纳州人
exact	精确的
exact	精确
exact	准确的
exact	准确
exact	原样的
exact	原样
exact	精密的
exact	精密
exact	严格
exact	强求
exact	急需
exact	要求
opening	开
opening	开放
opening	开始
opening	口子
opening	穴
opening	通路
opening	空缺
opening	机会
opening	开始的
opening	开始
opening	开幕的
opening	开幕
confocal	共焦的
confocal	共焦
longitudinal	经度的
longitudinal	经度
longitudinal	纵向的
longitudinal	纵向
safe	保险箱
safe	饭橱
safe	菜橱
safe	冷藏室
safe	免受攻击的
safe	免受攻击
safe	安全的
safe	安全
safe	可靠的
safe	可靠
safe	有把握的
safe	有把握
betatron	电子感应加速器
incused	压印而成的
incused	压印而成
incused	铸造的
incused	铸造
configurated	表面上有图案装饰的
configurated	表面上有图案装饰
duisburg	杜伊斯堡
heres	继承者
codetermine	共同决定
manado	=Menado
acquire	获得
acquire	获
acquire	学到
misdate	填错日期
misdate	填错的日期
newground	新开发之农地
newground	新开发之农
cloying	因过量而厌烦的
cloying	因过量而厌烦
cloying	倒胃口的
cloying	倒胃口
silently	默默地
silently	默默
silently	静静地
silently	静静
waistcoat	背心
waistcoat	马甲
paradoxist	喜欢使用矛盾说法的人
chutty	口香糖
mouthwatering	令人垂涎的
mouthwatering	令人垂涎
eggwalk	小心进行
eggwalk	小心行事
confident	自信的
confident	自信
confident	确信的
confident	确信
puke	呕吐
puke	呕吐物
puke	吐剂
puke	呕吐
kandinski	Vasili即Kandinsky
kandinski	Wassily
sandarac	山达脂
swinney	=sweeny
communard	1871年巴黎公社之拥护者
unfashionable	不流行的
unfashionable	不流行
valedictorian	致告别辞者
valedictorian	告别演说者
zymologist	发酵学者
dormancy	睡眠
dormancy	冬眠
dormancy	隐匿
hierolatry	圣物崇拜
hierolatry	圣徒崇拜
vaccinee	受接种者
splintery	裂片似的
splintery	裂片似
splintery	易碎裂的
splintery	易碎裂
splintery	碎裂的
splintery	碎裂
dealfish	板鱼
faded	已褪色的
faded	已褪色
faded	已凋谢的
faded	已凋谢
dogma	教条
jacquard	花布织机的
jacquard	花布织机
jacquard	提花机
jacquard	提花织物
cardiopulmonary	心肺的
cardiopulmonary	心肺
cardiopulmonary	与心肺有关的
cardiopulmonary	与心肺有关
chorogophic	地方志的
chorogophic	方志
threshold	开始
threshold	开端
threshold	极限
zingiberaceous	姜科的
zingiberaceous	姜科
jodhpurs	骑马裤
jodhpurs	短马靴
cochabamba	科恰班巴
intravasation	进入血管内渗
unfamous	不著名的
unfamous	不著名
unfamous	不出名的
unfamous	不出名
lentamente	缓慢地
lentamente	缓慢
suppurate	生脓
suppurate	化脓
suppurate	流脓
suppurate	使化脓
tody	鱼狗属的小鸟
cubbing	幼狐之猎取
vapid	索然乏味的
vapid	索然乏味
epistemological	认识论的
epistemological	认识论
howler	大声叫喊者
zonkey	斑驴
risibility	爱笑
risibility	幽默感
anaglyptics	浮雕装饰术
atomistic	原子论的
atomistic	原子论
electrovalence	电价
imposthume	=impostume
collator	校对机
ichnolite	足迹化石
ichnolite	化石足迹
glacial	冰的
glacial	冰
glacial	冰状的
glacial	冰状
glacial	冰河的
glacial	冰河
glacial	冰河时代的
glacial	冰河时代
glacial	冰冷的
glacial	冰冷
panterer	=pantler
pictorialization	图示
pictorialization	图解
canopied	遮有天篷的
canopied	遮有天篷
canopied	有罩盖的
canopied	有罩盖
ecthlipses	尾辅音省略
whirry	使匆忙
whirry	匆匆运送
whirry	匆忙
whirry	快速行进
hinge	铰链
hinge	枢纽
hinge	关键
hinge	装铰链
hinge	装以绞链
hinge	依……而转移
sholom	肖洛姆
sholom	=shalom
flambeaux	装饰用的大烛台
mediad	向中
psig	pounds
psig	per
psig	square
psig	inch
psig	gauge
psig	磅/平方英寸
dandruff	头皮屑
goondie	=gunyah
tutorly	有关辅导教师的
tutorly	有关辅导教师
truthlessly	不诚实地
truthlessly	不诚实
truthlessly	捏造地
truthlessly	捏造
tetrastyle	正面有四根柱的
tetrastyle	正面有四根柱
tetrastyle	四柱式的
tetrastyle	四柱式
exospherical	外大气层的
exospherical	外大气层
exospherical	外逸层的
exospherical	外逸层
pandh	postage
pandh	and
pandh	handling
pandh	邮资及手续费
collegian	学院的一员
collegian	学院的学生
triakaidekaphobe	`traIEkaI9deEfEJb/
triakaidekaphobe	恐数字13kE`fEJbIE/
triakaidekaphobe	恐数
triakaidekaphobe	的人
quadruplex	四重的
quadruplex	四重
altruism	利他主义
altruism	利他
alitalia	Italian
alitalia	Airlines
alitalia	意大利航空公司
unrighteous	罪深的
unrighteous	罪深
unrighteous	邪恶的
unrighteous	邪恶
unrighteous	邪道的
unrighteous	邪道
unrighteous	不公平的
unrighteous	不公平
yoke	轭
yoke	轭状物
yoke	套
yoke	束缚
yoke	支配
yoke	把……套上轭
yoke	结合
yoke	连接
labarum	罗马帝国后期的军旗
kelson	内龙骨
tipper	给小费的人
tipper	翻斗卡车
tipper	自动下货车
mortarboard	灰泥板
mortarboard	学位帽
immobilon	止动剂
scriptgirl	女场记员
computerize	用计算机处理
computerize	使计算机化
histoplasmosis	组织胞浆菌病
histoplasmosis	网状内皮细胞真菌病
moroccan	摩洛哥的
moroccan	摩洛哥
moroccan	摩洛哥人
airpost	航空邮件
aerialist	高空杂技师
gallant	英勇的
gallant	英勇
gallant	豪侠的
gallant	豪侠
gallant	堂皇的
gallant	堂皇
gallant	壮丽的
gallant	壮丽
gallant	华丽的
gallant	华丽
gallant	对妇女献殷勤的
gallant	对妇女献殷勤
hydroponics	水耕法
hydroponics	水栽培
moonraking	想入非非
galloping	飞驰的
galloping	飞驰
galloping	急性的
galloping	急性
hap	偶然
hap	机会
hap	运气
hap	偶然发生
anglicanism	英国国教
anglicanism	英国国教教义
harbinger	先驱
harbinger	预兆
harbinger	预告
harbinger	做……的前驱
raia	=rayah
mechanic	技工
mechanic	机修工
mechanic	机械士
phthiriasis	虱病
alga	藻类
alga	海藻
yankeeism	美国人的品质
yankeeism	美国人的气质
pinxter	=Pinkster
yawning	打呵欠
yawning	张着大嘴的
yawning	张着大嘴
yawning	打哈欠的
yawning	打哈欠
meprobamate	安宁
meprobamate	眠尔通
meprobamate	氨甲丙二酯
planholder	养恤金制受益人
planholder	养恤金份额所有人
diskcomp'	NULL)
transformer	变压器
transformer	使变化的人
gong	铜锣
gong	盘形钟
gong	打锣作为停车信号
interoceptive	内感受的
interoceptive	内感受
poulterer	家禽贩
poulterer	鸟贩
beacon	烟火
beacon	灯塔
beacon	照亮
biomagnify	产生生物放大作用
sexillion	的七乘方的
sexillion	七乘方
pediculate	柄鳍目之鱼
pediculate	有小花梗的
pediculate	有小花梗
pediculate	有梗的
pediculate	有梗
unsplinterable	不会裂成碎片的
unsplinterable	不会裂成碎片
unsplinterable	不会破碎的
unsplinterable	不会破碎
diode	二极管
croustade	脆皮酥盒
macedon	马其顿王国
menarche	初潮
quislism	卖国
quislism	叛国
tempering	回火
lungy	患肺结核病的
lungy	患肺结核病
untiring	不知疲倦的
untiring	不知疲倦
eremic	生长在干燥砂质地方的
eremic	生长在干燥砂质地方
proa	快速帆船
jill	女人
jill	少女
jill	Jill
jill	吉尔
sanctitude	神圣
sanctitude	圣洁
antebellum	战前的
antebellum	战前
nidation	营巢
nidation	着床
mottle	使成杂色
mottle	使有斑点
mottle	杂色
mottle	斑点
sava	萨瓦河
wickedness	邪恶
wickedness	不道德
refocus	重调焦距
planaria	涡虫
planaria	真涡虫
savagery	野性
handicapped	残疾人
handicapped	身体有缺陷的人
handicapped	残废的
handicapped	残废
triskaidekaphobe	`trIskaI9dekfEJb/
triskaidekaphobe	=triakaiE`fEJbIE/
triskaidekaphobe	=tridek
triskaidekaphobe	aphobe
boarding	寄膳宿
boarding	木板
tiresias	提瑞西阿斯
saltcellar	盐瓶
pinchpenny	吝啬的
pinchpenny	吝啬
sorehawk	=sorefalcon
flavourous	有味道的
flavourous	有味道
flavourous	好风味的
flavourous	好风味
continentalize	使同化于大陆习俗
anticholinergic	反副交感神经生理作用的
anticholinergic	反副交感神经生理作用
hypersthene	紫苏辉石
cgm	计算机图形元文件
chiliburger	辣味汉堡牛排
mucociliary	黏膜纤毛的
mucociliary	黏膜纤毛
bawdry	淫秽
bawdry	猥亵
bawdry	娼业
milling	磨
milling	制粉
milling	轧齿边
bumiputraization	马来化政策
sarrusophone	萨鲁管
leapingly	跳跃地
leapingly	跳跃
leapingly	用于跳跃地
leapingly	用于跳跃
